name,ttm,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999,12/31/1998,09/30/1998,06/30/1998,03/31/1998,12/31/1997,09/30/1997,06/30/1997,03/31/1997,12/31/1996,09/30/1996,06/30/1996,03/31/1996,12/31/1995,09/30/1995,06/30/1995,03/31/1995,12/31/1994,09/30/1994
TotalRevenue,"17,881,106,000","4,446,658,000","4,449,635,000","4,486,960,000","4,497,853,000","4,557,365,000","4,531,591,000","3,187,090,000","3,217,389,000","3,240,865,000","3,168,363,000","3,211,312,000","3,187,144,000","3,306,829,000","3,395,141,000","3,460,845,000","3,458,487,000","3,483,928,000","3,583,454,000","3,643,632,000","3,680,361,000","3,724,180,000","3,746,111,000","3,837,036,000","3,787,235,000","3,778,683,000","3,733,565,000","3,832,425,000","3,724,228,000","3,681,719,000","3,679,351,000","3,688,119,000","3,594,198,000","3,141,931,000","3,601,577,000","3,606,133,000","3,555,224,000","3,589,510,000","3,523,347,000","3,571,766,000","3,581,869,000","3,631,450,000","3,602,651,000","3,590,161,000","3,224,131,000","3,206,579,000","3,207,728,000","3,169,042,000","3,057,395,000","2,962,982,000","2,892,147,000","2,903,701,000","2,905,321,000","2,921,022,000","2,936,781,000","2,914,990,000","2,844,394,000","2,891,055,000","2,794,327,000","2,760,008,000","2,644,985,000","2,598,725,000","2,471,366,000","2,458,689,000","2,289,706,000","2,177,794,000","2,128,221,000","2,095,486,000","2,024,000,000","1,931,094,000","1,862,613,000","1,777,713,000","1,579,796,000","1,513,386,000","1,452,295,000","1,414,567,000","1,359,048,000","1,324,824,000","1,222,849,000","1,168,684,000","1,104,468,000","1,150,430,000","1,022,506,000","966,272,000","861,930,000","805,398,000","697,972,000","646,129,000","565,721,000","516,103,000","427,496,000","349,878,000","309,364,000","286,982,000","235,407,000","245,838,000","214,439,000","195,512,000","124,826,000","100,822,000","72,023,000","39,382,000","57,038,000","73,524,000","41,467,000","40,600,000","43,600,000","39,300,000","40,400,000","52,300,000","49,000,000"
	OperatingRevenue,"17,881,106,000","4,446,658,000","4,449,635,000","4,486,960,000","4,497,853,000","4,557,365,000","4,531,591,000","3,187,090,000","3,217,389,000","3,240,865,000","3,168,363,000","3,211,312,000","3,187,144,000","3,306,829,000","3,395,141,000","3,460,845,000","3,458,487,000","3,483,928,000","3,583,454,000","3,643,632,000","3,680,361,000","3,724,180,000","3,746,111,000","3,837,036,000","3,787,235,000","3,778,683,000","3,733,565,000","3,832,425,000","3,724,228,000","3,681,719,000","3,679,351,000","3,688,119,000","3,594,198,000","3,141,931,000","3,601,577,000","3,606,133,000","3,555,224,000","3,589,510,000","3,523,347,000","3,571,766,000","3,581,869,000","3,631,450,000","3,602,651,000","3,590,161,000","3,224,131,000","3,206,579,000","3,207,728,000","3,169,042,000","3,057,395,000","2,962,982,000","2,892,147,000","2,903,701,000","2,905,321,000","2,921,022,000","2,936,781,000","2,914,990,000","2,844,394,000","2,891,055,000","2,794,327,000","2,760,008,000","2,644,985,000","2,598,725,000","2,471,366,000","2,458,689,000","2,289,706,000","2,177,794,000","2,128,221,000","2,095,486,000","2,024,000,000","1,931,094,000","1,862,613,000","1,777,713,000","1,570,140,000","1,575,396,000","1,436,172,000","1,393,802,000","1,333,926,000","1,324,824,000","1,222,849,000","1,168,684,000","1,104,468,000","1,150,430,000","1,022,506,000","966,272,000","861,930,000","805,398,000","697,972,000","646,129,000","565,721,000","516,103,000","427,496,000","349,878,000","309,364,000","286,982,000","235,407,000","245,838,000","214,439,000","195,512,000","124,826,000","100,822,000","72,023,000","39,382,000","57,038,000","73,524,000","41,467,000","40,600,000","43,600,000","39,300,000","40,400,000","52,300,000","49,000,000"
CostOfRevenue,"11,738,283,000","2,943,234,000","2,947,920,000","2,885,923,000","2,961,206,000","2,941,940,000","3,004,612,000","2,185,192,000","2,331,101,000","2,329,185,000","2,368,655,000","2,428,120,000","2,378,791,000","2,457,112,000","2,487,854,000","2,524,858,000","2,566,232,000","2,697,527,000","2,738,125,000","2,704,351,000","2,737,376,000","2,747,062,000","2,821,804,000","2,785,920,000","2,792,297,000","2,812,818,000","2,852,994,000","2,859,486,000","2,785,973,000","2,633,292,000","2,824,576,000","2,771,820,000","2,695,567,000","2,422,948,000","2,695,991,000","2,571,235,000","2,598,200,000","2,576,286,000","2,500,152,000","2,360,368,000","2,303,052,000","1,989,775,000","2,366,046,000","2,286,340,000","2,189,974,000","2,228,160,000","2,263,690,000","2,193,061,000","428,915,000","2,180,126,000","2,179,511,000","2,043,358,000","1,970,558,000","2,221,457,000","2,052,244,000","1,869,685,000","1,562,372,000","1,968,261,000","1,902,254,000","1,490,654,000","1,454,270,000","1,843,412,000","1,756,297,000","1,676,096,000","1,242,165,000","1,582,610,000","1,511,214,000","1,458,469,000","1,154,258,000","1,566,884,000","1,401,545,000","1,372,604,000","851,760,000","-5,586,000","1,064,102,000","962,478,000","813,576,000","403,005,000","879,330,000","596,540,000","559,833,000","589,725,000","511,960,000","53,732,000","44,765,000","72,864,000","47,313,000","53,440,000","54,338,000","77,706,000","38,840,000","21,999,000","26,966,000","47,040,000","32,218,000","57,177,000","53,449,000","59,259,000","11,943,000","45,610,000","30,675,000","11,339,000","43,935,000","62,072,000","36,033,000","12,200,000","34,300,000","30,800,000","26,400,000",,
GrossProfit,"6,142,823,000","1,503,424,000","1,501,715,000","1,601,037,000","1,536,647,000","1,615,425,000","1,526,979,000","1,001,898,000","886,288,000","911,680,000","799,708,000","783,192,000","808,353,000","849,717,000","907,287,000","935,987,000","892,255,000","786,401,000","845,329,000","939,281,000","942,985,000","977,118,000","924,307,000","1,051,116,000","994,938,000","965,865,000","880,571,000","972,939,000","938,255,000","1,048,427,000","854,775,000","916,299,000","898,631,000","718,983,000","905,586,000","1,034,898,000","957,024,000","1,013,224,000","1,023,195,000","1,211,398,000","1,278,817,000","1,641,675,000","1,236,605,000","1,303,821,000","1,034,157,000","978,419,000","944,038,000","975,981,000","2,628,480,000","782,856,000","712,636,000","860,343,000","934,763,000","699,565,000","884,537,000","1,045,305,000","1,282,022,000","922,794,000","892,073,000","1,269,354,000","1,190,715,000","755,313,000","715,069,000","782,593,000","1,047,541,000","595,184,000","617,007,000","637,017,000","869,742,000","364,210,000","461,068,000","405,109,000","728,036,000","1,518,972,000","388,193,000","452,089,000","545,472,000","921,819,000","343,519,000","572,144,000","544,635,000","560,705,000","510,546,000","912,540,000","817,165,000","732,534,000","650,659,000","592,689,000","511,383,000","438,397,000","388,656,000","327,879,000","282,398,000","239,942,000","203,189,000","188,661,000","160,990,000","136,253,000","112,883,000","55,212,000","41,348,000","28,043,000","13,103,000","11,452,000","5,434,000","28,400,000","9,300,000","8,500,000","14,000,000",,
OperatingExpense,"2,939,788,000","789,408,000","784,010,000","694,299,000","672,071,000","625,786,000","715,731,000","364,248,000","385,792,000","388,728,000","330,816,000","352,460,000","352,053,000","366,965,000","344,584,000","363,327,000","362,749,000","381,192,000","396,278,000","391,483,000","335,665,000","436,296,000","427,987,000","437,291,000","434,796,000","454,132,000","438,851,000","438,952,000","454,392,000","513,527,000","466,266,000","461,555,000","452,333,000","241,151,000","508,165,000","576,650,000","504,771,000","559,123,000","565,767,000","626,786,000","584,873,000","591,009,000","611,766,000","562,311,000","391,481,000","2,055,074,000","398,284,000","419,462,000","390,482,000","395,222,000","386,043,000","401,179,000","360,200,000","187,101,000","466,697,000","424,597,000","776,854,000","527,756,000","495,559,000","827,700,000","850,517,000","443,589,000","433,259,000","432,952,000","773,345,000","343,448,000","325,123,000","303,623,000","579,508,000","162,012,000","266,144,000","221,092,000","189,571,000","61,582,000","227,708,000","229,096,000","366,724,000","148,249,000","247,650,000","523,414,000","449,356,000","472,605,000","435,074,000","848,627,000","832,348,000","846,270,000","732,741,000","678,920,000","653,400,000","599,362,000","468,111,000","378,868,000","338,080,000","310,074,000","218,539,000","204,905,000","182,155,000","184,182,000","201,608,000","98,233,000","85,944,000","93,804,000","34,001,000","25,509,000","14,063,000","36,700,000","9,000,000","7,700,000","14,700,000",,
	SellingGeneralAndAdministration,"2,214,936,000","618,622,000","606,719,000","507,909,000","481,686,000","429,261,000","516,648,000","212,124,000","218,972,000","215,173,000","176,635,000","202,758,000","198,914,000","195,900,000","169,299,000","190,625,000","169,777,000","189,253,000","186,954,000","179,812,000","131,035,000","198,880,000","195,503,000","187,672,000","201,169,000","215,379,000","186,654,000","176,066,000","208,180,000","226,596,000","196,376,000","189,660,000","203,113,000","-17,437,000","247,528,000","276,176,000","270,444,000","319,294,000","330,364,000","327,667,000","376,175,000","364,828,000","382,620,000","325,262,000","161,784,000","164,582,000","155,425,000","155,016,000","150,820,000","152,177,000","157,648,000","155,879,000","136,907,000","-46,869,000","221,051,000","176,350,000","504,486,000","172,640,000","151,409,000","483,768,000","530,398,000","142,916,000","135,366,000","143,818,000","176,864,000","113,892,000","116,250,000","113,241,000","144,027,000","17,623,000","132,171,000","97,158,000","88,966,000","-37,762,000","127,311,000","128,797,000","268,558,000","732,429,000","149,828,000","337,735,000","367,819,000","388,513,000","362,203,000","778,777,000","766,042,000","774,727,000","676,662,000","624,188,000","598,933,000","565,075,000","440,270,000","352,928,000","313,020,000","285,390,000","194,679,000","180,260,000","152,708,000","144,763,000","154,526,000","34,362,000","32,027,000","36,820,000","23,736,000","19,083,000","10,733,000","11,500,000","8,300,000","7,300,000","7,900,000",,
		GeneralAndAdministrativeExpense,,,,,,,,"212,124,000","218,972,000","215,173,000","176,635,000","202,758,000","198,914,000","195,900,000","169,299,000","190,625,000","169,777,000","189,253,000","186,954,000","179,812,000","131,035,000","198,880,000","195,503,000","187,672,000","201,169,000","215,379,000","186,654,000","176,066,000","208,180,000","226,596,000","196,376,000","189,660,000","203,113,000","-17,437,000","247,528,000","276,176,000","270,444,000",,,,,,,,,,,,,,,,,,"147,582,000","134,991,000","440,514,000",,,"437,147,000","480,019,000",,,,"129,447,000",,,,"112,823,000",,"101,817,000",,,,"87,704,000","88,872,000","84,369,000","686,783,000","102,698,000","87,403,000","96,191,000","127,627,000","92,603,000","525,046,000","465,884,000","429,468,000","388,834,000","371,892,000","325,676,000","329,876,000","239,637,000","200,996,000","173,723,000","150,374,000","128,936,000","112,716,000","100,490,000","83,560,000","74,137,000",,,,,,,,,,,,
			OtherGandA,,,,,,,,"212,124,000","218,972,000","215,173,000","176,635,000","202,758,000","198,914,000","195,900,000","169,299,000","190,625,000","169,777,000","189,253,000","186,954,000","179,812,000","131,035,000","198,880,000","195,503,000","187,672,000","201,169,000","215,379,000","186,654,000","176,066,000","208,180,000","226,596,000","196,376,000","189,660,000","203,113,000","-17,437,000","247,528,000","276,176,000","270,444,000",,,,,,,,,,,,,,,,,,"147,582,000","134,991,000","440,514,000",,,"437,147,000","480,019,000",,,,"129,447,000",,,,"112,823,000",,"101,817,000",,,,"87,704,000","88,872,000","84,369,000","686,783,000","102,698,000","87,403,000","96,191,000","127,627,000","92,603,000","525,046,000","465,884,000","429,468,000","388,834,000","371,892,000","325,676,000","329,876,000","239,637,000","200,996,000","173,723,000","150,374,000","128,936,000","112,716,000","100,490,000","83,560,000","74,137,000",,,,,,,,,,,,
		SellingAndMarketingExpense,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"73,469,000","41,359,000","63,972,000",,,"46,621,000","50,379,000",,,,"47,417,000",,,,"31,204,000",,"30,354,000",,,,"39,607,000","39,925,000","184,189,000","45,646,000","47,130,000","250,332,000","271,628,000","260,886,000","269,600,000","253,731,000","300,158,000","345,259,000","287,828,000","252,296,000","273,257,000","235,199,000","200,633,000","151,932,000","139,297,000","135,016,000","65,743,000","67,544,000","52,218,000","61,203,000","80,389,000",,,,,,,,,,,,
	DepreciationAmortizationDepletionIncomeStatement,"724,852,000","170,786,000","177,291,000","186,390,000","190,385,000","196,525,000","199,083,000","152,124,000","166,820,000","173,555,000","154,181,000","149,702,000","153,139,000","171,065,000","175,285,000","172,702,000","192,972,000","191,939,000","209,324,000","211,671,000","204,630,000","237,416,000","232,484,000","249,619,000","233,627,000","238,753,000","252,197,000","262,886,000","246,212,000","286,931,000","269,890,000","271,895,000","249,220,000","258,588,000","260,637,000","300,474,000","234,327,000","239,829,000","235,403,000","299,119,000","208,698,000","226,181,000","229,146,000","237,049,000","229,697,000","236,998,000","242,859,000","264,446,000","239,662,000","243,045,000","228,395,000","245,300,000","223,293,000","233,970,000","245,646,000","248,247,000","272,368,000","321,209,000","344,150,000","343,932,000","320,119,000","296,381,000","296,451,000","274,891,000","243,989,000","229,556,000","208,873,000","190,382,000","169,081,000","144,389,000","133,973,000","123,934,000","100,605,000","99,344,000","100,397,000","100,299,000","98,166,000","105,618,000","97,822,000","87,981,000","81,537,000","84,092,000","72,871,000","62,839,000","58,850,000","58,677,000","44,511,000","41,710,000","40,458,000","34,387,000","27,841,000","25,940,000","25,060,000","24,684,000","23,860,000","24,645,000","29,447,000","39,419,000","47,082,000","46,000,000","40,775,000","23,393,000","10,265,000","6,426,000","3,330,000","25,200,000","700,000","400,000","6,800,000",,
