name,ttm,01/31/2022,10/31/2021,07/31/2021,04/30/2021,01/31/2021,10/31/2020,07/31/2020,04/30/2020,01/31/2020,10/31/2019,07/31/2019,04/30/2019,01/31/2019,10/31/2018,07/31/2018,04/30/2018,01/31/2018,10/31/2017,07/31/2017,04/30/2017,01/31/2017,10/31/2016,07/31/2016,04/30/2016,01/31/2016,10/31/2015,07/31/2015,04/30/2015,01/31/2015,10/31/2014,07/31/2014,04/30/2014,01/31/2014,10/31/2013,07/31/2013,04/30/2013,01/31/2013,10/31/2012,07/31/2012,04/30/2012,01/31/2012,10/31/2011,07/31/2011,04/30/2011,01/31/2011,10/31/2010,07/31/2010,04/30/2010,01/31/2010,10/31/2009,07/31/2009,04/30/2009,01/31/2009,10/31/2008,07/31/2008,04/30/2008,01/31/2008,10/31/2007,07/31/2007,04/30/2007,01/31/2007,10/31/2006,07/31/2006,04/30/2006,01/31/2006,10/31/2005,07/31/2005,04/30/2005,01/31/2005,10/31/2004,07/31/2004,04/30/2004,01/31/2004,10/31/2003,07/31/2003,04/30/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999,12/31/1998,09/30/1998,06/30/1998,03/31/1998,12/31/1997,09/30/1997,06/30/1997,03/31/1997,12/31/1996,09/30/1996,06/30/1996,03/31/1996,12/31/1995,09/30/1995,06/30/1995,03/31/1995
TotalRevenue,"26,321,200,000","7,080,600,000","6,417,700,000","6,343,200,000","6,479,700,000","6,767,900,000","6,177,000,000","6,277,600,000","6,286,800,000","6,315,300,000","5,746,200,000","5,740,600,000","5,808,700,000","6,205,200,000","5,538,800,000","5,525,600,000","5,553,700,000","6,360,600,000","5,316,600,000","5,281,200,000","5,287,100,000","5,635,500,000","5,001,600,000","4,996,300,000","5,085,800,000","5,365,300,000","4,945,200,000","3,011,200,000","2,176,700,000","2,475,600,000","2,095,200,000","2,031,100,000","2,000,300,000","2,234,900,000","1,884,700,000","1,854,900,000","1,865,800,000","2,245,800,000","1,720,500,000","1,704,600,000","1,723,600,000","1,945,600,000","1,596,600,000","1,542,400,000","1,545,900,000","1,725,300,000","1,426,600,000","1,377,900,000","1,352,600,000","1,558,600,000","1,248,700,000","1,222,800,000","1,201,100,000","1,386,500,000","1,114,000,000","1,093,100,000","1,051,300,000","1,298,600,000","997,800,000","971,200,000","975,000,000","1,318,900,000","910,400,000","883,600,000","856,500,000","1,079,017,000","796,787,000","769,027,000","749,093,000","987,478,000","723,967,000","704,234,000","710,330,000","893,065,000","665,211,000","626,028,000","615,568,000","827,481,000","513,504,000","498,578,000","489,625,000","714,846,000","444,745,000","440,361,000","387,319,000","599,173,000","377,318,000","384,503,000","291,599,000","452,400,000","265,400,000","253,200,000","221,200,000","418,000,000","176,100,000","173,900,000","150,800,000","246,000,000","142,400,000","129,300,000","117,700,000","194,700,000","110,600,000","102,700,000","85,000,000","121,200,000","67,400,000","62,900,000","48,700,000"
	OperatingRevenue,"26,309,800,000","7,077,400,000","6,415,400,000","6,340,200,000","6,476,800,000","6,767,900,000","6,177,000,000","6,277,600,000","6,286,800,000","6,315,300,000","5,746,200,000","5,740,600,000","5,808,700,000","6,205,200,000","5,538,800,000","5,525,600,000","5,553,700,000","6,360,600,000","5,316,600,000","5,281,200,000","5,287,100,000","5,635,500,000","5,001,600,000","4,996,300,000","5,085,800,000","5,365,300,000","4,945,200,000","3,011,200,000","2,176,700,000","2,475,600,000","2,095,200,000","2,031,100,000","2,000,300,000","2,234,900,000","1,884,700,000","1,854,900,000","1,865,800,000","2,245,800,000","1,720,500,000","1,704,600,000","1,723,600,000","1,945,600,000","1,596,600,000","1,542,400,000","1,545,900,000","1,725,300,000","1,426,600,000","1,377,900,000","1,352,600,000","1,558,600,000","1,248,700,000","1,222,800,000","1,201,100,000","1,386,500,000","1,114,000,000","1,093,100,000","1,051,300,000","1,298,600,000","997,800,000","971,200,000","975,000,000","1,318,900,000","910,400,000","883,600,000","856,500,000","1,079,017,000","796,787,000","769,027,000","749,093,000","987,478,000","723,967,000","704,234,000","710,330,000","893,065,000","665,211,000","626,028,000","615,568,000","827,481,000","513,504,000","498,578,000","489,625,000","714,846,000","444,745,000","440,361,000","387,319,000","599,173,000","377,318,000","384,503,000","291,599,000","452,400,000","265,400,000","253,200,000","221,200,000","418,000,000","176,100,000","173,900,000","150,800,000","246,000,000","142,400,000","129,300,000","117,700,000","194,700,000","110,600,000","102,700,000","85,000,000","121,200,000","67,400,000","62,900,000","48,700,000"
CostOfRevenue,"18,583,900,000","4,940,300,000","4,651,700,000","4,479,200,000","4,512,700,000","4,615,100,000","4,252,600,000","4,361,400,000","4,491,900,000","4,354,800,000","4,041,700,000","4,092,100,000","4,081,500,000","4,293,100,000","3,866,900,000","3,861,700,000","3,854,100,000","4,259,600,000","3,650,600,000","3,653,400,000","3,660,000,000","3,828,200,000","3,481,100,000","3,483,900,000","3,531,200,000","3,712,700,000","3,545,200,000","2,156,000,000","1,427,800,000","1,557,500,000","1,369,900,000","1,337,000,000","1,303,700,000","1,409,700,000","1,224,800,000","1,206,200,000","1,209,800,000","1,395,000,000","1,120,900,000","1,105,000,000","1,120,900,000","1,211,100,000","1,036,000,000","1,000,000,000","1,005,100,000","1,077,400,000","920,600,000","894,400,000","902,400,000","980,200,000","807,500,000","801,000,000","785,700,000","893,300,000","734,600,000","730,000,000","694,800,000","833,300,000","653,900,000","644,600,000","649,700,000","848,600,000","602,900,000","590,300,000","570,400,000","698,648,000","520,523,000","507,541,000","494,849,000","631,062,000","467,463,000","455,756,000","459,189,000","562,739,000","421,612,000","404,921,000","397,780,000","515,464,000","330,921,000","318,387,000","316,460,000","441,732,000","290,450,000","283,274,000","255,858,000","365,092,000","238,328,000","246,458,000","187,657,000","273,500,000","167,300,000","159,500,000","142,100,000","258,100,000","107,900,000","109,100,000","95,900,000","148,900,000","88,600,000","83,200,000","76,500,000","119,300,000","68,700,000","67,000,000","55,900,000","73,400,000","41,400,000","40,500,000","32,300,000"
GrossProfit,"7,737,300,000","2,140,300,000","1,766,000,000","1,864,000,000","1,967,000,000","2,152,800,000","1,924,400,000","1,916,200,000","1,794,900,000","1,960,500,000","1,704,500,000","1,648,500,000","1,727,200,000","1,912,100,000","1,671,900,000","1,663,900,000","1,699,600,000","2,101,000,000","1,666,000,000","1,627,800,000","1,627,100,000","1,807,300,000","1,520,500,000","1,512,400,000","1,554,600,000","1,652,600,000","1,400,000,000","855,200,000","748,900,000","918,100,000","725,300,000","694,100,000","696,600,000","825,200,000","659,900,000","648,700,000","656,000,000","850,800,000","599,600,000","599,600,000","602,700,000","734,500,000","560,600,000","542,400,000","540,800,000","647,900,000","506,000,000","483,500,000","450,200,000","578,400,000","441,200,000","421,800,000","415,400,000","493,200,000","379,400,000","363,100,000","356,500,000","465,300,000","343,900,000","326,600,000","325,300,000","470,300,000","307,500,000","293,300,000","286,100,000","380,369,000","276,264,000","261,486,000","254,244,000","356,416,000","256,504,000","248,478,000","251,141,000","330,326,000","243,599,000","221,107,000","217,788,000","312,017,000","182,583,000","180,191,000","173,165,000","273,114,000","154,295,000","157,087,000","131,461,000","234,081,000","138,990,000","138,045,000","103,942,000","178,900,000","98,100,000","93,700,000","79,100,000","159,900,000","68,200,000","64,800,000","54,900,000","97,100,000","53,800,000","46,100,000","41,200,000","75,400,000","41,900,000","35,700,000","29,100,000","47,800,000","26,000,000","22,400,000","16,400,000"
OperatingExpense,"5,925,900,000","1,561,500,000","1,455,500,000","1,461,800,000","1,447,100,000","1,471,200,000","1,458,900,000","1,541,300,000","1,429,000,000","1,398,100,000","1,346,100,000","1,379,600,000","1,341,700,000","1,332,500,000","1,284,100,000","1,281,400,000","1,262,000,000","1,370,400,000","1,240,800,000","1,205,700,000","1,187,400,000","1,220,800,000","1,178,100,000","1,155,200,000","1,135,900,000","1,182,800,000","1,176,300,000","731,800,000","516,100,000","534,500,000","505,600,000","489,100,000","464,700,000","477,000,000","455,600,000","447,400,000","439,400,000","487,300,000","415,400,000","415,200,000","414,700,000","432,500,000","395,700,000","388,900,000","379,100,000","389,200,000","365,100,000","355,700,000","347,600,000","360,000,000","333,600,000","332,600,000","317,800,000","328,000,000","310,100,000","301,500,000","286,800,000","310,900,000","283,700,000","273,200,000","263,000,000","314,200,000","254,200,000","245,300,000","232,700,000","243,908,000","224,144,000","214,902,000","206,170,000","224,197,000","202,915,000","199,394,000","192,482,000","199,185,000","183,234,000","173,507,000","163,297,000","170,435,000","148,487,000","138,062,000","137,051,000","859,253,000","128,475,000","121,842,000","113,522,000","127,019,000","102,661,000","100,519,000","80,001,000","85,900,000","71,100,000","68,600,000","61,100,000","86,900,000","48,100,000","46,600,000","43,100,000","47,100,000","38,700,000","35,600,000","35,000,000","36,600,000","30,800,000","28,100,000","26,500,000","23,500,000","19,400,000","17,500,000","15,600,000"
	SellingGeneralAndAdministration,"5,925,900,000","1,561,500,000","1,455,500,000","1,461,800,000","1,447,100,000","1,471,200,000","1,458,900,000","1,541,300,000","1,429,000,000","1,398,100,000","1,346,100,000","1,379,600,000","1,341,700,000","1,332,500,000","1,284,100,000","1,281,400,000","1,262,000,000","1,370,400,000","1,240,800,000","1,205,700,000","1,187,400,000","1,220,800,000","1,178,100,000","1,155,200,000","1,135,900,000","1,182,800,000","1,176,300,000","731,800,000","516,100,000","534,500,000","505,600,000","489,100,000","464,700,000","477,000,000","455,600,000","447,400,000","439,400,000","487,300,000","415,400,000","415,200,000","414,700,000","432,500,000","395,700,000","388,900,000","379,100,000","389,200,000","365,100,000","355,700,000","347,600,000","360,000,000","333,600,000","332,600,000","317,800,000","328,000,000","310,100,000","301,500,000","286,800,000","310,900,000","283,700,000","273,200,000","263,000,000","314,200,000","254,200,000","245,300,000","232,700,000","243,908,000","224,144,000","214,902,000","206,170,000","224,197,000","202,915,000","199,394,000","192,482,000","199,185,000","183,234,000","173,507,000","163,297,000","170,435,000","148,487,000","138,062,000","121,330,000","133,271,000","114,513,000","108,854,000","101,691,000","113,935,000","92,023,000","90,963,000","72,139,000","78,000,000","64,000,000","61,700,000","54,900,000","79,600,000","43,400,000","42,100,000","39,100,000","43,400,000","35,400,000","32,400,000","32,100,000","33,600,000","28,100,000","25,500,000","24,300,000","21,900,000","18,000,000","16,200,000","14,400,000"
	DepreciationAmortizationDepletionIncomeStatement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"15,721,000","14,982,000","13,962,000","12,988,000","11,831,000","13,084,000","10,638,000","9,556,000","7,862,000","7,900,000","7,100,000","6,900,000","6,200,000","7,300,000","4,700,000","4,500,000","4,000,000","3,700,000","3,300,000","3,200,000","2,900,000","3,000,000","2,700,000","2,600,000","2,200,000","1,600,000","1,400,000","1,300,000","1,200,000"
		DepreciationAndAmortizationInIncomeStatement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"15,721,000","14,982,000","13,962,000","12,988,000","11,831,000","13,084,000","10,638,000","9,556,000","7,862,000","7,900,000","7,100,000","6,900,000","6,200,000","7,300,000","4,700,000","4,500,000","4,000,000","3,700,000","3,300,000","3,200,000","2,900,000","3,000,000","2,700,000","2,600,000","2,200,000","1,600,000","1,400,000","1,300,000","1,200,000"
OperatingIncome,"1,811,400,000","578,800,000","310,500,000","402,200,000","519,900,000","681,600,000","465,500,000","374,900,000","365,900,000","562,400,000","358,400,000","268,900,000","385,500,000","579,600,000","387,800,000","382,500,000","437,600,000","730,600,000","425,200,000","422,100,000","439,700,000","586,500,000","342,400,000","357,200,000","418,700,000","469,800,000","223,700,000","123,400,000","232,800,000","383,600,000","219,700,000","205,000,000","231,900,000","348,200,000","204,300,000","201,300,000","216,600,000","363,500,000","184,200,000","184,400,000","188,000,000","302,000,000","164,900,000","153,500,000","161,700,000","258,700,000","140,900,000","127,800,000","102,600,000","218,400,000","107,600,000","89,200,000","97,600,000","165,200,000","69,300,000","61,600,000","69,700,000","154,400,000","60,200,000","53,400,000","62,300,000","156,100,000","53,300,000","48,000,000","53,400,000","136,461,000","52,120,000","46,584,000","48,074,000","132,219,000","53,589,000","49,084,000","58,659,000","131,141,000","60,365,000","47,600,000","54,491,000","141,582,000","34,096,000","42,129,000","36,114,000","-586,139,000","25,820,000","35,245,000","17,939,000","107,062,000","36,329,000","37,526,000","23,941,000","93,000,000","27,000,000","25,100,000","18,000,000","73,000,000","20,100,000","18,200,000","11,800,000","50,000,000","15,100,000","10,500,000","6,200,000","38,800,000","11,100,000","7,600,000","2,600,000","24,300,000","6,600,000","4,900,000","800,000"
NetNonOperatingInterestIncomeExpense,"-178,900,000","-79,500,000","-33,400,000","-33,000,000","-33,000,000","-34,200,000","-38,100,000","-34,800,000","-40,200,000","-39,200,000","-41,400,000","-40,100,000","-41,400,000","-46,300,000","-47,600,000","-46,100,000","-230,000,000","-81,600,000","-69,700,000","-75,800,000","-74,700,000","-88,800,000","-112,100,000","-87,300,000","-87,300,000","-114,800,000","-98,400,000","-263,900,000","-122,200,000","-54,300,000","-9,300,000","-8,400,000","-8,100,000","-9,000,000","-5,200,000","-700,000","-600,000","-400,000","-800,000","-1,100,000","-500,000","-700,000","-600,000","-700,000","-900,000","-10,200,000","1,600,000","-1,600,000","-1,400,000","-1,500,000","-1,600,000","-1,300,000","-800,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
