name,ttm,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999,12/31/1998,09/30/1998,06/30/1998,03/31/1998,12/31/1997,09/30/1997,06/30/1997,03/31/1997,12/31/1996,09/30/1996,06/30/1996,03/31/1996,12/31/1995,09/30/1995,06/30/1995,03/31/1995,12/31/1994,09/30/1994,06/30/1994,03/31/1994,12/31/1993,09/30/1993,06/30/1993,03/31/1993,12/31/1992,09/30/1992,06/30/1992,03/31/1992,12/31/1991,09/30/1991,06/30/1991,03/31/1991,12/31/1990,09/30/1990,06/30/1990,03/31/1990,12/31/1989,09/30/1989,06/30/1989,03/31/1989,12/31/1988,09/30/1988,06/30/1988,03/31/1988,12/31/1987,09/30/1987,06/30/1987,03/31/1987,12/31/1986,09/30/1986,06/30/1986,03/31/1986,12/31/1985,09/30/1985
TotalRevenue,"7,907,081,000","1,989,235,000","2,018,269,000","2,031,676,000","1,867,901,000","1,780,390,000","1,748,256,000","1,499,175,000","1,655,939,000","1,775,589,000","1,825,345,000","1,810,706,000","1,724,757,000","1,808,950,000","1,747,403,000","1,798,094,000","1,921,579,000","2,017,438,000","2,006,275,000","1,993,351,000","1,813,372,000","1,777,961,000","1,707,763,000","1,686,345,000","1,622,273,000","1,694,600,000","1,787,582,000","1,758,628,000","1,715,501,000","1,727,876,000","2,092,467,000","2,047,738,000","1,884,647,000","2,209,128,000","2,252,349,000","2,228,763,000","2,039,573,000","1,675,768,000","2,208,699,000","2,156,508,000","2,063,364,000","1,827,853,000","2,203,388,000","2,156,871,000","1,959,021,000","1,875,541,000","1,802,158,000","1,786,696,000","1,583,270,000","1,506,661,000","1,499,611,000","1,390,331,000","1,379,085,000","1,726,648,000","1,965,776,000","2,010,978,000","1,855,062,000","1,860,022,000","1,843,829,000","1,858,965,000","1,780,187,000","1,698,069,000","1,651,927,000","1,655,397,000","1,668,362,000","1,593,400,000","1,562,756,000","1,584,485,000","1,449,034,000","1,421,176,000","1,444,196,000","1,380,360,000","1,242,380,000","1,107,543,000","1,153,742,000","1,124,219,000","1,027,792,000","1,002,871,000","1,076,095,000","1,097,152,000","1,009,932,000","985,004,000","1,088,554,000","1,138,573,000","1,247,564,000","1,379,688,000","1,390,486,000","1,379,260,000","1,251,283,000","1,248,300,000","1,150,500,000","1,077,900,000","969,800,000","362,800,000","1,231,200,000","1,235,100,000","1,148,600,000","1,221,200,000","1,163,700,000","1,154,000,000","1,008,800,000","1,044,000,000","1,009,400,000","1,023,400,000","999,500,000","1,009,100,000","934,500,000","948,200,000","854,100,000","838,900,000","804,500,000","761,200,000","680,700,000","680,400,000","642,200,000","594,500,000","566,800,000","581,800,000","570,000,000","574,100,000","545,700,000","551,200,000","534,100,000","557,000,000","553,400,000","567,200,000","552,800,000","561,700,000","528,600,000","540,900,000","515,300,000","549,500,000","514,800,000","501,300,000","493,800,000","491,600,000","467,100,000","434,100,000","393,500,000","391,600,000","366,300,000","373,700,000","346,400,000","364,700,000","355,000,000","356,900,000","353,700,000"
	OperatingRevenue,"7,907,081,000","1,989,235,000","2,018,269,000","2,031,676,000","1,867,901,000","1,780,390,000","1,748,256,000","1,499,175,000","1,655,939,000","1,775,589,000","1,825,345,000","1,810,706,000","1,724,757,000","1,808,950,000","1,747,403,000","1,798,094,000","1,921,579,000","2,017,438,000","2,006,275,000","1,993,351,000","1,813,372,000","1,777,961,000","1,707,763,000","1,686,345,000","1,622,273,000","1,694,600,000","1,787,582,000","1,758,628,000","1,715,501,000","1,727,876,000","2,092,467,000","2,047,738,000","1,884,647,000","2,209,128,000","2,252,349,000","2,228,763,000","2,039,573,000","1,675,768,000","2,208,699,000","2,156,508,000","2,063,364,000","1,827,853,000","2,203,388,000","2,156,871,000","1,959,021,000","1,875,541,000","1,802,158,000","1,786,696,000","1,583,270,000","1,506,661,000","1,499,611,000","1,390,331,000","1,379,085,000","1,726,648,000","1,965,776,000","2,010,978,000","1,855,062,000","1,860,022,000","1,843,829,000","1,858,965,000","1,780,187,000","1,698,069,000","1,651,927,000","1,655,397,000","1,668,362,000","1,593,400,000","1,562,756,000","1,584,485,000","1,449,034,000","1,421,176,000","1,444,196,000","1,380,360,000","1,242,380,000","1,107,543,000","1,153,742,000","1,124,219,000","1,027,792,000","1,002,871,000","1,076,095,000","1,097,152,000","1,009,932,000","985,004,000","1,088,554,000","1,138,573,000","1,247,564,000","1,379,688,000","1,390,486,000","1,379,260,000","1,251,283,000","1,248,300,000","1,150,500,000","1,077,900,000","969,800,000","362,800,000","1,231,200,000","1,235,100,000","1,148,600,000","1,221,200,000","1,163,700,000","1,154,000,000","1,008,800,000","1,044,000,000","1,009,400,000","1,023,400,000","999,500,000","1,009,100,000","934,500,000","948,200,000","854,100,000","838,900,000","804,500,000","761,200,000","680,700,000","680,400,000","642,200,000","594,500,000","566,800,000","581,800,000","570,000,000","574,100,000","545,700,000","551,200,000","534,100,000","557,000,000","553,400,000","567,200,000","552,800,000","561,700,000","528,600,000","540,900,000","515,300,000","549,500,000","514,800,000","501,300,000","493,800,000","491,600,000","467,100,000","434,100,000","393,500,000","391,600,000","366,300,000","373,700,000","346,400,000","364,700,000","355,000,000","356,900,000","353,700,000"
CostOfRevenue,"4,937,295,000","1,267,748,000","1,263,690,000","1,259,504,000","1,146,353,000","1,128,941,000","1,089,527,000","947,577,000","1,043,696,000","1,124,274,000","1,151,857,000","1,138,113,000","1,101,215,000","1,163,979,000","1,100,883,000","1,132,858,000","1,212,638,000","1,282,014,000","1,261,942,000","1,243,905,000","1,152,198,000","1,158,257,000","1,075,975,000","1,055,132,000","1,033,009,000","1,080,791,000","1,114,974,000","1,104,060,000","1,088,342,000","1,088,095,000","1,290,625,000","1,251,321,000","1,148,438,000","1,378,571,000","1,375,699,000","1,372,811,000","1,262,951,000","1,013,554,000","1,361,769,000","1,338,911,000","1,283,040,000","1,112,258,000","1,381,337,000","1,341,014,000","1,210,196,000","1,155,423,000","1,111,364,000","1,097,998,000","971,114,000","941,227,000","941,345,000","897,021,000","896,942,000","1,120,149,000","1,261,433,000","1,271,359,000","1,173,326,000","1,187,964,000","1,172,639,000","1,191,792,000","1,144,276,000","1,096,264,000","1,070,569,000","1,039,667,000","1,078,647,000","1,051,037,000","1,026,589,000","1,041,320,000","951,543,000","941,026,000","949,587,000","896,619,000","806,515,000","718,451,000","765,174,000","736,536,000","672,713,000","681,601,000","722,087,000","738,986,000","684,318,000","695,764,000","782,286,000","762,512,000","823,764,000","839,145,000","826,084,000","818,749,000","746,133,000","746,700,000","683,300,000","641,000,000","583,700,000","139,800,000","762,100,000","770,300,000","711,500,000","723,200,000","722,600,000","723,300,000","636,200,000","665,000,000","641,200,000","644,300,000","634,100,000","660,000,000","617,000,000","619,800,000","559,700,000","558,900,000","534,600,000","499,700,000","448,400,000","452,400,000","423,600,000","399,300,000","381,000,000","384,200,000","377,800,000","389,800,000","372,200,000","396,300,000","360,400,000","371,800,000","366,100,000","359,800,000","363,500,000","366,600,000","349,400,000","358,600,000","340,200,000",,,,,,,,,,,,,,,,
GrossProfit,"2,969,786,000","721,487,000","754,579,000","772,172,000","721,548,000","651,449,000","658,729,000","551,598,000","612,243,000","651,315,000","673,488,000","672,593,000","623,542,000","644,971,000","646,520,000","665,236,000","708,941,000","735,424,000","744,333,000","749,446,000","661,174,000","619,704,000","631,788,000","631,213,000","589,264,000","613,809,000","672,608,000","654,568,000","627,159,000","639,781,000","801,842,000","796,417,000","736,209,000","830,557,000","876,650,000","855,952,000","776,622,000","662,214,000","846,930,000","817,597,000","780,324,000","715,595,000","822,051,000","815,857,000","748,825,000","720,118,000","690,794,000","688,698,000","612,156,000","565,434,000","558,266,000","493,310,000","482,143,000","606,499,000","704,343,000","739,619,000","681,736,000","672,058,000","671,190,000","667,173,000","635,911,000","601,805,000","581,358,000","615,730,000","589,715,000","542,363,000","536,167,000","543,165,000","497,491,000","480,150,000","494,609,000","483,741,000","435,865,000","389,092,000","388,568,000","387,683,000","355,079,000","321,270,000","354,008,000","358,166,000","325,614,000","289,240,000","306,268,000","376,061,000","423,800,000","540,543,000","564,402,000","560,511,000","505,150,000","501,600,000","467,200,000","436,900,000","386,100,000","223,000,000","469,100,000","464,800,000","437,100,000","498,000,000","441,100,000","430,700,000","372,600,000","379,000,000","368,200,000","379,100,000","365,400,000","349,100,000","317,500,000","328,400,000","294,400,000","280,000,000","269,900,000","261,500,000","232,300,000","228,000,000","218,600,000","195,200,000","185,800,000","197,600,000","192,200,000","184,300,000","173,500,000","154,900,000","173,700,000","185,200,000","187,300,000","207,400,000","189,300,000","195,100,000","179,200,000","182,300,000","175,100,000",,,,,,,,,,,,,,,,
OperatingExpense,"1,688,278,000","438,685,000","412,553,000","428,042,000","408,998,000","405,520,000","381,831,000","366,740,000","386,941,000","403,223,000","390,775,000","396,634,000","408,466,000","426,198,000","426,445,000","428,775,000","514,149,000","536,080,000","470,516,000","484,046,000","485,290,000","455,622,000","421,042,000","437,411,000","443,448,000","414,365,000","395,688,000","402,695,000","434,634,000","407,659,000","442,709,000","456,115,000","452,282,000","513,516,000","482,284,000","505,628,000","484,421,000","390,185,000","476,573,000","494,050,000","480,880,000","439,411,000","484,350,000","474,130,000","478,519,000","450,721,000","397,927,000","423,809,000","409,169,000","400,635,000","378,125,000","364,962,000","367,390,000","375,378,000","434,992,000","446,531,000","448,536,000","425,302,000","404,537,000","404,765,000","420,431,000","377,107,000","355,264,000","367,232,000","373,559,000","354,766,000","343,401,000","361,402,000","351,437,000","344,283,000","321,911,000","312,792,000","303,177,000","272,406,000","270,644,000","271,600,000","262,014,000","261,490,000","255,932,000","255,431,000","247,102,000","233,709,000","286,177,000","283,548,000","292,912,000","342,346,000","338,972,000","333,988,000","312,090,000","305,400,000","285,600,000","288,300,000","276,900,000","146,100,000","313,900,000","307,600,000","294,400,000","326,500,000","272,300,000","273,700,000","257,300,000","251,200,000","230,000,000","234,900,000","236,900,000","240,100,000","205,000,000","205,400,000","200,400,000","198,000,000","181,700,000","174,600,000","163,900,000","158,800,000","147,800,000","135,400,000","131,800,000","147,300,000","137,400,000","133,000,000","126,500,000","144,500,000","127,800,000","130,900,000","134,700,000","143,400,000","125,100,000","126,500,000","122,800,000","126,300,000","118,400,000",,,,,,,,,,,,,,,,
	SellingGeneralAndAdministration,"1,688,278,000","438,685,000","412,553,000","428,042,000","408,998,000","405,520,000","381,831,000","366,740,000","386,941,000","403,223,000","390,775,000","396,634,000","408,466,000","426,198,000","426,445,000","428,775,000","514,149,000","536,080,000","470,516,000","484,046,000","485,290,000","455,622,000","421,042,000","437,411,000","443,448,000","414,365,000","395,688,000","402,695,000","434,634,000","407,659,000","442,709,000","456,115,000","452,282,000","513,516,000","482,284,000","505,628,000","484,421,000","390,185,000","476,573,000","494,050,000","480,880,000","439,411,000","484,350,000","474,130,000","478,519,000","450,721,000","397,927,000","423,809,000","409,169,000","400,635,000","378,125,000","364,962,000","367,390,000","375,378,000","434,992,000","446,531,000","448,536,000","425,302,000","404,537,000","404,765,000","420,431,000","377,107,000","355,264,000","367,232,000","373,559,000","354,766,000","343,401,000","361,402,000","351,437,000","344,283,000","321,911,000","312,792,000","303,177,000","272,406,000","270,644,000","271,600,000","262,014,000","261,490,000","255,932,000","255,431,000","247,102,000","233,709,000","286,177,000","283,548,000","292,912,000","290,222,000","288,813,000","280,898,000","264,079,000","263,400,000","234,300,000","241,600,000","233,700,000","111,600,000","266,600,000","262,700,000","253,400,000","263,800,000","234,700,000","238,100,000","222,500,000","218,400,000","198,200,000","204,600,000","206,700,000","209,900,000","177,100,000","180,100,000","176,000,000","171,800,000","157,100,000","151,000,000","142,500,000","136,200,000","129,100,000","117,400,000","114,100,000","124,900,000","118,400,000","115,100,000","108,400,000","117,400,000","109,000,000","112,100,000","113,900,000","120,400,000","106,900,000","108,100,000","105,000,000","107,400,000","98,400,000",,,,,,,,,,,,,,,,
	DepreciationAmortizationDepletionIncomeStatement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"52,124,000","50,159,000","53,090,000","48,011,000","42,000,000","51,300,000","46,700,000","43,200,000","34,500,000","47,300,000","44,900,000","41,000,000","62,700,000","37,600,000","35,600,000","34,800,000","32,800,000","31,800,000","30,300,000","30,200,000","30,200,000","27,900,000","25,300,000","24,400,000","26,200,000","24,600,000","23,600,000","21,400,000","22,600,000","18,700,000","18,000,000","17,700,000","22,400,000","19,000,000","17,900,000","18,100,000","27,100,000","18,800,000","18,800,000","20,800,000","23,000,000","18,200,000","18,400,000","17,800,000","18,900,000","20,000,000",,,,,,,,,,,,,,,,
		DepreciationAndAmortizationInIncomeStatement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"52,124,000","50,159,000","53,090,000","48,011,000","42,000,000","51,300,000","46,700,000","43,200,000","34,500,000","47,300,000","44,900,000","41,000,000","62,700,000","37,600,000","35,600,000","34,800,000","32,800,000","31,800,000","30,300,000","30,200,000","30,200,000","27,900,000","25,300,000","24,400,000","26,200,000","24,600,000","23,600,000","21,400,000","22,600,000","18,700,000","18,000,000","17,700,000","22,400,000","19,000,000","17,900,000","18,100,000","27,100,000","18,800,000","18,800,000","20,800,000","23,000,000","18,200,000","18,400,000","17,800,000","18,900,000","20,000,000",,,,,,,,,,,,,,,,
OperatingIncome,"1,281,508,000","282,802,000","342,026,000","344,130,000","312,550,000","245,929,000","276,898,000","184,858,000","225,302,000","248,092,000","282,713,000","275,959,000","215,076,000","218,773,000","220,075,000","236,461,000","194,792,000","199,344,000","273,817,000","265,400,000","175,884,000","164,082,000","210,746,000","193,802,000","145,816,000","199,444,000","276,920,000","251,873,000","192,525,000","232,122,000","359,133,000","340,302,000","283,927,000","317,041,000","394,366,000","350,324,000","292,201,000","272,029,000","370,357,000","323,547,000","299,444,000","276,184,000","337,701,000","341,727,000","270,306,000","269,397,000","292,867,000","264,889,000","202,987,000","164,799,000","180,141,000","128,348,000","114,753,000","231,121,000","269,351,000","293,088,000","233,200,000","246,756,000","266,653,000","262,408,000","215,480,000","224,698,000","226,094,000","248,498,000","216,156,000","187,597,000","192,766,000","181,763,000","146,054,000","135,867,000","172,698,000","170,949,000","132,688,000","116,686,000","117,924,000","116,083,000","93,065,000","59,780,000","98,076,000","102,735,000","78,512,000","55,531,000","20,091,000","92,513,000","130,888,000","198,197,000","225,430,000","226,523,000","193,060,000","196,200,000","181,600,000","148,600,000","109,200,000","76,900,000","155,200,000","157,200,000","142,700,000","171,500,000","168,800,000","157,000,000","115,300,000","127,800,000","138,200,000","144,200,000","128,500,000","109,000,000","112,500,000","123,000,000","94,000,000","82,000,000","88,200,000","86,900,000","68,400,000","69,200,000","70,800,000","59,800,000","54,000,000","50,300,000","54,800,000","51,300,000","47,000,000","10,400,000","45,900,000","54,300,000","52,600,000","64,000,000","64,200,000","68,600,000","56,400,000","56,000,000","56,700,000","549,500,000","514,800,000","-1,225,600,000","493,800,000","491,600,000","467,100,000","-967,400,000","393,500,000","391,600,000","366,300,000","-924,800,000","346,400,000","364,700,000","355,000,000","-921,800,000","353,700,000"
NetNonOperatingInterestIncomeExpense,"-101,878,000","-25,049,000","-24,967,000","-25,719,000","-26,143,000","-27,534,000","-26,764,000","-27,983,000","-26,085,000","-29,418,000","-30,147,000","-30,809,000","-30,918,000","-29,814,000","-29,132,000","-29,562,000","-33,749,000","-34,591,000","-33,692,000","-34,594,000","-33,829,000","-32,777,000","-32,994,000","-32,157,000","-31,714,000","-31,249,000","-31,983,000","-31,988,000","-32,037,000","-31,308,000","-31,239,000","-31,967,000","-32,665,000","-29,981,000","-30,237,000","-30,280,000","-30,244,000","-31,009,000","-30,388,000","-29,717,000","-30,027,000","-29,128,000","-30,048,000","-28,134,000","-28,286,000","-25,895,000","-26,335,000","-26,942,000","-27,169,000","-26,838,000","-26,299,000","-24,840,000","-22,398,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
