name,ttm,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,08/31/2020,06/30/2020,05/31/2020,03/31/2020,12/31/2019,09/30/2019,08/31/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,08/31/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,05/31/2003
TotalRevenue,"4,357,373,000","1,343,213,000","997,990,000","1,032,472,000","983,698,000","1,356,567,000","967,719,000","967,719,000","920,023,000","920,023,000","873,102,000","1,150,352,000","820,812,000","820,812,000","811,647,000","835,963,000","1,082,135,000","785,965,000","785,965,000","779,396,000","785,371,000","891,509,000","643,642,000","628,611,000","624,217,000","819,435,000","566,677,000","547,341,000","539,175,000","741,183,000","484,696,000","488,622,000","502,027,000","642,950,000","446,568,000","450,463,000","453,852,000","566,547,000","404,050,000","414,009,000","417,617,000","539,650,000","378,077,000","376,124,000","384,587,000","501,748,000","376,326,000","384,933,000","389,186,000","479,971,000","347,388,000","362,405,000","381,131,000","462,882,000","302,715,000","316,632,000","321,828,000","428,166,000","323,588,000","334,347,000","339,012,000","445,942,000","337,318,000","340,289,000","339,321,000","435,254,000","326,669,000","327,741,000","347,654,000","457,399,000","337,576,000","346,954,000","369,668,000","478,528,000","324,978,000","324,236,000","318,754,000","433,006,000","292,848,000","295,216,000"
	OperatingRevenue,"4,357,373,000","1,343,213,000","997,990,000","1,032,472,000","983,698,000","1,356,567,000","967,719,000","967,719,000","920,023,000","920,023,000","873,102,000","1,150,352,000","820,812,000","820,812,000","811,647,000","835,963,000","1,082,135,000","785,965,000","785,965,000","779,396,000","785,371,000","891,509,000","643,642,000","628,611,000","624,217,000","819,435,000","566,677,000","547,341,000","539,175,000","741,183,000","484,696,000","488,622,000","502,027,000","642,950,000","446,568,000","450,463,000","453,852,000","566,547,000","404,050,000","414,009,000","417,617,000","539,650,000","378,077,000","376,124,000","384,587,000","501,748,000","376,326,000","384,933,000","389,186,000","479,971,000","347,388,000","362,405,000","381,131,000","462,882,000","302,715,000","316,632,000","321,828,000","428,166,000","323,588,000","334,347,000","339,012,000","445,942,000","337,318,000","340,289,000","339,321,000","435,254,000","326,669,000","327,741,000","347,654,000","457,399,000","337,576,000","346,954,000","369,668,000","478,528,000","324,978,000","324,236,000","318,754,000","433,006,000","292,848,000","295,216,000"
CostOfRevenue,"2,669,131,000","837,012,000","612,790,000","624,782,000","594,547,000","821,303,000","605,738,000","605,738,000","562,932,000","562,932,000","532,945,000","703,064,000","504,561,000","504,561,000","494,976,000","513,674,000","668,180,000","490,686,000","490,686,000","485,816,000","485,506,000","610,657,000","445,164,000","435,766,000","430,401,000","564,701,000","392,774,000","375,503,000","371,959,000","509,744,000","342,742,000","335,950,000","344,961,000","453,385,000","313,054,000","315,818,000","316,810,000","394,000,000","283,416,000","288,022,000","287,811,000","378,975,000","266,670,000","261,517,000","269,938,000","356,890,000","272,967,000","274,239,000","277,580,000","343,863,000","253,235,000","262,069,000","273,137,000","333,833,000","219,564,000","230,673,000","233,011,000","319,421,000","244,868,000","246,588,000","250,977,000","333,953,000","253,390,000","248,422,000","248,251,000","319,562,000","240,890,000","238,976,000","253,359,000","340,035,000","251,064,000","258,555,000","276,655,000","362,842,000","245,696,000","246,635,000","237,643,000","320,521,000","221,348,000","218,423,000"
GrossProfit,"1,688,242,000","506,201,000","385,200,000","407,690,000","389,151,000","535,264,000","361,981,000","361,981,000","357,091,000","357,091,000","340,157,000","447,288,000","316,251,000","316,251,000","316,671,000","322,289,000","413,955,000","295,279,000","295,279,000","293,580,000","299,865,000","280,852,000","198,478,000","192,845,000","193,816,000","254,734,000","173,903,000","171,838,000","167,216,000","231,439,000","141,954,000","152,672,000","157,066,000","189,565,000","133,514,000","134,645,000","137,042,000","172,547,000","120,634,000","125,987,000","129,806,000","160,675,000","111,407,000","114,607,000","114,649,000","144,858,000","103,359,000","110,694,000","111,606,000","136,108,000","94,153,000","100,336,000","107,994,000","129,049,000","83,151,000","85,959,000","88,817,000","108,745,000","78,720,000","87,759,000","88,035,000","111,989,000","83,928,000","91,867,000","91,070,000","115,692,000","85,779,000","88,765,000","94,295,000","117,364,000","86,512,000","88,399,000","93,013,000","115,686,000","79,282,000","77,601,000","81,111,000","112,485,000","71,500,000","76,793,000"
OperatingExpense,"907,834,000","283,513,000","204,920,000","216,788,000","202,613,000","291,220,000","199,800,000","199,800,000","193,508,000","193,508,000","184,323,000","243,337,000","173,222,000","173,222,000","177,748,000","178,785,000","234,319,000","162,847,000","162,847,000","167,435,000","166,389,000","105,601,000","81,398,000","79,978,000","77,782,000","104,017,000","72,992,000","68,137,000","68,504,000","93,027,000","61,411,000","60,441,000","62,813,000","86,683,000","56,573,000","53,282,000","52,867,000","74,877,000","53,858,000","52,146,000","54,281,000","72,636,000","49,789,000","48,829,000","47,754,000","68,725,000","47,505,000","48,648,000","46,494,000","68,720,000","45,929,000","45,787,000","50,453,000","65,212,000","42,701,000","45,655,000","43,899,000","56,854,000","38,483,000","34,207,000","38,685,000","55,871,000","40,167,000","48,568,000","40,338,000","52,498,000","35,066,000","42,366,000","40,404,000","60,718,000","41,128,000","41,819,000","42,518,000","55,478,000","50,904,000","38,280,000","37,640,000","57,510,000","49,097,000","37,654,000"
	SellingGeneralAndAdministration,"907,834,000","283,513,000","204,920,000","216,788,000","202,613,000","291,220,000","199,800,000","199,800,000","193,508,000","193,508,000","184,323,000","243,337,000","173,222,000","173,222,000","177,748,000","178,785,000","234,319,000","162,847,000","162,847,000","167,435,000","166,389,000","105,601,000","81,398,000","79,978,000","77,782,000","104,017,000","72,992,000","68,137,000","68,504,000","93,027,000","61,411,000","60,441,000","62,813,000","86,683,000","56,573,000","53,282,000","52,867,000","74,877,000","53,858,000","52,146,000","54,281,000","72,636,000","49,789,000","48,829,000","47,754,000","68,725,000","47,505,000","48,648,000","46,494,000","68,720,000","45,929,000","45,787,000","50,453,000","65,212,000","42,701,000","45,655,000","43,899,000","56,854,000","38,483,000","34,207,000","38,685,000","55,871,000","40,167,000","48,568,000","40,338,000","52,498,000","35,066,000","42,366,000","40,404,000","60,718,000","41,128,000","41,819,000","42,518,000","55,478,000","50,904,000","38,280,000","37,640,000","57,510,000","49,097,000","37,654,000"
		GeneralAndAdministrativeExpense,"428,333,000","140,290,000","96,342,000","100,448,000","91,253,000","138,404,000","91,652,000","91,652,000","88,068,000","88,068,000","88,489,000","119,653,000","83,728,000","83,728,000","89,248,000","89,664,000","121,411,000","80,369,000","80,369,000","86,506,000","84,178,000","105,601,000","81,398,000","79,978,000","77,782,000","104,017,000","72,992,000","68,137,000","68,504,000","93,027,000","61,411,000","60,441,000","62,813,000","86,683,000","56,573,000","53,282,000","52,867,000","74,877,000","53,858,000","52,146,000","54,281,000","72,636,000","49,789,000",,,,"47,505,000",,,,"45,929,000","45,787,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,
			OtherGandA,"428,333,000","140,290,000","96,342,000","100,448,000","91,253,000","138,404,000","91,652,000","91,652,000","88,068,000","88,068,000","88,489,000","119,653,000","83,728,000","83,728,000","89,248,000","89,664,000","121,411,000","80,369,000","80,369,000","86,506,000","84,178,000","105,601,000","81,398,000","79,978,000","77,782,000","104,017,000","72,992,000","68,137,000","68,504,000","93,027,000","61,411,000","60,441,000","62,813,000","86,683,000","56,573,000","53,282,000","52,867,000","74,877,000","53,858,000","52,146,000","54,281,000","72,636,000","49,789,000",,,,"47,505,000",,,,"45,929,000","45,787,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,
		SellingAndMarketingExpense,"479,501,000","143,223,000","108,578,000","116,340,000","111,360,000","152,816,000","108,148,000","108,148,000","105,440,000","105,440,000","95,834,000","123,684,000","89,494,000","89,494,000","88,500,000","89,121,000","112,908,000","82,478,000","82,478,000","80,929,000","82,211,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OperatingIncome,"780,408,000","222,688,000","180,280,000","190,902,000","186,538,000","244,044,000","162,181,000","162,181,000","163,583,000","163,583,000","155,834,000","203,951,000","143,029,000","143,029,000","138,923,000","143,504,000","179,636,000","132,432,000","132,432,000","126,145,000","133,476,000","175,251,000","117,080,000","112,867,000","116,034,000","150,717,000","100,911,000","103,701,000","98,712,000","138,412,000","80,543,000","92,231,000","94,253,000","102,882,000","76,941,000","81,363,000","84,175,000","97,670,000","66,776,000","73,841,000","75,525,000","88,039,000","61,618,000","65,778,000","66,895,000","76,133,000","55,854,000","62,046,000","65,112,000","67,388,000","48,224,000","54,549,000","57,541,000","63,837,000","40,450,000","40,304,000","44,918,000","51,891,000","40,237,000","53,552,000","49,350,000","56,118,000","43,761,000","43,299,000","50,732,000","63,194,000","50,713,000","46,399,000","53,891,000","56,646,000","45,384,000","46,580,000","50,495,000","60,208,000","28,378,000","39,321,000","43,471,000","54,975,000","22,403,000","39,139,000"
