name,ttm,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999,12/31/1998,09/30/1998,06/30/1998,03/31/1998,12/31/1997,09/30/1997,06/30/1997,03/31/1997,12/31/1996,09/30/1996,06/30/1996,03/31/1996,12/31/1995,09/30/1995,06/30/1995,03/31/1995,12/31/1994,09/30/1994,06/30/1994,03/31/1994,12/31/1993,09/30/1993,06/30/1993,03/31/1993
TotalRevenue,"1,105,923,000","264,574,000","280,365,000","271,692,000","289,292,000","266,290,000","262,028,000","238,511,000","226,369,000","230,475,000","241,329,000","237,026,000","264,929,000","270,857,000","231,898,000","210,558,000","234,557,000","215,619,000","194,828,000","189,412,000","227,314,000","224,527,000","226,199,000","226,564,000","224,954,000","221,563,000","234,537,000","225,897,000","267,435,000","277,442,000","291,061,000","303,030,000","293,170,000","252,556,000","291,690,000","275,458,000","268,668,000","266,482,000","302,889,000","268,615,000","272,400,000","166,038,000","361,263,000","363,070,000","386,886,000","304,799,000","371,271,000","383,934,000","335,661,000","338,964,000","324,893,000","352,229,000","326,045,000","270,130,000","245,935,000","242,232,000","242,677,000","260,143,000","223,487,000","219,693,000","229,868,000","245,980,000","234,219,000","220,677,000","212,010,000","198,740,000","199,886,000","228,914,000","217,931,000","221,802,000","212,405,000","202,471,000","202,785,000","205,928,000","196,815,000","194,063,000","194,433,000","184,946,000","193,977,000","195,758,000","204,197,000","192,248,000","199,875,000","205,395,000","206,290,000","194,714,000","207,663,000","203,449,000","188,799,000","174,394,000","179,500,000","118,500,000","117,200,000","98,241,000","98,800,000","90,800,000","85,400,000","75,380,000","64,300,000","57,000,000","55,400,000","49,589,000","46,700,000","44,700,000","41,200,000","35,518,000","34,500,000","31,400,000","29,800,000","25,531,000","30,300,000","26,300,000","25,700,000","27,000,000","4,300,000","19,900,000","19,900,000"
	OperatingRevenue,"1,105,923,000","264,574,000","280,365,000","271,692,000","289,292,000","266,290,000","262,028,000","238,511,000","226,369,000","230,475,000","241,329,000","237,026,000","264,929,000","270,857,000","231,898,000","210,558,000","234,557,000","215,619,000","194,828,000","189,412,000","227,314,000","224,527,000","226,199,000","226,564,000","224,954,000","221,563,000","234,537,000","225,897,000","267,435,000","277,442,000","291,061,000","303,030,000","293,170,000","252,556,000","291,690,000","275,458,000","268,668,000","266,482,000","302,889,000","268,615,000","272,400,000","166,038,000","361,263,000","363,070,000","386,886,000","304,799,000","371,271,000","383,934,000","335,661,000","338,964,000","324,893,000","352,229,000","326,045,000","270,130,000","245,935,000","242,232,000","247,031,000","230,660,000","231,578,000","224,670,000","229,868,000","245,980,000","234,219,000","220,677,000","216,100,000","188,875,000","203,940,000","228,914,000","217,931,000","208,537,000","217,015,000","202,471,000","202,785,000","210,073,000","199,438,000","196,689,000","194,433,000","184,946,000","193,977,000","200,092,000","205,945,000","192,248,000","199,875,000","207,108,000","206,290,000","166,631,000","213,752,000","209,137,000","188,799,000","187,100,000","179,500,000","118,500,000","117,200,000","101,200,000","98,800,000","90,800,000","85,400,000","79,300,000","64,300,000","57,000,000","55,400,000","55,300,000","46,700,000","44,700,000","41,200,000","37,700,000","34,500,000","31,400,000","29,800,000","28,800,000","30,300,000","26,300,000","25,700,000","27,000,000","4,300,000","19,900,000","19,900,000"
CostOfRevenue,"313,480,000","61,990,000","78,778,000","73,949,000","98,763,000","75,184,000","81,862,000","64,726,000","62,138,000","63,276,000","74,537,000","73,161,000","105,696,000","114,135,000","82,949,000","63,218,000","91,951,000","80,390,000","68,460,000","63,782,000","65,368,000","74,221,000","74,579,000","77,905,000","79,825,000","76,677,000","87,533,000","79,579,000","113,926,000","107,761,000","123,706,000","135,759,000","130,005,000","104,181,000","132,730,000","115,951,000","110,541,000","115,397,000","156,054,000","120,745,000","129,934,000","97,259,000","204,279,000","203,769,000","227,557,000","165,821,000","209,319,000","237,502,000","191,144,000","188,702,000","176,258,000","197,237,000","171,594,000",,,,,,,,,,,,"46,338,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GrossProfit,"792,443,000","202,584,000","201,587,000","197,743,000","190,529,000","191,106,000","180,166,000","173,785,000","164,231,000","167,199,000","166,792,000","163,865,000","159,233,000","156,722,000","148,949,000","147,340,000","142,606,000","135,229,000","126,368,000","125,630,000","161,946,000","150,306,000","151,620,000","148,659,000","145,129,000","144,886,000","147,004,000","146,318,000","153,509,000","169,681,000","167,355,000","167,271,000","163,165,000","148,375,000","158,960,000","159,507,000","158,127,000","151,085,000","146,835,000","147,870,000","142,466,000","68,779,000","156,984,000","159,301,000","159,329,000","138,978,000","161,952,000","146,432,000","144,517,000","150,262,000","148,635,000","154,992,000","154,451,000",,,,,,,,,,,,"165,672,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OperatingExpense,"448,611,000","107,936,000","106,809,000","111,973,000","121,893,000","113,404,000","105,865,000","105,890,000","110,759,000","102,548,000","99,641,000","101,389,000","102,254,000","93,779,000","88,482,000","90,428,000","99,338,000","90,640,000","78,837,000","79,589,000","101,527,000","92,712,000","94,646,000","92,581,000","97,133,000","89,545,000","92,705,000","99,127,000","100,464,000","107,394,000","105,629,000","108,135,000","112,845,000","105,487,000","114,014,000","108,287,000","110,328,000","110,928,000","104,181,000","104,511,000","103,717,000","54,641,000","106,462,000","108,625,000","106,022,000","121,348,000","105,924,000","83,988,000","90,284,000","624,637,000","-78,778,000","75,607,000","-70,493,000","-137,786,000","159,353,000","162,863,000","184,534,000","192,012,000","160,828,000","190,961,000","210,576,000","-217,659,000","265,843,000","192,316,000","88,841,000","109,614,000","136,966,000","134,392,000","183,601,000","175,549,000","177,229,000","113,779,000","165,080,000","155,444,000","147,293,000","148,137,000","155,053,000","137,091,000","142,180,000","135,312,000","141,676,000","130,417,000","126,965,000","133,556,000","135,613,000","131,752,000","146,650,000","141,945,000","133,675,000","578,685,000","-79,900,000","-52,200,000","-53,600,000","372,852,000","-44,200,000","-42,900,000","-39,300,000","245,217,000","-27,800,000","-26,800,000","-26,000,000","182,614,000","-19,100,000","-20,400,000","-20,600,000","133,341,000","-15,400,000","-13,400,000","-13,200,000","111,529,000","-12,000,000","-11,500,000","-10,500,000","-11,200,000","-2,600,000",,
	SellingGeneralAndAdministration,"69,554,000","15,306,000","14,152,000","15,879,000","24,217,000","15,596,000","11,439,000","13,606,000","21,763,000","11,766,000","13,720,000","13,420,000","21,983,000","12,777,000","8,959,000","13,459,000","21,023,000","13,779,000","10,075,000","11,858,000","19,232,000","13,173,000","12,534,000","11,584,000","18,098,000","10,983,000","11,340,000","19,238,000","17,004,000","13,730,000","10,573,000","10,365,000","14,694,000","9,448,000","10,373,000","9,707,000","13,145,000","14,057,000","8,934,000","11,594,000","11,839,000","13,876,000","9,493,000","8,541,000","11,197,000","19,361,000","8,476,000","9,151,000","13,544,000","13,224,000","11,233,000","-13,600,000","9,880,000","10,008,000","10,448,000","6,888,000","12,162,000","9,768,000","3,847,000","10,606,000","13,467,000","8,119,000","6,804,000","6,965,000","13,947,000","8,774,000","5,250,000","6,280,000","7,581,000","5,460,000","6,892,000","5,718,000","8,323,000","5,898,000","4,892,000","5,081,000","6,272,000","4,087,000","6,804,000","7,224,000","7,237,000","5,407,000","1,437,000","4,688,000","4,027,000","5,645,000","5,825,000","4,510,000","5,164,000","-8,144,000","10,500,000","6,800,000","7,300,000","-6,527,000","6,000,000","3,800,000","2,900,000","-5,170,000","4,000,000","2,500,000","2,300,000","-6,481,000","3,300,000","3,600,000","900,000","-5,531,000","2,800,000","2,500,000","2,400,000","-6,555,000","3,500,000","2,600,000","3,400,000","3,000,000","100,000",,
		GeneralAndAdministrativeExpense,"69,554,000","15,306,000","14,152,000","15,879,000","24,217,000","15,596,000","11,439,000","13,606,000","21,763,000","11,766,000","13,720,000","13,420,000","21,983,000","12,777,000","8,959,000","13,459,000","21,023,000","13,779,000","10,075,000","11,858,000","19,232,000","13,173,000","12,534,000","11,584,000","18,098,000","10,983,000","11,340,000","19,238,000","17,004,000","13,730,000","10,573,000","10,365,000","14,694,000","9,448,000","10,373,000","9,707,000","13,145,000","14,057,000",,,,,,,,,,,,,,,,,"10,448,000","6,888,000","12,162,000","9,768,000","3,847,000","10,606,000","13,467,000","8,119,000","6,804,000","6,965,000","13,947,000","8,774,000","5,250,000","6,280,000","7,581,000","5,460,000","6,892,000","5,718,000","8,323,000","5,898,000","4,892,000","5,081,000","6,272,000","4,087,000","6,804,000","7,224,000","7,237,000","5,407,000","1,437,000","4,688,000","4,027,000","5,645,000","5,825,000","4,510,000","5,164,000",,"10,500,000","6,800,000","7,300,000","-6,527,000","6,000,000","3,800,000","2,900,000","-5,170,000","4,000,000","2,500,000","2,300,000","-6,481,000","3,300,000","3,600,000","900,000","-5,531,000","2,800,000","2,500,000","2,400,000","-6,555,000","3,500,000","2,600,000","3,400,000","3,000,000","100,000",,
			SalariesAndWages,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"12,162,000","9,768,000","3,847,000","10,606,000","13,467,000","8,119,000","6,804,000","6,965,000","13,947,000","8,774,000","5,250,000","6,280,000","7,581,000","5,460,000","6,892,000","5,718,000","8,323,000","5,898,000","4,892,000","5,081,000","6,272,000","4,087,000","6,804,000","7,224,000","7,237,000","5,407,000","1,437,000","4,688,000","4,027,000","5,645,000","5,825,000","4,510,000","5,164,000",,"10,500,000","6,800,000","7,300,000","5,900,000","6,000,000","3,800,000","2,900,000","5,600,000","4,000,000","2,500,000","2,300,000","-2,000,000","3,300,000","3,600,000","900,000","2,700,000","2,800,000","2,500,000","2,400,000","2,200,000","3,500,000","2,600,000","3,400,000","3,000,000","100,000",,
			RentAndLandingFees,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"76,881,000","73,735,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			OtherGandA,"69,554,000","15,306,000","14,152,000","15,879,000","24,217,000","15,596,000","11,439,000","13,606,000","21,763,000","11,766,000","13,720,000","13,420,000","21,983,000","12,777,000","8,959,000","13,459,000","21,023,000","13,779,000","10,075,000","11,858,000","19,232,000","13,173,000","12,534,000","11,584,000","18,098,000","10,983,000","11,340,000","19,238,000","17,004,000","13,730,000","10,573,000","10,365,000","14,694,000","9,448,000","10,373,000","9,707,000","13,145,000","14,057,000",,,,,,,,,,,,,,,,,"-66,433,000","-66,847,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
