name,ttm,02/28/2022,11/30/2021,08/31/2021,05/31/2021,02/28/2021,11/30/2020,08/31/2020,05/31/2020,02/29/2020,11/30/2019,08/31/2019,05/31/2019,02/28/2019,11/30/2018,08/31/2018,05/31/2018,02/28/2018,11/30/2017,08/31/2017,05/31/2017,02/28/2017,11/30/2016,08/31/2016,05/31/2016,02/29/2016,11/30/2015,08/31/2015,05/31/2015,02/28/2015,11/30/2014,08/31/2014,05/31/2014,02/28/2014,11/30/2013,08/31/2013,05/31/2013,02/28/2013,11/30/2012,08/31/2012,05/31/2012,02/29/2012,11/30/2011,08/31/2011,05/31/2011,02/28/2011,11/30/2010,08/31/2010,05/31/2010,02/28/2010,11/30/2009,08/31/2009,05/31/2009,02/28/2009,11/30/2008,08/31/2008,05/31/2008,02/29/2008,11/30/2007,08/31/2007,05/31/2007,02/28/2007,11/30/2006,08/31/2006,05/31/2006,02/28/2006,11/30/2005,08/31/2005,05/31/2005,02/28/2005,11/30/2004,08/31/2004,05/31/2004,02/29/2004,11/30/2003,08/31/2003,05/31/2003,02/28/2003,11/30/2002,08/31/2002,05/31/2002,02/28/2002,11/30/2001,08/31/2001,05/31/2001,02/28/2001,11/30/2000,08/31/2000,05/31/2000,02/29/2000,11/30/1999,08/31/1999,05/31/1999,02/28/1999,11/30/1998,08/31/1998,05/31/1998,02/28/1998,11/30/1997,08/31/1997,05/31/1997,02/28/1997,11/30/1996,08/31/1996,05/31/1996,02/29/1996,11/30/1995,08/31/1995,05/31/1995,02/28/1995,11/30/1994,08/31/1994
TotalRevenue,"9,306,300,000","2,448,900,000","2,272,200,000","2,306,000,000","2,279,200,000","1,733,000,000","1,656,500,000","1,527,400,000","1,270,100,000","2,346,500,000","2,056,400,000","2,133,900,000","2,229,100,000","2,246,500,000","1,973,400,000","2,061,400,000","2,134,100,000","2,128,400,000","1,881,500,000","1,936,100,000","1,934,600,000","1,878,700,000","1,642,500,000","1,714,400,000","1,790,200,000","1,847,500,000","1,608,800,000","1,687,000,000","1,878,300,000","1,730,900,000","1,559,000,000","1,595,800,000","-155,900,000","2,233,100,000","2,049,900,000","2,158,500,000","2,298,900,000","2,258,200,000","1,960,000,000","2,034,800,000","2,065,500,000","2,159,700,000","1,831,500,000","1,942,000,000","1,990,400,000","1,976,800,000","1,726,200,000","1,806,700,000","1,863,800,000","1,874,000,000","1,641,300,000","1,734,000,000","1,975,600,000","1,798,900,000","1,668,900,000","1,774,200,000","1,825,600,000","1,811,400,000","1,522,000,000","1,467,500,000","1,183,000,000","1,542,900,000","1,385,299,000","1,455,874,000","1,512,199,000","1,474,181,000","1,325,093,000","1,409,167,000","1,394,214,000","1,375,879,000","1,229,373,000","1,278,644,000","1,359,171,000","1,241,952,000","1,142,543,000","1,259,689,000","1,227,492,000","1,181,383,000","1,071,531,000","1,174,565,000","1,139,319,000","1,134,388,000","1,013,504,000","1,081,489,000","1,082,359,000","988,635,000","931,958,000","1,018,205,000","1,006,156,000","917,500,000","848,200,000","929,400,000","914,000,000","866,900,000","791,200,000","886,100,000","921,100,000","811,300,000","745,300,000","809,300,000","816,600,000","800,800,000","748,800,000","805,600,000","829,500,000","795,100,000","731,200,000","836,000,000","790,800,000","790,800,000","790,800,000","790,800,000"
	OperatingRevenue,"9,306,300,000","2,448,900,000","2,272,200,000","2,306,000,000","2,279,200,000","1,733,000,000","1,656,500,000","1,527,400,000","1,270,100,000","2,346,500,000","2,056,400,000","2,133,900,000","2,229,100,000","2,246,500,000","1,973,400,000","2,061,400,000","2,134,100,000","2,128,400,000","1,881,500,000","1,936,100,000","1,934,600,000","1,878,700,000","1,642,500,000","1,714,400,000","1,790,200,000","1,847,500,000","1,608,800,000","1,687,000,000","1,878,300,000","1,730,900,000","1,559,000,000","1,595,800,000","-155,900,000","2,233,100,000","2,049,900,000","2,158,500,000","2,298,900,000","2,258,200,000","1,960,000,000","2,034,800,000","2,065,500,000","2,159,700,000","1,831,500,000","1,942,000,000","1,990,400,000","1,976,800,000","1,726,200,000","1,806,700,000","1,863,800,000","1,874,000,000","1,641,300,000","1,734,000,000","1,975,600,000","1,798,900,000","1,668,900,000","1,774,200,000","1,825,600,000","1,811,400,000","1,522,000,000","1,467,500,000","1,183,000,000","1,542,900,000","1,385,299,000","1,455,874,000","1,512,199,000","1,474,181,000","1,325,093,000","1,409,167,000","1,394,214,000","1,375,879,000","1,229,373,000","1,278,644,000","1,359,171,000","1,241,952,000","1,142,543,000","1,259,689,000","1,227,492,000","1,181,383,000","1,071,531,000","1,174,565,000","1,139,319,000","1,134,388,000","1,013,504,000","1,081,489,000","1,082,359,000","988,635,000","931,958,000","1,018,205,000","1,006,156,000","917,500,000","848,200,000","929,400,000","914,000,000","866,900,000","791,200,000","886,100,000","921,100,000","811,300,000","745,300,000","809,300,000","816,600,000","800,800,000","748,800,000","805,600,000","829,500,000","795,100,000","731,200,000","836,000,000","790,800,000","790,800,000","790,800,000","790,800,000"
CostOfRevenue,"7,310,300,000","1,947,100,000","1,823,900,000","1,799,500,000","1,739,800,000","1,395,600,000","1,341,100,000","1,226,100,000","1,259,600,000","1,808,500,000","1,650,900,000","1,679,500,000","1,725,300,000","1,728,900,000","1,586,700,000","1,620,500,000","1,648,500,000","1,647,100,000","1,516,800,000","1,522,300,000","1,496,400,000","1,440,200,000","1,321,500,000","1,342,700,000","1,382,300,000","1,415,500,000","1,283,900,000","1,310,700,000","1,446,900,000","1,342,300,000","1,269,700,000","1,282,600,000","-141,800,000","1,760,900,000","1,670,100,000","1,701,300,000","1,790,200,000","1,752,300,000","1,568,700,000","1,549,800,000","1,568,900,000","1,627,300,000","1,460,600,000","1,506,400,000","1,514,200,000","1,478,400,000","1,341,500,000","1,365,400,000","1,425,600,000","1,430,200,000","1,292,400,000","1,335,700,000","1,508,500,000","1,394,000,000","1,341,300,000","1,393,100,000","1,418,600,000","1,398,200,000","1,209,500,000","1,112,300,000","875,500,000","1,181,600,000","1,090,345,000","1,111,324,000","1,169,184,000","1,129,664,000","1,045,612,000","1,083,048,000","1,077,096,000","1,055,441,000","971,037,000","990,451,000","1,050,751,000","952,272,000","912,824,000","979,870,000","956,276,000","920,322,000","854,617,000","903,175,000","880,743,000","869,347,000","803,321,000","831,188,000","844,608,000","767,284,000","735,353,000","787,539,000","780,063,000","712,700,000","677,700,000","724,700,000","704,000,000","683,200,000","643,000,000","710,000,000","720,200,000","644,700,000","611,900,000","646,800,000","653,500,000","652,300,000","628,800,000","637,600,000","640,900,000","605,600,000","577,200,000","647,600,000",,,,
GrossProfit,"1,996,000,000","501,800,000","448,300,000","506,500,000","539,400,000","337,400,000","315,400,000","301,300,000","10,500,000","538,000,000","405,500,000","454,400,000","503,800,000","517,600,000","386,700,000","440,900,000","485,600,000","481,300,000","364,700,000","413,800,000","438,200,000","438,500,000","321,000,000","371,700,000","407,900,000","432,000,000","324,900,000","376,300,000","431,400,000","388,600,000","289,300,000","313,200,000","-14,100,000","472,200,000","379,800,000","457,200,000","508,700,000","505,900,000","391,300,000","485,000,000","496,600,000","532,400,000","370,900,000","435,600,000","476,200,000","498,400,000","384,700,000","441,300,000","438,200,000","443,800,000","348,900,000","398,300,000","467,100,000","404,900,000","327,600,000","381,100,000","407,000,000","413,200,000","312,500,000","355,200,000","307,500,000","361,300,000","294,954,000","344,550,000","343,015,000","344,517,000","279,481,000","326,119,000","317,118,000","320,438,000","258,336,000","288,193,000","308,420,000","289,680,000","229,719,000","279,819,000","271,216,000","261,061,000","216,914,000","271,390,000","258,576,000","265,041,000","210,183,000","250,301,000","237,751,000","221,351,000","196,605,000","230,666,000","226,093,000","204,800,000","170,500,000","204,700,000","210,000,000","183,700,000","148,200,000","176,100,000","200,900,000","166,600,000","133,400,000","162,500,000","163,100,000","148,500,000","120,000,000","168,000,000","188,600,000","189,500,000","154,000,000","188,400,000",,,,
OperatingExpense,"848,200,000","204,600,000","205,400,000","225,700,000","210,800,000","186,300,000","194,700,000","244,700,000","212,600,000","259,600,000","245,200,000","252,900,000","259,400,000","250,500,000","235,900,000","251,700,000","251,100,000","248,200,000","235,800,000","240,100,000","268,000,000","209,700,000","204,400,000","218,200,000","220,900,000","212,900,000","235,500,000","243,800,000","269,800,000","213,800,000","270,500,000","238,700,000","-14,500,000","317,800,000","328,800,000","335,800,000","315,700,000","300,800,000","315,300,000","310,800,000","268,800,000","286,900,000","273,200,000","266,900,000","263,700,000","275,300,000","258,000,000","257,600,000","249,900,000","247,600,000","243,700,000","244,300,000","261,300,000","230,900,000","217,300,000","239,300,000","233,600,000","229,500,000","230,700,000","193,600,000","140,300,000","197,000,000","198,678,000","199,055,000","188,650,000","195,069,000","186,942,000","187,173,000","180,187,000","179,209,000","183,961,000","167,340,000","178,820,000","165,731,000","172,368,000","165,194,000","171,573,000","157,067,000","149,822,000","152,132,000","139,961,000","153,149,000","147,215,000","146,450,000","137,088,000","137,332,000","143,517,000","136,554,000","136,129,000","125,400,000","127,300,000","127,000,000","134,700,000","120,800,000","118,800,000","116,800,000","134,800,000","116,300,000","116,800,000","121,600,000","116,400,000","121,300,000","130,200,000","134,100,000","129,300,000","127,500,000","122,600,000","131,000,000",,,,
	SellingGeneralAndAdministration,"483,700,000","110,300,000","113,300,000","136,700,000","121,700,000","98,100,000","108,700,000","157,100,000","118,200,000","171,900,000","157,600,000","166,700,000","171,500,000","165,200,000","153,100,000","171,000,000","172,100,000","169,000,000","157,000,000","164,000,000","197,600,000","141,800,000","136,600,000","151,400,000","154,100,000","145,900,000","160,200,000","162,700,000","188,900,000","134,200,000","190,400,000","160,000,000","3,000,000","209,300,000","221,100,000","230,000,000","213,700,000","199,800,000","216,100,000","218,200,000","178,500,000","198,000,000","187,400,000","182,800,000","182,100,000","194,800,000","180,000,000","180,900,000","173,800,000","169,500,000","169,900,000","171,400,000","188,700,000","159,700,000","146,700,000","170,500,000","165,500,000","162,800,000","170,400,000","143,000,000","110,100,000","140,200,000","142,058,000","142,311,000","132,178,000","138,984,000","132,181,000","133,035,000","125,625,000","126,488,000","130,785,000","114,580,000","124,596,000","113,552,000","120,320,000","113,641,000","119,558,000","108,935,000","103,892,000","106,991,000","96,568,000","111,284,000","106,154,000","106,940,000","103,930,000","98,455,000","105,955,000","99,287,000","100,170,000","90,900,000","94,200,000","94,200,000","101,600,000","88,200,000","86,400,000","84,800,000","101,600,000","83,300,000","84,400,000","89,200,000","83,700,000","85,200,000","93,300,000","99,100,000","93,600,000","95,100,000","89,600,000","95,600,000",,,,
		GeneralAndAdministrativeExpense,"386,400,000","83,100,000","91,400,000","112,800,000","97,400,000","78,900,000","89,900,000","128,300,000","86,800,000","100,300,000","91,300,000","98,000,000","103,100,000","102,800,000","95,100,000","104,500,000","102,800,000","110,100,000","98,900,000","98,000,000","133,300,000","87,200,000","79,500,000","87,700,000","90,700,000","95,200,000","101,900,000","97,100,000","-54,400,000","134,200,000","190,400,000","160,000,000","3,000,000","209,300,000","221,100,000","230,000,000","213,700,000","199,800,000","216,100,000","218,200,000","178,500,000","198,000,000",,,,"194,800,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			OtherGandA,"386,400,000","83,100,000","91,400,000","112,800,000","97,400,000","78,900,000","89,900,000","128,300,000","86,800,000","100,300,000","91,300,000","98,000,000","103,100,000","102,800,000","95,100,000","104,500,000","102,800,000","110,100,000","98,900,000","98,000,000","133,300,000","87,200,000","79,500,000","87,700,000","90,700,000","95,200,000","101,900,000","97,100,000","-54,400,000","134,200,000","190,400,000","160,000,000","3,000,000","209,300,000","221,100,000","230,000,000","213,700,000","199,800,000","216,100,000","218,200,000","178,500,000","198,000,000",,,,"194,800,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		SellingAndMarketingExpense,"97,300,000","27,200,000","21,900,000","23,900,000","24,300,000","19,200,000","18,800,000","28,800,000","31,400,000","71,600,000","66,300,000","68,700,000","68,400,000","62,400,000","58,000,000","66,500,000","69,300,000","58,900,000","58,100,000","66,000,000","64,300,000","54,600,000","57,100,000","63,700,000","63,400,000","50,700,000","58,300,000","65,600,000","65,500,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
	DepreciationAmortizationDepletionIncomeStatement,"364,500,000","94,300,000","92,100,000","89,000,000","89,100,000","88,200,000","86,000,000","87,600,000","94,400,000","87,700,000","87,600,000","86,200,000","87,900,000","85,300,000","82,800,000","80,700,000","79,000,000","79,200,000","78,800,000","76,100,000","70,400,000","67,900,000","67,800,000","66,800,000","66,800,000","67,000,000","75,300,000","81,100,000","80,900,000","79,600,000","80,100,000","78,700,000","-17,500,000","108,500,000","107,700,000","105,800,000","102,000,000","101,000,000","99,200,000","92,600,000","90,300,000","88,900,000","85,800,000","84,100,000","81,600,000","80,500,000","78,000,000","76,700,000","76,100,000","78,100,000","73,800,000","72,900,000","72,600,000","71,200,000","70,600,000","68,800,000","68,100,000","66,700,000","60,300,000","50,600,000","30,200,000","56,800,000","56,620,000","56,744,000","56,472,000","56,085,000","54,761,000","54,138,000","54,562,000","52,721,000","53,176,000","52,760,000","54,224,000","52,179,000","52,048,000","51,553,000","52,015,000","48,132,000","45,930,000","45,141,000","43,393,000","41,865,000","41,061,000","39,510,000","33,158,000","38,877,000","37,562,000","37,267,000","35,959,000","34,500,000","33,100,000","32,800,000","33,100,000","32,600,000","32,400,000","32,000,000","33,200,000","33,000,000","32,400,000","32,400,000","32,700,000","36,100,000","36,900,000","35,000,000","35,700,000","32,400,000","33,000,000","35,400,000",,,,
