name,ttm,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999,12/31/1998,09/30/1998,06/30/1998,03/31/1998,12/31/1997,09/30/1997,06/30/1997,03/31/1997,12/31/1996,09/30/1996,06/30/1996,03/31/1996,11/30/1995,08/31/1995,05/31/1995,02/28/1995,11/30/1994,08/31/1994
TotalRevenue,"11,618,797,000","2,943,967,000","2,938,319,000","2,916,510,000","2,820,001,000","2,905,322,000","2,924,066,000","2,879,979,000","2,841,237,000","2,898,584,000","2,904,078,000","2,842,705,000","2,743,112,000","2,821,124,000","2,847,330,000","2,886,953,000","2,849,444,000","2,780,913,000","3,922,831,000","3,877,477,000","3,697,283,000","2,699,419,000","3,730,576,000","3,717,651,000","3,581,136,000","3,533,589,000","3,525,665,000","3,434,618,000","3,287,965,000","3,328,017,000","3,251,824,000","3,172,489,000","3,042,776,000","3,063,209,000","2,999,586,000","2,871,673,000","2,829,582,000","2,426,939,000","1,962,966,000","1,929,740,000","1,866,635,000","1,862,318,000","1,807,869,000","1,711,529,000","1,605,958,000","1,649,417,000","1,649,557,000","1,586,907,000","1,559,418,000","1,568,204,000","1,573,915,000","1,519,041,000","1,447,640,000","1,461,010,000","1,447,135,000","1,407,304,000","1,344,724,000","1,354,869,000","1,318,381,000","1,312,735,000","1,278,166,000","1,272,617,000","1,237,041,000","1,207,816,000","1,163,188,000","1,038,093,000","676,820,000","649,047,000","609,958,000","616,003,000","595,531,000","551,630,000","535,431,000","583,446,000","513,282,000","489,883,000","459,807,000","503,096,000","481,194,000","442,677,000","427,665,000","429,657,000","434,239,000","400,640,000","386,217,000","372,746,000","362,535,000","378,908,000","372,113,000","372,951,000","367,000,000","353,000,000","352,200,000","339,200,000","318,600,000","288,300,000","258,700,000","130,700,000","113,700,000","104,800,000","89,000,000","84,700,000","73,300,000","64,600,000","50,200,000","39,400,000","35,700,000","24,800,000","24,800,000","24,700,000","24,700,000"
	OperatingRevenue,"11,213,515,000","2,843,031,000","2,837,940,000","2,817,957,000","2,714,587,000","2,786,581,000","2,781,650,000","2,758,197,000","2,713,281,000","2,768,035,000","2,781,169,000","2,734,065,000","2,635,152,000","2,729,803,000","2,670,701,000","2,718,403,000","2,591,074,000","2,614,732,000","3,762,622,000","3,704,545,000","3,519,414,000","2,471,495,000","3,498,951,000","3,468,480,000","3,364,785,000","3,296,394,000","3,340,881,000","3,229,769,000","3,122,330,000","3,150,266,000","3,091,079,000","2,986,618,000","2,901,663,000","2,919,334,000","2,873,963,000","2,741,008,000","2,725,944,000","2,011,990,000","1,962,966,000","1,929,740,000","1,866,635,000","1,862,318,000","1,807,869,000","1,711,529,000","1,605,958,000","1,649,417,000","1,649,557,000","1,586,907,000","1,559,418,000","1,568,204,000","1,573,915,000","1,519,041,000","1,447,640,000","1,461,010,000","1,447,135,000","1,407,304,000","1,344,724,000","1,354,869,000","1,318,381,000","1,312,735,000","1,278,166,000","1,272,617,000","1,237,041,000","1,207,816,000","1,163,188,000","1,038,093,000","676,820,000","649,047,000","609,958,000","616,003,000","595,531,000","551,630,000","535,431,000","553,446,000","513,282,000","489,883,000","459,807,000","503,096,000","481,194,000","442,677,000","427,665,000","429,657,000","434,239,000","400,640,000","386,217,000","372,746,000","362,535,000","378,908,000","372,113,000","372,951,000","367,000,000","353,000,000","352,200,000","339,200,000","318,600,000","288,300,000","258,700,000","130,700,000","113,700,000","104,800,000","89,000,000","84,700,000","73,300,000","64,600,000","50,200,000","39,400,000","35,700,000","24,800,000","24,800,000","24,700,000","24,700,000"
CostOfRevenue,"7,972,414,000","2,060,218,000","2,008,589,000","1,965,277,000","1,938,330,000","2,056,881,000","1,971,719,000","1,984,564,000","1,975,449,000","2,000,625,000","1,991,172,000","1,957,753,000","1,964,935,000","2,027,069,000","2,063,770,000","2,069,089,000","2,035,585,000","1,941,687,000","2,925,975,000","2,859,911,000","2,722,820,000","1,882,778,000","2,697,629,000","2,671,025,000","2,582,333,000","2,515,131,000","2,501,015,000","2,446,076,000","2,362,612,000","2,366,461,000","2,326,534,000","2,246,538,000","2,179,772,000","2,127,832,000","2,095,334,000","2,014,320,000","1,953,929,000","1,662,529,000","1,340,918,000","1,312,247,000","1,263,159,000","1,213,912,000","1,189,638,000","1,165,220,000","1,115,996,000","1,135,012,000","1,144,474,000","1,110,552,000","1,082,789,000","1,095,046,000","1,095,857,000","1,051,879,000","1,005,886,000","1,011,344,000","1,005,648,000","973,286,000","930,209,000","927,503,000","890,243,000","891,013,000","881,585,000","872,556,000","857,049,000","842,973,000","817,773,000","731,946,000","457,994,000","435,354,000","409,949,000","419,593,000","396,909,000","375,139,000","363,429,000","359,965,000","347,895,000","335,986,000","316,710,000","317,061,000","308,438,000","300,552,000","291,634,000","290,881,000","277,252,000","271,545,000","260,974,000","256,407,000","248,734,000","267,714,000","259,298,000","258,739,000","250,800,000","248,500,000","222,100,000","223,200,000","200,900,000","183,300,000","165,300,000","87,000,000","75,500,000","70,400,000","60,100,000","57,900,000","49,500,000","43,300,000","33,300,000","25,000,000","22,700,000",,,,
GrossProfit,"3,646,383,000","883,749,000","929,730,000","951,233,000","881,671,000","848,441,000","952,347,000","895,415,000","865,788,000","897,959,000","912,906,000","884,952,000","778,177,000","794,055,000","783,560,000","817,864,000","813,859,000","839,226,000","996,856,000","1,017,566,000","974,463,000","816,641,000","1,032,947,000","1,046,626,000","998,803,000","1,018,458,000","1,024,650,000","988,542,000","925,353,000","961,556,000","925,290,000","925,951,000","863,004,000","935,377,000","904,252,000","857,353,000","875,653,000","764,410,000","622,048,000","617,493,000","603,476,000","648,406,000","618,231,000","546,309,000","489,962,000","514,405,000","505,083,000","476,355,000","476,629,000","473,158,000","478,058,000","467,162,000","441,754,000","449,666,000","441,487,000","434,018,000","414,515,000","427,366,000","428,138,000","421,722,000","396,581,000","400,061,000","379,992,000","364,843,000","345,415,000","306,147,000","218,826,000","213,693,000","200,009,000","196,410,000","198,622,000","176,491,000","172,002,000","223,481,000","165,387,000","153,897,000","143,097,000","186,035,000","172,756,000","142,125,000","136,031,000","138,776,000","156,987,000","129,095,000","125,243,000","116,339,000","113,801,000","111,194,000","112,815,000","114,212,000","116,200,000","104,500,000","130,100,000","116,000,000","117,700,000","105,000,000","93,400,000","43,700,000","38,200,000","34,400,000","28,900,000","26,800,000","23,800,000","21,300,000","16,900,000","14,400,000","13,000,000",,,,
OperatingExpense,"1,875,950,000","497,486,000","463,557,000","467,780,000","447,127,000","466,005,000","520,174,000","473,585,000","418,255,000","436,892,000","454,651,000","427,580,000","399,341,000","423,689,000","483,099,000","409,073,000","403,328,000","404,139,000","600,616,000","581,747,000","583,896,000","418,011,000","592,402,000","570,842,000","558,301,000","570,890,000","518,065,000","513,027,000","992,417,000","514,013,000","492,979,000","447,751,000","429,151,000","459,517,000","536,401,000","399,959,000","718,159,000","393,164,000","281,189,000","369,611,000","285,388,000","318,294,000","299,519,000","275,263,000","254,409,000","259,000,000","248,338,000","233,990,000","233,963,000","234,446,000","233,057,000","231,208,000","221,150,000","238,066,000","233,603,000","228,464,000","217,788,000","232,103,000","215,726,000","160,505,000","203,264,000","211,550,000","162,898,000","193,091,000","183,340,000","169,425,000","106,488,000","103,378,000","94,013,000","91,239,000","86,970,000","80,024,000","75,169,000","102,291,000","70,176,000","71,097,000","63,763,000","65,856,000","61,432,000","61,214,000","-653,156,000","63,550,000","60,120,000","58,663,000","49,776,000","64,548,000","63,895,000","73,937,000","72,498,000","142,889,000","79,500,000","93,600,000","60,200,000","75,600,000","48,600,000","45,300,000","42,700,000","19,600,000","17,100,000","15,700,000","13,000,000","12,400,000","10,700,000","9,700,000","7,400,000","6,100,000","5,500,000",,,,
	SellingGeneralAndAdministration,"1,195,335,000","322,723,000","293,095,000","298,091,000","281,426,000","304,519,000","363,280,000","316,209,000","263,576,000","278,425,000","298,736,000","275,338,000","250,813,000","268,532,000","336,299,000","264,094,000","266,529,000","265,424,000","400,018,000","382,315,000","391,780,000","285,100,000","406,890,000","386,895,000","386,429,000","404,817,000","353,492,000","352,025,000","341,801,000","355,987,000","322,822,000","298,636,000","284,061,000","318,827,000","305,138,000","268,110,000","291,372,000","193,367,000","201,198,000","292,621,000","207,389,000","193,210,000","182,638,000","163,793,000","151,602,000","157,578,000","148,041,000","136,104,000","137,277,000","137,161,000","134,931,000","132,166,000","127,273,000","170,455,000","165,922,000","162,696,000","155,396,000","169,983,000","154,703,000","156,376,000","146,856,000","157,365,000","145,432,000","142,674,000","134,248,000","124,983,000","72,854,000","71,393,000","65,149,000","64,147,000","61,120,000","55,594,000","52,181,000","49,807,000","49,134,000","51,363,000","45,024,000","46,951,000","45,165,000","47,906,000","36,053,000","37,394,000","33,839,000","32,039,000","23,628,000","37,258,000","36,968,000","44,267,000","44,780,000","114,608,000","49,700,000","66,200,000","33,200,000","46,100,000","26,200,000","24,300,000","23,700,000","11,400,000","10,000,000","9,300,000","7,600,000","7,300,000","6,500,000","6,100,000","4,900,000","4,100,000","3,800,000",,,,
		GeneralAndAdministrativeExpense,"1,195,335,000","322,723,000","293,095,000","298,091,000","281,426,000","304,519,000","363,280,000","316,209,000","263,576,000","278,425,000","298,736,000","275,338,000","250,813,000","268,532,000","336,299,000","264,094,000","266,529,000","265,424,000","400,018,000","382,315,000","391,780,000","285,100,000","406,890,000","386,895,000","386,429,000","404,817,000","353,492,000","352,025,000","341,801,000","355,987,000","322,822,000","298,636,000","284,061,000","318,827,000","305,138,000","268,110,000","291,372,000","193,367,000","201,198,000","292,621,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			OtherGandA,"1,195,335,000","322,723,000","293,095,000","298,091,000","281,426,000","304,519,000","363,280,000","316,209,000","263,576,000","278,425,000","298,736,000","275,338,000","250,813,000","268,532,000","336,299,000","264,094,000","266,529,000","265,424,000","400,018,000","382,315,000","391,780,000","285,100,000","406,890,000","386,895,000","386,429,000","404,817,000","353,492,000","352,025,000","341,801,000","355,987,000","322,822,000","298,636,000","284,061,000","318,827,000","305,138,000","268,110,000","291,372,000","193,367,000","201,198,000","292,621,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
	DepreciationAmortizationDepletionIncomeStatement,"680,615,000","174,763,000","170,462,000","169,689,000","165,701,000","161,486,000","156,894,000","157,376,000","154,679,000","158,467,000","155,915,000","152,242,000","148,528,000","155,157,000","146,000,000","147,079,000","142,799,000","144,367,000","203,283,000","200,038,000","190,206,000","131,090,000","181,739,000","180,381,000","169,355,000","163,330,000","162,062,000","158,843,000","153,789,000","153,253,000","149,196,000","145,907,000","142,579,000","139,474,000","132,765,000","130,589,000","125,909,000","107,601,000","80,586,000","77,807,000","75,975,000","72,987,000","67,558,000","64,470,000","62,037,000","60,071,000","58,325,000","58,353,000","57,468,000","56,865,000","56,813,000","58,185,000","57,123,000","56,244,000","54,970,000","52,892,000","52,811,000","51,392,000","49,230,000","47,058,000","45,790,000","45,209,000","44,478,000","41,717,000","41,891,000","39,756,000","26,372,000","25,860,000","24,848,000","23,212,000","22,257,000","20,927,000","20,270,000","19,985,000","19,336,000","17,921,000","17,445,000","16,895,000","16,267,000","15,698,000","15,805,000","26,156,000","26,281,000","26,624,000","26,148,000","27,290,000","26,927,000","29,670,000","27,718,000","28,281,000","29,800,000","27,400,000","27,000,000","29,500,000","22,400,000","21,000,000","19,000,000","8,200,000","7,100,000","6,400,000","5,400,000","5,100,000","4,200,000","3,600,000","2,500,000","2,000,000","1,700,000",,,,
		DepreciationAndAmortizationInIncomeStatement,"680,615,000","174,763,000","170,462,000","169,689,000","165,701,000","161,486,000","156,894,000","157,376,000","154,679,000","158,467,000","155,915,000","152,242,000","148,528,000","155,157,000","146,000,000","147,079,000","142,799,000","144,367,000","203,283,000","200,038,000","190,206,000","131,090,000","181,739,000","180,381,000","169,355,000","163,330,000","162,062,000","158,843,000","153,789,000","153,253,000","149,196,000","145,907,000","142,579,000","139,474,000","132,765,000","130,589,000","125,909,000","107,601,000","80,586,000","77,807,000","75,975,000","72,987,000","67,558,000","64,470,000","62,037,000","60,071,000","58,325,000","58,353,000","57,468,000","56,865,000","56,813,000","58,185,000","57,123,000","56,244,000","54,970,000","52,892,000","52,811,000","51,392,000","49,230,000","47,058,000","45,790,000","45,209,000","44,478,000","41,717,000","41,891,000","39,756,000","26,372,000","25,860,000","24,848,000","23,212,000","22,257,000","20,927,000","20,270,000","19,985,000","19,336,000","17,921,000","17,445,000","16,895,000","16,267,000","15,698,000","15,805,000","26,156,000","26,281,000","26,624,000","26,148,000","27,290,000","26,927,000","29,670,000","27,718,000","28,281,000","29,800,000","27,400,000","27,000,000","29,500,000","22,400,000","21,000,000","19,000,000","8,200,000","7,100,000","6,400,000","5,400,000","5,100,000","4,200,000","3,600,000","2,500,000","2,000,000","1,700,000",,,,
