name,ttm,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999,12/31/1998,09/30/1998,06/30/1998,03/31/1998,12/31/1997,09/30/1997,06/30/1997,03/31/1997,12/31/1996,09/30/1996,06/30/1996,03/31/1996,12/31/1995,09/30/1995,06/30/1995,03/31/1995,12/31/1994,09/30/1994,06/30/1994,03/31/1994,12/31/1993,09/30/1993,06/30/1993,03/31/1993,12/31/1992,09/30/1992,06/30/1992,03/31/1992,12/31/1991,09/30/1991,06/30/1991,03/31/1991,12/31/1990,09/30/1990,06/30/1990,03/31/1990,12/31/1989,09/30/1989,06/30/1989,03/31/1989,12/31/1988,09/30/1988,06/30/1988,03/31/1988,12/31/1987,09/30/1987,06/30/1987,03/31/1987
TotalRevenue,"12,206,000,000","4,273,000,000","3,466,000,000","2,417,000,000","1,762,000,000","1,280,000,000","1,067,000,000","394,000,000","2,087,000,000","1,224,000,000","1,847,000,000","1,921,000,000","1,501,000,000","3,708,000,000","2,579,000,000","2,249,000,000","3,810,000,000","3,983,000,000","3,156,000,000","3,259,000,000","3,551,000,000","2,808,000,000","2,882,000,000","2,488,000,000","2,126,000,000","2,886,000,000","3,601,000,000","3,393,000,000","3,265,000,000","5,995,000,000","5,336,000,000","4,510,000,000","3,725,000,000","2,614,000,000","2,720,000,000","3,091,000,000","1,972,000,000","3,096,000,000","2,160,000,000","1,894,000,000","2,352,000,000","2,690,000,000","2,764,000,000","2,804,000,000","2,315,000,000","1,324,000,000","2,353,000,000","2,232,000,000","3,220,000,000","1,799,000,000","2,098,000,000","2,090,000,000","2,028,000,000","2,710,000,000","5,978,000,000","3,548,000,000","2,975,000,000","3,197,000,000","2,763,000,000","2,929,000,000","2,473,000,000","2,522,000,000","2,722,000,000","2,617,000,000","2,717,000,000","3,218,000,000","2,704,000,000","2,468,000,000","2,351,000,000","2,465,000,000","2,267,000,000","2,219,000,000","2,238,000,000","1,920,000,000","1,948,000,000","1,813,000,000","1,671,000,000","1,228,000,000","1,032,000,000","1,165,000,000","938,000,000","739,536,000","586,715,000","725,162,000","1,023,587,000","880,903,000","714,846,000","400,843,000","347,711,000","304,100,000","219,900,000","104,300,000","87,300,000","185,200,000","57,100,000","62,500,000","64,900,000","82,700,000","72,900,000","69,700,000","87,900,000","51,800,000","39,500,000","36,700,000","34,000,000","30,100,000","33,800,000","25,700,000","23,800,000","23,800,000","25,300,000","25,500,000","26,100,000","26,500,000","23,500,000","24,600,000","23,800,000","28,300,000","23,800,000","9,200,000","7,300,000","8,400,000","6,000,000","6,500,000","7,600,000","9,600,000","7,600,000","5,500,000","6,800,000","4,600,000","7,000,000","7,500,000","7,200,000","5,900,000","4,600,000","3,900,000","3,900,000","3,500,000","3,800,000","4,000,000","3,900,000"
	OperatingRevenue,"12,206,000,000","4,273,000,000","3,466,000,000","2,417,000,000","1,762,000,000","1,280,000,000","1,067,000,000","394,000,000","2,087,000,000","1,224,000,000","1,847,000,000","1,921,000,000","1,501,000,000","3,708,000,000","2,579,000,000","2,249,000,000","3,810,000,000","3,983,000,000","3,156,000,000","3,259,000,000","3,551,000,000","2,808,000,000","2,882,000,000","2,488,000,000","2,126,000,000","2,886,000,000","3,601,000,000","3,393,000,000","3,265,000,000","5,995,000,000","5,336,000,000","4,510,000,000","3,725,000,000","2,614,000,000","2,720,000,000","3,091,000,000","1,972,000,000","3,096,000,000","2,160,000,000","1,894,000,000","2,352,000,000","2,690,000,000","2,764,000,000","2,804,000,000","2,315,000,000","1,324,000,000","2,353,000,000","2,232,000,000","2,600,000,000","1,415,000,000","2,098,000,000","2,090,000,000","2,028,000,000","2,710,000,000","5,978,000,000","3,548,000,000","2,975,000,000","3,197,000,000","2,763,000,000","2,929,000,000","2,473,000,000","2,522,000,000","2,722,000,000","2,617,000,000","2,717,000,000","3,218,000,000","2,704,000,000","2,468,000,000","2,351,000,000","2,465,000,000","2,267,000,000","2,219,000,000","2,238,000,000","1,920,000,000","1,948,000,000","1,813,000,000","1,671,000,000","1,228,000,000","1,032,000,000","1,165,000,000","938,000,000","739,536,000","586,715,000","725,162,000","1,023,587,000","880,903,000","714,846,000","400,843,000","347,711,000","304,100,000","219,900,000","104,300,000","87,300,000","185,200,000","57,100,000","62,500,000","64,900,000","82,700,000","72,900,000","69,700,000","87,900,000","51,800,000","39,500,000","36,700,000","34,000,000","30,100,000","33,800,000","25,700,000","23,800,000","23,800,000","25,300,000","25,500,000","26,100,000","26,500,000","23,500,000","24,600,000","23,800,000","28,300,000","23,800,000","9,200,000","7,300,000","8,400,000","6,000,000","6,500,000","7,600,000","9,600,000","7,600,000","5,500,000","6,800,000","4,600,000","7,000,000","7,500,000","7,200,000","5,900,000","4,600,000","3,900,000","3,900,000","3,500,000","3,800,000","4,000,000","3,900,000"
CostOfRevenue,"8,527,000,000","2,448,000,000","2,298,000,000","2,014,000,000","956,000,000","1,190,000,000","1,048,000,000","901,000,000","719,000,000","3,226,000,000","770,000,000","765,000,000","965,000,000","979,000,000","970,000,000","992,000,000","3,294,000,000","4,919,000,000","2,284,000,000","2,155,000,000","2,269,000,000","2,035,000,000","1,941,000,000","1,897,000,000","1,686,000,000","2,195,000,000","2,472,000,000","2,793,000,000","2,477,000,000","2,741,000,000","2,763,000,000","2,984,000,000","2,181,000,000","1,597,000,000","1,074,000,000","1,056,000,000","1,067,000,000","1,670,000,000","826,000,000","722,000,000","839,000,000","911,000,000","990,000,000","909,000,000","757,000,000","762,000,000","751,000,000","722,000,000","397,000,000","446,000,000","749,000,000","744,000,000","795,000,000","858,000,000","1,043,000,000","1,052,000,000","888,000,000","1,729,000,000","457,000,000","780,000,000","700,000,000","1,639,000,000","382,000,000","650,000,000","688,000,000","340,000,000","319,000,000","338,000,000","348,000,000","341,000,000","323,000,000","306,000,000","310,000,000","303,000,000","295,000,000","274,000,000","206,000,000","190,000,000","191,000,000","204,000,000","208,000,000","199,180,000","140,894,000","133,874,000","140,052,000","156,167,000","-3,697,000","71,703,000","66,916,000","67,700,000","45,800,000","27,100,000","27,400,000","58,200,000","18,200,000","18,500,000","18,600,000","19,500,000","15,800,000","14,500,000","15,800,000","8,800,000","7,600,000","10,100,000","7,400,000","2,000,000","8,800,000","8,100,000","8,400,000","8,000,000","8,300,000","7,600,000","7,600,000","7,900,000","7,900,000","8,800,000","8,700,000","8,800,000","8,400,000","2,800,000","3,000,000","3,000,000","2,200,000","2,600,000","2,800,000","3,300,000","3,000,000","2,500,000","3,100,000","2,800,000","3,100,000","2,900,000",,,,,,,,,
GrossProfit,"3,679,000,000","1,825,000,000","1,168,000,000","403,000,000","806,000,000","90,000,000","19,000,000","-507,000,000","1,368,000,000","-2,002,000,000","1,077,000,000","1,156,000,000","536,000,000","2,729,000,000","1,609,000,000","1,257,000,000","516,000,000","-936,000,000","872,000,000","1,104,000,000","1,282,000,000","773,000,000","941,000,000","591,000,000","440,000,000","691,000,000","1,129,000,000","600,000,000","788,000,000","3,254,000,000","2,573,000,000","1,526,000,000","1,544,000,000","1,017,000,000","1,646,000,000","2,035,000,000","905,000,000","1,426,000,000","1,334,000,000","1,172,000,000","1,513,000,000","1,779,000,000","1,774,000,000","1,895,000,000","1,558,000,000","562,000,000","1,602,000,000","1,510,000,000","2,823,000,000","1,353,000,000","1,349,000,000","1,346,000,000","1,233,000,000","1,852,000,000","4,935,000,000","2,496,000,000","2,087,000,000","1,468,000,000","2,306,000,000","2,149,000,000","1,773,000,000","883,000,000","2,340,000,000","1,967,000,000","2,029,000,000","2,878,000,000","2,385,000,000","2,130,000,000","2,003,000,000","2,124,000,000","1,944,000,000","1,913,000,000","1,928,000,000","1,617,000,000","1,653,000,000","1,539,000,000","1,465,000,000","1,038,000,000","841,000,000","961,000,000","730,000,000","540,356,000","445,821,000","591,288,000","883,535,000","724,736,000","718,543,000","329,140,000","280,795,000","236,400,000","174,100,000","77,200,000","59,900,000","127,000,000","38,900,000","44,000,000","46,300,000","63,200,000","57,100,000","55,200,000","72,100,000","43,000,000","31,900,000","26,600,000","26,600,000","28,100,000","25,000,000","17,600,000","15,400,000","15,800,000","17,000,000","17,900,000","18,500,000","18,600,000","15,600,000","15,800,000","15,100,000","19,500,000","15,400,000","6,400,000","4,300,000","5,400,000","3,800,000","3,900,000","4,800,000","6,300,000","4,600,000","3,000,000","3,700,000","1,800,000","3,900,000","4,600,000",,,,,,,,,
OperatingExpense,"433,000,000","128,000,000","98,000,000","97,000,000","633,000,000","86,000,000","114,000,000","91,000,000","792,000,000","-1,999,000,000","809,000,000","834,000,000","939,000,000","1,367,000,000","1,396,000,000","1,395,000,000","259,000,000","-371,000,000","544,000,000","576,000,000","565,000,000","553,000,000","513,000,000","567,000,000","658,000,000","699,000,000","719,000,000","796,000,000","823,000,000","839,000,000","797,000,000","804,000,000","817,000,000","423,000,000","887,000,000","880,000,000","816,000,000","410,000,000","970,000,000","960,000,000","950,000,000","919,000,000","835,000,000","828,000,000","767,000,000","766,000,000","710,000,000","735,000,000","1,123,000,000","6,822,000,000","768,000,000","821,000,000","859,000,000","1,282,000,000","1,146,000,000","1,180,000,000","126,000,000","79,000,000","1,265,000,000","897,000,000","832,000,000","-91,000,000","1,147,000,000","775,000,000","722,000,000","1,151,000,000","978,000,000","984,000,000","1,046,000,000","1,096,000,000","1,009,000,000","1,002,000,000","1,054,000,000","974,000,000","909,000,000","848,000,000","770,000,000","641,000,000","567,000,000","638,000,000","512,000,000","370,785,000","261,750,000","247,340,000","258,125,000","251,794,000","349,803,000","150,096,000","144,931,000","145,200,000","111,900,000","46,200,000","42,800,000","73,400,000","29,600,000","30,400,000","28,000,000","33,300,000","27,300,000","27,900,000","27,400,000","17,800,000","15,700,000","12,900,000","14,300,000","18,500,000","11,400,000","11,700,000","11,800,000","10,900,000","11,000,000","10,400,000","10,200,000","9,700,000","9,000,000","8,100,000","9,100,000","9,100,000","9,100,000","4,300,000","3,700,000","4,000,000","3,300,000","2,800,000","28,500,000","4,200,000","3,100,000","2,600,000","3,000,000","2,300,000","3,400,000","4,000,000",,,,,,,,,
	SellingGeneralAndAdministration,"391,000,000","95,000,000","95,000,000","94,000,000","630,000,000","82,000,000","75,000,000","79,000,000","680,000,000","-2,028,000,000","791,000,000","827,000,000","912,000,000","1,264,000,000","1,364,000,000","1,313,000,000","226,000,000","374,000,000","153,000,000","164,000,000","181,000,000","163,000,000","141,000,000","147,000,000","194,000,000","194,000,000","198,000,000","212,000,000","251,000,000","252,000,000","195,000,000","189,000,000","211,000,000","157,000,000","143,000,000","167,000,000","150,000,000","198,000,000","150,000,000","176,000,000","168,000,000","182,000,000","138,000,000","135,000,000","130,000,000","164,000,000","131,000,000","130,000,000","138,000,000","163,000,000","137,000,000","182,000,000","166,000,000","179,000,000","146,000,000","180,000,000","148,000,000","-781,000,000","424,000,000","113,000,000","119,000,000","-817,000,000","407,000,000","90,000,000","90,000,000","506,000,000","364,000,000","374,000,000","389,000,000","429,000,000","389,000,000","379,000,000","420,000,000","359,000,000","347,000,000","370,000,000","405,000,000","317,000,000","259,000,000","276,000,000","174,000,000","37,133,000","26,977,000","24,628,000","22,262,000","18,831,000","25,304,000","16,123,000","16,650,000","21,300,000","19,300,000","7,000,000","6,200,000","13,700,000","3,200,000","3,500,000","3,300,000","3,700,000","3,000,000","3,600,000","2,600,000","2,400,000","2,100,000","2,400,000","2,100,000","2,100,000","1,900,000","2,100,000","2,300,000","2,300,000","1,800,000","2,200,000","2,100,000","2,100,000","1,600,000","2,000,000","1,800,000","2,100,000","1,700,000","1,300,000","1,300,000","1,800,000","1,400,000","1,300,000","26,300,000","1,700,000","1,000,000","1,000,000","1,200,000","1,700,000","1,300,000","1,700,000",,,,,,,,,
		GeneralAndAdministrativeExpense,"391,000,000","95,000,000","95,000,000","94,000,000","107,000,000","82,000,000","75,000,000","79,000,000","102,000,000","119,000,000","107,000,000","114,000,000","153,000,000","151,000,000","147,000,000","153,000,000","226,000,000","374,000,000","153,000,000","164,000,000","181,000,000","163,000,000","141,000,000","147,000,000","194,000,000","194,000,000","198,000,000","212,000,000","251,000,000","252,000,000","195,000,000","189,000,000","211,000,000","157,000,000","143,000,000","167,000,000","150,000,000","198,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			SalariesAndWages,"255,000,000",,,,"72,000,000","49,000,000","46,000,000","45,000,000","66,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			OtherGandA,"136,000,000","-160,000,000","95,000,000","94,000,000","35,000,000","33,000,000","29,000,000","34,000,000","36,000,000","119,000,000","107,000,000","114,000,000","153,000,000","151,000,000","147,000,000","153,000,000","226,000,000","374,000,000","153,000,000","164,000,000","181,000,000","163,000,000","141,000,000","147,000,000","194,000,000","194,000,000","198,000,000","212,000,000","251,000,000","252,000,000","195,000,000","189,000,000","211,000,000","157,000,000","143,000,000","167,000,000","150,000,000","198,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		SellingAndMarketingExpense,"2,812,000,000",,,,"523,000,000",,,,"578,000,000","665,000,000","684,000,000","713,000,000","759,000,000","1,113,000,000","1,217,000,000","1,160,000,000","2,214,000,000","2,411,000,000","1,813,000,000","1,703,000,000","1,803,000,000","1,608,000,000","1,480,000,000","1,338,000,000","1,066,000,000","1,481,000,000","1,637,000,000","1,863,000,000","1,439,000,000","1,723,000,000","1,781,000,000","2,006,000,000","1,305,000,000","425,000,000","383,000,000","382,000,000","363,000,000","399,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
