name,ttm,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005
TotalRevenue,"2,448,500,000","698,200,000","650,200,000","595,100,000","505,000,000","568,900,000","500,900,000","451,800,000","405,100,000","462,800,000","396,300,000","336,400,000","280,500,000","338,000,000","266,700,000","242,500,000","184,400,000","221,000,000","184,600,000","170,600,000","142,300,000","171,200,000","148,600,000","137,300,000","116,200,000","130,800,000","105,200,000","93,200,000","72,800,000","84,300,000","69,000,000","58,800,000","47,100,000","51,700,000","42,900,000","35,800,000","29,600,000","33,266,000","23,089,000","23,450,000","20,095,000","22,421,000","18,254,000","21,417,000","14,174,000","15,636,000","11,664,000","11,786,000","9,545,000","10,471,000","7,259,000","6,751,000","5,212,000","4,073,000","1,920,000","1,982,000","1,862,000","1,528,000","1,224,000","863,000","1,012,000","834,917","841,020","479,078","14,775",,,,
	OperatingRevenue,"2,448,500,000","698,200,000","650,200,000","595,100,000","505,000,000","568,900,000","500,900,000","451,800,000","405,100,000","462,800,000","396,300,000","336,400,000","280,500,000","338,000,000","266,700,000","242,500,000","184,400,000","221,000,000","184,600,000","170,600,000","142,300,000","171,200,000","148,600,000","137,300,000","116,200,000","130,800,000","104,200,000","92,900,000","72,800,000","84,300,000","67,900,000","58,200,000","46,700,000","51,300,000","42,500,000","35,500,000","27,800,000","26,366,000","23,089,000","23,450,000","20,095,000","22,421,000","18,254,000","21,417,000","14,174,000","15,636,000","11,664,000","11,786,000","9,545,000","10,471,000","7,259,000","6,751,000","5,212,000","4,073,000","1,920,000","1,982,000","1,862,000","1,528,000","1,224,000","863,000","1,012,000","834,917","841,020","479,078","14,775",,,,
CostOfRevenue,"768,000,000","225,600,000","203,300,000","178,000,000","161,100,000","169,800,000","160,500,000","167,700,000","148,600,000","153,500,000","149,400,000","129,900,000","111,700,000","115,200,000","98,100,000","88,900,000","65,500,000","67,500,000","57,600,000","53,100,000","48,200,000","54,500,000","47,500,000","51,800,000","41,100,000","39,600,000","30,500,000","27,200,000","26,300,000","24,900,000","21,800,000","18,900,000","17,300,000","17,600,000","15,300,000","13,900,000","13,100,000","15,698,000","14,687,000","12,207,000","10,708,000","11,728,000","10,090,000","9,546,000","9,058,000","8,647,000","8,188,000","7,267,000","6,086,000","6,364,000","6,394,000","7,799,000","5,475,000","4,891,000","3,840,000","3,393,000","3,242,000","3,655,000","3,113,000","2,906,000","3,062,000","3,398,514","3,388,675","2,090,544","2,081,220",,,,
GrossProfit,"1,680,500,000","472,600,000","446,900,000","417,100,000","343,900,000","399,100,000","340,400,000","284,100,000","256,500,000","309,300,000","246,900,000","206,500,000","168,800,000","222,800,000","168,600,000","153,600,000","118,900,000","153,500,000","127,000,000","117,500,000","94,100,000","116,700,000","101,100,000","85,500,000","75,100,000","91,200,000","74,700,000","66,000,000","46,500,000","59,400,000","47,200,000","39,900,000","29,800,000","34,100,000","27,600,000","21,900,000","16,500,000","17,568,000","8,402,000","11,243,000","9,387,000","10,693,000","8,164,000","11,871,000","5,116,000","6,989,000","3,476,000","4,519,000","3,459,000","4,107,000","865,000","-1,048,000","-263,000","-818,000","-1,920,000","-1,411,000","-1,380,000","-2,127,000","-1,889,000","-2,043,000","-2,050,000","-2,563,597","-2,547,655","-1,611,466","-2,066,445",,,,
OperatingExpense,"1,414,700,000","472,000,000","328,600,000","316,100,000","298,000,000","295,100,000","246,300,000","216,300,000","222,900,000","207,800,000","190,900,000","207,300,000","183,200,000","387,400,000","154,700,000","158,500,000","149,600,000","141,500,000","127,500,000","131,100,000","134,500,000","122,800,000","119,600,000","105,600,000","94,300,000","89,600,000","117,100,000","69,600,000","59,200,000","57,800,000","52,200,000","45,700,000","42,100,000","36,400,000","33,400,000","31,800,000","27,400,000","25,900,000","25,724,000","25,892,000","24,784,000","22,969,000","21,472,000","19,260,000","16,986,000","16,875,000","16,538,000","15,787,000","14,533,000","13,569,000","12,444,000","12,407,000","11,074,000","11,920,000","12,070,000","12,044,000","11,264,000","10,050,000","9,614,000","9,497,000","9,406,000","9,193,646","11,707,925","10,293,778","9,335,525","12,604,523","6,861,053","6,842,226","6,121,672"
	SellingGeneralAndAdministration,"810,500,000","235,100,000","199,800,000","187,000,000","188,600,000","175,900,000","158,600,000","136,400,000","149,800,000","129,000,000","124,200,000","138,300,000","124,200,000","112,100,000","104,600,000","111,300,000","104,800,000","92,800,000","84,200,000","85,800,000","86,400,000","79,100,000","75,700,000","69,300,000","62,100,000","61,100,000","52,300,000","45,200,000","39,400,000","36,200,000","33,700,000","30,900,000","27,600,000","23,800,000","21,600,000","20,700,000","18,100,000","17,195,000","15,142,000","15,394,000","15,069,000","13,737,000","13,241,000","12,244,000","10,718,000","9,973,000","10,377,000","10,362,000","9,794,000","9,397,000","8,948,000","8,952,000","7,903,000","7,349,000","6,652,000","7,247,000","6,421,000","5,653,000","5,943,000","5,469,000","5,371,000","5,263,758","7,073,768","4,932,359","3,841,440","1,658,647","1,818,060","1,863,508","686,595"
	ResearchAndDevelopment,"604,200,000","236,900,000","128,800,000","129,100,000","109,400,000","119,200,000","87,700,000","79,900,000","73,100,000","78,800,000","66,700,000","69,000,000","59,000,000","275,300,000","50,100,000","47,200,000","44,800,000","48,700,000","43,300,000","45,300,000","48,100,000","43,700,000","43,900,000","36,300,000","32,200,000","28,500,000","64,800,000","24,400,000","19,800,000","21,600,000","18,500,000","14,800,000","14,500,000","12,600,000","11,800,000","11,100,000","9,300,000","8,705,000","10,582,000","10,498,000","9,715,000","9,232,000","8,231,000","7,016,000","6,268,000","6,902,000","6,161,000","5,425,000","4,739,000","4,172,000","3,496,000","3,455,000","3,171,000","4,571,000","5,418,000","4,797,000","4,843,000","4,397,000","3,671,000","4,028,000","4,035,000","3,929,888","4,634,157","5,361,419","5,494,085","10,945,876","5,042,993","4,978,718","5,435,077"
OperatingIncome,"265,800,000","600,000","118,300,000","101,000,000","45,900,000","104,000,000","94,100,000","67,800,000","33,600,000","101,500,000","56,000,000","-800,000","-14,400,000","-164,600,000","13,900,000","-4,900,000","-30,700,000","12,000,000","-500,000","-13,600,000","-40,400,000","-6,100,000","-18,500,000","-20,100,000","-19,200,000","1,600,000","-42,400,000","-3,600,000","-12,700,000","1,600,000","-5,000,000","-5,800,000","-12,300,000","-2,300,000","-5,800,000","-9,900,000","-10,900,000","-8,332,000","-17,322,000","-14,649,000","-15,397,000","-12,276,000","-13,308,000","-7,389,000","-11,870,000","-9,886,000","-13,062,000","-11,268,000","-11,074,000","-9,462,000","-11,579,000","-13,455,000","-11,337,000","-12,738,000","-13,990,000","-13,455,000","-12,644,000","-12,177,000","-11,503,000","-11,540,000","-11,456,000","-11,757,243","-14,255,580","-11,905,244","-11,401,970","-12,604,523","-6,861,053","-6,842,226","-6,121,672"
NetNonOperatingInterestIncomeExpense,"-102,000,000","-26,900,000","-25,100,000","-24,300,000","-24,700,000","-22,700,000","-18,500,000","-16,200,000","-11,200,000","-7,200,000","-10,200,000","-8,500,000","-8,000,000","-12,000,000","-2,400,000","-2,600,000","-3,300,000","-3,300,000","-3,300,000","-2,600,000","-300,000","-200,000","-100,000","0","0","0","-100,000","-100,000","-200,000","-200,000","-200,000","-200,000","-200,000","-300,000","-200,000","-200,000","-200,000","-163,000","16,000","22,000","25,000","24,000","30,000","22,000","20,000","14,000","-24,000","-174,000","-1,269,000","-2,067,000","-1,944,000","-1,875,000","-1,805,000",,,,,,,,,,,,,,,,
	InterestIncomeNonOperating,,,,"900,000","100,000","1,900,000","5,900,000","4,100,000","4,200,000","8,100,000","4,900,000","6,500,000","6,900,000","-3,800,000","2,500,000","2,200,000","1,500,000","1,400,000","1,200,000","500,000","200,000","100,000","100,000","100,000","100,000",,,,,,,,,"0","0","0","0","35,000","17,000","23,000","25,000","25,000","31,000","25,000","26,000","22,000","20,000","23,000","30,000","31,000","93,000","107,000","123,000",,,,,,,,,,,,,,,,
