name,ttm,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999,12/31/1998,09/30/1998,06/30/1998,03/31/1998,12/31/1997,09/30/1997,06/30/1997,03/31/1997,12/31/1996,09/30/1996,06/30/1996,03/31/1996,12/31/1995,09/30/1995,06/30/1995,03/31/1995,12/31/1994,09/30/1994,06/30/1994,03/31/1994,12/31/1993,09/30/1993,06/30/1993,03/31/1993,12/31/1992,09/30/1992,06/30/1992,03/31/1992,12/31/1991,09/30/1991,06/30/1991,03/31/1991,12/31/1990,09/30/1990,06/30/1990,03/31/1990,12/31/1989,09/30/1989,06/30/1989,03/31/1989,12/31/1988,09/30/1988,06/30/1988,03/31/1988,12/31/1987,09/30/1987,06/30/1987,03/31/1987,12/31/1986,09/30/1986,06/30/1986,03/31/1986,12/31/1985,09/30/1985
TotalRevenue,"16,642,000,000","4,089,000,000","4,027,000,000","4,141,000,000","4,385,000,000","4,288,000,000","4,554,000,000","4,502,000,000","4,815,000,000","5,021,000,000","4,851,000,000","4,890,000,000","5,280,000,000","5,178,000,000","5,013,000,000","5,282,000,000","6,294,000,000","6,186,000,000","6,163,000,000","5,913,000,000","1,889,000,000","1,917,000,000","1,871,000,000","1,930,000,000","1,807,000,000","1,750,000,000","2,712,000,000","2,761,000,000","2,909,000,000","2,947,000,000","3,080,000,000","3,237,000,000","3,329,000,000","3,228,000,000","3,187,000,000","3,260,000,000","3,559,000,000","3,781,000,000","3,854,000,000","3,957,000,000","4,114,000,000","3,764,000,000","3,966,000,000","4,033,000,000","4,117,000,000","4,008,000,000","3,975,000,000","3,942,000,000","4,236,000,000","3,953,000,000","4,041,000,000","3,898,000,000","4,111,700,000","3,952,400,000","4,238,700,000","4,437,100,000","4,484,400,000","4,160,000,000","4,017,200,000","3,837,900,000","4,058,300,000","3,636,900,000","3,605,200,000","3,556,200,000","3,883,500,000","3,577,000,000","3,572,600,000","3,582,500,000","3,797,800,000","3,516,800,000","3,934,500,000","3,736,400,000","4,000,400,000","3,621,200,000","3,591,200,000","3,554,800,000","3,079,100,000","2,793,600,000","2,732,400,000","2,764,800,000","3,046,200,000","2,900,900,000","2,765,300,000","2,713,600,000","3,060,100,000","2,664,700,000","2,498,900,000","2,463,300,000","2,575,194,000","2,360,100,000","2,126,100,000","2,063,400,000","2,130,400,000","1,927,900,000","1,847,800,000","1,753,900,000","1,869,100,000","1,664,100,000","1,578,800,000","1,488,800,000","1,535,200,000","1,421,600,000","1,355,300,000","1,165,100,000","1,160,500,000","1,110,400,000","1,004,700,000","966,800,000","1,018,000,000","827,900,000","788,500,000","738,100,000","730,900,000","621,400,000","622,300,000","608,100,000","650,300,000","608,400,000","616,000,000","605,100,000","645,000,000","544,600,000","467,400,000","456,400,000","476,300,000","434,200,000","419,800,000","407,600,000","417,700,000","368,900,000","371,700,000","342,100,000","360,200,000","345,500,000","299,500,000","299,300,000","309,200,000","287,300,000","281,300,000","274,600,000","290,600,000","257,500,000","249,400,000","234,000,000","236,800,000","204,900,000","209,300,000"
	OperatingRevenue,"16,642,000,000","4,089,000,000","4,027,000,000","4,141,000,000","4,385,000,000","4,288,000,000","4,554,000,000","4,502,000,000","4,815,000,000","5,021,000,000","4,851,000,000","4,890,000,000","5,280,000,000","5,178,000,000","5,013,000,000","5,282,000,000","6,294,000,000","6,186,000,000","6,163,000,000","5,913,000,000","1,889,000,000","1,917,000,000","1,871,000,000","1,930,000,000","1,807,000,000","1,750,000,000","2,712,000,000","2,761,000,000","2,909,000,000","2,947,000,000","3,080,000,000","3,237,000,000","3,329,000,000","3,228,000,000","3,187,000,000","3,260,000,000","3,559,000,000","3,781,000,000","3,854,000,000","3,957,000,000","4,114,000,000","3,764,000,000","3,966,000,000","4,033,000,000","4,117,000,000","4,008,000,000","3,975,000,000","3,942,000,000","4,236,000,000","3,953,000,000","4,041,000,000","3,898,000,000","4,111,700,000","3,952,400,000","4,238,700,000","4,437,100,000","4,484,400,000","4,160,000,000","4,017,200,000","3,837,900,000","4,058,300,000","3,636,900,000","3,605,200,000","3,556,200,000","3,883,500,000","3,577,000,000","3,572,600,000","3,582,500,000","3,797,800,000","3,516,800,000","3,934,500,000","3,736,400,000","4,000,400,000","3,621,200,000","3,591,200,000","3,554,800,000","3,079,100,000","2,793,600,000","2,732,400,000","2,764,800,000","3,046,200,000","2,900,900,000","2,765,300,000","2,713,600,000","2,897,100,000","2,664,700,000","2,498,900,000","2,463,300,000","2,575,194,000","2,360,100,000","2,126,100,000","2,063,400,000","2,130,400,000","1,927,900,000","1,847,800,000","1,753,900,000","1,869,100,000","1,664,100,000","1,578,800,000","1,488,800,000","1,535,200,000","1,421,600,000","1,355,300,000","1,165,100,000","1,160,500,000","1,110,400,000","1,004,700,000","966,800,000","1,018,000,000","827,900,000","788,500,000","738,100,000","730,900,000","621,400,000","622,300,000","608,100,000","650,300,000","608,400,000","616,000,000","605,100,000","645,000,000","544,600,000","467,400,000","456,400,000","476,300,000","434,200,000","419,800,000","407,600,000","417,700,000","368,900,000","371,700,000","342,100,000","360,200,000","345,500,000","299,500,000","299,300,000","309,200,000","287,300,000","281,300,000","274,600,000","290,600,000","257,500,000","249,400,000","234,000,000","236,800,000","204,900,000","209,300,000"
CostOfRevenue,"13,083,000,000","3,179,000,000","3,088,000,000","3,255,000,000","3,561,000,000","3,333,000,000","3,563,000,000","3,629,000,000","3,773,000,000","3,827,000,000","3,679,000,000","3,622,000,000","3,836,000,000","3,725,000,000","3,518,000,000","3,867,000,000","4,323,000,000","4,521,000,000","4,312,000,000","4,788,000,000","1,414,000,000","1,347,000,000","1,363,000,000","1,421,000,000","1,460,000,000","1,216,000,000","1,970,000,000","2,026,000,000","2,433,000,000","2,530,000,000","2,207,000,000","2,364,000,000","2,411,000,000","2,362,000,000","2,338,000,000","2,466,000,000","2,710,000,000","2,995,000,000","2,994,000,000","3,253,000,000","3,521,000,000","4,518,000,000","3,510,000,000","3,365,000,000","3,314,000,000","3,232,000,000","3,182,000,000","3,197,000,000","3,321,000,000","3,105,000,000","3,215,000,000","3,156,000,000","3,169,300,000","3,083,400,000","3,406,700,000","3,601,300,000","3,498,400,000","3,301,600,000","3,253,800,000","3,098,100,000","3,135,300,000","2,903,100,000","2,896,400,000","2,883,300,000","3,066,400,000","2,850,000,000","2,876,700,000","2,926,700,000","3,038,600,000","2,822,200,000","3,241,300,000","3,053,600,000","3,186,400,000","2,930,100,000","2,958,600,000","2,931,700,000","2,402,900,000","2,248,500,000","2,197,300,000","2,232,700,000","2,403,900,000","2,352,100,000","2,227,800,000","2,239,000,000","2,394,700,000","2,087,100,000","1,978,600,000","1,968,800,000","1,998,844,000","1,835,300,000","1,676,500,000","1,635,600,000","1,644,400,000","1,496,100,000","1,451,200,000","1,382,100,000","1,444,900,000","1,301,900,000","1,231,100,000","1,171,300,000","1,189,700,000","1,112,800,000","1,073,500,000","943,500,000","908,400,000","863,700,000","803,200,000","774,400,000","808,200,000","661,800,000","631,900,000","583,700,000","570,300,000","494,200,000","507,800,000","483,800,000","498,900,000","489,300,000","498,600,000","490,800,000","397,300,000","479,900,000","425,900,000","415,300,000","424,500,000","392,900,000","380,700,000","369,400,000","371,600,000","333,100,000","335,300,000","309,400,000",,,,,,,,,,,,,,,
GrossProfit,"3,559,000,000","910,000,000","939,000,000","886,000,000","824,000,000","955,000,000","991,000,000","873,000,000","1,042,000,000","1,194,000,000","1,172,000,000","1,268,000,000","1,444,000,000","1,453,000,000","1,495,000,000","1,415,000,000","1,971,000,000","1,665,000,000","1,851,000,000","1,125,000,000","475,000,000","570,000,000","508,000,000","509,000,000","347,000,000","534,000,000","742,000,000","735,000,000","476,000,000","417,000,000","873,000,000","873,000,000","918,000,000","866,000,000","849,000,000","794,000,000","849,000,000","786,000,000","860,000,000","704,000,000","593,000,000","-754,000,000","456,000,000","668,000,000","803,000,000","776,000,000","793,000,000","745,000,000","915,000,000","848,000,000","826,000,000","742,000,000","942,400,000","869,000,000","832,000,000","835,800,000","986,000,000","858,400,000","763,400,000","739,800,000","923,000,000","733,800,000","708,800,000","672,900,000","817,100,000","727,000,000","695,900,000","655,800,000","759,200,000","694,600,000","693,200,000","682,800,000","814,000,000","691,100,000","632,600,000","623,100,000","676,200,000","545,100,000","535,100,000","532,100,000","642,300,000","548,800,000","537,500,000","474,600,000","665,400,000","577,600,000","520,300,000","494,500,000","576,350,000","524,800,000","449,600,000","427,800,000","486,000,000","431,800,000","396,600,000","371,800,000","424,200,000","362,200,000","347,700,000","317,500,000","345,500,000","308,800,000","281,800,000","221,600,000","252,100,000","246,700,000","201,500,000","192,400,000","209,800,000","166,100,000","156,600,000","154,400,000","160,600,000","127,200,000","114,500,000","124,300,000","151,400,000","119,100,000","117,400,000","114,300,000","247,700,000","64,700,000","41,500,000","41,100,000","51,800,000","41,300,000","39,100,000","38,200,000","46,100,000","35,800,000","36,400,000","32,700,000",,,,,,,,,,,,,,,
OperatingExpense,"3,336,000,000","764,000,000","818,000,000","805,000,000","949,000,000","992,000,000","1,064,000,000","1,031,000,000","1,062,000,000","997,000,000","956,000,000","977,000,000","964,000,000","999,000,000","1,053,000,000","911,000,000","1,038,000,000","956,000,000","1,209,000,000","771,000,000","501,000,000","494,000,000","460,000,000","471,000,000","406,000,000","418,000,000","489,000,000","491,000,000","511,000,000","789,000,000","598,000,000","616,000,000","581,000,000","605,000,000","564,000,000","547,000,000","601,000,000","548,000,000","574,000,000","554,000,000","571,000,000","577,000,000","597,000,000","537,000,000","486,000,000","512,000,000","485,000,000","497,000,000","526,000,000","513,000,000","520,000,000","509,000,000","556,200,000","543,400,000","597,400,000","594,700,000","525,400,000","547,300,000","533,300,000","519,600,000","518,800,000","489,900,000","492,800,000","488,500,000","501,100,000","475,600,000","482,500,000","474,800,000","475,200,000","467,000,000","464,400,000","483,100,000","501,100,000","456,900,000","428,900,000","443,700,000","414,200,000","362,900,000","371,900,000","388,300,000","404,500,000","388,300,000","399,500,000","371,600,000","395,700,000","371,600,000","338,500,000","336,000,000","349,590,000","345,800,000","304,900,000","301,900,000","303,000,000","293,000,000","278,000,000","266,900,000","274,000,000","244,000,000","244,300,000","227,400,000","221,200,000","211,800,000","197,200,000","160,900,000","166,700,000","179,800,000","144,100,000","140,500,000","140,600,000","115,300,000","114,000,000","113,900,000","104,700,000","89,400,000","80,800,000","91,800,000","104,500,000","85,000,000","85,000,000","83,200,000","199,000,000","33,800,000","17,300,000","16,600,000","16,600,000","16,600,000","15,400,000","15,000,000","16,000,000","13,600,000","13,500,000","11,800,000",,,,,,,,,,,,,,,
	SellingGeneralAndAdministration,"1,564,000,000","340,000,000","370,000,000","383,000,000","471,000,000","517,000,000","539,000,000","539,000,000","536,000,000","518,000,000","489,000,000","507,000,000","459,000,000","491,000,000","569,000,000","440,000,000","453,000,000","475,000,000","672,000,000","410,000,000","348,000,000","333,000,000","293,000,000","305,000,000","251,000,000","257,000,000","286,000,000","284,000,000","296,000,000","551,000,000","346,000,000","344,000,000","316,000,000","354,000,000","316,000,000","292,000,000","331,000,000","278,000,000","301,000,000","291,000,000","295,000,000","275,000,000","307,000,000","264,000,000","231,000,000","243,000,000","247,000,000","244,000,000","259,000,000","239,000,000","246,000,000","247,000,000","258,800,000","261,200,000","285,300,000","277,500,000","253,500,000","240,200,000","241,100,000","240,600,000","234,400,000","227,900,000","226,500,000","227,600,000","221,600,000","207,700,000","207,800,000","205,100,000","205,700,000","198,900,000","201,600,000","228,500,000","236,700,000","205,000,000","199,900,000","208,700,000","192,400,000","167,600,000","162,100,000","181,600,000","174,500,000","176,700,000","182,800,000","172,300,000","216,200,000","206,000,000","181,200,000","193,200,000","197,667,000","192,600,000","178,900,000","187,300,000","180,500,000","179,900,000","172,700,000","162,800,000","170,400,000","145,400,000","148,300,000","138,600,000","129,700,000","122,600,000","116,300,000","94,700,000","91,100,000","115,400,000","86,600,000","85,900,000","87,600,000","73,500,000","74,100,000","76,000,000","67,400,000","56,100,000","50,800,000","61,700,000","70,800,000","55,200,000","56,700,000","56,300,000","165,800,000","6,200,000","6,300,000","6,700,000","5,600,000","5,700,000","5,900,000","6,200,000","5,800,000","4,700,000","5,200,000","5,200,000",,,,,,,,,,,,,,,
	DepreciationAmortizationDepletionIncomeStatement,"1,772,000,000","424,000,000","448,000,000","422,000,000","478,000,000","475,000,000","525,000,000","492,000,000","526,000,000","479,000,000","467,000,000","470,000,000","505,000,000","508,000,000","484,000,000","471,000,000","585,000,000","481,000,000","537,000,000","361,000,000","153,000,000","161,000,000","167,000,000","166,000,000","155,000,000","161,000,000","203,000,000","207,000,000","215,000,000","238,000,000","252,000,000","272,000,000","265,000,000","251,000,000","248,000,000","255,000,000","270,000,000","270,000,000","273,000,000","263,000,000","282,000,000","302,000,000","290,000,000","278,000,000","275,000,000","269,000,000","273,000,000","256,000,000","272,000,000","280,000,000","275,000,000","270,000,000","274,000,000","282,200,000","312,100,000","317,200,000","320,300,000","307,100,000","292,200,000","279,000,000","284,400,000","262,000,000","266,300,000","260,900,000","279,500,000","267,900,000","274,700,000","269,700,000","269,500,000","268,100,000","262,800,000","254,600,000","264,400,000","251,900,000","229,000,000","235,000,000","221,800,000","195,300,000","209,800,000","206,700,000","230,000,000","211,600,000","216,700,000","199,300,000","179,500,000","165,600,000","157,300,000","142,800,000","151,923,000","153,200,000","126,000,000","114,600,000","122,500,000","113,100,000","105,300,000","104,100,000","103,600,000","98,600,000","96,000,000","88,800,000","91,500,000","89,200,000","80,900,000","66,200,000","75,600,000","64,400,000","57,500,000","54,600,000","53,000,000","41,800,000","39,900,000","37,900,000","37,300,000","33,300,000","30,000,000","30,100,000","33,700,000","29,800,000","28,300,000","26,900,000","33,200,000","27,600,000","11,000,000","9,900,000","11,000,000","10,900,000","9,500,000","8,800,000","10,200,000","8,900,000","8,300,000","6,600,000",,,,,,,,,,,,,,,
		DepreciationAndAmortizationInIncomeStatement,"1,772,000,000","424,000,000","448,000,000","422,000,000","478,000,000","475,000,000","525,000,000","492,000,000","526,000,000","479,000,000","467,000,000","470,000,000","505,000,000","508,000,000","484,000,000","471,000,000","585,000,000","481,000,000","537,000,000","361,000,000","153,000,000","161,000,000","167,000,000","166,000,000","155,000,000","161,000,000","203,000,000","207,000,000","215,000,000","238,000,000","252,000,000","272,000,000","265,000,000","251,000,000","248,000,000","255,000,000","270,000,000","270,000,000","273,000,000","263,000,000","282,000,000","302,000,000","290,000,000","278,000,000","275,000,000","269,000,000","273,000,000","256,000,000","272,000,000","280,000,000","275,000,000","270,000,000","274,000,000","282,200,000","312,100,000","317,200,000","320,300,000","307,100,000","292,200,000","279,000,000","284,400,000","262,000,000","266,300,000","260,900,000","279,500,000","267,900,000","274,700,000","269,700,000","269,500,000","268,100,000","262,800,000","254,600,000","264,400,000","251,900,000","229,000,000","235,000,000","221,800,000","195,300,000","209,800,000","206,700,000","230,000,000","211,600,000","216,700,000","199,300,000","179,500,000","165,600,000","157,300,000","142,800,000","151,923,000","153,200,000","126,000,000","114,600,000","122,500,000","113,100,000","105,300,000","104,100,000","103,600,000","98,600,000","96,000,000","88,800,000","91,500,000","89,200,000","80,900,000","66,200,000","75,600,000","64,400,000","57,500,000","54,600,000","53,000,000","41,800,000","39,900,000","37,900,000","37,300,000","33,300,000","30,000,000","30,100,000","33,700,000","29,800,000","28,300,000","26,900,000","33,200,000","27,600,000","11,000,000","9,900,000","11,000,000","10,900,000","9,500,000","8,800,000","10,200,000","8,900,000","8,300,000","6,600,000",,,,,,,,,,,,,,,
	OtherOperatingExpenses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-14,000,000",,,,,"-5,000,000",,,"-35,000,000","-3,000,000","-5,000,000","-6,000,000","-1,000,000","-8,000,000",,"8,900,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OperatingIncome,"223,000,000","146,000,000","121,000,000","81,000,000","-125,000,000","-37,000,000","-73,000,000","-158,000,000","-20,000,000","197,000,000","216,000,000","291,000,000","480,000,000","454,000,000","442,000,000","504,000,000","933,000,000","709,000,000","642,000,000","354,000,000","-26,000,000","76,000,000","48,000,000","38,000,000","-59,000,000","116,000,000","253,000,000","244,000,000","-35,000,000","-372,000,000","275,000,000","257,000,000","337,000,000","261,000,000","285,000,000","247,000,000","248,000,000","238,000,000","286,000,000","150,000,000","22,000,000","-1,331,000,000","-141,000,000","131,000,000","317,000,000","264,000,000","308,000,000","248,000,000","389,000,000","335,000,000","306,000,000","233,000,000","386,200,000","325,600,000","234,600,000","241,100,000","460,600,000","311,100,000","230,100,000","220,200,000","404,200,000","243,900,000","216,000,000","184,400,000","316,000,000","251,400,000","213,400,000","181,000,000","284,000,000","227,600,000","228,800,000","199,700,000","312,900,000","234,200,000","203,700,000","179,400,000","262,000,000","182,200,000","163,200,000","143,800,000","237,800,000","160,500,000","138,000,000","103,000,000","269,700,000","206,000,000","181,800,000","158,500,000","226,760,000","179,000,000","144,700,000","125,900,000","183,000,000","138,800,000","118,600,000","104,900,000","150,200,000","118,200,000","103,400,000","90,100,000","124,300,000","97,000,000","84,600,000","60,700,000","85,400,000","66,900,000","57,400,000","51,900,000","69,200,000","50,800,000","42,600,000","40,500,000","55,900,000","37,800,000","33,700,000","32,500,000","46,900,000","34,100,000","32,400,000","31,100,000","48,700,000","30,900,000","24,200,000","24,500,000","35,200,000","24,700,000","23,700,000","23,200,000","30,100,000","22,200,000","22,900,000","20,900,000","-856,400,000","345,500,000","299,500,000","299,300,000","-765,500,000","287,300,000","281,300,000","274,600,000","-677,200,000","257,500,000","249,400,000","234,000,000","-553,400,000","204,900,000","209,300,000"
