name,ttm,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999,12/31/1998,09/30/1998,06/30/1998,03/31/1998,12/31/1997,09/30/1997,06/30/1997,03/31/1997,12/31/1996,09/30/1996,06/30/1996,03/31/1996,12/31/1995,09/30/1995,06/30/1995,03/31/1995,12/31/1994,09/30/1994,06/30/1994,03/31/1994,12/31/1993,09/30/1993,06/30/1993,03/31/1993,12/31/1992,09/30/1992,06/30/1992,03/31/1992,12/31/1991,09/30/1991,06/30/1991,03/31/1991,12/31/1990,09/30/1990,06/30/1990,03/31/1990,12/31/1989,09/30/1989,06/30/1989,03/31/1989,12/31/1988,09/30/1988,06/30/1988,03/31/1988,12/31/1987,09/30/1987,06/30/1987,03/31/1987,12/31/1986,09/30/1986,06/30/1986,03/31/1986,12/31/1985,09/30/1985
TotalRevenue,"13,964,000,000","3,880,000,000","3,176,000,000","3,038,000,000","3,870,000,000","3,521,000,000","3,607,000,000","3,585,000,000","4,496,000,000","4,475,000,000","4,269,000,000","3,970,000,000","3,858,000,000","3,361,000,000","3,451,000,000","3,088,000,000","3,466,000,000","3,210,000,000","3,179,000,000","2,813,000,000","3,384,000,000","3,086,000,000","3,132,000,000","2,598,000,000","2,921,000,000","2,556,000,000","2,971,000,000","2,747,000,000","3,409,000,000","2,943,000,000","3,050,000,000","2,813,000,000","3,630,000,000","3,185,000,000","3,432,000,000","2,980,000,000","3,523,000,000","3,167,000,000","3,411,000,000","3,053,000,000","3,492,000,000","3,178,000,000","3,803,000,000","3,341,000,000","4,057,000,000","3,746,000,000","3,950,000,000","3,333,000,000","4,168,000,000","3,255,000,000","3,648,000,000","3,450,000,000","4,778,000,000","4,218,000,000","4,231,000,000","3,452,000,000","4,389,000,000","3,694,000,000","3,589,000,000","3,730,000,000","4,712,000,000","3,936,000,000","4,033,000,000","3,556,000,000","4,957,000,000","5,108,000,000","4,564,000,000","3,637,000,000","4,732,000,000","3,761,000,000","3,292,000,000","3,040,000,000","3,879,000,000","3,001,000,000","2,857,000,000","2,635,000,000","3,584,000,000","2,706,000,000","2,545,000,000","2,332,000,000","2,634,000,000","2,507,000,000","2,544,000,000","2,309,000,000","3,198,000,000","2,781,000,000","2,351,000,000","2,056,000,000","2,072,000,000","1,249,200,000","1,662,500,000","1,315,300,000","1,293,000,000","-942,000,000","2,808,500,000","2,066,600,000","2,158,100,000","2,128,300,000","2,059,600,000","1,634,700,000","1,855,200,000","1,195,300,000","1,286,700,000","1,121,000,000","1,239,300,000","1,134,600,000","1,345,000,000","1,042,800,000","1,129,300,000","1,004,700,000","1,209,800,000","1,109,700,000","1,167,000,000","1,035,700,000","1,287,100,000","1,005,300,000","1,105,800,000","895,000,000","1,077,100,000","874,600,000","944,300,000","916,500,000","1,063,800,000","901,200,000","904,200,000","816,500,000","997,500,000","846,300,000","872,300,000","901,500,000","983,500,000","850,800,000","925,800,000","848,800,000","923,800,000","766,800,000","804,700,000","760,500,000","911,800,000","746,400,000","832,500,000","797,700,000","824,700,000","685,000,000","764,200,000","656,600,000","720,100,000"
	OperatingRevenue,"14,170,000,000","4,086,000,000","3,176,000,000","3,084,000,000","3,840,000,000","3,402,000,000","3,536,000,000","3,470,000,000","4,323,000,000","4,307,000,000","4,081,000,000","3,746,000,000","3,631,000,000","3,264,000,000","3,362,000,000","2,945,000,000","3,324,000,000","3,071,000,000","3,060,000,000","2,714,000,000","3,277,000,000","2,969,000,000","3,057,000,000","2,502,000,000","2,829,000,000","2,877,000,000","2,860,000,000","2,633,000,000","3,313,000,000","2,814,000,000","2,934,000,000","2,666,000,000","3,513,000,000","3,033,000,000","3,247,000,000","2,849,000,000","3,363,000,000","2,640,000,000","3,411,000,000","3,053,000,000","3,492,000,000","3,178,000,000","3,803,000,000","3,341,000,000","4,057,000,000","3,746,000,000","3,950,000,000","3,333,000,000","4,168,000,000","3,255,000,000","3,648,000,000","3,450,000,000","4,778,000,000","4,218,000,000","4,231,000,000","3,452,000,000","4,389,000,000","3,694,000,000","3,589,000,000","3,730,000,000","4,712,000,000","3,936,000,000","4,033,000,000","3,556,000,000","4,957,000,000","5,108,000,000","4,564,000,000","3,637,000,000","4,732,000,000","3,761,000,000","3,292,000,000","3,040,000,000","3,879,000,000","3,001,000,000","2,857,000,000","2,635,000,000","3,584,000,000","2,706,000,000","2,545,000,000","2,332,000,000","2,634,000,000","2,507,000,000","2,544,000,000","2,309,000,000","3,198,000,000","2,781,000,000","2,351,000,000","2,056,000,000","2,072,000,000","1,249,200,000","1,662,500,000","1,315,300,000","1,293,000,000","-942,000,000","2,808,500,000","2,066,600,000","2,158,100,000","2,128,300,000","2,059,600,000","1,634,700,000","1,855,200,000","1,195,300,000","1,286,700,000","1,121,000,000","1,239,300,000","1,134,600,000","1,345,000,000","1,042,800,000","1,129,300,000","1,004,700,000","1,209,800,000","1,109,700,000","1,167,000,000","1,035,700,000","1,287,100,000","1,005,300,000","1,105,800,000","895,000,000","1,077,100,000","874,600,000","944,300,000","916,500,000","1,063,800,000","901,200,000","904,200,000","816,500,000","997,500,000","846,300,000","872,300,000","901,500,000","983,500,000","850,800,000","925,800,000","848,800,000","923,800,000","766,800,000","804,700,000","760,500,000","911,800,000","746,400,000","832,500,000","797,700,000","824,700,000","685,000,000","764,200,000","656,600,000","720,100,000"
CostOfRevenue,"7,255,000,000","1,982,000,000","1,713,000,000","1,528,000,000","2,032,000,000","1,795,000,000","1,631,000,000","1,585,000,000","2,140,000,000","2,228,000,000","1,948,000,000","2,252,000,000","2,562,000,000","1,830,000,000","1,598,000,000","1,717,000,000","1,894,000,000","1,573,000,000","1,332,000,000","1,377,000,000","1,601,000,000","1,672,000,000","1,442,000,000","1,317,000,000","1,524,000,000","1,441,000,000","1,360,000,000","1,501,000,000","1,899,000,000","1,865,000,000","1,652,000,000","1,977,000,000","2,387,000,000","1,961,000,000","1,955,000,000","1,988,000,000","2,129,000,000","6,172,000,000","1,329,000,000","1,219,000,000","1,473,000,000","1,456,000,000","1,687,000,000","1,459,000,000","1,810,000,000","1,606,000,000","1,663,000,000","1,456,000,000","1,928,000,000","1,772,000,000","1,447,000,000","1,471,000,000","2,387,000,000","1,991,000,000","2,065,000,000","1,616,000,000","2,113,000,000","1,611,000,000","1,371,000,000","1,549,000,000","2,241,000,000","1,550,000,000","1,529,000,000","1,308,000,000","2,267,000,000","3,179,000,000","2,894,000,000","1,943,000,000","2,534,000,000","1,814,000,000","1,466,000,000","1,466,000,000","1,937,000,000","1,403,000,000","1,033,000,000","1,029,000,000","1,451,000,000","1,005,000,000","743,000,000","745,000,000","963,000,000","873,000,000","794,000,000","797,000,000","1,626,000,000","1,285,000,000","805,000,000","738,000,000","771,000,000","413,200,000","516,700,000","441,600,000","428,000,000","-1,666,300,000","1,724,400,000","1,207,500,000","1,151,700,000","1,159,500,000","971,300,000","761,200,000","912,400,000","403,100,000","435,500,000","391,500,000","457,300,000","407,300,000","476,800,000",,"432,700,000","405,200,000","431,900,000","378,700,000","426,500,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GrossProfit,"6,709,000,000","1,898,000,000","1,463,000,000","1,510,000,000","1,838,000,000","1,726,000,000","1,976,000,000","2,000,000,000","2,356,000,000","2,247,000,000","2,321,000,000","1,718,000,000","1,296,000,000","1,531,000,000","1,853,000,000","1,371,000,000","1,572,000,000","1,637,000,000","1,847,000,000","1,436,000,000","1,783,000,000","1,414,000,000","1,690,000,000","1,281,000,000","1,397,000,000","1,115,000,000","1,611,000,000","1,246,000,000","1,510,000,000","1,078,000,000","1,398,000,000","836,000,000","1,243,000,000","1,224,000,000","1,477,000,000","992,000,000","1,394,000,000","-3,005,000,000","2,082,000,000","1,834,000,000","2,019,000,000","1,722,000,000","2,116,000,000","1,882,000,000","2,247,000,000","2,140,000,000","2,287,000,000","1,877,000,000","2,240,000,000","1,483,000,000","2,201,000,000","1,979,000,000","2,391,000,000","2,227,000,000","2,166,000,000","1,836,000,000","2,276,000,000","2,083,000,000","2,218,000,000","2,181,000,000","2,471,000,000","2,386,000,000","2,504,000,000","2,248,000,000","2,690,000,000","1,929,000,000","1,670,000,000","1,694,000,000","2,198,000,000","1,947,000,000","1,826,000,000","1,574,000,000","1,942,000,000","1,598,000,000","1,824,000,000","1,606,000,000","2,133,000,000","1,701,000,000","1,802,000,000","1,587,000,000","1,671,000,000","1,634,000,000","1,750,000,000","1,512,000,000","1,572,000,000","1,496,000,000","1,546,000,000","1,318,000,000","1,301,000,000","836,000,000","1,145,800,000","873,700,000","865,000,000","724,300,000","1,084,100,000","859,100,000","1,006,400,000","968,800,000","1,088,300,000","873,500,000","942,800,000","792,200,000","851,200,000","729,500,000","782,000,000","727,300,000","868,200,000",,"696,600,000","599,500,000","777,900,000","731,000,000","740,500,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OperatingExpense,"3,387,000,000","852,000,000","844,000,000","826,000,000","865,000,000","789,000,000","798,000,000","929,000,000","957,000,000","885,000,000","922,000,000","945,000,000","943,000,000","674,000,000","703,000,000","629,000,000","697,000,000","633,000,000","647,000,000","635,000,000","658,000,000","595,000,000","545,000,000","500,000,000","515,000,000","477,000,000","488,000,000","473,000,000","508,000,000","440,000,000","477,000,000","442,000,000","475,000,000","420,000,000","443,000,000","444,000,000","464,000,000","-2,113,000,000","1,564,000,000","1,217,000,000","1,104,000,000","1,382,000,000","1,283,000,000","1,157,000,000","1,284,000,000","1,403,000,000","1,168,000,000","1,234,000,000","1,506,000,000","1,533,000,000","1,129,000,000","1,077,000,000","1,686,000,000","1,426,000,000","1,069,000,000","1,125,000,000","1,217,000,000","1,384,000,000","1,620,000,000","2,561,000,000","1,463,000,000","1,785,000,000","1,203,000,000","1,765,000,000","1,730,000,000","1,253,000,000","1,485,000,000","989,000,000","1,325,000,000","1,444,000,000","1,082,000,000","994,000,000","1,052,000,000","730,000,000","1,674,000,000","1,048,000,000","1,148,000,000","987,000,000","966,000,000","962,000,000","960,000,000","1,643,000,000","970,000,000","994,000,000","1,076,000,000","1,452,000,000","765,000,000","1,252,000,000","889,000,000","620,600,000","659,300,000","577,800,000","551,700,000","570,000,000","276,900,000","775,000,000","620,500,000","633,300,000","775,500,000","591,400,000","553,700,000","604,100,000","499,500,000","488,300,000","458,500,000","569,500,000","469,500,000",,"440,100,000","452,300,000","450,900,000","445,300,000","462,200,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
	DepreciationAmortizationDepletionIncomeStatement,"2,478,000,000","645,000,000","621,000,000","604,000,000","608,000,000","581,000,000","595,000,000","673,000,000","673,000,000","664,000,000","679,000,000","661,000,000","651,000,000","513,000,000","526,000,000","463,000,000","498,000,000","484,000,000","485,000,000","467,000,000","469,000,000","447,000,000","400,000,000","361,000,000","351,000,000","358,000,000","355,000,000","339,000,000","343,000,000","322,000,000","354,000,000","308,000,000","308,000,000","299,000,000","309,000,000","303,000,000","297,000,000","304,000,000","306,000,000","289,000,000","287,000,000","284,000,000","268,000,000","255,000,000","262,000,000","261,000,000","263,000,000","262,000,000","269,000,000","315,000,000","274,000,000","271,000,000","279,000,000","264,000,000","259,000,000","257,000,000","254,000,000","252,000,000","284,000,000","423,000,000","422,000,000","412,000,000","403,000,000","410,000,000","381,000,000","362,000,000","355,000,000","349,000,000","346,000,000","341,000,000","328,000,000","319,000,000","317,000,000","280,000,000","320,000,000","314,000,000","302,000,000","309,000,000","312,000,000","319,000,000","318,000,000","339,000,000","310,000,000","315,000,000","281,000,000","330,000,000","298,000,000","298,000,000","251,000,000","193,800,000","207,800,000","196,000,000","200,400,000","190,100,000","198,100,000","199,200,000","238,800,000","247,900,000","231,000,000","215,900,000","210,900,000","173,300,000","176,200,000","175,500,000","169,400,000","165,800,000","155,900,000",,"151,300,000","156,900,000","145,400,000","155,600,000","152,800,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
	OtherTaxes,"909,000,000","207,000,000","223,000,000","222,000,000","257,000,000","208,000,000","203,000,000","256,000,000","284,000,000","221,000,000","243,000,000","284,000,000","292,000,000","161,000,000","177,000,000","166,000,000","199,000,000","149,000,000","162,000,000","168,000,000","189,000,000","148,000,000","145,000,000","139,000,000","164,000,000","119,000,000","133,000,000","134,000,000","165,000,000","118,000,000","123,000,000","134,000,000","167,000,000","121,000,000","134,000,000","141,000,000","167,000,000","132,000,000","124,000,000","146,000,000","170,000,000","138,000,000","130,000,000","125,000,000","161,000,000","127,000,000","117,000,000","119,000,000","169,000,000","118,000,000","107,000,000","109,000,000","157,000,000","124,000,000","112,000,000","109,000,000","154,000,000","116,000,000","113,000,000","140,000,000","184,000,000","138,000,000","125,000,000","131,000,000","181,000,000","163,000,000","120,000,000","134,000,000","165,000,000","136,000,000","107,000,000","122,000,000","154,000,000","102,000,000","106,000,000","114,000,000","154,000,000","124,000,000","97,000,000","93,000,000","114,000,000","96,000,000","82,000,000","96,000,000","121,000,000",,,,,"68,000,000","91,900,000","65,600,000","80,000,000","64,000,000","91,100,000","77,400,000","74,100,000","71,100,000","72,700,000","66,400,000","73,500,000","67,900,000","71,900,000","69,600,000","75,800,000","66,800,000","72,000,000",,"69,600,000","58,400,000","71,000,000","72,000,000","73,200,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
	OtherOperatingExpenses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,134,000,000","782,000,000","647,000,000",,"885,000,000","777,000,000","861,000,000",,"788,000,000","853,000,000","1,068,000,000","1,100,000,000","748,000,000","697,000,000","1,250,000,000","1,038,000,000","698,000,000","759,000,000","809,000,000","1,016,000,000","1,223,000,000","1,998,000,000","857,000,000","1,235,000,000","675,000,000","1,224,000,000","1,168,000,000","728,000,000","1,010,000,000","506,000,000","814,000,000","967,000,000","647,000,000","553,000,000","581,000,000","348,000,000","1,248,000,000","620,000,000","692,000,000","554,000,000","557,000,000","550,000,000","528,000,000","1,208,000,000","578,000,000","583,000,000","674,000,000","637,000,000","467,000,000","954,000,000","638,000,000","358,800,000","359,600,000","316,200,000","271,300,000","315,900,000","-12,300,000","498,400,000","307,600,000","314,300,000","471,800,000","309,100,000","269,300,000","362,900,000","251,400,000","243,200,000","213,300,000","336,900,000","241,600,000",,"219,200,000","237,000,000","234,500,000","217,700,000","236,200,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OperatingIncome,"3,322,000,000","1,046,000,000","619,000,000","684,000,000","973,000,000","937,000,000","1,178,000,000","1,071,000,000","1,399,000,000","1,362,000,000","1,399,000,000","773,000,000","353,000,000","857,000,000","1,150,000,000","742,000,000","875,000,000","1,004,000,000","1,200,000,000","801,000,000","1,125,000,000","819,000,000","1,145,000,000","781,000,000","882,000,000","638,000,000","1,123,000,000","773,000,000","1,002,000,000","638,000,000","921,000,000","394,000,000","768,000,000","804,000,000","1,034,000,000","548,000,000","930,000,000","-892,000,000","518,000,000","617,000,000","915,000,000","340,000,000","833,000,000","725,000,000","963,000,000","737,000,000","1,119,000,000","643,000,000","734,000,000","-50,000,000","1,072,000,000","902,000,000","705,000,000","801,000,000","1,097,000,000","711,000,000","1,059,000,000","699,000,000","598,000,000","-380,000,000","1,008,000,000","601,000,000","1,301,000,000","483,000,000","960,000,000","676,000,000","185,000,000","705,000,000","873,000,000","503,000,000","744,000,000","580,000,000","890,000,000","868,000,000","150,000,000","558,000,000","985,000,000","714,000,000","836,000,000","625,000,000","711,000,000","-9,000,000","780,000,000","518,000,000","496,000,000","44,000,000","781,000,000","66,000,000","412,000,000","215,400,000","486,500,000","295,900,000","313,300,000","154,300,000","807,200,000","84,100,000","385,900,000","335,500,000","312,800,000","282,100,000","389,100,000","188,100,000","351,700,000","241,200,000","323,500,000","157,800,000","398,700,000","1,042,800,000","256,500,000","147,200,000","327,000,000","285,700,000","278,300,000","1,035,700,000","1,287,100,000","1,005,300,000","1,105,800,000","895,000,000","1,077,100,000","874,600,000","944,300,000","916,500,000","1,063,800,000","901,200,000","904,200,000","816,500,000","997,500,000","846,300,000","872,300,000","901,500,000","983,500,000","850,800,000","925,800,000","848,800,000","923,800,000","766,800,000","804,700,000","760,500,000","911,800,000","746,400,000","832,500,000","797,700,000","824,700,000","685,000,000","764,200,000","656,600,000","720,100,000"
NetNonOperatingInterestIncomeExpense,"-1,354,000,000","-376,000,000","-407,000,000","-518,000,000","-53,000,000","-241,000,000","-306,000,000","-449,000,000","-490,000,000","-401,000,000","-451,000,000","-452,000,000","-469,000,000","-440,000,000","-378,000,000","-361,000,000","-314,000,000","-300,000,000","-305,000,000","-308,000,000","-292,000,000","-295,000,000","-250,000,000","-239,000,000","-226,000,000","-230,000,000","-230,000,000","-221,000,000","-223,000,000","-498,000,000","-231,000,000","-227,000,000","-237,000,000","-229,000,000","-217,000,000","-203,000,000","-228,000,000","-215,000,000","-215,000,000","-224,000,000","-228,000,000","-177,000,000","-249,000,000","-216,000,000","-227,000,000","-232,000,000","-229,000,000","-188,000,000","-183,000,000","-236,000,000","-217,000,000","-221,000,000","-224,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
