name,ttm,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999,12/31/1998,09/30/1998,06/30/1998,03/31/1998
TotalRevenue,"10,420,000,000","2,613,000,000","2,501,000,000","2,668,000,000","3,023,000,000","2,868,000,000","2,606,000,000","2,865,000,000","2,374,000,000","2,821,000,000","2,649,000,000","2,687,000,000","2,643,000,000","2,877,000,000","2,649,000,000","2,640,000,000","2,580,000,000","2,613,000,000","2,409,000,000","2,328,000,000","2,217,000,000","2,395,000,000","2,217,000,000","2,230,000,000","2,137,000,000","2,322,000,000","2,099,000,000","4,379,000,000","4,448,000,000","4,921,000,000","4,353,000,000","4,366,000,000","4,262,000,000","4,530,000,000","3,892,000,000","3,877,000,000","3,748,000,000","3,993,000,000","3,404,000,000","3,398,000,000","3,277,000,000","3,380,010,000","2,965,761,000","2,760,274,000","2,545,609,000","2,495,350,000","2,249,488,000","2,215,379,000","2,196,057,000","2,370,932,000","2,237,852,000","2,097,992,000","2,020,586,000","2,035,846,000","2,117,531,000","2,195,661,000","2,192,223,000","2,180,606,000","1,889,220,000","1,834,429,000","1,768,074,000","1,719,901,000","1,448,637,000","1,410,784,000","1,390,419,000","1,328,859,000","1,105,515,000","1,086,303,000","1,031,724,000","935,782,000","805,876,000","773,412,000","756,239,000","648,393,000","530,942,000","509,269,000","476,492,000","413,928,000","288,779,000","266,287,000","245,106,000","219,401,000","194,425,000","180,905,000","154,090,000","134,008,000","113,377,000","97,399,000","85,753,000","73,900,000","58,500,000","49,500,000","34,000,000","19,500,000","12,900,000","8,900,000","6,000,000"
	OperatingRevenue,"10,420,000,000","2,613,000,000","2,501,000,000","2,668,000,000","3,023,000,000","2,868,000,000","2,606,000,000","2,865,000,000","2,374,000,000","2,821,000,000","2,649,000,000","2,687,000,000","2,643,000,000","2,877,000,000","2,649,000,000","2,640,000,000","2,580,000,000","2,613,000,000","2,409,000,000","2,328,000,000","2,217,000,000","2,395,000,000","2,217,000,000","2,230,000,000","2,137,000,000","2,322,000,000","2,099,000,000","4,379,000,000","4,448,000,000","4,921,000,000","4,353,000,000","4,366,000,000","4,262,000,000","4,530,000,000","3,892,000,000","3,877,000,000","3,748,000,000","3,993,000,000","3,404,000,000","3,398,000,000","3,277,000,000","3,380,010,000","2,965,761,000","2,760,274,000","2,545,609,000","2,495,350,000","2,249,488,000","2,215,379,000","2,196,057,000","2,370,932,000","2,237,852,000","2,097,992,000","2,020,586,000","2,035,846,000","2,117,531,000","2,195,661,000","2,192,223,000","2,180,606,000","1,889,220,000","1,834,429,000","1,768,074,000","1,719,901,000","1,448,637,000","1,410,784,000","1,390,419,000","1,328,859,000","1,105,515,000","1,086,303,000","1,031,724,000","935,782,000","805,876,000","773,412,000","756,239,000","648,393,000","530,942,000","509,269,000","476,492,000","413,928,000","288,779,000","266,287,000","245,106,000","219,401,000","194,425,000","180,905,000","154,090,000","134,008,000","113,377,000","97,399,000","85,753,000","73,900,000","58,500,000","49,500,000","34,000,000","19,500,000","12,900,000","8,900,000","6,000,000"
CostOfRevenue,"2,650,000,000","694,000,000","678,000,000","672,000,000","823,000,000","742,000,000","656,000,000","598,000,000","526,000,000","650,000,000","627,000,000","630,000,000","601,000,000","618,000,000","608,000,000","597,000,000","559,000,000","590,000,000","556,000,000","561,000,000","515,000,000","539,000,000","498,000,000","493,000,000","477,000,000","493,000,000","433,000,000","1,348,000,000","1,450,000,000","1,600,000,000","1,389,000,000","1,392,000,000","1,351,000,000","1,449,000,000","1,224,000,000","1,211,000,000","1,152,000,000","1,224,000,000","1,022,000,000","987,000,000","983,000,000","1,034,432,000","919,697,000","773,462,000","728,978,000","702,473,000","640,268,000","615,371,000","606,555,000","670,695,000","643,908,000","591,773,000","573,386,000","579,591,000","560,963,000","562,103,000","525,412,000","505,973,000","446,521,000","416,789,000","393,689,000","370,028,000","315,717,000","292,479,000","278,568,000","239,520,000","200,375,000","191,840,000","186,369,000","176,405,000","157,121,000","146,531,000","134,358,000","115,457,000","109,353,000","99,150,000","92,098,000","82,664,000","45,374,000","44,561,000","41,277,000","39,989,000","34,953,000","32,872,000","27,002,000","13,308,000","9,027,000","14,411,000","14,277,000","5,900,000","15,600,000","5,700,000","3,100,000","1,800,000","700,000","200,000",
GrossProfit,"7,770,000,000","1,919,000,000","1,823,000,000","1,996,000,000","2,200,000,000","2,126,000,000","1,950,000,000","2,267,000,000","1,848,000,000","2,171,000,000","2,022,000,000","2,057,000,000","2,042,000,000","2,259,000,000","2,041,000,000","2,043,000,000","2,021,000,000","2,023,000,000","1,853,000,000","1,767,000,000","1,702,000,000","1,856,000,000","1,719,000,000","1,737,000,000","1,660,000,000","1,829,000,000","1,666,000,000","3,031,000,000","2,998,000,000","3,321,000,000","2,964,000,000","2,974,000,000","2,911,000,000","3,081,000,000","2,668,000,000","2,666,000,000","2,596,000,000","2,769,000,000","2,382,000,000","2,411,000,000","2,294,000,000","2,345,578,000","2,046,064,000","1,986,812,000","1,816,631,000","1,792,877,000","1,609,220,000","1,600,008,000","1,589,502,000","1,700,237,000","1,593,944,000","1,506,219,000","1,447,200,000","1,456,255,000","1,556,568,000","1,633,558,000","1,666,811,000","1,674,633,000","1,442,699,000","1,417,640,000","1,374,385,000","1,349,873,000","1,132,920,000","1,118,305,000","1,111,851,000","1,089,339,000","905,140,000","894,463,000","845,355,000","759,377,000","648,755,000","626,881,000","621,881,000","532,936,000","421,589,000","410,119,000","384,394,000","331,264,000","243,405,000","221,726,000","203,829,000","179,412,000","159,472,000","148,033,000","127,088,000","120,700,000","104,350,000","82,988,000","71,476,000","68,000,000","42,900,000","43,800,000","30,900,000","17,700,000","12,200,000","8,700,000",
OperatingExpense,"4,847,000,000","1,231,000,000","1,161,000,000","1,264,000,000","1,358,000,000","1,449,000,000","1,271,000,000","1,446,000,000","1,219,000,000","1,552,000,000","1,490,000,000","1,496,000,000","1,433,000,000","1,578,000,000","1,485,000,000","1,637,000,000","1,442,000,000","1,360,000,000","1,275,000,000","1,289,000,000","1,156,000,000","1,218,000,000","1,177,000,000","1,206,000,000","1,046,000,000","1,167,000,000","1,088,000,000","2,290,000,000","2,266,000,000","2,260,000,000","2,183,000,000","2,180,000,000","2,033,000,000","2,059,000,000","1,869,000,000","1,916,000,000","1,796,000,000","1,896,000,000","1,715,000,000","1,716,000,000","1,641,000,000","1,592,470,000","1,509,476,000","1,468,013,000","1,252,126,000","1,201,656,000","1,116,039,000","1,106,580,000","1,092,324,000","1,519,615,000","1,138,330,000","1,076,877,000","1,017,825,000","953,673,000","1,032,493,000","1,088,191,000","1,114,034,000","1,048,493,000","2,380,392,000","960,734,000","906,558,000","899,988,000","793,887,000","806,891,000","789,227,000","718,928,000","548,404,000","515,477,000","509,781,000","474,654,000","394,842,000","373,023,000","355,133,000","329,794,000","265,717,000","288,036,000","236,250,000","217,341,000","153,288,000","142,285,000","133,113,000","137,794,000","126,823,000","112,579,000","96,383,000","93,850,000","89,427,000","73,434,000","71,024,000","67,600,000","47,700,000","44,000,000","21,300,000","16,100,000","10,500,000","7,600,000",
	SellingGeneralAndAdministration,"3,091,000,000","775,000,000","715,000,000","809,000,000","945,000,000","1,057,000,000","918,000,000","1,036,000,000","841,000,000","1,152,000,000","1,089,000,000","1,091,000,000","1,051,000,000","1,190,000,000","1,100,000,000","1,206,000,000","1,026,000,000","954,000,000","881,000,000","904,000,000","807,000,000","857,000,000","824,000,000","840,000,000","747,000,000","855,000,000","772,000,000","1,519,000,000","1,459,000,000","1,420,000,000","1,365,000,000","1,375,000,000","1,270,000,000","1,298,000,000","1,170,000,000","1,190,000,000","1,105,000,000","1,229,000,000","1,095,000,000","1,107,000,000","1,049,000,000","1,017,809,000","959,915,000","999,205,000","826,157,000","817,643,000","745,315,000","740,336,000","722,904,000","1,146,823,000","763,638,000","721,998,000","671,607,000","362,569,000","788,931,000","846,482,000","882,440,000","825,864,000","772,687,000","761,246,000","721,611,000","737,053,000","622,008,000","620,923,000","615,912,000","560,189,000","438,033,000","416,484,000","407,738,000","385,157,000","313,026,000","292,090,000","283,326,000","268,770,000","210,646,000","204,092,000","186,760,000","172,078,000","127,360,000","116,400,000","105,597,000","102,800,000","93,873,000","85,721,000","76,864,000","67,923,000","58,478,000","51,099,000","49,734,000","42,500,000","39,000,000","33,000,000","17,100,000","12,500,000","7,600,000","5,700,000",
		GeneralAndAdministrativeExpense,"921,000,000","206,000,000","219,000,000","250,000,000","258,000,000","253,000,000","258,000,000","320,000,000","234,000,000","323,000,000","283,000,000","274,000,000","309,000,000","245,000,000","248,000,000","368,000,000","270,000,000","265,000,000","254,000,000","267,000,000","245,000,000","249,000,000","224,000,000","218,000,000","209,000,000","260,000,000","207,000,000","683,000,000","665,000,000","475,000,000","442,000,000","461,000,000","465,000,000","461,000,000","415,000,000","419,000,000","408,000,000","436,000,000","369,000,000","390,000,000","372,000,000","345,987,000","336,606,000","391,251,000","293,478,000","278,878,000","261,662,000","262,100,000","276,743,000","620,423,000","272,177,000","257,498,000","268,291,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			SalariesAndWages,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"717,000,000","677,000,000","671,822,000","623,309,000","607,954,000","532,679,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			OtherGandA,"921,000,000","206,000,000","219,000,000","250,000,000","258,000,000","253,000,000","258,000,000","320,000,000","234,000,000","323,000,000","283,000,000","274,000,000","309,000,000","245,000,000","248,000,000","368,000,000","270,000,000","265,000,000","254,000,000","267,000,000","245,000,000","249,000,000","224,000,000","218,000,000","209,000,000","260,000,000","207,000,000","683,000,000","665,000,000","475,000,000","442,000,000","461,000,000","465,000,000","461,000,000","415,000,000","419,000,000","408,000,000","436,000,000","369,000,000","390,000,000","372,000,000","345,987,000","336,606,000","391,251,000","293,478,000","278,878,000","261,662,000","262,100,000","276,743,000","620,423,000","272,177,000","257,498,000","268,291,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		SellingAndMarketingExpense,"2,170,000,000","569,000,000","496,000,000","559,000,000","687,000,000","804,000,000","660,000,000","716,000,000","607,000,000","829,000,000","806,000,000","817,000,000","742,000,000","945,000,000","852,000,000","838,000,000","756,000,000","689,000,000","627,000,000","637,000,000","562,000,000","608,000,000","600,000,000","622,000,000","538,000,000","595,000,000","565,000,000","836,000,000","794,000,000","945,000,000","923,000,000","914,000,000","805,000,000","837,000,000","755,000,000","771,000,000","697,000,000","793,000,000","726,000,000","717,000,000","677,000,000","671,822,000","623,309,000","607,954,000","532,679,000","538,765,000","483,653,000","478,236,000","446,161,000","526,400,000","491,461,000","464,500,000","403,316,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
