name,ttm,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999,12/31/1998,09/30/1998,06/30/1998,03/31/1998,12/31/1997,09/30/1997,06/30/1997,03/31/1997,12/31/1996,09/30/1996,06/30/1996,03/31/1996,12/31/1995,09/30/1995,06/30/1995,03/31/1995,12/31/1994,09/30/1994,06/30/1994,03/31/1994,12/31/1993,09/30/1993,06/30/1993,03/31/1993,12/31/1992,09/30/1992,06/30/1992,03/31/1992,12/31/1991,09/30/1991,06/30/1991,03/31/1991,12/31/1990,09/30/1990,06/30/1990,03/31/1990,12/31/1989,09/30/1989,06/30/1989,03/31/1989,12/31/1988,09/30/1988,06/30/1988,03/31/1988,12/31/1987,09/30/1987,06/30/1987,03/31/1987,12/31/1986,09/30/1986,06/30/1986,03/31/1986,12/31/1985,09/30/1985
TotalRevenue,"12,733,100,000","3,364,600,000","3,320,800,000","3,162,700,000","2,885,000,000","3,065,300,000","3,018,600,000","2,685,700,000","3,581,400,000","3,823,600,000","3,817,900,000","3,759,400,000","3,505,400,000","3,760,500,000","3,747,200,000","3,689,600,000","3,470,900,000","3,650,700,000","3,563,300,000","3,462,700,000","3,161,600,000","3,352,100,000","3,386,100,000","3,317,200,000","3,097,400,000","3,412,000,000","3,446,400,000","3,389,100,000","3,297,600,000","3,680,800,000","3,694,900,000","3,568,200,000","3,336,600,000","3,559,500,000","3,484,000,000","3,337,800,000","2,872,100,000","3,045,800,000","3,023,300,000","2,958,700,000","2,810,900,000","1,845,300,000","1,736,100,000","1,698,800,000","1,518,300,000","1,575,500,000","1,561,900,000","1,520,200,000","1,432,100,000","1,564,500,000","1,546,400,000","1,441,500,000","1,348,200,000","1,483,300,000","1,626,300,000","1,570,000,000","1,457,900,000","1,439,800,000","1,413,200,000","1,362,400,000","1,254,200,000","1,271,000,000","1,278,855,000","1,225,884,000","1,120,075,000","1,141,515,000","1,164,773,000","1,158,664,000","1,069,880,000","1,072,535,000","1,090,316,000","1,042,711,000","979,371,000","956,466,000","982,766,000","946,735,000","875,852,000","883,380,000","894,866,000","839,230,000","786,109,000","561,777,000","616,231,000","595,808,000","580,907,000","566,676,000","600,666,000","570,711,000","526,260,000","515,800,000","554,500,000","520,400,000","489,300,000","483,300,000","500,000,000","468,500,000","436,400,000","422,000,000","432,900,000","411,800,000","373,700,000","391,000,000","392,100,000","373,200,000","333,700,000","349,400,000","348,500,000","333,400,000","309,600,000","362,300,000","302,800,000","282,400,000","260,100,000","267,400,000","275,500,000","257,800,000","240,800,000","262,900,000","260,700,000","247,200,000","234,000,000","245,500,000","244,000,000","221,400,000","207,200,000","359,600,000","388,500,000","373,000,000","268,900,000","340,700,000","369,800,000","359,800,000","235,400,000","311,900,000","337,700,000","335,000,000","227,300,000","279,600,000","294,500,000","125,200,000","215,900,000","222,700,000","199,000,000","221,700,000","201,500,000","202,700,000","187,100,000"
	OperatingRevenue,"12,733,100,000","3,364,600,000","3,320,800,000","3,162,700,000","2,885,000,000","3,065,300,000","3,018,600,000","2,685,700,000","3,581,400,000","3,823,600,000","3,817,900,000","3,759,400,000","3,505,400,000","3,760,500,000","3,747,200,000","3,689,600,000","3,470,900,000","3,650,700,000","3,563,300,000","3,462,700,000","3,161,600,000","3,352,100,000","3,386,100,000","3,317,200,000","3,097,400,000","3,412,000,000","3,446,400,000","3,389,100,000","3,297,600,000","3,680,800,000","3,694,900,000","3,568,200,000","3,336,600,000","3,559,500,000","3,484,000,000","3,337,800,000","2,872,100,000","3,045,800,000","3,023,300,000","2,958,700,000","2,810,900,000","1,845,300,000","1,736,100,000","1,698,800,000","1,518,300,000","1,575,500,000","1,561,900,000","1,520,200,000","1,432,100,000","1,564,500,000","1,546,400,000","1,441,500,000","1,348,200,000","1,483,300,000","1,626,300,000","1,570,000,000","1,457,900,000","1,439,800,000","1,413,200,000","1,362,400,000","1,254,200,000","1,271,000,000","1,278,855,000","1,225,884,000","1,120,075,000","1,141,515,000","1,164,773,000","1,158,664,000","1,069,880,000","1,072,535,000","1,090,316,000","1,042,711,000","979,371,000","956,466,000","982,766,000","946,735,000","875,852,000","883,380,000","894,866,000","839,230,000","786,109,000","561,777,000","616,231,000","595,808,000","580,907,000","566,676,000","600,666,000","570,711,000","526,260,000","515,800,000","554,500,000","520,400,000","489,300,000","483,300,000","500,000,000","468,500,000","436,400,000","422,000,000","432,900,000","411,800,000","373,700,000","391,000,000","392,100,000","373,200,000","333,700,000","349,400,000","348,500,000","333,400,000","309,600,000","362,300,000","302,800,000","282,400,000","260,100,000","267,400,000","275,500,000","257,800,000","240,800,000","262,900,000","260,700,000","247,200,000","234,000,000","245,500,000","244,000,000","221,400,000","207,200,000","359,600,000","388,500,000","373,000,000","268,900,000","340,700,000","369,800,000","359,800,000","235,400,000","311,900,000","337,700,000","335,000,000","227,300,000","279,600,000","294,500,000","125,200,000","215,900,000","222,700,000","199,000,000","221,700,000","201,500,000","202,700,000","187,100,000"
CostOfRevenue,"7,615,800,000","2,043,100,000","2,016,700,000","1,844,000,000","1,712,000,000","1,780,300,000","1,769,600,000","1,635,700,000","2,116,800,000","2,218,200,000","2,207,400,000","2,208,200,000","2,096,700,000","2,187,500,000","2,200,200,000","2,156,100,000","2,082,100,000","1,950,700,000","1,891,300,000","1,871,600,000","1,691,500,000","1,745,100,000","1,737,200,000","1,785,200,000","1,631,400,000","1,831,700,000","1,820,000,000","1,806,500,000","1,765,300,000","1,979,900,000","1,970,600,000","1,909,400,000","1,819,200,000","1,963,800,000","1,882,800,000","1,828,600,000","1,564,900,000","1,644,200,000","1,616,400,000","1,608,900,000","1,614,000,000","966,500,000","877,900,000","860,800,000","770,400,000","783,700,000","763,400,000","750,000,000","716,700,000","781,100,000","763,900,000","725,100,000","707,900,000","770,200,000","834,300,000","798,800,000","738,300,000","716,400,000","690,100,000","669,500,000","615,700,000","630,010,000","625,554,000","608,003,000","552,491,000","579,210,000","572,406,000","570,659,000","526,556,000","532,908,000","519,669,000","504,609,000","474,094,000","469,823,000","478,163,000","466,734,000","430,482,000","444,032,000","434,195,000","413,425,000","395,945,000","268,837,000","280,748,000","274,816,000","265,230,000","224,563,000","229,513,000","223,309,000","200,085,000","201,200,000","212,300,000","201,800,000","187,700,000","188,200,000","193,500,000","180,400,000","167,100,000","159,000,000","163,200,000","157,900,000","141,100,000","152,900,000","152,600,000","148,900,000","131,000,000","138,800,000","139,300,000","129,100,000","119,900,000","153,800,000","113,100,000","104,000,000","95,100,000","100,700,000","103,300,000","97,600,000","92,100,000","102,500,000","101,800,000","97,100,000","91,500,000","99,300,000","95,500,000","88,000,000","84,700,000","147,300,000","166,400,000","163,400,000","109,400,000","143,200,000","166,500,000","166,600,000","98,500,000",,,,,,,,,,,,,,
GrossProfit,"5,117,300,000","1,321,500,000","1,304,100,000","1,318,700,000","1,173,000,000","1,285,000,000","1,249,000,000","1,050,000,000","1,464,600,000","1,605,400,000","1,610,500,000","1,551,200,000","1,408,700,000","1,573,000,000","1,547,000,000","1,533,500,000","1,388,800,000","1,700,000,000","1,672,000,000","1,591,100,000","1,470,100,000","1,607,000,000","1,648,900,000","1,532,000,000","1,466,000,000","1,580,300,000","1,626,400,000","1,582,600,000","1,532,300,000","1,700,900,000","1,724,300,000","1,658,800,000","1,517,400,000","1,595,700,000","1,601,200,000","1,509,200,000","1,307,200,000","1,401,600,000","1,406,900,000","1,349,800,000","1,196,900,000","878,800,000","858,200,000","838,000,000","747,900,000","791,800,000","798,500,000","770,200,000","715,400,000","783,400,000","782,500,000","716,400,000","640,300,000","713,100,000","792,000,000","771,200,000","719,600,000","723,400,000","723,100,000","692,900,000","638,500,000","640,990,000","653,301,000","617,881,000","567,584,000","562,305,000","592,367,000","588,005,000","543,324,000","539,627,000","570,647,000","538,102,000","505,277,000","486,643,000","504,603,000","480,001,000","445,370,000","439,348,000","460,671,000","425,805,000","390,164,000","292,940,000","335,483,000","320,992,000","315,677,000","342,113,000","371,153,000","347,402,000","326,175,000","314,600,000","342,200,000","318,600,000","301,600,000","295,100,000","306,500,000","288,100,000","269,300,000","263,000,000","269,700,000","253,900,000","232,600,000","238,100,000","239,500,000","224,300,000","202,700,000","210,600,000","209,200,000","204,300,000","189,700,000","208,500,000","189,700,000","178,400,000","165,000,000","166,700,000","172,200,000","160,200,000","148,700,000","160,400,000","158,900,000","150,100,000","142,500,000","146,200,000","148,500,000","133,400,000","122,500,000","212,300,000","222,100,000","209,600,000","159,500,000","197,500,000","203,300,000","193,200,000","136,900,000",,,,,,,,,,,,,,
OperatingExpense,"3,416,100,000","867,900,000","832,000,000","853,300,000","862,900,000","809,600,000","802,600,000","788,600,000","1,015,000,000","984,000,000","962,500,000","1,002,700,000","1,001,200,000","978,100,000","955,200,000","1,026,800,000","1,008,500,000","1,123,900,000","1,087,300,000","1,115,300,000","1,090,600,000","1,046,300,000","1,071,600,000","1,093,300,000","1,088,200,000","1,058,800,000","1,070,700,000","1,079,200,000","1,136,800,000","1,142,100,000","1,145,900,000","1,152,700,000","1,136,900,000","1,104,900,000","1,097,400,000","1,083,300,000","995,800,000","971,100,000","977,700,000","981,700,000","989,700,000","651,600,000","595,300,000","609,600,000","581,600,000","579,700,000","558,500,000","565,300,000","558,100,000","577,400,000","554,100,000","526,400,000","516,300,000","573,300,000","590,300,000","560,700,000","559,100,000","549,100,000","551,500,000","519,900,000","490,100,000","495,296,000","471,937,000","464,754,000","436,127,000","464,209,000","420,791,000","441,626,000","416,955,000","416,455,000","411,705,000","402,233,000","389,138,000","372,340,000","359,147,000","358,636,000","343,836,000","345,925,000","329,775,000","327,181,000","317,241,000","226,823,000","241,420,000","240,940,000","238,296,000","268,759,000","273,425,000","268,762,000","253,494,000","246,400,000","254,300,000","246,800,000","239,300,000","229,900,000","227,400,000","224,300,000","215,500,000","207,400,000","202,900,000","201,100,000","189,300,000","188,100,000","183,100,000","179,000,000","168,900,000","168,600,000","159,900,000","163,900,000","158,600,000","167,800,000","146,200,000","144,600,000","137,900,000","134,000,000","135,500,000","128,500,000","128,000,000","128,600,000","123,600,000","121,900,000","120,300,000","120,800,000","112,600,000","103,100,000","103,700,000","174,700,000","175,200,000","175,400,000","156,900,000","168,100,000","162,800,000","164,700,000","142,600,000",,,,,,,,,,,,,,
	SellingGeneralAndAdministration,"3,416,100,000","867,900,000","832,000,000","853,300,000","862,900,000","809,600,000","802,600,000","788,600,000","1,015,000,000","984,000,000","962,500,000","1,002,700,000","1,001,200,000","978,100,000","955,200,000","1,026,800,000","1,008,500,000","1,123,900,000","1,087,300,000","1,115,300,000","1,090,600,000","1,046,300,000","1,071,600,000","1,093,300,000","1,088,200,000","1,058,800,000","1,070,700,000","1,079,200,000","1,136,800,000","1,142,100,000","1,145,900,000","1,152,700,000","1,136,900,000","1,104,900,000","1,097,400,000","1,083,300,000","995,800,000","971,100,000","977,700,000","981,700,000","989,700,000","651,600,000","595,300,000","609,600,000","581,600,000","579,700,000","558,500,000","565,300,000","558,100,000","577,400,000","554,100,000","526,400,000","516,300,000","541,800,000","578,500,000","580,000,000","557,200,000","557,200,000","523,700,000","519,900,000","490,100,000","495,296,000","471,937,000","464,754,000","436,127,000","464,209,000","420,791,000","441,626,000","416,955,000","416,884,000","410,360,000","402,487,000","385,333,000","372,812,000","357,923,000","358,783,000","344,033,000","335,117,000","327,666,000","315,363,000","304,945,000","225,433,000","241,420,000","240,940,000","238,296,000","230,233,000","235,987,000","232,689,000","217,095,000","212,800,000","219,000,000","213,900,000","206,600,000","197,300,000","196,500,000","194,600,000","186,700,000","181,600,000","177,900,000","175,700,000","164,600,000","164,800,000","160,500,000","157,000,000","147,300,000","148,700,000","142,600,000","143,700,000","139,900,000","149,700,000","129,900,000","128,300,000","121,600,000","120,700,000","119,300,000","113,900,000","112,700,000","114,500,000","108,900,000","106,500,000","105,100,000","107,600,000","98,300,000","89,200,000","90,100,000","151,500,000","155,300,000","154,900,000","137,500,000","147,200,000","145,300,000","146,500,000","124,000,000",,,,,,,,,,,,,,
	DepreciationAmortizationDepletionIncomeStatement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"38,526,000","37,438,000","36,073,000","36,399,000","33,600,000","35,300,000","32,900,000","32,700,000","32,600,000","30,900,000","29,700,000","28,800,000","25,800,000","25,000,000","25,400,000","24,700,000","23,300,000","22,600,000","22,000,000","21,600,000","19,900,000","17,300,000","20,200,000","18,700,000","18,100,000","16,300,000","16,300,000","16,300,000","13,300,000","16,200,000","14,600,000","15,300,000","14,100,000","14,700,000","15,400,000","15,200,000","13,200,000","14,300,000","13,900,000","13,600,000","23,200,000","19,900,000","20,500,000","19,400,000","20,900,000","17,500,000","18,200,000","18,600,000",,,,,,,,,,,,,,
		DepreciationAndAmortizationInIncomeStatement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"38,526,000","37,438,000","36,073,000","36,399,000","33,600,000","35,300,000","32,900,000","32,700,000","32,600,000","30,900,000","29,700,000","28,800,000","25,800,000","25,000,000","25,400,000","24,700,000","23,300,000","22,600,000","22,000,000","21,600,000","19,900,000","17,300,000","20,200,000","18,700,000","18,100,000","16,300,000","16,300,000","16,300,000","13,300,000","16,200,000","14,600,000","15,300,000","14,100,000","14,700,000","15,400,000","15,200,000","13,200,000","14,300,000","13,900,000","13,600,000","23,200,000","19,900,000","20,500,000","19,400,000","20,900,000","17,500,000","18,200,000","18,600,000",,,,,,,,,,,,,,
	OtherOperatingExpenses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"31,500,000","11,800,000","-19,300,000","1,900,000","-8,100,000","27,800,000",,,,,,,,,,,"-429,000","1,345,000","-254,000","3,805,000","-472,000","1,224,000","-147,000","-197,000","10,808,000","2,109,000","11,818,000","12,296,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OperatingIncome,"1,701,200,000","453,600,000","472,100,000","465,400,000","310,100,000","475,400,000","446,400,000","261,400,000","449,600,000","621,400,000","648,000,000","548,500,000","407,500,000","594,900,000","591,800,000","506,700,000","380,300,000","576,100,000","584,700,000","475,800,000","379,500,000","560,700,000","577,300,000","438,700,000","377,800,000","521,500,000","555,700,000","503,400,000","395,500,000","558,800,000","578,400,000","506,100,000","380,500,000","490,800,000","503,800,000","425,900,000","311,400,000","430,500,000","429,200,000","368,100,000","207,200,000","227,200,000","262,900,000","228,400,000","166,300,000","212,100,000","240,000,000","204,900,000","157,300,000","206,000,000","228,400,000","190,000,000","124,000,000","139,800,000","201,700,000","210,500,000","160,500,000","174,300,000","171,600,000","173,000,000","148,400,000","145,694,000","181,364,000","153,127,000","131,457,000","98,096,000","171,576,000","146,379,000","126,369,000","123,172,000","158,942,000","135,869,000","116,139,000","114,303,000","145,456,000","121,365,000","101,534,000","93,423,000","130,896,000","98,624,000","72,923,000","66,117,000","94,063,000","80,052,000","77,381,000","73,354,000","97,728,000","78,640,000","72,681,000","68,200,000","87,900,000","71,800,000","62,300,000","65,200,000","79,100,000","63,800,000","53,800,000","55,600,000","66,800,000","52,800,000","43,300,000","50,000,000","56,400,000","45,300,000","33,800,000","42,000,000","49,300,000","40,400,000","31,100,000","40,700,000","43,500,000","33,800,000","27,100,000","32,700,000","36,700,000","31,700,000","20,700,000","31,800,000","35,300,000","28,200,000","22,200,000","25,400,000","35,900,000","30,300,000","18,800,000","37,600,000","46,900,000","34,200,000","2,600,000","29,400,000","40,500,000","28,500,000","-5,700,000","-791,100,000","337,700,000","335,000,000","227,300,000","-597,600,000","294,500,000","-536,400,000","215,900,000","222,700,000","199,000,000","-516,200,000","201,500,000","202,700,000","187,100,000"
