name,ttm,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999,12/31/1998,09/30/1998,06/30/1998,03/31/1998,12/31/1997,09/30/1997,06/30/1997,03/31/1997,12/31/1996,09/30/1996,06/30/1996,03/31/1996,12/31/1995,09/30/1995,06/30/1995,03/31/1995,12/31/1994,09/30/1994
TotalRevenue,"17,731,000,000","5,539,000,000","4,392,000,000","3,936,000,000","3,864,000,000","4,853,000,000","3,562,000,000","2,430,000,000","3,345,000,000","4,624,000,000","3,895,000,000","3,590,000,000","3,744,000,000","4,005,000,000","3,524,000,000","3,295,000,000","3,370,000,000","3,744,000,000","3,274,000,000","2,894,000,000","2,857,000,000","3,208,000,000","2,865,000,000","2,646,300,000","2,656,500,000","3,124,800,000","2,834,700,000","2,524,400,000","2,580,500,000","3,044,500,000","2,631,000,000","2,725,300,000","2,549,800,000","3,018,700,000","2,675,000,000","2,407,400,000","2,291,800,000","2,933,000,000","2,549,500,000","2,251,200,000","2,248,200,000","2,737,500,000","2,476,700,000","2,060,600,000","2,165,700,000","2,492,000,000","2,091,700,000","1,840,100,000","1,860,000,000","2,262,300,000","1,833,400,000","1,682,800,000","1,696,500,000","2,041,000,000","1,903,500,000","2,012,100,000","1,879,800,000","2,308,800,000","1,710,100,000","1,762,400,000","1,690,500,000","1,991,100,000","1,593,500,000","1,604,600,000","1,578,200,000","1,783,900,000","1,497,100,000","1,543,700,000","1,538,200,000","1,750,300,000","1,504,100,000","1,403,100,000","1,421,600,000","1,619,100,000","1,351,700,000","1,223,000,000","1,239,400,000","1,412,700,000","1,242,500,000","1,129,000,000","1,121,700,000","1,257,400,000","1,187,700,000","1,037,100,000","1,101,700,000","1,291,600,000","1,177,700,000","998,900,000","1,039,100,000","1,235,100,000","1,093,700,000","908,500,000","964,800,000","1,091,000,000","997,000,000","845,000,000","871,500,000","1,000,900,000","900,600,000","775,900,000","791,400,000","941,500,000","872,800,000","736,700,000","763,900,000","860,800,000","833,100,000","698,200,000","702,800,000","759,100,000","739,000,000"
	OperatingRevenue,"17,731,000,000","5,539,000,000","4,392,000,000","3,936,000,000","3,864,000,000","4,853,000,000","3,562,000,000","2,430,000,000","3,345,000,000","4,624,000,000","3,895,000,000","3,590,000,000","3,744,000,000","4,005,000,000","3,524,000,000","3,295,000,000","3,370,000,000","3,744,000,000","3,274,000,000","2,894,000,000","2,857,000,000","3,208,000,000","2,865,000,000","2,646,300,000","2,656,500,000","3,124,800,000","2,834,700,000","2,524,400,000","2,580,500,000","3,044,500,000","2,631,000,000","2,725,300,000","2,549,800,000","3,018,700,000","2,675,000,000","2,407,400,000","2,291,800,000","2,933,000,000","2,549,500,000","2,251,200,000","2,248,200,000","2,737,500,000","2,476,700,000","2,060,600,000","2,165,700,000","2,492,000,000","2,091,700,000","1,840,100,000","1,860,000,000","2,262,300,000","1,833,400,000","1,682,800,000","1,696,500,000","2,041,000,000","1,903,500,000","2,012,100,000","1,879,800,000","2,308,800,000","1,710,100,000","1,762,400,000","1,690,500,000","1,991,100,000","1,593,500,000","1,604,600,000","1,578,200,000","1,783,900,000","1,497,100,000","1,543,700,000","1,538,200,000","1,750,300,000","1,504,100,000","1,403,100,000","1,421,600,000","1,619,100,000","1,351,700,000","1,223,000,000","1,239,400,000","1,412,700,000","1,242,500,000","1,129,000,000","1,121,700,000","1,257,400,000","1,187,700,000","1,037,100,000","1,101,700,000","1,291,600,000","1,177,700,000","998,900,000","1,039,100,000","1,235,100,000","1,093,700,000","908,500,000","964,800,000","1,091,000,000","997,000,000","845,000,000","871,500,000","1,000,900,000","900,600,000","775,900,000","791,400,000","941,500,000","872,800,000","736,700,000","763,900,000","860,800,000","833,100,000","698,200,000","702,800,000","759,100,000","739,000,000"
CostOfRevenue,"4,205,000,000","1,223,000,000","1,057,000,000","986,000,000","939,000,000","1,084,000,000","825,000,000","767,000,000","836,000,000","1,041,000,000","908,000,000","835,000,000","819,000,000","910,000,000","823,000,000","697,000,000","683,000,000","753,000,000","711,000,000","613,000,000","591,000,000","637,000,000","596,000,000","510,700,000","504,200,000","589,000,000","577,200,000","488,000,000","502,900,000","573,100,000","536,600,000","533,800,000","498,700,000","581,600,000","544,100,000","475,600,000","443,100,000","568,000,000","539,200,000","441,200,000","469,300,000","551,000,000","534,300,000","425,100,000","482,600,000","541,100,000","488,100,000","414,300,000","444,600,000","525,400,000","445,100,000","427,100,000","446,400,000","508,000,000","500,100,000","490,600,000","471,900,000","578,500,000","455,800,000","421,700,000","426,000,000","499,000,000","428,100,000","397,100,000","411,500,000","458,500,000","419,500,000","371,600,000","386,500,000","448,000,000","411,300,000","340,900,000","358,600,000","412,700,000","366,300,000","290,600,000","316,600,000","371,400,000","357,100,000","266,500,000","318,300,000","276,400,000","254,500,000","204,900,000","226,100,000","278,000,000","263,300,000","167,500,000","193,200,000","246,800,000","217,800,000","175,800,000","186,300,000","220,800,000","199,900,000","163,800,000","168,000,000","205,600,000","184,600,000","160,000,000","148,100,000","198,600,000","182,400,000","147,000,000","144,200,000","198,200,000","182,800,000",,,,
GrossProfit,"13,526,000,000","4,316,000,000","3,335,000,000","2,950,000,000","2,925,000,000","3,769,000,000","2,737,000,000","1,663,000,000","2,509,000,000","3,583,000,000","2,987,000,000","2,755,000,000","2,925,000,000","3,095,000,000","2,701,000,000","2,598,000,000","2,687,000,000","2,991,000,000","2,563,000,000","2,281,000,000","2,266,000,000","2,571,000,000","2,269,000,000","2,135,600,000","2,152,300,000","2,535,800,000","2,257,500,000","2,036,400,000","2,077,600,000","2,471,400,000","2,094,400,000","2,191,500,000","2,051,100,000","2,437,100,000","2,130,900,000","1,931,800,000","1,848,700,000","2,365,000,000","2,010,300,000","1,810,000,000","1,778,900,000","2,186,500,000","1,942,400,000","1,635,500,000","1,683,100,000","1,950,900,000","1,603,600,000","1,425,800,000","1,415,400,000","1,736,900,000","1,388,300,000","1,255,700,000","1,250,100,000","1,533,000,000","1,403,400,000","1,521,500,000","1,407,900,000","1,730,300,000","1,254,300,000","1,340,700,000","1,264,500,000","1,492,100,000","1,165,400,000","1,207,500,000","1,166,700,000","1,325,400,000","1,077,600,000","1,172,100,000","1,151,700,000","1,302,300,000","1,092,800,000","1,062,200,000","1,063,000,000","1,206,400,000","985,400,000","932,400,000","922,800,000","1,041,300,000","885,400,000","862,500,000","803,400,000","981,000,000","933,200,000","832,200,000","875,600,000","1,013,600,000","914,400,000","831,400,000","845,900,000","988,300,000","875,900,000","732,700,000","778,500,000","870,200,000","797,100,000","681,200,000","703,500,000","795,300,000","716,000,000","615,900,000","643,300,000","742,900,000","690,400,000","589,700,000","619,700,000","662,600,000","650,300,000",,,,
OperatingExpense,"10,034,000,000","2,885,000,000","2,394,000,000","2,610,000,000","2,145,000,000","2,590,000,000","2,026,000,000","1,884,000,000","2,030,000,000","2,538,000,000","2,185,000,000","2,422,000,000","2,170,000,000","2,257,000,000","2,008,000,000","2,288,000,000","2,093,000,000","2,214,000,000","1,961,000,000","1,947,000,000","1,780,000,000","1,917,000,000","1,825,000,000","1,892,500,000","1,753,100,000","1,887,900,000","1,804,300,000","1,808,100,000","1,680,400,000","1,838,600,000","1,746,400,000","1,812,000,000","1,709,500,000","1,784,200,000","1,680,200,000","1,765,200,000","1,605,300,000","1,698,600,000","1,527,900,000","1,701,400,000","1,539,000,000","1,576,700,000","1,507,700,000","1,552,800,000","1,452,200,000","1,419,200,000","1,301,800,000","1,358,300,000","1,276,600,000","1,282,400,000","1,149,700,000","1,151,700,000","1,159,000,000","1,262,700,000","1,310,900,000","1,320,400,000","1,246,700,000","1,359,800,000","1,176,400,000","1,179,800,000","1,107,800,000","1,159,700,000","1,065,500,000","1,060,000,000","1,050,400,000","1,074,700,000","972,500,000","1,013,700,000","975,300,000","1,071,800,000","937,500,000","936,500,000","893,400,000","987,400,000","-302,000,000","827,500,000","795,000,000","871,300,000","771,000,000","788,200,000","722,300,000","837,500,000","780,300,000","761,100,000","770,300,000","810,100,000","761,100,000","737,600,000","746,500,000","802,200,000","739,400,000","649,700,000","688,200,000","708,400,000","675,500,000","603,800,000","622,700,000","650,400,000","610,000,000","552,900,000","574,400,000","617,000,000","589,100,000","539,600,000","561,400,000","553,600,000","557,400,000",,,,
	SellingGeneralAndAdministration,"10,034,000,000","2,885,000,000","2,394,000,000","2,610,000,000","2,145,000,000","2,590,000,000","2,026,000,000","1,884,000,000","2,030,000,000","2,538,000,000","2,185,000,000","2,422,000,000","2,170,000,000","2,257,000,000","2,008,000,000","2,288,000,000","2,093,000,000","2,214,000,000","1,961,000,000","1,947,000,000","1,780,000,000","1,917,000,000","1,825,000,000","1,892,500,000","1,753,100,000","1,887,900,000","1,804,300,000","1,808,100,000","1,680,400,000","1,838,600,000","1,746,400,000","1,812,000,000","1,709,500,000","1,784,200,000","1,680,200,000","1,765,200,000","1,605,300,000","1,698,600,000","1,527,900,000","1,701,400,000","1,539,000,000","1,576,700,000","1,507,700,000","1,559,800,000","1,415,900,000","1,419,200,000","1,301,800,000","1,358,300,000","1,276,600,000","1,282,400,000","1,149,700,000","1,151,700,000","1,159,000,000","1,262,400,000","1,310,800,000","1,319,500,000","1,247,400,000","1,359,900,000","1,176,100,000","1,179,100,000","1,107,900,000","1,159,700,000","1,065,000,000","1,021,100,000","998,800,000","1,074,700,000","972,500,000","1,013,700,000","975,300,000","1,071,800,000","937,500,000","917,700,000","893,400,000","987,400,000","852,700,000","807,200,000","795,000,000","871,300,000","771,000,000","788,200,000","722,300,000","837,500,000","780,300,000","744,800,000","770,300,000","810,100,000","761,100,000","698,600,000","709,000,000","765,900,000","705,400,000","621,100,000","658,400,000","679,400,000","645,800,000","576,900,000","595,600,000","626,700,000","590,200,000","532,500,000","555,200,000","598,000,000","571,700,000","522,700,000","542,200,000","541,400,000","546,900,000",,,,
	DepreciationAmortizationDepletionIncomeStatement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"39,000,000","37,500,000","36,300,000","34,000,000","28,600,000","29,800,000","29,000,000","29,700,000","26,900,000","27,100,000","23,700,000","19,800,000","20,400,000","19,200,000","19,000,000","17,400,000","16,900,000","19,200,000","12,200,000","10,500,000",,,,
		DepreciationAndAmortizationInIncomeStatement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"39,000,000","37,500,000","36,300,000","34,000,000","28,600,000","29,800,000","29,000,000","29,700,000","26,900,000","27,100,000","23,700,000","19,800,000","20,400,000","19,200,000","19,000,000","17,400,000","16,900,000","19,200,000","12,200,000","10,500,000",,,,
	OtherOperatingExpenses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-7,000,000","36,300,000",,,,,,,,,"300,000","100,000","900,000","-700,000","-100,000","300,000","700,000","-100,000",,"500,000","38,900,000","51,600,000",,,,,,,,,,"-1,154,700,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OperatingIncome,"3,492,000,000","1,431,000,000","941,000,000","340,000,000","780,000,000","1,179,000,000","711,000,000","-221,000,000","479,000,000","1,045,000,000","802,000,000","333,000,000","755,000,000","838,000,000","693,000,000","310,000,000","594,000,000","777,000,000","602,000,000","334,000,000","486,000,000","654,000,000","444,000,000","243,100,000","399,200,000","647,900,000","453,200,000","228,300,000","397,200,000","632,800,000","348,000,000","379,500,000","341,600,000","652,900,000","450,700,000","166,600,000","243,400,000","666,400,000","482,400,000","108,600,000","239,900,000","609,800,000","434,700,000","82,700,000","230,900,000","531,700,000","301,800,000","67,500,000","138,800,000","454,500,000","238,600,000","104,000,000","91,100,000","270,300,000","92,500,000","201,100,000","161,200,000","370,500,000","77,900,000","160,900,000","156,700,000","332,400,000","99,900,000","147,500,000","116,300,000","250,700,000","105,100,000","158,400,000","176,400,000","230,500,000","155,300,000","125,700,000","169,600,000","219,000,000","1,287,400,000","104,900,000","127,800,000","170,000,000","114,400,000","74,300,000","81,100,000","143,500,000","152,900,000","71,100,000","105,300,000","203,500,000","153,300,000","93,800,000","99,400,000","186,100,000","136,500,000","83,000,000","90,300,000","161,800,000","121,600,000","77,400,000","80,800,000","144,900,000","106,000,000","63,000,000","68,900,000","125,900,000","101,300,000","50,100,000","58,300,000","109,000,000","92,900,000","-1,970,000,000","702,800,000","759,100,000","739,000,000"
