name,ttm,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999,12/31/1998,09/30/1998,06/30/1998,03/31/1998,12/31/1997,09/30/1997,06/30/1997,03/31/1997,12/31/1996,09/30/1996,06/30/1996,03/31/1996,12/31/1995,09/30/1995,06/30/1995,03/31/1995,12/31/1994,09/30/1994,06/30/1994,03/31/1994,12/31/1993,09/30/1993,06/30/1993,03/31/1993
TotalRevenue,"10,476,000,000","2,694,000,000","2,720,000,000","2,653,000,000","2,409,000,000","2,186,000,000","2,122,000,000","1,924,000,000","2,241,000,000","2,205,000,000","2,325,000,000","2,363,000,000","2,380,000,000","2,376,000,000","2,547,000,000","2,621,000,000","2,607,000,000","2,362,000,000","2,465,000,000","2,419,000,000","2,303,000,000","2,188,000,000","2,287,000,000","2,297,000,000","2,236,000,000","2,225,000,000","2,447,000,000","2,533,000,000","2,443,000,000","2,349,000,000","2,413,000,000","2,460,000,000","2,305,000,000","2,265,000,000","2,338,000,000","2,440,000,000","2,307,000,000","2,169,000,000","2,259,000,000","1,853,000,000","1,821,000,000","1,723,000,000","1,812,000,000","1,885,000,000","1,758,000,000","825,000,000","1,729,000,000","1,724,000,000","1,564,000,000","1,328,000,000","1,337,000,000","1,253,000,000","1,129,000,000","1,346,000,000","1,819,000,000","1,834,000,000","1,727,000,000","1,327,000,000","1,813,000,000","1,895,000,000","1,795,000,000","1,752,000,000","1,966,000,000","1,929,000,000","1,803,000,000","1,729,000,000","1,816,000,000","1,752,000,000","1,762,000,000","1,658,000,000","1,649,000,000","1,676,000,000","1,597,000,000","1,434,000,000","1,444,000,000","1,481,000,000","1,441,000,000","1,315,000,000","1,374,000,000","1,395,000,000","1,236,000,000","1,271,000,000","1,367,000,000","1,402,000,000","1,344,000,000","1,372,000,000","1,387,000,000","1,316,000,000","1,217,000,000","1,255,000,000","1,190,000,000","1,122,000,000","1,023,000,000","1,037,000,000","1,131,000,000","1,165,000,000","1,148,000,000","1,154,000,000","1,145,000,000","1,208,000,000","1,171,000,000","1,113,000,000","1,167,000,000","1,241,000,000","1,261,000,000","1,221,000,000","1,266,000,000","1,321,000,000","1,232,000,000","1,169,000,000","1,130,000,000","1,047,000,000","983,000,000","975,600,000","975,800,000","975,800,000","975,800,000"
	OperatingRevenue,"10,476,000,000","2,694,000,000","2,720,000,000","2,653,000,000","2,409,000,000","2,186,000,000","2,122,000,000","1,924,000,000","2,241,000,000","2,205,000,000","2,325,000,000","2,363,000,000","2,380,000,000","2,376,000,000","2,547,000,000","2,621,000,000","2,607,000,000","2,362,000,000","2,465,000,000","2,419,000,000","2,303,000,000","2,188,000,000","2,287,000,000","2,297,000,000","2,236,000,000","2,225,000,000","2,447,000,000","2,533,000,000","2,443,000,000","2,349,000,000","2,413,000,000","2,460,000,000","2,305,000,000","2,265,000,000","2,338,000,000","2,440,000,000","2,307,000,000","2,169,000,000","2,259,000,000","1,853,000,000","1,821,000,000","1,723,000,000","1,812,000,000","1,885,000,000","1,758,000,000","825,000,000","1,729,000,000","1,724,000,000","1,564,000,000","1,328,000,000","1,337,000,000","1,253,000,000","1,129,000,000","1,346,000,000","1,819,000,000","1,834,000,000","1,727,000,000","1,327,000,000","1,813,000,000","1,895,000,000","1,795,000,000","1,752,000,000","1,966,000,000","1,929,000,000","1,803,000,000","1,729,000,000","1,816,000,000","1,752,000,000","1,762,000,000","1,658,000,000","1,649,000,000","1,676,000,000","1,597,000,000","1,434,000,000","1,444,000,000","1,481,000,000","1,441,000,000","1,315,000,000","1,374,000,000","1,395,000,000","1,236,000,000","1,271,000,000","1,367,000,000","1,402,000,000","1,344,000,000","1,372,000,000","1,387,000,000","1,316,000,000","1,217,000,000","1,255,000,000","1,190,000,000","1,122,000,000","1,023,000,000","1,037,000,000","1,131,000,000","1,165,000,000","1,148,000,000","1,154,000,000","1,145,000,000","1,208,000,000","1,171,000,000","1,113,000,000","1,167,000,000","1,241,000,000","1,261,000,000","1,221,000,000","1,266,000,000","1,321,000,000","1,232,000,000","1,169,000,000","1,130,000,000","1,047,000,000","983,000,000","975,600,000","975,800,000","975,800,000","975,800,000"
CostOfRevenue,"7,976,000,000","2,135,000,000","2,058,000,000","1,972,000,000","1,811,000,000","1,660,000,000","1,621,000,000","1,553,000,000","1,664,000,000","1,708,000,000","1,751,000,000","1,774,000,000","1,806,000,000","1,910,000,000","1,819,000,000","1,917,000,000","2,026,000,000","1,875,000,000","1,774,000,000","1,768,000,000","1,678,000,000","1,698,000,000","1,666,000,000","1,692,000,000","1,602,000,000","1,716,000,000","1,752,000,000","1,813,000,000","1,787,000,000","2,016,000,000","1,777,000,000","1,803,000,000","1,710,000,000","1,471,000,000","1,649,000,000","1,763,000,000","1,691,000,000","1,844,000,000","1,734,000,000","1,372,000,000","1,390,000,000","1,399,000,000","1,392,000,000","1,422,000,000","1,325,000,000","521,000,000","1,284,000,000","1,320,000,000","1,243,000,000","1,042,000,000","1,009,000,000","993,000,000","950,000,000","1,200,000,000","1,497,000,000","1,513,000,000","1,390,000,000","1,058,000,000","1,503,000,000","1,575,000,000","1,502,000,000","1,472,000,000","1,650,000,000","1,579,000,000","1,472,000,000","1,450,000,000","1,464,000,000","1,378,000,000","1,363,000,000","1,442,000,000","1,392,000,000","1,406,000,000","1,362,000,000","1,249,000,000","1,244,000,000","1,240,000,000","1,257,000,000","1,172,000,000","1,172,000,000","1,166,000,000","1,031,000,000","1,102,000,000","1,134,000,000","1,149,000,000","1,112,000,000","1,137,000,000","1,096,000,000","1,026,000,000","967,000,000","1,067,000,000","976,000,000","897,000,000","829,000,000","914,000,000","870,000,000","868,000,000","894,000,000","889,000,000","857,000,000","925,000,000","911,000,000","554,000,000","873,000,000","922,000,000","864,000,000","791,000,000","780,000,000","851,000,000","806,000,000","768,000,000","756,000,000","689,000,000","675,000,000",,,,
GrossProfit,"2,500,000,000","559,000,000","662,000,000","681,000,000","598,000,000","526,000,000","501,000,000","371,000,000","577,000,000","497,000,000","574,000,000","589,000,000","574,000,000","466,000,000","728,000,000","704,000,000","581,000,000","487,000,000","691,000,000","651,000,000","625,000,000","490,000,000","621,000,000","605,000,000","634,000,000","509,000,000","695,000,000","720,000,000","656,000,000","333,000,000","636,000,000","657,000,000","595,000,000","794,000,000","689,000,000","677,000,000","616,000,000","325,000,000","525,000,000","481,000,000","431,000,000","324,000,000","420,000,000","463,000,000","433,000,000","304,000,000","445,000,000","404,000,000","321,000,000","286,000,000","328,000,000","260,000,000","179,000,000","146,000,000","322,000,000","321,000,000","337,000,000","269,000,000","310,000,000","320,000,000","293,000,000","280,000,000","316,000,000","350,000,000","331,000,000","279,000,000","352,000,000","374,000,000","399,000,000","216,000,000","257,000,000","270,000,000","235,000,000","185,000,000","200,000,000","241,000,000","184,000,000","143,000,000","202,000,000","229,000,000","205,000,000","169,000,000","233,000,000","253,000,000","232,000,000","235,000,000","291,000,000","290,000,000","250,000,000","188,000,000","214,000,000","225,000,000","194,000,000","123,000,000","261,000,000","297,000,000","254,000,000","265,000,000","288,000,000","283,000,000","260,000,000","559,000,000","294,000,000","319,000,000","397,000,000","430,000,000","486,000,000","470,000,000","426,000,000","401,000,000","374,000,000","358,000,000","308,000,000",,,,
OperatingExpense,"1,049,000,000","275,000,000","267,000,000","265,000,000","242,000,000","231,000,000","221,000,000","207,000,000","221,000,000","236,000,000","222,000,000","222,000,000","245,000,000","226,000,000","235,000,000","249,000,000","246,000,000","224,000,000","231,000,000","231,000,000","228,000,000","221,000,000","235,000,000","229,000,000","237,000,000","284,000,000","242,000,000","251,000,000","236,000,000","306,000,000","227,000,000","228,000,000","221,000,000","180,000,000","207,000,000","231,000,000","220,000,000","286,000,000","225,000,000","164,000,000","167,000,000","169,000,000","164,000,000","145,000,000","149,000,000","135,000,000","165,000,000","144,000,000","139,000,000","139,000,000","137,000,000","132,000,000","128,000,000","163,000,000","148,000,000","149,000,000","152,000,000","118,000,000","270,000,000","152,000,000","137,000,000","195,000,000","145,000,000","157,000,000","147,000,000","188,000,000","150,000,000","161,000,000","146,000,000","152,000,000","142,000,000","150,000,000","153,000,000","137,000,000","178,000,000","150,000,000","123,000,000","149,000,000","141,000,000","148,000,000","128,000,000","180,000,000","145,000,000","-135,000,000","136,000,000","132,000,000","128,000,000","117,000,000","118,000,000","203,000,000","139,000,000","129,000,000","123,000,000","127,000,000","120,000,000","133,000,000","121,000,000","198,000,000","140,000,000","126,000,000","126,000,000","446,000,000","125,000,000","129,000,000","206,000,000","219,000,000","226,000,000","205,000,000","198,000,000","215,000,000","195,000,000","204,000,000","191,000,000",,,,
	SellingGeneralAndAdministration,"795,000,000","208,000,000","201,000,000","202,000,000","184,000,000","174,000,000","165,000,000","155,000,000","160,000,000","176,000,000","163,000,000","165,000,000","187,000,000","167,000,000","175,000,000","189,000,000","190,000,000","174,000,000","175,000,000","176,000,000","174,000,000","165,000,000","181,000,000","174,000,000","183,000,000","210,000,000","178,000,000","194,000,000","180,000,000","244,000,000","171,000,000","172,000,000","168,000,000","135,000,000","159,000,000","180,000,000","171,000,000","224,000,000","173,000,000","121,000,000","126,000,000","119,000,000","116,000,000","121,000,000","113,000,000","98,000,000","122,000,000","108,000,000","103,000,000","103,000,000","104,000,000","98,000,000","94,000,000","95,000,000","107,000,000","107,000,000","110,000,000","99,000,000","107,000,000","113,000,000","101,000,000","121,000,000","105,000,000","113,000,000","98,000,000","115,000,000","108,000,000","122,000,000","109,000,000","121,000,000","107,000,000","112,000,000","110,000,000","106,000,000","100,000,000","108,000,000","100,000,000","107,000,000","100,000,000","110,000,000","90,000,000","102,000,000","101,000,000","114,000,000","98,000,000","95,000,000","90,000,000","81,000,000","80,000,000","103,000,000","93,000,000","83,000,000","76,000,000","81,000,000","75,000,000","85,000,000","75,000,000","90,000,000","85,000,000","84,000,000","78,000,000","85,000,000","78,000,000","85,000,000","84,000,000","93,000,000","102,000,000","89,000,000","80,000,000","89,000,000","72,000,000","81,000,000","68,000,000",,,,
	ResearchAndDevelopment,"254,000,000","67,000,000","66,000,000","63,000,000","58,000,000","57,000,000","56,000,000","52,000,000","61,000,000","60,000,000","59,000,000","57,000,000","58,000,000","59,000,000","60,000,000","60,000,000","56,000,000","50,000,000","56,000,000","55,000,000","54,000,000","56,000,000","54,000,000","55,000,000","54,000,000","74,000,000","64,000,000","57,000,000","56,000,000","62,000,000","56,000,000","56,000,000","53,000,000","45,000,000","48,000,000","51,000,000","49,000,000","62,000,000","52,000,000","43,000,000","41,000,000","42,000,000","41,000,000","39,000,000","36,000,000","37,000,000","43,000,000","36,000,000","36,000,000","36,000,000","33,000,000","34,000,000","34,000,000","38,000,000","39,000,000","39,000,000","42,000,000","40,000,000","43,000,000","37,000,000","36,000,000","41,000,000","40,000,000","44,000,000","42,000,000","42,000,000","42,000,000","39,000,000","39,000,000","38,000,000","35,000,000","38,000,000","43,000,000","44,000,000","44,000,000","42,000,000","43,000,000","41,000,000","42,000,000","38,000,000","38,000,000","42,000,000","39,000,000","41,000,000","38,000,000","37,000,000","38,000,000","36,000,000","38,000,000","47,000,000","46,000,000","46,000,000","47,000,000","46,000,000","45,000,000","48,000,000","46,000,000","46,000,000","55,000,000","42,000,000","48,000,000","47,000,000","47,000,000","44,000,000","46,000,000","48,000,000","46,000,000","40,000,000","42,000,000","44,000,000","41,000,000","40,000,000","42,000,000",,,,
	DepreciationAmortizationDepletionIncomeStatement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"76,000,000","78,000,000","78,000,000","76,000,000","76,000,000","82,000,000","82,000,000","83,000,000","81,000,000",,,,
		DepreciationAndAmortizationInIncomeStatement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"76,000,000","78,000,000","78,000,000","76,000,000","76,000,000","82,000,000","82,000,000","83,000,000","81,000,000",,,,
	OtherOperatingExpenses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"37,000,000",,,,"7,000,000","-15,000,000",,,,,,,,,,,"2,000,000","3,000,000",,"-21,000,000","120,000,000","2,000,000",,,,,"7,000,000",,,,"-2,000,000",,,,,"-13,000,000","34,000,000",,"-20,000,000",,"-1,000,000",,,"36,000,000","5,000,000","-290,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OperatingIncome,"1,451,000,000","284,000,000","395,000,000","416,000,000","356,000,000","295,000,000","280,000,000","164,000,000","356,000,000","261,000,000","352,000,000","367,000,000","329,000,000","240,000,000","493,000,000","455,000,000","335,000,000","263,000,000","460,000,000","420,000,000","397,000,000","269,000,000","386,000,000","376,000,000","397,000,000","225,000,000","453,000,000","469,000,000","420,000,000","27,000,000","409,000,000","429,000,000","374,000,000","614,000,000","482,000,000","446,000,000","396,000,000","39,000,000","300,000,000","317,000,000","264,000,000","155,000,000","256,000,000","318,000,000","284,000,000","169,000,000","280,000,000","260,000,000","182,000,000","147,000,000","191,000,000","128,000,000","51,000,000","-17,000,000","174,000,000","172,000,000","185,000,000","151,000,000","40,000,000","168,000,000","156,000,000","85,000,000","171,000,000","193,000,000","184,000,000","91,000,000","202,000,000","213,000,000","253,000,000","64,000,000","115,000,000","120,000,000","82,000,000","48,000,000","22,000,000","91,000,000","61,000,000","-6,000,000","61,000,000","81,000,000","77,000,000","-11,000,000","88,000,000","388,000,000","96,000,000","103,000,000","163,000,000","173,000,000","132,000,000","-15,000,000","75,000,000","96,000,000","71,000,000","-4,000,000","141,000,000","164,000,000","133,000,000","67,000,000","148,000,000","157,000,000","134,000,000","113,000,000","169,000,000","190,000,000","191,000,000","211,000,000","260,000,000","265,000,000","228,000,000","186,000,000","179,000,000","154,000,000","117,000,000","-2,476,400,000","975,800,000","975,800,000","975,800,000"
