name,ttm,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010
TotalRevenue,"3,758,144,000","1,107,464,000","988,539,000","881,366,000","780,775,000","723,493,000","652,243,000","632,383,000","651,359,000","632,775,000","588,103,000","551,587,000","521,333,000","504,931,000","468,186,000","445,647,000","424,148,000","399,297,000","377,523,000","348,977,000","324,651,000","313,525,000","298,293,000","283,832,000","264,482,000","260,253,000","236,049,000","217,781,000","200,045,000","202,184,000","192,764,000","174,695,000","160,384,000","157,585,000","140,150,000","133,184,000","124,198,000","125,538,000","110,078,000","103,800,000","94,383,000","95,127,000","86,423,000","80,176,000","72,802,000","70,774,000","59,072,000","49,971,000","42,007,000"
	OperatingRevenue,"3,758,144,000","1,107,464,000","988,539,000","881,366,000","780,775,000","723,493,000","652,243,000","632,383,000","651,359,000","632,775,000","588,103,000","551,587,000","521,333,000","504,931,000","468,186,000","445,647,000","424,148,000","399,297,000","377,523,000","348,977,000","324,651,000","313,525,000","298,293,000","283,832,000","264,482,000","260,253,000","236,049,000","217,781,000","200,045,000","202,184,000","192,764,000","174,695,000","160,384,000","157,585,000","140,150,000","133,184,000","124,198,000","125,538,000","110,078,000","103,800,000","94,383,000","95,127,000","86,423,000","80,176,000","72,802,000","70,774,000","59,072,000","49,971,000","42,007,000"
CostOfRevenue,"2,483,697,000","727,267,000","653,374,000","583,728,000","519,328,000","465,792,000","423,388,000","419,540,000","423,802,000","410,069,000","377,525,000","355,915,000","344,689,000","319,031,000","301,081,000","289,175,000","277,634,000","254,121,000","239,369,000","220,132,000","207,730,000","198,226,000","190,797,000","180,782,000","167,381,000","158,291,000","148,479,000","134,256,000","125,887,000","121,465,000","122,509,000","110,102,000","102,454,000","97,627,000","88,539,000","83,547,000","77,937,000","77,284,000","69,099,000","63,803,000","60,175,000","59,388,000","51,627,000","48,816,000","45,505,000","40,125,000","37,214,000","29,003,000","26,186,000"
GrossProfit,"1,274,447,000","380,197,000","335,165,000","297,638,000","261,447,000","257,701,000","228,855,000","212,843,000","227,557,000","222,706,000","210,578,000","195,672,000","176,644,000","185,900,000","167,105,000","156,472,000","146,514,000","145,176,000","138,154,000","128,845,000","116,921,000","115,299,000","107,496,000","103,050,000","97,101,000","101,962,000","87,570,000","83,525,000","74,158,000","80,719,000","70,255,000","64,593,000","57,930,000","59,958,000","51,611,000","49,637,000","46,261,000","48,254,000","40,979,000","39,997,000","34,208,000","35,739,000","34,796,000","31,360,000","27,297,000","30,649,000","21,858,000","20,968,000","15,821,000"
OperatingExpense,"732,131,000","214,530,000","191,041,000","172,364,000","154,196,000","145,708,000","132,459,000","129,417,000","140,048,000","137,961,000","130,013,000","122,790,000","111,986,000","107,630,000","102,545,000","102,235,000","97,817,000","93,126,000","88,906,000","88,163,000","85,955,000","77,916,000","73,594,000","70,970,000","66,770,000","70,197,000","59,794,000","59,919,000","51,338,000","54,463,000","48,420,000","46,117,000","36,073,000","36,766,000","31,381,000","32,102,000","30,725,000","29,598,000","24,243,000","23,167,000","20,424,000","20,312,000","17,905,000","18,785,000","15,485,000","17,799,000","14,468,000","12,165,000","12,074,000"
	SellingGeneralAndAdministration,"648,736,000","190,939,000","169,498,000","151,910,000","136,389,000","128,929,000","116,530,000","114,191,000","125,108,000","124,999,000","118,886,000","111,762,000","101,786,000","101,477,000","92,490,000","91,843,000","87,777,000","84,793,000","81,190,000","80,419,000","78,453,000","71,432,000","67,491,000","64,241,000","61,494,000","64,414,000","55,431,000","55,976,000","46,938,000","49,761,000","42,875,000","38,671,000","32,359,000","32,980,000","27,893,000","28,541,000","27,083,000","26,377,000","21,153,000","20,711,000","17,627,000","18,510,000","15,822,000","16,805,000","13,793,000","16,061,000","10,307,000","10,673,000","10,594,000"
		GeneralAndAdministrativeExpense,,,,,,,,,,,"118,886,000",,,,,,,,,,,,,,,"64,414,000",,,,"49,761,000",,,,,,,,,,,,,,,,,,,
			OtherGandA,,,,,,,,,,,"118,886,000",,,,,,,,,,,,,,,"64,414,000",,,,"49,761,000",,,,,,,,,,,,,,,,,,,
	DepreciationAmortizationDepletionIncomeStatement,"83,395,000","23,591,000","21,543,000","20,454,000","17,807,000","16,779,000","15,929,000","15,226,000","14,940,000","12,962,000","11,127,000","11,028,000","10,200,000","10,183,000","9,319,000","8,962,000","8,176,000","7,696,000","7,174,000","7,020,000","6,672,000","6,237,000","5,925,000","6,123,000","5,102,000","4,899,000","4,393,000","3,903,000","4,200,000","2,833,000","5,510,000","5,451,000","3,689,000","3,743,000","3,906,000","3,854,000","3,617,000","3,208,000","3,040,000","2,423,000","2,211,000","1,806,000","2,083,000","1,959,000","1,690,000","1,723,000","1,526,000","1,552,000","1,441,000"
		DepreciationAndAmortizationInIncomeStatement,"83,395,000","23,591,000","21,543,000","20,454,000","17,807,000","16,779,000","15,929,000","15,226,000","14,940,000","12,962,000","11,127,000","11,028,000","10,200,000","10,183,000","9,319,000","8,962,000","8,176,000","7,696,000","7,174,000","7,020,000","6,672,000","6,237,000","5,925,000","6,123,000","5,102,000","4,899,000","4,393,000","3,903,000","4,200,000","2,833,000","5,510,000","5,451,000","3,689,000","3,743,000","3,906,000","3,854,000","3,617,000","3,208,000","3,040,000","2,423,000","2,211,000","1,806,000","2,083,000","1,959,000","1,690,000","1,723,000","1,526,000","1,552,000","1,441,000"
