name,ttm,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000
TotalRevenue,"6,635,537,000","1,706,378,000","1,675,176,000","1,657,919,000","1,596,064,000","1,564,115,000","1,519,767,000","1,470,121,000","1,444,542,000","1,417,135,000","1,396,810,000","1,384,977,000","1,363,218,000","1,310,083,000","1,283,751,000","1,261,943,000","1,215,877,000","1,200,221,000","1,152,261,000","1,066,421,000","949,525,000","942,647,000","924,676,000","900,510,000","844,156,000","730,462,000","686,649,000","665,582,000","643,174,000","638,121,000","620,441,000","605,161,000","580,053,000","564,677,000","543,084,000","525,669,000","519,455,000","506,520,000","488,730,000","466,264,000","452,200,000","431,312,000","417,601,000","394,900,000","363,029,000","345,244,000","330,347,000","296,094,000","248,649,000","242,552,000","227,558,000","213,168,000","199,231,000","190,683,000","183,735,000","172,044,000","158,218,000","138,714,000","103,782,000","91,837,000","85,109,000","79,772,000","73,726,000","68,548,000","64,869,000","61,798,000","58,096,000","52,479,000","48,684,000","44,989,000","42,439,000","39,423,000","36,820,000","33,154,000","30,919,000","28,434,000","25,435,000","18,803,000","20,187,000","18,040,000","20,158,000","17,466,000","17,178,000","16,157,000","12,613,000","8,055,000","3,933,000","892,000","135,600"
	OperatingRevenue,"6,635,537,000","1,706,378,000","1,675,176,000","1,657,919,000","1,596,064,000","1,564,115,000","1,519,767,000","1,470,121,000","1,444,542,000","1,417,135,000","1,396,810,000","1,384,977,000","1,363,218,000","1,310,083,000","1,283,751,000","1,261,943,000","1,215,877,000","1,200,221,000","1,152,261,000","1,066,421,000","949,525,000","942,647,000","924,676,000","900,510,000","844,156,000","730,462,000","686,649,000","665,582,000","643,174,000","638,121,000","620,441,000","605,161,000","580,053,000","564,677,000","543,084,000","525,669,000","519,455,000","506,520,000","488,730,000","466,264,000","452,200,000","431,312,000","417,601,000","394,900,000","363,029,000","345,244,000","330,347,000","296,094,000","248,649,000","242,552,000","227,558,000","213,168,000","199,231,000","190,683,000","183,735,000","172,044,000","158,218,000","138,714,000","103,782,000","91,837,000","85,109,000","79,772,000","73,726,000","68,548,000","64,869,000","61,798,000","58,096,000","52,479,000","48,684,000","44,989,000","42,439,000","39,423,000","36,820,000","33,154,000","30,919,000","28,434,000","25,435,000","18,803,000","20,187,000","18,040,000","20,158,000","17,466,000","17,178,000","16,157,000","12,613,000","8,055,000","3,933,000","892,000","135,600"
CostOfRevenue,"3,472,422,000","910,435,000","885,650,000","865,120,000","811,217,000","830,735,000","767,979,000","739,344,000","736,282,000","725,636,000","704,339,000","698,179,000","682,030,000","670,935,000","660,309,000","651,801,000","622,430,000","619,625,000","582,360,000","522,203,000","468,961,000","465,921,000","470,302,000","456,967,000","427,680,000","351,968,000","325,468,000","315,757,000","298,313,000","313,449,000","304,052,000","292,859,000","287,525,000","269,743,000","268,960,000","267,693,000","259,268,000","250,121,000","251,487,000","233,192,000","225,079,000","229,340,000","228,153,000","215,572,000","194,576,000","193,559,000","185,476,000","162,582,000","133,050,000","127,074,000","126,007,000","118,534,000","111,805,000","108,302,000","109,863,000","102,008,000","94,486,000","92,480,000","62,891,000","55,609,000","52,765,000","50,334,000","49,137,000","45,563,000","43,345,000","41,715,000","40,955,000","38,811,000","36,873,000","34,705,000","34,310,000","34,150,000","33,785,000","32,554,000","33,314,000","31,634,000","30,619,000","25,474,000","26,217,000","26,956,000","25,426,000","20,296,000","24,597,000","26,318,000","3,172,000","-1,412,000","-1,602,000","-2,654,000","-2,972,800"
GrossProfit,"3,163,115,000","795,943,000","789,526,000","792,799,000","784,847,000","733,380,000","751,788,000","730,777,000","708,260,000","691,499,000","692,471,000","686,798,000","681,188,000","639,148,000","623,442,000","610,142,000","593,447,000","580,596,000","569,901,000","544,218,000","480,564,000","476,726,000","454,374,000","443,543,000","416,476,000","378,494,000","361,181,000","349,825,000","344,861,000","324,672,000","316,389,000","312,302,000","292,528,000","294,934,000","274,124,000","257,976,000","260,187,000","256,399,000","237,243,000","233,072,000","227,121,000","201,972,000","189,448,000","179,328,000","168,453,000","151,685,000","144,871,000","133,512,000","115,599,000","115,478,000","101,551,000","94,634,000","87,426,000","82,381,000","73,872,000","70,036,000","63,732,000","46,234,000","40,891,000","36,228,000","32,344,000","29,438,000","24,589,000","22,985,000","21,524,000","20,083,000","17,141,000","13,668,000","11,811,000","10,284,000","8,129,000","5,273,000","3,035,000","600,000","-2,395,000","-3,200,000","-5,184,000","-6,671,000","-6,030,000","-8,916,000","-5,268,000","-2,830,000","-7,419,000","-10,161,000","9,441,000","9,467,000","5,535,000","3,546,000","3,108,400"
OperatingExpense,"2,043,029,000","533,509,000","517,622,000","507,615,000","484,283,000","480,199,000","452,077,000","435,014,000","442,047,000","406,060,000","403,386,000","391,857,000","384,761,000","367,950,000","364,822,000","364,691,000","362,933,000","341,428,000","342,955,000","332,921,000","310,326,000","292,340,000","292,175,000","276,294,000","272,494,000","225,268,000","206,946,000","200,826,000","192,256,000","194,920,000","181,539,000","186,929,000","170,731,000","165,716,000","158,493,000","148,110,000","147,961,000","142,557,000","136,832,000","128,487,000","124,996,000","116,996,000","109,046,000","102,744,000","96,237,000","96,338,000","89,845,000","83,079,000","62,623,000","60,916,000","54,614,000","53,825,000","49,553,000","55,477,000","51,538,000","56,735,000","49,727,000","45,451,000","34,812,000","33,374,000","31,538,000","18,429,000","26,133,000","26,205,000","24,328,000","17,275,000","16,907,000","16,172,000","15,308,000","13,056,000","12,727,000","12,431,000","12,884,000","13,216,000","11,891,000","13,042,000","15,627,000","11,003,000","11,047,000","12,945,000","10,911,000","14,934,000","16,603,000","19,783,000","44,407,000","48,154,000","35,485,000","28,063,000","17,063,800"
	SellingGeneralAndAdministration,"2,043,029,000","533,509,000","517,622,000","507,615,000","484,283,000","480,199,000","452,077,000","435,014,000","442,047,000","406,060,000","403,386,000","391,857,000","384,761,000","367,950,000","364,822,000","364,691,000","362,933,000","341,428,000","342,955,000","332,921,000","310,326,000","292,340,000","292,175,000","276,294,000","272,494,000","225,268,000","206,946,000","200,826,000","192,256,000","194,920,000","181,539,000","186,929,000","170,731,000","165,716,000","158,493,000","148,110,000","147,961,000","142,557,000","136,832,000","128,487,000","124,996,000","116,996,000","109,046,000","102,744,000","96,237,000","96,338,000","89,845,000","83,079,000","62,623,000","60,916,000","54,614,000","53,825,000","49,553,000","55,477,000","51,538,000","56,735,000","49,727,000","46,789,000","34,812,000","33,374,000","31,538,000","28,076,000","26,133,000","26,205,000","24,328,000","17,275,000","16,907,000","16,172,000","15,308,000","13,056,000","12,727,000","12,431,000","12,884,000","13,216,000","11,891,000","13,042,000","15,627,000","11,003,000","11,047,000","12,945,000","10,911,000","14,934,000","16,603,000","19,783,000","23,901,000","24,935,000","21,464,000","20,106,000","10,876,500"
		GeneralAndAdministrativeExpense,"1,301,797,000","343,711,000","334,625,000","322,005,000","301,456,000","293,144,000","279,350,000","256,890,000","261,597,000","245,504,000","241,812,000","232,656,000","215,046,000","206,146,000","206,902,000","210,489,000","203,157,000","187,816,000","185,336,000","191,355,000","181,399,000","178,956,000","181,239,000","168,462,000","165,904,000","136,829,000","123,237,000","119,578,000","113,640,000","113,684,000","109,354,000","111,675,000","103,303,000","98,466,000","96,874,000","88,632,000","89,685,000","86,867,000","83,621,000","80,723,000","78,425,000","71,674,000","65,976,000","65,681,000","62,601,000","64,820,000","58,640,000","54,166,000","43,155,000","43,647,000","39,071,000","37,456,000","35,150,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			OtherGandA,"1,301,797,000","343,711,000","334,625,000","322,005,000","301,456,000","293,144,000","279,350,000","256,890,000","261,597,000","245,504,000","241,812,000","232,656,000","215,046,000","206,146,000","206,902,000","210,489,000","203,157,000","187,816,000","185,336,000","191,355,000","181,399,000","178,956,000","181,239,000","168,462,000","165,904,000","136,829,000","123,237,000","119,578,000","113,640,000","113,684,000","109,354,000","111,675,000","103,303,000","98,466,000","96,874,000","88,632,000","89,685,000","86,867,000","83,621,000","80,723,000","78,425,000","71,674,000","65,976,000","65,681,000","62,601,000","64,820,000","58,640,000","54,166,000","43,155,000","43,647,000","39,071,000","37,456,000","35,150,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		SellingAndMarketingExpense,"741,232,000","189,798,000","182,997,000","185,610,000","182,827,000","187,055,000","172,727,000","178,124,000","180,450,000","160,556,000","161,574,000","159,201,000","169,715,000","161,804,000","157,920,000","154,202,000","159,776,000","153,612,000","157,619,000","141,566,000","128,927,000","113,384,000","110,936,000","107,832,000","106,590,000","88,439,000","83,709,000","81,248,000","78,616,000","81,236,000","72,185,000","75,254,000","67,428,000","67,250,000","61,619,000","59,478,000","58,276,000","55,690,000","53,211,000","47,764,000","46,571,000","45,322,000","43,070,000","37,063,000","33,636,000","31,518,000","31,205,000","28,913,000","19,468,000","17,269,000","15,543,000","16,369,000","14,403,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
	DepreciationAmortizationDepletionIncomeStatement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"20,506,000","23,219,000","14,021,000","7,957,000","6,187,300"
