name,ttm,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999,12/31/1998,09/30/1998,06/30/1998,03/31/1998,12/31/1997,09/30/1997,06/30/1997,03/31/1997,12/31/1996,09/30/1996,06/30/1996,03/31/1996,12/31/1995,09/30/1995,06/30/1995,03/31/1995,12/31/1994,09/30/1994,06/30/1994,03/31/1994,12/31/1993,09/30/1993,06/30/1993,03/31/1993,12/31/1992,09/30/1992,06/30/1992,03/31/1992,12/31/1991,09/30/1991,06/30/1991,03/31/1991,12/31/1990,09/30/1990,06/30/1990,03/31/1990,12/31/1989,09/30/1989,06/30/1989,03/31/1989,12/31/1988,09/30/1988,06/30/1988,03/31/1988,12/31/1987,09/30/1987,06/30/1987,03/31/1987,12/31/1986,09/30/1986,06/30/1986,03/31/1986,12/31/1985,09/30/1985
TotalRevenue,"19,628,000,000","4,798,000,000","4,923,000,000","5,215,000,000","4,692,000,000","4,687,000,000","4,526,000,000","3,856,000,000","4,789,000,000","5,238,000,000","5,314,000,000","5,533,000,000","5,305,000,000","5,459,000,000","5,412,000,000","5,487,000,000","5,251,000,000","5,213,000,000","5,211,000,000","5,132,000,000","4,848,000,000","4,867,000,000","4,987,000,000","5,080,000,000","4,813,000,000","5,057,000,000","5,203,000,000","5,372,000,000","5,223,000,000","5,565,000,000","5,728,000,000","5,767,000,000","5,492,000,000","5,527,000,000","5,607,000,000","5,602,000,000","5,310,000,000","4,333,000,000","3,950,000,000","4,068,000,000","3,960,000,000","4,033,000,000","4,123,000,000","4,090,000,000","3,803,000,000","3,663,000,000","3,571,000,000","3,378,000,000","3,103,000,000","3,131,000,000","3,028,000,000","2,901,000,000","2,813,000,000","3,487,000,000","4,114,000,000","4,279,000,000","3,496,000,000","3,374,000,000","3,298,000,000","3,248,000,000","3,153,000,000","3,102,000,000","3,115,000,000","3,186,000,000","3,013,000,000","2,838,000,000","2,789,000,000","2,834,000,000","2,654,000,000","2,633,000,000","2,543,000,000","2,403,000,000","2,238,000,000","2,083,000,000","2,026,000,000","2,027,000,000","1,925,000,000","1,775,000,000","1,830,000,000","1,881,000,000","1,723,000,000","1,695,000,000","1,750,000,000","1,871,000,000","1,983,000,000","1,458,000,000","2,191,000,000","2,335,000,000","2,325,000,000","2,214,000,000","2,227,000,000","2,300,000,000","1,661,000,000","1,606,000,000","1,620,000,000","1,712,000,000","1,687,000,000","1,934,000,000","1,931,000,000","1,909,000,000","1,789,000,000","1,724,000,000","1,719,000,000","1,782,000,000","1,736,000,000","1,661,000,000","1,672,000,000","1,758,000,000","1,731,000,000","1,605,000,000","1,531,000,000","1,545,000,000","1,371,000,000","1,115,000,000","1,053,000,000","1,147,000,000","1,034,000,000","964,000,000","945,000,000","1,011,000,000","949,000,000","866,000,000","842,000,000","855,000,000","818,000,000","875,500,000","869,100,000","952,800,000","941,600,000","879,800,000","864,100,000","969,400,000","957,700,000","890,900,000","840,400,000","880,100,000","857,100,000","805,100,000","753,500,000","807,700,000","771,600,000","1,028,300,000","897,600,000","1,003,300,000","882,400,000","983,600,000","869,100,000"
	OperatingRevenue,"19,628,000,000","4,798,000,000","4,923,000,000","5,215,000,000","4,692,000,000","4,687,000,000","4,526,000,000","3,856,000,000","4,789,000,000","5,238,000,000","5,314,000,000","5,533,000,000","5,305,000,000","5,459,000,000","5,412,000,000","5,487,000,000","5,251,000,000","5,213,000,000","5,211,000,000","5,132,000,000","4,848,000,000","4,867,000,000","4,987,000,000","5,080,000,000","4,813,000,000","5,057,000,000","5,203,000,000","5,372,000,000","5,223,000,000","5,565,000,000","5,728,000,000","5,767,000,000","5,492,000,000","5,527,000,000","5,607,000,000","5,602,000,000","5,310,000,000","4,333,000,000","3,950,000,000","4,068,000,000","3,960,000,000","4,033,000,000","4,123,000,000","4,090,000,000","3,803,000,000","3,663,000,000","3,571,000,000","3,378,000,000","3,103,000,000","3,131,000,000","3,028,000,000","2,901,000,000","2,813,000,000","3,487,000,000","4,114,000,000","4,279,000,000","3,496,000,000","3,374,000,000","3,298,000,000","3,248,000,000","3,153,000,000","3,102,000,000","3,115,000,000","3,186,000,000","3,013,000,000","2,838,000,000","2,789,000,000","2,834,000,000","2,654,000,000","2,633,000,000","2,543,000,000","2,403,000,000","2,238,000,000","2,083,000,000","2,026,000,000","2,027,000,000","1,925,000,000","1,775,000,000","1,830,000,000","1,881,000,000","1,723,000,000","1,695,000,000","1,750,000,000","1,871,000,000","1,983,000,000","1,458,000,000","2,191,000,000","2,335,000,000","2,325,000,000","2,214,000,000","2,227,000,000","2,300,000,000","1,661,000,000","1,606,000,000","1,620,000,000","1,712,000,000","1,687,000,000","1,934,000,000","1,931,000,000","1,909,000,000","1,789,000,000","1,724,000,000","1,719,000,000","1,782,000,000","1,736,000,000","1,661,000,000","1,672,000,000","1,758,000,000","1,731,000,000","1,605,000,000","1,531,000,000","1,545,000,000","1,371,000,000","1,115,000,000","1,053,000,000","1,147,000,000","1,034,000,000","964,000,000","945,000,000","1,011,000,000","949,000,000","866,000,000","842,000,000","855,000,000","818,000,000","875,500,000","869,100,000","952,800,000","941,600,000","879,800,000","864,100,000","969,400,000","957,700,000","890,900,000","840,400,000","880,100,000","857,100,000","805,100,000","753,500,000","807,700,000","771,600,000","1,028,300,000","897,600,000","1,003,300,000","882,400,000","983,600,000","869,100,000"
CostOfRevenue,"13,293,000,000","3,226,000,000","3,338,000,000","3,545,000,000","3,184,000,000","3,178,000,000","3,051,000,000","2,877,000,000","3,302,000,000","3,556,000,000","3,512,000,000","3,697,000,000","3,573,000,000","3,670,000,000","3,597,000,000","3,671,000,000","3,573,000,000","3,527,000,000","3,469,000,000","3,450,000,000","3,310,000,000","3,319,000,000","3,371,000,000","3,419,000,000","3,291,000,000","3,427,000,000","3,597,000,000","3,675,000,000","3,593,000,000","3,847,000,000","3,916,000,000","4,025,000,000","3,858,000,000","3,881,000,000","3,883,000,000","3,870,000,000","3,735,000,000","3,132,000,000","2,747,000,000","2,815,000,000","2,754,000,000","2,817,000,000","2,900,000,000","2,862,000,000","2,682,000,000","2,565,000,000","2,480,000,000","2,387,000,000","2,201,000,000","2,241,000,000","2,178,000,000","2,189,000,000","2,174,000,000","2,626,000,000","2,964,000,000","3,069,000,000","2,532,000,000","2,428,000,000","2,381,000,000","2,346,000,000","2,256,000,000","2,300,000,000","2,313,000,000","2,307,000,000","2,167,000,000","2,059,000,000","2,001,000,000","2,039,000,000","1,913,000,000","1,899,000,000","1,836,000,000","1,726,000,000","1,621,000,000","1,505,000,000","1,479,000,000","1,498,000,000","1,415,000,000","1,306,000,000","1,316,000,000","1,364,000,000","1,286,000,000","1,280,000,000","1,326,000,000","1,311,000,000","1,407,000,000","1,064,000,000","1,473,000,000","1,547,000,000","1,546,000,000","1,496,000,000","1,490,000,000","1,528,000,000","1,086,000,000","1,074,000,000","1,110,000,000","1,118,000,000","1,133,000,000","1,296,000,000","1,305,000,000","1,288,000,000","1,225,000,000","1,216,000,000","1,199,000,000","1,227,000,000","1,203,000,000","1,157,000,000","1,173,000,000","1,218,000,000","1,199,000,000","1,099,000,000","1,058,000,000","1,053,000,000","936,000,000","769,000,000","738,000,000","819,000,000","723,000,000","695,000,000","682,000,000","718,000,000","678,000,000","618,000,000","609,000,000","733,000,000","715,000,000","626,100,000","628,500,000","653,600,000","679,800,000","603,500,000","593,600,000","787,100,000",,,,,,,,,,,,,,,
GrossProfit,"6,335,000,000","1,572,000,000","1,585,000,000","1,670,000,000","1,508,000,000","1,509,000,000","1,475,000,000","979,000,000","1,487,000,000","1,682,000,000","1,802,000,000","1,836,000,000","1,732,000,000","1,789,000,000","1,815,000,000","1,816,000,000","1,678,000,000","1,686,000,000","1,742,000,000","1,682,000,000","1,538,000,000","1,548,000,000","1,616,000,000","1,661,000,000","1,522,000,000","1,630,000,000","1,606,000,000","1,697,000,000","1,630,000,000","1,718,000,000","1,812,000,000","1,742,000,000","1,634,000,000","1,646,000,000","1,724,000,000","1,732,000,000","1,575,000,000","1,201,000,000","1,203,000,000","1,253,000,000","1,206,000,000","1,216,000,000","1,223,000,000","1,228,000,000","1,121,000,000","1,098,000,000","1,091,000,000","991,000,000","902,000,000","890,000,000","850,000,000","712,000,000","639,000,000","861,000,000","1,150,000,000","1,210,000,000","964,000,000","946,000,000","917,000,000","902,000,000","897,000,000","802,000,000","802,000,000","879,000,000","846,000,000","779,000,000","788,000,000","795,000,000","741,000,000","734,000,000","707,000,000","677,000,000","617,000,000","578,000,000","547,000,000","529,000,000","510,000,000","469,000,000","514,000,000","517,000,000","437,000,000","415,000,000","424,000,000","560,000,000","576,000,000","394,000,000","718,000,000","788,000,000","779,000,000","718,000,000","737,000,000","772,000,000","575,000,000","532,000,000","510,000,000","594,000,000","554,000,000","638,000,000","626,000,000","621,000,000","564,000,000","508,000,000","520,000,000","555,000,000","533,000,000","504,000,000","499,000,000","540,000,000","532,000,000","506,000,000","473,000,000","492,000,000","435,000,000","346,000,000","315,000,000","328,000,000","311,000,000","269,000,000","263,000,000","293,000,000","271,000,000","248,000,000","233,000,000","122,000,000","103,000,000","249,400,000","240,600,000","299,200,000","261,800,000","276,300,000","270,500,000","182,300,000",,,,,,,,,,,,,,,
OperatingExpense,"3,872,000,000","913,000,000","986,000,000","1,030,000,000","943,000,000","905,000,000","886,000,000","817,000,000","1,018,000,000","1,026,000,000","1,032,000,000","1,058,000,000","1,073,000,000","1,014,000,000","1,027,000,000","1,046,000,000","1,045,000,000","1,006,000,000","1,063,000,000","1,052,000,000","1,028,000,000","1,008,000,000","999,000,000","1,046,000,000","1,041,000,000","1,026,000,000","1,063,000,000","1,059,000,000","1,073,000,000","1,057,000,000","1,124,000,000","1,152,000,000","1,124,000,000","1,166,000,000","1,133,000,000","1,121,000,000","1,110,000,000","941,000,000","789,000,000","796,000,000","807,000,000","808,000,000","772,000,000","805,000,000","770,000,000","761,000,000","755,000,000","707,000,000","688,000,000","690,000,000","652,000,000","649,000,000","656,000,000","698,000,000","776,000,000","815,000,000","641,000,000","658,000,000","616,000,000","613,000,000","591,000,000","574,000,000","554,000,000","581,000,000","561,000,000","527,000,000","514,000,000","515,000,000","488,000,000","496,000,000","478,000,000","453,000,000","421,000,000","411,000,000","384,000,000","395,000,000","384,000,000","347,000,000","353,000,000","355,000,000","365,000,000","347,000,000","356,000,000","445,000,000","479,000,000","364,000,000","546,000,000","557,000,000","563,000,000","542,000,000","553,000,000","546,000,000","432,000,000","447,000,000","414,000,000","428,000,000","426,000,000","463,000,000","438,000,000","434,000,000","414,000,000","418,000,000","393,000,000","392,000,000","379,000,000","364,000,000","349,000,000","367,000,000","352,000,000","357,000,000","335,000,000","345,000,000","309,000,000","295,000,000","234,000,000","238,000,000","216,000,000","226,000,000","220,000,000","215,000,000","206,000,000","235,000,000","189,000,000","73,000,000","113,000,000","199,300,000","182,600,000","205,500,000","170,600,000","194,900,000","197,700,000","72,100,000",,,,,,,,,,,,,,,
	SellingGeneralAndAdministration,"3,256,000,000","751,000,000","834,000,000","876,000,000","795,000,000","765,000,000","754,000,000","691,000,000","865,000,000","874,000,000","885,000,000","907,000,000","917,000,000","869,000,000","889,000,000","901,000,000","889,000,000","862,000,000","916,000,000","902,000,000","885,000,000","863,000,000","853,000,000","897,000,000","892,000,000","873,000,000","907,000,000","901,000,000","915,000,000","903,000,000","961,000,000","984,000,000","962,000,000","1,001,000,000","967,000,000","960,000,000","958,000,000","815,000,000","687,000,000","690,000,000","702,000,000","707,000,000","668,000,000","698,000,000","665,000,000","644,000,000","651,000,000","604,000,000","587,000,000","587,000,000","553,000,000","554,000,000","558,000,000","598,000,000","659,000,000","704,000,000","552,000,000","581,000,000","528,000,000","525,000,000","508,000,000","501,000,000","468,000,000","499,000,000","480,000,000","453,000,000","439,000,000","446,000,000","419,000,000","431,000,000","406,000,000","389,000,000","361,000,000","356,000,000","327,000,000","339,000,000","329,000,000","300,000,000","302,000,000","305,000,000","310,000,000","296,000,000","300,000,000","303,000,000","321,000,000","244,000,000","337,000,000","356,000,000","362,000,000","340,000,000","349,000,000","354,000,000","275,000,000","276,000,000","247,000,000","264,000,000","263,000,000","287,000,000","272,000,000","272,000,000","257,000,000","267,000,000","244,000,000","245,000,000","239,000,000","231,000,000","226,000,000","238,000,000","229,000,000","237,000,000","221,000,000","227,000,000","197,000,000","246,000,000","185,000,000","189,000,000","171,000,000","180,000,000","174,000,000","168,000,000","161,000,000","191,000,000","150,000,000","30,000,000","70,000,000","151,200,000","146,600,000","149,900,000","147,300,000","144,700,000","140,900,000","30,100,000",,,,,,,,,,,,,,,
	ResearchAndDevelopment,"616,000,000","162,000,000","152,000,000","154,000,000","148,000,000","140,000,000","132,000,000","126,000,000","153,000,000","152,000,000","147,000,000","151,000,000","156,000,000","145,000,000","138,000,000","145,000,000","156,000,000","144,000,000","147,000,000","150,000,000","143,000,000","145,000,000","146,000,000","149,000,000","149,000,000","153,000,000","156,000,000","158,000,000","158,000,000","154,000,000","163,000,000","168,000,000","162,000,000","165,000,000","166,000,000","161,000,000","152,000,000","126,000,000","102,000,000","106,000,000","105,000,000","101,000,000","104,000,000","107,000,000","105,000,000","117,000,000","104,000,000","103,000,000","101,000,000","103,000,000","99,000,000","95,000,000","98,000,000","100,000,000","117,000,000","111,000,000","89,000,000","77,000,000","88,000,000","88,000,000","83,000,000","73,000,000","86,000,000","82,000,000","81,000,000","74,000,000","75,000,000","69,000,000","69,000,000","65,000,000","72,000,000","64,000,000","60,000,000","55,000,000","57,000,000","56,000,000","55,000,000","47,000,000","51,000,000","50,000,000","55,000,000","51,000,000","56,000,000","53,000,000","68,000,000","12,000,000","86,000,000","87,000,000","84,000,000","84,000,000","82,000,000","77,000,000","71,000,000","85,000,000","85,000,000","82,000,000","82,000,000","84,000,000","81,000,000","79,000,000","75,000,000","67,000,000","67,000,000","68,000,000","65,000,000","59,000,000","53,000,000","58,000,000","57,000,000","56,000,000","52,000,000","55,000,000","50,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
	DepreciationAmortizationDepletionIncomeStatement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"89,000,000","90,000,000","108,000,000","123,000,000","114,000,000","117,000,000","118,000,000","122,000,000","115,000,000","86,000,000","86,000,000","82,000,000","82,000,000","81,000,000","92,000,000","85,000,000","83,000,000","82,000,000","84,000,000","82,000,000","79,000,000","75,000,000","74,000,000","70,000,000","71,000,000","66,000,000","64,000,000","62,000,000","63,000,000","62,000,000","49,000,000","49,000,000","49,000,000","45,000,000","46,000,000","46,000,000","47,000,000","45,000,000","44,000,000","39,000,000","43,000,000","43,000,000","48,100,000","36,000,000","55,600,000","23,300,000","50,200,000","56,800,000","42,000,000",,,,,,,,,,,,,,,
		DepreciationAndAmortizationInIncomeStatement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"89,000,000","90,000,000","108,000,000","123,000,000","114,000,000","117,000,000","118,000,000","122,000,000","115,000,000","86,000,000","86,000,000","82,000,000","82,000,000","81,000,000","92,000,000","85,000,000","83,000,000","82,000,000","84,000,000","82,000,000","79,000,000","75,000,000","74,000,000","70,000,000","71,000,000","66,000,000","64,000,000","62,000,000","63,000,000","62,000,000","49,000,000","49,000,000","49,000,000","45,000,000","46,000,000","46,000,000","47,000,000","45,000,000","44,000,000","39,000,000","43,000,000","43,000,000","48,100,000","36,000,000","55,600,000","23,300,000","50,200,000","56,800,000","42,000,000",,,,,,,,,,,,,,,
OperatingIncome,"2,463,000,000","659,000,000","599,000,000","640,000,000","565,000,000","604,000,000","589,000,000","162,000,000","469,000,000","656,000,000","770,000,000","778,000,000","659,000,000","775,000,000","788,000,000","770,000,000","633,000,000","680,000,000","679,000,000","630,000,000","510,000,000","540,000,000","617,000,000","615,000,000","481,000,000","604,000,000","543,000,000","638,000,000","557,000,000","661,000,000","688,000,000","590,000,000","510,000,000","480,000,000","591,000,000","611,000,000","465,000,000","260,000,000","414,000,000","457,000,000","399,000,000","408,000,000","451,000,000","423,000,000","351,000,000","337,000,000","336,000,000","284,000,000","214,000,000","200,000,000","198,000,000","63,000,000","-17,000,000","163,000,000","374,000,000","395,000,000","323,000,000","288,000,000","301,000,000","289,000,000","306,000,000","228,000,000","248,000,000","298,000,000","285,000,000","252,000,000","274,000,000","280,000,000","253,000,000","238,000,000","229,000,000","224,000,000","196,000,000","167,000,000","163,000,000","134,000,000","126,000,000","122,000,000","161,000,000","162,000,000","72,000,000","68,000,000","68,000,000","115,000,000","97,000,000","30,000,000","172,000,000","231,000,000","216,000,000","176,000,000","184,000,000","226,000,000","143,000,000","85,000,000","96,000,000","166,000,000","128,000,000","175,000,000","188,000,000","187,000,000","150,000,000","90,000,000","127,000,000","163,000,000","154,000,000","140,000,000","150,000,000","173,000,000","180,000,000","149,000,000","138,000,000","147,000,000","126,000,000","51,000,000","81,000,000","90,000,000","95,000,000","43,000,000","43,000,000","78,000,000","65,000,000","13,000,000","44,000,000","49,000,000","-10,000,000","50,100,000","58,000,000","93,700,000","91,200,000","81,400,000","72,800,000","110,200,000","957,700,000","-2,177,200,000","840,400,000","880,100,000","857,100,000","-1,957,100,000","753,500,000","807,700,000","771,600,000","-2,473,900,000","897,600,000","1,003,300,000","882,400,000","-2,325,400,000","869,100,000"
