name,ttm,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014
TotalRevenue,"2,329,114,000","717,139,000","532,429,000","528,900,000","550,646,000","617,355,000","451,478,000","428,737,000","228,055,000","269,998,000","197,947,000","181,095,000","169,339,000","200,028,000","150,366,000","132,387,000","120,912,000","136,268,000","106,380,000","101,692,000","96,891,000","110,209,000","87,562,000","85,349,000","81,847,000","87,895,000","65,696,000","61,365,000","58,543,000","64,912,000","47,634,000","42,509,000","40,536,000"
	OperatingRevenue,"2,329,114,000","717,139,000","532,429,000","528,900,000","550,646,000","617,355,000","451,478,000","428,737,000","228,055,000","272,494,000","197,285,000","180,299,000","168,301,000","199,162,000","149,121,000","130,813,000","120,572,000","136,570,000","105,784,000","100,885,000","94,706,000","108,680,000","86,644,000","84,474,000","79,263,000","87,026,000","64,561,000","60,239,000","57,430,000","64,001,000","46,309,000","41,364,000","39,560,000"
CostOfRevenue,"654,512,000","208,966,000","153,660,000","148,969,000","142,917,000","150,780,000","120,168,000","111,381,000","82,416,000","90,824,000","68,949,000","58,605,000","52,658,000","57,111,000","46,947,000","45,409,000","41,295,000","44,220,000","36,383,000","35,724,000","34,659,000","37,005,000","29,314,000","29,098,000","27,911,000","30,196,000","24,165,000","21,909,000","20,709,000","22,779,000","18,115,000","17,345,000","15,394,000"
GrossProfit,"1,674,602,000","508,173,000","378,769,000","379,931,000","407,729,000","466,575,000","331,310,000","317,356,000","145,639,000","179,174,000","128,998,000","122,490,000","116,681,000","142,917,000","103,419,000","86,978,000","79,617,000","92,048,000","69,997,000","65,968,000","62,232,000","73,204,000","58,248,000","56,251,000","53,936,000","57,699,000","41,531,000","39,456,000","37,834,000","42,133,000","29,519,000","25,164,000","25,142,000"
OperatingExpense,"1,208,870,000","365,924,000","295,028,000","290,826,000","257,092,000","305,240,000","213,141,000","198,216,000","120,274,000","154,136,000","114,766,000","104,642,000","85,038,000","113,428,000","84,682,000","74,216,000","65,819,000","70,596,000","62,572,000","77,686,000","64,333,000","69,752,000","55,575,000","51,582,000","47,153,000","49,283,000","43,198,000","43,247,000","42,676,000","41,957,000","32,571,000","28,958,000","24,723,000"
	SellingGeneralAndAdministration,"937,335,000","283,369,000","221,507,000","229,073,000","203,386,000","254,083,000","167,233,000","152,983,000","82,492,000","118,435,000","82,301,000","75,877,000","60,091,000","84,886,000","60,264,000","50,648,000","45,098,000","52,808,000","45,614,000","55,932,000","46,217,000","53,636,000","40,678,000","39,742,000","34,923,000","38,076,000","31,792,000","33,175,000","32,667,000","32,234,000","22,494,000","20,166,000","16,681,000"
		GeneralAndAdministrativeExpense,"282,531,000","79,171,000","89,579,000","61,599,000","52,182,000","43,318,000","40,454,000","38,276,000","33,987,000","34,401,000","32,203,000","29,883,000","24,647,000","21,524,000","20,748,000","21,707,000","18,904,000","18,218,000","22,094,000","28,411,000","22,763,000","22,625,000","21,942,000","22,537,000","19,076,000","15,600,000","15,250,000","17,632,000","20,457,000","17,621,000","13,686,000","11,400,000","9,213,000"
			OtherGandA,"282,531,000","79,171,000","89,579,000","61,599,000","52,182,000","43,318,000","40,454,000","38,276,000","33,987,000","34,401,000","32,203,000","29,883,000","24,647,000","21,524,000","20,748,000","21,707,000","18,904,000","18,218,000","22,094,000","28,411,000","22,763,000","22,625,000","21,942,000","22,537,000","19,076,000","15,600,000","15,250,000","17,632,000","20,457,000","17,621,000","13,686,000","11,400,000","9,213,000"
		SellingAndMarketingExpense,"654,804,000","204,198,000","131,928,000","167,474,000","151,204,000","210,765,000","126,779,000","114,707,000","48,505,000","84,034,000","50,098,000","45,994,000","35,444,000","63,362,000","39,516,000","28,941,000","26,194,000","34,590,000","23,520,000","27,521,000","23,454,000","31,011,000","18,736,000","17,205,000","15,847,000","22,476,000","16,542,000","15,543,000","12,210,000","14,613,000","8,808,000","8,766,000","7,468,000"
	ResearchAndDevelopment,"271,535,000","82,555,000","73,521,000","61,753,000","53,706,000","51,157,000","45,908,000","45,233,000","37,782,000","35,701,000","32,465,000","28,765,000","24,947,000","28,542,000","24,418,000","23,568,000","20,721,000","17,788,000","16,958,000","21,754,000","18,116,000","16,116,000","14,897,000","11,840,000","12,230,000","11,207,000","11,406,000","10,072,000","10,009,000","9,723,000","10,077,000","8,792,000","8,042,000"
OperatingIncome,"465,732,000","142,249,000","83,741,000","89,105,000","150,637,000","161,335,000","118,169,000","119,140,000","25,365,000","25,038,000","14,232,000","17,848,000","31,643,000","29,489,000","18,737,000","12,762,000","13,798,000","21,452,000","7,425,000","-11,718,000","-2,101,000","3,452,000","2,673,000","4,669,000","6,783,000","8,416,000","-1,667,000","-3,791,000","-4,842,000","176,000","-3,052,000","-3,794,000","419,000"
NetNonOperatingInterestIncomeExpense,"-7,748,000","-3,323,000","-2,640,000","-1,079,000","-706,000","-10,818,000","-9,457,000","-8,294,000","-6,354,000","-6,372,000","-2,194,000","-1,287,000","-1,268,000","-3,099,000","-3,768,000","-3,687,000","-2,667,000","-2,177,000","-2,254,000","-2,153,000","-2,152,000","-2,026,000","-2,046,000","-1,333,000","-97,000","-263,000","-453,000","-308,000","-178,000","-224,000","-165,000","-107,000","-53,000"
	InterestIncomeNonOperating,"2,137,000","216,000","139,000","803,000","979,000","599,000","1,158,000","1,732,000","3,613,000","3,540,000","2,883,000","3,391,000","3,385,000","3,055,000","2,367,000","2,438,000","1,097,000","758,000","654,000","543,000","439,000","389,000","402,000","470,000","441,000","207,000","59,000","43,000","15,000","11,000","12,000","14,000","4,000"
	InterestExpenseNonOperating,"9,885,000","3,539,000","2,779,000","1,882,000","1,685,000","11,417,000","10,615,000","10,026,000","9,967,000","9,912,000","5,077,000","4,678,000","4,653,000","6,154,000","6,135,000","6,125,000","3,764,000","2,935,000","2,908,000","2,696,000","2,591,000","2,415,000","2,448,000","1,803,000","538,000","470,000","512,000","351,000","193,000","235,000","177,000","121,000","57,000"
OtherIncomeExpense,"13,670,000","5,447,000","2,698,000","-2,272,000","7,797,000","2,790,000","-18,319,000","1,470,000","-9,318,000","4,085,000","-1,949,000","-192,000","1,062,000","-3,514,000","-373,000","-4,450,000","1,850,000","-1,009,000","8,069,000","16,103,000","2,780,000","-18,022,000","1,337,000","-6,386,000","8,120,000","-6,045,000","-676,000","2,654,000","-20,841,000","-2,207,000","-979,000","342,000","-616,000"
	GainOnSaleOfSecurity,"13,670,000","5,447,000","2,698,000","-2,272,000","7,797,000","2,790,000","-1,464,000","1,470,000","-9,318,000","4,085,000","-1,949,000","-192,000","1,062,000","-3,514,000","-373,000","-4,450,000","1,850,000","2,153,000","8,069,000","16,103,000","2,780,000","-18,022,000","1,337,000","-6,386,000","8,120,000","-6,045,000","-676,000","2,654,000","-20,841,000","-2,207,000","-979,000","342,000","-616,000"
	SpecialIncomeCharges,"0","0","0",,,"0","-16,855,000",,,,,,,"0",,,,"-3,162,000","5,815,000",,,,,,,,,,,,,,
		ImpairmentOfCapitalAssets,,,,,,,,,,,,,,"0",,,,"3,162,000",,,,,,,,,,,,,,,
		OtherSpecialCharges,,,,,,"0","16,855,000",,,,,,,,,,,,,,,,,,,,,,,,,,
	OtherNonOperatingIncomeExpenses,,"2,124,000","58,000","-3,351,000","7,091,000","-8,028,000","-27,776,000","-6,824,000","-15,672,000","-2,287,000","-4,143,000","-1,479,000","-206,000","-6,613,000",,"-8,137,000",,"-24,000","5,815,000","13,950,000",,"-20,048,000","-709,000","-7,719,000","8,023,000","-6,308,000","-1,129,000","2,346,000","-21,019,000",,,,
PretaxIncome,"471,654,000","144,373,000","83,799,000","85,754,000","157,728,000","153,307,000","90,393,000","112,316,000","9,693,000","22,751,000","10,089,000","16,369,000","31,437,000","22,876,000","14,596,000","4,625,000","12,981,000","18,266,000","13,240,000","2,232,000","-1,473,000","-16,596,000","1,964,000","-3,050,000","14,806,000","2,108,000","-2,796,000","-1,445,000","-25,861,000","-2,255,000","-4,196,000","-3,559,000","-250,000"
TaxProvision,"-21,853,000","-17,184,000","-6,131,000","-12,500,000","13,962,000","4,769,000","-1,368,000","15,891,000","-2,829,000","-8,540,000","-4,712,000","-1,854,000","-142,000","-18,375,000","-5,298,000","1,246,000","14,000","-26,484,000","-12,562,000","-9,437,000","-1,052,000","4,787,000","4,363,000","4,261,000","13,614,000","6,340,000","4,095,000","4,909,000","10,725,000","3,103,000","2,075,000","-408,000","213,000"
NetIncomeCommonStockholders,"493,507,000","161,557,000","89,930,000","98,254,000","143,766,000","166,418,000","91,761,000","96,425,000","12,522,000","31,291,000","14,801,000","18,214,000","31,564,000","41,231,000","19,884,000","3,376,000","12,954,000","44,707,000","25,777,000","11,652,000","-421,000","-21,383,000","-2,399,000","-7,311,000","1,185,000","-4,232,000","-6,891,000","-6,354,000","-36,586,000","-4,866,000","-6,271,000","-3,151,000","-463,000"
	NetIncome,"493,507,000","161,557,000","89,930,000","98,254,000","143,766,000","148,538,000","91,761,000","96,425,000","12,522,000","31,291,000","14,801,000","18,223,000","31,579,000","41,251,000","19,894,000","3,379,000","12,967,000","44,750,000","25,802,000","11,669,000","-421,000","-21,383,000","-2,399,000","-7,311,000","1,192,000","-4,232,000","-6,891,000","-6,354,000","-36,586,000","-5,358,000","-6,271,000","-3,151,000","-463,000"
		NetIncomeIncludingNoncontrollingInterests,"493,507,000","161,557,000","89,930,000","98,254,000","143,766,000","148,538,000","91,761,000","96,425,000","12,522,000","31,291,000","14,801,000","18,223,000","31,579,000","41,251,000","19,894,000","3,379,000","12,967,000","44,750,000","25,802,000","11,669,000","-421,000","-21,383,000","-2,399,000","-7,311,000","1,192,000","-4,232,000","-6,891,000","-6,354,000","-36,586,000","-5,358,000","-6,271,000","-3,151,000","-463,000"
			NetIncomeContinuousOperations,"493,507,000","161,557,000","89,930,000","98,254,000","143,766,000","148,538,000","91,761,000","96,425,000","12,522,000","31,291,000","14,801,000","18,223,000","31,579,000","41,251,000","19,894,000","3,379,000","12,967,000","44,750,000","25,802,000","11,669,000","-421,000","-21,383,000","-2,399,000","-7,311,000","1,192,000","-4,232,000","-6,891,000","-6,354,000","-36,586,000","-5,358,000","-6,271,000","-3,151,000","-463,000"
	PreferredStockDividends,,,,,,,,,,,,,,,,,,,"25,000",,,,,,,,,,,,,,
	OtherunderPreferredStockDividend,,,,,,,,"0","0","0","0","9,000","15,000","20,000","10,000","3,000","13,000","43,000","25,000","17,000","0",,,,"7,000",,,,,,,,
AverageDilutionEarnings,"4,900,000","1,588,000","1,594,000","934,000","784,000",,"4,494,000","3,969,000","0","0","0","9,000","15,000","20,000","10,000","3,000","13,000","43,000","25,000","849,000",,,,,,,,,,,,,
DilutedNIAvailtoComStockholders,"498,407,000","163,145,000","91,524,000","99,188,000","144,550,000","153,070,000","96,255,000","100,394,000","12,522,000","31,291,000","14,801,000","18,223,000","31,579,000","41,251,000","19,894,000","3,379,000","12,967,000","44,750,000","25,802,000","12,501,000","-421,000","-21,383,000","-2,399,000","-7,311,000","1,185,000","-4,232,000","-6,891,000","-6,354,000","-36,586,000","-4,866,000","-6,271,000","-3,151,000","-463,000"
BasicEPS,,"1.27","0.71","0.77","1.14","1.18","0.75","0.81","0.11","0.26","0.12","0.15","0.26","0.34","0.17","0.03","0.11","0.37","0.22","0.1","-0.004","-0.19","-0.02","-0.06","0.01","-0.04","-0.06","-0.07","-0.33",,"-0.067","-0.034","-0.005"
DilutedEPS,,"1.11","0.62","0.68","1","1.08","0.7","0.75","0.1","0.25","0.12","0.14","0.24","0.32","0.15","0.03","0.1","0.36","0.21","0.1","-0.004","-0.19","-0.02","-0.06","0.01","-0.04","-0.06","-0.07","-0.33",,"-0.067","-0.034","-0.005"
BasicAverageShares,,"127,141,606","126,633,789","126,977,990","126,214,735","125,975,077","121,978,272","118,865,885","118,138,186","118,403,747","120,351,095","120,198,526","119,679,149","120,192,912","119,870,711","119,450,194","121,267,092","121,586,991","119,592,191","116,933,216","115,696,024","115,296,380","113,757,212","113,045,888","119,200,000","111,677,599","111,329,917","96,503,149","110,962,515",,"93,694,906","93,694,906","93,694,906"
DilutedAverageShares,,"147,631,123","147,413,915","144,867,491","144,714,686","141,140,543","137,560,385","134,408,041","123,119,053","123,397,255","126,243,168","130,807,743","130,237,875","129,012,508","129,086,137","125,551,759","125,772,315","124,818,322","123,224,559","120,723,938","115,696,024","115,296,380","113,757,212","113,045,888","119,200,000","111,677,599","111,329,917","96,503,149","110,962,515",,"93,694,906","93,694,906","93,694,906"
TotalOperatingIncomeAsReported,"465,732,000","142,249,000","83,741,000","89,105,000","150,637,000","161,335,000","118,169,000","119,140,000","25,365,000","25,038,000","14,232,000","17,848,000","31,643,000","29,489,000","18,737,000","12,762,000","13,798,000","18,290,000","7,425,000","-11,718,000","-2,101,000","3,452,000","2,673,000","4,669,000","6,783,000","8,416,000","-1,667,000","-3,791,000","-4,842,000","176,000","-3,052,000","-3,794,000","419,000"
TotalExpenses,"1,863,382,000","574,890,000","448,688,000","439,795,000","400,009,000","456,020,000","333,309,000","309,597,000","202,690,000","244,960,000","183,715,000","163,247,000","137,696,000","170,539,000","131,629,000","119,625,000","107,114,000","114,816,000","98,955,000","113,410,000","98,992,000","106,757,000","84,889,000","80,680,000","75,064,000","79,479,000","67,363,000","65,156,000","63,385,000","64,736,000","50,686,000","46,303,000","40,117,000"
NetIncomeFromContinuingAndDiscontinuedOperation,"493,507,000","161,557,000","89,930,000","98,254,000","143,766,000","148,538,000","91,761,000","96,425,000","12,522,000","31,291,000","14,801,000","18,223,000","31,579,000","41,251,000","19,894,000","3,379,000","12,967,000","44,750,000","25,802,000","11,669,000","-421,000","-21,383,000","-2,399,000","-7,311,000","1,192,000","-4,232,000","-6,891,000","-6,354,000","-36,586,000","-5,358,000","-6,271,000","-3,151,000","-463,000"
NormalizedIncome,"483,527,900","157,580,690","87,960,460","99,912,560","136,662,933","145,834,789.97","105,133,870","95,162,982.567","19,324,140","28,308,950","16,223,770","18,363,160","30,803,740","43,816,220","20,166,290","6,630,145.946","11,118,995.224","45,355,400","20,960,600","2,007,200","-2,089,000","-10,569,800","-3,201,200","-3,479,400","-3,680,000","-605,000","-6,485,400","-7,946,400","-24,081,400","-3,923,450","-5,634,650","-3,453,793.481","-62,600"
