name,ttm,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000
TotalRevenue,"5,232,500,000","1,329,700,000","1,310,200,000","1,376,000,000","1,216,600,000","1,191,700,000","1,140,900,000","925,000,000","1,128,700,000","1,174,100,000","1,094,000,000","1,086,900,000","993,000,000","977,700,000","906,600,000","943,700,000","894,800,000","888,500,000","821,500,000","841,800,000","883,500,000","767,700,000","739,400,000","759,300,000","697,300,000","671,100,000","615,500,000","616,800,000","590,300,000","618,000,000","607,400,000","575,100,000","522,400,000","536,000,000","495,600,000","517,200,000","496,700,000","510,500,000","447,900,000","482,000,000","459,200,000","430,200,000","412,700,000","431,200,000","404,500,000","392,400,000","348,900,000","365,200,000","340,500,000","346,700,000","325,700,000","335,500,000","313,500,000","309,700,000","303,600,000","327,600,000","296,800,000","293,000,000","261,400,000","272,600,000","264,100,000","265,600,000","247,400,000","267,300,000","257,000,000","249,700,000","240,900,000","258,200,000","249,100,000","237,100,000","224,800,000","234,600,000","235,000,000","224,100,000","206,100,000","217,800,000","212,500,000","203,100,000","165,800,000","172,800,000","162,300,000","159,900,000","147,800,000","192,400,000","191,900,000","216,500,000","185,800,000","205,000,000","226,000,000"
	OperatingRevenue,"5,232,500,000","1,329,700,000","1,310,200,000","1,376,000,000","1,216,600,000","1,191,700,000","1,140,900,000","925,000,000","1,128,700,000","1,174,100,000","1,094,000,000","1,086,900,000","993,000,000","977,700,000","906,600,000","943,700,000","894,800,000","888,500,000","821,500,000","841,800,000","883,500,000","767,700,000","739,400,000","759,300,000","697,300,000","671,100,000","615,500,000","616,800,000","590,300,000","618,000,000","607,400,000","575,100,000","522,400,000","536,000,000","495,600,000","517,200,000","496,700,000","510,500,000","447,900,000","482,000,000","459,200,000","430,200,000","412,700,000","431,200,000","404,500,000","392,400,000","348,900,000","365,200,000","340,500,000","346,700,000","325,700,000","335,500,000","313,500,000","309,700,000","303,600,000","327,600,000","296,800,000","293,000,000","261,400,000","272,600,000","264,100,000","265,600,000","247,400,000","267,300,000","257,000,000","249,700,000","240,900,000","258,200,000","249,100,000","237,100,000","224,800,000","234,600,000","235,000,000","224,100,000","206,100,000","217,800,000","212,500,000","203,100,000","165,800,000","172,800,000","162,300,000","159,900,000","147,800,000","192,400,000","191,900,000","216,500,000","185,800,000","205,000,000","226,000,000"
CostOfRevenue,"1,248,900,000","309,500,000","311,700,000","334,300,000","293,400,000","296,300,000","281,000,000","238,200,000","265,100,000","286,200,000","292,400,000","304,000,000","231,800,000","234,700,000","224,900,000","246,200,000","233,600,000","235,300,000","213,300,000","211,100,000","215,600,000","213,200,000","201,400,000","202,500,000","180,300,000","175,900,000","146,700,000","158,600,000","136,000,000","160,400,000","168,100,000","151,200,000","145,900,000","145,500,000","129,700,000","125,000,000","122,200,000","125,800,000","111,700,000","129,800,000","127,300,000","119,600,000","125,600,000","127,800,000","116,800,000","113,500,000","95,800,000","100,400,000","98,600,000","101,700,000","98,500,000","101,900,000","97,000,000","98,800,000","104,900,000","113,000,000","102,900,000","99,600,000","90,700,000","94,700,000","93,200,000","97,400,000","87,400,000","95,700,000","93,000,000","89,600,000","90,900,000","97,900,000","96,200,000","91,200,000","87,900,000","92,400,000","98,700,000","93,800,000","86,900,000","89,600,000","89,100,000","85,700,000","69,900,000","74,400,000","69,100,000","68,200,000","64,400,000","95,200,000","96,200,000","142,600,000","86,600,000","101,000,000","106,000,000"
GrossProfit,"3,983,600,000","1,020,200,000","998,500,000","1,041,700,000","923,200,000","895,400,000","859,900,000","686,800,000","863,600,000","887,900,000","801,600,000","782,900,000","761,200,000","743,000,000","681,700,000","697,500,000","661,200,000","653,200,000","608,200,000","630,700,000","667,900,000","554,500,000","538,000,000","556,800,000","517,000,000","495,200,000","468,800,000","458,200,000","454,300,000","457,600,000","439,300,000","423,900,000","376,500,000","390,500,000","365,900,000","392,200,000","374,500,000","384,700,000","336,200,000","352,200,000","331,900,000","310,600,000","287,100,000","303,400,000","287,700,000","278,900,000","253,100,000","264,800,000","241,900,000","245,000,000","227,200,000","233,600,000","216,500,000","210,900,000","198,700,000","214,600,000","193,900,000","193,400,000","170,700,000","177,900,000","170,900,000","168,200,000","160,000,000","171,600,000","164,000,000","160,100,000","150,000,000","160,300,000","152,900,000","145,900,000","136,900,000","142,200,000","136,300,000","130,300,000","119,200,000","128,200,000","123,400,000","117,400,000","95,900,000","98,400,000","93,200,000","91,700,000","83,400,000","97,200,000","95,700,000","73,900,000","99,200,000","104,000,000","120,000,000"
OperatingExpense,"2,396,800,000","656,800,000","602,400,000","599,800,000","537,800,000","534,200,000","502,700,000","457,000,000","495,200,000","541,100,000","501,700,000","500,400,000","451,700,000","451,200,000","431,300,000","429,000,000","399,200,000","413,300,000","387,500,000","378,200,000","358,300,000","348,500,000","342,700,000","376,200,000","315,100,000","320,500,000","313,000,000","311,400,000","288,900,000","317,300,000","309,800,000","304,600,000","283,000,000","269,100,000","264,600,000","269,900,000","265,000,000","252,800,000","241,600,000","256,400,000","245,800,000","224,100,000","227,200,000","228,100,000","209,300,000","198,300,000","185,700,000","191,200,000","179,200,000","180,600,000","170,800,000","171,100,000","161,800,000","156,000,000","154,400,000","161,900,000","159,200,000","148,000,000","134,100,000","130,800,000","126,300,000","125,100,000","119,800,000","125,900,000","98,000,000","112,900,000","109,900,000","114,300,000","110,300,000","106,100,000","101,600,000","101,700,000","112,900,000","91,200,000","87,300,000","97,100,000","90,400,000","86,400,000","136,800,000","67,300,000","62,300,000","64,700,000","60,100,000","150,500,000","68,700,000","27,900,000","74,900,000","96,000,000","95,000,000"
	SellingGeneralAndAdministration,"1,493,700,000","424,000,000","364,400,000","374,500,000","330,800,000","338,500,000","307,200,000","274,900,000","307,800,000","347,200,000","306,200,000","308,500,000","280,300,000","288,100,000","269,500,000","274,900,000","256,000,000","266,700,000","244,600,000","243,800,000","229,600,000","233,600,000","229,600,000","228,800,000","212,700,000","222,300,000","212,000,000","213,900,000","202,500,000","223,100,000","222,200,000","215,500,000","197,200,000","190,500,000","180,500,000","189,400,000","185,200,000","177,900,000","167,800,000","182,400,000","177,200,000","163,400,000","165,500,000","163,200,000","150,300,000","142,400,000","133,000,000","140,600,000","134,000,000","132,300,000","126,100,000","128,500,000","121,900,000","120,200,000","119,300,000","126,500,000","114,600,000","114,500,000","103,200,000","101,700,000","98,600,000","95,100,000","91,700,000","97,000,000","92,000,000","87,100,000","85,900,000","90,100,000","85,600,000","82,700,000","79,700,000","81,000,000","76,500,000","72,200,000","70,500,000","75,800,000","71,400,000","68,700,000","54,200,000","54,300,000","50,700,000","50,100,000","46,400,000","52,700,000","53,800,000","57,600,000","46,600,000","59,000,000","60,000,000"
	ResearchAndDevelopment,"903,100,000","232,800,000","238,000,000","225,300,000","207,000,000","195,700,000","195,500,000","182,100,000","187,400,000","193,900,000","195,500,000","191,900,000","171,400,000","163,100,000","161,800,000","154,100,000","143,200,000","146,600,000","142,900,000","134,400,000","128,700,000","114,900,000","113,100,000","147,400,000","102,400,000","98,200,000","101,000,000","97,500,000","86,400,000","94,200,000","87,600,000","89,100,000","85,800,000","78,600,000","84,100,000","80,500,000","79,800,000","74,900,000","73,800,000","74,000,000","68,600,000","60,700,000","61,700,000","64,900,000","59,000,000","55,900,000","52,700,000","50,600,000","45,200,000","48,300,000","44,700,000","42,600,000","39,900,000","35,800,000","35,100,000","35,400,000","32,900,000","33,500,000","30,900,000","29,100,000","28,800,000","30,000,000","28,100,000","28,900,000","27,000,000","25,800,000","24,000,000","24,200,000","25,000,000","23,400,000","21,900,000","20,700,000","21,000,000","19,000,000","16,800,000","18,000,000","19,000,000","17,700,000","15,500,000","16,600,000","15,400,000","14,400,000","14,000,000","13,500,000","13,100,000","14,700,000","12,900,000","14,000,000","14,000,000"
	DepreciationAmortizationDepletionIncomeStatement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4,000,000","3,600,000","5,700,000","5,700,000","-30,400,000","15,400,000","23,000,000","21,000,000"
		DepreciationAndAmortizationInIncomeStatement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4,000,000","3,600,000","5,700,000","5,700,000","-30,400,000","15,400,000","23,000,000","21,000,000"
			Amortization,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4,000,000","3,600,000","5,700,000","5,700,000",,,,
