name,ttm,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999,12/31/1998,09/30/1998,06/30/1998,03/31/1998,12/31/1997,09/30/1997,06/30/1997,03/31/1997,12/31/1996,09/30/1996,06/30/1996,03/31/1996,12/31/1995,09/30/1995,06/30/1995,03/31/1995,12/31/1994,09/30/1994,06/30/1994,03/31/1994,12/31/1993,09/30/1993,06/30/1993,03/31/1993,12/31/1992,09/30/1992,06/30/1992,03/31/1992,12/31/1991,09/30/1991,06/30/1991,03/31/1991,12/31/1990,09/30/1990,06/30/1990,03/31/1990,12/31/1989,09/30/1989,06/30/1989,03/31/1989,12/31/1988,09/30/1988,06/30/1988,03/31/1988,12/31/1987,09/30/1987,06/30/1987,03/31/1987,12/31/1986,09/30/1986,06/30/1986,03/31/1986,12/31/1985,09/30/1985
TotalRevenue,"16,523,517,000","5,396,343,000","4,319,261,000","3,609,093,000","3,357,540,000","3,169,188,000","2,464,797,000","2,580,632,000","1,901,864,000","2,044,941,000","2,074,855,000","2,035,579,000","2,020,051,000","2,235,597,000","2,090,947,000","1,957,559,000","1,854,262,000","1,901,371,000","1,802,166,000","1,672,279,000","1,545,132,000","1,642,007,000","1,562,394,000","1,475,164,000","1,418,472,000","1,596,221,000","1,651,332,000","1,691,553,000","1,677,526,000","1,768,830,000","1,705,105,000","1,599,141,000","1,491,645,000","1,634,230,000","1,535,089,000","1,500,453,000","1,410,485,000","1,532,957,000","1,531,664,000","1,504,952,000","1,411,370,000","1,501,914,000","1,606,368,000","1,581,368,000","1,460,848,000","1,582,135,000","1,667,559,000","1,516,770,000","1,201,109,000","1,246,911,000","1,037,327,000","895,360,000","912,685,000","1,307,389,000","1,564,913,000","1,454,255,000","1,307,321,000","1,446,582,000","1,411,025,000","1,258,618,000","1,118,946,000","1,242,327,000","1,229,723,000","1,129,324,000","1,024,592,000","1,102,176,000","1,046,442,000","927,999,000","825,164,000","934,795,000","897,188,000","798,666,000","686,850,000","731,413,000","711,469,000","625,713,000","556,346,000","691,213,000","620,394,000","535,756,000","449,540,000","429,585,000","427,088,000","390,679,000","405,281,000","466,278,000","475,363,000","404,496,000","349,044,000","422,775,000","406,200,000","332,000,000","283,700,000","308,707,000","289,700,000","242,000,000","223,400,000","270,102,000","262,300,000","225,500,000","195,900,000","221,288,000","204,900,000","166,200,000","137,700,000","161,091,000","159,200,000","141,500,000","122,900,000","127,600,000","123,800,000","106,100,000","93,100,000","106,800,000","99,000,000","81,900,000","73,800,000","91,900,000","94,800,000","79,600,000","66,800,000","71,000,000","71,100,000","58,600,000","53,400,000","60,200,000","56,300,000","48,800,000","41,600,000","48,900,000","54,400,000","47,000,000","43,300,000","39,300,000","43,600,000","32,900,000","31,800,000","42,300,000","39,700,000","34,000,000","30,800,000","34,400,000","30,200,000","23,500,000","20,700,000","22,400,000","18,600,000"
	OperatingRevenue,"16,523,517,000","5,396,343,000","4,319,261,000","3,609,093,000","3,357,540,000","3,169,188,000","2,464,797,000","2,580,632,000","1,901,864,000","2,044,941,000","2,074,855,000","2,035,579,000","2,020,051,000","2,235,597,000","2,090,947,000","1,957,559,000","1,854,262,000","1,901,371,000","1,802,166,000","1,672,279,000","1,545,132,000","1,642,007,000","1,562,394,000","1,475,164,000","1,418,472,000","1,596,221,000","1,651,332,000","1,691,553,000","1,677,526,000","1,768,830,000","1,705,105,000","1,599,141,000","1,491,645,000","1,634,230,000","1,535,089,000","1,500,453,000","1,410,485,000","1,532,957,000","1,531,664,000","1,504,952,000","1,411,370,000","1,501,914,000","1,606,368,000","1,581,368,000","1,460,848,000","1,582,135,000","1,667,559,000","1,516,770,000","1,201,109,000","1,246,911,000","1,037,327,000","895,360,000","912,685,000","1,307,389,000","1,564,913,000","1,454,255,000","1,307,321,000","1,446,582,000","1,411,025,000","1,258,618,000","1,118,946,000","1,242,327,000","1,229,723,000","1,129,324,000","1,024,592,000","1,102,176,000","1,046,442,000","927,999,000","825,164,000","934,795,000","897,188,000","798,666,000","686,850,000","731,413,000","711,469,000","625,713,000","556,346,000","691,213,000","620,394,000","535,756,000","449,540,000","429,585,000","427,088,000","390,679,000","405,281,000","466,278,000","475,363,000","404,496,000","349,044,000","422,775,000","406,200,000","332,000,000","283,700,000","308,700,000","289,700,000","242,000,000","223,400,000","270,100,000","262,300,000","225,500,000","195,900,000","221,300,000","204,900,000","166,200,000","137,700,000","161,100,000","159,200,000","141,500,000","122,900,000","127,600,000","123,800,000","106,100,000","93,100,000","106,800,000","99,000,000","81,900,000","73,800,000","91,900,000","94,800,000","79,600,000","66,800,000","71,000,000","71,100,000","58,600,000","53,400,000","60,200,000","56,300,000","48,800,000","41,600,000","48,900,000","54,400,000","47,000,000","43,300,000","39,300,000","43,600,000","32,900,000","31,800,000","42,300,000","39,700,000","34,000,000","30,800,000","34,400,000","30,200,000","23,500,000","20,700,000","22,400,000","18,600,000"
CostOfRevenue,"14,358,105,000","4,698,005,000","3,764,584,000","3,137,860,000","2,916,376,000","2,825,766,000","2,162,366,000","2,281,632,000","1,683,952,000","1,805,630,000","1,811,203,000","1,783,809,000","1,777,763,000","1,958,574,000","1,832,747,000","1,717,608,000","1,609,154,000","1,654,498,000","1,564,879,000","1,468,380,000","1,350,164,000","1,422,686,000","1,347,312,000","1,254,300,000","1,222,946,000","1,380,006,000","1,414,139,000","1,462,868,000","1,463,835,000","1,563,634,000","1,503,534,000","1,413,012,000","1,320,545,000","1,460,076,000","1,349,157,000","1,320,727,000","1,246,553,000","2,197,255,000","1,066,526,000","1,051,301,000","964,799,000","1,025,759,000","1,112,522,000","1,108,807,000","1,006,933,000","1,071,552,000","1,228,111,000","1,079,213,000","820,059,000","857,736,000","672,632,000","547,359,000","557,446,000","886,462,000","1,116,057,000","1,037,556,000","971,863,000","834,034,000","1,085,469,000","955,375,000","818,144,000","772,943,000","918,139,000","863,857,000","775,930,000","315,137,000","814,107,000","723,587,000","641,916,000","741,114,000","704,160,000","621,502,000","526,983,000","567,668,000","559,461,000","486,601,000","408,310,000","532,518,000","480,672,000","415,539,000","322,284,000","304,576,000","300,903,000","275,768,000","289,411,000","343,401,000","352,341,000","301,473,000","256,539,000","322,117,000","308,600,000","248,900,000","210,400,000","228,700,000","213,900,000","176,900,000","165,000,000","204,100,000","198,000,000","172,500,000","152,200,000","168,200,000","163,800,000","132,400,000","109,000,000","122,200,000","129,200,000","115,100,000","99,300,000","98,100,000","100,700,000","85,900,000","75,600,000","81,000,000","73,500,000","58,900,000","52,700,000","70,100,000","73,500,000","59,900,000","49,700,000","54,100,000","54,700,000","43,100,000","39,700,000","45,300,000","42,800,000","39,500,000","33,400,000","29,600,000","45,600,000",,,,,,,,,,,,,,,,
GrossProfit,"2,165,412,000","698,338,000","554,677,000","471,233,000","441,164,000","343,422,000","302,431,000","299,000,000","217,912,000","239,311,000","263,652,000","251,770,000","242,288,000","277,023,000","258,200,000","239,951,000","245,108,000","246,873,000","237,287,000","203,899,000","194,968,000","219,321,000","215,082,000","220,864,000","195,526,000","216,215,000","237,193,000","228,685,000","213,691,000","205,196,000","201,571,000","186,129,000","171,100,000","174,154,000","185,932,000","179,726,000","163,932,000","-664,298,000","465,138,000","453,651,000","446,571,000","476,155,000","493,846,000","472,561,000","453,915,000","510,583,000","439,448,000","437,557,000","381,050,000","389,175,000","364,695,000","348,001,000","355,239,000","420,927,000","448,856,000","416,699,000","335,458,000","612,548,000","325,556,000","303,243,000","300,802,000","469,384,000","311,584,000","265,467,000","248,662,000","787,039,000","232,335,000","204,412,000","183,248,000","193,681,000","193,028,000","177,164,000","159,867,000","163,745,000","152,008,000","139,112,000","148,036,000","158,695,000","139,722,000","120,217,000","127,256,000","125,009,000","126,185,000","114,911,000","115,870,000","122,877,000","123,022,000","103,023,000","92,505,000","100,658,000","97,600,000","83,100,000","73,300,000","80,007,000","75,800,000","65,100,000","58,400,000","66,002,000","64,300,000","53,000,000","43,700,000","53,088,000","41,100,000","33,800,000","28,700,000","38,891,000","30,000,000","26,400,000","23,600,000","29,500,000","23,100,000","20,200,000","17,500,000","25,800,000","25,500,000","23,000,000","21,100,000","21,800,000","21,300,000","19,700,000","17,100,000","16,900,000","16,400,000","15,500,000","13,700,000","14,900,000","13,500,000","9,300,000","8,200,000","19,300,000","8,800,000",,,,,,,,,,,,,,,,
OperatingExpense,"256,086,000","74,809,000","65,040,000","60,588,000","55,649,000","61,611,000","50,486,000","51,374,000","58,857,000","58,971,000","57,102,000","59,569,000","54,687,000","60,016,000","55,046,000","56,367,000","52,290,000","47,862,000","50,392,000","35,659,000","48,854,000","47,111,000","47,819,000","42,000,000","43,700,000","38,223,000","45,300,000","45,969,000","44,808,000","47,325,000","42,440,000","43,686,000","35,897,000","40,491,000","39,619,000","36,147,000","35,414,000","-696,640,000","292,080,000","289,308,000","285,516,000","288,088,000","298,405,000","289,747,000","277,533,000","256,751,000","279,827,000","261,663,000","242,055,000","239,895,000","232,083,000","225,166,000","226,317,000","264,830,000","274,002,000","264,980,000","1,221,192,000","-2,561,082,000","1,309,255,000","1,172,624,000","1,041,088,000","-2,294,933,000","1,142,343,000","1,053,893,000","952,914,000","-1,635,467,000","974,635,000","873,151,000","781,355,000","881,767,000","842,479,000","753,035,000","650,793,000","684,988,000","674,609,000","595,870,000","529,812,000","646,979,000","583,266,000","509,846,000","426,619,000","398,420,000","394,028,000","367,221,000","381,741,000","432,420,000","440,418,000","381,526,000","332,683,000","587,120,000","313,800,000","253,800,000","214,600,000","439,635,000","217,500,000","180,600,000","168,200,000","372,487,000","201,700,000","175,800,000","155,100,000","218,163,000","192,900,000","157,800,000","132,200,000","159,940,000","151,500,000","135,200,000","118,000,000","57,000,000","117,600,000","101,000,000","89,500,000","21,200,000","20,800,000","19,100,000","18,100,000","17,600,000","17,400,000","16,000,000","14,300,000","13,300,000","12,800,000","12,300,000","11,400,000","11,800,000","10,400,000","6,500,000","5,900,000","16,600,000","5,900,000",,,,,,,,,,,,,,,,
	SellingGeneralAndAdministration,"16,026,000","5,547,000","4,237,000","3,172,000","3,070,000","4,135,000","2,945,000","3,113,000","8,243,000","11,150,000","10,133,000","11,643,000","11,076,000","12,961,000","10,632,000","10,788,000","10,965,000","11,814,000","10,608,000","10,953,000","10,915,000","11,946,000","10,134,000","10,251,000","9,432,000","11,844,000","10,370,000","10,529,000","9,247,000","11,421,000","9,240,000","9,291,000","8,173,000","9,352,000","8,306,000","8,328,000","7,257,000","-803,475,000","282,050,000","279,638,000","275,971,000","278,942,000","289,206,000","280,490,000","268,359,000","324,624,000","243,234,000","228,655,000","206,883,000","210,682,000","201,284,000","195,112,000","193,431,000","227,336,000","233,690,000","225,279,000","234,754,000","167,525,000","231,847,000","25,325,000","25,763,000","670,504,000","22,361,000","22,329,000","21,680,000","119,675,000","166,681,000","155,418,000","145,848,000","147,051,000","144,224,000","137,655,000","130,302,000","122,843,000","121,578,000","114,808,000","109,842,000","119,526,000","107,132,000","98,731,000","94,992,000","97,548,000","96,369,000","94,243,000","93,842,000","88,656,000","87,179,000","79,249,000","75,118,000","250,004,000","9,000,000","8,600,000","8,000,000","198,906,000","8,000,000","7,100,000","6,900,000","160,265,000","6,200,000","5,800,000","5,300,000","43,306,000","31,600,000","27,700,000","24,900,000","32,317,000","24,200,000","21,500,000","20,600,000","-39,600,000","18,600,000","16,600,000","15,300,000","20,000,000","19,800,000","18,200,000","17,300,000","16,700,000","16,700,000","15,300,000","13,700,000","12,800,000","12,200,000","11,700,000","10,900,000","11,300,000","10,000,000","6,100,000","5,500,000","15,900,000","5,700,000",,,,,,,,,,,,,,,,
		GeneralAndAdministrativeExpense,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"274,203,000","270,778,000","267,308,000","268,495,000","279,864,000","270,468,000","259,196,000","315,031,000","235,357,000","221,105,000","199,848,000","202,697,000","194,743,000","189,565,000","187,209,000","217,687,000","224,809,000","215,535,000","225,250,000","156,357,000","222,957,000","15,744,000","16,667,000","660,852,000","13,877,000","13,372,000","13,723,000","111,508,000","159,622,000","148,298,000","138,302,000","139,191,000","137,455,000","130,546,000","123,792,000","115,770,000","115,794,000","109,476,000","104,535,000","113,884,000","102,274,000","93,873,000","90,554,000","92,838,000","91,794,000","88,716,000","88,491,000","82,826,000","82,153,000","74,337,000","70,655,000","233,108,000","9,000,000","8,600,000","8,000,000","183,888,000","8,000,000","7,100,000","6,900,000","146,796,000","6,200,000","5,800,000","5,300,000","32,897,000","31,600,000","27,700,000","24,900,000","24,772,000","24,200,000","21,500,000","20,600,000","-39,600,000","18,600,000","16,600,000","15,300,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			SalariesAndWages,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"252,899,000","249,925,000","246,132,000","247,917,000","258,512,000","249,114,000","237,815,000","237,822,000","235,357,000","221,105,000","199,848,000","202,697,000","194,743,000","189,565,000","187,209,000","217,687,000","224,809,000","215,535,000","-205,815,000","1,377,239,000","-205,206,000","-197,393,000","-182,761,000","1,219,246,000","-183,995,000","-172,453,000","-160,974,000","962,754,000","-145,629,000","-134,841,000","-124,554,000","-125,648,000","-124,744,000","-117,931,000","-111,041,000","-103,647,000","-103,274,000","-98,014,000","-93,540,000","-103,161,000","-92,081,000","-83,698,000","-80,829,000","-83,333,000","-82,720,000","-79,961,000","-81,031,000","-77,466,000","-77,431,000","-69,578,000","-66,106,000","-64,740,000","-64,000,000","-57,500,000","-54,500,000","-52,800,000","-50,000,000","-45,100,000","-42,500,000","-42,200,000","-41,700,000","-36,900,000","-32,300,000","-30,800,000","-29,300,000","-25,600,000","-23,100,000","-23,100,000","-22,400,000","-20,000,000","-18,900,000","-17,700,000","-17,100,000","-15,300,000","-14,100,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			RentAndLandingFees,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"21,304,000","20,853,000","21,176,000","20,578,000","21,352,000","21,354,000","21,381,000",,"19,295,000","18,699,000","19,227,000","19,463,000","18,183,000","17,954,000","18,724,000","18,446,000","19,729,000","19,374,000","-19,435,000","117,838,000","-17,751,000","-15,744,000","-16,667,000","94,578,000","-13,877,000","-13,372,000","-13,723,000","95,623,000","-13,993,000","-13,457,000","-13,748,000","-13,543,000","-12,711,000","-12,615,000","-12,751,000","-12,123,000","-12,520,000","-11,462,000","-10,995,000","-10,723,000","-10,193,000","-10,175,000","-9,725,000","-9,505,000","-9,074,000","-8,755,000","-7,460,000","-5,360,000","-4,722,000","-4,759,000","-4,549,000","-4,568,000","-4,600,000","-4,400,000","-4,300,000","-4,300,000","-4,200,000","-3,500,000","-3,500,000","-3,200,000","-2,700,000","-2,600,000","-2,400,000","-2,100,000","-2,300,000","-2,100,000","-1,800,000","-1,700,000","-1,800,000","-1,500,000","-1,700,000","-1,600,000","-1,500,000","-1,300,000","-1,200,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			OtherGandA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-21,304,000","-20,853,000","-21,176,000","-20,578,000","-21,352,000","-21,354,000","-21,381,000",,"-19,295,000","-18,699,000","-19,227,000","-19,463,000","-18,183,000","-17,954,000","-18,724,000","-18,446,000","-19,729,000","-19,374,000","450,500,000","-1,338,720,000","445,914,000","228,881,000","216,095,000","-652,972,000","211,749,000","199,197,000","188,420,000","-946,869,000","319,244,000","296,596,000","276,604,000","278,382,000","274,910,000","261,092,000","247,584,000","231,540,000","231,588,000","218,952,000","209,070,000","227,768,000","204,548,000","187,746,000","181,108,000","185,676,000","183,588,000","177,432,000","176,982,000","165,652,000","164,306,000","148,674,000","141,310,000","302,416,000","77,600,000","70,500,000","66,800,000","240,988,000","62,200,000","55,700,000","52,900,000","192,196,000","50,600,000","45,300,000","40,000,000","65,797,000","63,200,000","55,400,000","49,800,000","49,572,000","48,400,000","43,000,000","41,200,000","-20,300,000","37,200,000","33,200,000","30,600,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
