name,ttm,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004
TotalRevenue,"8,598,000,000","2,279,000,000","2,962,000,000","2,111,000,000","1,246,000,000","920,000,000","1,504,000,000","566,000,000","2,209,000,000","2,747,000,000","3,558,000,000","3,153,000,000","2,609,000,000","2,559,000,000","3,276,000,000","2,880,000,000","2,508,000,000","2,319,208,000","2,965,848,000","2,586,052,000","2,188,736,000","2,092,829,000","2,580,905,000","2,195,869,000","1,903,961,000","1,698,567,000","1,937,753,000","1,662,600,000","1,373,397,000","1,355,978,000","1,712,504,000","1,494,632,000","1,200,371,000","1,152,015,000","1,401,860,000","1,205,017,000","1,012,367,000","974,859,000","1,199,020,000","1,039,980,000","816,488,000","462,363,000","1,140,835,000","1,023,634,000","822,177,000","808,370,000","987,860,000","833,960,000","717,919,000","697,518,000","852,428,000","769,768,000","635,712,000","620,811,000","833,337,000","795,048,000","687,817,000","665,302,000","759,596,000","689,923,000","550,511,000","531,288,000","613,942,000","598,458,000","493,898,000","494,749,000","584,653,000","555,007,000","485,046,000","438,999,000","503,793,000"
	OperatingRevenue,"8,598,000,000","2,279,000,000","2,962,000,000","2,111,000,000","1,246,000,000","920,000,000","1,504,000,000","566,000,000","2,209,000,000","2,747,000,000","3,558,000,000","3,153,000,000","2,609,000,000","2,559,000,000","3,276,000,000","2,880,000,000","2,508,000,000","2,319,208,000","2,965,848,000","2,586,052,000","2,188,736,000","2,092,829,000","2,580,905,000","2,195,869,000","1,903,961,000","1,698,567,000","1,937,753,000","1,662,600,000","1,373,397,000","1,355,978,000","1,712,504,000","1,494,632,000","1,200,371,000","1,152,015,000","1,401,860,000","1,205,017,000","1,012,367,000","974,859,000","1,199,020,000","1,039,980,000","816,488,000","462,363,000","1,140,835,000","1,023,634,000","822,177,000","808,370,000","987,860,000","833,960,000","717,919,000","697,518,000","852,428,000","769,768,000","635,712,000","620,811,000","833,337,000","795,048,000","687,817,000","665,302,000","759,596,000","689,923,000","550,511,000","531,288,000","613,942,000","598,458,000","493,898,000","494,749,000","584,653,000","555,007,000","485,046,000","438,999,000","503,793,000"
CostOfRevenue,"1,522,000,000","395,000,000","442,000,000","374,000,000","311,000,000","287,000,000","375,000,000","389,000,000","629,000,000","559,000,000","569,000,000","522,000,000","513,000,000","476,000,000","504,000,000","498,000,000","487,000,000","437,278,000","458,559,000","439,007,000","421,687,000","370,841,000","416,907,000","406,380,000","402,841,000","338,493,000","328,066,000","321,082,000","321,918,000","284,253,000","299,708,000","300,501,000","294,619,000","248,528,000","276,318,000","262,607,000","250,581,000","225,132,000","243,633,000","229,741,000","200,098,000","175,209,000","209,677,000","198,544,000","177,842,000","176,198,000","190,033,000","168,571,000","158,030,000","145,540,000","169,436,000","148,762,000","143,513,000","136,926,000","177,001,000","168,874,000","151,943,000","146,404,000","151,053,000","143,646,000","121,298,000","121,781,000","133,094,000","128,449,000","119,314,000","110,242,000","128,072,000","129,484,000","114,103,000","118,749,000","104,722,000"
GrossProfit,"7,076,000,000","1,884,000,000","2,520,000,000","1,737,000,000","935,000,000","633,000,000","1,129,000,000","177,000,000","1,580,000,000","2,188,000,000","2,989,000,000","2,631,000,000","2,096,000,000","2,083,000,000","2,772,000,000","2,382,000,000","2,021,000,000","1,881,930,000","2,507,289,000","2,147,045,000","1,767,049,000","1,721,988,000","2,163,998,000","1,789,489,000","1,501,120,000","1,360,074,000","1,609,687,000","1,341,518,000","1,051,479,000","1,071,725,000","1,412,796,000","1,194,131,000","905,752,000","903,487,000","1,125,542,000","942,410,000","761,786,000","749,727,000","955,387,000","810,239,000","616,390,000","287,154,000","931,158,000","825,090,000","644,335,000","632,172,000","797,827,000","665,389,000","559,889,000","551,978,000","682,992,000","621,006,000","492,199,000","483,885,000","656,336,000","626,174,000","535,874,000","518,898,000","608,543,000","546,277,000","429,213,000","409,507,000","480,848,000","470,009,000","374,584,000","384,507,000","456,581,000","425,523,000","370,943,000","320,250,000","399,071,000"
OperatingExpense,"6,814,000,000","1,700,000,000","1,974,000,000","1,864,000,000","1,276,000,000","1,070,000,000","1,107,000,000","935,000,000","1,934,000,000","2,011,000,000","2,367,000,000","2,358,000,000","2,207,000,000","1,905,000,000","2,178,000,000","2,209,000,000","2,183,000,000","1,764,851,000","2,023,077,000","2,031,168,000","1,816,929,000","1,532,431,000","1,748,876,000","1,749,650,000","1,571,698,000","1,305,803,000","1,307,560,000","1,240,270,000","1,095,275,000","948,693,000","1,112,072,000","1,033,495,000","905,211,000","761,535,000","879,977,000","841,878,000","739,384,000","631,192,000","728,297,000","655,798,000","567,707,000","433,900,000","641,113,000","598,121,000","534,994,000","477,383,000","521,023,000","471,699,000","447,715,000","405,556,000","446,237,000","500,266,000","390,534,000","376,963,000","456,750,000","455,633,000","445,876,000","390,560,000","428,771,000","392,652,000","361,879,000","309,967,000","391,556,000","333,754,000","348,342,000","298,798,000","307,942,000","329,144,000","304,618,000","250,237,000","318,810,000"
	SellingGeneralAndAdministration,"4,926,000,000","1,227,000,000","1,496,000,000","1,383,000,000","820,000,000","635,000,000","663,000,000","448,000,000","1,397,000,000","1,508,000,000","1,877,000,000","1,871,000,000","1,726,000,000","1,420,000,000","1,703,000,000","1,737,000,000","1,715,000,000","1,321,216,000","1,602,005,000","1,622,359,000","1,428,213,000","1,142,452,000","1,370,350,000","1,347,548,000","1,188,416,000","974,890,000","1,073,457,000","1,026,874,000","879,778,000","743,003,000","920,799,000","846,156,000","723,744,000","584,686,000","717,647,000","682,359,000","588,531,000","486,670,000","593,206,000","531,141,000","455,650,000","384,154,000","516,277,000","480,914,000","423,859,000","370,819,000","419,600,000","375,935,000","351,896,000","316,869,000","358,012,000","338,872,000","303,793,000","307,639,000","389,443,000","384,229,000","375,523,000","321,035,000","362,706,000","331,638,000","340,683,000","250,496,000","281,242,000","269,719,000","309,931,000","139,287,000","273,057,000","293,876,000","272,521,000","145,396,000","239,461,000"
		GeneralAndAdministrativeExpense,"705,000,000","183,000,000","182,000,000","184,000,000","156,000,000","124,000,000","134,000,000","152,000,000","187,000,000","225,000,000","217,000,000","214,000,000","191,000,000","211,000,000","202,000,000","196,000,000","199,000,000","197,558,000","141,298,000","178,952,000","158,153,000","173,897,000","165,829,000","192,555,000","147,809,000","185,954,000","130,168,000","141,394,000","116,397,000","118,789,000","104,999,000","102,540,000","99,045,000","100,460,000","92,351,000","91,891,000","92,376,000","93,034,000","87,450,000","86,568,000","78,578,000","1,527,383,000","108,175,000","86,945,000","82,701,000","88,365,000","75,581,000","79,105,000","71,058,000","82,030,000","73,165,000","67,380,000","67,909,000",,,,,,,,,,,,,,,"101,263,000","92,931,000",,"61,598,000"
			SalariesAndWages,"562,000,000","149,000,000","145,000,000","148,000,000","120,000,000","85,000,000","102,000,000","113,000,000","133,000,000","141,000,000","127,000,000","132,000,000","122,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			OtherGandA,"143,000,000","34,000,000","37,000,000","36,000,000","36,000,000","39,000,000","32,000,000","39,000,000","54,000,000","84,000,000","90,000,000","82,000,000","69,000,000","-309,000,000","202,000,000","196,000,000","199,000,000","197,558,000","141,298,000","178,952,000","158,153,000","173,897,000","165,829,000","192,555,000","147,809,000","185,954,000","130,168,000","141,394,000","116,397,000","118,789,000","104,999,000","102,540,000","99,045,000","100,460,000","92,351,000","91,891,000","92,376,000","93,034,000","87,450,000","86,568,000","78,578,000","1,527,383,000","108,175,000","86,945,000","82,701,000","88,365,000","75,581,000","79,105,000","71,058,000","82,030,000","73,165,000","67,380,000","67,909,000",,,,,,,,,,,,,,,"101,263,000","92,931,000",,"61,598,000"
		SellingAndMarketingExpense,"4,221,000,000","1,044,000,000","1,314,000,000","1,199,000,000","664,000,000","511,000,000","529,000,000","296,000,000","1,210,000,000","1,283,000,000","1,660,000,000","1,657,000,000","1,535,000,000","1,209,000,000","1,501,000,000","1,541,000,000","1,516,000,000","1,123,658,000","1,460,707,000","1,443,407,000","1,270,060,000","968,555,000","1,204,521,000","1,154,993,000","1,040,607,000","788,936,000","943,289,000","885,480,000","763,381,000","624,214,000","815,800,000","743,616,000","624,699,000","484,226,000","625,296,000","590,468,000","496,155,000","393,636,000","505,756,000","444,573,000","377,072,000",,"408,102,000","393,969,000","341,158,000","282,454,000","344,019,000","296,830,000","280,838,000","234,839,000","284,847,000","271,492,000","235,884,000",,,,,,,,,,,,,,,"192,613,000","179,590,000",,"177,863,000"
