name,ttm,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003
TotalRevenue,"1,577,362,000","427,383,000","412,492,000","378,630,000","358,857,000","353,490,000","343,024,000","327,246,000","332,452,000","335,801,000","337,505,000","323,602,000","311,546,000","307,353,000","306,953,000","296,813,000","285,485,000","281,842,000","284,156,000","276,003,000","263,008,000","261,016,000","257,183,000","244,273,000","229,403,000","225,759,000","197,497,000","185,860,000","173,154,000","167,367,000","167,368,000","160,240,000","152,180,000","141,934,000","133,111,000","126,246,000","119,322,000","113,667,000","109,791,000","94,951,000","90,987,000","93,212,000","84,097,000","78,040,000","74,481,000","73,154,000","71,979,000","68,777,000","67,587,000","70,850,000","71,304,000","69,068,000","69,254,000","70,360,000","69,848,000","67,336,000","65,707,000","64,714,000","63,826,000","56,550,000","53,776,000","52,175,000","51,188,000","48,531,000","45,370,000","44,058,000","43,135,000","24,617,000","22,918,000","22,948,000","18,168,000","13,929,000","11,016,000","9,578,000","9,134,000","9,307,000"
	OperatingRevenue,"1,577,362,000","427,383,000","412,492,000","378,630,000","358,857,000","353,490,000","343,024,000","327,246,000","332,452,000","335,801,000","337,505,000","323,602,000","311,546,000","307,353,000","306,953,000","296,813,000","285,485,000","281,842,000","284,156,000","276,003,000","263,008,000","261,016,000","257,183,000","244,273,000","229,403,000","225,759,000","197,497,000","185,860,000","173,154,000","167,367,000","167,368,000","160,240,000","152,180,000","141,934,000","133,111,000","126,246,000","119,322,000","113,667,000","109,791,000","94,951,000","90,987,000","93,212,000","84,097,000","78,040,000","74,481,000","73,154,000","71,979,000","68,777,000","67,587,000","70,850,000","71,304,000","69,068,000","69,254,000","70,360,000","69,848,000","67,336,000","68,567,000","64,714,000","63,826,000","56,550,000","56,421,000","54,966,000","52,703,000","49,766,000","46,991,000","46,893,000","44,490,000","24,905,000","23,235,000","25,961,000","-250,000","14,362,000","11,016,000","1,210,000","-40,000","352,000"
CostOfRevenue,"398,096,000","102,375,000","100,303,000","95,890,000","99,528,000","94,725,000","99,511,000","95,898,000","96,975,000","95,545,000","96,297,000","87,852,000","85,732,000","79,116,000","81,372,000","78,554,000","78,360,000","72,781,000","76,702,000","71,099,000","70,565,000","67,332,000","66,434,000","66,371,000","65,423,000","62,848,000","52,486,000","51,492,000","50,172,000","45,640,000","46,224,000","44,930,000","46,049,000","39,774,000","37,249,000","35,664,000","36,347,000","34,523,000","31,494,000","27,436,000","28,444,000","26,705,000","25,866,000","24,094,000","24,959,000","24,023,000","23,070,000","22,398,000","23,179,000","21,544,000","24,286,000","24,438,000","24,128,000","22,759,000","22,793,000","22,233,000",,,,,,,,,,,,,,,,,,,,
GrossProfit,"1,179,266,000","325,008,000","312,189,000","282,740,000","259,329,000","258,765,000","243,513,000","231,348,000","235,477,000","240,256,000","241,208,000","235,750,000","225,814,000","228,237,000","225,581,000","218,259,000","207,125,000","209,061,000","207,454,000","204,904,000","192,443,000","193,684,000","190,749,000","177,902,000","163,980,000","162,911,000","145,011,000","134,368,000","122,982,000","121,727,000","121,144,000","115,310,000","106,131,000","102,160,000","95,862,000","90,582,000","82,975,000","79,144,000","78,297,000","67,515,000","62,543,000","66,507,000","58,231,000","53,946,000","49,522,000","49,131,000","48,909,000","46,379,000","44,408,000","49,306,000","47,018,000","44,630,000","45,126,000","47,601,000","47,055,000","45,103,000",,,,,,,,,,,,,,,,,,,,
OperatingExpense,"344,073,000","90,112,000","85,911,000","85,911,000","82,139,000","81,091,000","80,306,000","81,355,000","78,286,000","75,611,000","78,570,000","77,757,000","77,337,000","71,560,000","71,990,000","73,543,000","73,213,000","67,947,000","67,573,000","68,497,000","68,240,000","67,513,000","66,092,000","64,462,000","66,299,000","58,904,000","47,427,000","48,207,000","46,677,000","45,870,000","43,215,000","43,256,000","43,677,000","39,789,000","37,371,000","36,524,000","35,794,000","30,681,000","34,813,000","29,640,000","29,773,000","29,991,000","27,016,000","28,094,000","25,492,000","25,546,000","25,348,000","23,573,000","23,545,000","24,933,000","23,801,000","42,256,000","23,851,000","23,888,000","22,713,000","23,195,000","43,727,000","40,982,000","41,112,000","36,819,000","36,155,000","35,072,000","34,661,000","33,665,000","34,214,000","32,926,000","33,014,000","18,742,000","17,692,000","13,509,000","14,808,000","12,428,000","-7,585,000","12,000,000","8,077,000","7,573,000"
	SellingGeneralAndAdministration,"102,194,000","27,918,000","24,395,000","26,341,000","23,540,000","24,352,000","23,894,000","25,337,000","23,011,000","20,870,000","22,519,000","23,351,000","22,678,000","18,434,000","19,707,000","21,651,000","21,464,000","18,790,000","19,498,000","21,865,000","18,808,000","18,355,000","19,537,000","20,512,000","23,402,000","18,138,000","16,716,000","16,655,000","16,249,000","16,689,000","13,966,000","14,985,000","15,302,000","13,795,000","13,943,000","13,739,000","12,769,000","12,710,000","12,559,000","12,545,000","12,640,000","13,287,000","12,306,000","12,432,000","11,658,000","11,525,000","10,618,000","11,229,000","11,056,000","11,584,000","9,982,000","10,615,000","11,246,000","9,859,000","10,319,000","10,070,000","10,179,000","9,188,000","9,326,000","8,968,000","9,240,000","9,010,000","8,598,000","8,747,000","9,245,000","8,213,000","9,591,000","3,320,000","2,957,000","3,317,000","2,905,000","3,273,000","2,970,000","2,428,000","1,912,000","2,056,000"
		GeneralAndAdministrativeExpense,"102,194,000","27,918,000","24,395,000","26,341,000","23,540,000","24,352,000","23,894,000","25,337,000","23,011,000","20,870,000","22,519,000","23,351,000","22,678,000","18,434,000","19,707,000","21,651,000","21,464,000","18,790,000","19,498,000","21,865,000","18,808,000","18,355,000","19,537,000","20,512,000","23,402,000","18,138,000","16,716,000","16,655,000","16,249,000","16,689,000","13,966,000","14,985,000","15,302,000","13,795,000","13,943,000","13,739,000","12,769,000","12,710,000",,,,,,,,,"12,354,000",,"12,279,000",,"11,246,000","12,086,000",,,,,,"9,188,000","9,326,000","8,968,000",,"9,010,000","8,598,000","8,747,000",,"8,213,000","9,591,000","3,320,000","2,957,000","3,317,000","2,905,000","3,273,000","2,970,000",,,
			SalariesAndWages,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"9,188,000","9,326,000","8,968,000",,"9,010,000","8,598,000","8,747,000",,"8,213,000","9,591,000","3,320,000","2,957,000","3,317,000","2,905,000","3,273,000","2,970,000",,,
			InsuranceAndClaims,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,736,000",,"1,223,000",,"1,264,000","1,471,000",,,,,,,,,,,,,,,,,,,,,,,,
			OtherGandA,"102,194,000","27,918,000","24,395,000","26,341,000","23,540,000","24,352,000","23,894,000","25,337,000","23,011,000","20,870,000","22,519,000","23,351,000","22,678,000","18,434,000","19,707,000","21,651,000","21,464,000","18,790,000","19,498,000","21,865,000","18,808,000","18,355,000","19,537,000","20,512,000","23,402,000","18,138,000","16,716,000","16,655,000","16,249,000","16,689,000","13,966,000","14,985,000","15,302,000","13,795,000","13,943,000","13,739,000","12,769,000","12,710,000",,,,,,,,,"10,618,000",,"11,056,000",,"9,982,000","10,615,000",,,,,,,,,,,,,,,,,,,,,,,,
