name,ttm,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010
TotalRevenue,"6,797,000,000","2,022,000,000","1,910,000,000","1,681,000,000","1,184,000,000","769,000,000","720,000,000","425,000,000","899,000,000","1,104,000,000","975,000,000","1,021,000,000","864,000,000","631,759,000","538,029,000","526,273,000","480,195,000","399,194,000","301,253,000","269,434,000","235,230,000","185,012,000","142,131,000","112,483,000","87,481,000","114,323,000","111,946,000","119,063,000","101,401,000","131,583,000","139,127,000","127,004,000","98,004,000","75,908,000","57,791,000","45,394,000","28,909,000","26,606,000","16,598,000","16,030,000","16,004,507","14,171,262","10,971,000","11,454,827","12,074,812","8,311,575"
	OperatingRevenue,"6,792,000,000","2,021,000,000","1,909,000,000","1,679,000,000","1,183,000,000","767,000,000","719,000,000","423,000,000","897,000,000","1,102,000,000","972,000,000","1,016,000,000","861,000,000","628,612,000","534,348,000","522,920,000","478,154,000","389,937,000","300,931,000","268,851,000","233,628,000","185,012,000","142,131,000","112,483,000","87,481,000","114,323,000","111,946,000","119,063,000","101,401,000","131,583,000","139,127,000","127,004,000","98,004,000","75,908,000","57,791,000","45,394,000","28,909,000","26,606,000","16,598,000","16,030,000","16,004,507","14,171,262","10,971,000","11,454,827","12,074,812","8,311,575"
CostOfRevenue,"2,566,000,000","668,000,000","707,000,000","682,000,000","509,000,000","467,000,000","502,000,000","536,000,000","664,000,000","660,000,000","605,000,000","584,000,000","515,000,000","378,531,000","255,666,000","229,130,000","195,339,000","174,025,000","146,369,000","124,884,000","104,753,000","87,431,000","78,892,000","69,139,000","71,043,000","75,759,000","85,218,000","86,868,000","91,558,000","87,240,000","68,989,000","59,774,000","45,312,000","34,292,000","26,201,000","23,345,000","17,733,000","44,552,000","932,000","10,049,000","847,806","768,254","588,000","620,946","2,291,789","724,237"
GrossProfit,"4,231,000,000","1,354,000,000","1,203,000,000","999,000,000","675,000,000","302,000,000","218,000,000","-111,000,000","235,000,000","444,000,000","370,000,000","437,000,000","349,000,000","253,228,000","282,363,000","297,143,000","284,856,000","225,169,000","154,884,000","144,550,000","130,477,000","97,581,000","63,239,000","43,344,000","16,438,000","38,564,000","26,728,000","32,195,000","9,843,000","44,343,000","70,138,000","67,230,000","52,692,000","41,616,000","31,590,000","22,049,000","11,176,000","-17,946,000","15,666,000","5,981,000","15,156,701","13,403,008","10,383,000","10,833,881","9,783,023","7,587,338"
OperatingExpense,"152,000,000","42,000,000","39,000,000","42,000,000","26,000,000","26,000,000","23,000,000","22,000,000","28,000,000","38,000,000","21,000,000","26,000,000","30,000,000","21,409,000","15,512,000","15,840,000","17,210,000","11,506,000","12,245,000","12,242,000","14,067,000","10,502,000","10,178,000","9,778,000","13,225,000","8,767,000","7,764,000","7,864,000","8,406,000","6,444,000","6,622,000","4,038,000","4,629,000","3,890,000","2,167,000","2,666,000","2,514,000","-20,375,000","11,624,000","1,674,000","8,558,049","8,668,147","7,571,000","6,746,694","6,428,392","7,454,364"
	SellingGeneralAndAdministration,"146,000,000","47,000,000","38,000,000","36,000,000","25,000,000","24,000,000","20,000,000","20,000,000","24,000,000","36,000,000","19,000,000","22,000,000","27,000,000","19,515,000","14,185,000","14,529,000","16,325,000","11,145,000","11,888,000","11,892,000","13,744,000","10,208,000","9,908,000","9,524,000","12,979,000","8,522,000","7,526,000","7,684,000","8,236,000","6,280,000","6,495,000","3,934,000","4,557,000","3,823,000","2,121,000","2,621,000","2,471,000","5,908,000","1,654,000","1,653,000","1,191,402","1,427,052","755,000","820,265","601,048","1,207,691"
		GeneralAndAdministrativeExpense,"146,000,000","47,000,000","38,000,000","36,000,000","25,000,000","24,000,000","20,000,000","20,000,000","24,000,000","36,000,000","19,000,000","22,000,000","27,000,000","19,515,000","14,185,000","14,529,000","16,325,000","11,145,000","11,888,000","11,892,000","13,744,000","10,208,000","9,908,000","9,524,000","12,979,000","8,522,000","7,526,000","7,684,000","8,236,000","6,280,000","6,495,000","3,934,000","4,557,000","3,823,000","2,121,000","2,621,000","2,471,000",,,"1,653,000",,,,,,
			SalariesAndWages,"51,000,000","14,000,000","14,000,000","13,000,000","10,000,000","10,000,000","9,000,000","9,000,000","9,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			RentAndLandingFees,,,,,,,,,,"126,000,000","128,000,000","127,000,000","109,000,000","75,872,000","49,111,000","42,647,000","37,345,000","38,411,000","32,498,000","28,989,000","26,626,000","23,348,000","22,180,000","18,677,000","18,223,000","17,508,000","22,189,000","20,472,000","22,456,000","23,168,000","13,805,000","10,496,000","7,915,000","5,790,000","4,964,000","6,087,000","5,435,000",,,"3,529,000",,,,,,
			OtherGandA,"95,000,000","33,000,000","24,000,000","23,000,000","15,000,000","14,000,000","11,000,000","11,000,000","15,000,000","-12,000,000","19,000,000","22,000,000","27,000,000","19,515,000","14,185,000","14,529,000","16,325,000","11,145,000","11,888,000","11,892,000","13,744,000","10,208,000","9,908,000","9,524,000","12,979,000","-10,007,000","7,526,000","7,684,000","8,236,000","6,280,000","6,495,000","3,934,000","4,557,000","3,823,000","2,121,000","2,621,000","2,471,000",,,"1,653,000",,,,,,
	DepreciationAmortizationDepletionIncomeStatement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6,066,000",,"4,664,942","4,281,341","3,680,000","3,824,672","3,616,694","4,254,871"
	OtherOperatingExpenses,"6,000,000","-5,000,000","1,000,000","6,000,000","1,000,000","2,000,000","3,000,000","2,000,000","4,000,000","2,000,000","2,000,000","4,000,000","3,000,000","1,894,000","1,327,000","1,311,000","885,000","361,000","357,000","350,000","323,000","294,000","270,000","254,000","246,000","245,000","238,000","180,000","170,000","164,000","127,000","104,000","72,000","67,000","46,000","45,000","43,000","-9,981,000","3,904,000","21,000","2,701,705","2,959,754","3,136,000","2,101,757","2,210,650","1,991,802"
OperatingIncome,"4,079,000,000","1,312,000,000","1,164,000,000","957,000,000","649,000,000","276,000,000","195,000,000","-133,000,000","207,000,000","406,000,000","349,000,000","411,000,000","319,000,000","231,819,000","266,851,000","281,303,000","267,646,000","213,663,000","142,639,000","132,308,000","116,410,000","87,079,000","53,061,000","33,566,000","3,213,000","29,797,000","18,964,000","24,331,000","1,437,000","37,899,000","63,516,000","63,192,000","48,063,000","37,726,000","29,423,000","19,383,000","8,662,000","2,429,000","4,042,000","4,307,000","6,598,652","4,734,861","2,812,000","4,087,187","3,354,631","132,974"
NetNonOperatingInterestIncomeExpense,"-199,000,000","-29,000,000","-57,000,000","-57,000,000","-56,000,000","-50,000,000","-53,000,000","-46,000,000","-48,000,000","-39,000,000","-38,000,000","-49,000,000","-46,000,000","-37,931,000","-18,548,000","-17,096,000","-13,701,000","-10,892,000","-9,192,000","-8,245,000","-12,225,000","-10,418,000","-10,234,000","-10,019,000","-10,013,000","-10,109,000","-10,633,000","-10,274,000","-10,497,000","-10,424,000","-9,846,000","-7,739,000","-6,505,000","-5,950,000","-1,088,000","-535,000","-485,000","-426,000","-1,129,000","-1,172,000","-880,159","-711,098","-716,000","-598,509","-491,556","-473,124"
	InterestIncomeNonOperating,"1,000,000","0","1,000,000",,"2,000,000",,,,,,,,,,,,,,,,"-12,225,000","-10,418,000",,,,,,,,"1,000","0",,,"0","1,000","0","0","0","1,000","1,000","1,310","2,028","2,000","2,776","4,212","13,180"
	InterestExpenseNonOperating,"189,000,000","31,000,000","53,000,000","51,000,000","54,000,000","48,000,000","53,000,000","46,000,000","48,000,000","39,000,000","38,000,000","49,000,000","46,000,000","37,931,000","18,548,000","17,096,000","13,701,000","10,892,000","9,192,000","8,245,000","12,225,000","10,418,000","10,234,000","10,019,000","10,013,000","8,817,000","10,633,000","10,274,000","10,497,000","7,304,000","9,846,000","7,739,000","6,505,000","4,932,000","1,089,000","535,000","485,000","426,000","1,130,000","1,173,000","881,469","713,126","718,000","601,285","495,768","486,304"
	TotalOtherFinanceCost,"11,000,000","-2,000,000","5,000,000","6,000,000","4,000,000",,,,,"39,000,000","38,000,000",,,"37,931,000","18,548,000","17,096,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
