name,ttm,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999,12/31/1998,09/30/1998,06/30/1998,03/31/1998,12/31/1997,09/30/1997,06/30/1997,03/31/1997,12/31/1996,09/30/1996,06/30/1996,03/31/1996,12/31/1995,09/30/1995,06/30/1995,03/31/1995,12/31/1994,09/30/1994,06/30/1994,03/31/1994,12/31/1993,09/30/1993,06/30/1993,03/31/1993,12/31/1992,09/30/1992,06/30/1992,03/31/1992,12/31/1991,09/30/1991,06/30/1991,03/31/1991,12/31/1990,09/30/1990,06/30/1990,03/31/1990,12/31/1989,09/30/1989,06/30/1989,03/31/1989,12/31/1988,09/30/1988,06/30/1988,03/31/1988,12/31/1987,09/30/1987,06/30/1987,03/31/1987
TotalRevenue,"6,010,900,000","1,531,900,000","1,554,200,000","1,507,700,000","1,417,000,000","1,358,000,000","1,413,300,000","1,509,000,000","1,367,000,000","1,276,900,000","1,379,100,000","1,368,400,000","1,309,300,000","1,231,600,000","1,279,800,000","1,267,900,000","1,185,800,000","1,088,500,000","1,132,800,000","1,121,500,000","1,047,700,000","947,947,000","1,013,122,000","1,014,287,000","986,680,000","922,793,000","995,250,000","997,827,000","953,317,000","926,254,000","980,814,000","949,938,000","876,501,000","813,760,000","858,424,000","847,596,000","806,326,000","757,235,000","802,577,000","804,890,000","768,875,000","697,804,000","726,742,000","701,730,000","640,583,000","573,766,000","603,750,000","571,183,000","520,772,000","476,750,000","489,339,000","474,894,000","489,347,000","544,959,000","625,037,000","604,219,000","566,210,000","519,206,000","533,750,000","519,706,000","489,157,000","448,729,000","470,088,000","458,817,000","431,703,000","384,043,000","402,218,000","383,263,000","353,809,000","318,465,000","325,678,000","310,143,000","284,206,000","251,643,000","258,330,000","249,112,000","235,843,000","219,286,000","238,086,000","233,484,000","214,582,000","205,283,000","207,077,000","204,907,000","201,016,000","187,961,000","192,922,000","188,589,000","176,268,000","155,300,000","159,400,000","153,900,000","140,600,000","128,600,000","131,300,000","126,400,000","116,700,000","107,100,000","105,600,000","98,200,000","87,100,000","77,600,000","76,200,000","70,900,000","63,100,000","58,000,000","58,000,000","55,500,000","51,100,000","45,000,000","43,500,000","39,400,000","34,000,000","30,300,000","29,500,000","27,100,000","23,400,000","21,400,000","21,300,000","20,300,000","18,200,000","16,300,000","16,700,000","15,500,000","13,800,000","13,000,000","13,900,000","13,100,000","12,200,000","10,800,000","11,200,000","10,300,000","8,900,000","8,200,000","8,200,000","7,400,000","6,600,000","5,700,000","5,600,000","4,500,000","4,500,000"
	OperatingRevenue,"6,010,900,000","1,531,900,000","1,554,200,000","1,507,700,000","1,417,000,000","1,358,000,000","1,413,300,000","1,509,000,000","1,367,000,000","1,276,900,000","1,379,100,000","1,368,400,000","1,309,300,000","1,231,600,000","1,279,800,000","1,267,900,000","1,185,800,000","1,088,500,000","1,132,800,000","1,121,500,000","1,047,700,000","947,947,000","1,013,122,000","1,014,287,000","986,680,000","922,793,000","995,250,000","997,827,000","953,317,000","926,254,000","980,814,000","949,938,000","876,501,000","813,760,000","858,424,000","847,596,000","806,326,000","757,235,000","802,577,000","804,890,000","768,875,000","697,804,000","726,742,000","701,730,000","640,583,000","573,766,000","603,750,000","571,183,000","520,772,000","476,750,000","489,339,000","474,894,000","489,347,000","544,959,000","625,037,000","604,219,000","566,210,000","519,206,000","533,750,000","519,706,000","489,157,000","448,729,000","470,088,000","458,817,000","431,703,000","384,043,000","402,218,000","383,263,000","353,809,000","318,465,000","325,678,000","310,143,000","284,206,000","251,643,000","258,330,000","249,112,000","235,843,000","219,286,000","238,086,000","233,484,000","214,582,000","205,283,000","207,077,000","204,907,000","201,016,000","187,961,000","192,922,000","188,589,000","176,268,000","155,300,000","159,400,000","153,900,000","140,600,000","128,600,000","131,300,000","126,400,000","116,700,000","107,100,000","105,600,000","98,200,000","87,100,000","77,600,000","76,200,000","70,900,000","63,100,000","58,000,000","58,000,000","55,500,000","51,100,000","45,000,000","43,500,000","39,400,000","34,000,000","30,300,000","29,500,000","27,100,000","23,400,000","21,400,000","21,300,000","20,300,000","18,200,000","16,300,000","16,700,000","15,500,000","13,800,000","13,000,000","13,900,000","13,100,000","12,200,000","10,800,000","11,200,000","10,300,000","8,900,000","8,200,000","8,200,000","7,400,000","6,600,000","5,700,000","5,600,000","4,500,000","4,500,000"
CostOfRevenue,"3,233,700,000","819,000,000","834,000,000","807,000,000","773,600,000","739,200,000","772,700,000","837,400,000","730,200,000","678,500,000","728,000,000","727,200,000","684,600,000","643,800,000","664,000,000","650,200,000","608,200,000","557,300,000","576,900,000","563,000,000","529,700,000","476,056,000","513,288,000","512,695,000","495,220,000","462,221,000","493,025,000","495,740,000","469,267,000","458,690,000","482,121,000","467,271,000","428,023,000","402,311,000","415,029,000","404,875,000","384,446,000","366,414,000","388,202,000","389,739,000","374,698,000","340,626,000","349,361,000","335,497,000","307,203,000","275,149,000","291,102,000","273,525,000","254,859,000","239,035,000","244,772,000","232,389,000","230,699,000","253,769,000","294,154,000","286,830,000","269,580,000","254,640,000","261,726,000","258,237,000","239,642,000","224,781,000","232,853,000","229,812,000","214,216,000","199,467,000","199,872,000","189,456,000","176,436,000","157,878,000","162,118,000","152,936,000","141,227,000","129,154,000","131,823,000","125,738,000","119,146,000","109,941,000","121,017,000","117,999,000","108,005,000","108,451,000","101,393,000","99,601,000","96,411,000","86,393,000","89,435,000","88,011,000","81,364,000","71,400,000","73,200,000","69,600,000","63,700,000","59,100,000","58,900,000","56,900,000","52,700,000","48,200,000","47,400,000","44,900,000","39,100,000","35,100,000","33,200,000","30,900,000","28,000,000","25,000,000","25,700,000","24,700,000","22,700,000","19,800,000","19,700,000","17,700,000","15,300,000","14,100,000","12,700,000","12,200,000","10,300,000","9,400,000","9,300,000","9,000,000","8,200,000","7,500,000","7,400,000","7,000,000","6,100,000","5,500,000","6,200,000","5,900,000","5,500,000","4,700,000","5,000,000","4,800,000",,,,,,,,,
GrossProfit,"2,777,200,000","712,900,000","720,200,000","700,700,000","643,400,000","618,800,000","640,600,000","671,600,000","636,800,000","598,400,000","651,100,000","641,200,000","624,700,000","587,800,000","615,800,000","617,700,000","577,600,000","531,200,000","555,900,000","558,500,000","518,000,000","471,891,000","499,834,000","501,592,000","491,460,000","460,572,000","502,225,000","502,087,000","484,050,000","467,564,000","498,693,000","482,667,000","448,478,000","411,449,000","443,395,000","442,721,000","421,880,000","390,821,000","414,375,000","415,151,000","394,177,000","357,178,000","377,381,000","366,233,000","333,380,000","298,617,000","312,648,000","297,658,000","265,913,000","237,715,000","244,567,000","242,505,000","258,648,000","291,190,000","330,883,000","317,389,000","296,630,000","264,566,000","272,024,000","261,469,000","249,515,000","223,948,000","237,235,000","229,005,000","217,487,000","184,576,000","202,346,000","193,807,000","177,373,000","160,587,000","163,560,000","157,207,000","142,979,000","122,489,000","126,507,000","123,374,000","116,697,000","109,345,000","117,069,000","115,485,000","106,577,000","96,832,000","105,684,000","105,306,000","104,605,000","101,568,000","103,487,000","100,578,000","94,904,000","83,900,000","86,200,000","84,300,000","76,900,000","69,500,000","72,400,000","69,500,000","64,000,000","58,900,000","58,200,000","53,300,000","48,000,000","42,500,000","43,000,000","40,000,000","35,100,000","33,000,000","32,300,000","30,800,000","28,400,000","25,200,000","23,800,000","21,700,000","18,700,000","16,200,000","16,800,000","14,900,000","13,100,000","12,000,000","12,000,000","11,300,000","10,000,000","8,800,000","9,300,000","8,500,000","7,700,000","7,500,000","7,700,000","7,200,000","6,700,000","6,100,000","6,200,000","5,500,000",,,,,,,,,
OperatingExpense,"1,559,800,000","412,000,000","401,800,000","382,900,000","363,100,000","354,700,000","351,500,000","355,300,000","365,900,000","359,900,000","369,200,000","366,700,000","363,600,000","354,400,000","353,800,000","349,300,000","342,700,000","327,800,000","327,500,000","321,600,000","305,900,000","289,623,000","297,047,000","292,619,000","290,181,000","282,181,000","282,378,000","276,644,000","280,387,000","278,785,000","286,132,000","276,016,000","269,843,000","254,389,000","254,957,000","250,750,000","247,334,000","232,914,000","238,814,000","236,538,000","232,970,000","216,552,000","222,257,000","215,868,000","204,692,000","191,779,000","192,140,000","185,822,000","175,410,000","166,621,000","168,119,000","172,143,000","179,909,000","191,718,000","213,264,000","194,040,000","186,666,000","172,944,000","173,176,000","164,063,000","161,056,000","151,029,000","150,061,000","146,196,000","140,547,000","121,753,000","128,463,000","122,077,000","117,646,000","110,151,000","107,867,000","101,309,000","97,849,000","90,581,000","89,120,000","88,129,000","86,100,000","82,694,000","86,460,000","81,724,000","78,367,000","75,607,000","78,674,000","74,856,000","71,559,000","71,336,000","69,910,000","66,865,000","62,869,000","58,300,000","58,600,000","56,900,000","51,800,000","49,100,000","49,300,000","46,400,000","43,600,000","42,400,000","39,600,000","36,000,000","33,300,000","29,200,000","28,600,000","26,100,000","23,100,000","20,800,000","20,000,000","19,500,000","18,500,000","16,100,000","15,300,000","14,000,000","13,000,000","10,500,000","11,000,000","10,200,000","9,500,000","8,100,000","8,000,000","7,700,000","7,300,000","6,200,000","6,300,000","5,900,000","5,600,000","5,000,000","5,000,000","4,700,000","4,600,000","4,300,000","4,000,000","4,100,000",,,,,,,,,
	SellingGeneralAndAdministration,"1,559,800,000","412,000,000","401,800,000","382,900,000","363,100,000","354,700,000","351,500,000","355,300,000","365,900,000","359,900,000","369,200,000","366,700,000","363,600,000","354,400,000","353,800,000","349,300,000","342,700,000","327,800,000","327,500,000","321,600,000","305,900,000","289,623,000","297,047,000","292,619,000","290,181,000","282,181,000","282,378,000","276,644,000","280,387,000","278,785,000","286,132,000","276,016,000","269,843,000","254,389,000","254,957,000","250,750,000","247,334,000","232,914,000","238,814,000","236,538,000","232,970,000","216,552,000","222,257,000","215,868,000","204,692,000","191,779,000","192,140,000","185,783,000","175,410,000","166,621,000","168,119,000","172,143,000","179,909,000","191,917,000","213,310,000","193,899,000","186,562,000","172,958,000","173,178,000","164,261,000","160,851,000","150,982,000","150,035,000","146,081,000","140,512,000","121,619,000","128,602,000","121,873,000","117,697,000","110,063,000","107,815,000","101,193,000","97,453,000","90,456,000","89,082,000","88,106,000","85,969,000","88,324,000","86,460,000","81,724,000","78,367,000","75,607,000","78,674,000","74,856,000","71,559,000","68,019,000","66,883,000","63,949,000","60,152,000","55,600,000","55,700,000","53,600,000","48,700,000","45,800,000","46,400,000","43,800,000","41,200,000","39,700,000","37,100,000","33,800,000","31,200,000","27,500,000","26,300,000","24,200,000","21,500,000","19,300,000","18,700,000","18,200,000","17,200,000","14,900,000","14,500,000","13,300,000","12,300,000","9,800,000","10,400,000","9,600,000","8,900,000","7,500,000","7,600,000","7,300,000","6,900,000","5,800,000","6,000,000","5,600,000","5,300,000","4,800,000","4,800,000","4,500,000","4,400,000","4,100,000","3,800,000","3,800,000",,,,,,,,,
	DepreciationAmortizationDepletionIncomeStatement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3,317,000","3,027,000","2,916,000","2,717,000","2,700,000","2,900,000","3,300,000","3,100,000","3,300,000","2,900,000","2,600,000","2,400,000","2,700,000","2,500,000","2,200,000","2,100,000","1,700,000","2,300,000","1,900,000","1,600,000","1,500,000","1,300,000","1,300,000","1,300,000","1,200,000","800,000","700,000","700,000","700,000","600,000","600,000","600,000","600,000","400,000","400,000","400,000","400,000","300,000","300,000","300,000","200,000","200,000","200,000","200,000","200,000","200,000","200,000",,,,,,,,,
		DepreciationAndAmortizationInIncomeStatement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3,317,000","3,027,000","2,916,000","2,717,000","2,700,000","2,900,000","3,300,000","3,100,000","3,300,000","2,900,000","2,600,000","2,400,000","2,700,000","2,500,000","2,200,000","2,100,000","1,700,000","2,300,000","1,900,000","1,600,000","1,500,000","1,300,000","1,300,000","1,300,000","1,200,000","800,000","700,000","700,000","700,000","600,000","600,000","600,000","600,000","400,000","400,000","400,000","400,000","300,000","300,000","300,000","200,000","200,000","200,000","200,000","200,000","200,000","200,000",,,,,,,,,
	OtherOperatingExpenses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"259,000","25,000",,"-2,000","39,000","67,000",,,,,,"-46,000","141,000","104,000","-14,000","-2,000","-198,000","205,000","47,000","26,000","115,000","35,000","134,000","-139,000","204,000","-51,000","88,000","52,000","116,000","396,000","125,000","38,000","23,000","131,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"100,000",,,,,,,,,
OperatingIncome,"1,217,400,000","300,900,000","318,400,000","317,800,000","280,300,000","264,100,000","289,100,000","316,300,000","270,900,000","238,500,000","281,900,000","274,500,000","261,100,000","233,400,000","262,000,000","268,400,000","234,900,000","203,400,000","228,400,000","236,900,000","212,100,000","182,268,000","202,787,000","208,973,000","201,279,000","178,391,000","219,847,000","225,443,000","203,663,000","188,779,000","212,561,000","206,651,000","178,635,000","157,060,000","188,438,000","191,971,000","174,546,000","157,907,000","175,561,000","178,613,000","161,207,000","140,626,000","155,124,000","150,365,000","128,688,000","106,838,000","120,508,000","111,836,000","90,503,000","71,094,000","76,448,000","70,362,000","78,739,000","99,472,000","117,619,000","123,349,000","109,964,000","91,622,000","98,848,000","97,406,000","88,459,000","72,919,000","87,174,000","82,809,000","76,940,000","62,823,000","73,883,000","71,730,000","59,727,000","50,436,000","55,693,000","55,898,000","45,130,000","31,908,000","37,387,000","35,245,000","30,597,000","26,651,000","30,609,000","33,761,000","28,210,000","21,225,000","27,010,000","30,450,000","33,046,000","30,232,000","33,577,000","33,713,000","32,035,000","25,600,000","27,600,000","27,400,000","25,100,000","20,400,000","23,100,000","23,100,000","20,400,000","16,500,000","18,600,000","17,300,000","14,700,000","13,300,000","14,400,000","13,900,000","12,000,000","12,200,000","12,300,000","11,300,000","9,900,000","9,100,000","8,500,000","7,700,000","5,700,000","5,700,000","5,800,000","4,700,000","3,600,000","3,900,000","4,000,000","3,600,000","2,700,000","2,600,000","3,000,000","2,600,000","2,100,000","2,500,000","2,700,000","2,500,000","2,100,000","1,800,000","2,200,000","1,400,000","8,900,000","-17,300,000","8,200,000","7,400,000","6,600,000","-11,400,000","5,600,000","4,500,000","4,500,000"
