name,ttm,02/28/2022,11/30/2021,08/31/2021,05/31/2021,02/28/2021,11/30/2020,08/31/2020,05/31/2020,02/29/2020,11/30/2019,08/31/2019,05/31/2019,02/28/2019,11/30/2018,08/31/2018,05/31/2018,02/28/2018,11/30/2017,08/31/2017,05/31/2017,02/28/2017,11/30/2016,08/31/2016,05/31/2016,02/29/2016,11/30/2015,08/31/2015,05/31/2015,02/28/2015,11/30/2014,08/31/2014,05/31/2014,02/28/2014,11/30/2013,08/31/2013,05/31/2013,02/28/2013,11/30/2012,08/31/2012,05/31/2012,02/29/2012,11/30/2011,08/31/2011,05/31/2011,02/28/2011,11/30/2010,08/31/2010,05/31/2010,02/28/2010,11/30/2009,08/31/2009,05/31/2009,02/28/2009,11/30/2008,08/31/2008,05/31/2008,02/29/2008,11/30/2007,08/31/2007,05/31/2007,02/28/2007,11/30/2006,08/31/2006,05/31/2006,02/28/2006,11/30/2005,08/31/2005,05/31/2005,02/28/2005,11/30/2004,08/31/2004,05/31/2004,02/29/2004,11/30/2003,08/31/2003,05/31/2003,02/28/2003,11/30/2002,08/31/2002,05/31/2002,02/28/2002,11/30/2001,08/31/2001,05/31/2001,02/28/2001,11/30/2000,08/31/2000,05/31/2000,02/29/2000,11/30/1999,08/31/1999,05/31/1999,02/28/1999,11/30/1998,08/31/1998,05/31/1998,02/28/1998,11/30/1997,08/31/1997,05/31/1997,02/28/1997,11/30/1996,08/31/1996,05/31/1996,02/29/1996,11/30/1995,08/31/1995,05/31/1995,02/28/1995,11/30/1994,08/31/1994,05/31/1994,02/28/1994,11/30/1993,08/31/1993,05/31/1993,02/28/1993,11/30/1992,08/31/1992,05/31/1992,02/29/1992,11/30/1991,08/31/1991,05/31/1991,02/28/1991,11/30/1990,08/31/1990,05/31/1990,02/28/1990,11/30/1989,08/31/1989,05/31/1989,02/28/1989,11/30/1988,08/31/1988,05/31/1988,02/29/1988,11/30/1987,08/31/1987,05/31/1987,02/28/1987,11/30/1986,08/31/1986,05/31/1986,02/28/1986,11/30/1985,08/31/1985
TotalRevenue,"91,683,000,000","23,641,000,000","23,474,000,000","22,003,000,000","22,565,000,000","21,510,000,000","20,563,000,000","19,321,000,000","17,358,000,000","17,487,000,000","17,324,000,000","17,048,000,000","17,807,000,000","17,010,000,000","17,824,000,000","17,052,000,000","17,314,000,000","16,526,000,000","16,313,000,000","15,297,000,000","15,728,000,000","14,997,000,000","14,931,000,000","14,663,000,000","12,979,000,000","12,654,000,000","12,453,000,000","12,279,000,000","12,114,000,000","11,716,000,000","11,939,000,000","11,684,000,000","11,839,000,000","11,301,000,000","11,403,000,000","11,024,000,000","11,435,000,000","10,953,000,000","11,107,000,000","10,792,000,000","11,008,000,000","10,564,000,000","10,587,000,000","10,521,000,000","10,552,000,000","9,663,000,000","9,632,000,000","9,457,000,000","9,428,000,000","8,701,000,000","8,596,000,000","8,009,000,000","7,852,000,000","8,137,000,000","9,538,000,000","9,970,000,000","9,866,000,000","9,437,000,000","9,451,000,000","9,199,000,000","9,151,000,000","8,592,000,000","8,926,000,000","8,545,000,000","8,494,000,000","8,003,000,000","8,090,000,000","7,707,000,000","7,715,000,000","7,339,000,000","7,334,000,000","6,975,000,000","7,041,000,000","6,062,000,000","5,920,000,000","5,687,000,000","5,830,000,000","5,545,000,000","5,667,000,000","5,445,000,000","5,416,000,000","5,019,000,000","5,135,000,000","5,037,000,000","5,116,603,000","4,838,780,000","4,894,921,000","4,778,736,000","4,848,807,000","4,518,057,000","4,570,104,000","4,320,000,000","4,383,470,000","4,098,400,000","4,209,200,000","4,082,300,000","4,078,010,000","3,986,300,000","3,299,200,000","3,297,200,000","3,068,300,000","2,906,800,000","2,852,400,000","2,692,300,000","2,737,700,000","2,535,500,000","2,547,000,000","2,453,400,000","2,469,600,000","2,332,600,000","2,358,800,000","2,231,100,000","2,264,800,000","2,077,400,000","2,121,500,000","2,015,700,000","2,038,600,000","1,939,800,000","1,964,700,000","1,864,900,000","1,891,400,000","1,889,500,000","1,943,400,000","1,825,800,000","1,914,200,000","1,864,500,000","1,993,100,000","1,916,500,000","1,914,200,000","1,729,300,000","1,724,100,000","1,647,500,000","1,668,600,000","1,283,800,000","1,136,100,000","1,078,500,000","1,052,600,000","977,200,000","943,600,000","909,400,000","869,700,000","798,900,000","783,700,000","726,000,000","723,200,000","668,100,000","625,500,000","589,300,000"
	OperatingRevenue,"91,683,000,000","23,641,000,000","23,474,000,000","22,003,000,000","22,565,000,000","21,510,000,000","20,563,000,000","19,321,000,000","17,358,000,000","17,487,000,000","17,324,000,000","17,048,000,000","17,807,000,000","17,010,000,000","17,824,000,000","17,052,000,000","17,314,000,000","16,526,000,000","16,313,000,000","15,297,000,000","15,728,000,000","14,997,000,000","14,931,000,000","14,663,000,000","12,979,000,000","12,654,000,000","12,453,000,000","12,279,000,000","12,114,000,000","11,716,000,000","11,939,000,000","11,684,000,000","11,839,000,000","11,301,000,000","11,403,000,000","11,024,000,000","11,435,000,000","10,953,000,000","11,107,000,000","10,792,000,000","11,008,000,000","10,564,000,000","10,587,000,000","10,521,000,000","10,552,000,000","9,663,000,000","9,632,000,000","9,457,000,000","9,428,000,000","8,701,000,000","8,596,000,000","8,009,000,000","7,852,000,000","8,137,000,000","9,538,000,000","9,970,000,000","9,866,000,000","9,437,000,000","9,451,000,000","9,199,000,000","9,151,000,000","8,592,000,000","8,926,000,000","8,545,000,000","8,494,000,000","8,003,000,000","8,090,000,000","7,707,000,000","7,715,000,000","7,339,000,000","7,334,000,000","6,975,000,000","7,041,000,000","6,062,000,000","5,920,000,000","5,687,000,000","5,830,000,000","5,545,000,000","5,667,000,000","5,445,000,000","5,416,000,000","5,019,000,000","5,135,000,000","5,037,000,000","5,116,603,000","4,838,780,000","4,894,921,000","4,778,736,000","4,848,845,000","4,518,100,000","4,570,100,000","4,320,000,000","4,383,500,000","4,098,400,000","4,209,200,000","4,082,300,000","4,078,000,000","3,986,300,000","3,299,200,000","3,297,200,000","3,068,300,000","2,906,800,000","2,852,400,000","2,692,300,000","2,737,700,000","2,535,500,000","2,547,000,000","2,453,400,000","2,469,600,000","2,332,600,000","2,358,800,000","2,231,100,000","2,264,800,000","2,077,400,000","2,121,500,000","2,015,700,000","2,038,600,000","1,939,800,000","1,964,700,000","1,864,900,000","1,891,400,000","1,889,500,000","1,943,400,000","1,825,800,000","1,914,200,000","1,864,500,000","1,993,100,000","1,916,500,000","1,914,200,000","1,729,300,000","1,724,100,000","1,647,500,000","1,668,600,000","1,283,800,000","1,136,100,000","1,078,500,000","1,052,600,000","977,200,000","943,600,000","909,400,000","869,700,000","798,900,000","783,700,000","726,000,000","723,200,000","668,100,000","625,500,000","589,300,000"
CostOfRevenue,"72,075,000,000","18,750,000,000","18,532,000,000","17,417,000,000","17,376,000,000","17,335,000,000","16,232,000,000","15,062,000,000","13,894,000,000","14,375,000,000","14,052,000,000","13,552,000,000","13,602,000,000","13,612,000,000","14,073,000,000","13,579,000,000","13,067,000,000","13,117,000,000","12,656,000,000","11,910,000,000","11,827,000,000","11,812,000,000","11,563,000,000","11,328,000,000","11,195,000,000","9,783,000,000","9,587,000,000","9,472,000,000","11,038,000,000","9,229,000,000","9,398,000,000","9,230,000,000","9,132,000,000","9,145,000,000","9,098,000,000","8,819,000,000","8,898,000,000","8,899,000,000","8,961,000,000","3,978,000,000","5,850,000,000","3,308,000,000","1,711,000,000","1,795,000,000","9,922,000,000","1,529,000,000","1,411,000,000","1,404,000,000","1,386,000,000","1,214,000,000","1,154,000,000","1,067,000,000","932,000,000","1,085,000,000","1,627,000,000","2,726,000,000","5,032,000,000","1,230,000,000","1,222,000,000","1,186,000,000","1,182,000,000","1,196,000,000","1,168,000,000","1,140,000,000","1,128,000,000","1,154,000,000","1,168,000,000","1,330,000,000","1,172,000,000","1,170,000,000","1,168,000,000","1,118,000,000","1,136,000,000","948,000,000","894,000,000","858,000,000","884,000,000","904,000,000","930,000,000","888,000,000","864,000,000","888,000,000","944,000,000","864,000,000","868,628,000","835,392,000","814,706,000","781,370,000","1,930,734,000","386,473,000","787,012,000","2,294,800,000","-5,230,206,000","2,284,600,000","2,210,700,000","2,131,700,000","-5,052,245,000","2,221,500,000","1,767,500,000","1,654,700,000","1,570,700,000","1,557,200,000","1,496,500,000","1,394,100,000","1,388,700,000","1,361,900,000","1,313,300,000","1,205,800,000","1,221,600,000","1,148,300,000","1,114,200,000","1,058,000,000","849,600,000","819,600,000","799,100,000","776,500,000","777,700,000","771,100,000","770,600,000","724,000,000","731,500,000","807,500,000","784,400,000","735,600,000","802,800,000","819,200,000","891,900,000","800,700,000","830,800,000","769,300,000","761,200,000","715,800,000",,,,,,,,,,,,,,,,
GrossProfit,"19,608,000,000","4,891,000,000","4,942,000,000","4,586,000,000","5,189,000,000","4,175,000,000","4,331,000,000","4,259,000,000","3,464,000,000","3,112,000,000","3,272,000,000","3,496,000,000","4,205,000,000","3,398,000,000","3,751,000,000","3,473,000,000","4,247,000,000","3,409,000,000","3,657,000,000","3,387,000,000","3,901,000,000","3,185,000,000","3,368,000,000","3,335,000,000","1,784,000,000","2,871,000,000","2,866,000,000","2,807,000,000","1,076,000,000","2,487,000,000","2,541,000,000","2,454,000,000","2,707,000,000","2,156,000,000","2,305,000,000","2,205,000,000","2,537,000,000","2,054,000,000","2,146,000,000","6,814,000,000","5,158,000,000","7,256,000,000","8,876,000,000","8,726,000,000","630,000,000","8,134,000,000","8,221,000,000","8,053,000,000","8,042,000,000","7,487,000,000","7,442,000,000","6,942,000,000","6,920,000,000","7,052,000,000","7,911,000,000","7,244,000,000","4,834,000,000","8,207,000,000","8,229,000,000","8,013,000,000","7,969,000,000","7,396,000,000","7,758,000,000","7,405,000,000","7,366,000,000","6,849,000,000","6,922,000,000","6,377,000,000","6,543,000,000","6,169,000,000","6,166,000,000","5,857,000,000","5,905,000,000","5,114,000,000","5,026,000,000","4,829,000,000","4,946,000,000","4,641,000,000","4,737,000,000","4,557,000,000","4,552,000,000","4,131,000,000","4,191,000,000","4,173,000,000","4,247,975,000","4,003,388,000","4,080,215,000","3,997,366,000","2,918,073,000","4,131,584,000","3,783,092,000","2,025,200,000","9,613,676,000","1,813,800,000","1,998,500,000","1,950,600,000","9,130,255,000","1,764,800,000","1,531,700,000","1,642,500,000","1,497,600,000","1,349,600,000","1,355,900,000","1,298,200,000","1,349,000,000","1,173,600,000","1,233,700,000","1,247,600,000","1,248,000,000","1,184,300,000","1,244,600,000","1,173,100,000","1,415,200,000","1,257,800,000","1,322,400,000","1,239,200,000","1,260,900,000","1,168,700,000","1,194,100,000","1,140,900,000","1,159,900,000","1,082,000,000","1,159,000,000","1,090,200,000","1,111,400,000","1,045,300,000","1,101,200,000","1,115,800,000","1,083,400,000","960,000,000","962,900,000","931,700,000",,,,,,,,,,,,,,,,
OperatingExpense,"13,166,000,000","3,458,000,000","3,301,000,000","3,121,000,000","3,286,000,000","3,160,000,000","2,866,000,000","2,669,000,000","2,620,000,000","2,701,000,000","2,652,000,000","2,519,000,000","2,573,000,000","2,483,000,000","2,583,000,000","2,402,000,000","2,377,000,000","2,408,000,000","2,395,000,000","2,270,000,000","2,320,000,000","2,160,000,000","2,201,000,000","2,071,000,000","1,852,000,000","2,007,000,000","1,729,000,000","1,663,000,000","1,895,000,000","1,525,000,000","1,528,000,000","1,467,000,000","1,524,000,000","1,515,000,000","1,478,000,000","1,410,000,000","1,439,000,000","1,418,000,000","1,428,000,000","4,676,000,000","2,764,000,000","5,192,000,000","6,699,000,000","6,651,000,000","-1,648,000,000","6,388,000,000","6,299,000,000","6,210,000,000","6,059,000,000","5,850,000,000","5,659,000,000","5,504,000,000","5,367,000,000","5,579,000,000","5,787,000,000","5,380,000,000","-4,405,000,000","8,796,000,000","8,668,000,000","8,385,000,000","8,139,000,000","7,951,000,000","8,087,000,000","7,761,000,000","7,567,000,000","7,290,000,000","7,300,000,000","6,395,000,000","6,351,000,000","6,217,000,000","6,094,000,000","5,927,000,000","5,921,000,000","5,286,000,000","5,114,000,000","5,033,000,000","4,971,000,000","4,924,000,000","4,904,000,000","4,868,000,000","4,717,000,000","4,541,000,000","4,535,000,000","4,512,000,000","4,615,995,000","4,345,315,000","4,236,324,000","4,217,775,000","4,170,466,000","4,054,733,000","4,040,456,000","3,206,100,000","5,704,261,000","3,187,100,000","3,084,900,000","3,029,200,000","5,376,527,000","2,980,500,000","2,696,300,000","2,650,800,000","2,466,000,000","2,408,000,000","2,304,600,000","2,227,400,000","2,176,100,000","2,153,500,000","2,070,800,000","2,053,200,000","2,019,100,000","1,979,300,000","1,921,500,000","1,834,500,000","1,649,500,000","1,581,600,000","1,564,500,000","1,513,000,000","1,135,800,000","1,106,500,000","1,077,600,000","1,067,400,000","1,065,600,000","1,078,700,000","1,060,100,000","1,009,900,000","997,100,000","1,013,800,000","975,500,000","986,600,000","968,000,000","898,200,000","835,000,000","823,200,000",,,,,,,,,,,,,,,,
	SellingGeneralAndAdministration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4,103,000,000","2,221,000,000","4,649,000,000","6,181,000,000","6,142,000,000","-2,147,000,000","5,895,000,000","5,797,000,000","5,731,000,000","5,571,000,000","5,362,000,000","5,172,000,000","5,009,000,000","4,871,000,000","5,083,000,000","5,296,000,000","3,585,000,000","1,797,000,000","4,208,000,000","4,121,000,000","4,076,000,000","4,106,000,000","4,012,000,000","4,110,000,000","3,855,000,000","3,830,000,000","3,739,000,000","3,665,000,000","3,727,000,000","3,673,000,000","3,611,000,000","3,514,000,000","3,479,000,000","3,518,000,000","3,123,000,000","3,006,000,000","2,999,000,000","2,927,000,000","2,916,000,000","2,868,000,000","2,870,000,000","2,818,000,000","2,690,000,000","2,703,000,000","2,668,000,000","2,604,940,000","2,515,864,000","2,407,210,000","2,385,447,000","2,358,877,000","2,313,000,000","2,267,300,000","2,197,500,000","2,173,600,000","2,126,500,000","2,104,600,000","2,079,700,000","2,033,000,000","2,029,000,000","1,742,000,000","1,725,000,000","1,590,400,000","1,576,500,000","1,514,400,000","1,484,800,000","1,434,900,000","1,415,600,000","1,357,800,000","1,370,700,000","1,343,300,000","1,344,900,000","1,305,200,000","1,250,400,000","1,067,300,000","1,020,600,000","1,024,800,000","992,100,000","987,100,000","961,000,000","934,400,000","924,900,000","909,400,000","937,400,000","919,800,000","870,500,000","854,600,000","877,100,000","846,000,000","860,800,000","842,800,000","780,500,000","717,000,000","704,900,000",,,,,,,,,,,,,,,,
		GeneralAndAdministrativeExpense,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4,103,000,000","2,221,000,000","4,649,000,000","6,181,000,000","6,142,000,000","-2,147,000,000","5,895,000,000","5,797,000,000","5,731,000,000","5,571,000,000","5,362,000,000","5,172,000,000","5,009,000,000","4,871,000,000","5,083,000,000","5,296,000,000","3,585,000,000","1,797,000,000","4,208,000,000","4,121,000,000","4,076,000,000","4,106,000,000","4,012,000,000","4,110,000,000","3,855,000,000","3,830,000,000","3,739,000,000","3,665,000,000","3,727,000,000","3,673,000,000","3,611,000,000","3,514,000,000","3,479,000,000","3,518,000,000","3,123,000,000","3,006,000,000","2,999,000,000","2,927,000,000","2,916,000,000","2,868,000,000","2,870,000,000","2,818,000,000","2,690,000,000","2,703,000,000","2,668,000,000","2,604,940,000","2,515,864,000","2,407,210,000","2,385,447,000","2,358,877,000","2,313,000,000","2,267,300,000","2,197,500,000","2,173,600,000","2,126,500,000","2,104,600,000","2,079,700,000","2,033,000,000","2,029,000,000","1,742,000,000","1,725,000,000","1,590,400,000","1,576,500,000","1,514,400,000","1,484,800,000","1,434,900,000","1,415,600,000","1,357,800,000","1,370,700,000","1,343,300,000","1,344,900,000","1,305,200,000","1,250,400,000","1,067,300,000","1,020,600,000","1,024,800,000","992,100,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			SalariesAndWages,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4,103,000,000","4,092,000,000","4,021,000,000","3,982,000,000","4,004,000,000","3,866,000,000","3,828,000,000","3,779,000,000","3,803,000,000","3,677,000,000","3,549,000,000","3,424,000,000","3,377,000,000","3,265,000,000","3,414,000,000","3,503,000,000","3,585,000,000","24,788,000,000","-3,593,000,000","-3,510,000,000","-3,483,000,000","-3,515,000,000","-3,414,000,000","-3,526,000,000","-3,285,000,000","-3,266,000,000","-3,162,000,000","-3,081,000,000","-3,062,000,000","-3,087,000,000","-3,026,000,000","-2,930,000,000","-2,920,000,000","-2,950,000,000","-2,649,000,000","-2,559,000,000","-2,570,000,000","-2,485,000,000","-2,464,000,000","-2,403,000,000","-2,426,000,000","-2,386,000,000","-2,246,000,000","-2,231,000,000","-2,236,000,000","-2,170,626,000","-2,098,168,000","-1,999,857,000","-1,994,762,000","-1,966,864,000","-1,926,500,000","-1,873,800,000","-1,830,800,000","-1,820,300,000","-1,762,300,000","-1,756,900,000","-1,748,100,000","-1,707,300,000","-1,688,200,000","-1,425,500,000","-1,450,500,000","-1,318,100,000","-1,298,700,000","-1,247,200,000","-1,231,400,000","-1,186,900,000","-1,164,500,000","-1,121,000,000","-1,147,500,000","-1,124,300,000","-1,133,200,000","-1,105,900,000","-1,061,800,000","-1,067,300,000","-1,020,600,000","-1,024,800,000","-992,100,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			RentAndLandingFees,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"628,000,000","623,000,000","620,000,000","612,000,000","621,000,000","628,000,000","601,000,000","595,000,000","593,000,000","593,000,000","578,000,000","591,000,000","609,000,000","612,000,000","617,000,000","4,260,000,000","-615,000,000","-611,000,000","-593,000,000","-591,000,000","-598,000,000","-584,000,000","-570,000,000","-564,000,000","-577,000,000","-584,000,000","-665,000,000","-586,000,000","-585,000,000","-584,000,000","-559,000,000","-568,000,000","-474,000,000","-447,000,000","-429,000,000","-442,000,000","-452,000,000","-465,000,000","-444,000,000","-432,000,000","-444,000,000","-472,000,000","-432,000,000","-434,314,000","-417,696,000","-407,353,000","-390,685,000","-392,013,000","-386,500,000","-393,500,000","-366,700,000","-353,300,000","-364,200,000","-347,700,000","-331,600,000","-325,700,000","-340,800,000","-316,500,000","-274,500,000","-272,300,000","-277,800,000","-267,200,000","-253,400,000","-248,000,000","-251,100,000","-236,800,000","-223,200,000","-219,000,000","-211,700,000","-199,300,000","-188,600,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			OtherGandA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-628,000,000","1,576,000,000","1,518,000,000","-612,000,000","1,446,000,000","1,390,000,000","1,327,000,000","1,299,000,000","1,220,000,000","1,155,000,000","1,054,000,000","1,015,000,000","1,060,000,000","1,181,000,000","-617,000,000","-27,251,000,000","8,416,000,000","8,242,000,000","8,152,000,000","8,212,000,000","8,024,000,000","8,220,000,000","7,710,000,000","7,660,000,000","7,478,000,000","7,330,000,000","7,454,000,000","7,346,000,000","7,222,000,000","7,028,000,000","6,958,000,000","7,036,000,000","6,246,000,000","6,012,000,000","5,998,000,000","5,854,000,000","5,832,000,000","5,736,000,000","5,740,000,000","5,636,000,000","5,380,000,000","5,406,000,000","5,336,000,000","5,209,880,000","5,031,728,000","4,814,420,000","4,770,894,000","4,717,754,000","4,626,000,000","4,534,600,000","4,395,000,000","4,347,200,000","4,253,000,000","4,209,200,000","4,159,400,000","4,066,000,000","4,058,000,000","3,484,000,000","3,450,000,000","3,180,800,000","3,153,000,000","3,028,800,000","2,969,600,000","2,869,800,000","2,831,200,000","2,715,600,000","2,741,400,000","2,686,600,000","2,689,800,000","2,610,400,000","2,500,800,000","2,134,600,000","2,041,200,000","2,049,600,000","1,984,200,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
