name,ttm,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999,12/31/1998
TotalRevenue,"2,665,899,000","687,100,000","681,997,000","651,515,000","645,287,000","624,617,000","614,816,000","583,252,000","583,449,000","569,305,000","590,388,000","563,394,000","544,895,000","543,770,000","562,709,000","542,203,000","533,304,000","523,191,000","537,998,000","517,837,000","518,248,000","515,958,000","525,349,000","496,522,000","483,677,000","489,486,000","501,301,000","483,586,000","472,143,000","462,793,000","465,266,000","440,285,000","420,043,000","406,452,000","395,329,000","370,302,000","350,232,000","365,451,000","362,559,000","352,634,000","339,622,000","322,432,000","314,615,000","290,713,000","277,572,000","268,934,000","254,274,000","230,474,000","206,068,000","191,156,000","175,130,000","158,231,000","154,149,000","165,569,000","171,263,000","165,585,000","159,141,000","154,184,000","145,607,000","132,425,000","127,605,000","120,030,000","111,717,000","100,129,000","94,116,000","88,887,000","80,607,000","73,064,000","67,730,000","60,009,000","50,219,000","44,243,000","40,647,000","36,081,000","31,633,000","29,189,000","28,017,000","27,056,000","27,075,000","27,065,000","27,101,000","27,025,000","26,566,000","29,001,000","27,067,000","24,733,000","36,647,000","29,221,000","23,604,000","19,200,000","13,700,000","7,600,000","3,200,000","3,200,000"
	OperatingRevenue,"2,665,899,000","687,100,000","681,997,000","651,515,000","645,287,000","624,617,000","614,816,000","583,252,000","583,449,000","569,305,000","590,388,000","563,394,000","544,895,000","543,770,000","562,709,000","542,203,000","533,304,000","523,191,000","537,998,000","517,837,000","518,248,000","515,958,000","525,349,000","496,522,000","483,677,000","489,486,000","501,301,000","483,586,000","472,143,000","462,793,000","465,266,000","440,285,000","420,043,000","406,452,000","395,329,000","370,302,000","350,232,000","365,451,000","362,559,000","352,634,000","339,622,000","322,432,000","314,615,000","290,713,000","277,572,000","268,934,000","254,274,000","230,474,000","206,068,000","191,156,000","175,130,000","158,231,000","154,149,000","165,569,000","171,263,000","165,585,000","159,141,000","154,184,000","145,607,000","132,425,000","127,605,000","120,030,000","111,717,000","100,129,000","94,116,000","88,087,000","80,607,000","73,064,000","67,730,000","60,009,000","50,219,000","44,243,000","40,647,000","36,081,000","31,633,000","29,189,000","28,017,000","27,056,000","27,075,000","27,065,000","27,101,000","27,025,000","26,566,000","29,001,000","27,067,000","24,733,000","36,647,000","29,221,000","23,604,000","19,200,000","13,700,000","7,600,000","3,200,000","3,200,000"
CostOfRevenue,"513,240,000","135,073,000","128,678,000","120,904,000","128,585,000","114,979,000","111,967,000","106,040,000","101,238,000","88,642,000","90,918,000","90,767,000","88,178,000","86,714,000","93,440,000","91,009,000","89,645,000","87,387,000","90,541,000","89,770,000","87,912,000","85,262,000","84,949,000","84,343,000","82,230,000","85,683,000","84,658,000","85,659,000","82,596,000","79,348,000","81,952,000","79,462,000","75,662,000","72,883,000","66,943,000","64,917,000","60,302,000","60,885,000","62,681,000","60,287,000","57,594,000","55,606,000","55,920,000","52,448,000","50,673,000","48,963,000","46,828,000","44,579,000","41,416,000","39,129,000","36,456,000","33,665,000","36,582,000","36,023,000","38,913,000","38,178,000","36,688,000","35,239,000","33,348,000","29,637,000","28,815,000","26,524,000","24,781,000","22,518,000","21,287,000","19,567,000","18,458,000","17,057,000","15,728,000","13,914,000","11,544,000","10,099,000","9,425,000","8,311,000","7,428,000","6,781,000","6,478,000","6,218,000","6,406,000","7,585,000","7,831,000","8,657,000","7,325,000","10,609,000","15,399,000","10,583,000","10,990,000","7,588,000","6,322,000","5,300,000","2,900,000","2,100,000",,
GrossProfit,"2,152,659,000","552,027,000","553,319,000","530,611,000","516,702,000","509,638,000","502,849,000","477,212,000","482,211,000","480,663,000","499,470,000","472,627,000","456,717,000","457,056,000","469,269,000","451,194,000","443,659,000","435,804,000","447,457,000","428,067,000","430,336,000","430,696,000","440,400,000","412,179,000","401,447,000","403,803,000","416,643,000","397,927,000","389,547,000","383,445,000","383,314,000","360,823,000","344,381,000","333,569,000","328,386,000","305,385,000","289,930,000","304,566,000","299,878,000","292,347,000","282,028,000","266,826,000","258,695,000","238,265,000","226,899,000","219,971,000","207,446,000","185,895,000","164,652,000","152,027,000","138,674,000","124,566,000","117,567,000","129,546,000","132,350,000","127,407,000","122,453,000","118,945,000","112,259,000","102,788,000","98,790,000","93,506,000","86,936,000","77,611,000","72,829,000","69,320,000","62,149,000","56,007,000","52,002,000","46,095,000","38,675,000","34,144,000","31,222,000","27,770,000","24,205,000","22,408,000","21,539,000","20,838,000","20,669,000","19,480,000","19,270,000","18,368,000","19,241,000","18,392,000","11,668,000","14,150,000","25,657,000","21,633,000","17,282,000","13,900,000","10,800,000","5,500,000",,
OperatingExpense,"1,754,322,000","429,967,000","426,955,000","434,199,000","463,201,000","391,890,000","404,236,000","389,591,000","398,513,000","350,528,000","384,756,000","369,887,000","313,924,000","298,840,000","297,251,000","299,241,000","300,302,000","293,807,000","285,379,000","288,922,000","291,948,000","293,242,000","277,137,000","273,844,000","277,566,000","272,854,000","269,044,000","257,797,000","256,692,000","251,130,000","235,833,000","234,744,000","233,517,000","224,436,000","203,205,000","201,308,000","197,454,000","195,482,000","188,044,000","182,347,000","177,348,000","167,037,000","159,364,000","150,004,000","143,685,000","140,115,000","131,143,000","125,766,000","114,794,000","108,315,000","98,529,000","93,261,000","89,965,000","102,345,000","106,731,000","100,219,000","98,955,000","95,936,000","79,290,000","75,009,000","73,130,000","66,412,000","63,376,000","55,056,000","50,586,000","46,740,000","41,627,000","36,587,000","34,528,000","31,620,000","28,824,000","27,229,000","25,675,000","23,755,000","22,170,000","21,209,000","20,852,000","20,570,000","20,891,000","21,196,000","21,212,000","20,755,000","23,212,000","19,936,000","23,375,000","24,883,000","23,933,000","17,335,000","13,954,000","10,300,000","8,900,000","7,200,000",,
	SellingGeneralAndAdministration,"1,225,615,000","299,696,000","302,255,000","300,916,000","322,748,000","277,699,000","283,936,000","273,600,000","289,485,000","254,523,000","281,944,000","252,993,000","217,610,000","206,802,000","202,173,000","205,180,000","209,246,000","207,918,000","199,900,000","200,320,000","202,714,000","206,192,000","193,391,000","190,802,000","191,272,000","191,709,000","191,379,000","183,460,000","182,171,000","181,070,000","170,432,000","167,718,000","166,285,000","160,303,000","146,348,000","147,233,000","144,920,000","146,941,000","140,313,000","135,362,000","133,780,000","127,915,000","122,812,000","114,759,000","109,178,000","107,509,000","99,572,000","94,877,000","85,660,000","81,595,000","73,014,000","68,191,000","63,988,000","75,243,000","75,093,000","73,942,000","72,537,000","71,604,000","59,361,000","57,533,000","56,044,000","51,873,000","49,476,000","42,539,000","38,310,000","36,262,000","32,588,000","29,040,000","26,739,000","24,646,000","22,060,000","20,976,000","19,775,000","18,301,000","17,009,000","16,393,000","15,961,000","16,109,000","16,489,000","16,305,000","16,347,000","16,485,000","19,101,000","15,449,000","17,128,000","18,275,000","16,400,000","12,797,000","10,200,000","7,200,000","6,200,000","5,000,000",,
		GeneralAndAdministrativeExpense,"276,143,000","65,661,000","69,101,000","63,541,000","77,840,000","63,153,000","63,557,000","61,792,000","74,013,000","59,004,000","64,390,000","57,141,000","46,656,000","42,543,000","41,748,000","39,374,000","39,276,000","39,984,000","37,832,000","39,368,000","38,009,000","41,678,000","35,193,000","34,182,000","34,803,000","34,253,000","39,726,000","32,627,000","30,933,000","32,254,000","27,148,000","27,773,000","26,033,000","25,500,000","26,512,000","25,327,000","25,889,000","24,673,000","24,015,000","23,298,000","22,785,000","21,677,000","21,867,000","21,126,000","19,846,000","20,684,000","18,876,000","17,658,000","16,016,000","15,953,000","14,619,000","12,764,000","12,055,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			OtherGandA,"276,143,000","65,661,000","69,101,000","63,541,000","77,840,000","63,153,000","63,557,000","61,792,000","74,013,000","59,004,000","64,390,000","57,141,000","46,656,000","42,543,000","41,748,000","39,374,000","39,276,000","39,984,000","37,832,000","39,368,000","38,009,000","41,678,000","35,193,000","34,182,000","34,803,000","34,253,000","39,726,000","32,627,000","30,933,000","32,254,000","27,148,000","27,773,000","26,033,000","25,500,000","26,512,000","25,327,000","25,889,000","24,673,000","24,015,000","23,298,000","22,785,000","21,677,000","21,867,000","21,126,000","19,846,000","20,684,000","18,876,000","17,658,000","16,016,000","15,953,000","14,619,000","12,764,000","12,055,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		SellingAndMarketingExpense,"949,472,000","234,035,000","233,154,000","237,375,000","244,908,000","214,546,000","220,379,000","211,808,000","215,472,000","195,519,000","217,554,000","195,852,000","170,954,000","164,259,000","160,425,000","165,806,000","169,970,000","167,934,000","162,068,000","160,952,000","164,705,000","164,514,000","158,198,000","156,620,000","156,469,000","157,456,000","151,653,000","150,833,000","151,238,000","148,816,000","143,284,000","139,945,000","140,252,000","134,803,000","119,836,000","121,906,000","119,031,000","122,268,000","116,298,000","112,064,000","110,995,000","106,238,000","100,945,000","93,633,000","89,332,000","86,825,000","80,696,000","77,219,000","69,644,000","65,642,000","58,395,000","55,427,000","51,933,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
	ResearchAndDevelopment,"528,707,000","130,271,000","124,700,000","133,283,000","140,453,000","114,191,000","120,300,000","115,991,000","109,028,000","96,005,000","102,812,000","116,894,000","96,314,000","92,038,000","95,078,000","94,061,000","91,056,000","85,889,000","85,479,000","88,602,000","89,234,000","87,050,000","83,746,000","83,042,000","86,294,000","81,145,000","77,665,000","74,337,000","74,521,000","70,060,000","65,401,000","67,026,000","67,232,000","64,133,000","54,464,000","54,075,000","52,534,000","48,541,000","47,731,000","46,985,000","43,568,000","39,122,000","36,552,000","35,245,000","34,507,000","32,606,000","31,571,000","30,889,000","29,134,000","26,720,000","25,515,000","25,070,000","25,977,000","27,102,000","26,367,000","26,277,000","26,418,000","24,332,000","19,929,000","17,476,000","17,086,000","14,539,000","13,900,000","12,517,000","12,276,000","10,478,000","9,039,000","7,547,000","7,789,000","6,974,000","6,764,000","6,253,000","5,900,000","5,444,000","5,155,000","4,810,000","4,886,000","4,395,000","4,312,000","4,785,000","4,751,000","4,137,000","3,902,000","4,242,000","4,652,000","4,945,000","6,070,000","3,422,000","2,761,000","2,200,000","1,800,000","1,500,000",,
	DepreciationAmortizationDepletionIncomeStatement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0",,,"10,000","6,000","6,000","5,000","66,000","90,000","106,000","114,000","133,000","209,000","245,000","2,097,000","1,663,000","1,463,000","1,116,000","993,000","900,000","900,000","700,000",,
		DepreciationAndAmortizationInIncomeStatement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0",,,"10,000","6,000","6,000","5,000","66,000","90,000","106,000","114,000","133,000","209,000","245,000","2,097,000","1,663,000","1,463,000","1,116,000","993,000","900,000","900,000","700,000",,
			DepreciationIncomeStatement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"502,000",,,,,,,,,
			Amortization,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0",,,"10,000","6,000","6,000","5,000","66,000","90,000","106,000","114,000","133,000","209,000","245,000","1,595,000",,,,,,,,,
				AmortizationOfIntangiblesIncomeStatement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0",,,"10,000","6,000","6,000","5,000","66,000","90,000","106,000","114,000","133,000","209,000","245,000","1,595,000",,,,,,,,,
	OtherOperatingExpenses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,393,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-502,000",,,,,,,,,
OperatingIncome,"398,337,000","122,060,000","126,364,000","96,412,000","53,501,000","117,748,000","98,613,000","87,621,000","83,698,000","130,135,000","114,714,000","102,740,000","142,793,000","158,216,000","172,018,000","151,953,000","143,357,000","141,997,000","162,078,000","139,145,000","138,388,000","137,454,000","163,263,000","138,335,000","123,881,000","130,949,000","147,599,000","140,130,000","132,855,000","132,315,000","147,481,000","126,079,000","110,864,000","109,133,000","125,181,000","104,077,000","92,476,000","109,084,000","111,834,000","110,000,000","104,680,000","99,789,000","99,331,000","88,261,000","83,214,000","79,856,000","76,303,000","60,129,000","49,858,000","43,712,000","40,145,000","31,305,000","27,602,000","27,201,000","25,619,000","27,188,000","23,498,000","23,009,000","32,969,000","27,779,000","25,660,000","27,094,000","23,560,000","22,555,000","22,243,000","22,580,000","20,522,000","19,420,000","17,474,000","14,475,000","9,851,000","6,915,000","5,547,000","4,015,000","2,035,000","1,199,000","687,000","268,000","-222,000","-1,716,000","-1,942,000","-2,387,000","-3,971,000","-1,544,000","-11,707,000","-10,733,000","1,724,000","4,298,000","3,328,000","3,600,000","1,900,000","-1,700,000","3,200,000","3,200,000"
OtherIncomeExpense,"-16,745,000","-10,340,000","-2,865,000","-2,163,000","-1,377,000","-683,000","-1,090,000","141,000","-141,000","-2,580,000","3,397,000","4,722,000","7,434,000","7,095,000","-12,759,000","2,259,000","2,790,000","2,145,000","-8,216,000","2,588,000","1,437,000","2,643,000","-362,000","1,505,000","-8,815,000","1,135,000","1,865,000","720,000","3,266,000","2,594,000","2,323,000","1,193,000","23,000","246,000","732,000","2,874,000","2,118,000","1,550,000","909,000","1,713,000","1,428,000","1,861,000","4,087,000","1,889,000","1,568,000","2,545,000","68,000","3,561,000","2,291,000","1,705,000","1,682,000","3,027,000","-2,193,000","2,879,000","-1,758,000","3,716,000","5,589,000","6,132,000","-6,645,000","7,175,000","7,230,000","6,431,000","5,825,000","4,759,000","3,877,000","2,970,000","2,925,000","2,123,000","1,641,000","1,387,000","891,000","848,000","808,000","184,000","-375,000","352,000","312,000","462,000","-148,000","-2,484,000","273,000","505,000","627,000","562,000","1,207,000","-634,000",,,,,,,,
	SpecialIncomeCharges,"-7,909,000","-7,909,000","0","0","0","0","0","0","0","-7,800,000","0",,,,"-18,426,000","0","0","0","-13,243,000","-1,000","135,000","0","-630,000","527,000","-8,948,000",,,,,,,,,,,,,,"909,000","1,713,000","1,428,000","1,861,000","4,087,000","1,889,000","1,568,000","2,545,000","68,000","3,561,000","2,291,000","1,705,000","1,682,000","3,027,000","-2,193,000","2,879,000","-1,758,000","3,716,000","5,589,000","6,132,000","-6,645,000","7,175,000","7,230,000","6,431,000","5,825,000","4,759,000","3,877,000","2,970,000","2,925,000","2,123,000","1,641,000","1,387,000","891,000","848,000","808,000","184,000","-375,000","352,000","312,000","462,000","-148,000","-2,484,000","273,000","505,000","627,000","562,000","1,207,000","-634,000",,,,,,,,
		RestructuringAndMergernAcquisition,"7,909,000","7,909,000","0","0","0","0","0","0","0","7,800,000","0",,,,"18,426,000",,,"0","12,718,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","0","0",,"0","0","4,329,000",,,,,,,,,,,,,,,,,,,,,,,,,,"503,000","2,771,000",,,"0",,"-96,000",,,,,,,,,
		OtherSpecialCharges,,,,,,,,,,,,,,,,,,,"525,000","1,000","-135,000",,"630,000","-527,000","8,948,000",,,,,,,,,,,,,,,,,,,,,,"-68,000","-3,561,000","-2,291,000",,"-1,682,000","-3,027,000","-2,136,000",,,,,,,,,,,,,,,,,,,,,,,,,,"-355,000","-287,000",,,"-627,000",,"-1,111,000",,,,,,,,,
	OtherNonOperatingIncomeExpenses,"-8,836,000","-2,431,000","-2,865,000","-2,163,000","-1,377,000","-683,000","-1,090,000","141,000","-141,000","5,220,000","3,397,000","4,722,000","7,434,000","7,095,000","5,667,000","2,259,000","2,790,000","2,145,000","5,027,000","2,589,000","1,302,000","2,643,000","268,000","978,000","133,000","1,135,000","1,865,000","720,000","3,266,000","2,594,000","2,323,000","1,193,000","23,000","246,000","732,000","2,874,000","2,118,000","1,550,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PretaxIncome,"381,592,000","111,720,000","123,499,000","94,249,000","52,124,000","117,065,000","97,523,000","87,762,000","83,557,000","127,555,000","118,111,000","107,462,000","150,227,000","165,311,000","159,259,000","154,212,000","146,147,000","144,142,000","153,862,000","141,733,000","139,825,000","140,097,000","162,901,000","139,840,000","115,066,000","132,084,000","149,464,000","140,850,000","136,121,000","134,909,000","149,804,000","127,272,000","110,887,000","109,379,000","125,913,000","106,951,000","94,594,000","110,634,000","112,743,000","111,713,000","106,108,000","101,650,000","103,418,000","90,150,000","84,782,000","82,401,000","76,371,000","63,690,000","52,149,000","45,417,000","41,827,000","34,332,000","25,409,000","30,080,000","29,132,000","30,904,000","29,087,000","29,141,000","26,324,000","34,954,000","32,890,000","33,525,000","29,385,000","27,314,000","26,120,000","24,750,000","23,447,000","21,543,000","19,115,000","15,862,000","10,742,000","7,763,000","6,355,000","4,199,000","1,660,000","1,551,000","999,000","730,000","-370,000","-4,200,000","-1,669,000","-1,882,000","-3,344,000","-982,000","-11,002,000","-11,367,000","2,213,000","5,153,000",,,,,,
TaxProvision,"44,470,000","18,161,000","12,781,000","4,645,000","8,883,000","29,387,000","19,860,000","17,890,000","22,178,000","29,028,000","23,274,000","21,557,000","34,140,000","34,406,000","26,378,000","31,469,000","36,511,000","55,713,000","18,119,000","44,071,000","46,687,000","45,879,000","53,966,000","48,051,000","39,651,000","42,368,000","52,427,000","47,678,000","50,392,000","45,833,000","55,783,000","47,799,000","41,246,000","41,331,000","49,682,000","38,773,000","31,182,000","41,141,000","45,026,000","39,377,000","37,467,000","35,158,000","35,808,000","27,601,000","29,207,000","26,738,000","28,136,000","23,195,000","19,005,000","16,138,000","13,477,000","11,556,000","6,423,000","8,657,000","9,431,000","11,770,000","11,342,000","11,390,000","13,442,000","13,145,000","12,934,000","11,172,000","11,633,000","10,349,000","10,053,000","9,529,000","7,796,000","7,566,000","7,003,000","5,869,000","-5,039,000","347,000","400,000","398,000","307,000","152,000","184,000","210,000","53,000","146,000","101,000","189,000","8,163,000","629,000","-2,260,000","-2,437,000","797,000","1,308,000",,,,,,
NetIncomeCommonStockholders,"337,122,000","93,559,000","110,718,000","89,604,000","43,241,000","87,678,000","77,663,000","69,872,000","61,379,000","98,527,000","94,837,000","85,905,000","116,087,000","130,905,000","132,881,000","122,743,000","109,636,000","88,429,000","135,743,000","97,662,000","93,138,000","94,218,000","108,935,000","91,789,000","75,415,000","89,716,000","97,037,000","93,172,000","85,729,000","89,076,000","94,021,000","79,473,000","69,641,000","68,048,000","76,231,000","68,178,000","63,412,000","69,493,000","67,717,000","72,336,000","68,641,000","66,492,000","67,610,000","62,549,000","55,575,000","55,663,000","48,235,000","40,495,000","33,144,000","29,279,000","28,350,000","22,776,000","18,986,000","21,423,000","19,701,000","19,134,000","17,745,000","17,751,000","12,882,000","21,809,000","19,956,000","22,353,000","17,752,000","16,965,000","16,067,000","15,221,000","15,651,000","13,977,000","12,112,000","9,993,000","15,781,000","7,416,000","5,955,000","3,801,000","1,353,000","1,399,000","815,000","520,000","-423,000","-4,346,000","-1,770,000","-2,071,000","-11,507,000","-1,611,000","-8,742,000","-8,930,000","1,416,000","3,845,000","4,146,000","4,200,000","2,400,000","-1,500,000","-2,600,000","-2,600,000"
	NetIncome,"337,122,000","93,559,000","110,718,000","89,604,000","43,241,000","87,678,000","77,663,000","69,872,000","61,379,000","98,527,000","94,837,000","85,905,000","116,087,000","130,905,000","132,881,000","122,743,000","109,636,000","88,429,000","135,743,000","97,662,000","93,138,000","94,218,000","108,935,000","91,789,000","75,415,000","89,716,000","97,037,000","93,172,000","85,729,000","89,076,000","94,021,000","79,473,000","69,641,000","68,048,000","76,231,000","68,178,000","63,412,000","69,493,000","67,717,000","72,336,000","68,641,000","66,492,000","67,610,000","62,549,000","55,575,000","55,663,000","48,235,000","40,495,000","33,144,000","29,279,000","28,350,000","22,776,000","18,986,000","21,423,000","19,701,000","19,134,000","17,745,000","17,751,000","12,882,000","21,809,000","19,956,000","22,353,000","17,752,000","16,965,000","16,067,000","15,221,000","15,651,000","13,977,000","12,112,000","9,993,000","15,781,000","7,416,000","5,955,000","3,801,000","1,353,000","1,399,000","815,000","520,000","-423,000","-4,346,000","-1,770,000","-2,071,000","-11,507,000","-1,611,000","-8,742,000","-8,930,000","1,416,000","3,845,000","4,146,000","4,200,000","2,400,000","-1,500,000","-2,600,000","-2,600,000"
		NetIncomeIncludingNoncontrollingInterests,"337,122,000","93,559,000","110,718,000","89,604,000","43,241,000","87,678,000","77,663,000","69,872,000","61,379,000","98,527,000","94,837,000","85,905,000","116,087,000","130,905,000","132,881,000","122,743,000","109,636,000","88,429,000","135,743,000","97,662,000","93,138,000","94,218,000","108,935,000","91,789,000","75,415,000","89,716,000","97,037,000","93,172,000","85,729,000","89,076,000","94,021,000","79,473,000","69,641,000","68,048,000","76,231,000","68,178,000","63,412,000","69,493,000","67,717,000","72,336,000","68,641,000","66,492,000","67,610,000","62,549,000","55,575,000","55,663,000","48,235,000","40,495,000","33,144,000","29,279,000","28,350,000","22,776,000","18,986,000","21,423,000","19,701,000","19,134,000","17,745,000","17,751,000","12,882,000","21,809,000","19,956,000","22,353,000","17,752,000","16,965,000","16,067,000","15,221,000","15,651,000","13,977,000","12,112,000","9,993,000","15,781,000","7,416,000","5,955,000","3,801,000","1,353,000","1,399,000","815,000","520,000","-423,000","-4,346,000","-1,770,000","-2,071,000","-11,507,000","-1,611,000","-8,742,000","-8,930,000","1,416,000","3,845,000","4,146,000","4,200,000","2,400,000","-1,500,000","-2,600,000","-2,600,000"
