name,ttm,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999,12/31/1998,09/30/1998,06/30/1998,03/31/1998,12/31/1997,09/30/1997,06/30/1997,03/31/1997,12/31/1996,09/30/1996,06/30/1996,03/31/1996,12/31/1995,09/30/1995,06/30/1995,03/31/1995,12/31/1994,09/30/1994,06/30/1994,03/31/1994,12/31/1993,09/30/1993,06/30/1993,03/31/1993,12/31/1992,09/30/1992,06/30/1992,03/31/1992,12/31/1991,09/30/1991,06/30/1991,03/31/1991,12/31/1990,09/30/1990,06/30/1990,03/31/1990,12/31/1989,09/30/1989,06/30/1989,03/31/1989,12/31/1988,09/30/1988,06/30/1988,03/31/1988,12/31/1987,09/30/1987,06/30/1987,03/31/1987,12/31/1986,09/30/1986,06/30/1986,03/31/1986,12/31/1985,09/30/1985
TotalRevenue,"7,646,000,000","1,939,000,000","1,923,000,000","1,896,000,000","1,896,000,000","1,788,000,000","1,871,000,000","1,827,000,000","1,886,000,000","1,862,000,000","1,930,000,000","1,857,000,000","1,604,000,000","1,612,000,000","1,543,000,000","1,545,000,000","1,451,000,000","1,434,000,000","1,448,000,000","1,447,000,000","1,401,000,000","1,438,000,000","1,438,000,000","1,427,000,000","1,479,000,000","1,521,000,000","1,546,000,000","1,487,000,000","1,432,000,000","1,460,000,000","1,373,000,000","1,470,000,000","1,412,000,000","1,534,000,000","1,478,000,000","1,646,000,000","1,583,000,000","1,325,000,000","1,574,000,000","1,573,000,000","1,667,000,000","1,289,000,000","1,563,000,000","1,520,000,000","1,463,000,000","1,461,000,000","1,739,000,000","1,502,000,000","1,524,000,000","1,093,000,000","1,726,000,000","3,414,000,000","1,473,000,000","912,000,000","1,780,000,000","1,460,000,000","1,684,000,000","926,000,000","1,476,000,000","1,446,000,000","1,384,000,000","958,000,000","1,375,000,000","1,365,000,000","1,328,000,000","1,363,000,000","1,359,000,000","1,385,000,000","1,358,000,000","1,222,000,000","1,368,000,000","1,511,087,000","1,376,148,000","1,325,042,000","1,408,170,000","1,360,355,000","1,294,434,000","1,281,339,000","1,285,330,000","1,184,888,000","1,142,442,000","1,122,568,000","1,073,309,000","1,032,539,000","685,427,000","641,240,000","625,372,000","612,781,000","603,607,000","882,800,000","482,300,000","573,533,000","445,200,000","440,500,000","417,700,000","397,900,000","324,300,000","315,700,000","301,400,000","293,500,000","279,900,000","276,500,000","272,500,000","263,300,000","245,300,000","233,700,000","223,100,000","208,200,000","204,100,000","196,400,000","194,700,000","175,500,000","177,700,000","169,800,000","168,600,000","164,300,000","160,500,000","160,200,000","150,400,000","146,400,000","137,200,000","132,900,000","128,400,000","123,600,000","119,300,000","112,500,000","110,500,000","105,700,000","104,200,000",,,,,,,,,,,,,,,,,,
	OperatingRevenue,"7,646,000,000","1,939,000,000","1,923,000,000","1,896,000,000","1,896,000,000","1,788,000,000","1,871,000,000","1,827,000,000","1,886,000,000","1,862,000,000","1,930,000,000","1,857,000,000","1,604,000,000","1,612,000,000","1,543,000,000","1,545,000,000","1,451,000,000","1,434,000,000","1,448,000,000","1,447,000,000","1,401,000,000","1,438,000,000","1,438,000,000","1,427,000,000","1,479,000,000","1,521,000,000","1,546,000,000","1,487,000,000","1,432,000,000","1,460,000,000","1,373,000,000","1,470,000,000","1,412,000,000","1,534,000,000","1,478,000,000","1,646,000,000","1,583,000,000","1,325,000,000","1,574,000,000","1,573,000,000","1,667,000,000","1,289,000,000","1,563,000,000","1,520,000,000","1,463,000,000","1,461,000,000","1,739,000,000","1,502,000,000","1,524,000,000","1,093,000,000","1,726,000,000","3,414,000,000","1,473,000,000","912,000,000","1,780,000,000","1,460,000,000","1,684,000,000","926,000,000","1,476,000,000","1,446,000,000","1,384,000,000","958,000,000","1,375,000,000","1,365,000,000","1,328,000,000","1,363,000,000","1,359,000,000","1,385,000,000","1,358,000,000","1,222,000,000","1,368,000,000","1,511,087,000","1,376,148,000","1,325,042,000","1,408,170,000","1,360,355,000","1,294,434,000","1,281,339,000","1,285,330,000","1,184,888,000","1,142,442,000","1,122,568,000","1,073,309,000","1,032,539,000","685,427,000","641,240,000","625,372,000","612,781,000","603,607,000","882,800,000","482,300,000","573,533,000","445,200,000","440,500,000","417,700,000","397,900,000","324,300,000","315,700,000","301,400,000","293,500,000","279,900,000","276,500,000","272,500,000","263,300,000","245,300,000","233,700,000","223,100,000","208,200,000","204,100,000","196,400,000","194,700,000","175,500,000","177,700,000","169,800,000","168,600,000","164,300,000","160,500,000","160,200,000","150,400,000","146,400,000","137,200,000","132,900,000","128,400,000","123,600,000","119,300,000","112,500,000","110,500,000","105,700,000","104,200,000",,,,,,,,,,,,,,,,,,
PretaxIncome,"3,517,000,000","828,000,000","895,000,000","911,000,000","883,000,000","746,000,000","746,000,000","244,000,000","60,000,000","941,000,000","689,000,000","577,000,000","996,000,000","723,000,000","512,000,000","693,000,000","836,000,000","392,000,000","1,489,000,000","494,000,000","396,000,000","509,000,000","694,000,000","427,000,000","435,000,000","948,000,000","515,000,000","417,000,000","485,000,000","519,000,000","464,000,000","606,000,000","438,000,000","561,000,000","604,000,000","841,000,000","591,000,000","540,000,000","503,000,000","565,000,000","603,000,000","418,000,000","530,000,000","506,000,000","377,000,000","417,000,000","303,000,000","242,000,000","-22,000,000","-214,000,000","-108,000,000","1,352,000,000","-262,000,000","-2,843,000,000","-128,000,000","-117,000,000","425,000,000","64,000,000","443,000,000","522,000,000","507,000,000","52,000,000","521,000,000","535,000,000","519,000,000","466,000,000","558,000,000","597,000,000","586,000,000","223,000,000","694,000,000","679,502,000","640,840,000","601,060,000","661,218,000","645,119,000","619,603,000","631,050,000","601,222,000","591,544,000","570,183,000","554,943,000","406,629,000","239,162,000","361,479,000","345,533,000","337,921,000","283,191,000","308,355,000","301,000,000","262,900,000","272,020,000","229,000,000","226,300,000","221,000,000","92,100,000","164,600,000","162,100,000","154,800,000","145,600,000","141,500,000","138,900,000","118,400,000","124,800,000","118,300,000","115,600,000","112,900,000","102,800,000","99,300,000","96,600,000","92,400,000","86,200,000","82,400,000","78,300,000","77,800,000","71,600,000","67,300,000","65,000,000","63,800,000","58,700,000","52,200,000","54,100,000","51,600,000","48,700,000","44,300,000","45,500,000","44,400,000","41,600,000","36,800,000",,,,,,,,,,,,,,,,,,
TaxProvision,"747,000,000","165,000,000","191,000,000","202,000,000","189,000,000","142,000,000","165,000,000","49,000,000","14,000,000","207,000,000","140,000,000","124,000,000","221,000,000","251,000,000","79,000,000","107,000,000","132,000,000","-117,000,000","475,000,000","127,000,000","91,000,000","120,000,000","178,000,000","98,000,000","108,000,000","292,000,000","134,000,000","108,000,000","124,000,000","134,000,000","124,000,000","167,000,000","119,000,000","159,000,000","183,000,000","250,000,000","179,000,000","145,000,000","139,000,000","180,000,000","173,000,000","104,000,000","149,000,000","169,000,000","112,000,000","84,000,000","65,000,000","50,000,000","-12,000,000","-116,000,000","-11,000,000","470,000,000","-312,000,000","-701,000,000","-72,000,000","85,000,000","139,000,000","47,000,000","118,000,000","146,000,000","148,000,000","-13,000,000","144,000,000","153,000,000","160,000,000","135,000,000","163,000,000","180,000,000","181,000,000","47,000,000","223,000,000","231,792,000","210,524,000","183,882,000","213,073,000","207,446,000","200,599,000","207,206,000","184,483,000","187,282,000","180,029,000","168,833,000","127,027,000","110,274,000","117,175,000","109,016,000","109,895,000","91,103,000","101,986,000","110,000,000","89,400,000","91,848,000","78,600,000","76,300,000","76,900,000","34,300,000","55,600,000","54,900,000","51,400,000","49,500,000","47,000,000","45,200,000","39,300,000","41,600,000","39,200,000","37,700,000","37,700,000","34,300,000","33,200,000","31,900,000","29,600,000","28,800,000","27,600,000","26,000,000","26,200,000","23,700,000","22,700,000","20,700,000","20,600,000","18,300,000","16,000,000","17,200,000","15,400,000","14,300,000","13,500,000","13,500,000","12,400,000","11,700,000","10,300,000",,,,,,,,,,,,,,,,,,
NetIncomeCommonStockholders,"2,652,000,000","625,000,000","683,000,000","673,000,000","672,000,000","566,000,000","560,000,000","162,000,000","28,000,000","680,000,000","530,000,000","423,000,000","752,000,000","444,000,000","413,000,000","557,000,000","681,000,000","481,000,000","989,000,000","340,000,000","286,000,000","362,000,000","496,000,000","307,000,000","309,000,000","628,000,000","362,000,000","289,000,000","343,000,000","358,000,000","325,000,000","412,000,000","306,000,000","380,000,000","418,000,000","578,000,000","410,000,000","379,000,000","354,000,000","376,000,000","421,000,000","299,000,000","373,000,000","328,000,000","88,000,000","267,000,000","175,000,000","130,000,000","-72,000,000","-163,000,000","-159,000,000","856,000,000","-26,000,000","-2,183,000,000","-81,000,000","-202,000,000","286,000,000","17,000,000","325,000,000","376,000,000","359,000,000","64,000,000","377,000,000","382,000,000","363,000,000","331,000,000","394,000,000","417,000,000","405,000,000","176,000,000","470,000,000","447,525,000","430,131,000","460,495,000","437,198,000","437,488,000","418,819,000","423,399,000","416,554,000","404,077,000","389,969,000","385,446,000","279,417,000","128,703,000","244,304,000","236,517,000","228,026,000","192,088,000","206,369,000","191,000,000","173,500,000","180,172,000","150,400,000","150,000,000","144,100,000","57,800,000","109,000,000","107,200,000","103,400,000","96,100,000","94,500,000","93,700,000","79,100,000","83,200,000","79,100,000","77,900,000","75,200,000","68,500,000","66,100,000","64,700,000","62,800,000","57,400,000","54,800,000","52,300,000","51,600,000","47,900,000","44,600,000","44,300,000","43,200,000","40,400,000","36,200,000","36,900,000","36,200,000","34,400,000","30,800,000","32,000,000","32,000,000","29,900,000","26,500,000",,,,,,,,,,,,,,,,,,
	NetIncome,"2,770,000,000","663,000,000","704,000,000","709,000,000","694,000,000","604,000,000","581,000,000","195,000,000","46,000,000","734,000,000","549,000,000","453,000,000","775,000,000","472,000,000","433,000,000","586,000,000","704,000,000","509,000,000","1,014,000,000","367,000,000","305,000,000","389,000,000","516,000,000","333,000,000","327,000,000","656,000,000","381,000,000","315,000,000","361,000,000","385,000,000","340,000,000","439,000,000","318,000,000","403,000,000","421,000,000","591,000,000","422,000,000","398,000,000","363,000,000","385,000,000","430,000,000","314,000,000","381,000,000","337,000,000","265,000,000","333,000,000","238,000,000","192,000,000","-10,000,000","-98,000,000","-97,000,000","882,000,000","50,000,000","-2,142,000,000","-56,000,000","-202,000,000","286,000,000","17,000,000","325,000,000","376,000,000","359,000,000","65,000,000","377,000,000","382,000,000","363,000,000","331,000,000","395,000,000","417,000,000","405,000,000","176,000,000","471,000,000","447,710,000","430,316,000","460,940,000","437,383,000","437,673,000","419,004,000","423,844,000","416,739,000","404,262,000","390,154,000","385,891,000","279,602,000","128,888,000","244,304,000","236,517,000","228,026,000","192,088,000","206,369,000","191,000,000","173,500,000","180,172,000","150,400,000","150,000,000","144,100,000","57,800,000","109,000,000","107,200,000","103,400,000","96,100,000","94,500,000","93,700,000","79,100,000","83,200,000","79,100,000","77,900,000","75,200,000","68,500,000","66,100,000","64,700,000","62,800,000","57,400,000","54,800,000","52,300,000","51,600,000","47,900,000","44,600,000","44,300,000","43,200,000","40,400,000","36,200,000","36,900,000","36,200,000","34,400,000","30,800,000","32,000,000","32,000,000","29,900,000","26,500,000",,,,,,,,,,,,,,,,,,
		NetIncomeIncludingNoncontrollingInterests,"2,770,000,000","663,000,000","704,000,000","709,000,000","694,000,000","604,000,000","581,000,000","195,000,000","46,000,000","734,000,000","549,000,000","453,000,000","775,000,000","472,000,000","433,000,000","586,000,000","704,000,000","509,000,000","1,014,000,000","367,000,000","305,000,000","389,000,000","516,000,000","329,000,000","327,000,000","656,000,000","381,000,000","309,000,000","361,000,000","385,000,000","340,000,000","439,000,000","319,000,000","402,000,000","421,000,000","591,000,000","412,000,000","395,000,000","364,000,000","385,000,000","430,000,000","314,000,000","381,000,000","337,000,000","265,000,000","333,000,000","238,000,000","192,000,000","-10,000,000","-98,000,000","-97,000,000","882,000,000","50,000,000","-2,142,000,000","-56,000,000","-202,000,000","286,000,000","17,000,000","325,000,000","376,000,000","359,000,000","65,000,000","377,000,000","382,000,000","363,000,000","331,000,000","395,000,000","417,000,000","405,000,000","176,000,000","471,000,000","447,710,000","430,316,000","460,482,000","437,383,000","447,902,000","429,233,000","433,564,000","426,161,000","413,691,000","399,583,000","387,891,000","279,602,000","128,888,000","244,304,000","236,517,000","228,026,000","192,088,000","206,369,000","191,000,000","173,500,000","180,172,000","150,400,000","150,000,000","144,100,000","57,800,000","109,000,000","107,200,000","103,400,000","96,100,000","94,500,000","93,700,000","79,100,000","83,200,000","79,100,000","77,900,000","75,200,000","68,500,000","66,100,000","64,700,000","62,800,000","57,400,000","54,800,000","52,300,000","51,600,000","47,900,000","44,600,000","44,300,000","43,200,000","40,400,000","36,200,000","36,900,000","36,200,000","34,400,000","30,800,000","32,000,000","32,000,000","29,900,000","26,500,000","36,500,000","25,500,000","24,800,000","21,600,000","22,900,000","21,900,000","21,600,000","17,700,000","15,300,000","16,000,000","15,100,000","13,700,000","16,700,000","13,700,000","12,500,000","12,200,000","13,300,000","11,100,000"
			NetIncomeContinuousOperations,"2,770,000,000","663,000,000","704,000,000","709,000,000","694,000,000","604,000,000","581,000,000","195,000,000","46,000,000","734,000,000","549,000,000","453,000,000","775,000,000","472,000,000","433,000,000","586,000,000","704,000,000","509,000,000","1,014,000,000","367,000,000","305,000,000","389,000,000","516,000,000","329,000,000","327,000,000","656,000,000","381,000,000","309,000,000","361,000,000","385,000,000","340,000,000","439,000,000","319,000,000","402,000,000","421,000,000","591,000,000","412,000,000","395,000,000","364,000,000","385,000,000","430,000,000","314,000,000","381,000,000","337,000,000","265,000,000","333,000,000","238,000,000","192,000,000","-10,000,000","-98,000,000","-97,000,000","882,000,000","50,000,000","-2,142,000,000","-56,000,000","-202,000,000","286,000,000","17,000,000","325,000,000","376,000,000","359,000,000","65,000,000","377,000,000","382,000,000","359,000,000","331,000,000","395,000,000","417,000,000","405,000,000","176,000,000","471,000,000","447,710,000","430,316,000","417,178,000","448,145,000","437,673,000","419,004,000","423,844,000","416,739,000","404,262,000","390,154,000","386,110,000","279,602,000","128,888,000","244,304,000","236,517,000","228,026,000","192,088,000","206,369,000","191,000,000","173,500,000","180,172,000","150,400,000","150,000,000","144,100,000","57,800,000","109,000,000","107,200,000","103,400,000","96,100,000","94,500,000","93,700,000","79,100,000","83,200,000","79,100,000","77,900,000","75,200,000","68,500,000","66,100,000","64,700,000","62,800,000","57,400,000","54,800,000","52,300,000","51,600,000","47,900,000","44,600,000","44,300,000","43,200,000","40,400,000","36,200,000","36,900,000","36,200,000","34,400,000","30,800,000","32,000,000","32,000,000","29,900,000","26,500,000","36,500,000","25,500,000","24,800,000","21,600,000","22,900,000","21,900,000","21,600,000","17,700,000","15,300,000","16,000,000","15,100,000","13,700,000","16,700,000","13,700,000","12,500,000","12,200,000","13,300,000","11,100,000"
			NetIncomeExtraordinary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0",,,"4,000,000",,,,,,,,,"-238,000","-10,762,000",,,,,,,"-219,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		MinorityInterests,,,,,,,,,,"0","0","0","0","0","0","0","0","0","0","0","0","0",,"4,000,000","0","0","0","6,000,000","0","0","0","0","-1,000,000","1,000,000","0","0","10,000,000","3,000,000","-1,000,000","0","0","0","0","0","0","0","0",,,,,,,,,,,,,,,,,,,,,,,,,,,"458,000",,"-10,229,000","-10,229,000","-9,720,000","-9,422,000","-9,429,000","-9,429,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
