name,ttm,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999,12/31/1998,09/30/1998,06/30/1998,03/31/1998,12/31/1997,09/30/1997,06/30/1997,03/31/1997,12/31/1996,09/30/1996,06/30/1996,03/31/1996,12/31/1995,09/30/1995,06/30/1995,03/31/1995,12/31/1994,09/30/1994,06/30/1994,03/31/1994,12/31/1993,09/30/1993,06/30/1993,03/31/1993,12/31/1992,09/30/1992,06/30/1992,03/31/1992,12/31/1991,09/30/1991,06/30/1991,03/31/1991,12/31/1990,09/30/1990,06/30/1990,03/31/1990,12/31/1989,09/30/1989,06/30/1989,03/31/1989,12/31/1988,09/30/1988,06/30/1988,03/31/1988,12/31/1987,09/30/1987,06/30/1987,03/31/1987,12/31/1986,09/30/1986,06/30/1986,03/31/1986
TotalRevenue,"4,960,000,000","1,345,133,000","1,284,936,000","1,212,206,000","1,117,725,000","1,063,351,000","985,045,000","905,371,000","899,551,000","861,754,000","814,152,000","794,303,000","783,780,000","786,207,000","750,413,000","725,305,000","705,540,000","683,071,000","654,901,000","625,961,000","589,214,000","587,691,000","545,462,000","524,986,000","510,420,000","486,602,000","459,882,000","447,329,000","415,175,000","441,672,000","431,545,000","401,527,000","374,371,000","392,518,000","354,269,000","357,595,000","364,143,000","331,100,000","342,660,000","327,236,000","308,542,000","306,082,000","295,635,000","279,907,000","285,560,000","271,112,000","254,430,000","223,247,000","239,403,000","-4,027,431,000","303,900,000","22,272,000","19,091,000","19,340,000","24,926,000","17,956,000","17,026,000","17,005,000","28,136,000","13,142,000","11,809,000","13,857,000","26,002,000","12,979,000","14,881,000","17,314,000","21,600,000","12,769,000","9,307,000","8,124,000","9,888,000","4,793,000","7,140,000","6,579,000","6,819,000","6,835,000","6,848,000","7,293,000","16,142,000","1,400,000","1,700,000","1,300,000","2,200,000","1,800,000","1,900,000","1,400,000","1,300,000","1,200,000","2,100,000","1,300,000","700,000","0","-900,000","-500,000","-1,100,000","-1,300,000","-7,700,000","-600,000","-1,000,000","-100,000","0","-3,500,000","300,000","700,000","-100,000","-300,000","-800,000","200,000","-900,000","-600,000","-900,000","-400,000","-800,000","-900,000","-900,000","-500,000","200,000","-200,000","-4,600,000","200,000",,,,,,,,,,,,,,
	OperatingRevenue,"4,960,000,000","1,345,133,000","1,284,936,000","1,212,206,000","1,117,725,000","1,063,351,000","985,045,000","905,371,000","899,551,000","861,754,000","814,152,000","794,303,000","783,780,000","786,207,000","750,413,000","725,305,000","705,540,000","683,071,000","654,901,000","625,961,000","589,214,000","587,691,000","545,462,000","524,986,000","510,420,000","486,602,000","459,882,000","447,329,000","415,175,000","441,672,000","431,545,000","401,527,000","374,371,000","392,518,000","354,269,000","357,595,000","364,143,000","331,100,000","342,660,000","327,236,000","308,542,000","306,082,000","295,635,000","279,907,000","285,560,000","271,112,000","254,430,000","223,247,000","239,403,000","-4,027,431,000","303,900,000","22,272,000","19,091,000","19,340,000","24,926,000","17,956,000","17,026,000","17,005,000","28,136,000","13,142,000","11,809,000","13,857,000","26,002,000","12,979,000","14,881,000","17,314,000","21,600,000","12,769,000","9,307,000","8,124,000","9,888,000","4,793,000","7,140,000","6,579,000","6,819,000","6,835,000","6,848,000","7,293,000","16,142,000","1,400,000","1,700,000","1,300,000","2,200,000","1,800,000","1,900,000","1,400,000","1,300,000","1,200,000","2,100,000","1,300,000","700,000","0","-900,000","-500,000","-1,100,000","-1,300,000","-7,700,000","-600,000","-1,000,000","-100,000","0","-3,500,000","300,000","700,000","-100,000","-300,000","-800,000","200,000","-900,000","-600,000","-900,000","-400,000","-800,000","-900,000","-900,000","-500,000","200,000","-200,000","-4,600,000","200,000",,,,,,,,,,,,,,
OperatingIncome,,,,,,,,,,,,,,,,,,,"241,814,000",,,,,,,,,,,,,,,"196,432,000",,,,,,,,,,,,,,,,,"-50,286,000",,,,"-38,863,000",,"-35,365,000",,,,,"-26,212,000","-23,875,000","-24,199,000",,,,,"-22,641,000",,,,,,"-15,368,000",,,,,,,,,"-6,800,000",,,,,,,,"-4,600,000",,,,,,,,,,,,,,"-3,800,000",,,,,,,,,,,"-2,000,000",,,,,,,,,,,,,,,,,
PretaxIncome,"1,828,000,000","477,504,000","470,086,000","451,565,000","428,845,000","379,255,000","364,515,000","318,406,000","271,789,000","309,039,000","286,531,000","269,322,000","268,344,000","287,079,000","266,197,000","252,187,000","246,279,000","236,573,000","241,814,000","220,298,000","213,517,000","228,785,000","202,139,000","200,793,000","195,879,000","181,881,000","178,229,000","175,180,000","155,378,000","158,463,000","188,768,000","165,523,000","157,129,000","196,432,000","148,172,000","152,550,000","166,405,000","157,597,000","147,765,000","140,806,000","134,306,000","140,779,000","138,851,000","132,144,000","142,958,000","126,700,000","114,565,000","108,000,000","120,381,000",,"37,281,000","20,929,000","23,524,000","24,957,000","24,567,000","24,423,000","22,573,000","21,302,000","20,963,000","18,701,000","19,282,000","16,800,000","22,571,000","13,613,000","17,873,000","18,893,000","17,251,000","10,627,000","9,519,000","12,324,000","15,705,000","12,243,000","11,072,000","10,163,000","10,672,000","10,617,000","10,375,000","11,348,000","9,496,000","10,700,000","10,500,000","10,000,000","9,000,000","9,100,000","8,500,000","8,600,000","7,300,000","7,900,000","7,500,000","6,900,000","6,000,000","5,600,000","5,000,000","4,800,000","2,700,000","2,200,000","-5,300,000","2,400,000","2,400,000","4,300,000","4,400,000","1,200,000","5,900,000","5,900,000","4,500,000","4,900,000","4,000,000","5,800,000","5,500,000","4,600,000","3,800,000","3,300,000","2,900,000","2,500,000","1,900,000","1,700,000","1,500,000","400,000","600,000","500,000",,,,,,,,,,,,,,
TaxProvision,"350,000,000","77,130,000","100,399,000","78,459,000","94,012,000","83,695,000","71,378,000","61,638,000","53,103,000","62,709,000","51,687,000","46,758,000","41,753,000","55,661,000","52,651,000","42,406,000","47,196,000","42,296,000","41,805,000","33,698,000","36,743,000","49,667,000","30,321,000","35,796,000","47,013,000","41,835,000","43,387,000","43,835,000","39,466,000","43,004,000","52,757,000","44,691,000","42,425,000","82,372,000","36,189,000","38,831,000","44,097,000","47,486,000","45,069,000","42,274,000","41,635,000","49,016,000","49,986,000","46,142,000","52,895,000","49,535,000","46,972,000","46,255,000","50,883,000",,"6,777,000","3,526,000","6,263,000","7,737,000","8,305,000","8,267,000","7,957,000","7,509,000","7,766,000","6,631,000","7,921,000","6,929,000","9,434,000","5,692,000","7,034,000","7,257,000","4,781,000","4,331,000","3,937,000","4,902,000","4,714,000","5,732,000","5,211,000","4,806,000","5,027,000","5,003,000","4,890,000","5,329,000","4,374,000","5,100,000","4,700,000","4,300,000","3,800,000","3,800,000","3,600,000","3,600,000","3,100,000","3,300,000","3,100,000","2,900,000","2,500,000","2,300,000","2,000,000","2,000,000","1,100,000","900,000","-2,200,000","1,000,000","800,000","1,700,000","1,900,000","500,000","2,500,000","2,500,000","1,900,000","2,000,000","1,600,000","2,400,000","2,200,000","1,900,000","1,500,000","1,300,000","1,200,000","1,000,000","600,000","500,000","500,000","100,000","300,000","200,000",,,,,,,,,,,,,,
NetIncomeCommonStockholders,"1,379,000,000","367,981,000","345,260,000","349,451,000","316,308,000","279,488,000","278,321,000","241,951,000","205,666,000","235,622,000","222,057,000","209,776,000","213,804,000","215,190,000","196,434,000","197,618,000","186,861,000","180,005,000","185,737,000","172,256,000","161,622,000","161,742,000","154,441,000","147,621,000","132,406,000","124,732,000","119,528,000","116,934,000","102,023,000","101,570,000","122,122,000","106,943,000","100,815,000","101,260,000","101,594,000","104,013,000","114,532,000","103,577,000","97,029,000","80,616,000","89,307,000","90,691,000","87,793,000","84,832,000","88,772,000","75,967,000","66,395,000","60,547,000","68,300,000","707,207,000","15,418,000","15,533,000","15,391,000","15,350,000","14,392,000","14,285,000","12,746,000","12,592,000","12,108,000","10,981,000","10,272,000","9,182,000","6,654,000","7,921,000","10,839,000","11,636,000","7,101,000","6,296,000","12,748,000","7,422,000","7,333,000","6,511,000","5,861,000","5,357,000","5,522,000","5,614,000","5,485,000","6,019,000","5,122,000","5,600,000","5,800,000","5,700,000","5,200,000","5,300,000","4,900,000","5,000,000","4,200,000","4,600,000","4,400,000","4,000,000","3,500,000","3,300,000","3,000,000","2,800,000","1,600,000","1,300,000","-3,100,000","1,400,000","1,600,000","2,600,000","2,500,000","700,000","3,400,000","3,400,000","2,600,000","2,900,000","2,400,000","3,400,000","3,300,000","2,700,000","2,200,000","1,900,000","1,600,000","1,400,000","1,200,000","1,100,000","1,000,000","300,000","300,000","300,000","300,000","200,000","400,000","100,000","300,000","100,000","200,000","200,000","200,000","100,000","200,000","100,000","100,000","100,000"
	NetIncome,"1,478,000,000","400,374,000","369,687,000","373,106,000","334,833,000","295,560,000","293,137,000","256,768,000","218,686,000","246,330,000","234,844,000","222,564,000","226,591,000","231,418,000","213,546,000","209,781,000","199,083,000","194,277,000","200,009,000","186,600,000","176,774,000","179,118,000","171,818,000","164,997,000","148,866,000","140,046,000","134,842,000","131,345,000","115,912,000","115,459,000","136,011,000","120,832,000","114,704,000","114,060,000","111,983,000","113,719,000","122,308,000","110,111,000","102,696,000","97,907,000","91,758,000","90,691,000","87,793,000","84,832,000","88,772,000","75,967,000","66,395,000","60,547,000","68,300,000","707,207,000","17,288,000","17,403,000","17,261,000","17,220,000","16,262,000","16,156,000","14,616,000","13,793,000","13,197,000","12,070,000","11,361,000","9,871,000","6,654,000","7,921,000","10,839,000","11,636,000","7,101,000","6,296,000","12,748,000","7,422,000","7,333,000","6,511,000","5,861,000","5,357,000","5,522,000","5,614,000","5,485,000","6,019,000","5,122,000","5,600,000","5,800,000","5,700,000","5,200,000","5,300,000","4,900,000","5,000,000","4,200,000","4,600,000","4,400,000","4,000,000","3,500,000","3,300,000","3,000,000","2,800,000","1,600,000","1,300,000","-3,100,000","1,400,000","1,600,000","2,600,000","2,500,000","700,000","3,400,000","3,400,000","2,600,000","2,900,000","2,400,000","3,400,000","3,300,000","2,700,000","2,300,000","2,000,000","1,700,000","1,500,000","1,300,000","1,200,000","1,000,000","300,000","300,000","300,000","300,000","200,000","400,000","100,000","300,000","100,000","200,000","200,000","200,000","100,000","200,000","100,000","100,000","100,000"
		NetIncomeIncludingNoncontrollingInterests,"1,478,000,000","400,374,000","369,687,000","373,106,000","334,833,000","295,560,000","293,137,000","256,768,000","218,686,000","246,330,000","234,844,000","222,564,000","226,591,000","231,418,000","213,546,000","209,781,000","199,083,000","194,277,000","200,009,000","186,600,000","176,774,000","179,118,000","171,818,000","164,997,000","148,866,000","140,046,000","134,842,000","131,345,000","115,912,000","115,459,000","136,011,000","120,832,000","114,704,000","114,060,000","111,983,000","113,719,000","122,308,000","110,111,000","102,696,000","98,532,000","92,671,000","91,763,000","88,865,000","86,002,000","90,063,000","77,165,000","67,593,000","61,745,000","69,498,000","707,207,000","40,316,000","14,132,000","13,991,000","13,949,000","39,156,000","12,885,000","11,346,000","10,522,000","36,100,000","8,800,000","9,463,000","7,972,000","17,667,000","5,951,000","9,545,000","10,370,000","16,439,000","4,894,000","11,331,000","6,272,000","13,711,000","5,577,000","4,959,000","4,473,000","4,637,000","4,730,000","4,618,000","5,117,000","4,319,000","4,800,000","5,500,000","5,700,000","5,200,000","5,300,000","4,900,000","5,000,000","4,200,000","4,600,000","4,400,000","4,000,000","3,500,000","3,300,000","3,000,000","2,800,000","1,600,000","1,300,000","-3,100,000","1,400,000","1,600,000","2,600,000","2,500,000","700,000","3,400,000","3,400,000","2,600,000","2,900,000","2,400,000","3,400,000","3,300,000","2,700,000","2,300,000","2,000,000","1,700,000","1,500,000","1,300,000","1,200,000","1,000,000","300,000","300,000","300,000","300,000","200,000","400,000","100,000","300,000","100,000","200,000","200,000","200,000","100,000","200,000","100,000","100,000","100,000"
			NetIncomeContinuousOperations,"1,478,000,000","400,374,000","369,687,000","373,106,000","334,833,000","295,560,000","293,137,000","256,768,000","218,686,000","246,330,000","234,844,000","222,564,000","226,591,000","231,418,000","213,546,000","209,781,000","199,083,000","194,277,000","200,009,000","186,600,000","176,774,000","179,118,000","171,818,000","164,997,000","148,866,000","140,046,000","134,842,000","131,345,000","115,912,000","115,459,000","136,011,000","120,832,000","114,704,000","114,060,000","111,983,000","113,719,000","122,308,000","110,111,000","102,696,000","98,532,000","92,671,000","91,763,000","88,865,000","86,002,000","90,063,000","77,165,000","67,593,000","61,745,000","69,498,000","707,207,000","30,504,000","17,403,000","17,261,000","17,220,000","29,344,000","16,156,000","14,616,000","13,793,000","26,284,000","12,070,000","11,361,000","9,871,000","13,137,000","7,921,000","10,839,000","11,636,000","7,101,000","6,296,000","5,582,000","7,422,000","7,333,000","6,511,000","5,861,000","5,357,000","5,645,000","5,614,000","5,485,000","6,019,000","5,122,000","5,600,000","5,800,000","5,700,000","5,200,000","5,300,000","4,900,000","5,000,000","4,200,000","4,600,000","4,400,000","4,000,000","3,500,000","3,300,000","3,000,000","2,800,000","1,600,000","1,300,000","-3,100,000","1,400,000","1,600,000","2,600,000","2,500,000","700,000","3,400,000","3,400,000","2,600,000","2,900,000","2,400,000","3,400,000","3,300,000","2,700,000","2,300,000","2,000,000","1,700,000","1,500,000","1,300,000","1,200,000","1,000,000","300,000","300,000","300,000","300,000","200,000","400,000","100,000","300,000","100,000","200,000","200,000","200,000","100,000","200,000","100,000","100,000","100,000"
			NetIncomeFromTaxLossCarryforward,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"7,166,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
