name,ttm,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999,12/31/1998,09/30/1998,06/30/1998,03/31/1998,12/31/1997,09/30/1997,06/30/1997,03/31/1997,12/31/1996,09/30/1996,06/30/1996,03/31/1996,12/31/1995,09/30/1995,06/30/1995,03/31/1995,12/31/1994,09/30/1994,06/30/1994,03/31/1994,12/31/1993,09/30/1993,06/30/1993,03/31/1993,12/31/1992,09/30/1992,06/30/1992,03/31/1992,12/31/1991,09/30/1991,06/30/1991,03/31/1991,12/31/1990,09/30/1990,06/30/1990,03/31/1990,12/31/1989,09/30/1989,06/30/1989,03/31/1989,12/31/1988,09/30/1988,06/30/1988,03/31/1988,12/31/1987,09/30/1987,06/30/1987,03/31/1987,12/31/1986,09/30/1986,06/30/1986,03/31/1986,12/31/1985,09/30/1985
TotalRevenue,"951,224,000","254,154,000","247,284,000","231,625,000","218,161,000","219,513,000","208,197,000","176,227,000","231,557,000","239,149,000","233,947,000","230,465,000","232,227,000","235,376,000","229,753,000","224,902,000","225,405,000","223,957,000","217,953,000","208,049,000","207,389,000","204,109,000","201,157,000","197,981,000","198,344,000","192,507,000","185,252,000","181,461,000","184,792,000","176,377,000","170,938,000","167,947,000","170,828,000","163,846,000","159,030,000","157,947,000","157,752,000","156,364,000","157,805,000","147,560,000","146,289,000","141,466,000","137,664,000","136,279,000","138,481,000","138,305,000","134,064,000","133,835,000","138,470,000","138,613,000","130,992,000","130,338,000","131,201,000","133,376,000","131,767,000","129,694,000","127,223,000","112,206,000","129,338,000","123,604,000","122,501,000","120,492,000","113,405,000","108,744,000","108,905,000","105,302,000","101,839,000","101,330,000","103,507,000","99,884,000","100,157,000","99,880,000","96,173,000","99,398,000","87,229,000","86,409,000","85,306,000","89,437,000","78,333,000","75,828,000","76,318,000","79,877,000","75,524,000","73,398,000","71,703,000","72,790,000","68,581,000","68,806,000","69,104,000","69,613,000","67,200,000","64,200,000","62,900,000","64,978,000","59,000,000","58,300,000","55,400,000","48,571,000","49,800,000","57,800,000","48,600,000","47,455,000","44,300,000","43,500,000","43,900,000","41,489,000","39,000,000","36,600,000","36,900,000","36,564,000","34,800,000","32,500,000","33,700,000","30,500,000","28,900,000","28,100,000","26,600,000","28,500,000","24,500,000","24,100,000","25,100,000","25,800,000","23,900,000","24,400,000","23,700,000","24,400,000","22,400,000","23,500,000","21,600,000","22,600,000","19,500,000","27,400,000","20,700,000","17,400,000","16,700,000","17,000,000","17,000,000","21,300,000","15,200,000","15,300,000","13,300,000","11,800,000","11,300,000","11,100,000","10,600,000","9,700,000","8,200,000"
	OperatingRevenue,"951,224,000","254,154,000","247,284,000","231,625,000","218,161,000","219,513,000","208,197,000","176,227,000","231,557,000","239,149,000","233,947,000","230,465,000","232,227,000","231,729,000","224,570,000","221,210,000","221,338,000","221,561,000","212,782,000","204,981,000","205,199,000","201,653,000","198,398,000","194,493,000","196,032,000","190,061,000","182,773,000","177,041,000","182,327,000","172,966,000","167,316,000","163,622,000","167,428,000","161,338,000","155,550,000","155,032,000","154,484,000","136,147,000","157,805,000","147,560,000","146,289,000","141,466,000","137,664,000","136,279,000","138,481,000","136,936,000","132,969,000","132,764,000","137,404,000","137,353,000","129,883,000","129,031,000","129,934,000","132,170,000","130,659,000","128,576,000","127,895,000","110,092,000","130,124,000","124,297,000","123,135,000","121,072,000","115,096,000","109,265,000","109,316,000","103,007,000","102,219,000","102,785,000","103,969,000","98,515,000","100,724,000","100,269,000","96,173,000","99,398,000","87,229,000","86,960,000","85,306,000","89,437,000","78,333,000","75,828,000","76,318,000","81,164,000","75,524,000","73,398,000","71,703,000","66,246,000","68,581,000","68,806,000","69,104,000","62,400,000","67,200,000","64,200,000","62,900,000","65,000,000","59,000,000","58,300,000","55,400,000","53,600,000","49,800,000","57,800,000","48,600,000","47,100,000","44,300,000","43,500,000","43,900,000","41,200,000","39,000,000","36,600,000","36,900,000","36,500,000","34,800,000","32,500,000","33,700,000","30,500,000","28,900,000","28,100,000","26,600,000","28,500,000","24,500,000","24,100,000","25,100,000","25,800,000","23,900,000","24,400,000","23,700,000","24,400,000","22,400,000","23,500,000","21,600,000","22,600,000","19,500,000","27,400,000","20,700,000","17,400,000","16,700,000","17,000,000","17,000,000","21,300,000","15,200,000","15,300,000","13,300,000","11,800,000","11,300,000","11,100,000","10,600,000","9,700,000","8,200,000"
CostOfRevenue,"316,617,000","86,871,000","78,847,000","72,241,000","78,658,000","77,418,000","72,352,000","67,016,000","73,376,000","76,693,000","83,514,000","66,604,000","71,947,000","75,442,000","70,995,000","68,212,000","73,221,000","74,138,000","68,742,000","63,650,000","66,199,000","64,063,000","63,561,000","60,375,000","65,613,000","62,051,000","56,243,000","53,290,000","61,833,000","53,242,000","52,282,000","50,569,000","55,830,000","50,095,000","47,445,000","45,879,000","47,166,000","96,864,000","29,679,000","26,906,000","26,110,000","28,419,000","26,595,000","25,132,000","29,599,000","42,146,000","42,403,000","40,486,000","45,107,000","45,697,000","38,852,000","39,901,000","42,597,000","43,090,000","42,322,000","40,652,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GrossProfit,"634,607,000","167,283,000","168,437,000","159,384,000","139,503,000","142,095,000","135,845,000","109,211,000","158,181,000","162,456,000","150,433,000","163,861,000","160,280,000","159,934,000","158,758,000","156,690,000","152,184,000","149,819,000","149,211,000","144,399,000","141,190,000","140,046,000","137,596,000","137,606,000","132,731,000","130,456,000","129,009,000","128,171,000","122,959,000","123,135,000","118,656,000","117,378,000","114,998,000","113,751,000","111,585,000","112,068,000","110,586,000","59,500,000","128,126,000","120,654,000","120,179,000","113,047,000","111,069,000","111,147,000","108,882,000","96,159,000","91,661,000","93,349,000","93,363,000","92,916,000","92,140,000","90,437,000","88,604,000","90,286,000","89,445,000","89,042,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OperatingExpense,"329,832,000","92,315,000","82,864,000","80,521,000","74,132,000","76,731,000","74,939,000","72,598,000","72,439,000","72,138,000","70,708,000","70,479,000","69,187,000","76,596,000","68,416,000","66,794,000","66,039,000","66,662,000","64,714,000","61,309,000","59,646,000","56,569,000","57,135,000","57,471,000","55,809,000","54,542,000","53,092,000","51,970,000","50,837,000","51,525,000","51,034,000","49,017,000","51,554,000","50,281,000","46,884,000","48,155,000","47,681,000","-6,313,000","61,003,000","58,875,000","59,632,000","55,814,000","54,312,000","53,813,000","52,128,000","36,965,000","35,435,000","37,021,000","34,307,000","34,320,000","34,159,000","34,909,000","33,737,000","36,466,000","34,033,000","34,834,000","72,224,000","65,737,000","72,189,000","68,923,000","69,274,000","68,242,000","62,779,000","59,943,000","61,338,000","58,867,000","57,872,000","58,837,000","60,331,000","61,370,000","60,996,000","59,858,000","56,428,000","55,346,000","50,055,000","67,694,000","85,439,000","182,525,000","45,149,000","73,583,000","42,439,000","45,858,000","41,477,000","75,231,000","38,942,000","40,232,000","36,441,000","36,150,000","36,654,000","247,929,000","-32,700,000","-31,000,000","-31,900,000","223,604,000","-34,900,000","-28,300,000","-28,200,000","192,812,000","-26,400,000","-26,300,000","-25,200,000","175,352,000","-22,600,000","-23,300,000","-25,000,000","153,570,000","-21,300,000","-20,500,000","-19,700,000","144,544,000","-20,800,000","-17,800,000","-19,900,000","-16,600,000","-16,000,000","-15,400,000","-14,300,000","-11,400,000","-14,100,000","-12,900,000","-13,300,000","-11,300,000","-10,500,000","-10,300,000","-10,100,000","-11,600,000","-9,600,000","-9,000,000","-9,100,000","-9,100,000","-8,300,000","-8,600,000",,,,,,,,,,,,,,,
	SellingGeneralAndAdministration,"49,856,000","14,499,000","12,253,000","12,846,000","10,258,000","12,307,000","9,308,000","9,814,000","10,251,000","10,707,000","11,060,000","11,422,000","9,565,000","9,620,000","7,638,000","8,413,000","7,929,000","10,268,000","9,103,000","8,643,000","8,267,000","8,121,000","8,232,000","9,036,000","8,010,000","8,119,000","9,374,000","9,299,000","8,853,000","8,114,000","8,374,000","8,124,000","7,704,000","9,068,000","7,543,000","8,302,000","7,057,000","8,264,000","8,751,000","7,139,000","7,004,000","9,342,000","7,197,000","6,395,000","6,051,000","7,127,000","5,844,000","5,843,000","5,375,000","5,862,000","5,749,000","5,276,000","5,145,000","7,281,000","5,391,000","7,039,000","6,934,000","7,304,000","6,631,000","6,036,000","5,604,000","5,593,000","6,265,000","4,981,000","4,501,000","5,468,000","4,957,000","4,981,000","4,503,000","4,721,000","4,673,000","4,588,000","4,182,000","2,178,000","3,221,000","3,147,000","3,274,000","3,581,000","3,713,000","3,497,000","2,999,000","4,310,000","3,516,000","3,322,000","3,133,000","4,283,000","3,245,000","2,868,000","2,922,000","4,220,000","5,400,000","3,200,000","2,300,000","3,096,000","2,900,000","4,000,000","1,800,000","3,193,000","2,000,000","2,500,000","2,100,000","3,000,000","2,300,000","2,100,000","1,700,000","2,805,000","1,700,000","1,400,000","1,400,000","2,261,000","1,300,000","1,800,000","1,400,000","1,400,000","1,000,000","1,300,000","1,000,000",,,"800,000","1,000,000","1,200,000","600,000","800,000","900,000","1,100,000","800,000","1,000,000","600,000","1,200,000","600,000","900,000",,,,,,,,,,,,,,,
		GeneralAndAdministrativeExpense,"49,856,000","14,499,000","12,253,000","12,846,000","10,258,000","12,307,000","9,308,000","9,814,000","10,251,000","10,707,000","11,060,000","11,422,000","9,565,000","9,620,000","7,638,000","8,413,000","7,929,000","10,268,000","9,103,000","8,643,000","8,267,000","8,121,000","8,232,000","9,036,000","8,010,000","8,119,000","9,374,000","9,299,000","8,853,000","8,114,000","8,374,000","8,124,000","7,704,000","9,068,000","7,543,000","8,302,000","7,057,000",,,,,,,,,,,,,,,,,,,,"6,934,000","7,304,000","6,631,000","6,036,000","5,604,000","5,593,000","6,265,000","4,981,000","4,501,000","5,468,000","4,957,000","4,981,000","4,503,000","4,721,000","4,673,000","4,588,000","4,182,000","2,178,000","3,221,000","3,147,000","3,274,000","3,581,000","3,713,000","3,497,000","2,999,000","4,310,000","3,516,000","3,322,000","3,133,000","4,283,000","3,245,000","2,868,000","2,922,000","4,220,000","5,400,000","3,200,000","2,300,000","3,096,000","2,900,000","4,000,000","1,800,000","3,193,000","2,000,000","2,500,000","2,100,000","3,000,000","2,300,000","2,100,000","1,700,000","2,805,000","1,700,000","1,400,000","1,400,000","2,261,000","1,300,000","1,800,000","1,400,000","1,400,000","1,000,000","1,300,000","1,000,000",,,"800,000","1,000,000","1,200,000","600,000","800,000","900,000","1,100,000","800,000","1,000,000","600,000","1,200,000","600,000","900,000",,,,,,,,,,,,,,,
			SalariesAndWages,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6,934,000","7,304,000","6,631,000","6,036,000","5,604,000","5,593,000","6,265,000","4,981,000","4,501,000","5,468,000","4,957,000","4,981,000","4,503,000","4,721,000","4,673,000","4,588,000","4,182,000","2,178,000","3,221,000","3,147,000","3,274,000","3,581,000","3,713,000","3,497,000","2,999,000","4,310,000","3,516,000","3,322,000","3,133,000","4,283,000","3,245,000","2,868,000","2,922,000","4,200,000","5,400,000","3,200,000","2,300,000","3,100,000","2,900,000","4,000,000","1,800,000","3,200,000","2,000,000","2,500,000","2,100,000","3,000,000","2,300,000","2,100,000","1,700,000","2,800,000","1,700,000","1,400,000","1,400,000","2,300,000","1,300,000","1,800,000","1,400,000","1,400,000","1,000,000","1,300,000","1,000,000",,,"800,000","1,000,000","1,200,000","600,000","800,000","900,000","1,100,000","800,000","1,000,000","600,000","1,200,000","600,000","900,000",,,,,,,,,,,,,,,
			OtherGandA,"49,856,000","14,499,000","12,253,000","12,846,000","10,258,000","12,307,000","9,308,000","9,814,000","10,251,000","10,707,000","11,060,000","11,422,000","9,565,000","9,620,000","7,638,000","8,413,000","7,929,000","10,268,000","9,103,000","8,643,000","8,267,000","8,121,000","8,232,000","9,036,000","8,010,000","8,119,000","9,374,000","9,299,000","8,853,000","8,114,000","8,374,000","8,124,000","7,704,000","9,068,000","7,543,000","8,302,000","7,057,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
	DepreciationAmortizationDepletionIncomeStatement,"279,976,000","77,816,000","70,611,000","67,675,000","63,874,000","64,424,000","65,631,000","62,784,000","62,188,000","61,431,000","59,648,000","59,057,000","59,622,000","66,976,000","60,778,000","58,381,000","58,110,000","56,394,000","55,611,000","52,666,000","51,379,000","48,448,000","48,903,000","48,435,000","47,799,000","46,423,000","43,718,000","42,671,000","41,984,000","43,411,000","42,660,000","40,893,000","43,850,000","41,213,000","39,341,000","39,853,000","40,624,000","35,337,000","34,932,000","35,199,000","36,571,000","31,853,000","32,068,000","31,871,000","30,569,000","29,838,000","29,591,000","31,178,000","28,932,000","28,458,000","28,410,000","29,633,000","28,592,000","29,185,000","28,642,000","27,795,000","25,400,000","23,132,000","26,071,000","26,526,000","26,357,000","25,562,000","23,979,000","24,172,000","24,036,000","21,828,000","22,591,000","22,956,000","22,538,000","22,561,000","23,666,000","23,235,000","20,622,000","20,866,000","18,710,000","18,125,000","17,449,000","16,425,000","16,074,000","15,927,000","15,986,000","15,804,000","15,153,000","14,813,000","14,144,000","13,826,000","13,440,000","13,338,000","12,655,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
