name,ttm,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014
TotalRevenue,"5,254,700,000","1,376,300,000","1,299,500,000","1,319,700,000","1,259,200,000","-552,600,000","1,902,300,000","1,571,200,000","1,713,500,000","2,002,400,000","1,860,000,000","1,864,700,000","1,592,900,000","1,015,900,000","1,840,100,000","1,856,000,000","1,740,700,000","1,806,700,000","1,685,300,000","1,628,800,000","1,535,200,000","1,627,100,000","1,567,400,000","1,555,100,000","1,474,700,000","1,561,400,000","1,524,600,000","1,564,900,000","1,513,500,000","1,687,400,000"
	OperatingRevenue,"5,254,700,000","1,376,300,000","1,299,500,000","1,319,700,000","1,259,200,000","-552,600,000","1,902,300,000","1,571,200,000","1,713,500,000","2,002,400,000","1,860,000,000","1,864,700,000","1,592,900,000","1,015,900,000","1,840,100,000","1,856,000,000","1,740,700,000","1,806,700,000","1,685,300,000","1,628,800,000","1,535,200,000","1,627,100,000","1,567,400,000","1,555,100,000","1,474,700,000","1,561,400,000","1,524,600,000","1,564,900,000","1,513,500,000","1,687,400,000"
CostOfRevenue,"2,247,600,000","580,800,000","555,300,000","564,200,000","547,300,000","-487,600,000","918,900,000","756,900,000","837,700,000","966,500,000","932,300,000","960,700,000","780,200,000","428,600,000","915,800,000","917,100,000","869,900,000","896,700,000","845,900,000","823,700,000","791,200,000","830,500,000","794,500,000","787,000,000","779,500,000","823,200,000","777,400,000","800,100,000","782,800,000","882,000,000"
GrossProfit,"3,007,100,000","795,500,000","744,200,000","755,500,000","711,900,000","-65,000,000","983,400,000","814,300,000","875,800,000","1,035,900,000","927,700,000","904,000,000","812,700,000","587,300,000","924,300,000","938,900,000","870,800,000","910,000,000","839,400,000","805,100,000","744,000,000","796,600,000","772,900,000","768,100,000","695,200,000","738,200,000","747,200,000","764,800,000","730,700,000","805,400,000"
OperatingExpense,"2,194,300,000","592,400,000","543,400,000","544,200,000","514,300,000","102,000,000","673,000,000","623,200,000","670,900,000","740,700,000","685,600,000","654,500,000","595,400,000","451,000,000","602,900,000","556,500,000","532,600,000","554,200,000","483,500,000","456,800,000","449,100,000","458,900,000","449,700,000","446,000,000","432,200,000","400,100,000","445,400,000","429,100,000","436,600,000","486,400,000"
	SellingGeneralAndAdministration,"1,839,500,000","499,400,000","455,600,000","456,400,000","428,100,000","112,300,000","562,300,000","516,600,000","557,200,000","629,500,000","566,500,000","537,100,000","486,400,000","369,100,000","490,400,000","445,500,000","423,700,000","445,500,000","381,500,000","357,700,000","352,900,000","359,700,000","354,500,000","349,300,000","338,500,000","309,100,000","349,700,000","333,200,000","341,500,000","389,300,000"
	ResearchAndDevelopment,"354,800,000","93,000,000","87,800,000","87,800,000","86,200,000","-10,300,000","110,700,000","106,600,000","113,700,000","111,200,000","119,100,000","117,400,000","109,000,000","81,900,000","112,500,000","111,000,000","108,900,000","108,700,000","102,000,000","99,100,000","96,200,000","99,200,000","95,200,000","96,700,000","93,700,000","91,000,000","95,700,000","95,900,000","95,100,000","97,100,000"
OperatingIncome,"812,800,000","203,100,000","200,800,000","211,300,000","197,600,000","-167,000,000","310,400,000","191,100,000","204,900,000","295,200,000","242,100,000","249,500,000","217,300,000","136,300,000","321,400,000","382,400,000","338,200,000","355,800,000","355,900,000","348,300,000","294,900,000","337,700,000","323,200,000","322,100,000","263,000,000","338,100,000","301,800,000","335,700,000","294,100,000","319,000,000"
NetNonOperatingInterestIncomeExpense,"-103,200,000","-25,200,000","-25,100,000","-25,200,000","-27,700,000","-17,800,000","-43,900,000","-43,200,000","-43,600,000","-47,500,000","-47,000,000","-44,400,000","-25,300,000","-22,700,000","-24,400,000","-25,300,000","-24,600,000","-17,800,000","-22,900,000","-22,700,000","-22,600,000","-22,900,000","-23,400,000","-2,700,000",,,,"0",,
	InterestExpenseNonOperating,"103,200,000",,,,"27,700,000","17,800,000","43,900,000","43,200,000",,,,,,"26,700,000","24,400,000","25,300,000","24,600,000","17,800,000","22,900,000","22,700,000","22,600,000","22,900,000","23,400,000","2,700,000",,,,"0",,
