name,ttm,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999,12/31/1998,09/30/1998,06/30/1998,03/31/1998,12/31/1997,09/30/1997,06/30/1997,03/31/1997,12/31/1996,09/30/1996,06/30/1996,03/31/1996,12/31/1995,09/30/1995,06/30/1995,03/31/1995,12/31/1994,09/30/1994,06/30/1994,03/31/1994,12/31/1993,09/30/1993,06/30/1993,03/31/1993,12/31/1992,09/30/1992,06/30/1992,03/31/1992,12/31/1991,09/30/1991,06/30/1991,03/31/1991,12/31/1990,09/30/1990,06/30/1990,03/31/1990,12/31/1989,09/30/1989,06/30/1989,03/31/1989,12/31/1988,09/30/1988,06/30/1988,03/31/1988,12/31/1987,09/30/1987,06/30/1987,03/31/1987,12/31/1986,09/30/1986,06/30/1986,03/31/1986,12/31/1985,09/30/1985
TotalRevenue,"74,196,000,000","20,370,000,000","18,429,000,000","18,280,000,000","17,119,000,000","21,929,000,000","19,417,000,000","17,750,000,000","20,523,000,000","26,238,000,000","23,360,000,000","28,830,000,000","27,286,000,000","33,279,000,000","29,574,000,000","30,104,000,000","28,660,000,000","32,389,000,000","31,327,000,000","29,261,000,000","27,492,000,000","32,468,000,000","29,038,000,000","30,344,000,000","27,836,000,000","23,519,000,000","31,511,000,000","31,974,000,000","29,214,000,000","42,018,000,000","35,916,000,000","35,895,000,000","33,982,000,000","39,161,000,000","35,362,000,000","35,019,000,000","33,395,000,000","36,764,000,000","36,349,000,000","36,501,000,000","35,182,000,000","32,910,000,000","35,367,000,000","35,625,000,000","38,448,000,000","40,274,000,000","35,888,000,000","37,444,000,000","36,605,000,000","41,438,000,000","37,799,000,000","39,082,000,000","38,411,000,000","46,213,000,000","47,234,000,000","46,891,000,000","42,273,000,000","48,576,000,000","42,534,000,000","42,316,000,000","40,195,000,000","44,814,000,000","40,856,000,000","39,900,000,000","37,821,000,000","26,493,000,000","41,927,000,000","41,556,000,000","39,726,000,000","43,706,000,000","38,272,000,000","37,035,000,000","33,350,000,000","36,964,000,000","33,394,000,000","33,373,000,000","30,319,000,000","35,378,000,000","32,585,000,000","33,214,000,000","30,521,000,000","33,975,000,000","29,468,000,000","31,977,000,000","30,493,000,000","34,981,000,000","32,014,000,000","32,862,000,000","29,925,000,000","32,453,000,000","27,112,000,000","27,205,000,000","24,062,000,000","28,455,000,000","23,978,000,000","24,928,000,000","22,459,000,000","24,876,000,000","21,806,000,000","21,860,000,000","19,998,000,000","22,848,000,000","19,861,000,000","18,901,000,000","16,931,000,000","19,547,000,000","17,151,000,000","17,630,000,000","14,948,000,000","13,314,000,000","15,963,000,000","16,018,000,000","14,021,000,000","17,892,000,000","14,669,000,000","14,566,000,000","12,700,000,000","12,582,000,000","15,137,000,000","15,188,000,000","13,367,000,000","17,349,000,000","14,290,000,000","14,601,000,000","13,139,000,000","16,967,000,000","14,050,000,000","14,214,000,000","12,431,000,000","15,950,000,000","12,828,000,000","13,431,000,000","11,900,000,000","12,267,000,000","9,306,000,000","9,245,000,000","7,975,000,000","12,036,000,000","9,404,000,000","9,560,000,000","8,315,000,000","12,267,000,000","9,278,000,000","7,790,000,000","5,880,000,000","8,725,000,000","6,520,000,000"
	OperatingRevenue,"74,196,000,000","20,370,000,000","18,429,000,000","18,280,000,000","17,119,000,000","21,929,000,000","19,417,000,000","17,750,000,000","20,523,000,000","26,238,000,000","23,360,000,000","28,830,000,000","27,286,000,000","33,279,000,000","29,574,000,000","30,104,000,000","28,660,000,000","32,389,000,000","31,327,000,000","29,261,000,000","27,492,000,000","32,468,000,000","29,038,000,000","30,344,000,000","27,836,000,000","23,519,000,000","31,511,000,000","31,974,000,000","29,214,000,000","42,018,000,000","35,916,000,000","35,895,000,000","33,982,000,000","39,161,000,000","35,362,000,000","35,019,000,000","33,395,000,000","38,501,000,000","35,562,000,000","36,108,000,000","34,625,000,000","37,715,000,000","34,811,000,000","35,002,000,000","34,822,000,000","39,938,000,000","35,701,000,000","37,166,000,000","36,255,000,000","42,338,000,000","37,361,000,000","39,048,000,000","37,983,000,000","46,320,000,000","46,690,000,000","46,317,000,000","41,698,000,000","47,876,000,000","42,150,000,000","40,893,000,000","39,707,000,000","43,955,000,000","40,286,000,000","39,243,000,000","37,370,000,000","26,070,000,000","41,580,000,000","40,960,000,000","39,409,000,000","43,292,000,000","38,083,000,000","36,711,000,000","33,213,000,000","36,771,000,000","33,188,000,000","33,225,000,000","30,264,000,000","34,963,000,000","32,128,000,000","33,128,000,000","30,466,000,000","33,970,000,000","29,454,000,000","31,821,000,000","30,434,000,000","34,864,000,000","31,901,000,000","32,727,000,000","29,925,000,000","32,453,000,000","27,112,000,000","27,205,000,000","24,062,000,000","28,455,000,000","23,978,000,000","24,928,000,000","22,459,000,000","24,876,000,000","21,806,000,000","21,860,000,000","19,998,000,000","22,848,000,000","19,861,000,000","18,901,000,000","16,931,000,000","19,547,000,000","17,151,000,000","17,630,000,000","14,948,000,000","13,314,000,000","15,963,000,000","16,018,000,000","14,021,000,000","17,892,000,000","14,669,000,000","14,566,000,000","12,700,000,000","12,582,000,000","15,137,000,000","15,188,000,000","13,367,000,000","17,349,000,000","14,290,000,000","14,601,000,000","13,139,000,000","16,967,000,000","14,050,000,000","14,214,000,000","12,431,000,000","15,950,000,000","12,828,000,000","13,431,000,000","11,900,000,000","12,267,000,000","9,306,000,000","9,245,000,000","7,975,000,000","12,036,000,000","9,404,000,000","9,560,000,000","8,315,000,000","12,267,000,000","9,278,000,000","7,790,000,000","5,880,000,000","8,725,000,000","6,520,000,000"
CostOfRevenue,"53,896,000,000","14,338,000,000","13,402,000,000","13,618,000,000","12,538,000,000","14,367,000,000","15,275,000,000","15,083,000,000","15,696,000,000","19,080,000,000","17,328,000,000","21,817,000,000","20,353,000,000","25,876,000,000","22,846,000,000","22,424,000,000","21,526,000,000","25,688,000,000","24,094,000,000","21,793,000,000","20,359,000,000","23,773,000,000","20,966,000,000","22,383,000,000","20,361,000,000","25,255,000,000","19,249,000,000","20,023,000,000","18,166,000,000","23,043,000,000","19,740,000,000","20,006,000,000","18,522,000,000","21,880,000,000","19,457,000,000","18,488,000,000","17,316,000,000","18,733,000,000","18,509,000,000","19,199,000,000","17,869,000,000","17,463,000,000","16,615,000,000","17,500,000,000","16,699,000,000","20,379,000,000","16,626,000,000","17,196,000,000","17,512,000,000","20,503,000,000","18,548,000,000","18,804,000,000","18,066,000,000","22,913,000,000","22,137,000,000","20,729,000,000","17,993,000,000","21,516,000,000","18,258,000,000","17,507,000,000","16,851,000,000","19,838,000,000","18,468,000,000","18,143,000,000","17,661,000,000","18,675,000,000","16,001,000,000","16,596,000,000","15,542,000,000","18,089,000,000","15,927,000,000","15,125,000,000","12,618,000,000","15,211,000,000","12,289,000,000","12,425,000,000","11,281,000,000","14,404,000,000","12,240,000,000","13,865,000,000","12,347,000,000","12,854,000,000","11,741,000,000","12,709,000,000","11,793,000,000","13,697,000,000","13,059,000,000","13,207,000,000","11,860,000,000","12,203,000,000","9,522,000,000","9,488,000,000","8,054,000,000","9,447,000,000","8,907,000,000","9,678,000,000","8,388,000,000","14,476,000,000","7,248,000,000","7,715,000,000","6,567,000,000","8,558,000,000","7,415,000,000","7,072,000,000","6,041,000,000","8,036,000,000","6,423,000,000","7,090,000,000","5,827,000,000","7,908,000,000","6,122,000,000","6,489,000,000","5,236,000,000","11,891,000,000","9,117,700,000","7,075,000,000","5,178,000,000","4,821,000,000","7,264,000,000","7,378,000,000","6,099,000,000","9,757,000,000","7,019,000,000","7,089,000,000","5,875,000,000","8,961,000,000","6,895,000,000","6,993,000,000","6,027,000,000","8,370,000,000","6,544,000,000","7,195,000,000",,,,,,,,,,,,,,,
GrossProfit,"20,300,000,000","6,032,000,000","5,027,000,000","4,662,000,000","4,581,000,000","7,562,000,000","4,142,000,000","2,667,000,000","4,827,000,000","7,158,000,000","6,032,000,000","7,013,000,000","6,933,000,000","7,403,000,000","6,728,000,000","7,680,000,000","7,134,000,000","6,701,000,000","7,233,000,000","7,468,000,000","7,133,000,000","8,695,000,000","8,072,000,000","7,961,000,000","7,475,000,000","-1,736,000,000","12,262,000,000","11,951,000,000","11,048,000,000","18,975,000,000","16,176,000,000","15,889,000,000","15,460,000,000","17,281,000,000","15,905,000,000","16,531,000,000","16,079,000,000","18,031,000,000","17,840,000,000","17,302,000,000","17,313,000,000","15,447,000,000","18,752,000,000","18,125,000,000","21,749,000,000","19,895,000,000","19,262,000,000","20,248,000,000","19,093,000,000","20,935,000,000","19,251,000,000","20,278,000,000","20,345,000,000","23,300,000,000","25,097,000,000","26,162,000,000","24,280,000,000","27,060,000,000","24,276,000,000","24,809,000,000","23,344,000,000","24,976,000,000","22,388,000,000","21,757,000,000","20,160,000,000","7,818,000,000","25,926,000,000","24,960,000,000","24,184,000,000","25,617,000,000","22,345,000,000","21,910,000,000","20,732,000,000","21,753,000,000","21,105,000,000","20,948,000,000","19,038,000,000","20,974,000,000","20,345,000,000","19,349,000,000","18,174,000,000","21,121,000,000","17,727,000,000","19,268,000,000","18,700,000,000","21,284,000,000","18,955,000,000","19,655,000,000","18,065,000,000","20,250,000,000","17,590,000,000","17,717,000,000","16,008,000,000","19,008,000,000","15,071,000,000","15,250,000,000","14,071,000,000","10,400,000,000","14,558,000,000","14,145,000,000","13,431,000,000","14,290,000,000","12,446,000,000","11,829,000,000","10,890,000,000","11,511,000,000","10,728,000,000","10,540,000,000","9,121,000,000","5,406,000,000","9,841,000,000","9,529,000,000","8,785,000,000","6,001,000,000","5,551,300,000","7,491,000,000","7,522,000,000","7,761,000,000","7,873,000,000","7,810,000,000","7,268,000,000","7,592,000,000","7,271,000,000","7,512,000,000","7,264,000,000","8,006,000,000","7,155,000,000","7,221,000,000","6,404,000,000","7,580,000,000","6,284,000,000","6,236,000,000",,,,,,,,,,,,,,,
OperatingExpense,"16,487,000,000","4,511,000,000","4,017,000,000","3,953,000,000","4,007,000,000","6,388,000,000","3,851,000,000","3,643,000,000","3,701,000,000","4,411,000,000","4,756,000,000","4,822,000,000","4,757,000,000","2,464,000,000","4,855,000,000","4,488,000,000","4,204,000,000","5,617,000,000","2,709,000,000","3,989,000,000","4,338,000,000","3,924,000,000","4,116,000,000","1,733,000,000","4,599,000,000","12,060,000,000","569,000,000","3,000,000","4,717,000,000","1,112,000,000","699,000,000","630,000,000","774,000,000","3,562,000,000","458,000,000","925,000,000","1,488,000,000","-26,879,000,000","10,835,000,000","9,906,000,000","10,029,000,000","-27,498,000,000","11,318,000,000","9,841,000,000","10,435,000,000","12,829,000,000","11,583,000,000","11,790,000,000","12,105,000,000","13,847,000,000","12,954,000,000","12,529,000,000","12,419,000,000","14,570,000,000","12,970,000,000","12,915,000,000","12,398,000,000","12,671,000,000","12,304,000,000","12,394,000,000","12,009,000,000","11,744,000,000","11,020,000,000","11,095,000,000","10,608,000,000","-873,000,000","15,720,000,000","14,746,000,000","14,993,000,000","15,769,000,000","14,044,000,000","14,233,000,000","13,593,000,000","13,232,000,000","13,173,000,000","13,183,000,000","12,123,000,000","15,259,000,000","12,224,000,000","11,209,000,000","10,717,000,000","13,049,000,000","10,624,000,000","10,964,000,000","11,068,000,000","13,089,000,000","11,456,000,000","11,645,000,000","3,380,000,000","13,235,000,000","11,313,000,000","11,310,000,000","10,550,000,000","12,667,000,000","9,401,000,000","9,431,000,000","9,055,000,000","7,316,000,000","9,692,000,000","8,978,000,000","9,045,000,000","9,216,000,000","7,916,000,000","7,178,000,000","6,804,000,000","7,082,000,000","6,574,000,000","6,253,000,000","5,516,000,000","4,821,000,000","5,465,000,000","5,170,000,000","5,118,000,000","2,397,000,000","1,752,300,000","4,950,000,000","4,486,000,000","4,829,000,000","4,841,000,000","4,446,000,000","4,209,000,000","4,126,000,000","4,180,000,000","4,241,000,000","4,037,000,000","4,499,000,000","3,947,000,000","3,922,000,000","3,549,000,000","4,344,000,000","3,401,000,000","3,178,000,000",,,,,,,,,,,,,,,
	SellingGeneralAndAdministration,"13,990,000,000","3,806,000,000","3,390,000,000","3,349,000,000","3,446,000,000","3,823,000,000","3,851,000,000","3,643,000,000","3,701,000,000","4,411,000,000","4,756,000,000","4,822,000,000","4,757,000,000","2,464,000,000","4,855,000,000","4,488,000,000","4,204,000,000","4,631,000,000","4,855,000,000","4,287,000,000","4,506,000,000","4,544,000,000","4,343,000,000","4,883,000,000","4,608,000,000","4,772,000,000",,,,,,,,,,,,,"9,713,000,000","9,163,000,000","9,166,000,000","711,000,000","10,298,000,000","9,030,000,000","9,272,000,000","11,606,000,000","9,887,000,000","9,781,000,000","9,842,000,000","10,940,000,000","10,086,000,000","9,712,000,000","10,083,000,000","11,505,000,000","11,329,000,000","11,425,000,000","11,039,000,000","11,341,000,000","11,081,000,000","11,093,000,000","10,835,000,000","10,588,000,000","10,055,000,000","10,199,000,000","9,786,000,000","-1,759,000,000","14,625,000,000","13,788,000,000","14,091,000,000","14,625,000,000","13,259,000,000","13,229,000,000","12,638,000,000","12,279,000,000","12,112,000,000","12,205,000,000","11,361,000,000","14,259,000,000","11,584,000,000","10,424,000,000","10,055,000,000","12,114,000,000","10,057,000,000","10,468,000,000","10,585,000,000","12,449,000,000","10,993,000,000","11,224,000,000","2,930,000,000","11,401,000,000","9,638,000,000","9,641,000,000","9,037,000,000","10,042,000,000","8,249,000,000","8,425,000,000","7,978,000,000","6,214,000,000","8,643,000,000","7,999,000,000","8,093,000,000","8,227,000,000","6,944,000,000","6,246,000,000","5,912,000,000","6,104,000,000","5,715,000,000","5,358,000,000","4,654,000,000","3,938,000,000","4,662,000,000","4,383,000,000","4,384,000,000","1,366,000,000","1,009,000,000","4,229,000,000","3,778,000,000","4,158,000,000","4,054,000,000","3,799,000,000","3,496,000,000","3,352,000,000","3,475,000,000","3,573,000,000","3,352,000,000","3,856,000,000","3,273,000,000","3,351,000,000","2,929,000,000","3,792,000,000","2,833,000,000","3,178,000,000",,,,,,,,,,,,,,,
		GeneralAndAdministrativeExpense,"13,990,000,000","3,806,000,000","3,390,000,000","3,349,000,000","3,446,000,000","3,823,000,000","3,851,000,000","3,643,000,000","3,701,000,000","4,411,000,000","4,756,000,000","4,822,000,000","4,757,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,"9,713,000,000","9,163,000,000","9,166,000,000","711,000,000","10,298,000,000","9,030,000,000","9,272,000,000","11,606,000,000","9,887,000,000","9,781,000,000","9,842,000,000","10,940,000,000","10,086,000,000","9,712,000,000","10,083,000,000","11,505,000,000","11,329,000,000","11,425,000,000","11,039,000,000","11,341,000,000","11,081,000,000","11,093,000,000","10,835,000,000","10,588,000,000","10,055,000,000","10,199,000,000","9,786,000,000","-1,759,000,000","14,625,000,000","13,788,000,000","14,091,000,000","14,625,000,000","13,259,000,000","13,229,000,000","12,638,000,000","12,279,000,000","12,112,000,000","12,205,000,000","11,361,000,000","14,259,000,000","11,584,000,000","10,424,000,000","10,055,000,000","12,114,000,000","10,057,000,000","10,468,000,000","10,585,000,000","12,449,000,000","10,993,000,000","11,224,000,000","2,930,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			InsuranceAndClaims,"2,283,000,000","603,000,000","643,000,000","483,000,000","555,000,000","573,000,000","624,000,000","564,000,000","636,000,000","582,000,000","1,463,000,000","638,000,000","611,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,"756,000,000","662,000,000","737,000,000","711,000,000","719,000,000","746,000,000","736,000,000","802,000,000","741,000,000","722,000,000","747,000,000","760,000,000","732,000,000","779,000,000","746,000,000","801,000,000","787,000,000","821,000,000","804,000,000","868,000,000","849,000,000","892,000,000","860,000,000","850,000,000","822,000,000","793,000,000","749,000,000","-6,888,000,000","4,646,000,000","3,696,000,000","4,020,000,000","4,437,000,000","3,858,000,000","3,744,000,000","3,588,000,000","3,960,000,000","4,168,000,000","4,256,000,000","3,985,000,000","6,143,000,000","4,227,000,000","3,689,000,000","3,549,000,000","4,209,000,000","3,618,000,000","3,712,000,000","3,523,000,000","3,886,000,000","3,731,000,000","3,852,000,000","2,930,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			OtherGandA,"11,707,000,000","3,203,000,000","2,747,000,000","2,866,000,000","2,891,000,000","3,250,000,000","3,227,000,000","3,079,000,000","3,065,000,000","3,829,000,000","3,293,000,000","4,184,000,000","4,146,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,"8,957,000,000","8,501,000,000","8,429,000,000",,"9,579,000,000","8,284,000,000","8,536,000,000","10,804,000,000","9,146,000,000","9,059,000,000","9,095,000,000","10,180,000,000","9,354,000,000","8,933,000,000","9,337,000,000","10,704,000,000","10,542,000,000","10,604,000,000","10,235,000,000","10,473,000,000","10,232,000,000","10,201,000,000","9,975,000,000","9,738,000,000","9,233,000,000","9,406,000,000","9,037,000,000","5,129,000,000","9,979,000,000","10,092,000,000","10,071,000,000","10,188,000,000","9,401,000,000","9,485,000,000","9,050,000,000","8,319,000,000","7,944,000,000","7,949,000,000","7,376,000,000","8,116,000,000","7,357,000,000","6,735,000,000","6,506,000,000","7,905,000,000","6,439,000,000","6,756,000,000","7,062,000,000","8,563,000,000","7,262,000,000","7,372,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
	ResearchAndDevelopment,"2,497,000,000","705,000,000","627,000,000","604,000,000","561,000,000","635,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
