name,ttm,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999,12/31/1998,09/30/1998,06/30/1998,03/31/1998,12/31/1997,09/30/1997,06/30/1997,03/31/1997,12/31/1996,09/30/1996,06/30/1996,03/31/1996,09/30/1995,06/30/1995,03/31/1995,12/31/1994,09/30/1994,06/30/1994,03/31/1994,12/31/1993,09/30/1993,06/30/1993,03/31/1993,12/31/1992,09/30/1992,06/30/1992,03/31/1992,12/31/1991,09/30/1991,06/30/1991,03/31/1991,12/31/1990,09/30/1990,06/30/1990
TotalRevenue,"27,305,000,000","7,244,000,000","7,421,000,000","6,217,000,000","6,423,000,000","7,421,000,000","6,577,000,000","5,143,000,000","5,548,000,000","5,879,000,000","5,604,000,000","5,685,000,000","5,281,000,000","5,795,000,000","5,596,000,000","5,648,000,000","5,088,000,000","5,949,000,000","6,512,000,000","7,141,000,000","6,505,000,000","7,320,000,000","7,500,000,000","7,776,000,000","7,794,000,000","8,506,000,000","8,295,000,000","8,244,000,000","7,594,000,000","7,314,269,000","6,041,832,000","6,534,943,000","4,998,956,000","3,119,826,000","2,782,833,000","2,767,394,000","2,531,635,000","2,588,285,000","2,426,597,000","2,405,186,000","2,282,449,000","2,200,378,000","2,121,660,000","2,137,253,000","1,926,094,000","1,998,687,000","1,937,656,000","1,927,224,000","2,085,853,000","2,032,379,000","1,801,389,000","1,647,155,000","1,530,460,000","1,428,205,000","1,371,268,000","1,278,125,000","1,258,152,000","1,094,723,000","1,058,803,000","1,048,089,000","1,028,430,000","899,226,000","748,733,000","685,302,000","692,878,000","609,266,000","493,451,000","495,269,000","430,414,000","369,585,000","326,187,000","319,722,000","309,127,000","263,517,000","200,372,000","238,870,000","165,105,000","145,027,000","133,984,000","109,363,000","78,416,000","74,331,000","50,915,000","50,687,000","57,836,000","55,265,000","45,089,000","49,979,000","45,222,000","48,800,000","38,400,000","8,700,000","4,900,000","9,000,000","3,000,000","7,000,000","13,600,000","9,900,000","4,900,000","19,700,000","5,500,000","5,800,000","24,700,000","2,200,000","800,000","1,100,000","900,000","900,000","1,300,000","1,600,000","1,100,000","1,100,000","1,100,000","1,000,000","1,000,000","1,000,000","1,000,000","1,000,000","1,100,000","1,900,000","500,000","200,000","200,000","1,200,000","100,000","100,000","100,000"
	OperatingRevenue,"27,305,000,000","7,244,000,000","7,421,000,000","6,217,000,000","6,423,000,000","7,421,000,000","6,577,000,000","5,143,000,000","5,548,000,000","5,879,000,000","5,604,000,000","5,685,000,000","5,281,000,000","5,795,000,000","5,596,000,000","5,648,000,000","5,088,000,000","5,949,000,000","6,512,000,000","7,141,000,000","6,505,000,000","7,320,000,000","7,500,000,000","7,776,000,000","7,794,000,000","8,506,000,000","8,295,000,000","8,244,000,000","7,594,000,000","7,314,269,000","6,041,832,000","6,534,943,000","4,998,956,000","3,119,826,000","2,782,833,000","2,767,394,000","2,531,635,000","2,588,285,000","2,426,597,000","2,405,186,000","2,282,449,000","2,200,378,000","2,121,660,000","2,137,253,000","1,926,094,000","1,998,687,000","1,937,656,000","1,927,224,000","2,085,853,000","2,032,379,000","1,801,389,000","1,647,155,000","1,530,460,000","1,428,205,000","1,371,268,000","1,278,125,000","1,258,152,000","1,094,723,000","1,058,803,000","1,048,089,000","1,028,430,000","899,226,000","748,733,000","685,302,000","692,878,000","609,266,000","493,451,000","495,269,000","430,414,000","437,977,000","310,727,000","319,722,000","309,127,000","282,811,000","195,497,000","238,870,000","165,105,000","145,027,000","133,984,000","109,363,000","78,416,000","74,331,000","50,915,000","50,687,000","57,836,000","55,265,000","45,089,000","49,979,000","45,222,000","48,800,000","38,400,000","8,700,000","4,900,000","9,000,000","3,000,000","7,000,000","13,600,000","9,900,000","4,900,000","19,700,000","5,500,000","5,800,000","24,700,000","2,200,000","800,000","1,100,000","900,000","900,000","1,300,000","1,600,000","1,100,000","1,100,000","1,100,000","1,000,000","1,000,000","1,000,000","1,000,000","1,000,000","1,100,000","1,900,000","500,000","200,000","200,000","1,200,000","100,000","100,000","100,000"
CostOfRevenue,"6,601,000,000","2,627,000,000","1,223,000,000","1,390,000,000","1,361,000,000","1,398,000,000","1,141,000,000","1,064,000,000","969,000,000","1,683,000,000","1,035,000,000","1,000,000,000","957,000,000","1,570,000,000","1,086,000,000","1,196,000,000","1,001,000,000","1,256,000,000","1,032,000,000","1,126,000,000","957,000,000","1,075,000,000","1,129,000,000","864,000,000","1,193,000,000","1,062,000,000","1,064,000,000","998,000,000","882,000,000","1,062,780,000","987,306,000","924,709,000","813,205,000","857,523,000","681,868,000","684,663,000","634,448,000","675,818,000","597,269,000","617,345,000","580,931,000","584,447,000","531,989,000","533,863,000","474,111,000","496,337,000","477,584,000","455,525,000","440,430,000","473,399,000","409,700,000","383,045,000","329,414,000","321,531,000","300,183,000","265,684,000","239,848,000","215,542,000","198,460,000","183,131,000","171,638,000","155,289,000","109,791,000","77,883,000","90,357,000","74,144,000","65,498,000","63,269,000","57,415,000","48,704,000","40,842,000","42,092,000","34,949,000","33,277,000","25,936,000","32,106,000","21,372,000","19,552,000","20,412,000","17,718,000","12,042,000","13,178,000","9,208,000","10,797,000","10,581,000","4,177,000","6,673,000","5,600,000","5,054,000","4,700,000","-500,000","-800,000","-700,000","-600,000","-600,000","-600,000","-500,000","-500,000","-600,000","-400,000","-300,000","-400,000","-400,000","-1,700,000","-1,100,000","-1,100,000","-1,100,000","-1,100,000","-2,800,000","6,200,000","-900,000","-800,000","-900,000","-600,000","-500,000","-400,000","-700,000","-400,000","-400,000",,,,,,,,
GrossProfit,"20,704,000,000","4,617,000,000","6,198,000,000","4,827,000,000","5,062,000,000","6,023,000,000","5,436,000,000","4,079,000,000","4,579,000,000","4,196,000,000","4,569,000,000","4,685,000,000","4,324,000,000","4,225,000,000","4,510,000,000","4,452,000,000","4,087,000,000","4,693,000,000","5,480,000,000","6,015,000,000","5,548,000,000","6,245,000,000","6,371,000,000","6,912,000,000","6,601,000,000","7,444,000,000","7,231,000,000","7,246,000,000","6,712,000,000","6,251,489,000","5,054,526,000","5,610,234,000","4,185,751,000","2,262,303,000","2,100,965,000","2,082,731,000","1,897,187,000","1,912,467,000","1,829,328,000","1,787,841,000","1,701,518,000","1,615,931,000","1,589,671,000","1,603,390,000","1,451,983,000","1,502,350,000","1,460,072,000","1,471,699,000","1,645,423,000","1,558,980,000","1,391,689,000","1,264,110,000","1,201,046,000","1,106,674,000","1,071,085,000","1,012,441,000","1,018,304,000","879,181,000","860,343,000","864,958,000","856,792,000","743,937,000","638,942,000","607,419,000","602,521,000","535,122,000","427,953,000","432,000,000","372,999,000","320,881,000","285,345,000","277,630,000","274,178,000","230,240,000","174,436,000","206,764,000","143,733,000","125,475,000","113,572,000","91,645,000","66,374,000","61,153,000","41,707,000","39,890,000","47,255,000","51,088,000","38,416,000","44,379,000","40,168,000","44,100,000","38,900,000","9,500,000","5,600,000","9,600,000","3,600,000","7,600,000","14,100,000","10,400,000","5,500,000","20,100,000","5,800,000","6,200,000","25,100,000","3,900,000","1,900,000","2,200,000","2,000,000","2,000,000","4,100,000","-4,600,000","2,000,000","1,900,000","2,000,000","1,600,000","1,500,000","1,400,000","1,700,000","1,400,000","1,500,000",,,,,,,,
OperatingExpense,"10,609,000,000","3,677,000,000","2,337,000,000","2,485,000,000","2,110,000,000","3,308,000,000","2,264,000,000","2,538,000,000","2,177,000,000","3,103,000,000","6,042,000,000","2,255,000,000","2,087,000,000","3,081,000,000","1,887,000,000","2,172,000,000","1,934,000,000","2,402,000,000","1,668,000,000","1,761,000,000","1,781,000,000","2,200,000,000","1,972,000,000","2,374,000,000","1,950,000,000","1,823,000,000","1,646,000,000","1,630,000,000","1,341,000,000","1,921,117,000","1,575,303,000","1,197,479,000","1,143,101,000","1,065,262,000","953,104,000","928,893,000","871,928,000","805,484,000","785,414,000","728,749,000","901,332,000","748,455,000","585,993,000","586,672,000","550,014,000","672,969,000","480,999,000","479,072,000","484,282,000","493,542,000","497,283,000","503,049,000","392,730,000","395,528,000","377,251,000","396,075,000","350,258,000","364,696,000","313,313,000","322,110,000","296,648,000","258,713,000","225,834,000","242,104,000","230,869,000","173,093,000","178,068,000","155,243,000","150,569,000","155,583,000","121,575,000","119,432,000","129,755,000","142,263,000","95,263,000","98,992,000","88,731,000","92,636,000","77,655,000","72,451,000","73,317,000","86,077,000","402,575,000","73,785,000","73,057,000","69,739,000","59,357,000","50,164,000","47,109,000","53,900,000","55,100,000","27,000,000","25,000,000","29,900,000","25,300,000","27,400,000","26,300,000","27,800,000","20,600,000","21,500,000","17,700,000","18,500,000","19,600,000","19,800,000","15,200,000","12,100,000","11,000,000","12,000,000","13,300,000","3,300,000","10,100,000","11,000,000","9,600,000","8,400,000","7,300,000","8,300,000","6,500,000","5,100,000","4,300,000",,,,,,,,
	SellingGeneralAndAdministration,"5,246,000,000","1,650,000,000","1,190,000,000","1,351,000,000","1,055,000,000","1,730,000,000","1,106,000,000","1,239,000,000","1,076,000,000","1,204,000,000","1,052,000,000","1,095,000,000","1,030,000,000","1,131,000,000","948,000,000","980,000,000","997,000,000","1,252,000,000","879,000,000","897,000,000","850,000,000","992,000,000","831,000,000","890,000,000","685,000,000","1,066,000,000","903,000,000","812,000,000","645,000,000","876,485,000","944,837,000","613,555,000","548,123,000","513,284,000","406,860,000","404,991,000","374,296,000","365,825,000","319,583,000","332,505,000","443,121,000","346,219,000","295,927,000","304,269,000","295,568,000","280,209,000","250,559,000","248,006,000","265,618,000","253,897,000","227,427,000","261,411,000","203,951,000","193,665,000","189,189,000","219,533,000","194,957,000","180,048,000","172,956,000","186,179,000","166,558,000","147,093,000","132,529,000","151,568,000","142,469,000","104,330,000","99,238,000","95,546,000","80,135,000","85,423,000","72,371,000","73,789,000","76,077,000","78,777,000","63,592,000","60,197,000","47,591,000","57,621,000","42,317,000","41,600,000","39,763,000","41,476,000","32,047,000","29,707,000","21,911,000","23,290,000","21,515,000","19,829,000","17,590,000","19,600,000","19,100,000","7,900,000","8,400,000","7,900,000","7,900,000","8,400,000","6,700,000","7,000,000","6,200,000","6,100,000","6,100,000","6,800,000","7,600,000","7,400,000","4,800,000","2,800,000","2,400,000","2,800,000","2,400,000","2,400,000","2,100,000","-15,800,000","8,700,000","7,800,000","6,800,000","7,900,000","5,800,000","4,700,000","3,900,000",,,,,,,,
	ResearchAndDevelopment,"5,363,000,000","2,027,000,000","1,147,000,000","1,134,000,000","1,055,000,000","1,578,000,000","1,158,000,000","1,299,000,000","1,101,000,000","1,899,000,000","4,990,000,000","1,160,000,000","1,057,000,000","1,950,000,000","939,000,000","1,192,000,000","937,000,000","1,150,000,000","789,000,000","864,000,000","931,000,000","1,208,000,000","1,141,000,000","1,484,000,000","1,265,000,000","757,000,000","743,000,000","818,000,000","696,000,000","1,044,632,000","630,466,000","583,924,000","594,978,000","551,978,000","546,244,000","523,902,000","497,632,000","439,659,000","465,831,000","396,244,000","458,211,000","402,236,000","290,066,000","282,403,000","254,446,000","392,760,000","230,440,000","231,066,000","218,664,000","239,645,000","269,856,000","241,638,000","188,779,000","201,863,000","188,062,000","176,542,000","155,301,000","184,648,000","140,357,000","135,931,000","130,090,000","111,620,000","93,305,000","90,536,000","88,400,000","68,763,000","78,830,000","59,697,000","70,434,000","70,160,000","49,204,000","45,643,000","53,678,000","53,267,000","31,671,000","38,795,000","41,140,000","35,015,000","35,338,000","30,851,000","33,554,000","44,601,000","45,728,000","44,078,000","51,146,000","43,128,000","35,132,000","27,251,000","26,626,000","31,200,000","28,200,000","18,200,000","15,800,000","21,300,000","16,700,000","18,300,000","18,900,000","20,100,000","13,600,000","14,700,000","10,800,000","10,900,000","11,200,000","10,600,000","9,300,000","8,200,000","7,500,000","8,100,000","8,100,000",,"7,100,000",,,,,,,,,,,,,,,,
	DepreciationAmortizationDepletionIncomeStatement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3,321,000","2,710,000","3,084,000","2,893,000","3,100,000","7,800,000","900,000","800,000","700,000","700,000","700,000","700,000","700,000","800,000","700,000","800,000","800,000","800,000","1,800,000","1,100,000","1,100,000","1,100,000","1,100,000","2,800,000","900,000","900,000","800,000","900,000","600,000","500,000","400,000","700,000","400,000","400,000",,,,,,,,
		DepreciationAndAmortizationInIncomeStatement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3,321,000","2,710,000","3,084,000","2,893,000","3,100,000","7,800,000","900,000","800,000","700,000","700,000","700,000","700,000","700,000","800,000","700,000","800,000","800,000","800,000","1,800,000","1,100,000","1,100,000","1,100,000","1,100,000","2,800,000","900,000","900,000","800,000","900,000","600,000","500,000","400,000","700,000","400,000","400,000",,,,,,,,
	OtherOperatingExpenses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"324,800,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
