name,ttm,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999,12/31/1998,09/30/1998,06/30/1998,03/31/1998,12/31/1997,09/30/1997,06/30/1997,03/31/1997,12/31/1996,09/30/1996,06/30/1996,03/31/1996,12/31/1995,09/30/1995,06/30/1995,03/31/1995,12/31/1994,09/30/1994,06/30/1994,03/31/1994,12/31/1993,09/30/1993,06/30/1993,03/31/1993,12/31/1992,09/30/1992,06/30/1992,03/31/1992,12/31/1991,09/30/1991,06/30/1991,03/31/1991,12/31/1990,09/30/1990,06/30/1990,03/31/1990,12/31/1989,09/30/1989,06/30/1989,03/31/1989,12/31/1988,09/30/1988,06/30/1988,03/31/1988,12/31/1987,09/30/1987,06/30/1987,03/31/1987,12/31/1986,09/30/1986,06/30/1986,03/31/1986,12/31/1985,09/30/1985
TotalRevenue,"14,082,000,000","3,676,000,000","3,615,000,000","3,501,000,000","3,290,000,000","3,350,000,000","3,001,000,000","2,561,000,000","2,391,000,000","2,817,000,000","2,934,000,000","2,940,000,000","2,812,000,000","3,035,000,000","3,008,000,000","2,747,000,000","2,500,000,000","2,637,000,000","2,607,000,000","2,497,000,000","2,375,000,000","2,476,000,000","2,507,000,000","2,360,000,000","2,047,000,000","2,231,000,000","2,272,000,000","2,343,000,000","2,265,000,000","2,404,000,000","2,540,000,000","2,482,000,000","2,289,000,000","1,956,000,000","2,067,000,000","1,982,000,000","1,814,000,000","2,146,000,000","2,038,000,000","1,908,000,000","1,920,000,000","1,887,000,000","2,075,000,000","2,005,000,000","1,923,000,000","1,765,000,000","1,602,000,000","1,712,000,000","1,553,000,000","1,532,000,000","1,479,000,000","1,395,000,000","989,000,000","1,084,000,000","1,555,000,000","1,692,000,000","1,617,000,000","1,582,000,000","1,553,000,000","1,418,000,000","1,307,000,000","1,369,000,000","1,282,000,000","1,261,000,000","1,262,000,000","1,200,000,000","1,188,000,000","1,141,000,000","1,050,000,000","1,033,000,000","1,006,000,000","971,000,000","844,000,000","820,000,000","772,000,000","752,000,000","746,000,000","533,000,000","837,000,000","896,000,000","898,000,000","974,000,000","1,509,000,000","1,868,000,000","1,921,000,000","2,151,600,000","1,944,000,000","1,802,500,000","1,381,700,000","1,248,400,000","1,136,600,000","1,020,000,000","892,200,000","926,800,000","906,500,000","855,900,000","794,800,000","1,075,400,000","1,037,800,000","1,031,100,000","945,400,000","990,100,000","910,200,000","913,700,000","1,352,600,000","1,330,400,000","1,568,800,000","1,297,800,000","1,123,000,000","1,273,500,000","1,442,400,000","1,109,200,000","948,900,000","1,083,000,000","1,198,000,000","906,800,000","817,000,000","835,700,000","1,153,100,000","926,700,000","793,200,000","826,300,000","963,500,000","778,200,000","691,200,000","772,800,000","886,500,000","678,000,000","603,200,000","610,900,000","715,000,000","579,800,000","533,500,000","543,000,000","625,400,000","499,800,000","453,300,000","539,500,000","610,100,000","491,300,000","442,800,000","436,800,000","549,000,000","448,000,000","422,500,000","398,100,000","474,500,000"
	OperatingRevenue,"14,082,000,000","3,676,000,000","3,615,000,000","3,501,000,000","3,290,000,000","3,350,000,000","3,001,000,000","2,561,000,000","2,391,000,000","2,817,000,000","2,934,000,000","2,940,000,000","2,812,000,000","3,035,000,000","3,008,000,000","2,747,000,000","2,500,000,000","2,637,000,000","2,607,000,000","2,497,000,000","2,375,000,000","2,476,000,000","2,507,000,000","2,360,000,000","2,047,000,000","2,231,000,000","2,272,000,000","2,343,000,000","2,265,000,000","2,404,000,000","2,540,000,000","2,482,000,000","2,289,000,000","1,956,000,000","2,067,000,000","1,982,000,000","1,814,000,000","2,146,000,000","2,038,000,000","1,908,000,000","1,920,000,000","1,887,000,000","2,075,000,000","2,005,000,000","1,923,000,000","1,765,000,000","1,602,000,000","1,712,000,000","1,553,000,000","1,532,000,000","1,479,000,000","1,395,000,000","989,000,000","1,084,000,000","1,555,000,000","1,692,000,000","1,617,000,000","1,582,000,000","1,553,000,000","1,418,000,000","1,307,000,000","1,369,000,000","1,282,000,000","1,261,000,000","1,262,000,000","1,200,000,000","1,188,000,000","1,141,000,000","1,050,000,000","1,033,000,000","1,006,000,000","971,000,000","844,000,000","820,000,000","772,000,000","752,000,000","746,000,000","533,000,000","837,000,000","896,000,000","898,000,000","974,000,000","1,509,000,000","1,868,000,000","1,921,000,000","2,151,600,000","1,944,000,000","1,802,500,000","1,381,700,000","1,248,400,000","1,136,600,000","1,020,000,000","892,200,000","926,800,000","906,500,000","855,900,000","794,800,000","1,075,400,000","1,037,800,000","1,031,100,000","945,400,000","990,100,000","910,200,000","913,700,000","1,352,600,000","1,330,400,000","1,568,800,000","1,297,800,000","1,123,000,000","1,273,500,000","1,442,400,000","1,109,200,000","948,900,000","1,083,000,000","1,198,000,000","906,800,000","817,000,000","835,700,000","1,153,100,000","926,700,000","793,200,000","826,300,000","963,500,000","778,200,000","691,200,000","772,800,000","886,500,000","678,000,000","603,200,000","610,900,000","715,000,000","579,800,000","533,500,000","543,000,000","625,400,000","499,800,000","453,300,000","539,500,000","610,100,000","491,300,000","442,800,000","436,800,000","549,000,000","448,000,000","422,500,000","398,100,000","474,500,000"
CostOfRevenue,"9,019,000,000","2,405,000,000","2,294,000,000","2,186,000,000","2,134,000,000","2,137,000,000","2,000,000,000","1,805,000,000","1,830,000,000","1,963,000,000","1,917,000,000","1,875,000,000","1,713,000,000","1,833,000,000","1,776,000,000","1,675,000,000","1,545,000,000","1,603,000,000","1,551,000,000","1,512,000,000","1,418,000,000","1,486,000,000","1,466,000,000","1,409,000,000","1,283,000,000","1,374,000,000","1,380,000,000","1,368,000,000","1,336,000,000","1,408,000,000","1,451,000,000","1,450,000,000","1,354,000,000","1,186,000,000","1,166,000,000","1,099,000,000","1,044,000,000","1,239,000,000","1,159,000,000","1,111,000,000","1,106,000,000","1,062,000,000","1,097,000,000","1,116,000,000","1,049,000,000","998,000,000","878,000,000","885,000,000","822,000,000","883,000,000","880,000,000","820,000,000","719,000,000","777,000,000","820,000,000","840,000,000","773,000,000","825,000,000","811,000,000","759,000,000","716,000,000","766,000,000","716,000,000","720,000,000","689,000,000","673,000,000","643,000,000","658,000,000","621,000,000","668,000,000","602,000,000","625,000,000","544,000,000","578,000,000","546,000,000","571,000,000","546,000,000","512,000,000","674,000,000","682,000,000","694,000,000","942,000,000","994,000,000","1,332,000,000","957,000,000","1,057,500,000","975,500,000","902,700,000","696,200,000","723,700,000","611,000,000","531,800,000","453,700,000","493,700,000","474,300,000","452,100,000","435,800,000","577,100,000","528,600,000","511,500,000","467,400,000","546,000,000","480,900,000","536,000,000","764,100,000","769,700,000","889,900,000","723,500,000","625,500,000","738,500,000","820,700,000","618,100,000","545,200,000","637,700,000","705,800,000","504,000,000","469,100,000","469,100,000","679,100,000","549,900,000","467,700,000","491,200,000","551,000,000","446,800,000","401,300,000","449,000,000","521,800,000","390,800,000","352,700,000",,,,,,,,,,,,,,,,,,
GrossProfit,"5,063,000,000","1,271,000,000","1,321,000,000","1,315,000,000","1,156,000,000","1,213,000,000","1,001,000,000","756,000,000","561,000,000","854,000,000","1,017,000,000","1,065,000,000","1,099,000,000","1,202,000,000","1,232,000,000","1,072,000,000","955,000,000","1,034,000,000","1,056,000,000","985,000,000","957,000,000","990,000,000","1,041,000,000","951,000,000","764,000,000","857,000,000","892,000,000","975,000,000","929,000,000","996,000,000","1,089,000,000","1,032,000,000","935,000,000","770,000,000","901,000,000","883,000,000","770,000,000","907,000,000","879,000,000","797,000,000","814,000,000","825,000,000","978,000,000","889,000,000","874,000,000","767,000,000","724,000,000","827,000,000","731,000,000","649,000,000","599,000,000","575,000,000","270,000,000","307,000,000","735,000,000","852,000,000","844,000,000","757,000,000","742,000,000","659,000,000","591,000,000","603,000,000","566,000,000","541,000,000","573,000,000","527,000,000","545,000,000","483,000,000","429,000,000","365,000,000","404,000,000","346,000,000","300,000,000","242,000,000","226,000,000","181,000,000","200,000,000","21,000,000","163,000,000","214,000,000","204,000,000","32,000,000","515,000,000","536,000,000","964,000,000","1,094,100,000","968,500,000","899,800,000","685,500,000","524,700,000","525,600,000","488,200,000","438,500,000","433,100,000","432,200,000","403,800,000","359,000,000","498,300,000","509,200,000","519,600,000","478,000,000","444,100,000","429,300,000","377,700,000","588,500,000","560,700,000","678,900,000","574,300,000","497,500,000","535,000,000","621,700,000","491,100,000","403,700,000","445,300,000","492,200,000","402,800,000","347,900,000","366,600,000","474,000,000","376,800,000","325,500,000","335,100,000","412,500,000","331,400,000","289,900,000","323,800,000","364,700,000","287,200,000","250,500,000",,,,,,,,,,,,,,,,,,
OperatingExpense,"2,951,000,000","788,000,000","769,000,000","740,000,000","654,000,000","737,000,000","744,000,000","859,000,000","682,000,000","707,000,000","652,000,000","691,000,000","679,000,000","738,000,000","710,000,000","677,000,000","761,000,000","662,000,000","603,000,000","604,000,000","533,000,000","559,000,000","506,000,000","706,000,000","507,000,000","785,000,000","500,000,000","544,000,000","517,000,000","460,000,000","464,000,000","534,000,000","607,000,000","500,000,000","443,000,000","439,000,000","429,000,000","409,000,000","483,000,000","483,000,000","471,000,000","464,000,000","386,000,000","460,000,000","409,000,000","452,000,000","400,000,000","392,000,000","330,000,000","391,000,000","353,000,000","349,000,000","361,000,000","308,000,000","388,000,000","435,000,000","68,000,000","428,000,000","343,000,000","444,000,000","457,000,000","272,000,000","360,000,000","264,000,000","535,000,000","336,000,000","367,000,000","435,000,000","271,000,000","299,000,000","200,000,000","307,000,000","273,000,000","660,000,000","237,000,000","242,000,000","254,000,000","296,000,000","284,000,000","333,000,000","329,000,000","520,000,000","468,000,000","600,000,000","734,000,000","501,000,000","616,000,000","566,300,000","435,500,000","375,500,000","343,300,000","316,000,000","311,000,000","280,700,000","260,000,000","280,000,000","258,900,000","311,300,000","327,600,000","306,800,000","298,000,000","299,500,000","280,900,000","226,000,000","438,500,000","482,400,000","509,500,000","377,400,000","348,200,000","286,600,000","478,200,000","321,400,000","300,800,000","323,200,000","354,100,000","280,900,000","269,300,000","321,500,000","313,700,000","267,000,000","249,900,000","217,100,000","300,800,000","235,100,000","222,500,000","238,200,000","270,600,000","208,700,000","200,000,000",,,,,,,,,,,,,,,,,,
	SellingGeneralAndAdministration,"1,827,000,000","476,000,000","486,000,000","465,000,000","400,000,000","471,000,000","480,000,000","401,000,000","395,000,000","401,000,000","369,000,000","414,000,000","401,000,000","447,000,000","439,000,000","412,000,000","501,000,000","400,000,000","372,000,000","379,000,000","316,000,000","368,000,000","302,000,000","499,000,000","303,000,000","563,000,000","307,000,000","337,000,000","316,000,000","242,000,000","256,000,000","318,000,000","395,000,000","336,000,000","265,000,000","266,000,000","259,000,000","301,000,000","294,000,000","291,000,000","279,000,000","283,000,000","216,000,000","284,000,000","250,000,000","284,000,000","250,000,000","246,000,000","235,000,000","244,000,000","219,000,000","211,000,000","207,000,000","179,000,000","220,000,000","260,000,000","242,000,000","257,000,000","212,000,000","229,000,000","214,000,000","222,000,000","218,000,000","194,000,000","223,000,000","203,000,000","178,000,000","191,000,000","184,000,000","174,000,000","153,000,000","166,000,000","160,000,000","152,000,000","147,000,000","148,000,000","152,000,000","178,000,000","158,000,000","190,000,000","190,000,000","298,000,000","267,000,000","271,000,000","261,000,000","333,400,000","255,800,000","269,800,000","199,800,000","174,100,000","155,500,000","136,100,000","136,800,000","135,600,000","112,600,000","126,600,000","112,900,000","171,900,000","168,400,000","171,700,000","159,400,000","223,500,000","210,600,000","193,300,000","329,400,000","384,700,000","410,900,000","284,400,000","260,100,000","200,300,000","381,000,000","243,400,000","223,900,000","253,400,000","270,900,000","216,500,000","206,300,000","275,400,000","238,700,000","203,400,000","189,100,000","171,800,000","225,700,000","179,200,000","167,500,000","189,500,000","203,600,000","163,500,000","149,700,000",,,,,,,,,,,,,,,,,,
	ResearchAndDevelopment,"995,000,000","280,000,000","251,000,000","242,000,000","222,000,000","232,000,000","231,000,000","430,000,000","261,000,000","278,000,000","255,000,000","249,000,000","249,000,000","265,000,000","244,000,000","243,000,000","241,000,000","240,000,000","213,000,000","207,000,000","200,000,000","173,000,000","187,000,000","192,000,000","190,000,000","208,000,000","181,000,000","191,000,000","189,000,000","210,000,000","199,000,000","208,000,000","198,000,000","169,000,000","184,000,000","179,000,000","178,000,000","185,000,000","185,000,000","188,000,000","187,000,000","177,000,000","166,000,000","172,000,000","156,000,000","166,000,000","148,000,000","144,000,000","145,000,000","145,000,000","131,000,000","136,000,000","151,000,000","153,000,000","160,000,000","163,000,000","151,000,000","153,000,000","145,000,000","137,000,000","130,000,000","138,000,000","127,000,000","128,000,000","124,000,000","123,000,000","118,000,000","104,000,000","98,000,000","98,000,000","88,000,000","85,000,000","84,000,000","86,000,000","80,000,000","85,000,000","93,000,000","108,000,000","115,000,000","132,000,000","128,000,000","147,000,000","153,000,000","169,000,000","162,000,000","168,700,000","141,100,000","120,100,000","110,100,000","101,700,000","96,500,000","84,800,000","79,600,000","80,100,000","71,600,000","75,100,000","67,100,000","75,300,000","70,800,000","53,500,000","51,100,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
	DepreciationAmortizationDepletionIncomeStatement,"129,000,000","32,000,000","32,000,000","33,000,000","32,000,000","34,000,000","33,000,000","28,000,000","26,000,000","28,000,000","28,000,000","28,000,000","29,000,000","26,000,000","27,000,000","22,000,000","19,000,000","22,000,000","18,000,000","18,000,000","17,000,000","18,000,000","17,000,000","15,000,000","14,000,000","14,000,000","12,000,000","16,000,000","12,000,000","8,000,000","9,000,000","8,000,000","8,000,000","8,000,000","8,000,000","8,000,000","7,000,000","6,000,000","4,000,000","4,000,000","5,000,000","4,000,000","4,000,000","4,000,000","3,000,000","2,000,000","2,000,000","2,000,000","2,000,000","2,000,000","3,000,000","2,000,000","3,000,000","4,000,000","2,000,000","3,000,000","2,000,000","3,000,000","2,000,000","2,000,000","3,000,000","3,000,000","2,000,000","3,000,000","3,000,000","2,000,000","3,000,000","3,000,000","5,000,000","10,000,000","9,000,000","9,000,000","10,000,000","9,000,000","10,000,000","9,000,000","9,000,000","10,000,000","11,000,000","11,000,000","11,000,000","75,000,000","48,000,000","160,000,000","311,000,000","-1,100,000","219,100,000","176,400,000","125,600,000","99,700,000","91,300,000","95,100,000","94,600,000","65,000,000","75,800,000","78,300,000","78,900,000","64,100,000","88,400,000","81,600,000","87,500,000","76,000,000","70,300,000","32,700,000","109,100,000","97,700,000","98,600,000","93,000,000","88,100,000","86,300,000","97,200,000","78,000,000","76,900,000","69,800,000","83,200,000","64,400,000","63,000,000","46,100,000","75,000,000","63,600,000","60,800,000","45,300,000","75,100,000","55,900,000","55,000,000","48,700,000","67,000,000","45,200,000","50,300,000",,,,,,,,,,,,,,,,,,
		DepreciationAndAmortizationInIncomeStatement,"129,000,000","32,000,000","32,000,000","33,000,000","32,000,000","34,000,000","33,000,000","28,000,000","26,000,000","28,000,000","28,000,000","28,000,000","29,000,000","26,000,000","27,000,000","22,000,000","19,000,000","22,000,000","18,000,000","18,000,000","17,000,000","18,000,000","17,000,000","15,000,000","14,000,000","14,000,000","12,000,000","16,000,000","12,000,000","8,000,000","9,000,000","8,000,000","8,000,000","8,000,000","8,000,000","8,000,000","7,000,000","6,000,000","4,000,000","4,000,000","5,000,000","4,000,000","4,000,000","4,000,000","3,000,000","2,000,000","2,000,000","2,000,000","2,000,000","2,000,000","3,000,000","2,000,000","3,000,000","4,000,000","2,000,000","3,000,000","2,000,000","3,000,000","2,000,000","2,000,000","3,000,000","3,000,000","2,000,000","3,000,000","3,000,000","2,000,000","3,000,000","3,000,000","5,000,000","10,000,000","9,000,000","9,000,000","10,000,000","9,000,000","10,000,000","9,000,000","9,000,000","10,000,000","11,000,000","11,000,000","11,000,000","75,000,000","48,000,000","160,000,000","311,000,000","-1,100,000","219,100,000","176,400,000","125,600,000","99,700,000","91,300,000","95,100,000","94,600,000","65,000,000","75,800,000","78,300,000","78,900,000","64,100,000","88,400,000","81,600,000","87,500,000","76,000,000","70,300,000","32,700,000","109,100,000","97,700,000","98,600,000","93,000,000","88,100,000","86,300,000","97,200,000","78,000,000","76,900,000","69,800,000","83,200,000","64,400,000","63,000,000","46,100,000","75,000,000","63,600,000","60,800,000","45,300,000","75,100,000","55,900,000","55,000,000","48,700,000","67,000,000","45,200,000","50,300,000",,,,,,,,,,,,,,,,,,
			Amortization,"129,000,000","32,000,000","32,000,000","33,000,000","32,000,000","34,000,000","33,000,000","28,000,000","26,000,000","28,000,000","28,000,000","28,000,000","29,000,000","26,000,000","27,000,000","22,000,000","19,000,000","22,000,000","18,000,000","18,000,000","17,000,000","18,000,000","17,000,000","15,000,000","14,000,000","14,000,000","12,000,000","16,000,000","12,000,000","8,000,000","9,000,000","8,000,000","8,000,000","8,000,000","8,000,000","8,000,000","7,000,000","6,000,000","4,000,000","4,000,000","5,000,000","4,000,000","4,000,000","4,000,000","3,000,000","2,000,000","2,000,000","2,000,000","2,000,000","2,000,000","3,000,000","2,000,000","3,000,000","4,000,000","2,000,000","3,000,000","2,000,000","3,000,000","2,000,000","2,000,000","3,000,000","3,000,000","2,000,000","3,000,000","3,000,000","2,000,000","3,000,000","3,000,000","5,000,000","10,000,000","9,000,000","9,000,000","10,000,000","9,000,000","10,000,000","9,000,000","9,000,000","10,000,000","11,000,000","11,000,000","11,000,000","75,000,000","48,000,000","160,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
