name,ttm,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999,12/31/1998,09/30/1998,06/30/1998,03/31/1998,12/31/1997,09/30/1997,06/30/1997,03/31/1997,12/31/1996,09/30/1996,06/30/1996,03/31/1996,12/31/1995,09/30/1995,06/30/1995,03/31/1995,12/31/1994,09/30/1994,06/30/1994,03/31/1994,12/31/1993,09/30/1993,06/30/1993,03/31/1993,12/31/1992,09/30/1992,06/30/1992,03/31/1992,12/31/1991,09/30/1991,06/30/1991,03/31/1991,12/31/1990,09/30/1990,06/30/1990,03/31/1990,12/31/1989,09/30/1989,06/30/1989,03/31/1989,12/31/1988,09/30/1988,06/30/1988,03/31/1988,12/31/1987,09/30/1987,06/30/1987,03/31/1987,12/31/1986,09/30/1986,06/30/1986,03/31/1986,12/31/1985,09/30/1985
TotalRevenue,"5,119,224,000","1,297,747,000","1,287,152,000","1,271,111,000","1,266,560,000","1,228,941,000","1,195,676,000","1,180,884,000","1,133,054,000","1,136,576,000","1,141,279,000","1,130,461,000","1,119,216,000","1,064,737,000","1,083,802,000","1,084,776,000","1,070,436,000","1,056,899,000","1,046,015,000","1,029,078,000","1,023,581,000","975,345,000","989,773,000","991,884,000","977,627,000","711,080,000","998,759,000","1,033,694,000","1,022,532,000","996,450,000","967,001,000","983,983,000","1,017,120,000","930,594,000","932,789,000","950,339,000","958,216,000","928,698,000","877,100,000","885,795,000","897,923,000","833,554,000","837,241,000","877,334,000","829,272,000","847,171,000","838,888,000","864,977,000","874,805,000","808,171,000","784,854,000","819,734,000","809,638,000","840,641,000","753,352,000","860,492,000","872,433,000","840,539,000","863,614,000","876,569,000","905,975,000","857,096,000","837,939,000","869,135,000","857,008,000","769,097,000","769,022,000","804,797,000","782,900,000","760,800,000","774,199,000","763,959,000","772,542,000","747,503,000","730,389,000","727,840,000","711,988,000","698,987,000","715,825,000","633,480,000","689,674,000","656,556,000","686,690,000","689,030,000","674,766,000","641,190,000","640,554,000","615,133,000","619,017,000","586,378,000","565,779,000","507,228,000","572,149,000","540,142,000","511,271,000","621,981,000","605,762,000","574,939,000","588,560,000","558,399,000","560,552,000","541,565,000","554,739,000","555,643,000","553,863,000","490,382,000","514,400,000","530,500,000","532,100,000","489,457,000","465,900,000","466,800,000","500,600,000","578,000,000","531,500,000","543,900,000","525,600,000","514,400,000","512,100,000","530,400,000","515,100,000","487,900,000","489,000,000","480,500,000","476,000,000","462,400,000","461,200,000","435,600,000","437,400,000","405,100,000","412,600,000","413,100,000","402,800,000","415,200,000","412,700,000","422,600,000","414,200,000","400,700,000","405,000,000","398,400,000","390,700,000","407,900,000","377,000,000","390,500,000","379,500,000","370,800,000","346,900,000"
	OperatingRevenue,"5,119,224,000","1,297,747,000","1,287,152,000","1,271,111,000","1,266,560,000","1,228,941,000","1,195,676,000","1,180,884,000","1,133,054,000","1,136,576,000","1,141,279,000","1,130,461,000","1,119,216,000","1,064,737,000","1,083,802,000","1,084,776,000","1,070,436,000","1,056,899,000","1,046,015,000","1,029,078,000","1,023,581,000","975,345,000","989,773,000","991,884,000","977,627,000","711,080,000","998,759,000","1,033,694,000","1,022,532,000","996,450,000","967,001,000","983,983,000","1,017,120,000","930,594,000","932,789,000","950,339,000","958,216,000","928,698,000","877,100,000","885,795,000","897,923,000","833,554,000","837,241,000","877,334,000","829,272,000","847,171,000","838,888,000","864,977,000","874,805,000","808,171,000","784,854,000","819,734,000","809,638,000","840,641,000","753,352,000","860,492,000","872,433,000","840,539,000","863,614,000","876,569,000","905,975,000","857,096,000","837,939,000","869,135,000","857,008,000","769,097,000","769,022,000","804,797,000","782,900,000","760,800,000","774,199,000","763,959,000","772,542,000","747,503,000","730,389,000","727,840,000","711,988,000","698,987,000","715,825,000","633,480,000","689,674,000","656,556,000","686,690,000","689,030,000","674,766,000","641,190,000","640,554,000","615,133,000","619,017,000","586,378,000","565,779,000","507,228,000","572,149,000","540,142,000","511,271,000","621,981,000","605,762,000","574,939,000","588,560,000","558,399,000","560,552,000","541,565,000","554,739,000","555,643,000","553,863,000","490,382,000","514,400,000","530,500,000","532,100,000","489,457,000","465,900,000","466,800,000","500,600,000","578,000,000","531,500,000","543,900,000","525,600,000","514,400,000","512,100,000","530,400,000","515,100,000","487,900,000","489,000,000","480,500,000","476,000,000","462,400,000","461,200,000","435,600,000","437,400,000","405,100,000","412,600,000","413,100,000","402,800,000","415,200,000","412,700,000","422,600,000","414,200,000","400,700,000","405,000,000","398,400,000","390,700,000","407,900,000","377,000,000","390,500,000","379,500,000","370,800,000","346,900,000"
NetNonOperatingInterestIncomeExpense,"-83,486,000","-19,653,000","-20,886,000","-21,769,000","-21,178,000","-21,409,000","-21,674,000","-22,813,000","-20,808,000","-20,502,000","-21,094,000","-21,432,000","-21,278,000","-23,610,000","-22,433,000","-22,411,000","-21,622,000","-21,707,000","-20,970,000","-21,156,000","-20,699,000","-20,485,000","-20,381,000","-23,110,000","-19,369,000","-19,222,000","-19,246,000","-19,114,000","-19,060,000","-19,007,000","-19,033,000","-19,037,000","-19,049,000","-19,080,000","-19,676,000","-20,828,000","-20,877,000","-21,349,000","-19,843,000","-19,649,000","-19,671,000","-19,527,000","-19,510,000","-19,411,000","-19,460,000","-18,990,000","-18,790,000","-18,812,000","-18,937,000","-19,009,000","-20,343,000","-14,916,000","-15,664,000","-16,732,000","-15,507,000","-14,818,000","-16,172,000","-16,187,000","-17,579,000","-16,541,000","-17,257,000","-18,071,000","-21,437,000","-17,638,000","-15,990,000","-15,567,000","-15,281,000","-15,350,000","-14,700,000","-14,360,000","-14,055,000","-14,078,000","-14,007,000","-13,853,000","-13,897,000","-6,199,000","-6,295,000","-6,857,000","-7,188,000","-7,230,000","-7,318,000","-9,757,000","-10,422,000","-11,760,000","-12,567,000","-13,156,000","-13,352,000","-14,169,000","-13,810,000","-13,688,000","-13,327,000","-12,750,000","-12,576,000","-10,534,000","-12,981,000","-14,472,000","-18,338,000","-18,319,000","-17,385,000","-18,285,000","-17,874,000","-18,125,000","-17,655,000","-18,187,000","-19,644,000","-18,694,000","-19,900,000","-19,900,000","-22,400,000","-20,955,000","-19,200,000","-18,200,000","-18,000,000","-19,900,000","-19,300,000","-14,600,000","-13,600,000","-14,100,000","-14,100,000","-14,200,000","-13,200,000","-13,300,000","-12,600,000","-12,400,000","-11,900,000","-11,000,000","-10,900,000","-12,700,000","-11,600,000","-13,200,000","-12,000,000","-11,400,000","-11,400,000",,,,,,,,,,,,,,
	InterestExpenseNonOperating,"83,486,000","19,653,000","20,886,000","21,769,000","21,178,000","21,409,000","21,674,000","22,813,000","20,808,000","20,502,000","21,094,000","21,432,000","21,278,000","23,610,000","22,433,000","22,411,000","21,622,000","21,707,000","20,970,000","21,156,000","20,699,000","20,485,000","20,381,000","23,110,000","19,369,000","19,222,000","19,246,000","19,114,000","19,060,000","19,007,000","19,033,000","19,037,000","19,049,000","19,080,000","19,676,000","20,828,000","20,877,000","21,349,000","19,843,000","19,649,000","19,671,000","19,527,000","19,510,000","19,411,000","19,460,000","18,990,000","18,790,000","18,812,000","18,937,000","19,009,000","20,343,000","14,916,000","15,664,000","16,732,000","15,507,000","14,818,000","16,172,000","16,187,000","17,579,000","16,541,000","17,257,000","18,071,000","21,437,000","17,638,000","15,990,000","15,567,000","15,281,000","15,350,000","14,700,000","14,360,000","14,055,000","14,078,000","14,007,000","13,853,000","13,897,000","6,199,000","6,295,000","6,857,000","7,188,000","7,230,000","7,318,000","9,757,000","10,422,000","11,760,000","12,567,000","13,156,000","13,352,000","14,169,000","13,810,000","13,688,000","13,327,000","12,750,000","12,576,000","10,534,000","12,981,000","14,472,000","18,338,000","18,319,000","17,385,000","18,285,000","17,874,000","18,125,000","17,655,000","18,187,000","19,644,000","18,694,000","19,900,000","19,900,000","22,400,000","20,955,000","19,200,000","18,200,000","18,000,000","19,900,000","19,300,000","14,600,000","13,600,000","14,100,000","14,100,000","14,200,000","13,200,000","13,300,000","12,600,000","12,400,000","11,900,000","11,000,000","10,900,000","12,700,000","11,600,000","13,200,000","12,000,000","11,400,000","11,400,000",,,,,,,,,,,,,,
OtherIncomeExpense,"1,216,000","212,000","321,000","388,000","295,000","304,000","292,000","404,000","325,000","241,000","438,000","398,000","241,000","33,000","393,000","416,000","295,000","2,000","331,000","393,000","416,000","412,000","160,000","382,000","421,000","133,000","692,000","691,000","669,000","309,000","668,000","663,000","481,000","174,000","676,000","611,000","470,000","323,000","557,000","376,000","321,000","471,000","625,000","608,000","447,000","2,125,000","679,000","728,000","-1,328,000","-23,904,000","-50,958,000","-37,639,000","-46,004,000","868,000","942,000","960,000","1,901,000","1,071,000","2,030,000","3,271,000","1,534,000","9,942,000","673,000","733,000","7,138,000","139,000","253,000","13,857,000","200,000","191,000","65,000","66,000","78,000","-85,000","-3,000","415,000","492,000","377,000","691,000","573,000","479,000","486,000","660,000","660,000","669,000","506,000","651,000","711,000","712,000","-229,450,000","93,929,000","37,218,000","109,385,000","-305,064,000","73,307,000","182,617,000","172,745,000","-243,899,000","168,333,000","138,512,000","144,862,000","-270,484,000","152,154,000","152,109,000","151,675,000","-263,843,000","130,400,000","145,700,000","141,300,000","-202,558,000","129,400,000","126,600,000","152,500,000","220,800,000","148,800,000","162,300,000","154,200,000","150,600,000","150,300,000","166,600,000","150,400,000","148,300,000","149,400,000","139,100,000","130,700,000","129,800,000","129,400,000","121,700,000","124,400,000","109,100,000","118,700,000","116,900,000","104,500,000",,,,,,,,,,,,,,
	SpecialIncomeCharges,"-17,453,000","-3,050,000","-9,314,000",,"-4,828,000","0","-634,000",,"-3,275,000","-2,858,000",,,,,,,,,,,,,,,,"0",,,"0","-258,000",,,"-2,493,000","0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0",,"-20,324,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		RestructuringAndMergernAcquisition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		OtherSpecialCharges,"17,453,000","3,050,000","9,314,000",,"4,828,000","0","634,000",,"3,275,000","2,858,000",,,,,,,,,,,,,,,,,,,,"258,000",,,"2,493,000","0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PretaxIncome,"912,390,000","217,558,000","230,795,000","245,243,000","218,794,000","249,984,000","231,538,000","212,241,000","202,921,000","227,088,000","247,330,000","228,760,000","228,101,000","203,635,000","220,330,000","226,864,000","212,842,000","216,371,000","220,610,000","201,926,000","191,741,000","175,982,000","201,461,000","199,344,000","195,448,000","180,623,000","216,744,000","188,388,000","180,432,000","211,659,000","189,564,000","186,758,000","190,487,000","206,429,000","190,850,000","192,784,000","173,063,000","220,587,000","188,791,000","186,380,000","170,235,000","182,504,000","198,822,000","218,528,000","155,812,000","215,480,000","208,313,000","189,974,000","183,435,000","171,433,000","147,057,000","160,407,000","126,296,000","192,590,000","105,631,000","184,606,000","178,430,000","198,889,000","201,584,000","192,037,000","204,295,000","206,319,000","189,273,000","194,007,000","183,971,000","168,446,000","181,392,000","202,546,000","179,100,000","175,870,000","189,460,000","173,234,000","182,236,000","169,680,000","164,226,000","167,836,000","153,983,000","160,739,000","179,320,000","94,932,000","149,329,000","129,760,000","160,666,000","155,725,000","155,278,000","143,438,000","151,836,000","129,774,000","137,910,000","402,408,000","0","0","0","446,991,000","0","0","0","509,394,000","0","0","0","495,132,000","0","0","0","428,175,000","0","0","0","386,924,000","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",,,,,,,,,,,,,,
TaxProvision,"167,431,000","39,605,000","41,924,000","45,625,000","40,277,000","45,744,000","42,593,000","39,193,000","37,381,000","40,027,000","45,512,000","42,151,000","42,707,000","38,929,000","41,630,000","42,471,000","39,131,000","-811,005,000","67,264,000","61,563,000","54,563,000","51,170,000","59,551,000","60,050,000","61,874,000","58,474,000","71,358,000","61,278,000","58,784,000","64,911,000","57,152,000","55,835,000","57,631,000","63,612,000","58,728,000","58,883,000","53,431,000","69,600,000","58,119,000","57,392,000","51,558,000","56,147,000","61,911,000","69,588,000","49,680,000","66,525,000","70,216,000","63,925,000","61,759,000","58,104,000","46,257,000","46,289,000","49,590,000","55,381,000","42,480,000","50,880,000","60,257,000","66,544,000","68,702,000","64,920,000","69,104,000","63,881,000","60,729,000","66,632,000","63,697,000","42,310,000","62,346,000","70,181,000","61,300,000","60,377,000","65,328,000","56,673,000","62,722,000","57,646,000","56,344,000","57,400,000","52,495,000","54,647,000","60,973,000","31,249,000","50,168,000","44,323,000","55,024,000","53,426,000","53,194,000","48,845,000","51,420,000","43,937,000","46,639,000","35,256,000","38,019,000","18,640,000","44,028,000","37,100,000","27,532,000","62,761,000","52,491,000","42,553,000","51,058,000","41,423,000","43,456,000","45,566,000","45,982,000","45,431,000","43,643,000","53,439,000","32,800,000","36,500,000","34,700,000","30,317,000","27,800,000","30,000,000","36,200,000","41,800,000","47,000,000","37,500,000","26,700,000","34,500,000","36,500,000","35,300,000","34,500,000","31,700,000","31,900,000","30,400,000","31,300,000","23,400,000","31,700,000","26,900,000","32,300,000","25,800,000","26,000,000","28,200,000","25,200,000",,,,,,,,,,,,,,
EarningsFromEquityInterestNetOfTax,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-900,000","-972,000","-971,000","-1,005,000","77,000","-767,000","-1,461,000","-2,381,000","-2,672,000","-2,680,000","-2,543,000","-2,389,000","-298,188,000","111,331,000","54,946,000","127,392,000","-338,302,000","80,685,000","130,865,000","145,409,000","-373,990,000","144,032,000","116,013,000","120,784,000","-367,200,000","126,812,000","124,470,000","119,917,000","-302,391,000","93,700,000","106,500,000","103,300,000","-292,761,000","92,500,000","94,900,000","111,800,000","127,600,000","111,400,000","115,700,000","77,700,000","101,400,000","104,600,000","101,700,000","98,500,000","95,200,000","94,600,000","91,800,000","90,300,000","70,600,000","92,900,000","87,400,000","92,700,000","77,100,000","80,900,000","81,700,000","76,800,000",,,,,,,,,,,,,,
NetIncomeCommonStockholders,"744,959,000","177,953,000","188,871,000","199,618,000","178,517,000","204,240,000","188,945,000","173,048,000","165,540,000","187,061,000","201,818,000","186,566,000","185,345,000","164,717,000","178,724,000","184,425,000","173,600,000","1,027,346,000","153,334,000","140,273,000","133,541,000","135,448,000","151,869,000","138,429,000","124,033,000","132,956,000","145,386,000","127,110,000","121,648,000","146,748,000","132,412,000","130,923,000","132,856,000","142,817,000","132,122,000","133,901,000","119,632,000","150,987,000","130,672,000","128,988,000","118,677,000","126,357,000","137,055,000","148,940,000","105,533,000","154,808,000","114,531,000","126,049,000","121,676,000","113,329,000","100,800,000","114,118,000","76,706,000","137,209,000","63,151,000","133,726,000","118,173,000","132,345,000","132,882,000","127,117,000","135,191,000","142,438,000","128,544,000","127,375,000","120,274,000","126,136,000","119,046,000","132,365,000","117,800,000","115,556,000","124,132,000","116,561,000","112,351,000","112,034,000","107,882,000","109,592,000","100,633,000","101,344,000","117,375,000","62,712,000","98,154,000","78,594,000","103,815,000","73,174,000","96,398,000","92,123,000","97,736,000","83,294,000","88,882,000","68,964,000","73,312,000","35,246,000","83,364,000","73,835,000","14,546,000","63,142,000","92,918,000","92,851,000","92,974,000","74,590,000","77,328,000","82,366,000","73,693,000","79,039,000","76,274,000","-56,365,000","60,900,000","70,000,000","68,600,000","63,842,000","64,700,000","64,900,000","74,800,000","78,500,000","64,400,000","78,200,000","73,400,000","63,400,000","68,100,000","66,400,000","64,000,000","57,400,000","62,700,000","61,400,000","59,000,000","40,300,000","61,200,000","60,500,000","60,400,000","43,600,000","54,900,000","53,500,000","51,600,000","31,200,000","46,800,000","43,100,000","51,000,000","44,700,000","51,900,000","47,800,000","48,700,000","27,200,000","51,700,000","54,000,000","47,300,000","37,100,000","42,200,000"
