name,ttm,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008
TotalRevenue,"3,737,184,000","1,067,071,000","942,698,000","919,981,000","807,434,000","761,082,000","701,355,000","546,848,000","475,915,000","590,932,000","601,135,000","541,916,000","470,353,000","571,366,000","559,515,000","494,949,000","397,634,000","488,002,000","457,253,000","395,376,000","331,814,000","417,421,000","373,121,000","367,376,000","286,535,000","357,830,000","359,291,000","288,360,000","311,818,000","403,997,000","352,305,000","362,609,000","342,008,000","376,236,000","363,269,000","346,688,000","399,572,000","342,022,000","300,586,000","239,137,000","294,561,000","267,308,000","239,324,000","161,363,000","123,981,000","161,041,000","160,666,000","140,455,000","130,718,000","153,964,000","144,261,000","149,577,000","140,446,000","172,624,000","165,055,000"
	OperatingRevenue,"3,737,184,000","1,067,071,000","942,698,000","919,981,000","807,434,000","761,082,000","701,355,000","546,848,000","475,915,000","590,932,000","601,135,000","541,916,000","470,353,000","571,366,000","559,515,000","494,949,000","397,634,000","488,002,000","457,253,000","395,376,000","331,814,000","417,421,000","373,121,000","367,376,000","286,535,000","357,830,000","359,291,000","288,360,000","311,818,000","403,997,000","352,305,000","362,609,000","342,008,000","376,236,000","363,269,000","346,688,000","399,572,000","342,022,000","300,586,000","239,137,000","294,561,000","267,308,000","239,324,000","161,363,000","123,981,000","161,041,000","160,666,000","140,455,000","130,718,000","153,964,000","144,261,000","149,577,000","140,446,000","172,624,000","165,055,000"
CostOfRevenue,"2,377,102,000","704,532,000","606,704,000","580,246,000","485,620,000","460,880,000","425,206,000","337,865,000","303,595,000","368,710,000","383,618,000","346,078,000","308,178,000","360,456,000","361,630,000","318,693,000","257,645,000","308,300,000","299,784,000","260,916,000","221,328,000","263,294,000","235,349,000","243,229,000","188,475,000","226,706,000","228,965,000","192,463,000","209,215,000","265,587,000","222,022,000","234,597,000","222,494,000","230,554,000","223,806,000","215,735,000","246,110,000","215,869,000","184,773,000","151,708,000","183,556,000","168,843,000","150,665,000","101,010,000","76,804,000","97,209,000","93,304,000","85,710,000","79,300,000","90,320,000","79,770,000","89,389,000","92,919,000","114,463,000","109,229,000"
GrossProfit,"1,360,082,000","362,539,000","335,994,000","339,735,000","321,814,000","300,202,000","276,149,000","208,983,000","172,320,000","222,222,000","217,517,000","195,838,000","162,175,000","210,910,000","197,885,000","176,256,000","139,989,000","179,702,000","157,469,000","134,460,000","110,486,000","154,127,000","137,772,000","124,147,000","98,060,000","131,124,000","130,326,000","95,897,000","102,603,000","138,410,000","130,283,000","128,012,000","119,514,000","145,682,000","139,463,000","130,953,000","153,462,000","126,153,000","115,813,000","87,429,000","111,005,000","98,465,000","88,659,000","60,353,000","47,177,000","63,832,000","67,362,000","54,745,000","51,418,000","63,644,000","64,491,000","60,188,000","47,527,000","58,161,000","55,826,000"
OperatingExpense,"617,481,000","165,593,000","162,415,000","156,783,000","132,690,000","129,148,000","120,512,000","119,430,000","109,458,000","117,714,000","111,961,000","104,912,000","91,002,000","102,062,000","91,366,000","90,789,000","83,642,000","85,629,000","84,610,000","82,173,000","78,641,000","76,896,000","81,432,000","80,065,000","71,096,000","63,121,000","62,459,000","56,430,000","57,692,000","59,295,000","59,489,000","54,729,000","54,208,000","54,464,000","52,174,000","54,520,000","56,937,000","58,373,000","56,689,000","50,271,000","51,512,000","62,605,000","44,481,000","38,553,000","36,034,000","37,624,000","37,592,000","35,891,000","35,954,000","34,322,000","33,903,000","35,402,000","33,711,000","34,988,000","33,295,000"
	SellingGeneralAndAdministration,"463,292,000","118,538,000","123,044,000","120,387,000","101,323,000","98,719,000","91,962,000","92,308,000","83,028,000","89,581,000","86,952,000","79,967,000","72,051,000","84,845,000","72,035,000","72,691,000","66,157,000","67,129,000","66,504,000","64,477,000","61,157,000","59,751,000","62,495,000","61,959,000","55,102,000","48,975,000","47,842,000","42,038,000","44,334,000","46,078,000","46,390,000","41,618,000","41,117,000","39,799,000","37,988,000","41,111,000","44,107,000","43,123,000","37,844,000","32,280,000","34,232,000","35,959,000","28,318,000","23,089,000","20,422,000","20,645,000","20,949,000","19,488,000","19,471,000","18,135,000","18,291,000","19,823,000","18,287,000","20,542,000","19,090,000"
		GeneralAndAdministrativeExpense,"144,272,000","28,961,000","40,802,000","41,610,000","32,899,000","30,912,000","31,061,000","29,782,000","27,889,000","30,852,000","27,596,000","27,658,000","24,762,000","28,228,000","25,499,000","26,639,000","23,475,000","23,076,000","22,102,000","21,361,000","20,973,000","19,208,000","18,066,000","19,593,000","17,833,000","12,050,000","13,127,000","13,564,000","14,206,000","15,715,000","13,429,000","12,503,000","13,148,000","15,332,000","13,693,000","14,039,000","12,426,000","15,332,000","11,435,000","10,158,000","9,106,000","10,833,000","7,290,000","5,772,000","6,117,000","6,107,000","5,654,000","5,679,000","5,159,000","3,175,000","3,671,000","3,970,000","3,897,000","4,161,000","3,810,000"
			OtherGandA,"144,272,000","28,961,000","40,802,000","41,610,000","32,899,000","30,912,000","31,061,000","29,782,000","27,889,000","30,852,000","27,596,000","27,658,000","24,762,000","28,228,000","25,499,000","26,639,000","23,475,000","23,076,000","22,102,000","21,361,000","20,973,000","19,208,000","18,066,000","19,593,000","17,833,000","12,050,000","13,127,000","13,564,000","14,206,000","15,715,000","13,429,000","12,503,000","13,148,000","15,332,000","13,693,000","14,039,000","12,426,000","15,332,000","11,435,000","10,158,000","9,106,000","10,833,000","7,290,000","5,772,000","6,117,000","6,107,000","5,654,000","5,679,000","5,159,000","3,175,000","3,671,000","3,970,000","3,897,000","4,161,000","3,810,000"
		SellingAndMarketingExpense,"319,020,000","89,577,000","82,242,000","78,777,000","68,424,000","67,807,000","60,901,000","62,526,000","55,139,000","58,729,000","59,356,000","52,309,000","47,289,000","56,617,000","46,536,000","46,052,000","42,682,000","44,053,000","44,402,000","43,116,000","40,184,000","40,543,000","44,429,000","42,366,000","37,269,000","36,925,000","34,715,000","28,474,000","30,128,000","30,363,000","32,961,000","29,115,000","27,969,000","24,467,000","24,295,000","27,072,000","31,681,000","27,791,000","26,409,000","22,122,000","25,126,000","25,126,000","21,028,000","17,317,000","14,305,000","14,538,000","15,295,000","13,809,000","14,312,000","14,960,000","14,620,000","15,853,000","14,390,000","16,381,000","15,280,000"
	ResearchAndDevelopment,"104,303,000","29,406,000","27,165,000","25,344,000","22,388,000","21,489,000","20,658,000","19,455,000","18,649,000","19,488,000","17,603,000","17,694,000","13,609,000","11,897,000","13,653,000","12,616,000","11,853,000","11,193,000","10,864,000","10,567,000","10,301,000","9,717,000","9,426,000","9,889,000","8,197,000","8,015,000","8,332,000","8,412,000","8,163,000","7,914,000","7,822,000","8,012,000","7,746,000","8,379,000","7,183,000","7,064,000","6,645,000","6,285,000","6,456,000","5,703,000","5,055,000","4,807,000","4,176,000","3,608,000","3,885,000","3,916,000","3,580,000","3,482,000","3,722,000","3,090,000","2,515,000","2,625,000","2,612,000","2,448,000","2,207,000"
