name,ttm,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999,12/31/1998,09/30/1998,06/30/1998,03/31/1998,12/31/1997,09/30/1997,06/30/1997,03/31/1997,12/31/1996,09/30/1996,06/30/1996,03/31/1996,12/31/1995,09/30/1995,06/30/1995,03/31/1995,12/31/1994,09/30/1994,06/30/1994,03/31/1994,12/31/1993,09/30/1993,06/30/1993,03/31/1993,12/31/1992,09/30/1992,06/30/1992,03/31/1992,12/31/1991,09/30/1991,06/30/1991,03/31/1991,12/31/1990,09/30/1990,06/30/1990,03/31/1990,12/31/1989,09/30/1989,06/30/1989,03/31/1989,12/31/1988,09/30/1988,06/30/1988,03/31/1988,12/31/1987,09/30/1987,06/30/1987,03/31/1987,12/31/1986,09/30/1986,06/30/1986,03/31/1986,12/31/1985,09/30/1985
TotalRevenue,"18,870,510,000","4,803,209,000","4,818,849,000","4,783,738,000","4,464,714,000","4,251,594,000","4,370,086,000","3,823,227,000","4,559,532,000","4,706,189,000","5,015,023,000","4,934,260,000","4,736,833,000","4,603,792,000","4,722,922,000","4,822,065,000","4,586,294,000","4,207,076,000","4,095,906,000","4,100,178,000","3,905,641,000","3,780,065,000","3,941,743,000","3,899,638,000","3,718,267,000","3,681,790,000","3,921,802,000","3,940,401,000","3,736,051,000","3,822,454,000","3,985,909,000","3,908,387,000","3,624,897,000","3,517,801,000","3,685,243,000","3,675,997,000","3,198,802,000","3,118,966,000","3,375,778,000","3,337,836,000","3,181,288,000","3,014,135,000","3,285,560,000","3,184,984,000","2,974,198,000","2,807,728,000","2,950,560,000","2,847,186,000","2,602,115,000","2,471,214,000","2,606,757,000","2,535,045,000","2,444,496,000","2,520,190,000","2,882,115,000","2,873,485,000","2,739,473,000","2,627,269,000","2,797,556,000","2,769,527,000","2,648,843,000","2,542,944,000","2,699,641,000","2,661,805,000","2,553,552,000","2,409,689,000","2,555,503,000","2,475,657,000","2,342,201,000","2,253,307,000","2,349,283,000","2,297,686,000","2,196,991,000","2,085,260,000","2,189,388,000","2,152,794,000","2,021,858,000","1,993,501,000","2,156,759,000","2,130,924,000","1,977,743,000","1,947,529,000","2,099,191,000","2,118,976,000","2,054,972,000","1,996,411,000","2,159,940,000","2,135,502,000","2,078,004,000","1,975,200,000","2,082,200,000","2,022,900,000","1,901,400,000","1,701,400,000","1,760,100,000","1,619,400,000","1,533,100,000","1,481,300,000","1,555,800,000","1,510,500,000","1,457,600,000","1,400,900,000","1,474,800,000","1,444,900,000","1,399,900,000","1,309,500,000","1,362,500,000","1,308,700,000","1,281,200,000","1,208,100,000","1,268,400,000","1,219,800,000","1,162,100,000","1,095,300,000","1,144,800,000","1,106,200,000","1,037,900,000","908,000,000","960,900,000","926,600,000","873,200,000","842,700,000","897,800,000","884,900,000","809,200,000","793,200,000","862,300,000","842,700,000","821,300,000","763,800,000","814,200,000","812,300,000","771,000,000","716,500,000","777,700,000","748,100,000","699,700,000","644,800,000","686,100,000","666,500,000","608,800,000","582,000,000","628,600,000","617,600,000","565,900,000","546,800,000","598,200,000"
	OperatingRevenue,"18,870,510,000","4,803,209,000","4,818,849,000","4,783,738,000","4,464,714,000","4,251,594,000","4,370,086,000","3,823,227,000","4,559,532,000","4,706,189,000","5,015,023,000","4,934,260,000","4,736,833,000","4,603,792,000","4,722,922,000","4,822,065,000","4,586,294,000","4,207,076,000","4,095,906,000","4,100,178,000","3,905,641,000","3,780,065,000","3,941,743,000","3,899,638,000","3,718,267,000","3,681,790,000","3,921,802,000","3,940,401,000","3,736,051,000","3,822,454,000","3,985,909,000","3,908,387,000","3,624,897,000","3,517,801,000","3,685,243,000","3,675,997,000","3,198,802,000","3,118,966,000","3,375,778,000","3,337,836,000","3,181,288,000","3,014,135,000","3,285,560,000","3,184,984,000","2,974,198,000","2,807,728,000","2,950,560,000","2,847,186,000","2,602,115,000","2,471,214,000","2,606,757,000","2,535,045,000","2,444,496,000","2,520,190,000","2,882,115,000","2,873,485,000","2,739,473,000","2,627,269,000","2,797,556,000","2,769,527,000","2,648,843,000","2,542,944,000","2,699,641,000","2,661,805,000","2,553,552,000","2,409,689,000","2,555,503,000","2,475,657,000","2,342,201,000","2,253,307,000","2,349,283,000","2,297,686,000","2,196,991,000","2,085,260,000","2,189,388,000","2,152,794,000","2,021,858,000","1,993,501,000","2,156,759,000","2,130,924,000","1,977,743,000","1,947,529,000","2,099,191,000","2,118,976,000","2,054,972,000","1,996,411,000","2,159,940,000","2,135,502,000","2,078,004,000","1,975,200,000","2,082,200,000","2,022,900,000","1,901,400,000","1,701,400,000","1,760,100,000","1,619,400,000","1,533,100,000","1,481,300,000","1,555,800,000","1,510,500,000","1,457,600,000","1,400,900,000","1,474,800,000","1,444,900,000","1,399,900,000","1,309,500,000","1,362,500,000","1,308,700,000","1,281,200,000","1,208,100,000","1,268,400,000","1,219,800,000","1,162,100,000","1,095,300,000","1,144,800,000","1,106,200,000","1,037,900,000","908,000,000","960,900,000","926,600,000","873,200,000","842,700,000","897,800,000","884,900,000","809,200,000","793,200,000","862,300,000","842,700,000","821,300,000","763,800,000","814,200,000","812,300,000","771,000,000","716,500,000","777,700,000","748,100,000","699,700,000","644,800,000","686,100,000","666,500,000","608,800,000","582,000,000","628,600,000","617,600,000","565,900,000","546,800,000","598,200,000"
CostOfRevenue,"12,236,374,000","3,109,760,000","3,108,082,000","3,094,633,000","2,923,899,000","2,803,484,000","2,842,020,000","2,532,740,000","3,058,741,000","3,121,095,000","3,390,597,000","3,335,679,000","3,228,665,000","3,061,633,000","3,238,687,000","3,300,479,000","3,150,487,000","2,923,001,000","2,869,016,000","2,860,466,000","2,749,920,000","2,648,982,000","2,743,142,000","2,734,186,000","2,613,796,000","2,586,312,000","2,752,577,000","2,762,071,000","2,623,232,000","2,675,913,000","2,802,487,000","2,729,219,000","2,540,267,000","2,425,660,000","2,584,320,000","2,570,889,000","2,277,054,000","2,208,308,000","2,399,742,000","2,365,550,000","2,262,177,000","2,121,535,000","2,337,028,000","2,268,870,000","2,125,404,000","1,990,600,000","2,097,529,000","2,024,876,000","1,841,640,000","1,703,754,000","1,841,511,000","1,790,190,000","1,712,295,000","1,768,401,000","2,033,110,000","2,021,272,000","1,919,990,000","1,982,063,000","1,927,068,000","1,899,942,000","1,816,899,000","1,727,403,000","1,868,346,000","1,836,623,000","1,750,075,000","1,621,842,000","1,777,001,000","1,714,400,000","1,605,721,000","1,502,953,000","1,649,890,000","1,604,621,000","1,510,080,000","1,404,316,000","1,537,439,000","1,501,411,000","1,383,518,000","1,337,317,000","1,506,966,000","1,486,692,000","1,373,774,000","1,322,483,000","1,468,879,000","1,451,895,000","1,408,775,000","1,197,369,000","1,513,413,000","1,495,049,000","1,466,226,000","1,302,800,000","1,454,300,000","1,412,700,000","1,327,800,000","1,115,800,000","1,229,600,000","1,126,400,000","1,070,400,000","978,200,000","1,076,900,000","1,051,300,000","1,013,400,000","940,900,000","1,024,000,000","1,009,000,000","978,600,000","872,700,000","943,000,000","907,600,000","888,300,000","775,100,000","876,700,000","847,900,000","806,500,000","709,700,000","788,800,000","771,200,000","719,000,000","588,500,000","661,500,000","644,200,000","603,400,000","552,000,000","617,200,000","617,000,000","557,800,000","514,100,000","593,900,000","588,100,000","569,900,000","501,400,000","564,400,000","569,200,000",,,,,,,,,,,,,,,
GrossProfit,"6,634,136,000","1,693,449,000","1,710,767,000","1,689,105,000","1,540,815,000","1,448,110,000","1,528,066,000","1,290,487,000","1,500,791,000","1,585,094,000","1,624,426,000","1,598,581,000","1,508,168,000","1,542,159,000","1,484,235,000","1,521,586,000","1,435,807,000","1,284,075,000","1,226,890,000","1,239,712,000","1,155,721,000","1,131,083,000","1,198,601,000","1,165,452,000","1,104,471,000","1,095,478,000","1,169,225,000","1,178,330,000","1,112,819,000","1,146,541,000","1,183,422,000","1,179,168,000","1,084,630,000","1,092,141,000","1,100,923,000","1,105,108,000","921,748,000","910,658,000","976,036,000","972,286,000","919,111,000","892,600,000","948,532,000","916,114,000","848,794,000","817,128,000","853,031,000","822,310,000","760,475,000","767,460,000","765,246,000","744,855,000","732,201,000","751,789,000","849,005,000","852,213,000","819,483,000","645,206,000","870,488,000","869,585,000","831,944,000","815,541,000","831,295,000","825,182,000","803,477,000","787,847,000","778,502,000","761,257,000","736,480,000","750,354,000","699,393,000","693,065,000","686,911,000","680,944,000","651,949,000","651,383,000","638,340,000","656,184,000","649,793,000","644,232,000","603,969,000","625,046,000","630,312,000","667,081,000","646,197,000","799,042,000","646,527,000","640,453,000","611,778,000","672,400,000","627,900,000","610,200,000","573,600,000","585,600,000","530,500,000","493,000,000","462,700,000","503,100,000","478,900,000","459,200,000","444,200,000","460,000,000","450,800,000","435,900,000","421,300,000","436,800,000","419,500,000","401,100,000","392,900,000","433,000,000","391,700,000","371,900,000","355,600,000","385,600,000","356,000,000","335,000,000","318,900,000","319,500,000","299,400,000","282,400,000","269,800,000","290,700,000","280,600,000","267,900,000","251,400,000","279,100,000","268,400,000","254,600,000","251,400,000","262,400,000","249,800,000","243,100,000",,,,,,,,,,,,,,,
OperatingExpense,"5,471,216,000","1,355,368,000","1,415,173,000","1,428,306,000","1,272,369,000","1,202,180,000","1,214,886,000","1,049,622,000","1,310,486,000","1,326,657,000","1,340,508,000","1,289,029,000","1,263,166,000","1,283,616,000","1,185,287,000","1,210,334,000","1,194,835,000","1,051,703,000","980,535,000","942,575,000","911,946,000","899,365,000","907,244,000","865,400,000","857,826,000","833,137,000","868,650,000","868,213,000","861,438,000","874,750,000","885,139,000","868,988,000","840,658,000","842,516,000","829,177,000","790,380,000","699,611,000","654,433,000","704,503,000","704,981,000","690,943,000","663,747,000","701,432,000","674,563,000","656,814,000","606,177,000","640,542,000","621,517,000","598,360,000","577,931,000","594,540,000","578,805,000","587,533,000","569,943,000","638,163,000","636,502,000","627,802,000","420,667,000","663,101,000","659,769,000","635,834,000","595,662,000","634,445,000","629,688,000","618,982,000","610,930,000","598,403,000","581,419,000","564,270,000","598,483,000","541,675,000","529,132,000","524,514,000","547,469,000","506,903,000","503,356,000","493,145,000","506,222,000","494,633,000","486,520,000","461,067,000","508,739,000","483,286,000","509,268,000","497,408,000","619,242,000","493,133,000","479,626,000","459,049,000","490,200,000","477,900,000","456,900,000","431,100,000","413,100,000","388,000,000","351,000,000","330,500,000","341,000,000","340,500,000","320,700,000","317,700,000","305,100,000","316,100,000","302,300,000","299,200,000","290,400,000","292,300,000","277,500,000","279,400,000","297,200,000","272,100,000","255,500,000","252,500,000","265,000,000","247,900,000","228,700,000","228,100,000","219,000,000","209,700,000","194,000,000","194,500,000","194,600,000","194,800,000","184,200,000","182,200,000","188,800,000","184,000,000","171,800,000","175,600,000","175,600,000","168,000,000","162,500,000",,,,,,,,,,,,,,,
	SellingGeneralAndAdministration,"5,162,506,000","1,279,265,000","1,338,768,000","1,349,309,000","1,195,164,000","1,132,297,000","1,140,156,000","971,589,000","1,232,743,000","1,250,141,000","1,269,893,000","1,216,913,000","1,197,220,000","1,214,036,000","1,119,266,000","1,148,217,000","1,133,771,000","987,720,000","940,259,000","903,343,000","873,814,000","848,610,000","869,562,000","829,489,000","823,172,000","784,853,000","834,372,000","832,610,000","825,554,000","827,868,000","850,156,000","832,205,000","803,802,000","797,940,000","793,957,000","753,527,000","673,612,000","621,332,000","678,894,000","680,246,000","667,958,000","628,501,000","679,967,000","651,635,000","634,269,000","573,670,000","618,449,000","598,331,000","576,217,000","526,551,000","571,978,000","556,394,000","565,012,000","547,714,000","616,395,000","614,485,000","605,118,000","396,979,000","641,107,000","638,451,000","615,132,000","577,730,000","614,209,000","612,056,000","601,359,000","610,930,000","598,403,000","581,419,000","564,270,000","598,483,000","541,675,000","529,132,000","524,514,000","547,469,000","506,903,000","503,356,000","493,145,000","506,222,000","494,633,000","486,520,000","461,067,000","508,739,000","483,286,000","485,164,000","474,370,000","596,699,000","470,747,000","456,076,000","435,225,000","467,800,000","453,100,000","436,800,000","408,400,000","391,500,000","371,900,000","335,400,000","314,500,000","326,000,000","325,600,000","306,700,000","302,700,000","293,900,000","300,500,000","290,400,000","287,500,000","278,800,000","281,300,000","267,300,000","269,000,000","287,300,000","262,700,000","246,400,000","243,400,000","256,500,000","239,300,000","220,000,000","219,600,000","211,200,000","201,700,000","186,100,000","187,100,000","187,400,000","187,400,000","176,800,000","174,600,000","182,100,000","176,300,000","164,400,000","168,600,000","170,000,000","161,100,000","156,400,000",,,,,,,,,,,,,,,
	DepreciationAmortizationDepletionIncomeStatement,"290,971,000","72,594,000","72,121,000","73,960,000","72,296,000","69,758,000","69,097,000","66,733,000","70,443,000","73,235,000","68,922,000","66,154,000","61,977,000","63,739,000","61,082,000","58,451,000","58,363,000","50,051,000","40,276,000","39,232,000","38,132,000","39,240,000","37,682,000","35,911,000","34,654,000","35,911,000","34,278,000","35,603,000","35,884,000","39,690,000","34,983,000","36,783,000","36,856,000","35,885,000","35,220,000","36,853,000","25,999,000","25,054,000","25,609,000","24,735,000","22,985,000","21,998,000","21,465,000","22,928,000","22,545,000","21,910,000","22,093,000","23,186,000","22,143,000","22,917,000","22,562,000","22,411,000","22,521,000","22,229,000","21,768,000","22,017,000","22,684,000","23,688,000","21,994,000","21,318,000","20,702,000","17,932,000","20,236,000","17,632,000","17,623,000",,,,,,,,,,,,,,,,,,,"24,104,000","23,038,000","22,543,000","22,386,000","23,550,000","23,824,000","22,400,000","24,800,000","20,100,000","22,700,000","21,600,000","16,100,000","15,600,000","16,000,000","15,000,000","14,900,000","14,000,000","15,000,000","11,200,000","15,600,000","11,900,000","11,700,000","11,600,000","11,000,000","10,200,000","10,400,000","9,900,000","9,400,000","9,100,000","9,100,000","8,500,000","8,600,000","8,700,000","8,500,000","7,800,000","8,000,000","7,900,000","7,400,000","7,200,000","7,400,000","7,400,000","7,600,000","6,700,000","7,700,000","7,400,000","7,000,000","5,600,000","6,900,000","6,100,000",,,,,,,,,,,,,,,
		DepreciationAndAmortizationInIncomeStatement,"290,971,000","72,594,000","72,121,000","73,960,000","72,296,000","69,758,000","69,097,000","66,733,000","70,443,000","73,235,000","68,922,000","66,154,000","61,977,000","63,739,000","61,082,000","58,451,000","58,363,000","50,051,000","40,276,000","39,232,000","38,132,000","39,240,000","37,682,000","35,911,000","34,654,000","35,911,000","34,278,000","35,603,000","35,884,000","39,690,000","34,983,000","36,783,000","36,856,000","35,885,000","35,220,000","36,853,000","25,999,000","25,054,000","25,609,000","24,735,000","22,985,000","21,998,000","21,465,000","22,928,000","22,545,000","21,910,000","22,093,000","23,186,000","22,143,000","22,917,000","22,562,000","22,411,000","22,521,000","22,229,000","21,768,000","22,017,000","22,684,000","23,688,000","21,994,000","21,318,000","20,702,000","17,932,000","20,236,000","17,632,000","17,623,000",,,,,,,,,,,,,,,,,,,"24,104,000","23,038,000","22,543,000","22,386,000","23,550,000","23,824,000","22,400,000","24,800,000","20,100,000","22,700,000","21,600,000","16,100,000","15,600,000","16,000,000","15,000,000","14,900,000","14,000,000","15,000,000","11,200,000","15,600,000","11,900,000","11,700,000","11,600,000","11,000,000","10,200,000","10,400,000","9,900,000","9,400,000","9,100,000","9,100,000","8,500,000","8,600,000","8,700,000","8,500,000","7,800,000","8,000,000","7,900,000","7,400,000","7,200,000","7,400,000","7,400,000","7,600,000","6,700,000","7,700,000","7,400,000","7,000,000","5,600,000","6,900,000","6,100,000",,,,,,,,,,,,,,,
	ProvisionForDoubtfulAccounts,"17,739,000","3,509,000","4,284,000","5,037,000","4,909,000","125,000","5,633,000","11,300,000","7,300,000","3,281,000","1,693,000","5,962,000","3,969,000","5,841,000","4,939,000","3,666,000","2,701,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OperatingIncome,"1,162,920,000","338,081,000","295,594,000","260,799,000","268,446,000","245,930,000","313,180,000","240,865,000","190,305,000","258,437,000","283,918,000","309,552,000","245,002,000","258,543,000","298,948,000","311,252,000","240,972,000","232,372,000","246,355,000","297,137,000","243,775,000","231,718,000","291,357,000","300,052,000","246,645,000","262,341,000","300,575,000","310,117,000","251,381,000","271,791,000","298,283,000","310,180,000","243,972,000","249,625,000","271,746,000","314,728,000","222,137,000","256,225,000","271,533,000","267,305,000","228,168,000","228,853,000","247,100,000","241,551,000","191,980,000","210,951,000","212,489,000","200,793,000","162,115,000","189,529,000","170,706,000","166,050,000","144,668,000","181,846,000","210,842,000","215,711,000","191,681,000","224,539,000","207,387,000","209,816,000","196,110,000","219,879,000","196,850,000","195,494,000","184,495,000","176,917,000","180,099,000","179,838,000","172,210,000","151,871,000","157,718,000","163,933,000","162,397,000","133,475,000","145,046,000","148,027,000","145,195,000","149,962,000","155,160,000","157,712,000","142,902,000","116,307,000","147,026,000","157,813,000","148,789,000","179,800,000","153,394,000","160,827,000","152,729,000","182,200,000","150,000,000","153,300,000","142,500,000","172,500,000","142,500,000","142,000,000","132,200,000","162,100,000","138,400,000","138,500,000","126,500,000","154,900,000","134,700,000","133,600,000","122,100,000","146,400,000","127,200,000","123,600,000","113,500,000","135,800,000","119,600,000","116,400,000","103,100,000","120,600,000","108,100,000","106,300,000","90,800,000","100,500,000","89,700,000","88,400,000","75,300,000","96,100,000","85,800,000","83,700,000","69,200,000","90,300,000","84,400,000","82,800,000","75,800,000","86,800,000","81,800,000","80,600,000","771,000,000","-1,935,000,000","777,700,000","748,100,000","699,700,000","-1,699,400,000","686,100,000","666,500,000","608,800,000","-1,571,500,000","628,600,000","617,600,000","565,900,000","-1,496,600,000","598,200,000"
