name,ttm,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,11/30/2016,08/31/2016,05/31/2016,02/29/2016,11/30/2015,08/31/2015,05/31/2015,02/28/2015,11/30/2014,08/31/2014,05/31/2014,02/28/2014,11/30/2013,08/31/2013,05/31/2013,02/28/2013,11/30/2012,08/31/2012,05/31/2012,02/29/2012,11/30/2011,08/31/2011,05/31/2011,02/28/2011,11/30/2010,08/31/2010,05/31/2010,02/28/2010,11/30/2009,08/31/2009,05/31/2009,02/28/2009,11/30/2008,08/31/2008,05/31/2008,02/29/2008,11/30/2007,08/31/2007,05/31/2007,02/28/2007,11/30/2006,08/31/2006,05/31/2006,02/28/2006,11/30/2005,08/31/2005,05/31/2005,02/28/2005,11/30/2004,08/31/2004,05/31/2004,02/29/2004,11/30/2003,08/31/2003,05/31/2003,02/28/2003,11/30/2002,08/31/2002,05/31/2002,02/28/2002,11/30/2001,08/31/2001,05/31/2001,02/28/2001,11/30/2000
TotalRevenue,"8,523,762,000","2,193,981,000","2,202,337,000","2,137,437,000","1,990,007,000","1,930,193,000","1,917,815,000","1,671,952,000","1,903,598,000","1,987,761,000","1,105,941,000","935,152,000","883,039,000","880,555,000","857,670,000","833,164,000","794,977,000","1,054,253,000","1,038,907,000","962,240,000","919,762,000","941,821,000","939,492,000","747,064,000","679,940,000","722,350,000","748,796,000","706,549,000","664,983,000","697,291,000","704,895,000","673,977,000","616,452,000","634,122,000","629,685,000","618,352,000","578,746,000","588,538,000","590,287,000","597,032,000","533,539,000","530,505,000","542,771,000","519,755,000","456,382,000","443,526,000","440,138,000","425,050,000","398,535,000","408,951,000","441,310,000","402,041,000","392,663,000","401,063,000","405,757,000","343,832,000","310,641,000","308,776,000","310,980,000","280,100,000","260,418,000","260,697,000","260,308,000","238,768,000","225,159,000","219,673,000","224,456,000","207,665,000","195,526,000","188,549,000","192,591,000","181,849,000","162,560,000","148,447,000","136,464,000","134,322,000","124,573,000","129,461,000","127,728,000","120,971,000","115,283,000","115,617,000","110,955,000","102,699,000","80,674,000","82,631,000"
	OperatingRevenue,"8,523,762,000","2,193,981,000","2,202,337,000","2,137,437,000","1,990,007,000","1,930,193,000","1,917,815,000","1,671,952,000","1,903,598,000","1,987,761,000","1,105,941,000","935,152,000","883,039,000","880,555,000","857,670,000","833,164,000","794,977,000","1,054,253,000","1,038,907,000","962,240,000","919,762,000","941,821,000","939,492,000","747,064,000","679,940,000","722,350,000","748,796,000","706,549,000","664,983,000","697,291,000","704,895,000","673,977,000","616,452,000","634,122,000","629,685,000","618,352,000","578,746,000","588,538,000","590,287,000","597,032,000","533,539,000","530,505,000","542,771,000","519,755,000","456,382,000","443,526,000","440,138,000","425,050,000","398,535,000","408,951,000","441,310,000","402,041,000","392,663,000","401,063,000","405,757,000","343,832,000","310,641,000","308,776,000","310,980,000","280,100,000","260,418,000","260,697,000","260,308,000","238,768,000","225,159,000","219,673,000","224,456,000","207,665,000","195,526,000","188,549,000","192,591,000","181,849,000","162,560,000","148,447,000","136,464,000","134,322,000","124,573,000","129,461,000","127,728,000","120,971,000","115,283,000","115,617,000","110,955,000","102,699,000","80,674,000","82,631,000"
CostOfRevenue,"3,773,725,000","967,997,000","944,172,000","936,310,000","925,246,000","922,195,000","900,921,000","893,740,000","933,871,000","1,038,578,000","427,720,000","302,276,000","305,230,000","313,071,000","265,013,000","264,544,000","252,386,000","509,068,000","493,883,000","469,149,000","455,936,000","468,383,000","462,626,000","345,680,000","258,728,000","270,565,000","272,666,000","254,217,000","250,255,000","257,796,000","259,839,000","253,373,000","232,937,000","235,170,000","230,745,000","229,951,000","217,465,000","210,268,000","204,391,000","213,071,000","194,218,000","185,931,000","191,536,000","191,439,000","168,332,000","154,205,000","151,041,000","152,322,000","146,202,000","144,881,000","162,828,000","153,537,000","146,760,000","154,311,000","144,177,000","125,129,000","117,661,000","116,513,000","116,309,000","107,326,000","103,555,000","105,766,000","98,190,000","89,063,000","88,863,000","86,912,000","93,183,000","90,104,000","87,378,000","79,350,000","80,440,000","88,144,000","71,773,000","67,274,000","62,162,000","66,327,000","62,682,000","64,395,000","66,886,000","65,774,000","64,141,000","60,718,000","61,493,000","65,843,000","44,607,000","43,250,000"
GrossProfit,"4,750,037,000","1,225,984,000","1,258,165,000","1,201,127,000","1,064,761,000","1,007,998,000","1,016,894,000","778,212,000","969,727,000","949,183,000","678,221,000","632,876,000","577,809,000","567,484,000","592,657,000","568,620,000","542,591,000","545,185,000","545,024,000","493,091,000","463,826,000","473,438,000","476,866,000","401,384,000","421,212,000","451,785,000","476,130,000","452,332,000","414,728,000","439,495,000","445,056,000","420,604,000","383,515,000","398,952,000","398,940,000","388,401,000","361,281,000","378,270,000","385,896,000","383,961,000","339,321,000","344,574,000","351,235,000","328,316,000","288,050,000","289,321,000","289,097,000","272,728,000","252,333,000","264,070,000","278,482,000","248,504,000","245,903,000","246,752,000","261,580,000","218,703,000","192,980,000","192,263,000","194,671,000","172,774,000","156,863,000","154,931,000","162,118,000","149,705,000","136,296,000","132,761,000","131,273,000","117,561,000","108,148,000","109,199,000","112,151,000","93,705,000","90,787,000","81,173,000","74,302,000","67,995,000","61,891,000","65,066,000","60,842,000","55,197,000","51,142,000","54,899,000","49,462,000","36,856,000","36,067,000","39,381,000"
OperatingExpense,"3,391,161,000","905,008,000","858,082,000","838,569,000","789,502,000","756,016,000","726,475,000","670,638,000","725,748,000","753,021,000","504,184,000","411,150,000","378,317,000","400,498,000","369,495,000","377,883,000","386,421,000","395,610,000","372,553,000","361,239,000","358,856,000","368,171,000","355,760,000","345,182,000","313,407,000","328,620,000","338,358,000","348,732,000","310,113,000","315,511,000","320,658,000","331,687,000","286,224,000","287,045,000","291,556,000","319,032,000","270,507,000","276,177,000","281,419,000","289,711,000","246,973,000","247,994,000","242,625,000","240,172,000","209,851,000","206,178,000","206,990,000","201,243,000","178,484,000","175,368,000","185,836,000","33,395,000","180,117,000","163,987,000","168,483,000","151,918,000","133,069,000","133,518,000","127,436,000","118,620,000","105,670,000","102,628,000","98,591,000","97,304,000","88,161,000","81,728,000","79,876,000","74,345,000","69,929,000","68,421,000","70,537,000","59,576,000","60,355,000","51,947,000","45,541,000","44,327,000","40,108,000","41,311,000","35,525,000","23,257,000","33,147,000","34,117,000","26,775,000","23,447,000","24,101,000","23,409,000"
	SellingGeneralAndAdministration,"3,391,161,000","905,008,000","858,082,000","838,569,000","789,502,000","756,016,000","726,475,000","670,638,000","725,748,000","753,021,000","504,184,000","411,150,000","378,317,000","400,498,000","369,495,000","377,883,000","386,421,000","395,610,000","372,553,000","361,239,000","358,856,000","368,171,000","355,760,000","345,182,000","313,407,000","328,620,000","338,358,000","348,732,000","310,113,000","315,511,000","320,658,000","331,687,000","286,224,000","294,045,000","291,556,000","290,568,000","271,696,000","276,177,000","281,419,000","289,711,000","246,973,000","247,994,000","242,625,000","240,172,000","209,851,000","206,178,000","206,990,000","201,243,000","178,484,000","175,368,000","185,836,000","181,059,000","180,117,000","163,987,000","168,483,000","151,918,000","133,069,000","133,518,000","127,436,000","118,620,000","105,670,000","102,628,000","98,591,000","97,304,000","88,161,000","81,728,000","79,876,000","74,345,000","69,929,000","68,421,000","70,537,000","59,576,000","60,355,000","51,947,000","45,541,000","44,327,000","40,108,000","41,311,000","35,525,000","34,250,000","33,147,000","34,117,000","26,775,000","30,639,000","24,101,000","23,409,000"
	OtherOperatingExpenses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0",,"-7,000,000",,"28,464,000","-1,189,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OperatingIncome,"1,358,876,000","320,976,000","400,083,000","362,558,000","275,259,000","251,982,000","290,419,000","107,574,000","243,979,000","196,162,000","174,037,000","221,726,000","199,492,000","166,986,000","223,162,000","190,737,000","156,170,000","149,575,000","172,471,000","131,852,000","104,970,000","105,267,000","121,106,000","56,202,000","107,805,000","123,165,000","137,772,000","103,600,000","104,615,000","123,984,000","124,398,000","88,917,000","97,291,000","111,907,000","107,384,000","69,369,000","90,774,000","102,093,000","104,477,000","94,250,000","92,348,000","96,580,000","108,610,000","88,144,000","78,199,000","83,143,000","82,107,000","71,485,000","73,849,000","88,702,000","92,646,000","215,109,000","65,786,000","82,765,000","93,097,000","66,785,000","59,911,000","58,745,000","67,235,000","54,154,000","51,193,000","52,303,000","63,527,000","52,401,000","48,135,000","51,033,000","51,397,000","43,216,000","38,219,000","40,778,000","41,614,000","34,129,000","30,432,000","29,226,000","28,761,000","23,668,000","21,783,000","23,755,000","25,317,000","31,940,000","17,995,000","20,782,000","22,687,000","13,409,000","11,966,000","15,972,000"
NetNonOperatingInterestIncomeExpense,"-314,331,000","-84,456,000","-75,867,000","-75,101,000","-78,907,000","-76,799,000","-52,993,000","-80,068,000","-90,138,000","-72,976,000","-84,929,000","-59,440,000","-56,147,000","-52,616,000","-43,222,000","-45,152,000","-33,911,000","-41,550,000","-38,417,000","-46,529,000","-39,690,000","-51,095,000","-604,000","-26,889,000","-12,208,000","-12,834,000","-12,101,000","-8,332,000","-12,269,000","-9,068,000","-9,818,000","-7,358,000","-13,513,000","-2,737,000","-4,541,000","-4,418,000","-4,527,000","-12,422,000","-1,562,000","-1,367,000","-1,330,000","-2,619,000","-1,586,000","-1,171,000","-2,684,000","-227,000","-3,304,000","-2,885,000","-2,822,000","-3,733,000","-3,440,000","67,000","-1,022,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
	InterestIncomeNonOperating,"19,320,000","3,311,000","6,320,000","5,455,000","4,234,000","8,274,000","29,983,000","2,787,000","2,506,000","11,071,000","11,232,000","6,176,000","2,934,000","3,322,000","3,134,000","2,568,000","11,694,000","2,875,000","2,347,000","1,832,000","1,607,000","1,353,000","42,473,000","1,758,000","1,092,000","1,292,000","1,142,000","1,315,000","1,160,000","1,282,000","1,192,000","2,093,000","2,944,000","5,288,000","3,338,000","3,647,000","2,536,000","2,187,000","1,983,000","2,818,000","2,368,000","2,259,000","2,501,000","3,535,000","1,631,000","4,072,000","1,537,000","1,930,000","1,319,000","690,000","731,000","690,000","1,200,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
