name,ttm,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000
TotalRevenue,"4,982,795,000","1,391,589,000","1,191,973,000","1,326,905,000","1,072,327,000","1,351,405,000","1,109,194,000","869,867,000","856,108,000","1,102,232,000","934,383,000","954,840,000","766,050,000","932,108,000","810,011,000","894,452,000","710,872,000","888,496,000","743,077,000","816,885,000","638,546,000","860,767,000","722,250,000","811,609,000","624,040,000","781,357,000","679,690,000","773,830,000","585,394,000","803,306,000","706,283,000","777,848,000","583,221,000","759,695,000","643,637,000","696,563,000","531,957,000","768,548,000","672,376,000","718,154,000","556,597,000","909,644,000","666,993,000","674,099,000","507,834,000","837,715,000","692,364,000","728,765,000","431,067,000","1,059,383,000","781,254,000","669,104,000","436,699,000","1,048,247,000","870,355,000","911,671,000","663,805,000","1,217,021,000","728,673,000","742,466,000","492,159,000","611,224,000","407,997,000","432,468,000","322,311,000","319,296,000","251,329,000","264,497,000","192,651,000","220,948,000","193,616,000","189,655,000","158,329,000","170,144,000","135,562,000","143,495,000","123,788,000","133,694,000","107,756,000","122,838,000","100,856,000","93,021,000","86,930,000","103,634,000","85,534,000","85,662,000","86,693,000","86,693,000","86,693,000"
	OperatingRevenue,"4,982,795,000","1,391,589,000","1,191,973,000","1,326,905,000","1,072,327,000","1,351,405,000","1,109,194,000","869,867,000","856,108,000","1,102,232,000","934,383,000","954,840,000","766,050,000","932,108,000","810,011,000","894,452,000","710,872,000","888,496,000","743,077,000","816,885,000","638,546,000","860,767,000","722,250,000","811,609,000","624,040,000","781,357,000","679,690,000","773,830,000","585,394,000","803,306,000","706,283,000","777,848,000","583,221,000","759,695,000","643,637,000","696,563,000","531,957,000","768,548,000","672,376,000","718,154,000","556,597,000","909,644,000","666,993,000","674,099,000","507,834,000","837,715,000","692,364,000","728,765,000","431,067,000","1,059,383,000","781,254,000","669,104,000","436,699,000","1,048,247,000","870,355,000","911,671,000","663,805,000","1,217,021,000","728,673,000","742,466,000","492,159,000","611,224,000","407,997,000","432,468,000","322,311,000","319,296,000","251,329,000","264,497,000","192,651,000","220,948,000","193,616,000","189,655,000","158,329,000","170,144,000","135,562,000","143,495,000","123,788,000","133,694,000","107,756,000","122,838,000","100,856,000","93,021,000","86,930,000","103,634,000","85,534,000","85,662,000","86,693,000","86,693,000","86,693,000"
CostOfRevenue,"2,092,336,000","619,484,000","496,026,000","546,054,000","430,771,000","560,421,000","441,211,000","354,437,000","349,168,000","462,777,000","366,925,000","379,475,000","314,352,000","382,942,000","329,264,000","371,182,000","284,337,000","388,978,000","309,412,000","339,027,000","266,423,000","389,985,000","316,270,000","348,651,000","284,190,000","368,214,000","317,500,000","354,580,000","241,272,000","372,458,000","308,037,000","333,363,000","252,387,000","365,057,000","290,748,000","312,923,000","255,824,000","394,694,000","313,321,000","296,341,000","272,838,000","475,857,000","322,662,000","351,999,000","269,460,000","457,922,000","348,344,000","337,113,000","200,158,000","572,623,000","371,512,000","317,490,000","240,704,000","617,614,000","484,716,000","494,543,000","343,690,000","708,036,000","386,822,000","367,799,000","254,407,000","306,771,000","209,137,000","216,184,000","159,521,000","156,857,000","121,877,000","124,516,000","89,453,000","100,150,000","81,945,000","91,336,000","77,878,000","74,625,000","58,853,000","59,838,000","49,133,000","59,843,000","48,705,000","55,176,000","46,364,000","43,559,000","39,201,000","48,584,000","39,616,000",,,,
GrossProfit,"2,890,459,000","772,105,000","695,947,000","780,851,000","641,556,000","790,984,000","667,983,000","515,430,000","506,940,000","639,455,000","567,458,000","575,365,000","451,698,000","549,166,000","480,747,000","523,270,000","426,535,000","499,518,000","433,665,000","477,858,000","372,123,000","470,782,000","405,980,000","462,958,000","339,850,000","413,143,000","362,190,000","419,250,000","344,122,000","430,848,000","398,246,000","444,485,000","330,834,000","394,638,000","352,889,000","383,640,000","276,133,000","373,854,000","359,055,000","421,813,000","283,759,000","433,787,000","344,331,000","322,100,000","238,374,000","379,793,000","344,020,000","391,652,000","230,909,000","486,760,000","409,742,000","351,614,000","195,995,000","430,633,000","385,639,000","417,128,000","320,115,000","508,985,000","341,851,000","374,667,000","237,752,000","304,453,000","198,860,000","216,284,000","162,790,000","162,439,000","129,452,000","139,981,000","103,198,000","120,798,000","111,671,000","98,319,000","80,451,000","95,519,000","76,709,000","83,657,000","74,655,000","73,851,000","59,051,000","67,662,000","54,492,000","49,462,000","47,729,000","55,050,000","45,918,000",,,,
OperatingExpense,"1,671,839,000","456,985,000","413,277,000","409,679,000","391,897,000","419,717,000","350,882,000","327,041,000","329,458,000","362,932,000","305,998,000","319,144,000","300,315,000","326,493,000","284,788,000","305,762,000","284,333,000","320,143,000","263,875,000","274,508,000","255,778,000","310,966,000","246,364,000","262,284,000","236,047,000","267,381,000","236,733,000","252,586,000","232,424,000","254,848,000","222,742,000","225,731,000","210,465,000","222,167,000","201,140,000","213,754,000","196,207,000","224,095,000","198,993,000","217,807,000","193,426,000","233,698,000","196,997,000","190,509,000","163,621,000","195,144,000","177,383,000","189,609,000","147,561,000","194,744,000","172,859,000","152,462,000","138,036,000","194,214,000","171,276,000","178,625,000","147,383,000","195,683,000","127,694,000","133,100,000","99,428,000","105,555,000","77,888,000","81,708,000","62,677,000","64,248,000","44,296,000","50,911,000","37,446,000","41,044,000","34,554,000","34,111,000","30,862,000","32,854,000","24,755,000","23,542,000","22,389,000","20,820,000","19,009,000","18,575,000","19,212,000","17,783,000","16,969,000","16,566,000","15,555,000",,,,
	SellingGeneralAndAdministration,"831,815,000","235,214,000","199,220,000","208,698,000","188,683,000","220,045,000","176,000,000","161,301,000","164,066,000","200,927,000","157,437,000","170,261,000","154,396,000","181,337,000","145,809,000","164,049,000","142,376,000","187,592,000","134,243,000","147,260,000","133,576,000","182,014,000","129,915,000","147,929,000","127,843,000","161,369,000","130,944,000","143,346,000","126,422,000","153,294,000","123,744,000","127,327,000","114,301,000","129,593,000","112,713,000","117,522,000","108,518,000","140,832,000","116,504,000","137,504,000","113,707,000","149,044,000","124,061,000","119,994,000","93,143,000","123,215,000","107,871,000","116,272,000","85,078,000","123,161,000","117,352,000","96,209,000","83,002,000","144,009,000","118,527,000","125,028,000","97,825,000","148,140,000","87,060,000","95,373,000","65,925,000","74,346,000","47,489,000","54,915,000","37,764,000","44,231,000","24,180,000","33,093,000","20,518,000","5,678,000","19,859,000","19,401,000","16,642,000","19,283,000","13,023,000","13,935,000","13,593,000","12,060,000","11,055,000","11,099,000","11,239,000","9,986,000","9,663,000","9,801,000","9,259,000",,,,
		GeneralAndAdministrativeExpense,"659,986,000","174,090,000","162,515,000","165,759,000","157,622,000","158,910,000","142,134,000","132,016,000","137,186,000","138,279,000","124,769,000","128,738,000","126,781,000","125,943,000","114,669,000","120,500,000","117,065,000","128,882,000","101,794,000","105,251,000","102,051,000","114,312,000","96,959,000","103,677,000","95,610,000","104,555,000","94,057,000","97,552,000","98,750,000","99,118,000","90,632,000","92,409,000","89,873,000","94,671,000","86,462,000","88,039,000","86,269,000","94,027,000","86,402,000","99,246,000","90,116,000","93,384,000","88,751,000","85,896,000","73,187,000","79,445,000","66,869,000","73,832,000","67,678,000","70,741,000","71,499,000","62,186,000","59,777,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			OtherGandA,"659,986,000","174,090,000","162,515,000","165,759,000","157,622,000","158,910,000","142,134,000","132,016,000","137,186,000","138,279,000","124,769,000","128,738,000","126,781,000","125,943,000","114,669,000","120,500,000","117,065,000","128,882,000","101,794,000","105,251,000","102,051,000","114,312,000","96,959,000","103,677,000","95,610,000","104,555,000","94,057,000","97,552,000","98,750,000","99,118,000","90,632,000","92,409,000","89,873,000","94,671,000","86,462,000","88,039,000","86,269,000","94,027,000","86,402,000","99,246,000","90,116,000","93,384,000","88,751,000","85,896,000","73,187,000","79,445,000","66,869,000","73,832,000","67,678,000","70,741,000","71,499,000","62,186,000","59,777,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		SellingAndMarketingExpense,"171,829,000","61,124,000","36,705,000","42,939,000","31,061,000","61,135,000","33,866,000","29,285,000","26,880,000","62,648,000","32,668,000","41,523,000","27,615,000","55,394,000","31,140,000","43,549,000","25,311,000","58,710,000","32,449,000","42,009,000","31,525,000","67,702,000","32,956,000","44,252,000","32,233,000","56,814,000","36,887,000","45,794,000","27,672,000","54,176,000","33,112,000","34,918,000","24,428,000","34,922,000","26,251,000","29,483,000","22,249,000","46,805,000","30,102,000","38,258,000","23,591,000","55,660,000","35,310,000","34,098,000","19,956,000","43,770,000","41,002,000","42,440,000","17,400,000","52,420,000","45,853,000","34,023,000","23,225,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
	ResearchAndDevelopment,"840,024,000","221,771,000","214,057,000","200,981,000","203,214,000","199,672,000","174,882,000","165,740,000","165,392,000","162,005,000","148,561,000","148,883,000","145,919,000","145,156,000","138,979,000","141,713,000","141,957,000","132,551,000","129,632,000","127,248,000","122,202,000","128,952,000","116,449,000","114,355,000","108,204,000","106,012,000","105,789,000","109,240,000","106,002,000","101,554,000","98,998,000","98,404,000","96,164,000","92,574,000","88,427,000","96,232,000","87,689,000","83,263,000","82,489,000","80,303,000","79,719,000","84,654,000","72,936,000","70,515,000","70,478,000","71,929,000","69,512,000","73,337,000","62,483,000","71,583,000","55,507,000","56,253,000","55,034,000","50,205,000","52,749,000","53,597,000","49,558,000","47,543,000","40,634,000","37,727,000","33,503,000","31,209,000","30,399,000","26,793,000","24,913,000","20,017,000","20,116,000","17,818,000","16,928,000","35,366,000","14,695,000","14,710,000","14,220,000","13,571,000","11,732,000","9,607,000","8,796,000","8,760,000","7,954,000","7,476,000","7,973,000","7,797,000","7,306,000","6,765,000","6,296,000",,,,
