name,ttm,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,11/30/2008,08/31/2008,05/31/2008,02/29/2008,11/30/2007,08/31/2007,05/31/2007,02/28/2007,11/30/2006,08/31/2006,05/31/2006,02/28/2006,11/30/2005,08/31/2005,05/31/2005,02/28/2005,11/30/2004,08/31/2004,05/31/2004,02/29/2004,11/30/2003,08/31/2003,05/31/2003,02/28/2003,11/30/2002,08/31/2002,05/31/2002,02/28/2002,11/30/2001,08/31/2001,05/31/2001,02/28/2001,11/30/2000,08/31/2000,05/31/2000,02/29/2000,11/30/1999,08/31/1999,05/31/1999,02/28/1999
TotalRevenue,"59,339,000,000","12,639,000,000","13,608,000,000","14,263,000,000","17,704,000,000","14,572,000,000","9,870,000,000","12,350,000,000","7,767,000,000","9,121,000,000","7,470,000,000","8,638,000,000","8,045,000,000","7,702,000,000","7,932,000,000","8,590,000,000","9,192,000,000","7,191,000,000","7,701,000,000","7,224,000,000","7,411,000,000","7,544,000,000","7,555,000,000","7,307,000,000","5,647,000,000","6,647,000,000","6,196,000,000","8,422,000,000","9,945,000,000","6,730,000,000","7,763,000,000","8,512,000,000","8,733,000,000","7,977,000,000","6,149,000,000","7,999,000,000","9,529,000,000","6,528,000,000","8,351,000,000","6,627,000,000","9,949,000,000","3,586,000,000","3,587,000,000","7,281,000,000","11,894,000,000","6,361,000,000","8,903,000,000","8,841,000,000","12,775,000,000","7,317,000,000","12,372,000,000","13,761,000,000","9,425,000,000","-4,576,000,000","6,043,000,000","9,422,000,000","8,335,000,000","7,983,000,000","12,334,000,000","10,182,000,000","12,730,000,000","7,422,000,000","7,584,000,000","10,241,000,000","10,433,000,000","6,403,000,000","7,393,000,000","4,927,000,000","6,515,000,000","4,634,000,000","4,647,000,000","5,638,000,000","6,032,000,000","4,058,000,000","3,793,000,000","3,985,000,000","4,187,000,000","2,888,000,000","3,649,000,000","3,851,000,000","3,598,000,000","3,427,000,000","3,661,000,000","3,990,000,000","4,733,000,000","3,415,000,000","4,527,000,000","4,155,000,000","4,493,000,000","3,473,000,000","3,408,000,000","3,469,000,000","152,000,000"
	OperatingRevenue,"59,339,000,000","12,639,000,000","13,608,000,000","14,263,000,000","17,704,000,000","14,572,000,000","9,870,000,000","12,350,000,000","7,767,000,000","9,121,000,000","7,470,000,000","8,638,000,000","8,045,000,000","7,702,000,000","7,932,000,000","8,590,000,000","9,192,000,000","7,191,000,000","7,701,000,000","7,224,000,000","7,411,000,000","7,544,000,000","7,555,000,000","7,307,000,000","5,647,000,000","6,647,000,000","6,196,000,000","8,422,000,000","9,945,000,000","6,730,000,000","7,763,000,000","8,512,000,000","8,733,000,000","7,977,000,000","6,149,000,000","7,999,000,000","9,529,000,000","6,528,000,000","8,351,000,000","6,627,000,000","9,949,000,000","3,586,000,000","3,587,000,000","7,281,000,000","11,894,000,000","6,361,000,000","8,903,000,000","8,841,000,000","12,775,000,000","7,317,000,000","12,372,000,000","13,761,000,000","9,425,000,000","-4,576,000,000","6,043,000,000","9,422,000,000","8,335,000,000","7,983,000,000","12,334,000,000","10,182,000,000","12,730,000,000","7,422,000,000","7,584,000,000","10,241,000,000","10,433,000,000","6,403,000,000","7,393,000,000","4,927,000,000","6,515,000,000","4,634,000,000","4,647,000,000","5,638,000,000","6,032,000,000","4,058,000,000","3,793,000,000","3,985,000,000","4,187,000,000","2,888,000,000","3,649,000,000","3,851,000,000","3,598,000,000","3,427,000,000","3,661,000,000","3,990,000,000","4,733,000,000","3,415,000,000","4,527,000,000","4,155,000,000","4,493,000,000","3,473,000,000","3,408,000,000","3,469,000,000","152,000,000"
PretaxIncome,"27,044,000,000","5,025,000,000","6,842,000,000","6,840,000,000","8,337,000,000","5,541,000,000","4,299,000,000","1,291,000,000","1,348,000,000","2,321,000,000","2,416,000,000","3,127,000,000","2,719,000,000","2,708,000,000","3,078,000,000","3,276,000,000","3,419,000,000","3,108,000,000","2,976,000,000","2,509,000,000","2,539,000,000","3,397,000,000","2,868,000,000","2,463,000,000","1,576,000,000","1,072,000,000","2,046,000,000","1,726,000,000","3,934,000,000","3,210,000,000","3,305,000,000","2,821,000,000","3,021,000,000","3,552,000,000","2,167,000,000","2,645,000,000","3,373,000,000","4,313,000,000","2,298,000,000","1,415,000,000","3,181,000,000","1,247,000,000","-730,000,000","1,612,000,000","4,040,000,000","3,474,000,000","2,811,000,000","1,448,000,000","5,159,000,000","7,377,000,000","4,794,000,000","5,029,000,000","2,629,000,000","-3,599,000,000","960,000,000","2,832,000,000","2,143,000,000","5,055,000,000","4,259,000,000","3,431,000,000","4,859,000,000","4,985,000,000","2,362,000,000","3,524,000,000","3,689,000,000","2,479,000,000","2,405,000,000","1,244,000,000","2,145,000,000","1,714,000,000","1,293,000,000","1,740,000,000","1,929,000,000","1,409,000,000","980,000,000","1,038,000,000","1,018,000,000","719,000,000","794,000,000","901,000,000","839,000,000","724,000,000","767,000,000","946,000,000","1,259,000,000","910,000,000","1,373,000,000","1,258,000,000","1,479,000,000","1,209,000,000","1,082,000,000","-1,487,000,000","1,188,000,000"
TaxProvision,"5,409,000,000","1,090,000,000","1,464,000,000","1,354,000,000","1,501,000,000","1,035,000,000","932,000,000","918,000,000","135,000,000","404,000,000","539,000,000","706,000,000","468,000,000","170,000,000","554,000,000","711,000,000","587,000,000","5,036,000,000","848,000,000","678,000,000","284,000,000","1,050,000,000","774,000,000","641,000,000","441,000,000","307,000,000","620,000,000","678,000,000","1,090,000,000","1,044,000,000","1,064,000,000","784,000,000","988,000,000","1,220,000,000","650,000,000","714,000,000","1,113,000,000","1,421,000,000","786,000,000","453,000,000","1,072,000,000","234,000,000","-337,000,000","525,000,000","1,305,000,000","1,087,000,000","913,000,000","835,000,000","1,703,000,000","2,429,000,000","1,606,000,000","1,594,000,000","815,000,000","-1,478,000,000","115,000,000","745,000,000","632,000,000","1,840,000,000","1,405,000,000","1,098,000,000","1,662,000,000","1,833,000,000","768,000,000","1,212,000,000","1,210,000,000","847,000,000","788,000,000","379,000,000","633,000,000","520,000,000","414,000,000","553,000,000","636,000,000","438,000,000","303,000,000","343,000,000","356,000,000","214,000,000","272,000,000","338,000,000","315,000,000","227,000,000","299,000,000","369,000,000","491,000,000","309,000,000","549,000,000","503,000,000","592,000,000","486,000,000","444,000,000","-1,827,000,000","181,000,000"
NetIncomeCommonStockholders,"21,151,000,000","3,809,000,000","5,284,000,000","5,347,000,000","6,711,000,000","4,362,000,000","3,233,000,000","197,000,000","1,123,000,000","1,724,000,000","1,793,000,000","2,198,000,000","2,182,000,000","2,322,000,000","2,453,000,000","2,348,000,000","2,737,000,000","-2,143,000,000","2,035,000,000","1,631,000,000","2,162,000,000","2,153,000,000","2,100,000,000","1,634,000,000","1,200,000,000","574,000,000","1,330,000,000","916,000,000","2,748,000,000","2,032,000,000","2,143,000,000","1,953,000,000","1,949,000,000","2,248,000,000","1,429,000,000","1,861,000,000","2,188,000,000","2,833,000,000","1,458,000,000","927,000,000","2,074,000,000","978,000,000","-428,000,000","1,052,000,000","908,000,000","2,227,000,000","1,737,000,000","453,000,000","3,296,000,000","4,787,000,000","3,028,000,000","2,718,000,000","1,659,000,000","-2,287,000,000","810,000,000","2,051,000,000","1,467,000,000","3,166,000,000","2,806,000,000","2,287,000,000","3,148,000,000","3,104,000,000","1,555,000,000","2,286,000,000","2,453,000,000","1,624,000,000","1,608,000,000","865,000,000","1,512,000,000","1,194,000,000","879,000,000","1,187,000,000","1,293,000,000","971,000,000","677,000,000","695,000,000","662,000,000","505,000,000","522,000,000","563,000,000","524,000,000","497,000,000","468,000,000","577,000,000","768,000,000","601,000,000","824,000,000","755,000,000","887,000,000","723,000,000","638,000,000","340,000,000","1,007,000,000"
	NetIncome,"21,635,000,000","3,935,000,000","5,378,000,000","5,486,000,000","6,836,000,000","4,506,000,000","3,367,000,000","373,000,000","1,213,000,000","1,917,000,000","1,877,000,000","2,421,000,000","2,251,000,000","2,538,000,000","2,524,000,000","2,565,000,000","2,832,000,000","-1,928,000,000","2,128,000,000","1,831,000,000","2,255,000,000","2,347,000,000","2,094,000,000","1,822,000,000","1,135,000,000","765,000,000","1,426,000,000","1,048,000,000","2,844,000,000","2,166,000,000","2,241,000,000","2,037,000,000","2,033,000,000","2,332,000,000","1,517,000,000","1,931,000,000","2,260,000,000","2,892,000,000","1,512,000,000","962,000,000","2,109,000,000","1,013,000,000","-393,000,000","1,087,000,000","2,735,000,000","2,387,000,000","1,898,000,000","613,000,000","3,456,000,000","4,948,000,000","3,188,000,000","3,435,000,000","1,814,000,000","-2,121,000,000","845,000,000","2,087,000,000","1,511,000,000","3,215,000,000","2,854,000,000","2,333,000,000","3,197,000,000","3,152,000,000","1,594,000,000","2,312,000,000","2,479,000,000","1,632,000,000","1,617,000,000","865,000,000","1,512,000,000","1,194,000,000","879,000,000","1,187,000,000","1,293,000,000","971,000,000","677,000,000","695,000,000","662,000,000","505,000,000","522,000,000","563,000,000","524,000,000","497,000,000","468,000,000","577,000,000","768,000,000","601,000,000","824,000,000","755,000,000","887,000,000","723,000,000","638,000,000","340,000,000","1,007,000,000"
		NetIncomeIncludingNoncontrollingInterests,"21,635,000,000","3,935,000,000","5,378,000,000","5,486,000,000","6,836,000,000","4,506,000,000","3,367,000,000","373,000,000","1,213,000,000","1,917,000,000","1,877,000,000","2,421,000,000","2,251,000,000","2,538,000,000","2,524,000,000","2,565,000,000","2,832,000,000","-1,928,000,000","2,128,000,000","1,831,000,000","2,255,000,000","2,347,000,000","2,094,000,000","1,822,000,000","1,135,000,000","765,000,000","1,426,000,000","1,048,000,000","2,844,000,000","2,166,000,000","2,241,000,000","2,037,000,000","2,033,000,000","2,332,000,000","1,517,000,000","1,931,000,000","2,260,000,000","2,892,000,000","1,512,000,000","962,000,000","2,109,000,000","1,013,000,000","-393,000,000","1,087,000,000","2,735,000,000","2,387,000,000","1,898,000,000","613,000,000","3,456,000,000","4,948,000,000","3,188,000,000","3,435,000,000","1,814,000,000","-2,121,000,000","845,000,000","2,087,000,000","1,511,000,000","3,215,000,000","2,854,000,000","2,333,000,000","3,197,000,000","3,152,000,000","1,594,000,000","2,312,000,000","2,479,000,000","1,632,000,000","1,617,000,000","865,000,000","1,512,000,000","1,194,000,000","879,000,000","1,187,000,000","1,293,000,000","971,000,000","677,000,000","695,000,000","662,000,000","505,000,000","522,000,000","563,000,000","524,000,000","497,000,000","468,000,000","577,000,000","768,000,000","601,000,000","824,000,000","755,000,000","887,000,000","723,000,000","638,000,000","340,000,000","1,007,000,000"
			NetIncomeContinuousOperations,"21,635,000,000","3,935,000,000","5,378,000,000","5,486,000,000","6,836,000,000","4,506,000,000","3,367,000,000","373,000,000","1,213,000,000","1,917,000,000","1,877,000,000","2,421,000,000","2,251,000,000","2,538,000,000","2,524,000,000","2,565,000,000","2,832,000,000","-1,928,000,000","2,128,000,000","1,831,000,000","2,255,000,000","2,347,000,000","2,094,000,000","1,822,000,000","1,135,000,000","765,000,000","1,426,000,000","1,048,000,000","2,844,000,000","2,166,000,000","2,241,000,000","2,037,000,000","2,033,000,000","2,332,000,000","1,517,000,000","1,931,000,000","2,260,000,000","2,892,000,000","1,512,000,000","962,000,000","2,109,000,000","1,013,000,000","-393,000,000","1,087,000,000","2,735,000,000","2,387,000,000","1,898,000,000","613,000,000","3,456,000,000","4,948,000,000","3,188,000,000","3,435,000,000","1,814,000,000","-2,121,000,000","845,000,000","2,087,000,000","1,511,000,000","3,215,000,000","2,854,000,000","2,333,000,000","3,197,000,000","3,152,000,000","1,594,000,000","2,312,000,000","2,479,000,000","1,632,000,000","1,617,000,000","865,000,000","1,512,000,000","1,194,000,000","879,000,000","1,187,000,000","1,293,000,000","971,000,000","677,000,000","695,000,000","662,000,000","505,000,000","522,000,000","563,000,000","524,000,000","497,000,000","468,000,000","577,000,000","768,000,000","601,000,000","824,000,000","755,000,000","887,000,000","723,000,000","638,000,000","340,000,000","1,007,000,000"
	PreferredStockDividends,"484,000,000","126,000,000","94,000,000","139,000,000","125,000,000","144,000,000","134,000,000","176,000,000","90,000,000","193,000,000","84,000,000","223,000,000","69,000,000","216,000,000","71,000,000","217,000,000","95,000,000","215,000,000","93,000,000","200,000,000","93,000,000","194,000,000","-6,000,000","188,000,000","-65,000,000","191,000,000","96,000,000","132,000,000","96,000,000","134,000,000","98,000,000","84,000,000","84,000,000","84,000,000","88,000,000","70,000,000","72,000,000","59,000,000","54,000,000","35,000,000","35,000,000","35,000,000","35,000,000","35,000,000","1,827,000,000","160,000,000","161,000,000","160,000,000","160,000,000","161,000,000","160,000,000","717,000,000","155,000,000","166,000,000","35,000,000","36,000,000","44,000,000","49,000,000","48,000,000","46,000,000","49,000,000","48,000,000","39,000,000","26,000,000","26,000,000","8,000,000","9,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,
DilutedNIAvailtoComStockholders,"21,151,000,000","3,809,000,000","5,284,000,000","5,347,000,000","6,711,000,000","4,362,000,000","3,233,000,000","197,000,000","1,123,000,000","1,724,000,000","1,793,000,000","2,198,000,000","2,182,000,000","2,322,000,000","2,453,000,000","2,348,000,000","2,737,000,000","-2,143,000,000","2,035,000,000","1,631,000,000","2,162,000,000","2,153,000,000","2,100,000,000","1,634,000,000","1,200,000,000","574,000,000","1,330,000,000","916,000,000","2,748,000,000","2,032,000,000","2,143,000,000","1,953,000,000","1,949,000,000","2,248,000,000","1,429,000,000","1,861,000,000","2,188,000,000","2,833,000,000","1,458,000,000","927,000,000","2,074,000,000","978,000,000","-428,000,000","1,052,000,000","908,000,000","2,227,000,000","1,737,000,000","453,000,000","3,296,000,000","4,787,000,000","3,028,000,000","2,718,000,000","1,659,000,000","-2,287,000,000","810,000,000","2,051,000,000","1,467,000,000","3,166,000,000","2,806,000,000","2,287,000,000","3,148,000,000","3,104,000,000","1,555,000,000","2,286,000,000","2,453,000,000","1,624,000,000","1,608,000,000","865,000,000","1,512,000,000","1,194,000,000","879,000,000","1,187,000,000","1,293,000,000","971,000,000","677,000,000","695,000,000","662,000,000","505,000,000","522,000,000","563,000,000","524,000,000","497,000,000","468,000,000","577,000,000","768,000,000","601,000,000","824,000,000","755,000,000","887,000,000","723,000,000","638,000,000","340,000,000","1,007,000,000"
