name,ttm,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999,12/31/1998,09/30/1998,06/30/1998,03/31/1998,12/31/1997,09/30/1997,06/30/1997,03/31/1997,12/31/1996,09/30/1996,06/30/1996,03/31/1996,12/31/1995,09/30/1995,06/30/1995,03/31/1995,12/31/1994,09/30/1994,06/30/1994,03/31/1994,12/31/1993,09/30/1993,06/30/1993,03/31/1993,12/31/1992,09/30/1992,06/30/1992,03/31/1992,12/31/1991,09/30/1991,06/30/1991,03/31/1991,12/31/1990,09/30/1990,06/30/1990,03/31/1990,12/31/1989,09/30/1989,06/30/1989,03/31/1989,12/31/1988,09/30/1988,06/30/1988,03/31/1988,12/31/1987,09/30/1987,06/30/1987,03/31/1987,12/31/1986,09/30/1986,06/30/1986,03/31/1986,12/31/1985,09/30/1985
TotalRevenue,"13,022,000,000","3,359,000,000","3,372,000,000","3,207,000,000","3,084,000,000","2,941,000,000","3,018,000,000","2,837,000,000","3,001,000,000","2,847,000,000","2,947,000,000","2,893,000,000","2,799,000,000","2,762,958,000","2,831,429,000","2,860,212,000","2,766,401,000","2,632,461,000","2,635,999,000","2,615,269,000","2,541,129,000","2,470,710,000","2,596,288,000","2,563,668,000","2,506,538,000","2,478,258,000","2,532,900,000","2,522,565,000","2,439,661,000","2,510,959,000","2,562,263,000","2,506,104,000","2,385,627,000","2,377,232,000","2,398,530,000","2,381,561,000","2,280,435,000","2,226,120,000","2,281,205,000","2,249,275,000","2,193,445,000","2,076,904,000","2,114,647,000","2,003,022,000","1,883,612,000","1,826,696,000","1,899,412,000","1,783,696,000","1,672,354,000","1,633,815,000","1,589,665,000","1,533,263,000","1,465,248,000","1,592,655,000","1,839,475,000","1,756,856,000","1,661,046,000","1,611,753,000","1,658,592,000","1,601,011,000","1,546,658,000","1,462,158,000","1,519,499,000","1,482,880,000","1,419,117,000","1,390,606,000","1,428,342,000","1,372,808,000","1,334,880,000","1,264,955,000","1,301,057,000","1,255,974,000","1,227,799,000","1,154,415,000","1,200,669,000","1,172,661,000","1,139,269,000","1,120,441,000","1,203,400,000","1,194,792,000","1,125,265,000","1,110,499,000","1,199,358,000","1,225,040,000","1,219,420,000","1,298,098,000","1,241,730,000","1,242,022,000","1,195,194,000","1,121,500,000","1,175,400,000","1,146,200,000","1,090,800,000","1,045,200,000","1,120,000,000","1,119,000,000","1,057,100,000","1,032,900,000","1,066,900,000","1,051,200,000","985,600,000","904,100,000","901,900,000","888,600,000","842,600,000","806,600,000","850,000,000","813,500,000","806,800,000","768,900,000","779,300,000","768,600,000","706,400,000","663,000,000","698,800,000","660,400,000","606,200,000","598,600,000","627,200,000","606,300,000","532,300,000","519,700,000","541,200,000","540,300,000","475,900,000","488,600,000","503,500,000","495,700,000","447,400,000","448,600,000","438,400,000","446,900,000","393,600,000","384,600,000","408,100,000","395,900,000","346,900,000","337,700,000","351,100,000","345,300,000","286,800,000","295,400,000","305,100,000","298,500,000","260,600,000","248,500,000","286,600,000"
	OperatingRevenue,"13,022,000,000","3,359,000,000","3,372,000,000","3,207,000,000","3,084,000,000","2,941,000,000","3,018,000,000","2,837,000,000","3,001,000,000","2,847,000,000","2,947,000,000","2,893,000,000","2,799,000,000","2,762,958,000","2,831,429,000","2,860,212,000","2,766,401,000","2,632,461,000","2,635,999,000","2,615,269,000","2,541,129,000","2,470,710,000","2,596,288,000","2,563,668,000","2,506,538,000","2,478,258,000","2,532,900,000","2,522,565,000","2,439,661,000","2,510,959,000","2,562,263,000","2,506,104,000","2,385,627,000","2,377,232,000","2,398,530,000","2,381,561,000","2,280,435,000","2,226,120,000","2,281,205,000","2,249,275,000","2,193,445,000","2,076,904,000","2,114,647,000","2,003,022,000","1,883,612,000","1,826,696,000","1,899,412,000","1,783,696,000","1,672,354,000","1,633,815,000","1,589,665,000","1,533,263,000","1,465,248,000","1,592,655,000","1,839,475,000","1,756,856,000","1,661,046,000","1,611,753,000","1,658,592,000","1,601,011,000","1,546,658,000","1,462,158,000","1,519,499,000","1,482,880,000","1,419,117,000","1,390,606,000","1,428,342,000","1,372,808,000","1,334,880,000","1,264,955,000","1,301,057,000","1,255,974,000","1,227,799,000","1,154,415,000","1,200,669,000","1,172,661,000","1,139,269,000","1,120,441,000","1,203,400,000","1,194,792,000","1,125,265,000","1,110,499,000","1,199,358,000","1,225,040,000","1,219,420,000","1,298,098,000","1,241,730,000","1,242,022,000","1,195,194,000","1,121,500,000","1,175,400,000","1,146,200,000","1,090,800,000","1,045,200,000","1,120,000,000","1,119,000,000","1,057,100,000","1,032,900,000","1,066,900,000","1,051,200,000","985,600,000","904,100,000","901,900,000","888,600,000","842,600,000","806,600,000","850,000,000","813,500,000","806,800,000","768,900,000","779,300,000","768,600,000","706,400,000","663,000,000","698,800,000","660,400,000","606,200,000","598,600,000","627,200,000","606,300,000","532,300,000","519,700,000","541,200,000","540,300,000","475,900,000","488,600,000","503,500,000","495,700,000","447,400,000","448,600,000","438,400,000","446,900,000","393,600,000","384,600,000","408,100,000","395,900,000","346,900,000","337,700,000","351,100,000","345,300,000","286,800,000","295,400,000","305,100,000","298,500,000","260,600,000","248,500,000","286,600,000"
CostOfRevenue,"8,302,000,000","2,106,000,000","2,122,000,000","2,083,000,000","1,991,000,000","1,914,000,000","1,944,000,000","1,821,000,000","1,880,000,000","1,765,000,000","1,848,000,000","1,772,000,000","1,704,000,000","1,696,893,000","1,752,194,000","1,749,271,000","1,674,642,000","1,611,232,000","1,618,819,000","1,575,313,000","1,521,937,000","1,481,018,000","1,556,536,000","1,523,609,000","1,461,485,000","1,475,883,000","1,471,021,000","1,449,133,000","1,345,918,000","1,456,158,000","1,459,479,000","1,425,418,000","1,309,656,000","1,370,835,000","1,347,164,000","1,334,577,000","1,248,699,000","1,256,595,000","1,287,245,000","1,270,932,000","1,219,113,000","1,171,119,000","1,201,648,000","1,140,628,000","1,053,998,000","1,063,564,000","1,109,688,000","1,036,610,000","966,612,000","949,617,000","929,720,000","908,295,000","835,833,000","912,592,000","1,097,127,000","1,050,979,000","981,112,000","940,272,000","999,003,000","960,546,000","914,570,000","860,727,000","920,412,000","899,575,000","848,790,000","803,232,000","880,180,000","845,679,000","836,004,000","744,878,000","821,774,000","796,147,000","780,334,000","728,405,000","786,530,000","768,589,000","745,413,000","707,380,000","800,840,000","795,230,000","742,236,000","706,890,000","803,507,000","830,124,000","824,509,000","992,109,000","767,409,000","780,601,000","744,695,000","686,900,000","726,800,000","705,600,000","663,800,000","626,200,000","693,700,000","692,600,000","652,200,000","616,800,000","674,300,000","660,200,000","611,400,000","547,500,000","565,200,000","560,600,000","522,400,000","487,900,000","532,500,000","508,300,000","496,000,000","467,900,000","492,600,000","482,000,000","433,500,000","397,000,000","431,900,000","403,300,000","367,400,000","345,100,000","399,900,000","378,100,000","336,900,000","322,900,000","346,700,000","345,900,000","300,100,000","299,900,000","324,800,000","319,500,000","281,800,000","278,600,000","281,700,000","286,300,000",,,,,,,,,,,,,,,
GrossProfit,"4,720,000,000","1,253,000,000","1,250,000,000","1,124,000,000","1,093,000,000","1,027,000,000","1,074,000,000","1,016,000,000","1,121,000,000","1,082,000,000","1,099,000,000","1,121,000,000","1,095,000,000","1,066,065,000","1,079,235,000","1,110,941,000","1,091,759,000","1,021,229,000","1,017,180,000","1,039,956,000","1,019,192,000","989,692,000","1,039,752,000","1,040,059,000","1,045,053,000","1,002,375,000","1,061,879,000","1,073,432,000","1,093,743,000","1,054,801,000","1,102,784,000","1,080,686,000","1,075,971,000","1,006,397,000","1,051,366,000","1,046,984,000","1,031,736,000","969,525,000","993,960,000","978,343,000","974,332,000","905,785,000","912,999,000","862,394,000","829,614,000","763,132,000","789,724,000","747,086,000","705,742,000","684,198,000","659,945,000","624,968,000","629,415,000","680,063,000","742,348,000","705,877,000","679,934,000","671,481,000","659,589,000","640,465,000","632,088,000","601,431,000","599,087,000","583,305,000","570,327,000","587,374,000","548,162,000","527,129,000","498,876,000","520,077,000","479,283,000","459,827,000","447,465,000","426,010,000","414,139,000","404,072,000","393,856,000","413,061,000","402,560,000","399,562,000","383,029,000","403,609,000","395,851,000","394,916,000","394,911,000","305,989,000","474,321,000","461,421,000","450,499,000","434,600,000","448,600,000","440,600,000","427,000,000","419,000,000","426,300,000","426,400,000","404,900,000","416,100,000","392,600,000","391,000,000","374,200,000","356,600,000","336,700,000","328,000,000","320,200,000","318,700,000","317,500,000","305,200,000","310,800,000","301,000,000","286,700,000","286,600,000","272,900,000","266,000,000","266,900,000","257,100,000","238,800,000","253,500,000","227,300,000","228,200,000","195,400,000","196,800,000","194,500,000","194,400,000","175,800,000","188,700,000","178,700,000","176,200,000","165,600,000","170,000,000","156,700,000","160,600,000",,,,,,,,,,,,,,,
OperatingExpense,"3,173,000,000","836,000,000","812,000,000","790,000,000","735,000,000","752,000,000","694,000,000","811,000,000","962,000,000","901,000,000","761,000,000","741,000,000","732,000,000","776,003,000","890,113,000","766,955,000","756,929,000","781,290,000","736,010,000","807,891,000","723,704,000","815,464,000","717,165,000","734,470,000","727,961,000","750,749,000","721,150,000","716,715,000","742,496,000","788,287,000","717,271,000","739,935,000","721,632,000","749,634,000","704,651,000","696,912,000","688,431,000","711,087,000","739,634,000","664,343,000","669,971,000","684,292,000","609,959,000","597,112,000","567,000,000","551,730,000","538,451,000","532,171,000","522,857,000","518,837,000","473,225,000","471,039,000","470,201,000","499,506,000","510,891,000","521,042,000","494,111,000","504,320,000","485,257,000","473,890,000","469,503,000","453,634,000","447,774,000","438,761,000","435,910,000","439,622,000","412,567,000","400,163,000","390,200,000","395,856,000","371,839,000","352,936,000","346,717,000","317,821,000","319,818,000","311,292,000","302,449,000","306,259,000","302,370,000","305,298,000","293,069,000","298,720,000","300,474,000","301,228,000","311,222,000","210,125,000","382,743,000","388,520,000","375,722,000","381,400,000","368,300,000","353,100,000","330,800,000","305,600,000","330,100,000","325,600,000","307,400,000","308,800,000","296,800,000","293,000,000","282,200,000","263,300,000","250,800,000","245,600,000","236,300,000","232,100,000","233,400,000","237,900,000","232,600,000","230,900,000","213,500,000","215,400,000","202,600,000","196,400,000","199,700,000","197,700,000","182,800,000","193,600,000","165,400,000","167,500,000","149,500,000","141,500,000","144,000,000","141,100,000","130,700,000","134,200,000","128,100,000","124,000,000","119,200,000","116,800,000","110,100,000","111,700,000",,,,,,,,,,,,,,,
	SellingGeneralAndAdministration,"3,173,000,000","836,000,000","812,000,000","790,000,000","735,000,000","752,000,000","694,000,000","811,000,000","962,000,000","901,000,000","761,000,000","741,000,000","732,000,000","776,003,000","890,113,000","766,955,000","756,929,000","781,290,000","736,010,000","807,891,000","723,704,000","815,464,000","717,165,000","734,470,000","727,961,000","750,749,000","721,150,000","716,715,000","742,496,000","788,287,000","717,271,000","739,935,000","721,632,000","749,634,000","704,651,000","696,912,000","688,431,000","711,087,000","739,634,000","664,343,000","669,971,000","684,292,000","609,959,000","597,112,000","567,000,000","551,730,000","538,451,000","532,171,000","522,857,000","518,837,000","473,225,000","471,039,000","470,201,000","499,506,000","510,891,000","521,042,000","494,111,000","504,320,000","485,257,000","473,890,000","469,503,000","453,634,000","447,774,000","438,761,000","435,910,000","439,622,000","412,567,000","400,163,000","390,200,000","395,856,000","371,839,000","352,936,000","346,717,000","317,821,000","319,818,000","311,292,000","302,449,000","306,259,000","302,370,000","305,298,000","293,069,000","298,720,000","300,474,000","301,228,000","311,222,000","185,848,000","356,037,000","361,562,000","346,770,000","357,900,000","342,400,000","328,500,000","306,600,000","291,900,000","309,100,000","301,200,000","287,600,000","289,500,000","277,300,000","273,000,000","261,300,000","244,300,000","233,700,000","227,200,000","216,500,000","215,600,000","216,900,000","219,100,000","213,500,000","203,800,000","200,300,000","197,600,000","185,400,000","183,800,000","184,200,000","182,300,000","172,400,000","170,800,000","165,400,000","154,400,000","140,600,000","133,500,000","136,300,000","132,900,000","121,600,000","127,200,000","119,600,000","115,200,000","110,400,000","109,400,000","102,000,000","102,800,000",,,,,,,,,,,,,,,
	DepreciationAmortizationDepletionIncomeStatement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"24,277,000","26,706,000","26,958,000","28,952,000","23,500,000","25,900,000","24,600,000","24,200,000","13,700,000","21,000,000","24,400,000","19,800,000","19,300,000","19,500,000","20,000,000","20,900,000","19,000,000","17,100,000","18,400,000","19,800,000","16,500,000","16,500,000","18,800,000","19,100,000","27,100,000","13,200,000","17,800,000","17,200,000","12,600,000","15,500,000","15,400,000","10,400,000","22,800,000",,"13,100,000","8,900,000","8,000,000","7,700,000","8,200,000","9,100,000","7,000,000","8,500,000","8,800,000","8,800,000","7,400,000","8,100,000","8,900,000",,,,,,,,,,,,,,,
		DepreciationAndAmortizationInIncomeStatement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"24,277,000","26,706,000","26,958,000","28,952,000","23,500,000","25,900,000","24,600,000","24,200,000","13,700,000","21,000,000","24,400,000","19,800,000","19,300,000","19,500,000","20,000,000","20,900,000","19,000,000","17,100,000","18,400,000","19,800,000","16,500,000","16,500,000","18,800,000","19,100,000","27,100,000","13,200,000","17,800,000","17,200,000","12,600,000","15,500,000","15,400,000","10,400,000","22,800,000",,"13,100,000","8,900,000","8,000,000","7,700,000","8,200,000","9,100,000","7,000,000","8,500,000","8,800,000","8,800,000","7,400,000","8,100,000","8,900,000",,,,,,,,,,,,,,,
OperatingIncome,"1,547,000,000","417,000,000","438,000,000","334,000,000","358,000,000","275,000,000","380,000,000","205,000,000","159,000,000","181,000,000","338,000,000","380,000,000","363,000,000","290,062,000","189,122,000","343,986,000","334,830,000","239,939,000","281,170,000","232,065,000","295,488,000","174,228,000","322,587,000","305,589,000","317,092,000","251,626,000","340,729,000","356,717,000","351,247,000","266,514,000","385,513,000","340,751,000","354,339,000","256,763,000","346,715,000","350,072,000","343,305,000","258,438,000","254,326,000","314,000,000","304,361,000","221,493,000","303,040,000","265,282,000","262,614,000","211,402,000","251,273,000","214,915,000","182,885,000","165,361,000","186,720,000","153,929,000","159,214,000","180,557,000","231,457,000","184,835,000","185,823,000","167,161,000","174,332,000","166,575,000","162,585,000","147,797,000","151,313,000","144,544,000","134,417,000","147,752,000","135,595,000","126,966,000","108,676,000","124,221,000","107,444,000","106,891,000","100,748,000","108,189,000","94,321,000","92,780,000","91,407,000","106,802,000","100,190,000","94,264,000","89,960,000","104,889,000","95,377,000","93,688,000","83,689,000","95,864,000","91,578,000","72,901,000","74,777,000","53,200,000","80,300,000","87,500,000","96,200,000","113,400,000","96,200,000","100,800,000","97,500,000","107,300,000","95,800,000","98,000,000","92,000,000","93,300,000","85,900,000","82,400,000","83,900,000","86,600,000","84,100,000","67,300,000","78,200,000","70,100,000","73,200,000","71,200,000","70,300,000","69,600,000","67,200,000","59,400,000","56,000,000","59,900,000","61,900,000","60,700,000","45,900,000","55,300,000","50,500,000","53,300,000","45,100,000","54,500,000","50,600,000","52,200,000","46,400,000","53,200,000","46,600,000","48,900,000","393,600,000","-973,100,000","408,100,000","395,900,000","346,900,000","-825,800,000","351,100,000","345,300,000","286,800,000","-734,900,000","305,100,000","298,500,000","260,600,000","-712,100,000","286,600,000"
NetNonOperatingInterestIncomeExpense,"-87,000,000","-22,000,000","-22,000,000","-22,000,000","-21,000,000","-21,000,000","-23,000,000","-28,000,000","-21,000,000","-19,000,000","-20,000,000","-21,000,000","-19,000,000","-15,703,000","-20,350,000","-21,910,000","-24,037,000","-20,604,000","-21,058,000","-19,440,000","-16,786,000","-17,533,000","-17,877,000","-16,644,000","-13,560,000","-13,620,000","-13,435,000","-3,907,000","-1,444,000","-1,712,000","-1,747,000","-2,344,000","-2,223,000","-2,405,000","-2,912,000","-2,405,000","-2,268,000","-4,604,000","-4,044,000","-2,308,000","-2,462,000","-2,146,000","-2,026,000","-1,453,000","-1,398,000","-1,613,000","-1,630,000","-1,940,000","-1,789,000","-1,722,000","-1,824,000","-2,045,000","-1,817,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
