name,ttm,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999,12/31/1998,09/30/1998,06/30/1998,03/31/1998,12/31/1997,09/30/1997,06/30/1997,03/31/1997,12/31/1996,09/30/1996,06/30/1996,03/31/1996,12/31/1995,09/30/1995,06/30/1995,03/31/1995,12/31/1994,09/30/1994,06/30/1994,03/31/1994,12/31/1993,09/30/1993,06/30/1993,03/31/1993,12/31/1992,09/30/1992,06/30/1992,03/31/1992,12/31/1991,09/30/1991,06/30/1991,03/31/1991,12/31/1990,09/30/1990,06/30/1990,03/31/1990,12/31/1989,09/30/1989,06/30/1989,03/31/1989,12/31/1988,09/30/1988,06/30/1988,03/31/1988,12/31/1987,09/30/1987,06/30/1987,03/31/1987,12/31/1986,09/30/1986,06/30/1986,03/31/1986,12/31/1985,09/30/1985
TotalRevenue,"5,991,000,000","1,647,000,000","1,695,000,000","1,282,000,000","1,367,000,000","1,239,000,000","1,247,000,000","1,178,000,000","1,151,000,000","1,152,000,000","1,173,000,000","1,186,000,000","1,141,000,000","1,162,000,000","1,144,000,000","1,120,000,000","1,084,000,000","1,106,302,000","1,088,530,000","1,069,730,000","1,042,438,000","1,069,318,000","927,805,000","776,993,000","744,933,000","769,126,000","748,574,000","772,459,000","699,308,000","706,530,000","713,684,000","710,115,000","685,991,000","677,277,000","675,355,000","673,592,000","676,379,000","718,883,000","691,481,000","683,034,000","703,766,000","645,051,000","666,401,000","659,286,000","645,440,000","667,512,000","679,822,000","672,123,000","641,206,000","587,247,000","618,871,000","615,844,000","576,607,000","424,277,000","556,493,000","626,296,000","612,576,000","553,492,000","614,307,000","409,584,000","400,732,000","387,818,000","353,223,000","425,214,000","403,214,000","390,998,000","402,377,000","398,070,000","403,248,000","422,008,000","416,949,000","440,691,000","450,324,000","470,825,000","493,239,000","489,784,000","480,184,000","575,617,000","364,248,000","359,839,000","544,253,000","388,335,000","380,243,000","376,236,000","360,848,000","363,615,000","357,521,000","348,470,000","366,385,000","483,500,000","384,100,000","378,400,000","369,400,000","375,800,000","366,100,000","368,700,000","351,600,000","348,000,000","353,300,000","294,800,000","277,300,000","259,700,000","262,700,000","256,500,000","252,900,000","250,300,000","247,800,000","239,900,000","234,800,000","232,100,000","241,000,000","254,100,000","264,500,000","308,700,000","283,600,000","250,000,000","224,900,000","224,600,000","213,400,000","225,100,000","183,300,000","176,900,000","167,100,000","163,600,000","153,600,000","149,500,000","146,500,000","144,300,000","133,700,000","173,400,000","121,100,000","120,600,000","113,400,000",,,,,,,,,,,,,,
	OperatingRevenue,"5,991,000,000","1,647,000,000","1,695,000,000","1,282,000,000","1,367,000,000","1,239,000,000","1,247,000,000","1,178,000,000","1,151,000,000","1,152,000,000","1,173,000,000","1,186,000,000","1,141,000,000","1,162,000,000","1,144,000,000","1,120,000,000","1,084,000,000","1,106,302,000","1,088,530,000","1,069,730,000","1,042,438,000","1,069,318,000","927,805,000","776,993,000","744,933,000","769,126,000","748,574,000","772,459,000","699,308,000","706,530,000","713,684,000","710,115,000","685,991,000","677,277,000","675,355,000","673,592,000","676,379,000","718,883,000","691,481,000","683,034,000","703,766,000","645,051,000","666,401,000","659,286,000","645,440,000","667,512,000","679,822,000","672,123,000","641,206,000","587,247,000","618,871,000","615,844,000","576,607,000","424,277,000","556,493,000","626,296,000","612,576,000","553,492,000","614,307,000","409,584,000","400,732,000","387,818,000","353,223,000","425,214,000","403,214,000","390,998,000","402,377,000","398,070,000","403,248,000","422,008,000","416,949,000","440,691,000","450,324,000","470,825,000","493,239,000","489,784,000","480,184,000","575,617,000","364,248,000","359,839,000","544,253,000","388,335,000","380,243,000","376,236,000","360,848,000","363,615,000","357,521,000","348,470,000","366,385,000","483,500,000","384,100,000","378,400,000","369,400,000","375,800,000","366,100,000","368,700,000","351,600,000","348,000,000","353,300,000","294,800,000","277,300,000","259,700,000","262,700,000","256,500,000","252,900,000","250,300,000","247,800,000","239,900,000","234,800,000","232,100,000","241,000,000","254,100,000","264,500,000","308,700,000","283,600,000","250,000,000","224,900,000","224,600,000","213,400,000","225,100,000","183,300,000","176,900,000","167,100,000","163,600,000","153,600,000","149,500,000","146,500,000","144,300,000","133,700,000","173,400,000","121,100,000","120,600,000","113,400,000",,,,,,,,,,,,,,
PretaxIncome,"1,591,000,000","490,000,000","468,000,000","-1,000,000","634,000,000","375,000,000","358,000,000","181,000,000","58,000,000","372,000,000","439,000,000","427,000,000","421,000,000","391,000,000","440,000,000","412,000,000","385,000,000","411,722,000","364,512,000","350,388,000","267,378,000","312,915,000","151,753,000","228,823,000","226,271,000","233,892,000","199,590,000","260,263,000","219,860,000","220,765,000","208,886,000","222,094,000","201,240,000","206,937,000","240,619,000","203,005,000","203,994,000","221,620,000","196,058,000","201,992,000","205,447,000","168,812,000","182,333,000","194,898,000","161,191,000","157,949,000","130,636,000","62,083,000","1,644,000","-597,977,000","-257,362,000","-137,845,000","-2,684,999,000","-669,238,000","92,105,000","127,680,000","153,445,000","-398,144,000","186,737,000","104,796,000","129,254,000","115,061,000","96,631,000","157,110,000","145,259,000","129,812,000","151,626,000","137,039,000","125,097,000","128,340,000","131,741,000","153,511,000","139,074,000","127,019,000","141,442,000","134,547,000","120,855,000","115,610,000","134,826,000","113,887,000","224,902,000","37,563,000","50,977,000","-8,552,000","93,294,000","107,217,000","67,540,000","134,560,000","150,578,000","161,800,000","155,800,000","155,300,000","142,000,000","42,600,000","130,200,000","135,800,000","131,700,000","133,400,000","80,000,000","112,200,000","103,200,000","101,200,000","100,800,000","99,200,000","97,500,000","99,300,000","101,700,000","92,600,000","83,300,000","79,000,000","84,900,000","100,700,000","101,900,000","114,800,000","89,600,000","78,100,000","69,900,000","54,400,000","50,400,000","48,900,000","46,600,000","45,700,000","42,300,000","41,800,000","36,600,000","38,800,000","100,000","37,700,000","37,100,000","46,900,000","33,800,000","32,200,000","30,800,000",,,,,,,,,,,,,,
TaxProvision,"294,000,000","88,000,000","90,000,000","14,000,000","102,000,000","59,000,000","55,000,000","31,000,000","10,000,000","55,000,000","67,000,000","63,000,000","63,000,000","57,000,000","62,000,000","57,000,000","59,000,000","-19,875,000","89,944,000","78,647,000","59,284,000","73,952,000","24,749,000","54,283,000","54,957,000","55,583,000","47,002,000","64,057,000","54,006,000","57,151,000","53,870,000","57,475,000","52,097,000","49,114,000","62,132,000","52,354,000","52,214,000","54,341,000","28,291,000","49,286,000","52,177,000","41,954,000","38,942,000","48,980,000","34,745,000","35,049,000","29,690,000","13,319,000","-38,093,000","-228,290,000","-91,172,000","-12,750,000","-251,792,000","-251,949,000","17,042,000","26,328,000","26,377,000","-158,864,000","48,535,000","24,275,000","33,528,000","27,346,000","-60,815,000","45,506,000","40,803,000","29,239,000","43,052,000","30,614,000","28,578,000","37,201,000","38,255,000","43,384,000","34,901,000","33,758,000","37,230,000","37,160,000","32,023,000","30,475,000","36,703,000","31,647,000","127,175,000","-28,086,000","8,348,000","-10,929,000","25,428,000","30,995,000","17,010,000","37,039,000","46,405,000","46,800,000","50,200,000","50,300,000","45,400,000","11,400,000","41,400,000","43,500,000","42,200,000","42,700,000","38,800,000","39,700,000","36,700,000","33,500,000","34,300,000","34,100,000","34,700,000","33,800,000","35,800,000","34,400,000","29,400,000","26,500,000","29,000,000","33,200,000","35,200,000","46,000,000","30,200,000","24,900,000","22,600,000","15,800,000","15,500,000","15,300,000","14,700,000","14,000,000","12,200,000","12,200,000","11,000,000","11,400,000","-2,000,000","10,000,000","9,700,000","11,200,000","8,700,000","8,100,000","7,700,000",,,,,,,,,,,,,,
NetIncomeCommonStockholders,"1,153,000,000","377,000,000","333,000,000","-58,000,000","501,000,000","281,000,000","275,000,000","131,000,000","30,000,000","298,000,000","354,000,000","346,000,000","339,000,000","315,000,000","360,000,000","334,000,000","314,000,000","412,267,000","255,665,000","252,852,000","189,216,000","220,098,000","108,467,000","154,666,000","163,316,000","170,337,000","144,620,000","188,238,000","157,889,000","155,651,000","147,052,000","156,656,000","141,179,000","149,858,000","170,520,000","142,684,000","143,810,000","159,306,000","159,784,000","144,722,000","145,221,000","119,155,000","135,688,000","138,214,000","118,743,000","39,146,000","71,451,000","19,338,000","10,380,000","-398,976,000","-195,413,000","-182,546,000","-2,492,000,000","-440,447,000","62,972,000","101,352,000","127,068,000","-239,280,000","138,202,000","80,521,000","95,726,000","87,715,000","157,446,000","111,604,000","104,456,000","100,573,000","108,574,000","106,425,000","96,519,000","91,139,000","93,486,000","110,127,000","104,173,000","93,261,000","90,882,000","97,387,000","88,832,000","85,135,000","98,123,000","82,240,000","97,727,000","65,649,000","42,629,000","2,377,000","67,866,000","76,222,000","50,530,000","97,521,000","104,173,000","115,000,000","105,600,000","105,000,000","96,600,000","31,200,000","88,800,000","92,300,000","89,500,000","90,700,000","41,200,000","72,500,000","66,500,000","67,700,000","66,500,000","65,100,000","62,800,000","65,500,000","65,900,000","58,200,000","53,900,000","52,500,000","55,900,000","67,500,000","66,700,000","68,800,000","59,400,000","53,200,000","47,300,000","38,600,000","34,900,000","33,600,000","31,900,000","31,700,000","30,100,000","29,600,000","25,600,000","27,400,000","2,100,000","27,700,000","27,400,000","35,700,000","25,100,000","24,100,000","23,100,000",,,,,,,,,,,,,,
	NetIncome,"1,295,000,000","401,000,000","377,000,000","-15,000,000","532,000,000","316,000,000","303,000,000","150,000,000","48,000,000","317,000,000","372,000,000","364,000,000","358,000,000","334,000,000","378,000,000","355,000,000","326,000,000","431,597,000","274,568,000","271,741,000","208,094,000","238,963,000","127,004,000","174,540,000","171,314,000","178,309,000","152,588,000","196,206,000","165,854,000","163,614,000","155,016,000","164,619,000","149,143,000","157,823,000","178,487,000","150,651,000","151,780,000","167,279,000","167,767,000","152,706,000","153,270,000","126,858,000","143,391,000","145,918,000","126,446,000","122,900,000","100,946,000","48,764,000","39,737,000","-369,687,000","-166,190,000","-125,095,000","-2,433,207,000","-417,289,000","75,063,000","101,352,000","127,068,000","-239,280,000","138,202,000","80,521,000","95,726,000","87,715,000","157,446,000","111,604,000","104,456,000","100,573,000","108,574,000","106,425,000","96,519,000","91,139,000","93,486,000","110,127,000","104,173,000","93,261,000","90,882,000","97,387,000","88,832,000","85,135,000","98,123,000","82,240,000","97,727,000","65,649,000","42,629,000","2,377,000","67,866,000","76,222,000","50,530,000","97,521,000","104,173,000","115,000,000","105,600,000","105,000,000","96,600,000","31,200,000","88,800,000","92,300,000","89,500,000","90,700,000","41,200,000","72,500,000","66,500,000","67,700,000","66,500,000","65,100,000","62,800,000","65,500,000","65,900,000","58,200,000","53,900,000","52,500,000","55,900,000","67,500,000","66,700,000","68,800,000","59,400,000","53,200,000","47,300,000","38,600,000","34,900,000","33,600,000","31,900,000","31,700,000","30,100,000","29,600,000","25,600,000","27,400,000","2,100,000","27,700,000","27,400,000","35,700,000","25,100,000","24,100,000","23,100,000",,,,,,,,,,,,,,
		NetIncomeIncludingNoncontrollingInterests,"1,297,000,000","402,000,000","378,000,000","-15,000,000","532,000,000","316,000,000","303,000,000","150,000,000","48,000,000","317,000,000","372,000,000","364,000,000","358,000,000","334,000,000","378,000,000","355,000,000","326,000,000","431,597,000","274,568,000","271,741,000","208,094,000","238,963,000","127,004,000","174,540,000","171,314,000","178,309,000","152,588,000","196,206,000","165,854,000","163,614,000","155,016,000","164,619,000","149,143,000","157,823,000","178,487,000","150,651,000","151,780,000","167,279,000","167,767,000","152,706,000","153,270,000","126,858,000","143,391,000","145,918,000","126,446,000","122,900,000","100,946,000","48,764,000","39,737,000","-369,687,000","-166,190,000","-125,095,000","-2,433,207,000","-417,289,000","75,063,000","101,352,000","127,068,000","-239,280,000","138,202,000","80,521,000","95,726,000","87,715,000","157,446,000","111,604,000","104,456,000","100,573,000","108,574,000","106,425,000","96,519,000","91,139,000","93,486,000","110,127,000","104,173,000","93,261,000","90,882,000","97,387,000","88,832,000","85,135,000","98,123,000","82,240,000","97,727,000","65,649,000","42,629,000","2,377,000","67,866,000","76,222,000","50,530,000","97,521,000","104,173,000","115,000,000","105,600,000","105,000,000","96,600,000","31,200,000","88,800,000","92,300,000","89,500,000","90,700,000","41,200,000","72,500,000","66,500,000","67,700,000","66,500,000","65,100,000","62,800,000","65,500,000","65,900,000","58,200,000","53,900,000","52,500,000","55,900,000","67,500,000","66,700,000","68,800,000","59,400,000","53,200,000","47,300,000","38,600,000","34,900,000","33,600,000","31,900,000","31,700,000","30,100,000","29,600,000","25,600,000","27,400,000","2,100,000","27,700,000","27,400,000","35,700,000","25,100,000","24,100,000","23,100,000","22,900,000","22,500,000","21,300,000","20,800,000","8,900,000","18,600,000","3,300,000","17,000,000","18,500,000","16,400,000","15,400,000","14,400,000","14,300,000","13,500,000"
			NetIncomeContinuousOperations,"1,297,000,000","402,000,000","378,000,000","-15,000,000","532,000,000","316,000,000","303,000,000","150,000,000","48,000,000","317,000,000","372,000,000","364,000,000","358,000,000","334,000,000","378,000,000","355,000,000","326,000,000","431,597,000","274,568,000","271,741,000","208,094,000","238,963,000","127,004,000","174,540,000","171,314,000","178,309,000","152,588,000","196,206,000","165,854,000","163,614,000","155,016,000","164,619,000","149,143,000","157,823,000","178,487,000","150,651,000","151,780,000","167,279,000","167,767,000","152,706,000","153,270,000","126,858,000","143,391,000","145,918,000","126,446,000","122,900,000","100,946,000","48,764,000","39,737,000","-369,687,000","-166,190,000","-125,095,000","-2,433,207,000","-417,289,000","75,063,000","101,352,000","127,068,000","-239,280,000","138,202,000","80,521,000","95,726,000","87,715,000","157,446,000","111,604,000","104,456,000","100,573,000","108,574,000","106,425,000","96,519,000","91,139,000","93,486,000","110,127,000","104,173,000","93,261,000","104,212,000","97,387,000","88,832,000","85,135,000","98,123,000","82,240,000","97,727,000","65,649,000","42,629,000","2,377,000","67,866,000","76,222,000","50,530,000","97,521,000","104,173,000","115,000,000","105,600,000","105,000,000","96,600,000","31,200,000","88,800,000","92,300,000","89,500,000","90,700,000","41,200,000","72,500,000","66,500,000","67,700,000","66,500,000","65,100,000","62,800,000","65,500,000","65,900,000","58,200,000","53,900,000","52,500,000","55,900,000","67,500,000","66,700,000","68,800,000","59,400,000","53,200,000","47,300,000","38,600,000","34,900,000","33,600,000","31,900,000","31,700,000","30,100,000","29,600,000","25,600,000","27,400,000","2,100,000","27,700,000","27,400,000","35,700,000","25,100,000","24,100,000","23,100,000","22,900,000","22,500,000","21,300,000","20,800,000","8,900,000","18,600,000","3,300,000","17,000,000","18,500,000","16,400,000","15,400,000","14,400,000","14,300,000","13,500,000"
			NetIncomeExtraordinary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","-13,330,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		MinorityInterests,"-2,000,000","-1,000,000","-1,000,000","0","0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
