name,ttm,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999,12/31/1998,09/30/1998,06/30/1998,03/31/1998,12/31/1997,09/30/1997,06/30/1997,03/31/1997,12/31/1996,09/30/1996,06/30/1996,03/31/1996,12/31/1995,09/30/1995,06/30/1995,03/31/1995,12/31/1994,09/30/1994,06/30/1994,03/31/1994,12/31/1993,09/30/1993,06/30/1993,03/31/1993,12/31/1992,09/30/1992,06/30/1992,03/31/1992,12/31/1991,09/30/1991,06/30/1991,03/31/1991,12/31/1990,09/30/1990,06/30/1990,03/31/1990
TotalRevenue,"58,752,000,000","15,064,000,000","15,276,000,000","14,435,000,000","13,977,000,000","14,293,000,000","13,311,000,000","11,068,000,000","12,861,000,000","13,523,000,000","12,694,000,000","12,602,000,000","12,517,000,000","12,274,000,000","11,451,000,000","11,529,000,000","11,423,000,000","11,562,000,000","10,696,000,000","10,733,000,000","10,623,000,000","10,641,000,000","10,270,000,000","10,319,000,000","10,260,000,000","10,249,000,000","9,856,000,000","9,897,000,000","9,676,000,000","9,636,000,000","9,220,000,000","9,230,000,000","8,832,000,000","8,836,000,000","8,456,000,000","8,450,000,000","8,440,000,000","8,434,000,000","8,062,000,000","8,112,000,000","9,199,000,000","8,338,000,000","8,050,000,000","8,063,000,000","8,055,000,000","7,736,000,000","7,647,000,000","7,756,000,000","7,544,000,000","7,605,000,000","7,533,000,000","7,483,000,000","7,431,000,000","7,265,000,000","7,002,000,000","6,980,000,000","7,127,000,000","6,883,000,000","6,569,000,000","6,729,000,000","6,677,000,000","6,489,000,000","6,213,000,000","6,360,000,000","6,415,000,000","6,178,000,000","6,025,000,000","6,070,000,000","6,182,000,000","5,940,000,000","5,792,000,000","5,833,000,000","5,937,000,000","5,597,000,000","5,471,000,000","5,467,000,000","5,273,000,000","5,024,000,000","4,929,000,000","4,903,000,000","4,873,000,000","4,538,000,000","4,438,000,000","4,476,000,000","4,501,000,000","4,173,000,000","4,093,000,000","4,133,000,000","4,271,000,000","3,942,000,000","3,899,000,000","4,161,000,000","4,655,000,000","4,420,000,000","4,579,000,000","4,781,000,000","4,901,000,000","4,374,000,000","4,612,000,000","5,187,000,000","5,328,000,000","5,138,000,000","4,887,000,000","4,933,000,000","4,951,000,000","4,583,000,000","4,371,000,000","4,361,000,000","3,337,000,000","2,937,000,000","2,728,000,000","2,689,000,000","2,778,000,000","6,423,000,000","1,238,000,000","290,800,000","292,900,000","233,500,000","213,300,000","162,400,000","152,400,000","126,500,000","125,100,000","108,700,000","100,700,000","102,800,000","67,700,000","54,400,000","47,700,000"
	OperatingRevenue,"55,916,000,000","14,433,000,000","14,596,000,000","13,805,000,000","13,082,000,000","15,648,000,000","12,574,000,000","10,725,000,000","12,586,000,000","15,340,000,000","12,045,000,000","11,909,000,000","12,517,000,000","12,274,000,000","11,451,000,000","11,001,000,000","11,423,000,000","12,497,000,000","11,967,000,000","11,806,000,000","11,383,000,000","11,506,000,000","11,110,000,000","11,081,000,000","11,050,000,000","11,323,000,000","11,014,000,000","10,932,000,000","10,322,000,000","10,468,000,000","9,978,000,000","9,958,000,000","9,683,000,000","9,962,000,000","9,411,000,000","9,473,000,000","9,194,000,000","12,204,000,000","8,062,000,000","8,112,000,000","9,199,000,000","8,338,000,000","8,050,000,000","8,063,000,000","8,055,000,000","7,736,000,000","7,647,000,000","7,756,000,000","7,544,000,000","7,605,000,000","7,533,000,000","7,483,000,000","7,431,000,000","7,265,000,000","7,002,000,000","6,980,000,000","7,127,000,000","6,883,000,000","6,569,000,000","6,729,000,000","6,677,000,000","6,489,000,000","6,213,000,000","6,360,000,000","6,415,000,000","6,178,000,000","6,025,000,000","6,070,000,000","6,182,000,000","5,940,000,000","5,792,000,000","5,833,000,000","5,937,000,000","5,597,000,000","5,471,000,000","5,467,000,000","5,273,000,000","5,024,000,000","4,929,000,000","4,903,000,000","4,873,000,000","4,538,000,000","4,438,000,000","4,476,000,000","4,501,000,000","4,173,000,000","4,093,000,000","4,133,000,000","4,271,000,000","3,942,000,000","3,899,000,000","4,161,000,000","4,655,000,000","4,420,000,000","4,579,000,000","4,781,000,000","4,901,000,000","4,374,000,000","4,612,000,000","5,187,000,000","5,328,000,000","5,138,000,000","4,887,000,000","4,933,000,000","4,951,000,000","4,583,000,000","4,371,000,000","4,361,000,000","3,337,000,000","2,937,000,000","2,728,000,000","2,689,000,000","2,778,000,000","6,423,000,000","1,238,000,000","290,800,000","292,900,000","233,500,000","213,300,000","162,400,000","152,400,000","126,500,000","125,100,000","108,700,000","100,700,000","102,800,000","67,700,000","54,400,000","47,700,000"
CostOfRevenue,"9,481,000,000","2,414,000,000","2,463,000,000","2,380,000,000","2,224,000,000","2,370,000,000","2,128,000,000","1,748,000,000","2,123,000,000","2,232,000,000","2,090,000,000","2,118,000,000","2,041,000,000","2,002,000,000","1,890,000,000","1,917,000,000","1,915,000,000","1,947,000,000","1,777,000,000","1,795,000,000","1,797,000,000","1,802,000,000","1,699,000,000","1,718,000,000","1,714,000,000","1,686,000,000","1,644,000,000","1,670,000,000","1,638,000,000","1,659,000,000","1,539,000,000","1,532,000,000","1,532,000,000","1,564,000,000","1,457,000,000","1,470,000,000","1,479,000,000","1,501,000,000","1,375,000,000","1,422,000,000","1,419,000,000","1,346,000,000","1,263,000,000","1,295,000,000","1,275,000,000","1,276,000,000","1,234,000,000","1,251,000,000","1,200,000,000","1,241,000,000","1,206,000,000","4,155,000,000","4,133,000,000","1,157,000,000","1,141,000,000","3,990,000,000","1,173,000,000","1,111,000,000","1,085,000,000","1,096,000,000","1,103,000,000","1,071,000,000","1,046,000,000","1,091,000,000","1,114,000,000","1,024,000,000","1,009,000,000","1,042,000,000","1,051,000,000",,,,,,,,,,,,,,,,,,,,,,"1,351,000,000","1,480,000,000","1,614,000,000",,"1,644,000,000","1,680,000,000","1,686,000,000",,"1,676,000,000","1,706,000,000","1,763,000,000",,"1,681,000,000","1,675,000,000","1,642,000,000",,"1,505,000,000","1,458,000,000","1,106,000,000",,"935,000,000","926,000,000","926,000,000","2,200,000,000","431,000,000","85,600,000","87,500,000","60,900,000","129,100,000","48,400,000","99,800,000","5,400,000","49,700,000","98,500,000","90,400,000","-66,300,000","61,100,000","46,600,000",
GrossProfit,"49,271,000,000","12,650,000,000","12,813,000,000","12,055,000,000","11,753,000,000","11,923,000,000","11,183,000,000","9,320,000,000","10,738,000,000","11,291,000,000","10,604,000,000","10,484,000,000","10,476,000,000","10,272,000,000","9,561,000,000","9,612,000,000","9,508,000,000","9,615,000,000","8,919,000,000","8,938,000,000","8,826,000,000","8,839,000,000","8,571,000,000","8,601,000,000","8,546,000,000","8,563,000,000","8,212,000,000","8,227,000,000","8,038,000,000","7,977,000,000","7,681,000,000","7,698,000,000","7,300,000,000","7,272,000,000","6,999,000,000","6,980,000,000","6,961,000,000","6,933,000,000","6,687,000,000","6,690,000,000","7,780,000,000","6,992,000,000","6,787,000,000","6,768,000,000","6,780,000,000","6,460,000,000","6,413,000,000","6,505,000,000","6,344,000,000","6,364,000,000","6,327,000,000","3,328,000,000","3,298,000,000","6,108,000,000","5,861,000,000","2,990,000,000","5,954,000,000","5,772,000,000","5,484,000,000","5,633,000,000","5,574,000,000","5,418,000,000","5,167,000,000","5,269,000,000","5,301,000,000","5,154,000,000","5,016,000,000","5,028,000,000","5,131,000,000",,,,,,,,,,,,,,,,,,,,,,"2,548,000,000","2,681,000,000","3,041,000,000",,"2,935,000,000","3,101,000,000","3,215,000,000",,"2,936,000,000","3,481,000,000","3,565,000,000",,"3,206,000,000","3,258,000,000","3,309,000,000",,"2,866,000,000","2,903,000,000","2,231,000,000",,"1,793,000,000","1,763,000,000","1,852,000,000","4,223,000,000","807,000,000","205,200,000","205,400,000","172,600,000","84,200,000","114,000,000","52,600,000","121,100,000","75,400,000","10,200,000","10,300,000","169,100,000","6,600,000","7,800,000",
OperatingExpense,"39,593,000,000","10,264,000,000","10,340,000,000","9,570,000,000","9,419,000,000","9,473,000,000","9,864,000,000","7,346,000,000","9,219,000,000","9,267,000,000","8,970,000,000","8,835,000,000","8,565,000,000","8,349,000,000","8,056,000,000","7,954,000,000","7,952,000,000","7,812,000,000","7,695,000,000","7,382,000,000","7,352,000,000","7,146,000,000","7,131,000,000","7,048,000,000","7,034,000,000","6,920,000,000","6,888,000,000","6,698,000,000","6,569,000,000","6,491,000,000","6,327,000,000","6,161,000,000","6,112,000,000","6,019,000,000","5,848,000,000","5,728,000,000","5,825,000,000","5,788,000,000","5,571,000,000","5,541,000,000","6,385,000,000","5,781,000,000","5,805,000,000","5,779,000,000","5,624,000,000","5,444,000,000","5,475,000,000","5,445,000,000","5,193,000,000","5,443,000,000","5,461,000,000","2,350,000,000","2,262,000,000","5,278,000,000","5,198,000,000","2,304,000,000","5,131,000,000","4,981,000,000","4,857,000,000","4,814,000,000","4,653,000,000","4,488,000,000","4,579,000,000","4,557,000,000","4,453,000,000","4,483,000,000","4,404,000,000","4,274,000,000","4,264,000,000","5,255,000,000","5,241,000,000","5,097,000,000","5,205,000,000","4,937,000,000","4,812,000,000","4,907,000,000","4,355,000,000","4,968,000,000","4,449,000,000","4,172,000,000","4,091,000,000","4,263,000,000","3,828,000,000","3,864,000,000","3,773,000,000","3,891,000,000","3,611,000,000","4,326,000,000","3,621,000,000","7,846,000,000","2,163,000,000","2,283,000,000","2,494,000,000","8,963,000,000","2,581,000,000","2,649,000,000","2,665,000,000","10,128,000,000","2,583,000,000","2,658,000,000","2,664,000,000","9,158,000,000","2,568,000,000","2,532,000,000","2,497,000,000","8,576,000,000","2,297,000,000","2,258,000,000","1,666,000,000","5,379,000,000","1,453,000,000","1,385,000,000","1,407,000,000","3,274,000,000","688,000,000","190,500,000","188,100,000","148,700,000","81,700,000","105,800,000","46,200,000","116,400,000","70,800,000","5,100,000","4,900,000","166,700,000","3,200,000","2,300,000",
	SellingGeneralAndAdministration,"26,779,000,000","6,999,000,000","7,094,000,000","6,385,000,000","6,301,000,000","6,329,000,000","6,097,000,000","5,330,000,000","6,118,000,000","6,105,000,000","5,971,000,000","5,837,000,000","5,647,000,000","5,485,000,000","5,377,000,000","5,274,000,000","5,289,000,000","5,181,000,000","5,081,000,000","4,896,000,000","4,901,000,000","4,764,000,000","4,740,000,000","4,691,000,000","4,702,000,000","4,606,000,000","4,619,000,000","4,492,000,000","4,398,000,000","4,282,000,000","4,211,000,000","4,098,000,000","4,050,000,000","3,965,000,000","3,916,000,000","3,848,000,000","3,917,000,000","3,865,000,000","3,781,000,000","3,707,000,000","3,736,000,000","3,492,000,000","3,333,000,000","3,320,000,000","3,295,000,000","3,202,000,000","3,134,000,000","3,076,000,000","3,072,000,000","3,078,000,000","3,013,000,000",,,"2,877,000,000","2,883,000,000",,"2,839,000,000","2,712,000,000","2,701,000,000","2,654,000,000","2,647,000,000","2,593,000,000","2,600,000,000","2,605,000,000","2,611,000,000","2,538,000,000","2,484,000,000","2,463,000,000","2,443,000,000","2,402,000,000","2,350,000,000","2,334,000,000","2,333,000,000","2,219,000,000","2,189,000,000","2,178,000,000","2,096,000,000","2,063,000,000","1,999,000,000","1,960,000,000","1,930,000,000","1,867,000,000","1,808,000,000","1,822,000,000","1,782,000,000","1,683,000,000","1,650,000,000","1,645,000,000","1,661,000,000","645,000,000","1,901,000,000","2,005,000,000","2,198,000,000","848,000,000","2,269,000,000","2,338,000,000","2,356,000,000","1,034,000,000","2,264,000,000","2,345,000,000","2,364,000,000","1,094,000,000","2,266,000,000","2,253,000,000","2,229,000,000","1,064,000,000","2,046,000,000","2,012,000,000","1,489,000,000",,"1,301,000,000","1,241,000,000","1,263,000,000","2,897,000,000","612,000,000","174,800,000","172,900,000","136,900,000","72,100,000","97,200,000","37,900,000","110,100,000","64,500,000",,,,,,
		GeneralAndAdministrativeExpense,"26,779,000,000","6,999,000,000","7,094,000,000","6,385,000,000","6,301,000,000","6,329,000,000","6,097,000,000","5,330,000,000","6,118,000,000","6,105,000,000","5,971,000,000","5,837,000,000","5,647,000,000","5,485,000,000","5,377,000,000","5,274,000,000","5,289,000,000","5,181,000,000","5,081,000,000","4,896,000,000","4,901,000,000","4,764,000,000","4,740,000,000","4,691,000,000","4,702,000,000","4,606,000,000","4,619,000,000","4,492,000,000","4,398,000,000","4,282,000,000","4,211,000,000","4,098,000,000","4,050,000,000","3,965,000,000","3,916,000,000","3,848,000,000","3,917,000,000","3,865,000,000","3,781,000,000","3,707,000,000","3,736,000,000","3,492,000,000","3,333,000,000","3,320,000,000","3,295,000,000","3,202,000,000","3,134,000,000","3,076,000,000","3,072,000,000","3,078,000,000","3,013,000,000",,,"2,877,000,000","2,883,000,000",,"2,839,000,000","2,712,000,000","2,701,000,000","2,654,000,000","2,647,000,000","2,593,000,000","2,600,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			SalariesAndWages,"26,779,000,000","6,999,000,000","7,094,000,000","6,385,000,000","6,301,000,000","6,329,000,000","6,097,000,000","5,330,000,000","6,118,000,000","6,105,000,000","5,971,000,000","5,837,000,000","5,647,000,000","5,485,000,000","5,377,000,000","5,274,000,000","5,289,000,000","5,181,000,000","5,081,000,000","4,896,000,000","4,901,000,000","4,764,000,000","4,740,000,000","4,691,000,000","4,702,000,000","4,606,000,000","4,619,000,000","4,492,000,000","4,398,000,000","4,282,000,000","4,211,000,000","4,098,000,000","4,050,000,000","3,965,000,000","3,916,000,000","3,848,000,000","3,917,000,000","3,865,000,000","3,781,000,000","3,707,000,000","3,736,000,000","3,492,000,000","3,333,000,000","3,320,000,000","3,295,000,000","3,202,000,000","3,134,000,000","3,076,000,000","3,072,000,000","3,078,000,000","3,013,000,000",,,"2,877,000,000","2,883,000,000",,"2,839,000,000","2,712,000,000","2,701,000,000","2,654,000,000","2,647,000,000","2,593,000,000","2,600,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
	DepreciationAmortizationDepletionIncomeStatement,"2,853,000,000","728,000,000","716,000,000","712,000,000","697,000,000","662,000,000","694,000,000","691,000,000","674,000,000","694,000,000","647,000,000","636,000,000","619,000,000","581,000,000","582,000,000","562,000,000","553,000,000","550,000,000","539,000,000","521,000,000","521,000,000","503,000,000","495,000,000","489,000,000","479,000,000","480,000,000","482,000,000","469,000,000","473,000,000","459,000,000","460,000,000","454,000,000","447,000,000","461,000,000","443,000,000","425,000,000","424,000,000","425,000,000","417,000,000","420,000,000","417,000,000","387,000,000","362,000,000","358,000,000","358,000,000","359,000,000","352,000,000","355,000,000","355,000,000","358,000,000","354,000,000","360,000,000","353,000,000","354,000,000","350,000,000","355,000,000","357,000,000","354,000,000","356,000,000","361,000,000","355,000,000","346,000,000","348,000,000","352,000,000","345,000,000","336,000,000","337,000,000","364,000,000","337,000,000","318,000,000","326,000,000","315,000,000","303,000,000","290,000,000","283,000,000","408,000,000","261,000,000","277,000,000","253,000,000","255,000,000","244,000,000","274,000,000","272,000,000","262,000,000","257,000,000","355,000,000","274,000,000","265,000,000","256,000,000","478,000,000","262,000,000","278,000,000","296,000,000","857,000,000","312,000,000","311,000,000","309,000,000","757,000,000","319,000,000","313,000,000","300,000,000","306,000,000","302,000,000","279,000,000","268,000,000","251,000,000","251,000,000","246,000,000","177,000,000","169,000,000","152,000,000","144,000,000","144,000,000","377,000,000","76,000,000","15,700,000","15,200,000","11,800,000","9,600,000","8,600,000","8,300,000","6,300,000","6,300,000","5,100,000","4,900,000","4,500,000","3,200,000","2,300,000",
		DepreciationAndAmortizationInIncomeStatement,"2,853,000,000","728,000,000","716,000,000","712,000,000","697,000,000","662,000,000","694,000,000","691,000,000","674,000,000","694,000,000","647,000,000","636,000,000","619,000,000","581,000,000","582,000,000","562,000,000","553,000,000","550,000,000","539,000,000","521,000,000","521,000,000","503,000,000","495,000,000","489,000,000","479,000,000","480,000,000","482,000,000","469,000,000","473,000,000","459,000,000","460,000,000","454,000,000","447,000,000","461,000,000","443,000,000","425,000,000","424,000,000","425,000,000","417,000,000","420,000,000","417,000,000","387,000,000","362,000,000","358,000,000","358,000,000","359,000,000","352,000,000","355,000,000","355,000,000","358,000,000","354,000,000","360,000,000","353,000,000","354,000,000","350,000,000","355,000,000","357,000,000","354,000,000","356,000,000","361,000,000","355,000,000","346,000,000","348,000,000","352,000,000","345,000,000","336,000,000","337,000,000","364,000,000","337,000,000","318,000,000","314,000,000","315,000,000","303,000,000","290,000,000","283,000,000","278,000,000","261,000,000","258,000,000","253,000,000","255,000,000","244,000,000","274,000,000","255,000,000","262,000,000","257,000,000","255,000,000","257,000,000","265,000,000","256,000,000","258,000,000","262,000,000","278,000,000","296,000,000","315,000,000","312,000,000","311,000,000","309,000,000","315,000,000","319,000,000","313,000,000","300,000,000","306,000,000","302,000,000","279,000,000","268,000,000","251,000,000","251,000,000","246,000,000","177,000,000","169,000,000","152,000,000","144,000,000","144,000,000","377,000,000","76,000,000","15,700,000","15,200,000","11,800,000","9,600,000","8,600,000","8,300,000","6,300,000","6,300,000","5,100,000","4,900,000","4,500,000","3,200,000","2,300,000",
