name,ttm,01/31/2022,10/31/2021,07/31/2021,04/30/2021,01/31/2021,10/31/2020,07/31/2020,04/30/2020,01/31/2020,10/31/2019,07/31/2019,04/30/2019,01/31/2019,10/31/2018,07/31/2018,04/30/2018,01/31/2018,10/31/2017,07/31/2017,04/30/2017,01/31/2017,10/31/2016,07/31/2016,04/30/2016,01/31/2016,10/31/2015,07/31/2015,04/30/2015,01/31/2015,10/31/2014,07/31/2014,04/30/2014,01/31/2014,10/31/2013,07/31/2013,04/30/2013,01/31/2013,10/31/2012,07/31/2012,04/30/2012,01/31/2012,10/31/2011,07/31/2011,04/30/2011,01/31/2011,10/31/2010,07/31/2010,04/30/2010,01/31/2010,10/31/2009,07/31/2009,04/30/2009,01/31/2009,10/31/2008,07/31/2008,04/30/2008,01/31/2008,10/31/2007,07/31/2007,04/30/2007,01/31/2007,10/31/2006,07/31/2006,04/30/2006,01/31/2006,10/31/2005,07/31/2005,04/30/2005,01/31/2005,10/31/2004,07/31/2004,04/30/2004,01/31/2004,10/31/2003,07/31/2003,04/30/2003,01/31/2003,10/31/2002,07/31/2002,04/30/2002,01/31/2002,10/31/2001,07/31/2001,04/30/2001,01/31/2001,10/31/2000,07/31/2000,04/30/2000,01/31/2000,10/31/1999,07/31/1999,04/30/1999,01/31/1999,10/31/1998,07/31/1998,04/30/1998,01/31/1998,10/31/1997,07/31/1997,04/30/1997,01/31/1997,10/31/1996,07/31/1996,04/30/1996,01/31/1996,10/31/1995,07/31/1995,04/30/1995,01/31/1995,10/31/1994,07/31/1994,04/30/1994,01/31/1994,10/31/1993,07/31/1993,04/30/1993,01/31/1993,10/31/1992,07/31/1992,04/30/1992,01/31/1992,10/31/1991,07/31/1991,04/30/1991,01/31/1991,10/31/1990,07/31/1990,04/30/1990,01/31/1990,10/31/1989,07/31/1989,04/30/1989,01/31/1989,10/31/1988,07/31/1988,04/30/1988,01/31/1988,10/31/1987,07/31/1987,04/30/1987,01/31/1987,10/31/1986,07/31/1986,04/30/1986,01/31/1986,10/31/1985
TotalRevenue,"151,157,000,000","35,719,000,000","36,820,000,000","41,118,000,000","37,500,000,000","32,261,000,000","33,536,000,000","38,053,000,000","28,260,000,000","25,782,000,000","27,223,000,000","30,839,000,000","26,381,000,000","26,491,000,000","26,302,000,000","30,463,000,000","24,947,000,000","23,883,000,000","25,026,000,000","28,108,000,000","23,887,000,000","22,207,000,000","23,154,000,000","26,472,000,000","22,762,000,000","20,980,000,000","21,819,000,000","24,829,000,000","20,891,000,000","19,162,000,000","20,516,000,000","23,811,000,000","19,687,000,000","17,696,000,000","19,470,000,000","22,522,000,000","19,124,000,000","18,246,000,000","18,130,000,000","20,570,000,000","17,808,000,000","16,014,000,000","17,326,000,000","20,232,000,000","16,823,000,000","15,126,000,000","16,598,000,000","19,410,000,000","16,863,000,000","14,569,000,000","16,361,000,000","19,071,000,000","16,175,000,000","14,607,000,000","17,784,000,000","20,990,000,000","17,907,000,000","17,659,000,000","18,961,000,000","22,184,000,000","21,585,000,000","20,265,000,000","23,085,000,000","26,026,000,000","21,461,000,000","19,489,000,000","20,744,000,000","22,305,000,000","18,973,000,000","16,812,000,000","18,772,000,000","19,960,000,000","17,550,000,000","15,125,000,000","16,598,000,000","17,989,000,000","15,104,000,000","13,213,000,000","14,475,000,000","16,277,000,000","14,282,000,000","13,488,000,000","13,289,000,000","14,576,000,000","12,200,000,000","10,463,000,000","11,545,000,000","12,618,000,000","11,112,000,000","9,174,000,000","9,877,000,000","10,431,000,000","8,952,000,000","7,258,000,000","7,699,000,000","8,139,000,000","7,123,000,000","5,731,500,000","6,217,000,000","6,550,200,000","5,657,300,000","4,958,500,000","4,921,800,000","5,292,900,000","4,362,200,000","3,751,900,000","3,997,800,000","4,151,700,000","3,569,000,000","3,077,500,000","3,240,100,000","3,287,000,000","2,872,100,000","2,287,500,000","2,317,400,000","2,453,800,000","2,180,200,000","1,818,400,000","1,834,000,000","1,856,400,000","1,639,600,000","1,298,700,000","1,298,300,000","1,352,800,000","1,186,900,000","1,007,600,000","936,600,000","990,300,000","880,900,000","713,200,000","699,700,000","704,000,000","641,500,000","524,800,000","510,000,000","518,200,000","446,600,000","374,000,000","364,200,000","381,400,000","334,000,000","273,900,000","251,500,000","263,400,000","222,600,000","203,700,000","177,700,000"
	OperatingRevenue,"151,157,000,000","35,719,000,000","36,820,000,000","41,118,000,000","37,500,000,000","32,261,000,000","33,536,000,000","38,053,000,000","28,260,000,000","25,782,000,000","27,223,000,000","30,839,000,000","26,381,000,000","26,491,000,000","26,302,000,000","30,463,000,000","24,947,000,000","23,883,000,000","25,026,000,000","28,108,000,000","23,887,000,000","22,207,000,000","23,154,000,000","26,472,000,000","22,762,000,000","20,980,000,000","21,819,000,000","24,829,000,000","20,891,000,000","19,162,000,000","20,516,000,000","23,811,000,000","19,687,000,000","17,696,000,000","19,470,000,000","22,522,000,000","19,124,000,000","18,246,000,000","18,130,000,000","20,570,000,000","17,808,000,000","16,014,000,000","17,326,000,000","20,232,000,000","16,823,000,000","15,126,000,000","16,598,000,000","19,410,000,000","16,863,000,000","14,569,000,000","16,361,000,000","19,071,000,000","16,175,000,000","14,607,000,000","17,784,000,000","20,990,000,000","17,907,000,000","17,659,000,000","18,961,000,000","22,184,000,000","21,585,000,000","20,265,000,000","23,085,000,000","26,026,000,000","21,461,000,000","19,489,000,000","20,744,000,000","22,305,000,000","18,973,000,000","16,812,000,000","18,772,000,000","19,960,000,000","17,550,000,000","15,125,000,000","16,598,000,000","17,989,000,000","15,104,000,000","13,213,000,000","14,475,000,000","16,277,000,000","14,282,000,000","13,488,000,000","13,289,000,000","14,576,000,000","12,200,000,000","10,463,000,000","11,545,000,000","12,618,000,000","11,112,000,000","9,174,000,000","9,877,000,000","10,431,000,000","8,952,000,000","7,258,000,000","7,699,000,000","8,139,000,000","7,123,000,000","5,731,500,000","6,217,000,000","6,550,200,000","5,657,300,000","4,958,500,000","4,921,800,000","5,292,900,000","4,362,200,000","3,751,900,000","3,997,800,000","4,151,700,000","3,569,000,000","3,077,500,000","3,240,100,000","3,287,000,000","2,872,100,000","2,287,500,000","2,317,400,000","2,453,800,000","2,180,200,000","1,818,400,000","1,834,000,000","1,856,400,000","1,639,600,000","1,298,700,000","1,298,300,000","1,352,800,000","1,186,900,000","1,007,600,000","936,600,000","990,300,000","880,900,000","713,200,000","699,700,000","704,000,000","641,500,000","524,800,000","510,000,000","518,200,000","446,600,000","374,000,000","364,200,000","381,400,000","334,000,000","273,900,000","251,500,000","263,400,000","222,600,000","203,700,000","177,700,000"
CostOfRevenue,"100,325,000,000","23,857,000,000","24,257,000,000","27,453,000,000","24,758,000,000","21,430,000,000","22,080,000,000","25,112,000,000","18,635,000,000","17,046,000,000","17,836,000,000","20,407,000,000","17,364,000,000","17,464,000,000","17,151,000,000","20,098,000,000","16,330,000,000","15,790,000,000","16,378,000,000","18,647,000,000","15,733,000,000","14,654,000,000","15,112,000,000","17,545,000,000","14,971,000,000","13,824,000,000","14,254,000,000","16,464,000,000","13,712,000,000","12,439,000,000","13,331,000,000","15,650,000,000","12,802,000,000","11,504,000,000","12,672,000,000","14,801,000,000","12,445,000,000","11,880,000,000","11,863,000,000","13,544,000,000","11,625,000,000","10,417,000,000","11,365,000,000","13,356,000,000","10,995,000,000","9,883,000,000","10,913,000,000","12,828,000,000","11,069,000,000","9,556,000,000","10,800,000,000","12,683,000,000","10,725,000,000","9,647,000,000","11,790,000,000","14,026,000,000","11,835,000,000","11,605,000,000","12,622,000,000","14,843,000,000","14,488,000,000","13,627,000,000","15,548,000,000","17,646,000,000","14,233,000,000","12,896,000,000","13,781,000,000","14,896,000,000","12,618,000,000","11,063,000,000","12,520,000,000","13,299,000,000","11,782,000,000","10,172,000,000","11,405,000,000","12,384,000,000","10,275,000,000","8,991,000,000","9,895,000,000","11,331,000,000","9,922,000,000","9,332,000,000","9,279,000,000","10,250,000,000","8,545,000,000","7,245,000,000","8,095,000,000","8,879,000,000","7,838,000,000","6,127,000,000","6,866,000,000","7,288,000,000","6,279,000,000","4,966,000,000","5,425,000,000","5,783,000,000","5,068,000,000","3,950,800,000","4,420,400,000","4,682,700,000","4,038,100,000","3,455,700,000","3,524,400,000","3,799,700,000","3,089,300,000","2,611,600,000","2,874,300,000","2,985,500,000","2,532,100,000","2,141,700,000","2,328,100,000","2,361,000,000","2,035,000,000","1,599,000,000","1,669,500,000","1,770,900,000","1,558,000,000","1,274,200,000","1,321,700,000","1,335,800,000","1,178,300,000","900,100,000","919,200,000","971,100,000","849,700,000","704,700,000","669,800,000","713,100,000","630,000,000","502,300,000","502,900,000",,,,,,,,,,,,,,,,
GrossProfit,"50,832,000,000","11,862,000,000","12,563,000,000","13,665,000,000","12,742,000,000","10,831,000,000","11,456,000,000","12,941,000,000","9,625,000,000","8,736,000,000","9,387,000,000","10,432,000,000","9,017,000,000","9,027,000,000","9,151,000,000","10,365,000,000","8,617,000,000","8,093,000,000","8,648,000,000","9,461,000,000","8,154,000,000","7,553,000,000","8,042,000,000","8,927,000,000","7,791,000,000","7,156,000,000","7,565,000,000","8,365,000,000","7,179,000,000","6,723,000,000","7,185,000,000","8,161,000,000","6,885,000,000","6,192,000,000","6,798,000,000","7,721,000,000","6,679,000,000","6,366,000,000","6,267,000,000","7,026,000,000","6,183,000,000","5,597,000,000","5,961,000,000","6,876,000,000","5,828,000,000","5,243,000,000","5,685,000,000","6,582,000,000","5,794,000,000","5,013,000,000","5,561,000,000","6,388,000,000","5,450,000,000","4,960,000,000","5,994,000,000","6,964,000,000","6,072,000,000","6,054,000,000","6,339,000,000","7,341,000,000","7,097,000,000","6,638,000,000","7,537,000,000","8,380,000,000","7,228,000,000","6,593,000,000","6,963,000,000","7,409,000,000","6,355,000,000","5,749,000,000","6,252,000,000","6,661,000,000","5,768,000,000","4,953,000,000","5,193,000,000","5,605,000,000","4,829,000,000","4,222,000,000","4,580,000,000","4,946,000,000","4,360,000,000","4,156,000,000","4,010,000,000","4,326,000,000","3,655,000,000","3,218,000,000","3,450,000,000","3,739,000,000","3,274,000,000","3,047,000,000","3,011,000,000","3,143,000,000","2,673,000,000","2,292,000,000","2,274,000,000","2,356,000,000","2,055,000,000","1,780,700,000","1,796,600,000","1,867,500,000","1,619,200,000","1,502,800,000","1,397,400,000","1,493,200,000","1,272,900,000","1,140,300,000","1,123,500,000","1,166,200,000","1,036,900,000","935,800,000","912,000,000","926,000,000","837,100,000","688,500,000","647,900,000","682,900,000","622,200,000","544,200,000","512,300,000","520,600,000","461,300,000","398,600,000","379,100,000","381,700,000","337,200,000","302,900,000","266,800,000","277,200,000","250,900,000","210,900,000","196,800,000",,,,,,,,,,,,,,,,
OperatingExpense,"27,792,000,000","7,037,000,000","6,768,000,000","7,026,000,000","6,961,000,000","6,748,000,000","6,604,000,000","6,874,000,000","6,349,000,000","5,333,000,000","5,440,000,000","5,536,000,000","5,420,000,000","5,402,000,000","5,281,000,000","5,464,000,000","5,236,000,000","4,904,000,000","4,968,000,000","4,998,000,000","4,805,000,000","4,626,000,000","4,722,000,000","4,824,000,000","4,714,000,000","4,607,000,000","4,584,000,000","4,718,000,000","4,582,000,000","4,532,000,000","4,632,000,000","4,713,000,000","4,608,000,000","4,431,000,000","4,505,000,000","4,703,000,000","4,585,000,000","4,616,000,000","4,534,000,000","4,457,000,000","4,469,000,000","4,267,000,000","4,346,000,000","4,582,000,000","4,406,000,000","4,206,000,000","4,237,000,000","4,533,000,000","4,489,000,000","4,286,000,000","4,298,000,000","4,555,000,000","4,470,000,000","4,694,000,000","4,671,000,000","4,922,000,000","5,344,000,000","4,805,000,000","4,575,000,000","4,784,000,000","5,262,000,000","5,036,000,000","5,067,000,000","5,201,000,000","4,806,000,000","4,545,000,000","4,490,000,000","4,566,000,000","4,356,000,000","4,082,000,000","4,196,000,000","4,204,000,000","4,022,000,000","3,444,000,000","3,370,000,000","3,539,000,000","3,381,000,000","3,127,000,000","3,084,000,000","3,069,000,000","2,998,000,000","3,004,000,000","2,753,000,000","2,830,000,000","2,628,000,000","2,459,000,000","2,396,000,000","2,380,000,000","2,257,000,000","2,118,000,000","2,072,000,000","2,027,000,000","1,863,000,000","1,606,000,000","1,629,000,000","1,586,000,000","1,495,000,000","1,165,700,000","1,409,700,000","1,280,000,000","1,192,600,000","1,091,100,000","1,036,400,000","1,051,300,000","954,000,000","837,000,000","843,200,000","824,100,000","782,700,000","698,900,000","680,600,000","634,800,000","609,400,000","513,300,000","483,300,000","476,400,000","461,900,000","396,800,000","387,400,000","366,400,000","333,900,000","309,800,000","285,600,000","270,100,000","249,400,000","242,000,000","205,000,000","200,700,000","188,600,000","163,500,000","154,400,000",,,,,,,,,,,,,,,,
	SellingGeneralAndAdministration,"25,406,000,000","6,431,000,000","6,168,000,000","6,433,000,000","6,374,000,000","6,187,000,000","6,076,000,000","6,355,000,000","5,829,000,000","4,814,000,000","4,942,000,000","5,044,000,000","4,940,000,000","4,922,000,000","4,808,000,000","5,004,000,000","4,779,000,000","4,440,000,000","4,514,000,000","4,549,000,000","4,361,000,000","4,183,000,000","4,280,000,000","4,388,000,000","4,281,000,000","4,178,000,000","4,161,000,000","4,299,000,000","4,163,000,000","4,125,000,000","4,217,000,000","4,298,000,000","4,194,000,000","4,024,000,000","4,096,000,000","4,294,000,000","4,183,000,000","4,217,000,000","4,139,000,000","4,066,000,000","4,086,000,000","3,877,000,000","3,956,000,000","4,186,000,000","4,009,000,000","3,807,000,000","3,837,000,000","4,127,000,000","4,078,000,000","3,869,000,000","3,870,000,000","4,121,000,000","4,042,000,000","4,251,000,000","4,225,000,000","4,470,000,000","4,900,000,000","4,353,000,000","4,144,000,000","4,370,000,000","4,807,000,000","4,594,000,000","4,613,000,000","4,755,000,000","4,386,000,000","4,123,000,000","4,124,000,000","4,219,000,000","4,019,000,000","4,082,000,000","4,196,000,000","4,204,000,000","4,022,000,000","3,444,000,000","3,370,000,000","3,539,000,000","3,381,000,000","3,127,000,000","3,084,000,000","3,069,000,000","2,998,000,000","3,004,000,000","2,753,000,000","2,830,000,000","2,628,000,000","2,459,000,000","2,396,000,000","2,380,000,000","2,257,000,000","1,993,000,000","1,955,000,000","1,913,000,000","1,756,000,000","1,510,000,000","1,532,000,000","1,493,000,000","1,408,000,000","1,087,400,000","1,339,200,000","1,213,200,000","1,125,200,000","1,027,300,000","977,200,000","995,000,000","901,000,000","785,200,000","796,300,000","780,900,000","743,400,000","663,500,000","649,200,000","604,600,000","581,000,000","488,500,000","461,600,000","455,400,000","441,400,000","378,000,000","370,200,000","348,200,000","318,600,000","295,500,000","271,900,000","257,500,000","237,800,000","231,700,000","197,000,000","192,600,000","181,400,000","157,200,000","149,100,000",,,,,,,,,,,,,,,,
	DepreciationAmortizationDepletionIncomeStatement,"2,386,000,000","606,000,000","600,000,000","593,000,000","587,000,000","561,000,000","528,000,000","519,000,000","520,000,000","519,000,000","498,000,000","492,000,000","480,000,000","480,000,000","473,000,000","460,000,000","457,000,000","464,000,000","454,000,000","449,000,000","444,000,000","443,000,000","442,000,000","436,000,000","433,000,000","429,000,000","423,000,000","419,000,000","419,000,000","407,000,000","415,000,000","415,000,000","414,000,000","407,000,000","409,000,000","409,000,000","402,000,000","399,000,000","395,000,000","391,000,000","383,000,000","390,000,000","390,000,000","396,000,000","397,000,000","399,000,000","400,000,000","406,000,000","411,000,000","417,000,000","428,000,000","434,000,000","428,000,000","443,000,000","446,000,000","452,000,000","444,000,000","452,000,000","431,000,000","414,000,000","455,000,000","442,000,000","454,000,000","446,000,000","420,000,000","422,000,000","366,000,000","347,000,000","337,000,000",,,,,,,,,,,,,,,,,,,,,"125,000,000","117,000,000","114,000,000","107,000,000","96,000,000","97,000,000","93,000,000","87,000,000","78,300,000","70,500,000","66,800,000","67,400,000","63,800,000","59,200,000","56,300,000","53,000,000","51,800,000","46,900,000","43,200,000","39,300,000","35,400,000","31,400,000","30,200,000","28,400,000","24,800,000","21,700,000","21,000,000","20,500,000","18,800,000","17,200,000","18,200,000","15,300,000","14,300,000","13,700,000","12,600,000","11,600,000","10,300,000","8,000,000","8,100,000","7,200,000","6,300,000","5,300,000",,,,,,,,,,,,,,,,
		DepreciationAndAmortizationInIncomeStatement,"2,386,000,000","606,000,000","600,000,000","593,000,000","587,000,000","561,000,000","528,000,000","519,000,000","520,000,000","519,000,000","498,000,000","492,000,000","480,000,000","480,000,000","473,000,000","460,000,000","457,000,000","464,000,000","454,000,000","449,000,000","444,000,000","443,000,000","442,000,000","436,000,000","433,000,000","429,000,000","423,000,000","419,000,000","419,000,000","407,000,000","415,000,000","415,000,000","414,000,000","407,000,000","409,000,000","409,000,000","402,000,000","399,000,000","395,000,000","391,000,000","383,000,000","390,000,000","390,000,000","396,000,000","397,000,000","399,000,000","400,000,000","406,000,000","411,000,000","417,000,000","428,000,000","434,000,000","428,000,000","443,000,000","446,000,000","452,000,000","444,000,000","452,000,000","431,000,000","414,000,000","455,000,000","442,000,000","454,000,000","446,000,000","420,000,000","422,000,000","366,000,000","347,000,000","337,000,000",,,,,,,,,,,,,,,,,,,,,"125,000,000","117,000,000","114,000,000","107,000,000","96,000,000","97,000,000","93,000,000","87,000,000","78,300,000","70,500,000","66,800,000","67,400,000","63,800,000","59,200,000","56,300,000","53,000,000","51,800,000","46,900,000","43,200,000","39,300,000","35,400,000","31,400,000","30,200,000","28,400,000","24,800,000","21,700,000","21,000,000","20,500,000","18,800,000","17,200,000","18,200,000","15,300,000","14,300,000","13,700,000","12,600,000","11,600,000","10,300,000","8,000,000","8,100,000","7,200,000","6,300,000","5,300,000",,,,,,,,,,,,,,,,
OperatingIncome,"23,040,000,000","4,825,000,000","5,795,000,000","6,639,000,000","5,781,000,000","4,083,000,000","4,852,000,000","6,067,000,000","3,276,000,000","3,403,000,000","3,947,000,000","4,896,000,000","3,597,000,000","3,625,000,000","3,870,000,000","4,901,000,000","3,381,000,000","3,189,000,000","3,680,000,000","4,463,000,000","3,349,000,000","2,927,000,000","3,320,000,000","4,103,000,000","3,077,000,000","2,549,000,000","2,981,000,000","3,647,000,000","2,597,000,000","2,191,000,000","2,553,000,000","3,448,000,000","2,277,000,000","1,761,000,000","2,293,000,000","3,018,000,000","2,094,000,000","1,750,000,000","1,733,000,000","2,569,000,000","1,714,000,000","1,330,000,000","1,615,000,000","2,294,000,000","1,422,000,000","1,037,000,000","1,448,000,000","2,049,000,000","1,305,000,000","727,000,000","1,263,000,000","1,833,000,000","980,000,000","266,000,000","1,323,000,000","2,042,000,000","728,000,000","1,249,000,000","1,764,000,000","2,557,000,000","1,835,000,000","1,602,000,000","2,470,000,000","3,179,000,000","2,422,000,000","2,048,000,000","2,473,000,000","2,843,000,000","1,999,000,000","1,667,000,000","2,056,000,000","2,457,000,000","1,746,000,000","1,509,000,000","1,823,000,000","2,066,000,000","1,448,000,000","1,095,000,000","1,496,000,000","1,877,000,000","1,362,000,000","1,152,000,000","1,257,000,000","1,496,000,000","1,027,000,000","759,000,000","1,054,000,000","1,359,000,000","1,017,000,000","929,000,000","939,000,000","1,116,000,000","810,000,000","686,000,000","645,000,000","770,000,000","560,000,000","615,000,000","386,900,000","587,500,000","426,600,000","411,700,000","361,000,000","441,900,000","318,900,000","303,300,000","280,300,000","342,100,000","254,200,000","236,900,000","231,400,000","291,200,000","227,700,000","175,200,000","164,600,000","206,500,000","160,300,000","147,400,000","124,900,000","154,200,000","127,400,000","88,800,000","93,500,000","111,600,000","87,800,000","60,900,000","61,800,000","76,500,000","62,300,000","47,400,000","42,400,000","704,000,000","641,500,000","-1,348,000,000","510,000,000","518,200,000","446,600,000","-981,400,000","364,200,000","381,400,000","334,000,000","-679,300,000","251,500,000","263,400,000","222,600,000","-478,000,000","177,700,000"
NetNonOperatingInterestIncomeExpense,"-1,303,000,000","-323,000,000","-326,000,000","-321,000,000","-333,000,000","-327,000,000","-329,000,000","-337,000,000","-307,000,000","-292,000,000","-280,000,000","-283,000,000","-273,000,000","-249,000,000","-224,000,000","-246,000,000","-239,000,000","-246,000,000","-247,000,000","-249,000,000","-241,000,000","-235,000,000","-236,000,000","-228,000,000","-237,000,000","-236,000,000","-240,000,000","-84,000,000","-193,000,000","-98,000,000","-113,000,000","-191,000,000","-91,000,000","-178,000,000","-188,000,000","-172,000,000","-161,000,000","-160,000,000","-150,000,000","-151,000,000","-151,000,000","-150,000,000","-158,000,000","-146,000,000","-139,000,000","-87,000,000","-142,000,000","-148,000,000","-138,000,000","-158,000,000","-164,000,000","-161,000,000","-175,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
