name,ttm,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999,12/31/1998,09/30/1998,06/30/1998,03/31/1998,12/31/1997,09/30/1997,06/30/1997,03/31/1997,12/31/1996,09/30/1996,06/30/1996,03/31/1996,12/31/1995,09/30/1995,06/30/1995,03/31/1995
TotalRevenue,"21,649,000,000","5,075,000,000","5,686,000,000","5,388,000,000","5,299,000,000","5,125,000,000","5,171,000,000","5,068,000,000","4,956,000,000","5,361,000,000","5,347,000,000","5,092,000,000","4,940,000,000","4,633,000,000","4,842,000,000","4,789,000,000","4,691,000,000","2,866,000,000","4,684,000,000","4,769,000,000","4,655,000,000","4,537,000,000","4,695,000,000","4,677,000,000","4,391,000,000","4,513,000,000","4,562,000,000","4,685,000,000","4,617,000,000","4,617,000,000","4,769,000,000","4,616,000,000","4,461,000,000","6,087,000,000","5,641,000,000","5,464,000,000","7,604,000,000","7,735,000,000","6,442,000,000","4,574,000,000","7,661,000,000","5,638,000,000","4,520,000,000","5,401,000,000","6,308,000,000","6,055,000,000","6,602,000,000","3,336,000,000","6,319,000,000","6,440,000,000","5,230,000,000","7,637,000,000","5,394,000,000","565,000,000","-393,000,000","7,503,000,000","1,544,000,000","5,674,000,000","5,823,000,000","7,660,000,000","6,759,000,000","7,579,000,000","7,407,000,000","4,971,000,000","6,543,000,000","7,737,000,000","7,298,000,000","6,057,000,000","5,991,000,000","6,101,000,000","5,416,000,000","5,444,000,000","5,732,000,000","4,773,000,000","4,947,000,000","4,682,000,000","4,331,000,000","4,161,000,000","3,961,000,000","3,885,000,000","3,900,000,000","3,856,000,000","3,722,000,000","3,847,000,000","3,722,000,000","3,899,000,000","3,791,000,000","3,514,000,000","3,499,000,000","3,436,000,000","3,444,000,000","3,349,000,000","3,299,000,000","4,161,000,000","3,640,000,000","3,493,000,000","3,728,000,000","3,371,000,000","3,306,000,000","3,510,000,000","3,118,000,000","3,333,000,000","2,836,000,000","3,026,000,000","3,278,000,000","3,274,000,000","3,027,000,000","2,875,000,000","2,974,000,000"
	OperatingRevenue,"21,649,000,000","5,075,000,000","5,686,000,000","5,388,000,000","5,299,000,000","5,125,000,000","5,171,000,000","5,068,000,000","4,956,000,000","5,361,000,000","5,347,000,000","5,092,000,000","4,940,000,000","4,633,000,000","4,842,000,000","4,789,000,000","4,691,000,000","2,866,000,000","4,684,000,000","4,769,000,000","4,655,000,000","4,537,000,000","4,695,000,000","4,677,000,000","4,391,000,000","4,513,000,000","4,562,000,000","4,685,000,000","4,617,000,000","4,617,000,000","4,769,000,000","4,616,000,000","4,461,000,000","6,087,000,000","5,641,000,000","5,464,000,000","7,604,000,000","7,735,000,000","6,442,000,000","4,574,000,000","7,661,000,000","5,638,000,000","4,520,000,000","5,401,000,000","6,308,000,000","6,055,000,000","6,602,000,000","3,336,000,000","6,319,000,000","6,440,000,000","5,230,000,000","7,637,000,000","5,394,000,000","565,000,000","-393,000,000","7,503,000,000","1,544,000,000","5,674,000,000","5,823,000,000","7,660,000,000","6,759,000,000","7,579,000,000","7,407,000,000","4,971,000,000","6,543,000,000","7,737,000,000","7,298,000,000","6,057,000,000","5,991,000,000","6,101,000,000","5,416,000,000","5,444,000,000","5,732,000,000","4,773,000,000","4,947,000,000","4,682,000,000","4,331,000,000","4,161,000,000","3,961,000,000","3,885,000,000","3,900,000,000","3,856,000,000","3,722,000,000","3,847,000,000","3,722,000,000","3,899,000,000","3,791,000,000","3,514,000,000","3,499,000,000","3,436,000,000","3,444,000,000","3,349,000,000","3,299,000,000","4,161,000,000","3,640,000,000","3,493,000,000","3,728,000,000","3,371,000,000","3,306,000,000","3,510,000,000","3,118,000,000","3,333,000,000","2,836,000,000","3,026,000,000","3,278,000,000","3,274,000,000","3,027,000,000","2,875,000,000","2,974,000,000"
NetNonOperatingInterestIncomeExpense,"-234,000,000","-62,000,000","-58,000,000","-57,000,000","-57,000,000","-57,000,000","-58,000,000","-57,000,000","-64,000,000","-65,000,000","-67,000,000","-63,000,000","-64,000,000","-70,000,000","-69,000,000","-79,000,000","-80,000,000","-70,000,000","-82,000,000","-81,000,000","-83,000,000","-82,000,000","-86,000,000","-85,000,000","-86,000,000","-86,000,000","-88,000,000","-89,000,000","-94,000,000","-94,000,000","-93,000,000","-94,000,000","-95,000,000","-96,000,000","-94,000,000","-100,000,000","-107,000,000","-109,000,000","-109,000,000","-115,000,000","-124,000,000","-124,000,000","-128,000,000","-128,000,000","-128,000,000","-128,000,000","-128,000,000","-132,000,000","-120,000,000","-119,000,000","-118,000,000","-119,000,000","-120,000,000","-115,000,000","-84,000,000","-77,000,000","-67,000,000","-67,000,000","-67,000,000","-66,000,000","-63,000,000","-70,000,000","-70,000,000","-71,000,000","-66,000,000","-63,000,000","-62,000,000","-64,000,000","-63,000,000","-62,000,000","-61,000,000","-62,000,000","-66,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
	InterestExpenseNonOperating,"234,000,000","62,000,000","58,000,000","57,000,000","57,000,000","57,000,000","58,000,000","57,000,000","64,000,000","65,000,000","67,000,000","63,000,000","64,000,000","70,000,000","69,000,000","79,000,000","80,000,000","70,000,000","82,000,000","81,000,000","83,000,000","82,000,000","86,000,000","85,000,000","86,000,000","86,000,000","88,000,000","89,000,000","94,000,000","94,000,000","93,000,000","94,000,000","95,000,000","96,000,000","94,000,000","100,000,000","107,000,000","109,000,000","109,000,000","115,000,000","124,000,000","124,000,000","128,000,000","128,000,000","128,000,000","128,000,000","128,000,000","132,000,000","120,000,000","119,000,000","118,000,000","119,000,000","120,000,000","115,000,000","84,000,000","77,000,000","67,000,000","67,000,000","67,000,000","66,000,000","63,000,000","70,000,000","70,000,000","71,000,000","66,000,000","63,000,000","62,000,000","64,000,000","63,000,000","62,000,000","61,000,000","62,000,000","66,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OtherIncomeExpense,"81,000,000","19,000,000","24,000,000","26,000,000","12,000,000","18,000,000","3,000,000","88,000,000","17,000,000","41,000,000","44,000,000","32,000,000","53,000,000","32,000,000","29,000,000","24,000,000","20,000,000","19,000,000","24,000,000","23,000,000","19,000,000","19,000,000","24,000,000","23,000,000","20,000,000","21,000,000","24,000,000","20,000,000","22,000,000","27,000,000","29,000,000","31,000,000","25,000,000","74,000,000","68,000,000","65,000,000","68,000,000","74,000,000","64,000,000","61,000,000","59,000,000","94,000,000","63,000,000","61,000,000","64,000,000","120,000,000","66,000,000","120,000,000","118,000,000","131,000,000","123,000,000","120,000,000","118,000,000","-689,000,000","-3,317,000,000","-157,000,000","1,457,000,000","1,538,000,000","1,524,000,000","1,471,000,000","1,399,000,000","1,425,000,000","1,270,000,000","1,274,000,000","1,244,000,000","1,188,000,000","1,145,000,000","1,079,000,000","1,064,000,000","973,000,000","915,000,000","911,000,000","890,000,000","913,000,000","861,000,000","803,000,000","739,000,000","744,000,000","742,000,000","792,000,000","775,000,000","820,000,000","775,000,000","809,000,000","720,000,000",,,,,,"632,000,000","661,000,000","694,000,000",,"706,000,000","763,000,000","780,000,000",,"821,000,000","1,042,000,000","666,000,000",,"448,000,000","623,000,000","622,000,000",,,,
	SpecialIncomeCharges,"-1,000,000","-2,000,000","12,000,000","0","-11,000,000","-17,000,000","-87,000,000","0",,"0","-90,000,000","0",,"0","0","-6,000,000",,,,,,,,"0",,"0","0","-21,000,000",,"0","0","0","0","0","0","1,000,000","1,361,000,000","0","0","-910,000,000",,,,,,"0","0","-153,000,000","0","0","0","0","32,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		RestructuringAndMergernAcquisition,"1,000,000","2,000,000","-12,000,000","0","11,000,000","17,000,000","87,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"89,000,000",,"48,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		ImpairmentOfCapitalAssets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0",,"0",,,,,,"0","0","153,000,000","0","0","0","0","-32,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		OtherSpecialCharges,,,,,,,,,,"0","90,000,000",,,"0",,"6,000,000",,,,,,,,,,"0",,"21,000,000",,,,,,"0",,"-1,000,000","-1,361,000,000",,,"910,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PretaxIncome,"2,896,000,000","900,000,000","583,000,000","1,110,000,000","303,000,000","652,000,000","532,000,000","592,000,000","344,000,000","676,000,000","653,000,000","456,000,000","775,000,000","167,000,000","530,000,000","537,000,000","519,000,000","119,000,000","256,000,000","-139,000,000","487,000,000","-275,000,000","528,000,000","170,000,000","381,000,000","504,000,000","379,000,000","470,000,000","625,000,000","444,000,000","496,000,000","150,000,000","655,000,000","377,000,000","343,000,000","-220,000,000","-449,000,000","-791,000,000","511,000,000","-249,000,000","2,000,000","92,000,000","-104,000,000","-165,000,000","410,000,000","814,000,000","917,000,000","-7,000,000","535,000,000","728,000,000","-457,000,000","18,000,000","-2,017,000,000","-1,151,000,000","-4,183,000,000","652,000,000","91,000,000","781,000,000","1,175,000,000","837,000,000","1,212,000,000","1,002,000,000","1,011,000,000","605,000,000","984,000,000","548,000,000","696,000,000","827,000,000","914,000,000","821,000,000","307,000,000","577,000,000","818,000,000","610,000,000","436,000,000","629,000,000","-2,225,000,000","306,000,000","194,000,000","200,000,000","368,000,000","164,000,000","-426,000,000","295,000,000","321,000,000","497,000,000","319,000,000","258,000,000","344,000,000","1,235,000,000","0","0","0","1,475,000,000","0","0","0","1,703,000,000","0","0","0","-318,000,000","0","0","0","0","0","0","0"
