name,ttm,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010
TotalRevenue,"9,524,000,000","2,677,000,000","2,338,000,000","2,231,000,000","2,278,000,000","2,757,000,000","2,314,000,000","2,027,000,000","2,263,000,000","2,412,000,000","2,219,000,000","2,188,000,000","2,080,000,000","2,199,000,000","2,083,000,000","2,020,000,000","1,874,000,000","1,996,000,000","1,863,000,000","1,858,000,000","1,724,000,000","1,922,000,000","1,683,000,000","1,700,000,000","1,763,000,000","1,905,000,000","1,800,000,000","1,745,000,000","1,570,000,000","1,927,000,000","1,717,000,000","1,719,000,000","1,594,000,000","1,938,000,000","1,637,000,000","1,683,000,000","1,562,000,000","1,823,000,000","1,596,000,000","1,721,000,000","1,568,000,000","1,735,000,000","1,593,000,000","1,563,000,000","1,684,000,000","1,736,000,000","1,665,000,000","1,610,000,000","1,712,000,000"
	OperatingRevenue,"9,524,000,000","2,677,000,000","2,338,000,000","2,231,000,000","2,278,000,000","2,757,000,000","2,314,000,000","2,027,000,000","2,263,000,000","2,412,000,000","2,219,000,000","2,188,000,000","2,080,000,000","2,199,000,000","2,083,000,000","2,020,000,000","1,874,000,000","1,996,000,000","1,863,000,000","1,858,000,000","1,724,000,000","1,922,000,000","1,683,000,000","1,700,000,000","1,763,000,000","1,905,000,000","1,800,000,000","1,745,000,000","1,570,000,000","1,927,000,000","1,717,000,000","1,719,000,000","1,594,000,000","1,938,000,000","1,637,000,000","1,683,000,000","1,562,000,000","1,823,000,000","1,596,000,000","1,721,000,000","1,568,000,000","1,735,000,000","1,593,000,000","1,563,000,000","1,684,000,000","1,736,000,000","1,665,000,000","1,610,000,000","1,712,000,000"
CostOfRevenue,"8,156,000,000","2,304,000,000","2,007,000,000","1,909,000,000","1,936,000,000","2,210,000,000","1,878,000,000","1,763,000,000","1,840,000,000","1,980,000,000","1,802,000,000","1,834,000,000","1,752,000,000","1,729,000,000","1,593,000,000","1,568,000,000","1,495,000,000","1,598,000,000","1,498,000,000","1,489,000,000","1,433,000,000","1,480,000,000","1,367,000,000","1,333,000,000","1,428,000,000","1,550,000,000","1,456,000,000","1,246,000,000","1,265,000,000","1,520,000,000","1,364,000,000","1,369,000,000","1,287,000,000","1,567,000,000","1,333,000,000","1,384,000,000","1,299,000,000","1,489,000,000","1,373,000,000","1,443,000,000","1,338,000,000","1,468,000,000","1,330,000,000","1,303,000,000","1,450,000,000","1,461,000,000","1,430,000,000","1,469,000,000","1,471,000,000"
GrossProfit,"1,368,000,000","373,000,000","331,000,000","322,000,000","342,000,000","547,000,000","436,000,000","264,000,000","423,000,000","432,000,000","417,000,000","354,000,000","328,000,000","470,000,000","490,000,000","452,000,000","379,000,000","398,000,000","365,000,000","369,000,000","291,000,000","442,000,000","316,000,000","367,000,000","335,000,000","355,000,000","344,000,000","499,000,000","305,000,000","407,000,000","353,000,000","350,000,000","307,000,000","371,000,000","304,000,000","299,000,000","263,000,000","334,000,000","223,000,000","278,000,000","230,000,000","267,000,000","263,000,000","260,000,000","234,000,000","275,000,000","235,000,000","141,000,000","241,000,000"
OperatingExpense,"896,000,000","263,000,000","224,000,000","206,000,000","203,000,000","255,000,000","220,000,000","214,000,000","214,000,000","224,000,000","209,000,000","184,000,000","171,000,000","262,000,000","208,000,000","197,000,000","190,000,000","173,000,000","135,000,000","133,000,000","129,000,000","173,000,000","147,000,000","151,000,000","137,000,000","196,000,000","150,000,000","173,000,000","150,000,000","217,000,000","189,000,000","170,000,000","150,000,000","198,000,000","186,000,000","185,000,000","170,000,000","233,000,000","164,000,000","176,000,000","150,000,000","153,000,000","153,000,000","169,000,000","149,000,000","197,000,000","158,000,000","161,000,000","154,000,000"
	SellingGeneralAndAdministration,"898,000,000","262,000,000","226,000,000","204,000,000","206,000,000","256,000,000","220,000,000","214,000,000","214,000,000","224,000,000","209,000,000","184,000,000","171,000,000","262,000,000","208,000,000","209,000,000","192,000,000","173,000,000","135,000,000","133,000,000","129,000,000","188,000,000","147,000,000","151,000,000","137,000,000","196,000,000","150,000,000","173,000,000","150,000,000","217,000,000","189,000,000","170,000,000","150,000,000","198,000,000","186,000,000","185,000,000","170,000,000","233,000,000","164,000,000","176,000,000","150,000,000","153,000,000","153,000,000","169,000,000","149,000,000","197,000,000","158,000,000","161,000,000","154,000,000"
		GeneralAndAdministrativeExpense,"898,000,000","262,000,000","226,000,000","204,000,000","206,000,000","256,000,000","220,000,000","214,000,000","214,000,000","224,000,000","209,000,000","184,000,000","171,000,000","262,000,000","208,000,000","209,000,000","192,000,000","173,000,000","135,000,000","133,000,000","129,000,000","188,000,000","147,000,000","151,000,000","137,000,000","196,000,000","150,000,000","173,000,000","150,000,000","217,000,000","189,000,000","170,000,000","150,000,000","198,000,000","186,000,000","185,000,000","170,000,000",,,,,,,,"149,000,000",,,,"154,000,000"
			OtherGandA,"898,000,000","262,000,000","226,000,000","204,000,000","206,000,000","256,000,000","220,000,000","214,000,000","214,000,000","224,000,000","209,000,000","184,000,000","171,000,000","262,000,000","208,000,000","209,000,000","192,000,000","173,000,000","135,000,000","133,000,000","129,000,000","188,000,000","147,000,000","151,000,000","137,000,000","196,000,000","150,000,000","173,000,000","150,000,000","217,000,000","189,000,000","170,000,000","150,000,000","198,000,000","186,000,000","185,000,000","170,000,000",,,,,,,,"149,000,000",,,,"154,000,000"
	OtherOperatingExpenses,"-2,000,000","1,000,000","-2,000,000","2,000,000","-3,000,000",,,,,,,,,"0",,"-12,000,000","-2,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OperatingIncome,"472,000,000","110,000,000","107,000,000","116,000,000","139,000,000","292,000,000","216,000,000","50,000,000","209,000,000","208,000,000","208,000,000","170,000,000","157,000,000","208,000,000","282,000,000","255,000,000","189,000,000","225,000,000","230,000,000","236,000,000","162,000,000","269,000,000","169,000,000","216,000,000","198,000,000","159,000,000","194,000,000","326,000,000","155,000,000","190,000,000","164,000,000","180,000,000","157,000,000","173,000,000","118,000,000","114,000,000","93,000,000","101,000,000","59,000,000","102,000,000","80,000,000","114,000,000","110,000,000","91,000,000","85,000,000","78,000,000","77,000,000","-20,000,000","87,000,000"
