name,ttm,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999,12/31/1998,09/30/1998,06/30/1998,03/31/1998,12/31/1997,09/30/1997,06/30/1997,03/31/1997,12/31/1996,09/30/1996,06/30/1996,03/31/1996,12/31/1995,09/30/1995,06/30/1995,03/31/1995,12/31/1994,09/30/1994,06/30/1994,03/31/1994,12/31/1993,09/30/1993,06/30/1993,03/31/1993,12/31/1992,09/30/1992,06/30/1992,03/31/1992,12/31/1991,09/30/1991,06/30/1991,03/31/1991,12/31/1990,09/30/1990,06/30/1990,03/31/1990,12/31/1989,09/30/1989,06/30/1989,03/31/1989,12/31/1988
TotalRevenue,"5,493,600,000","1,471,100,000","1,316,600,000","1,168,300,000","1,537,600,000","1,609,800,000","1,346,900,000","822,900,000","756,100,000","850,500,000","865,900,000","852,400,000","818,400,000","830,700,000","813,400,000","824,000,000","789,300,000","791,100,000","802,900,000","806,100,000","715,400,000","734,400,000","726,900,000","717,400,000","693,300,000","695,200,000","702,800,000","693,900,000","655,500,000","652,800,000","660,600,000","632,600,000","625,008,000","612,448,000","622,118,000","626,136,000","612,663,000","631,362,000","588,548,000","470,228,000","471,165,000","472,711,000","467,045,000","451,082,000","438,651,000","432,571,000","428,299,000","420,693,000","418,112,000","412,448,000","402,767,000","403,120,000","402,014,000","429,233,000","442,513,000","429,492,000","431,048,000","371,445,000","202,564,000","191,505,000","181,086,000","163,212,000","154,055,000","119,685,000","100,985,000","87,956,000","78,218,000","74,053,000","69,237,000","66,176,000","63,949,000","59,225,000","55,648,000","49,882,000","52,345,000","52,389,000","50,336,000","48,964,000","49,345,000","47,637,000","46,068,000","47,143,000","45,261,000","44,938,000","43,741,000","44,450,000","27,117,000","22,083,000","23,252,000","21,300,000","20,100,000","20,000,000","18,800,000","23,900,000","27,400,000","33,600,000","30,200,000","26,100,000","24,600,000","26,900,000","28,000,000","27,100,000","31,900,000","22,800,000","18,800,000","14,800,000","12,900,000","11,300,000","9,000,000","10,200,000","10,000,000","10,900,000","9,900,000","7,600,000","6,300,000","6,600,000","6,300,000","5,400,000","7,100,000","7,400,000","6,400,000","5,300,000","4,500,000","4,500,000","4,200,000","3,900,000","4,800,000","6,000,000","4,900,000","3,900,000","3,400,000","3,200,000","2,600,000","2,200,000"
	OperatingRevenue,"5,493,600,000","1,471,100,000","1,316,600,000","1,168,300,000","1,537,600,000","1,609,800,000","1,346,900,000","822,900,000","756,100,000","850,500,000","865,900,000","852,400,000","818,400,000","830,700,000","813,400,000","824,000,000","789,300,000","791,100,000","802,900,000","806,100,000","715,400,000","734,400,000","726,900,000","717,400,000","693,300,000","695,200,000","702,800,000","693,900,000","655,500,000","652,800,000","660,600,000","632,600,000","625,008,000","612,448,000","622,118,000","626,136,000","612,663,000","631,362,000","588,548,000","470,228,000","471,165,000","472,711,000","467,045,000","451,082,000","438,651,000","432,571,000","428,299,000","420,693,000","418,112,000","412,448,000","402,767,000","403,120,000","402,014,000","429,233,000","442,513,000","429,492,000","431,048,000","371,445,000","202,564,000","191,505,000","181,086,000","163,212,000","154,055,000","119,685,000","100,985,000","87,956,000","78,218,000","74,053,000","69,237,000","66,176,000","63,949,000","59,225,000","55,648,000","49,882,000","52,345,000","52,389,000","50,336,000","48,964,000","49,345,000","47,637,000","46,068,000","47,143,000","45,261,000","44,938,000","43,741,000","44,450,000","27,117,000","22,083,000","23,252,000","21,300,000","20,100,000","20,000,000","18,800,000","23,900,000","27,400,000","33,600,000","30,200,000","26,100,000","24,600,000","26,900,000","28,000,000","27,100,000","31,900,000","22,800,000","18,800,000","14,800,000","12,900,000","11,300,000","9,000,000","10,200,000","10,000,000","10,900,000","9,900,000","7,600,000","6,300,000","6,600,000","6,300,000","5,400,000","7,100,000","7,400,000","6,400,000","5,300,000","4,500,000","4,500,000","4,200,000","3,900,000","4,800,000","6,000,000","4,900,000","3,900,000","3,400,000","3,200,000","2,600,000","2,200,000"
CostOfRevenue,"1,891,900,000","484,800,000","488,500,000","466,700,000","451,800,000","429,400,000","415,100,000","356,800,000","360,300,000","416,700,000","616,400,000","407,600,000","776,000,000","396,600,000","392,400,000","388,000,000","374,200,000","366,600,000","385,000,000","396,500,000","326,700,000","329,600,000","320,800,000","324,300,000","308,300,000","316,100,000","323,400,000","315,200,000","319,500,000","314,200,000","315,600,000","319,800,000","342,896,000","306,852,000","331,487,000","316,378,000","333,337,000","349,689,000","314,231,000","225,588,000","245,055,000","223,341,000","223,288,000","216,800,000","218,243,000","207,837,000","331,634,000","210,804,000","204,473,000","196,003,000","195,959,000","191,975,000","191,753,000","198,568,000","202,231,000","184,729,000","191,410,000","203,610,000","105,015,000","101,392,000","97,538,000","88,857,000","91,015,000","69,296,000","57,864,000","50,974,000","46,264,000","43,963,000","42,464,000","41,968,000","40,780,000","37,039,000","35,057,000","30,460,000","33,410,000","33,852,000","31,986,000","31,207,000","31,373,000","29,489,000","28,040,000","29,474,000","29,335,000","26,290,000","26,813,000","28,985,000","21,764,000","12,799,000","12,724,000","12,200,000","12,500,000","11,200,000","10,700,000","12,400,000","12,000,000","15,400,000","14,300,000","12,400,000","10,800,000","11,600,000","12,100,000","11,700,000","15,800,000","9,700,000","8,300,000","6,600,000","6,000,000","5,600,000","4,700,000","5,200,000","5,400,000","5,800,000","5,200,000","4,000,000","3,500,000","3,500,000","3,500,000",,"3,700,000","3,800,000","3,200,000","2,600,000",,,,,,,"2,600,000",,,,,
GrossProfit,"3,601,700,000","986,300,000","828,100,000","701,600,000","1,085,800,000","1,180,400,000","931,800,000","466,100,000","395,800,000","433,800,000","249,500,000","444,800,000","42,400,000","434,100,000","421,000,000","436,000,000","415,100,000","424,500,000","417,900,000","409,600,000","388,700,000","404,800,000","406,100,000","393,100,000","385,000,000","379,100,000","379,400,000","378,700,000","336,000,000","338,600,000","345,000,000","312,800,000","282,112,000","305,596,000","290,631,000","309,758,000","279,326,000","281,673,000","274,317,000","244,640,000","226,110,000","249,370,000","243,757,000","234,282,000","220,408,000","224,734,000","96,665,000","209,889,000","213,639,000","216,445,000","206,808,000","211,145,000","210,261,000","230,665,000","240,282,000","244,763,000","239,638,000","167,835,000","97,549,000","90,113,000","83,548,000","74,355,000","63,040,000","50,389,000","43,121,000","36,982,000","31,954,000","30,090,000","26,773,000","24,208,000","23,169,000","22,186,000","20,591,000","19,422,000","18,935,000","18,537,000","18,350,000","17,757,000","17,972,000","18,148,000","18,028,000","17,669,000","15,926,000","18,648,000","16,928,000","15,465,000","5,353,000","9,284,000","10,528,000","9,100,000","7,600,000","8,800,000","8,100,000","11,500,000","15,400,000","18,200,000","15,900,000","13,700,000","13,800,000","15,300,000","15,900,000","15,400,000","16,100,000","13,100,000","10,500,000","8,200,000","6,900,000","5,700,000","4,300,000","5,000,000","4,600,000","5,100,000","4,700,000","3,600,000","2,800,000","3,100,000","2,800,000",,"3,400,000","3,600,000","3,200,000","2,700,000",,,,,,,"2,300,000",,,,,
OperatingExpense,"1,372,900,000","348,900,000","382,500,000","339,400,000","302,100,000","288,900,000","288,500,000","274,100,000","236,500,000","303,700,000","297,900,000","296,800,000","294,800,000","291,900,000","319,200,000","297,100,000","285,800,000","286,600,000","306,100,000","288,600,000","287,000,000","255,600,000","256,100,000","252,200,000","245,100,000","250,700,000","247,100,000","250,800,000","224,200,000","227,100,000","232,800,000","229,900,000","219,781,000","225,961,000","200,212,000","219,844,000","231,135,000","228,869,000","183,922,000","163,977,000","227,177,000","182,702,000","170,087,000","160,366,000","65,020,000","152,963,000","139,647,000","131,115,000","151,529,000","143,989,000","130,300,000","132,399,000","135,090,000","136,944,000","133,573,000","130,759,000","133,527,000","120,616,000","51,051,000","50,181,000","48,744,000","47,838,000","35,580,000","31,809,000","26,729,000","24,976,000","20,545,000","20,639,000","19,592,000","19,618,000","17,917,000","18,759,000","17,745,000","18,361,000","16,283,000","17,446,000","18,007,000","18,818,000","16,713,000","17,111,000","16,890,000","16,875,000","19,371,000","18,404,000","21,596,000","22,525,000","18,030,000","14,307,000","14,894,000","14,300,000","13,700,000","11,900,000","11,000,000","10,400,000","12,200,000","13,700,000","13,000,000","11,700,000","9,500,000","9,200,000","9,800,000","9,500,000","15,800,000","7,500,000","6,700,000","5,600,000","4,900,000","4,400,000","4,200,000","4,000,000","3,900,000","3,600,000","3,300,000","3,100,000","3,900,000","3,300,000","3,100,000",,"3,600,000","3,000,000","2,700,000","2,500,000",,,,,,,"1,500,000",,,,,
	SellingGeneralAndAdministration,"1,040,200,000","265,300,000","294,500,000","260,000,000","220,400,000","219,500,000","221,300,000","208,800,000","177,100,000","233,400,000","225,600,000","223,500,000","223,400,000","224,600,000","251,600,000","227,400,000","214,300,000","217,400,000","230,400,000","210,900,000","220,800,000","179,800,000","171,200,000","171,500,000","163,200,000","176,400,000","166,000,000","167,400,000","143,300,000","147,300,000","151,900,000","147,700,000","140,766,000","151,076,000","124,749,000","143,387,000","152,847,000","148,834,000","178,670,000","119,789,000","138,063,000","123,955,000","134,098,000","113,104,000","109,908,000","109,910,000","93,927,000","93,324,000","112,654,000","107,212,000","94,746,000","95,967,000","97,969,000","100,513,000","106,087,000","103,526,000","107,994,000","91,320,000","38,349,000","37,385,000","36,399,000","35,614,000","35,266,000","24,248,000","19,942,000","19,005,000","16,220,000","15,539,000","14,750,000","15,268,000","13,554,000","14,616,000","13,628,000","14,325,000","11,920,000","13,080,000","13,116,000","14,057,000","11,260,000","12,252,000","12,120,000","11,596,000","14,029,000","12,868,000","15,130,000","14,247,000","12,169,000","9,259,000","10,052,000","8,800,000","7,900,000","7,800,000","7,600,000","7,500,000","9,000,000","10,900,000","10,100,000","9,000,000","6,800,000","6,700,000","7,200,000","7,500,000","20,400,000","5,400,000","4,800,000","4,100,000","3,500,000","3,300,000","2,900,000","2,900,000","2,900,000","2,600,000","2,400,000","3,000,000","3,800,000","3,200,000","3,000,000",,"3,500,000","2,900,000","2,600,000","2,400,000",,,,,,,"1,500,000",,,,,
		GeneralAndAdministrativeExpense,"459,600,000","117,900,000","135,500,000","117,300,000","88,900,000","91,500,000","95,700,000","105,300,000","66,500,000","88,500,000","83,800,000","79,900,000","89,900,000","78,600,000","118,100,000","86,300,000","83,800,000","77,900,000","90,600,000","65,500,000","117,400,000","69,800,000","65,300,000","62,500,000","62,400,000","77,000,000","66,300,000","73,100,000","60,300,000","61,300,000","65,200,000","64,700,000","62,109,000","67,819,000","47,991,000","60,476,000","64,233,000","54,391,000","88,723,000","43,421,000","59,524,000","46,495,000","59,621,000","39,811,000","38,859,000","41,999,000","32,036,000","33,899,000","51,193,000","42,615,000","38,171,000","37,039,000","38,810,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5,827,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			SalariesAndWages,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"18,121,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			OtherGandA,"459,600,000","117,900,000","135,500,000","117,300,000","88,900,000","91,500,000","95,700,000","105,300,000","66,500,000","88,500,000","83,800,000","79,900,000","89,900,000","78,600,000","118,100,000","86,300,000","83,800,000","77,900,000","90,600,000","65,500,000","117,400,000","69,800,000","65,300,000","62,500,000","62,400,000","77,000,000","66,300,000","73,100,000","60,300,000","61,300,000","65,200,000","64,700,000","62,109,000","67,819,000","47,991,000","60,476,000","64,233,000","54,391,000","88,723,000","43,421,000","41,403,000","46,495,000","39,619,000","39,811,000","38,859,000","41,999,000","32,036,000","33,899,000","51,193,000","42,615,000","38,171,000","37,039,000","38,810,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5,827,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		SellingAndMarketingExpense,"580,600,000","147,400,000","159,000,000","142,700,000","131,500,000","128,000,000","125,600,000","103,500,000","110,600,000","144,900,000","141,800,000","143,600,000","133,500,000","146,000,000","133,500,000","141,100,000","130,500,000","139,500,000","139,800,000","145,400,000","103,400,000","110,000,000","105,900,000","109,000,000","100,800,000","99,400,000","99,700,000","94,300,000","83,000,000","86,000,000","86,700,000","83,000,000","78,657,000","83,257,000","76,758,000","82,911,000","88,614,000","94,443,000","89,947,000","76,368,000","78,539,000","77,460,000","74,477,000","73,293,000","71,049,000","67,911,000","61,891,000","59,425,000","61,461,000","64,597,000","56,575,000","58,928,000","59,159,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"9,303,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
