name,ttm,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999,12/31/1998,09/30/1998,06/30/1998,03/31/1998,12/31/1997,09/30/1997,06/30/1997,03/31/1997,12/31/1996,09/30/1996,06/30/1996,03/31/1996,12/31/1995,09/30/1995,06/30/1995,03/31/1995,12/31/1994,09/30/1994,06/30/1994,03/31/1994,12/31/1993,09/30/1993,06/30/1993,03/31/1993,12/31/1992,09/30/1992,06/30/1992,03/31/1992,12/31/1991,09/30/1991,06/30/1991,03/31/1991,12/31/1990,09/30/1990,06/30/1990,03/31/1990,12/31/1989,09/30/1989,06/30/1989,03/31/1989,12/31/1988,09/30/1988,06/30/1988,03/31/1988,12/31/1987,09/30/1987,06/30/1987,03/31/1987,12/31/1986,09/30/1986,06/30/1986,03/31/1986,12/31/1985,09/30/1985
TotalRevenue,"34,392,000,000","8,657,000,000","8,473,000,000","8,808,000,000","8,454,000,000","8,900,000,000","7,797,000,000","7,477,000,000","8,463,000,000","9,496,000,000","9,086,000,000","9,243,000,000","8,884,000,000","9,729,000,000","10,762,000,000","10,919,000,000","10,392,000,000","10,843,000,000","10,121,000,000","10,078,000,000","9,492,000,000","9,985,000,000","9,804,000,000","9,991,000,000","9,522,000,000","9,982,000,000","9,611,000,000","9,775,000,000","9,213,000,000","10,266,000,000","10,108,000,000","10,253,000,000","9,679,000,000","10,387,000,000","9,647,000,000","9,693,000,000","9,328,000,000","9,581,000,000","9,342,000,000","9,435,000,000","9,307,000,000","9,473,000,000","9,298,000,000","9,086,000,000","8,909,000,000","9,041,000,000","8,392,000,000","8,161,000,000","7,776,000,000","8,072,000,000","7,700,000,000","7,566,000,000","7,570,000,000","8,712,000,000","9,275,000,000","9,674,000,000","8,895,000,000","9,275,000,000","8,735,000,000","8,538,000,000","8,041,000,000","8,276,000,000","7,952,000,000","7,898,000,000","7,241,000,000","7,275,000,000","6,899,000,000","7,026,000,000","6,453,000,000","6,640,000,000","6,395,000,000","6,388,000,000","6,178,000,000","6,187,000,000","5,768,000,000","5,749,000,000","5,399,000,000","5,855,000,000","5,569,000,000","5,651,000,000","5,199,000,000","5,853,000,000","5,789,000,000","6,066,000,000","5,944,000,000","6,454,000,000","6,216,000,000","6,309,000,000","6,044,000,000","12,483,000,000","3,838,000,000","3,818,000,000","3,596,000,000","3,872,000,000","3,741,000,000","3,869,000,000","3,646,000,000","3,910,000,000","3,657,000,000","3,578,000,000","3,327,000,000","3,498,000,000","3,348,000,000","3,347,000,000","3,778,000,000","3,798,000,000","3,499,000,000","3,630,000,000","3,419,000,000","3,534,000,000","3,110,000,000","3,187,000,000","2,986,000,000","3,049,000,000","2,822,000,000","3,055,000,000","2,901,000,000","3,052,000,000","2,936,000,000","3,075,000,000","2,979,000,000","3,004,000,000","2,877,000,000","3,047,000,000","2,903,000,000","3,143,000,000","2,961,000,000","3,184,000,000","3,055,000,000","3,058,000,000","2,827,000,000","3,115,000,000","2,942,000,000","3,007,000,000","2,864,000,000","3,096,000,000","2,942,000,000","2,954,000,000","2,679,000,000","2,846,000,000","2,637,000,000","3,035,000,000","2,907,000,000","2,943,000,000","2,909,000,000","2,615,000,000","1,631,000,000"
	OperatingRevenue,"34,392,000,000","8,657,000,000","8,473,000,000","8,808,000,000","8,454,000,000","8,900,000,000","7,797,000,000","7,477,000,000","8,463,000,000","9,496,000,000","9,086,000,000","9,243,000,000","8,884,000,000","9,729,000,000","10,762,000,000","10,919,000,000","10,392,000,000","10,843,000,000","10,121,000,000","10,078,000,000","9,492,000,000","9,985,000,000","9,804,000,000","9,991,000,000","9,522,000,000","9,982,000,000","9,611,000,000","9,775,000,000","9,213,000,000","10,266,000,000","10,108,000,000","10,253,000,000","9,679,000,000","10,387,000,000","9,647,000,000","9,693,000,000","9,328,000,000","9,581,000,000","9,342,000,000","9,435,000,000","9,307,000,000","9,473,000,000","9,298,000,000","9,086,000,000","8,909,000,000","9,041,000,000","8,392,000,000","8,161,000,000","7,776,000,000","8,072,000,000","7,700,000,000","7,566,000,000","7,570,000,000","8,712,000,000","9,275,000,000","9,674,000,000","8,895,000,000","9,275,000,000","8,735,000,000","8,538,000,000","8,041,000,000","8,276,000,000","7,952,000,000","7,898,000,000","7,241,000,000","7,275,000,000","6,899,000,000","7,026,000,000","6,453,000,000","6,640,000,000","6,395,000,000","6,388,000,000","6,178,000,000","6,187,000,000","5,768,000,000","5,749,000,000","5,399,000,000","5,855,000,000","5,569,000,000","5,651,000,000","5,199,000,000","5,853,000,000","5,789,000,000","6,066,000,000","5,944,000,000","6,454,000,000","6,216,000,000","6,309,000,000","6,044,000,000","12,483,000,000","3,838,000,000","3,818,000,000","3,596,000,000","3,872,000,000","3,741,000,000","3,869,000,000","3,646,000,000","3,910,000,000","3,657,000,000","3,578,000,000","3,327,000,000","3,498,000,000","3,348,000,000","3,347,000,000","3,778,000,000","3,798,000,000","3,499,000,000","3,630,000,000","3,419,000,000","3,534,000,000","3,110,000,000","3,187,000,000","2,986,000,000","3,049,000,000","2,822,000,000","3,055,000,000","2,901,000,000","3,052,000,000","2,936,000,000","3,075,000,000","2,979,000,000","3,004,000,000","2,877,000,000","3,047,000,000","2,903,000,000","3,143,000,000","2,961,000,000","3,184,000,000","3,055,000,000","3,058,000,000","2,827,000,000","3,115,000,000","2,942,000,000","3,007,000,000","2,864,000,000","3,096,000,000","2,942,000,000","2,954,000,000","2,679,000,000","2,846,000,000","2,637,000,000","3,035,000,000","2,907,000,000","2,943,000,000","2,909,000,000","2,615,000,000","1,631,000,000"
CostOfRevenue,"23,394,000,000","5,936,000,000","5,746,000,000","6,003,000,000","5,709,000,000","5,976,000,000","5,383,000,000","5,276,000,000","5,534,000,000","6,328,000,000","6,038,000,000","6,094,000,000","5,879,000,000","6,685,000,000","7,556,000,000","7,613,000,000","7,193,000,000","7,496,000,000","6,873,000,000","6,850,000,000","6,356,000,000","6,879,000,000","6,903,000,000","6,821,000,000","6,547,000,000","6,917,000,000","6,654,000,000","6,814,000,000","6,362,000,000","7,566,000,000","7,128,000,000","7,296,000,000","6,967,000,000","7,612,000,000","6,942,000,000","7,027,000,000","6,783,000,000","7,681,000,000","6,808,000,000","6,922,000,000","6,880,000,000","8,435,000,000","7,033,000,000","6,664,000,000","6,610,000,000","6,779,000,000","6,490,000,000","6,268,000,000","5,982,000,000","5,950,000,000","5,797,000,000","5,682,000,000","5,756,000,000","6,523,000,000","7,476,000,000","7,323,000,000","6,672,000,000","7,013,000,000","6,646,000,000","6,491,000,000","6,150,000,000","6,358,000,000","6,111,000,000","6,027,000,000","5,600,000,000","5,595,000,000","5,291,000,000","5,494,000,000","5,085,000,000","5,340,000,000","5,087,000,000","5,228,000,000","4,930,000,000","4,972,000,000","4,509,000,000","4,514,000,000","4,240,000,000","4,832,000,000","4,236,000,000","4,431,000,000","4,116,000,000","5,021,000,000","5,368,000,000","5,067,000,000","4,973,000,000","5,124,000,000","4,845,000,000","4,671,000,000","4,450,000,000","9,765,000,000","2,976,000,000","3,045,000,000","2,709,000,000","2,880,000,000","2,838,000,000","2,949,000,000","2,809,000,000","3,272,000,000","2,840,000,000","2,764,000,000","2,605,000,000","2,761,000,000","2,598,000,000","3,235,000,000","3,012,000,000","3,090,000,000","2,800,000,000","2,902,000,000","2,747,000,000","2,853,000,000","2,503,000,000","2,541,000,000","2,402,000,000","2,325,000,000","2,136,000,000","2,325,000,000","2,218,000,000","2,413,000,000","2,270,000,000","2,383,000,000","2,328,000,000","2,360,000,000","2,275,000,000","2,426,000,000","2,347,000,000","2,537,000,000","2,348,000,000","2,509,000,000","2,372,000,000","2,394,000,000","2,167,000,000",,,,,,,,,,,,,,,,
GrossProfit,"10,998,000,000","2,721,000,000","2,727,000,000","2,805,000,000","2,745,000,000","2,924,000,000","2,414,000,000","2,201,000,000","2,929,000,000","3,168,000,000","3,048,000,000","3,149,000,000","3,005,000,000","3,044,000,000","3,206,000,000","3,306,000,000","3,199,000,000","3,347,000,000","3,248,000,000","3,228,000,000","3,136,000,000","3,106,000,000","2,901,000,000","3,170,000,000","2,975,000,000","3,065,000,000","2,957,000,000","2,961,000,000","2,851,000,000","2,700,000,000","2,980,000,000","2,957,000,000","2,712,000,000","2,775,000,000","2,705,000,000","2,666,000,000","2,545,000,000","1,900,000,000","2,534,000,000","2,513,000,000","2,427,000,000","1,038,000,000","2,265,000,000","2,422,000,000","2,299,000,000","2,262,000,000","1,902,000,000","1,893,000,000","1,794,000,000","2,122,000,000","1,903,000,000","1,884,000,000","1,814,000,000","2,189,000,000","1,799,000,000","2,351,000,000","2,223,000,000","2,262,000,000","2,089,000,000","2,047,000,000","1,891,000,000","1,918,000,000","1,841,000,000","1,871,000,000","1,641,000,000","1,680,000,000","1,608,000,000","1,532,000,000","1,368,000,000","1,300,000,000","1,308,000,000","1,160,000,000","1,248,000,000","1,215,000,000","1,259,000,000","1,235,000,000","1,159,000,000","1,023,000,000","1,333,000,000","1,220,000,000","1,083,000,000","832,000,000","421,000,000","999,000,000","971,000,000","1,330,000,000","1,371,000,000","1,638,000,000","1,594,000,000","2,718,000,000","862,000,000","773,000,000","887,000,000","992,000,000","903,000,000","920,000,000","837,000,000","638,000,000","817,000,000","814,000,000","722,000,000","737,000,000","750,000,000","112,000,000","766,000,000","708,000,000","699,000,000","728,000,000","672,000,000","681,000,000","607,000,000","646,000,000","584,000,000","724,000,000","686,000,000","730,000,000","683,000,000","639,000,000","666,000,000","692,000,000","651,000,000","644,000,000","602,000,000","621,000,000","556,000,000","606,000,000","613,000,000","675,000,000","683,000,000","664,000,000","660,000,000",,,,,,,,,,,,,,,,
OperatingExpense,"4,798,000,000","1,203,000,000","1,152,000,000","1,207,000,000","1,236,000,000","1,248,000,000","1,103,000,000","1,183,000,000","1,238,000,000","1,473,000,000","1,296,000,000","1,387,000,000","1,363,000,000","1,524,000,000","1,524,000,000","1,528,000,000","1,475,000,000","1,631,000,000","1,447,000,000","1,381,000,000","1,349,000,000","1,493,000,000","1,367,000,000","1,329,000,000","1,280,000,000","1,332,000,000","1,202,000,000","1,242,000,000","1,230,000,000","1,460,000,000","1,344,000,000","1,375,000,000","1,339,000,000","1,438,000,000","1,242,000,000","1,281,000,000","1,229,000,000","1,523,000,000","1,238,000,000","1,226,000,000","1,231,000,000","1,616,000,000","1,303,000,000","1,248,000,000","1,254,000,000","1,242,000,000","1,177,000,000","1,162,000,000","1,136,000,000","1,071,000,000","1,034,000,000","1,084,000,000","1,152,000,000","1,179,000,000","1,309,000,000","1,290,000,000","1,255,000,000","1,205,000,000","1,144,000,000","1,127,000,000","1,089,000,000","1,085,000,000","1,037,000,000","1,086,000,000","1,002,000,000","936,000,000","982,000,000","935,000,000","854,000,000","865,000,000","820,000,000","823,000,000","808,000,000","756,000,000","729,000,000","762,000,000","703,000,000","782,000,000","698,000,000","660,000,000","617,000,000","656,000,000","803,000,000","837,000,000","768,000,000","822,000,000","791,000,000","763,000,000","758,000,000","2,151,000,000","266,000,000","418,000,000","381,000,000","490,000,000","396,000,000","406,000,000","398,000,000","210,000,000","394,000,000","386,000,000","365,000,000","365,000,000","379,000,000","-289,000,000","401,000,000","446,000,000","369,000,000","374,000,000","358,000,000","381,000,000","325,000,000","346,000,000","314,000,000","511,000,000","456,000,000","472,000,000","446,000,000","860,000,000","449,000,000","469,000,000","455,000,000","473,000,000","1,274,000,000","498,000,000","469,000,000","477,000,000","449,000,000","462,000,000","459,000,000","442,000,000","429,000,000",,,,,,,,,,,,,,,,
	SellingGeneralAndAdministration,"4,798,000,000","1,203,000,000","1,152,000,000","1,207,000,000","1,236,000,000","1,248,000,000","1,103,000,000","1,183,000,000","1,238,000,000","1,473,000,000","1,296,000,000","1,387,000,000","1,363,000,000","1,524,000,000","1,524,000,000","1,528,000,000","1,475,000,000","1,631,000,000","1,447,000,000","1,381,000,000","1,349,000,000","1,493,000,000","1,367,000,000","1,329,000,000","1,280,000,000","1,332,000,000","1,202,000,000","1,242,000,000","1,230,000,000","1,460,000,000","1,344,000,000","1,375,000,000","1,339,000,000","1,438,000,000","1,242,000,000","1,281,000,000","1,229,000,000","1,523,000,000","1,238,000,000","1,226,000,000","1,231,000,000","1,616,000,000","1,303,000,000","1,248,000,000","1,254,000,000","1,242,000,000","1,177,000,000","1,162,000,000","1,136,000,000","1,071,000,000","1,034,000,000","1,084,000,000","1,152,000,000","1,179,000,000","1,309,000,000","1,290,000,000","1,255,000,000","1,205,000,000","1,144,000,000","1,127,000,000","1,089,000,000","1,085,000,000","1,037,000,000","1,086,000,000","1,002,000,000","936,000,000","982,000,000","935,000,000","854,000,000","865,000,000","820,000,000","823,000,000","808,000,000","756,000,000","729,000,000","762,000,000","703,000,000","782,000,000","698,000,000","660,000,000","617,000,000","656,000,000","803,000,000","837,000,000","768,000,000","822,000,000","791,000,000","763,000,000","758,000,000","2,045,000,000","372,000,000","418,000,000","381,000,000","490,000,000","396,000,000","406,000,000","398,000,000","436,000,000","394,000,000","386,000,000","365,000,000","365,000,000","379,000,000","366,000,000","401,000,000","402,000,000","369,000,000","374,000,000","358,000,000","381,000,000","325,000,000","346,000,000","314,000,000","370,000,000","325,000,000","332,000,000","311,000,000","720,000,000","320,000,000","337,000,000","327,000,000","345,000,000","1,154,000,000","372,000,000","339,000,000","364,000,000","333,000,000","346,000,000","344,000,000","336,000,000","324,000,000",,,,,,,,,,,,,,,,
	DepreciationAmortizationDepletionIncomeStatement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"141,000,000","131,000,000","140,000,000","135,000,000","140,000,000","129,000,000","132,000,000","128,000,000","128,000,000","120,000,000","126,000,000","130,000,000","113,000,000","116,000,000","116,000,000","115,000,000","106,000,000","105,000,000",,,,,,,,,,,,,,,,
		DepreciationAndAmortizationInIncomeStatement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"141,000,000","131,000,000","140,000,000","135,000,000","140,000,000","129,000,000","132,000,000","128,000,000","128,000,000","120,000,000","126,000,000","130,000,000","113,000,000","116,000,000","116,000,000","115,000,000","106,000,000","105,000,000",,,,,,,,,,,,,,,,
	OtherOperatingExpenses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-39,000,000","51,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-106,000,000",,,,,,,,,,,"0",,"-655,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OperatingIncome,"6,200,000,000","1,518,000,000","1,575,000,000","1,598,000,000","1,509,000,000","1,676,000,000","1,311,000,000","1,018,000,000","1,691,000,000","1,695,000,000","1,752,000,000","1,762,000,000","1,642,000,000","1,520,000,000","1,682,000,000","1,778,000,000","1,724,000,000","1,716,000,000","1,801,000,000","1,847,000,000","1,787,000,000","1,613,000,000","1,534,000,000","1,841,000,000","1,695,000,000","1,733,000,000","1,755,000,000","1,719,000,000","1,621,000,000","1,240,000,000","1,636,000,000","1,582,000,000","1,373,000,000","1,337,000,000","1,463,000,000","1,385,000,000","1,316,000,000","377,000,000","1,296,000,000","1,287,000,000","1,196,000,000","-578,000,000","962,000,000","1,174,000,000","1,045,000,000","1,020,000,000","725,000,000","731,000,000","658,000,000","1,051,000,000","869,000,000","800,000,000","662,000,000","1,010,000,000","490,000,000","1,061,000,000","968,000,000","1,057,000,000","945,000,000","920,000,000","802,000,000","833,000,000","804,000,000","785,000,000","639,000,000","744,000,000","626,000,000","597,000,000","514,000,000","435,000,000","488,000,000","337,000,000","440,000,000","459,000,000","530,000,000","473,000,000","456,000,000","241,000,000","635,000,000","560,000,000","466,000,000","176,000,000","-382,000,000","162,000,000","203,000,000","508,000,000","580,000,000","875,000,000","836,000,000","567,000,000","596,000,000","355,000,000","506,000,000","502,000,000","507,000,000","514,000,000","439,000,000","428,000,000","423,000,000","428,000,000","357,000,000","372,000,000","371,000,000","401,000,000","365,000,000","262,000,000","330,000,000","354,000,000","314,000,000","300,000,000","282,000,000","300,000,000","270,000,000","213,000,000","230,000,000","258,000,000","237,000,000","-221,000,000","217,000,000","223,000,000","196,000,000","171,000,000","-672,000,000","123,000,000","87,000,000","129,000,000","164,000,000","213,000,000","224,000,000","222,000,000","231,000,000","3,115,000,000","2,942,000,000","-8,199,000,000","2,864,000,000","3,096,000,000","2,942,000,000","-7,412,000,000","2,679,000,000","2,846,000,000","2,637,000,000","-7,707,000,000","2,907,000,000","2,943,000,000","2,909,000,000","-5,605,000,000","1,631,000,000"
