name,ttm,01/31/2022,10/31/2021,07/31/2021,04/30/2021,01/31/2021,10/31/2020,07/31/2020,04/30/2020,01/31/2020,10/31/2019,07/31/2019,04/30/2019,01/31/2019,10/31/2018,07/31/2018,04/30/2018,01/31/2018,10/31/2017,07/31/2017,04/30/2017,01/31/2017,10/31/2016,07/31/2016,04/30/2016,01/31/2016,10/31/2015,07/31/2015,04/30/2015,01/31/2015,10/31/2014,07/31/2014
TotalRevenue,"27,912,000,000","6,961,000,000","7,354,000,000","6,897,000,000","6,700,000,000","6,833,000,000","7,208,000,000","6,816,000,000","6,009,000,000","6,949,000,000","7,215,000,000","7,217,000,000","7,150,000,000","7,553,000,000","7,946,000,000","7,764,000,000","7,468,000,000","7,674,000,000","5,661,000,000","8,209,000,000","7,445,000,000","11,407,000,000","12,478,000,000","12,210,000,000","12,711,000,000","12,724,000,000","13,448,000,000","13,057,000,000","12,549,000,000","13,053,000,000","14,073,000,000","13,704,000,000"
	OperatingRevenue,"27,912,000,000","6,961,000,000","7,354,000,000","6,897,000,000","6,700,000,000","6,833,000,000","7,208,000,000","6,816,000,000","6,009,000,000","6,949,000,000","7,215,000,000","7,217,000,000","7,150,000,000","7,553,000,000","7,946,000,000","7,764,000,000","7,468,000,000","7,674,000,000","5,661,000,000","8,209,000,000","7,445,000,000","11,407,000,000","12,478,000,000","12,210,000,000","12,711,000,000","12,724,000,000","13,448,000,000","13,057,000,000","12,549,000,000","13,053,000,000","14,073,000,000","13,704,000,000"
CostOfRevenue,"18,480,000,000","4,617,000,000","4,935,000,000","4,515,000,000","4,413,000,000","4,545,000,000","5,002,000,000","4,749,000,000","4,095,000,000","4,667,000,000","4,822,000,000","4,768,000,000","4,845,000,000","5,207,000,000","5,489,000,000","5,384,000,000","5,196,000,000","5,491,000,000","4,930,000,000","5,496,000,000","4,927,000,000","8,108,000,000","8,689,000,000","8,638,000,000","9,068,000,000","9,112,000,000","9,463,000,000","9,307,000,000","8,965,000,000","9,433,000,000","9,767,000,000","9,799,000,000"
GrossProfit,"9,432,000,000","2,344,000,000","2,419,000,000","2,382,000,000","2,287,000,000","2,288,000,000","2,206,000,000","2,067,000,000","1,914,000,000","2,282,000,000","2,393,000,000","2,449,000,000","2,305,000,000","2,346,000,000","2,457,000,000","2,380,000,000","2,272,000,000","2,183,000,000","731,000,000","2,713,000,000","2,518,000,000","3,299,000,000","3,789,000,000","3,572,000,000","3,643,000,000","3,612,000,000","3,985,000,000","3,750,000,000","3,584,000,000","3,620,000,000","4,306,000,000","3,905,000,000"
OperatingExpense,"7,239,000,000","1,795,000,000","1,855,000,000","1,803,000,000","1,786,000,000","1,753,000,000","1,745,000,000","1,711,000,000","1,678,000,000","1,844,000,000","1,447,000,000","1,926,000,000","1,736,000,000","1,530,000,000","1,742,000,000","1,707,000,000","2,126,000,000","2,587,000,000","585,000,000","2,142,000,000","2,035,000,000","2,363,000,000","2,207,000,000","2,703,000,000","2,846,000,000","2,801,000,000","2,910,000,000","2,867,000,000","2,730,000,000","2,708,000,000","2,930,000,000","2,983,000,000"
	SellingGeneralAndAdministration,"4,971,000,000","1,201,000,000","1,280,000,000","1,291,000,000","1,199,000,000","1,159,000,000","1,166,000,000","1,131,000,000","1,109,000,000","1,218,000,000","1,229,000,000","1,253,000,000","1,214,000,000","1,211,000,000","1,219,000,000","1,203,000,000","1,227,000,000","1,202,000,000","591,000,000","1,512,000,000","1,449,000,000","1,759,000,000","1,864,000,000","1,938,000,000","2,021,000,000","1,998,000,000","2,038,000,000","2,040,000,000","1,974,000,000","1,973,000,000","2,176,000,000","2,203,000,000"
		GeneralAndAdministrativeExpense,,,,,,"1,159,000,000",,"1,131,000,000","1,109,000,000","1,218,000,000","1,229,000,000","1,253,000,000","1,214,000,000","1,211,000,000","1,219,000,000","1,203,000,000","1,227,000,000","1,202,000,000",,,,,,,,,,,,,,
			OtherGandA,,,,,,"1,159,000,000",,"1,131,000,000","1,109,000,000","1,218,000,000","1,229,000,000","1,253,000,000","1,214,000,000","1,211,000,000","1,219,000,000","1,203,000,000","1,227,000,000","1,202,000,000",,,,,,,,,,,,,,
	ResearchAndDevelopment,"2,015,000,000","504,000,000","502,000,000","506,000,000","503,000,000","468,000,000","484,000,000","455,000,000","450,000,000","485,000,000","438,000,000","481,000,000","457,000,000","466,000,000","439,000,000","434,000,000","402,000,000","388,000,000","11,000,000","508,000,000","486,000,000","485,000,000","534,000,000","555,000,000","624,000,000","585,000,000","652,000,000","602,000,000","552,000,000","532,000,000","548,000,000","574,000,000"
	DepreciationAmortizationDepletionIncomeStatement,"317,000,000","73,000,000","78,000,000","82,000,000","84,000,000","110,000,000","80,000,000","95,000,000","84,000,000","120,000,000","68,000,000","58,000,000","69,000,000","72,000,000","72,000,000","72,000,000","72,000,000","78,000,000","-19,000,000","132,000,000","107,000,000","101,000,000","126,000,000","210,000,000","201,000,000","218,000,000","220,000,000","225,000,000","204,000,000","203,000,000","206,000,000","206,000,000"
