name,ttm,01/31/2022,10/31/2021,07/31/2021,04/30/2021,01/31/2021,10/31/2020,07/31/2020,04/30/2020,01/31/2020,10/31/2019,07/31/2019,04/30/2019,01/31/2019,10/31/2018,07/31/2018,04/30/2018,01/31/2018,10/31/2017,07/31/2017,04/30/2017,01/31/2017,10/31/2016,07/31/2016,04/30/2016,01/31/2016,10/31/2015,07/31/2015,04/30/2015,01/31/2015,10/31/2014,07/31/2014,04/30/2014,01/31/2014,10/31/2013,07/31/2013,04/30/2013,01/31/2013,10/31/2012,07/31/2012,04/30/2012,01/31/2012,10/31/2011,07/31/2011,04/30/2011,01/31/2011,10/31/2010,07/31/2010,04/30/2010,01/31/2010,10/31/2009,07/31/2009,04/30/2009,01/31/2009,10/31/2008,07/31/2008,04/30/2008,01/31/2008,10/31/2007,07/31/2007,04/30/2007,01/31/2007,10/31/2006,07/31/2006,04/30/2006,01/31/2006,10/31/2005,07/31/2005,04/30/2005,01/31/2005,10/31/2004,07/31/2004,04/30/2004,01/31/2004,10/31/2003,07/31/2003,04/30/2003,01/31/2003,10/31/2002,07/31/2002,04/30/2002,01/31/2002,10/31/2001,07/31/2001,04/30/2001,01/31/2001,10/31/2000,07/31/2000,04/30/2000,01/31/2000,10/31/1999,07/31/1999,04/30/1999,01/31/1999,10/31/1998,07/31/1998,04/30/1998,01/31/1998,10/31/1997,07/31/1997,04/30/1997,01/31/1997,10/31/1996,07/31/1996,04/30/1996,01/31/1996,10/31/1995,07/31/1995,04/30/1995,01/31/1995,10/31/1994,07/31/1994,04/30/1994,01/31/1994,10/31/1993,07/31/1993,04/30/1993,01/31/1993,10/31/1992,07/31/1992,04/30/1992,01/31/1992,10/31/1991,07/31/1991,04/30/1991,01/31/1991,10/31/1990,07/31/1990,04/30/1990,01/31/1990,10/31/1989,07/31/1989,04/30/1989,01/31/1989,10/31/1988,07/31/1988,04/30/1988,01/31/1988,10/31/1987,07/31/1987,04/30/1987,01/31/1987,10/31/1986,07/31/1986,04/30/1986,01/31/1986,10/31/1985
TotalRevenue,"11,969,400,000","3,044,358,000","3,454,751,000","2,863,670,000","2,606,621,000","2,461,147,000","2,420,105,000","2,381,457,000","2,422,465,000","2,384,434,000","2,501,513,000","2,290,705,000","2,344,744,000","2,360,355,000","2,524,697,000","2,359,142,000","2,330,568,000","2,331,293,000","2,492,608,000","2,207,375,000","2,187,309,000","2,280,227,000","2,627,941,000","2,302,376,000","2,300,235,000","2,292,672,000","2,400,858,000","2,188,587,000","2,279,345,000","2,395,073,000","2,543,771,000","2,284,947,000","2,244,866,000","2,242,672,000","2,323,202,000","2,159,525,000","2,152,686,000","2,116,241,000","2,170,184,000","2,008,188,000","2,012,859,000","2,039,439,000","2,103,898,000","1,910,592,000","1,959,041,000","1,921,558,000","2,063,039,000","1,730,451,000","1,699,782,000","1,727,447,000","1,675,102,000","1,574,440,000","1,595,043,000","1,689,086,000","1,861,512,000","1,678,142,000","1,594,084,000","1,621,165,000","1,664,347,000","1,520,005,000","1,504,597,000","1,504,083,000","1,557,309,000","1,406,894,000","1,365,345,000","1,415,933,000","1,477,908,000","1,355,021,000","1,309,637,000","1,271,431,000","1,345,216,000","1,155,999,000","1,143,127,000","1,135,533,000","1,169,881,000","1,009,395,000","1,002,602,000","1,018,450,000","1,038,895,000","933,778,000","954,627,000","983,014,000","1,118,722,000","1,039,491,000","1,018,406,000","947,493,000","1,006,181,000","886,015,000","879,023,000","903,900,000","950,900,000","816,800,000","791,100,000","799,000,000","912,000,000","755,800,000","778,300,000","814,900,000","868,200,000","779,700,000","798,500,000","810,300,000","877,800,000","749,900,000","746,700,000","724,400,000","835,100,000","732,400,000","748,000,000","730,700,000","840,500,000","741,100,000","767,000,000","716,200,000","817,400,000","677,800,000","676,700,000","682,100,000","841,700,000","671,200,000","672,300,000","628,500,000","760,600,000","677,400,000","697,000,000","701,200,000","772,800,000","654,700,000","633,100,000","620,500,000","699,100,000","564,000,000","526,300,000","551,200,000","655,300,000","546,900,000","535,700,000","554,900,000","741,900,000","574,800,000","556,900,000","440,500,000","552,200,000","485,000,000","442,200,000","480,800,000","430,500,000"
	OperatingRevenue,"11,969,400,000","3,044,358,000","3,454,751,000","2,863,670,000","2,606,621,000","2,461,147,000","2,420,105,000","2,381,457,000","2,422,465,000","2,384,434,000","2,501,513,000","2,290,705,000","2,344,744,000","2,360,355,000","2,524,697,000","2,359,142,000","2,330,568,000","2,331,293,000","2,492,608,000","2,207,375,000","2,187,309,000","2,280,227,000","2,627,941,000","2,302,376,000","2,300,235,000","2,292,672,000","2,400,858,000","2,188,587,000","2,279,345,000","2,395,073,000","2,543,771,000","2,284,947,000","2,244,866,000","2,242,672,000","2,323,202,000","2,159,525,000","2,152,686,000","2,116,241,000","2,170,184,000","2,008,188,000","2,012,859,000","2,039,439,000","2,103,898,000","1,910,592,000","1,959,041,000","1,921,558,000","2,063,039,000","1,730,451,000","1,699,782,000","1,727,447,000","1,675,102,000","1,574,440,000","1,595,043,000","1,689,086,000","1,861,512,000","1,678,142,000","1,594,084,000","1,621,165,000","1,664,347,000","1,520,005,000","1,504,597,000","1,504,083,000","1,557,309,000","1,406,894,000","1,365,345,000","1,415,933,000","1,477,908,000","1,355,021,000","1,309,637,000","1,271,431,000","1,345,216,000","1,155,999,000","1,143,127,000","1,135,533,000","1,169,881,000","1,009,395,000","1,002,602,000","1,018,450,000","1,038,895,000","933,778,000","954,627,000","983,014,000","1,118,722,000","1,039,491,000","1,018,406,000","947,493,000","1,006,181,000","886,015,000","879,023,000","903,900,000","950,900,000","816,800,000","791,100,000","799,000,000","912,000,000","755,800,000","778,300,000","814,900,000","868,200,000","779,700,000","798,500,000","810,300,000","877,800,000","749,900,000","746,700,000","724,400,000","835,100,000","732,400,000","748,000,000","730,700,000","840,500,000","741,100,000","767,000,000","716,200,000","817,400,000","677,800,000","676,700,000","682,100,000","841,700,000","671,200,000","672,300,000","628,500,000","760,600,000","677,400,000","697,000,000","701,200,000","772,800,000","654,700,000","633,100,000","620,500,000","699,100,000","564,000,000","526,300,000","551,200,000","655,300,000","546,900,000","535,700,000","554,900,000","741,900,000","574,800,000","556,900,000","440,500,000","552,200,000","485,000,000","442,200,000","480,800,000","430,500,000"
CostOfRevenue,"9,952,916,000","2,505,610,000","2,876,670,000","2,440,322,000","2,130,314,000","2,010,977,000","1,962,340,000","1,959,032,000","1,945,113,000","1,916,014,000","2,007,790,000","1,857,263,000","1,875,595,000","1,872,021,000","1,987,301,000","1,899,970,000","1,833,882,000","1,829,114,000","1,981,054,000","1,754,966,000","1,700,389,000","1,727,947,000","2,029,421,000","1,827,091,000","1,773,876,000","1,734,661,000","1,905,828,000","1,779,197,000","1,819,789,000","1,950,468,000","2,120,187,000","1,920,948,000","1,866,108,000","1,844,030,000","1,937,686,000","1,829,219,000","1,799,885,000","1,772,048,000","1,818,405,000","1,701,132,000","1,677,252,000","1,702,030,000","1,767,872,000","1,612,737,000","1,632,814,000","1,547,553,000","1,708,066,000","1,445,536,000","1,419,315,000","1,409,060,000","1,370,908,000","1,314,116,000","1,333,005,000","1,416,771,000","1,464,117,000","1,332,448,000","1,217,445,000","1,219,146,000","1,278,524,000","1,196,624,000","1,158,711,000","1,144,646,000","1,180,747,000","1,084,740,000","1,033,866,000","1,062,938,000","1,110,548,000","1,054,277,000","1,006,946,000","959,618,000","1,026,334,000","899,071,000","869,708,000","863,757,000","874,528,000","782,208,000","764,154,000","766,285,000","773,161,000","706,968,000","730,570,000","736,762,000","789,909,000","766,531,000","752,419,000","680,478,000","711,924,000","649,979,000","622,809,000","624,700,000","646,000,000","580,000,000","548,500,000","540,500,000","639,200,000","546,200,000","563,600,000","591,100,000","637,800,000","596,600,000","595,900,000","614,400,000","667,600,000","593,100,000","557,900,000","537,000,000","626,900,000","553,800,000","556,800,000","519,600,000","597,800,000","572,000,000","589,000,000","548,800,000","618,000,000","516,800,000","514,900,000","525,600,000","637,500,000","523,800,000","513,200,000","482,600,000","589,500,000",,,"550,500,000","604,900,000",,,"486,400,000","545,400,000",,,,,,,,,,,,,,,,
GrossProfit,"2,016,485,000","538,749,000","578,081,000","423,348,000","476,307,000","450,170,000","457,765,000","422,426,000","477,352,000","468,421,000","493,723,000","433,442,000","469,149,000","488,334,000","537,396,000","459,172,000","496,686,000","502,179,000","511,554,000","452,409,000","486,920,000","552,280,000","598,520,000","475,285,000","526,359,000","558,011,000","495,030,000","409,390,000","459,556,000","444,605,000","423,584,000","363,999,000","378,758,000","398,642,000","385,516,000","330,306,000","352,801,000","344,193,000","351,779,000","307,056,000","335,607,000","337,409,000","336,026,000","297,855,000","326,227,000","374,005,000","354,973,000","284,915,000","280,467,000","318,387,000","304,194,000","260,324,000","262,038,000","272,315,000","397,395,000","345,694,000","376,639,000","402,019,000","385,823,000","323,381,000","345,886,000","359,437,000","376,562,000","322,154,000","331,479,000","352,995,000","367,360,000","300,744,000","302,691,000","311,813,000","318,882,000","256,928,000","273,419,000","271,776,000","295,353,000","227,187,000","238,448,000","252,165,000","265,734,000","226,810,000","224,057,000","246,252,000","328,813,000","272,960,000","265,987,000","267,015,000","294,257,000","236,036,000","256,214,000","279,200,000","304,900,000","236,800,000","242,600,000","258,500,000","272,800,000","209,600,000","214,700,000","223,800,000","230,400,000","183,100,000","202,600,000","195,900,000","210,200,000","156,800,000","188,800,000","187,400,000","208,200,000","178,600,000","191,200,000","211,100,000","242,700,000","169,100,000","178,000,000","167,400,000","199,400,000","161,000,000","161,800,000","156,500,000","204,200,000","147,400,000","159,100,000","145,900,000","171,100,000",,,"150,700,000","167,900,000",,,"134,100,000","153,700,000",,,,,,,,,,,,,,,,
OperatingExpense,"882,663,000","225,972,000","230,441,000","226,284,000","199,966,000","196,380,000","190,797,000","181,085,000","193,912,000","195,521,000","183,795,000","180,169,000","170,076,000","193,544,000","204,537,000","210,747,000","203,799,000","219,122,000","194,218,000","176,660,000","181,009,000","210,217,000","244,006,000","206,876,000","211,144,000","209,948,000","188,952,000","184,627,000","189,733,000","180,299,000","165,939,000","153,035,000","165,785,000","166,189,000","147,444,000","150,999,000","173,066,000","155,831,000","159,685,000","145,022,000","148,684,000","141,476,000","149,076,000","151,033,000","153,464,000","145,161,000","166,456,000","146,523,000","146,782,000","145,532,000","142,704,000","142,010,000","140,616,000","142,525,000","257,522,000","251,663,000","252,086,000","253,419,000","233,613,000","227,842,000","232,971,000","239,651,000","231,243,000","227,405,000","226,486,000","247,347,000","10,228,600,000","214,787,000","-64,512,000","207,212,000","203,693,000","161,467,000","191,949,000","186,552,000","177,091,000","171,794,000","178,764,000","175,094,000","150,032,000","164,329,000","168,554,000","161,688,000","215,433,000","216,477,000","201,139,000","201,420,000","200,657,000","189,764,000","200,200,000","212,500,000","215,500,000","193,400,000","193,000,000","200,000,000","207,200,000","175,900,000","176,800,000","177,700,000","164,700,000","154,900,000","161,200,000","162,800,000","156,700,000","151,500,000","153,100,000","160,200,000","149,300,000","147,000,000","152,800,000","156,600,000","156,600,000","137,400,000","140,700,000","135,300,000","135,400,000","131,100,000","128,700,000","128,000,000","136,000,000","127,200,000","127,500,000","119,400,000","115,400,000",,,"119,000,000","111,600,000",,,"111,600,000","104,500,000",,,,,,,,,,,,,,,,
	SellingGeneralAndAdministration,"882,663,000","225,972,000","230,441,000","226,284,000","199,966,000","196,380,000","190,797,000","181,085,000","193,912,000","195,521,000","183,795,000","180,169,000","170,076,000","193,544,000","204,537,000","210,747,000","203,799,000","219,122,000","194,218,000","176,660,000","181,009,000","210,217,000","244,006,000","206,876,000","211,144,000","209,948,000","188,952,000","184,627,000","189,733,000","180,299,000","165,939,000","153,035,000","165,785,000","166,189,000","147,444,000","150,999,000","173,066,000","155,831,000","159,685,000","145,022,000","148,684,000","152,477,000","156,694,000","156,595,000","160,136,000","145,161,000","166,456,000","146,523,000","146,782,000","145,532,000","142,704,000","142,010,000","139,846,000","142,525,000","254,091,000","251,904,000","252,907,000","253,419,000","231,529,000","229,054,000","232,940,000","240,554,000","232,086,000","227,415,000","227,788,000","249,745,000","229,299,000","215,686,000","208,910,000","210,139,000","204,975,000","180,561,000","194,388,000","188,258,000","179,265,000","172,996,000","180,393,000","175,975,000","157,773,000","164,329,000","168,554,000","161,688,000","215,433,000","216,477,000","201,139,000","201,420,000","184,077,000","173,114,000","184,100,000","196,400,000","198,900,000","177,600,000","177,400,000","183,300,000","190,100,000","161,000,000","162,600,000","163,600,000","150,000,000","142,000,000","148,300,000","150,400,000","145,000,000","140,700,000","142,800,000","150,300,000","139,800,000","137,500,000","143,600,000","147,600,000","144,000,000","129,400,000","132,000,000","126,700,000","127,000,000","123,200,000","120,800,000","120,700,000","127,200,000","118,700,000","118,100,000","111,000,000","107,500,000",,,"110,100,000","102,600,000",,,"102,900,000","96,400,000",,,,,,,,,,,,,,,,
		GeneralAndAdministrativeExpense,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"45,475,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			OtherGandA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"45,475,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		SellingAndMarketingExpense,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"207,944,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
	DepreciationAmortizationDepletionIncomeStatement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"16,580,000","16,650,000","16,100,000","16,100,000","16,600,000","15,800,000","15,600,000","16,700,000","17,100,000","14,900,000","14,200,000","14,100,000","14,700,000","12,900,000","12,900,000","12,400,000","11,700,000","10,800,000","10,300,000","9,900,000","9,500,000","9,500,000","9,200,000","9,000,000","12,600,000","8,000,000","8,700,000","8,600,000","8,400,000","7,900,000","7,900,000","7,300,000","8,800,000","8,500,000","9,400,000","8,400,000","7,900,000",,,"8,900,000","9,000,000",,,"8,700,000","8,100,000",,,,,,,,,,,,,,,,
