name,ttm,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999,12/31/1998,09/30/1998,06/30/1998,03/31/1998,12/31/1997,09/30/1997,06/30/1997,03/31/1997,12/31/1996,09/30/1996,06/30/1996,03/31/1996,12/31/1995,09/30/1995,06/30/1995,03/31/1995,12/31/1994,09/30/1994,06/30/1994,03/31/1994
TotalRevenue,"12,401,021,000","3,330,522,000","3,178,315,000","2,967,223,000","2,924,961,000","3,165,725,000","2,840,146,000","1,684,399,000","2,428,871,000","2,668,941,000","2,508,767,000","2,447,827,000","2,360,268,000","3,375,202,000","3,279,678,000","3,326,676,000","3,220,439,000","3,318,054,000","3,161,083,000","3,059,458,000","2,922,948,000","3,120,934,000","2,865,148,000","2,872,630,000","2,712,956,000","2,850,918,000","2,685,835,000","2,629,320,000","2,463,646,000","2,702,096,000","2,623,729,000","2,615,406,000","2,430,159,000","2,526,370,000","2,348,956,000","2,391,810,000","2,293,511,000","2,408,438,000","2,231,058,000","2,201,452,000","2,099,019,000","2,340,148,000","2,111,693,000","2,130,640,000","1,947,761,000","2,023,568,000","1,893,511,000","1,849,401,000","1,760,310,000","1,786,081,000","1,659,433,000","1,611,006,000","1,488,605,000","1,573,507,000","1,650,771,000","1,644,977,000","1,525,619,000","1,717,470,000","1,505,575,000","1,387,017,000","1,334,143,000","1,498,936,000","1,272,020,000","1,220,360,000","1,161,781,000","1,343,141,000","1,125,363,000","1,141,620,000","1,101,410,000","1,194,320,000","1,033,625,000","945,690,000","886,631,000","946,924,000","892,718,000","776,166,000","737,997,000","747,403,000","759,073,000","671,432,000","647,093,000","698,289,000","659,774,000","606,285,000","593,895,000","656,700,000","603,037,000","568,174,000","553,810,000","611,300,000","578,800,000","559,300,000","536,300,000","502,700,000","492,600,000","427,900,000","403,000,000","606,400,000","327,600,000","263,100,000","240,500,000","237,400,000","212,500,000","194,700,000","185,400,000","183,700,000","156,700,000","139,800,000","136,000,000","139,700,000","122,700,000","115,800,000","108,400,000"
	OperatingRevenue,"12,401,021,000","3,330,522,000","3,178,315,000","2,967,223,000","2,924,961,000","3,165,725,000","2,840,146,000","1,684,399,000","2,428,871,000","2,668,941,000","2,508,767,000","2,447,827,000","2,360,268,000","3,375,202,000","3,279,678,000","3,326,676,000","3,220,439,000","3,318,054,000","3,161,083,000","3,059,458,000","2,922,948,000","3,120,934,000","2,865,148,000","2,872,630,000","2,712,956,000","2,850,918,000","2,685,835,000","2,629,320,000","2,463,646,000","2,702,096,000","2,623,729,000","2,615,406,000","2,430,159,000","2,526,370,000","2,348,956,000","2,391,810,000","2,293,511,000","2,408,438,000","2,231,058,000","2,201,452,000","2,099,019,000","2,340,148,000","2,111,693,000","2,130,640,000","1,947,761,000","2,023,568,000","1,893,511,000","1,849,401,000","1,760,310,000","1,786,081,000","1,659,433,000","1,611,006,000","1,488,605,000","1,573,507,000","1,650,771,000","1,644,977,000","1,525,619,000","1,717,470,000","1,505,575,000","1,387,017,000","1,334,143,000","1,498,936,000","1,272,020,000","1,220,360,000","1,161,781,000","1,343,141,000","1,125,363,000","1,141,620,000","1,101,410,000","1,194,320,000","1,033,625,000","945,690,000","886,631,000","946,924,000","892,718,000","776,166,000","737,997,000","747,403,000","759,073,000","671,432,000","647,093,000","698,289,000","659,774,000","606,285,000","593,895,000","656,700,000","603,037,000","568,174,000","553,810,000","611,300,000","578,800,000","559,300,000","536,300,000","502,700,000","492,600,000","427,900,000","403,000,000","606,400,000","327,600,000","263,100,000","240,500,000","237,400,000","212,500,000","194,700,000","185,400,000","183,700,000","156,700,000","139,800,000","136,000,000","139,700,000","122,700,000","115,800,000","108,400,000"
CostOfRevenue,"8,728,770,000","2,351,018,000","2,266,170,000","2,077,472,000","2,034,110,000","2,306,014,000","2,085,847,000","1,230,105,000","1,682,832,000","1,858,343,000","1,747,600,000","1,680,396,000","1,608,578,000","2,465,342,000","2,391,118,000","2,425,604,000","2,324,847,000","2,417,098,000","2,325,029,000","2,220,285,000","2,100,028,000","2,259,077,000","2,075,657,000","2,069,314,000","1,933,651,000","2,051,640,000","1,936,927,000","1,878,642,000","1,750,251,000","1,937,632,000","1,902,063,000","1,886,934,000","1,733,446,000","1,826,850,000","1,709,309,000","1,721,954,000","1,646,520,000","1,744,943,000","1,622,014,000","1,577,057,000","1,488,440,000","1,687,559,000","1,524,273,000","1,518,416,000","1,381,939,000","1,448,825,000","1,356,055,000","1,303,757,000","1,247,277,000","1,259,809,000","1,183,166,000","1,132,494,000","1,047,595,000","1,107,198,000","1,172,190,000","1,156,562,000","1,074,386,000","1,233,339,000","1,076,245,000","973,240,000","941,170,000","1,076,949,000","911,014,000","860,900,000","824,179,000","965,666,000","808,632,000","817,208,000","795,223,000","874,484,000","759,597,000","693,975,000","655,804,000","693,176,000","641,218,000","555,637,000","536,580,000","539,757,000","542,601,000","479,036,000","468,703,000","504,070,000","480,918,000","439,393,000","434,538,000","536,084,000","409,875,000","377,419,000","376,680,000","418,500,000","397,000,000","377,500,000","365,900,000","334,900,000","332,300,000","290,000,000","277,900,000","407,000,000","233,100,000","181,800,000","166,500,000","164,700,000","148,600,000","135,000,000","128,700,000",,,,,,,,
GrossProfit,"3,672,251,000","979,504,000","912,145,000","889,751,000","890,851,000","859,711,000","754,299,000","454,294,000","746,039,000","810,598,000","761,167,000","767,431,000","751,690,000","909,860,000","888,560,000","901,072,000","895,592,000","900,956,000","836,054,000","839,173,000","822,920,000","861,857,000","789,491,000","803,316,000","779,305,000","799,278,000","748,908,000","750,678,000","713,395,000","764,464,000","721,666,000","728,472,000","696,713,000","699,520,000","639,647,000","669,856,000","646,991,000","663,495,000","609,044,000","624,395,000","610,579,000","652,589,000","587,420,000","612,224,000","565,822,000","574,743,000","537,456,000","545,644,000","513,033,000","526,272,000","476,267,000","478,512,000","441,010,000","466,309,000","478,581,000","488,415,000","451,233,000","484,131,000","429,330,000","413,777,000","392,973,000","421,987,000","361,006,000","359,460,000","337,602,000","377,475,000","316,731,000","324,412,000","306,187,000","319,836,000","274,028,000","251,715,000","230,827,000","253,748,000","251,500,000","220,529,000","201,417,000","207,646,000","216,472,000","192,396,000","178,390,000","194,219,000","178,856,000","166,892,000","159,357,000","120,616,000","193,162,000","190,755,000","177,130,000","192,800,000","181,800,000","181,800,000","170,400,000","167,800,000","160,300,000","137,900,000","125,100,000","199,400,000","94,500,000","81,300,000","74,000,000","72,700,000","63,900,000","59,700,000","56,700,000",,,,,,,,
OperatingExpense,"2,812,656,000","774,364,000","701,499,000","678,801,000","657,992,000","674,131,000","559,636,000","445,793,000","567,387,000","615,323,000","574,771,000","593,218,000","574,608,000","674,738,000","668,011,000","677,216,000","685,688,000","659,765,000","622,506,000","628,511,000","628,952,000","631,795,000","583,400,000","602,256,000","599,053,000","586,176,000","551,588,000","560,426,000","545,166,000","561,522,000","547,578,000","547,628,000","539,445,000","512,637,000","479,170,000","493,791,000","493,362,000","482,153,000","459,422,000","466,333,000","465,452,000","489,216,000","444,159,000","461,009,000","441,522,000","432,745,000","400,088,000","407,638,000","396,989,000","389,653,000","362,382,000","356,202,000","346,080,000","337,328,000","363,303,000","375,058,000","366,006,000","359,145,000","332,630,000","322,925,000","319,074,000","317,431,000","298,331,000","282,712,000","276,684,000","288,240,000","253,593,000","253,948,000","248,982,000","269,789,000","220,873,000","188,130,000","184,527,000","194,664,000","175,100,000","164,499,000","159,212,000","157,849,000","152,187,000","145,407,000","143,192,000","151,199,000","136,981,000","131,620,000","158,116,000","82,378,000","158,831,000","159,188,000","153,653,000","161,700,000","149,300,000","149,800,000","146,800,000","134,300,000","135,200,000","116,100,000","110,800,000","165,500,000","83,700,000","70,700,000","67,100,000","61,800,000","56,300,000","53,300,000","51,900,000",,,,,,,,
	SellingGeneralAndAdministration,"2,812,656,000","774,364,000","701,499,000","678,801,000","657,992,000","674,131,000","559,636,000","445,793,000","567,387,000","615,323,000","574,771,000","593,218,000","574,608,000","674,738,000","668,011,000","677,216,000","685,688,000","659,765,000","622,506,000","628,511,000","628,952,000","631,795,000","583,400,000","602,256,000","599,053,000","586,176,000","551,588,000","560,426,000","545,166,000","561,522,000","547,578,000","547,628,000","539,445,000","512,637,000","479,170,000","493,791,000","493,362,000","482,153,000","459,422,000","466,333,000","465,452,000","489,216,000","444,159,000","461,009,000","441,522,000","432,745,000","400,088,000","407,638,000","396,989,000","389,653,000","362,382,000","356,202,000","346,080,000","337,328,000","363,303,000","375,058,000","366,006,000","359,145,000","332,630,000","322,925,000","319,074,000","317,431,000","298,331,000","282,712,000","276,684,000","288,240,000","253,593,000","253,948,000","248,982,000","269,789,000","220,873,000","188,130,000","184,527,000","194,664,000","175,100,000","164,499,000","159,212,000","157,849,000","152,187,000","145,407,000","143,192,000","151,199,000","136,981,000","131,620,000","131,774,000","72,618,000","150,779,000","151,164,000","145,727,000","155,900,000","141,500,000","142,000,000","139,800,000","128,300,000","128,600,000","112,300,000","107,200,000","159,900,000","79,500,000","68,400,000","64,800,000","59,600,000","54,300,000","51,500,000","50,200,000",,,,,,,,
	DepreciationAmortizationDepletionIncomeStatement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"9,760,000","8,052,000","8,024,000","7,926,000","5,800,000","7,800,000","7,800,000","7,000,000","6,000,000","6,600,000","3,800,000","3,600,000","5,600,000","4,200,000","2,300,000","2,300,000","2,200,000","2,000,000","1,800,000","1,700,000",,,,,,,,
		DepreciationAndAmortizationInIncomeStatement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"9,760,000","8,052,000","8,024,000","7,926,000","5,800,000","7,800,000","7,800,000","7,000,000","6,000,000","6,600,000","3,800,000","3,600,000","5,600,000","4,200,000","2,300,000","2,300,000","2,200,000","2,000,000","1,800,000","1,700,000",,,,,,,,
	OtherOperatingExpenses,,,,,,,,,,,,,,"20,086,000","7,282,000","7,611,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"26,342,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,
OperatingIncome,"859,595,000","205,140,000","210,646,000","210,950,000","232,859,000","185,580,000","194,663,000","8,501,000","178,652,000","195,275,000","186,396,000","174,213,000","177,082,000","235,122,000","220,549,000","223,856,000","209,904,000","241,191,000","213,548,000","210,662,000","193,968,000","230,062,000","206,091,000","201,060,000","180,252,000","213,102,000","197,320,000","190,252,000","168,229,000","202,942,000","174,088,000","180,844,000","157,268,000","186,883,000","160,477,000","176,065,000","153,629,000","181,342,000","149,622,000","158,062,000","145,127,000","163,373,000","143,261,000","151,215,000","124,300,000","141,998,000","137,368,000","138,006,000","116,044,000","136,619,000","113,885,000","122,310,000","94,930,000","128,981,000","115,278,000","113,357,000","85,227,000","124,986,000","96,700,000","90,852,000","73,899,000","104,556,000","62,675,000","76,748,000","60,918,000","89,235,000","63,138,000","70,464,000","57,205,000","50,047,000","53,155,000","63,585,000","46,300,000","59,084,000","76,400,000","56,030,000","42,205,000","49,797,000","64,285,000","46,989,000","35,198,000","43,020,000","41,875,000","35,272,000","1,241,000","38,238,000","34,331,000","31,567,000","23,477,000","31,100,000","32,500,000","32,000,000","23,600,000","33,500,000","25,100,000","21,800,000","14,300,000","33,900,000","10,800,000","10,600,000","6,900,000","10,900,000","7,600,000","6,400,000","4,800,000","-433,500,000","156,700,000","139,800,000","136,000,000","-356,400,000","122,700,000","115,800,000","108,400,000"
