name,ttm,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999,12/31/1998,09/30/1998,06/30/1998,03/31/1998,12/31/1997,09/30/1997,06/30/1997,03/31/1997,12/31/1996,09/30/1996,06/30/1996,03/31/1996,12/31/1995,09/30/1995,06/30/1995,03/31/1995,12/31/1994,09/30/1994,06/30/1994,03/31/1994,12/31/1993,09/30/1993,06/30/1993,03/31/1993,12/31/1992,09/30/1992,06/30/1992,03/31/1992,12/31/1991,09/30/1991,06/30/1991,03/31/1991,12/31/1990,09/30/1990,06/30/1990,03/31/1990,12/31/1989,09/30/1989,06/30/1989,03/31/1989,12/31/1988,09/30/1988,06/30/1988,03/31/1988,12/31/1987,09/30/1987,06/30/1987,03/31/1987,12/31/1986,09/30/1986,06/30/1986,03/31/1986,12/31/1985,09/30/1985
TotalRevenue,"8,971,337,000","2,326,128,000","2,359,839,000","1,989,422,000","2,295,948,000","2,185,244,000","2,219,829,000","1,707,329,000","2,037,317,000","2,068,125,000","2,134,422,000","1,767,217,000","2,016,488,000","1,987,902,000","2,079,593,000","1,751,615,000","1,971,959,000","1,939,636,000","2,033,121,000","1,662,991,000","1,879,678,000","1,970,244,000","2,003,454,000","1,637,671,000","1,828,812,000","1,909,222,000","1,960,779,000","1,578,825,000","1,937,800,000","2,010,027,000","1,961,578,000","1,578,350,000","1,871,813,000","1,956,253,000","1,853,886,000","1,508,514,000","1,827,426,000","1,751,035,000","1,746,709,000","1,414,444,000","1,732,064,000","1,567,145,000","1,624,249,000","1,325,171,000","1,564,223,000","1,482,809,000","1,547,115,000","1,233,242,000","1,407,843,000","1,407,336,000","1,484,118,000","1,171,183,000","1,236,031,000","1,377,380,000","1,489,609,000","1,105,437,000","1,160,342,000","1,342,222,000","1,399,469,000","1,051,916,000","1,153,109,000","1,346,074,000","1,413,361,000","1,052,067,000","1,132,728,000","1,352,873,000","1,368,240,000","988,447,000","1,126,414,000","1,267,963,000","1,254,508,000","893,688,000","1,013,089,000","1,179,255,000","1,191,019,000","849,115,000","953,162,000","1,156,028,000","1,152,321,000","823,462,000","988,506,000","1,273,917,000","1,304,184,000","898,859,000","1,080,281,000","1,194,902,000","1,196,755,000","836,204,000","993,115,000","1,105,800,000","1,066,700,000","853,200,000","945,200,000","1,239,900,000","1,217,200,000","880,400,000","1,098,100,000","1,242,400,000","1,151,600,000","905,700,000","1,002,500,000","1,189,100,000","1,072,300,000","796,300,000","931,500,000","1,119,900,000","981,100,000","722,300,000","867,400,000","1,079,900,000","966,500,000","676,000,000","883,900,000","1,036,300,000","935,700,000","618,400,000","897,800,000","969,500,000","827,500,000","621,800,000","801,000,000","864,000,000","765,500,000","585,200,000","684,600,000","763,100,000","735,400,000","535,900,000","681,200,000","680,900,000","682,400,000","485,500,000","572,200,000","672,200,000","597,600,000","553,600,000","617,500,000","665,700,000","680,100,000","497,700,000","590,200,000","615,000,000","596,400,000","450,200,000","508,000,000","540,900,000","547,700,000"
	OperatingRevenue,"8,971,337,000","2,326,128,000","2,359,839,000","1,989,422,000","2,295,948,000","2,185,244,000","2,219,829,000","1,707,329,000","2,037,317,000","2,068,125,000","2,134,422,000","1,767,217,000","2,016,488,000","1,987,902,000","2,079,593,000","1,751,615,000","1,971,959,000","1,939,636,000","2,033,121,000","1,662,991,000","1,879,678,000","1,970,244,000","2,003,454,000","1,637,671,000","1,828,812,000","1,909,222,000","1,960,779,000","1,578,825,000","1,937,800,000","2,010,027,000","1,961,578,000","1,578,350,000","1,871,813,000","1,956,253,000","1,853,886,000","1,508,514,000","1,827,426,000","1,751,035,000","1,746,709,000","1,414,444,000","1,732,064,000","1,567,145,000","1,624,249,000","1,325,171,000","1,564,223,000","1,482,809,000","1,547,115,000","1,233,242,000","1,407,843,000","1,407,336,000","1,484,118,000","1,171,183,000","1,236,031,000","1,377,380,000","1,489,609,000","1,105,437,000","1,160,342,000","1,342,222,000","1,399,469,000","1,051,916,000","1,153,109,000","1,346,074,000","1,413,361,000","1,052,067,000","1,132,728,000","1,352,873,000","1,368,240,000","988,447,000","1,126,414,000","1,267,963,000","1,254,508,000","893,688,000","1,013,089,000","1,179,255,000","1,191,019,000","849,115,000","953,162,000","1,156,028,000","1,152,321,000","823,462,000","988,506,000","1,273,917,000","1,304,184,000","898,859,000","1,080,281,000","1,194,902,000","1,196,755,000","836,204,000","993,115,000","1,105,800,000","1,066,700,000","853,200,000","945,200,000","1,239,900,000","1,217,200,000","880,400,000","1,098,100,000","1,242,400,000","1,151,600,000","905,700,000","1,002,500,000","1,189,100,000","1,072,300,000","796,300,000","931,500,000","1,119,900,000","981,100,000","722,300,000","867,400,000","1,079,900,000","966,500,000","676,000,000","883,900,000","1,036,300,000","935,700,000","618,400,000","897,800,000","969,500,000","827,500,000","621,800,000","801,000,000","864,000,000","765,500,000","585,200,000","684,600,000","763,100,000","735,400,000","535,900,000","681,200,000","680,900,000","682,400,000","485,500,000","572,200,000","672,200,000","597,600,000","553,600,000","617,500,000","665,700,000","680,100,000","497,700,000","590,200,000","615,000,000","596,400,000","450,200,000","508,000,000","540,900,000","547,700,000"
CostOfRevenue,"4,922,739,000","1,313,261,000","1,298,504,000","1,063,977,000","1,246,997,000","1,223,173,000","1,139,805,000","914,777,000","1,170,695,000","1,156,213,000","1,191,104,000","892,473,000","1,123,984,000","1,043,550,000","1,216,100,000","958,195,000","997,899,000","1,105,109,000","1,092,899,000","899,781,000","973,118,000","1,227,975,000","1,152,606,000","890,273,000","1,011,436,000","1,054,862,000","1,068,715,000","843,417,000","1,036,957,000","1,122,962,000","1,101,441,000","860,876,000","1,000,323,000","1,098,867,000","998,335,000","789,940,000","978,089,000","995,827,000","1,003,952,000","795,923,000","988,668,000","935,939,000","944,068,000","760,851,000","908,038,000","863,339,000","891,895,000","686,704,000","813,863,000","836,815,000","895,020,000","717,893,000","795,803,000","879,854,000","988,380,000","722,926,000","783,890,000","924,745,000","928,846,000","722,478,000","739,078,000","860,294,000","870,171,000","643,375,000","702,878,000","826,224,000","849,486,000","594,699,000","695,131,000","764,287,000","756,408,000","533,204,000","625,632,000","708,292,000","724,185,000","515,370,000","596,879,000","709,840,000","717,197,000","509,991,000","624,024,000","758,847,000","752,575,000","516,638,000","637,506,000","667,553,000","696,431,000","458,376,000","561,894,000","604,000,000","592,200,000","473,500,000","521,700,000","701,700,000","667,300,000","483,400,000","614,400,000","658,100,000","634,800,000","494,000,000","549,200,000","535,100,000","614,000,000","469,800,000","549,700,000","492,800,000","572,400,000","423,800,000","503,400,000","476,800,000","562,000,000","403,100,000","526,700,000","463,200,000","544,800,000","363,600,000","510,800,000","443,100,000","474,700,000","355,000,000","463,400,000","412,000,000","445,700,000","339,500,000","411,800,000","367,600,000","433,400,000","314,200,000","399,300,000","333,900,000","420,200,000","297,100,000",,,,,,,,,,,,,,,
GrossProfit,"4,048,598,000","1,012,867,000","1,061,335,000","925,445,000","1,048,951,000","962,071,000","1,080,024,000","792,552,000","866,622,000","911,912,000","943,318,000","874,744,000","892,504,000","944,352,000","863,493,000","793,420,000","974,060,000","834,527,000","940,222,000","763,210,000","906,560,000","742,269,000","850,848,000","747,398,000","817,376,000","854,360,000","892,064,000","735,408,000","900,843,000","887,065,000","860,137,000","717,474,000","871,490,000","857,386,000","855,551,000","718,574,000","849,337,000","755,208,000","742,757,000","618,521,000","743,396,000","631,206,000","680,181,000","564,320,000","656,185,000","619,470,000","655,220,000","546,538,000","593,980,000","570,521,000","589,098,000","453,290,000","440,228,000","497,526,000","501,229,000","382,511,000","376,452,000","417,477,000","470,623,000","329,438,000","414,031,000","485,780,000","543,190,000","408,692,000","429,850,000","526,649,000","518,754,000","393,748,000","431,283,000","503,676,000","498,100,000","360,484,000","387,457,000","470,963,000","466,834,000","333,745,000","356,283,000","446,188,000","435,124,000","313,471,000","364,482,000","515,070,000","551,609,000","382,221,000","442,775,000","527,349,000","500,324,000","377,828,000","431,221,000","501,800,000","474,500,000","379,700,000","423,500,000","538,200,000","549,900,000","397,000,000","483,700,000","584,300,000","516,800,000","411,700,000","453,300,000","654,000,000","458,300,000","326,500,000","381,800,000","627,100,000","408,700,000","298,500,000","364,000,000","603,100,000","404,500,000","272,900,000","357,200,000","573,100,000","390,900,000","254,800,000","387,000,000","526,400,000","352,800,000","266,800,000","337,600,000","452,000,000","319,800,000","245,700,000","272,800,000","395,500,000","302,000,000","221,700,000","281,900,000","347,000,000","262,200,000","188,400,000",,,,,,,,,,,,,,,
OperatingExpense,"2,001,351,000","552,918,000","486,139,000","467,629,000","494,665,000","537,978,000","468,614,000","408,949,000","475,384,000","517,200,000","481,363,000","453,793,000","453,573,000","486,036,000","453,921,000","449,548,000","485,324,000","508,433,000","497,182,000","445,888,000","461,900,000","506,619,000","474,494,000","462,531,000","471,734,000","499,447,000","500,306,000","455,545,000","504,170,000","519,679,000","477,569,000","438,763,000","464,959,000","543,783,000","481,986,000","446,070,000","450,669,000","485,857,000","420,972,000","396,250,000","405,562,000","397,156,000","356,878,000","345,918,000","377,798,000","391,227,000","357,624,000","336,980,000","340,646,000","334,040,000","301,466,000","298,710,000","274,456,000","284,057,000","272,401,000","266,612,000","249,949,000","232,762,000","229,809,000","216,870,000","216,433,000","200,264,000","221,842,000","221,478,000","216,794,000","246,698,000","220,252,000","220,626,000","225,410,000","217,150,000","216,696,000","209,561,000","204,133,000","202,946,000","212,341,000","205,273,000","187,552,000","216,758,000","218,052,000","197,851,000","211,503,000","346,053,000","342,622,000","282,670,000","298,619,000","318,965,000","303,688,000","294,416,000","297,003,000","322,800,000","310,400,000","280,700,000","307,300,000","340,300,000","351,000,000","297,600,000","337,300,000","368,800,000","330,400,000","312,600,000","324,100,000","452,300,000","287,500,000","247,400,000","270,400,000","436,700,000","261,700,000","235,700,000","253,500,000","419,600,000","259,600,000","222,300,000","261,600,000","412,400,000","257,200,000","205,800,000","273,200,000","379,700,000","232,200,000","210,100,000","233,300,000","322,100,000","202,900,000","186,200,000","188,600,000","287,400,000","201,400,000","164,500,000","197,300,000","249,100,000","167,800,000","141,500,000",,,,,,,,,,,,,,,
	SellingGeneralAndAdministration,"2,001,351,000","552,918,000","486,139,000","467,629,000","494,665,000","537,978,000","468,614,000","408,949,000","475,384,000","517,200,000","481,363,000","453,793,000","453,573,000","486,036,000","453,921,000","449,548,000","485,324,000","508,433,000","497,182,000","445,888,000","461,900,000","506,619,000","474,494,000","462,531,000","471,734,000","499,447,000","500,306,000","455,545,000","504,170,000","519,679,000","477,569,000","438,763,000","464,959,000","543,783,000","481,986,000","446,070,000","450,669,000","485,857,000","420,972,000","391,405,000","405,562,000","397,156,000","356,878,000","345,918,000","377,798,000","391,227,000","357,624,000","336,980,000","340,646,000","334,040,000","301,466,000","298,710,000","274,456,000","284,057,000","272,401,000","266,612,000","249,949,000","232,762,000","229,809,000","216,870,000","216,433,000","200,264,000","221,842,000","221,478,000","216,794,000","246,698,000","220,252,000","220,626,000","225,410,000","217,150,000","216,696,000","209,561,000","204,133,000","215,395,000","212,107,000","201,388,000","187,552,000","216,758,000","218,052,000","195,875,000","202,741,000","346,053,000","342,622,000","282,670,000","298,619,000","318,965,000","303,688,000","250,722,000","253,800,000","281,100,000","268,600,000","241,400,000","266,800,000","298,600,000","311,700,000","258,300,000","299,400,000","330,200,000","292,600,000","276,300,000","284,000,000","318,800,000","287,500,000","247,400,000","270,400,000","302,800,000","261,700,000","235,700,000","253,500,000","290,600,000","259,600,000","222,300,000","261,600,000","299,300,000","257,200,000","205,800,000","273,200,000","282,600,000","232,200,000","210,100,000","233,300,000","236,700,000","202,900,000","186,200,000","188,600,000","213,500,000","201,400,000","164,500,000","197,300,000","183,400,000","167,800,000","141,500,000",,,,,,,,,,,,,,,
		SellingAndMarketingExpense,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"405,562,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
	DepreciationAmortizationDepletionIncomeStatement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"43,694,000","43,203,000","41,700,000","41,800,000","39,300,000","40,500,000","41,700,000","39,300,000","39,300,000","37,900,000","38,600,000","37,800,000","36,300,000","40,100,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		DepreciationAndAmortizationInIncomeStatement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"43,694,000","43,203,000","41,700,000","41,800,000","39,300,000","40,500,000","41,700,000","39,300,000","39,300,000","37,900,000","38,600,000","37,800,000","36,300,000","40,100,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
	OtherOperatingExpenses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4,845,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-12,449,000","234,000","3,885,000",,,,"1,976,000","8,762,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
