name,ttm,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999,12/31/1998,09/30/1998,06/30/1998,03/31/1998,12/31/1997,09/30/1997,06/30/1997,03/31/1997,12/31/1996,09/30/1996,06/30/1996,03/31/1996,12/31/1995,09/30/1995,06/30/1995,03/31/1995,12/31/1994,09/30/1994,06/30/1994,03/31/1994,12/31/1993,09/30/1993,06/30/1993,03/31/1993,11/30/1992,08/31/1992,05/31/1992,02/29/1992,11/30/1991,08/31/1991,05/31/1991,02/28/1991,11/30/1990,08/31/1990,05/31/1990,02/28/1990
TotalRevenue,"83,064,000,000","21,054,000,000","20,697,000,000","20,645,000,000","20,668,000,000","19,062,000,000","20,075,000,000","19,083,000,000","18,935,000,000","16,295,000,000","16,241,000,000","16,245,000,000","16,107,000,000","14,168,000,000","14,206,000,000","14,259,000,000","14,279,000,000","13,189,000,000","13,282,000,000","13,534,000,000","13,762,000,000","12,878,000,000","13,694,000,000","14,007,000,000","13,800,000,000","13,361,000,000","13,363,000,000","13,732,000,000","13,833,000,000","12,328,000,000","12,238,000,000","12,222,000,000","11,712,000,000","10,187,000,000","10,319,000,000","10,321,000,000","10,486,000,000","9,557,000,000","9,651,000,000","9,699,000,000","10,219,000,000","9,056,508,000","9,300,643,000","9,284,131,000","9,190,718,000","8,350,245,000","8,424,648,000","8,652,721,000","8,440,594,000","7,633,045,000","7,716,819,000","7,898,889,000","7,711,661,000","7,487,636,000","7,148,170,000","7,350,862,000","6,959,704,000","6,338,795,000","6,319,584,000","6,426,797,000","6,204,813,000","5,655,219,000","5,649,784,000","5,407,169,000","4,704,365,000","3,663,080,000","3,821,461,000","3,546,361,000","3,387,225,000","3,209,625,000","3,176,273,000","3,431,478,000","3,286,949,000","3,152,872,000","3,111,765,000","3,029,958,000","2,931,716,000","2,855,032,000","2,841,627,000","2,831,940,000","2,732,582,000","2,622,886,000","2,611,000,000","2,479,000,000","2,445,000,000","2,560,000,000","2,616,000,000","2,696,000,000","2,642,000,000","2,574,000,000","2,557,000,000","2,505,000,000","2,477,000,000","2,469,000,000","2,464,000,000","2,446,000,000","2,402,000,000","2,411,000,000","1,964,000,000","1,832,000,000","1,829,000,000","1,819,000,000","1,781,000,000","1,603,000,000","1,585,000,000","1,499,000,000","1,092,000,000","1,067,000,000","1,044,000,000","953,000,000","923,000,000","912,000,000","866,000,000","791,000,000","782,000,000","778,000,000","786,000,000","974,000,000","-772,000,000","1,627,000,000","1,624,000,000","1,564,000,000",,,,"1,330,000,000","1,280,300,000","1,271,700,000","1,192,500,000"
	OperatingRevenue,"83,064,000,000","21,054,000,000","20,697,000,000","20,645,000,000","20,668,000,000","19,062,000,000","20,075,000,000","19,083,000,000","18,935,000,000","16,295,000,000","16,241,000,000","16,245,000,000","16,107,000,000","14,168,000,000","14,206,000,000","14,259,000,000","14,279,000,000","13,189,000,000","13,282,000,000","13,534,000,000","13,762,000,000","12,878,000,000","13,694,000,000","14,007,000,000","13,800,000,000","13,361,000,000","13,363,000,000","13,732,000,000","13,833,000,000","12,328,000,000","12,238,000,000","12,222,000,000","11,712,000,000","10,187,000,000","10,319,000,000","10,321,000,000","10,486,000,000","9,557,000,000","9,651,000,000","9,699,000,000","10,219,000,000","9,056,508,000","9,300,643,000","9,284,131,000","9,190,718,000","8,350,245,000","8,424,648,000","8,652,721,000","8,440,594,000","7,633,045,000","7,716,819,000","7,898,889,000","7,711,661,000","7,487,636,000","7,148,170,000","7,350,862,000","6,959,704,000","6,338,795,000","6,319,584,000","6,426,797,000","6,204,813,000","5,655,219,000","5,649,784,000","5,407,169,000","4,704,365,000","3,663,080,000","3,821,461,000","3,546,361,000","3,387,225,000","3,209,625,000","3,176,273,000","3,431,478,000","3,286,949,000","3,152,872,000","3,111,765,000","3,029,958,000","2,931,716,000","2,855,032,000","2,841,627,000","2,831,940,000","2,732,582,000","2,622,886,000","2,611,000,000","2,479,000,000","2,445,000,000","2,560,000,000","2,616,000,000","2,696,000,000","2,642,000,000","2,574,000,000","2,557,000,000","2,505,000,000","2,477,000,000","2,469,000,000","2,464,000,000","2,446,000,000","2,402,000,000","2,411,000,000","1,964,000,000","1,832,000,000","1,829,000,000","1,819,000,000","1,781,000,000","1,603,000,000","1,585,000,000","1,499,000,000","1,092,000,000","1,067,000,000","1,044,000,000","953,000,000","923,000,000","912,000,000","866,000,000","791,000,000","782,000,000","778,000,000","786,000,000","974,000,000","-772,000,000","1,627,000,000","1,624,000,000","1,564,000,000",,,,"1,330,000,000","1,280,300,000","1,271,700,000","1,192,500,000"
NetNonOperatingInterestIncomeExpense,"-326,000,000","-91,000,000","-88,000,000","-79,000,000","-68,000,000","-72,000,000","-75,000,000","-76,000,000","-60,000,000","-58,000,000","-62,000,000","-60,000,000","-62,000,000","-59,000,000","-53,000,000","-53,000,000","-53,000,000","-76,000,000","-59,000,000","-58,000,000","-49,000,000","-48,000,000","-47,000,000","-47,000,000","-47,000,000","-46,000,000","-47,000,000","-47,000,000","-46,000,000","-84,000,000","-38,000,000","-35,000,000","-35,000,000","-35,000,000","-35,000,000","-35,000,000","-35,000,000","-27,000,000","-26,000,000","-26,000,000","-26,000,000","-27,044,000","-27,065,000","-27,663,000","-27,228,000","-26,381,000","-26,143,000","-26,222,000","-26,314,000","-26,238,000","-26,259,000","-26,574,000","-26,772,000","-26,735,000","-19,348,000","-17,867,000","-16,339,000","-18,947,000","-15,947,000","-16,066,000","-17,918,000","-15,806,000","-17,009,000","-16,887,000","-13,439,000","-10,329,000","-10,141,000","-10,322,000","-8,523,000","-6,648,000","-6,480,000","-5,325,000","-4,719,000","-4,894,000","-4,737,000","-3,801,000","-3,935,000","-4,364,000","-4,107,000","-4,377,000","-4,404,000","-5,302,000","-6,000,000","-7,000,000","-7,000,000","-7,000,000","-7,000,000","-7,000,000","-8,000,000","-8,000,000","-7,000,000","-8,000,000","-10,000,000","-12,000,000","-13,000,000","-10,000,000","-12,000,000","-13,000,000","-3,000,000","-1,000,000","-3,000,000","-1,000,000","-2,000,000","-3,000,000","-5,000,000","-5,000,000","-2,000,000","-2,000,000","-2,000,000","1,000,000","-1,000,000","-28,000,000","-1,000,000","-2,000,000","-1,000,000","-2,000,000","-2,000,000","-17,000,000","-16,000,000","-19,000,000","-17,000,000","-19,000,000",,,,"-25,000,000","-18,200,000","-29,100,000","-30,700,000"
	InterestExpenseNonOperating,"326,000,000","91,000,000","88,000,000","79,000,000","68,000,000","72,000,000","75,000,000","76,000,000","60,000,000","58,000,000","62,000,000","60,000,000","62,000,000","59,000,000","53,000,000","53,000,000","53,000,000","76,000,000","59,000,000","58,000,000","49,000,000","48,000,000","47,000,000","47,000,000","47,000,000","46,000,000","47,000,000","47,000,000","46,000,000","84,000,000","38,000,000","35,000,000","35,000,000","35,000,000","35,000,000","35,000,000","35,000,000","27,000,000","26,000,000","26,000,000","26,000,000","27,044,000","27,065,000","27,663,000","27,228,000","26,381,000","26,143,000","26,222,000","26,314,000","26,238,000","26,259,000","26,574,000","26,772,000","26,735,000","19,348,000","17,867,000","16,339,000","18,947,000","15,947,000","16,066,000","17,918,000","15,806,000","17,009,000","16,887,000","13,439,000","10,329,000","10,141,000","10,322,000","8,523,000","6,648,000","6,480,000","5,325,000","4,719,000","4,894,000","4,737,000","3,801,000","3,935,000","4,364,000","4,107,000","4,377,000","4,404,000","5,302,000","6,000,000","7,000,000","7,000,000","7,000,000","7,000,000","7,000,000","8,000,000","8,000,000","7,000,000","8,000,000","10,000,000","12,000,000","13,000,000","10,000,000","12,000,000","13,000,000","3,000,000","1,000,000","3,000,000","1,000,000","2,000,000","3,000,000","5,000,000","5,000,000","2,000,000","2,000,000","2,000,000","-1,000,000","1,000,000","28,000,000","1,000,000","2,000,000","1,000,000","2,000,000","2,000,000","17,000,000","16,000,000","19,000,000","17,000,000","19,000,000",,,,"25,000,000","18,200,000","29,100,000","30,700,000"
OtherIncomeExpense,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"325,337,000","356,212,000","343,509,000","334,942,000","100,541,000","80,938,000","69,436,000","67,394,000","59,838,000","64,104,000","62,328,000","54,941,000","54,971,000","58,973,000","50,325,000","45,165,000","356,016,000","42,850,000","34,402,000","30,859,000","105,876,000","77,084,000","142,694,000",,"68,983,000","63,817,000","64,902,000","61,735,000","53,376,000","59,837,000","81,346,000","78,237,000","71,888,000","66,984,000","71,668,000","61,136,000","54,496,000","61,056,000","63,831,000","65,013,000","50,090,000","40,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"791,000,000","782,000,000","778,000,000","786,000,000","974,000,000","-772,000,000","1,627,000,000","1,624,000,000","1,564,000,000",,,,"1,330,000,000","1,280,300,000","1,271,700,000","1,192,500,000"
	SpecialIncomeCharges,,,,,,,,,,"0","0","0",,"0","4,000,000","-790,000,000","0","-11,000,000","0","0","947,000,000","0",,"0",,"3,000,000","0","267,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","-30,760,000",,,,,,,,,,,,,,,,,"0","-34,000,000",,,,,,,"-15,000,000",,"-81,000,000",,,,,,"0",,"-18,000,000",,,,,,,,,,,,,,,,,
		RestructuringAndMergernAcquisition,,,,,,,,,,,,,,"0","0",,"0","11,000,000","0","0","-947,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","30,760,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		OtherSpecialCharges,,,,,,,,,,,,,,"0","-4,000,000","790,000,000",,,,,,,,,,"-3,000,000",,"-267,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PretaxIncome,"3,354,000,000","-60,000,000","1,636,000,000","738,000,000","1,040,000,000","-458,000,000","1,755,000,000","2,586,000,000","717,000,000","593,000,000","888,000,000","1,229,000,000","746,000,000","436,000,000","901,000,000","19,000,000","707,000,000","490,000,000","799,000,000","1,042,000,000","1,689,000,000","-486,000,000","902,000,000","636,000,000","500,000,000","246,000,000","648,000,000","793,000,000","744,000,000","287,000,000","551,000,000","646,000,000","686,000,000","-49,000,000","586,000,000","654,000,000","730,000,000","282,000,000","675,000,000","564,000,000","390,000,000","312,982,000","698,720,000","726,514,000","496,784,000","174,492,000","622,290,000","535,854,000","416,926,000","398,700,000","469,348,000","439,950,000","293,762,000","261,046,000","282,860,000","325,014,000","123,928,000","358,987,000","478,502,000","339,590,000","112,221,000","241,181,000","249,374,000","140,322,000","131,208,000","99,216,000","71,504,000","129,307,000","121,687,000","63,251,000","127,473,000","122,353,000","102,773,000","99,712,000","93,412,000","104,190,000","47,402,000","-2,507,000","76,957,000","66,705,000","68,779,000","55,080,000","47,000,000","39,000,000","42,000,000","34,000,000","29,000,000","24,000,000","27,000,000","-404,000,000","0","0","0","203,000,000","0","0","0","270,000,000","0","0","0","18,000,000","0","0","0","288,000,000","0","0","0","257,000,000","0","0","0","0","0","0","0","0","0","0","0","0",,,,"0","0","0","0"
TaxProvision,"485,000,000","-51,000,000","120,000,000","183,000,000","233,000,000","-178,000,000","450,000,000","783,000,000","252,000,000","79,000,000","200,000,000","301,000,000","183,000,000","83,000,000","266,000,000","-174,000,000","216,000,000","306,000,000","300,000,000","392,000,000","574,000,000","-85,000,000","452,000,000","325,000,000","266,000,000","145,000,000","334,000,000","362,000,000","314,000,000","142,000,000","261,000,000","302,000,000","318,000,000","-19,000,000","218,000,000","234,000,000","257,000,000","90,000,000","249,000,000","208,000,000","142,000,000","114,205,000","253,960,000","266,227,000","181,608,000","67,167,000","229,069,000","195,778,000","158,158,000","148,041,000","167,829,000","158,170,000","88,045,000","86,966,000","99,852,000","115,118,000","43,758,000","115,768,000","176,124,000","122,744,000","40,980,000","86,160,000","90,176,000","50,833,000","47,493,000","34,609,000","21,560,000","45,170,000","11,892,000","16,125,000","43,170,000","41,600,000","34,943,000","33,403,000","31,293,000","34,914,000","16,172,000","-802,000","24,626,000","21,346,000","22,009,000","19,909,000","17,000,000","14,000,000","15,000,000","7,000,000","6,000,000","5,000,000","6,000,000","-41,000,000","12,000,000","16,000,000","-9,000,000","32,000,000","-17,000,000","30,000,000","29,000,000","28,000,000","25,000,000","23,000,000","21,000,000","13,000,000","16,000,000","-51,000,000","28,000,000","26,000,000","22,000,000","23,000,000","27,000,000","25,000,000","23,000,000","14,000,000","19,000,000","17,000,000","15,000,000","11,000,000","11,000,000","33,000,000","-25,000,000","43,000,000","48,000,000","43,000,000",,,,"44,000,000","48,300,000","48,400,000","43,000,000"
