name,ttm,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999,12/31/1998,09/30/1998,06/30/1998,03/31/1998,12/31/1997,09/30/1997,06/30/1997,03/31/1997,12/31/1996,09/30/1996,06/30/1996,03/31/1996,12/31/1995,09/30/1995,06/30/1995,03/31/1995,12/31/1994,09/30/1994,06/30/1994,03/31/1994,12/31/1993,09/30/1993,06/30/1993,03/31/1993,12/31/1992,09/30/1992,06/30/1992,03/31/1992,12/31/1991,09/30/1991,06/30/1991,03/31/1991,12/31/1990,09/30/1990,06/30/1990,03/31/1990,12/31/1989,09/30/1989,06/30/1989,03/31/1989,12/31/1988,09/30/1988,06/30/1988,03/31/1988,12/31/1987,09/30/1987,06/30/1987,03/31/1987,12/31/1986,09/30/1986,06/30/1986,03/31/1986,12/31/1985,09/30/1985
TotalRevenue,"57,351,000,000","3,259,000,000","17,618,000,000","18,745,000,000","17,729,000,000","20,368,000,000","17,561,000,000","18,123,000,000","17,570,000,000","21,777,000,000","18,027,000,000","19,161,000,000","18,181,000,000","21,760,000,000","18,755,000,000","20,003,000,000","19,071,000,000","22,543,000,000","19,153,000,000","19,289,000,000","18,155,000,000","21,771,000,000","19,227,000,000","20,239,000,000","18,684,000,000","22,060,000,000","19,280,000,000","20,813,000,000","19,590,000,000","24,113,000,000","22,397,000,000","24,363,000,000","22,483,000,000","27,699,000,000","23,721,000,000","24,924,000,000","23,408,000,000","29,304,000,000","24,747,000,000","25,783,000,000","24,673,000,000","29,486,000,000","26,157,000,000","26,666,000,000","24,607,000,000","29,018,000,000","24,271,000,000","23,724,000,000","22,856,000,000","27,230,000,000","23,566,000,000","23,250,000,000","21,711,000,000","27,007,000,000","25,302,000,000","26,178,000,000","23,862,000,000","30,718,000,000","23,490,000,000","23,170,000,000","21,408,000,000","26,258,000,000","22,617,000,000","21,890,000,000","20,659,000,000","24,427,000,000","21,529,000,000","22,270,000,000","22,908,000,000","27,461,000,000","23,429,000,000","23,153,000,000","22,250,000,000","25,913,000,000","21,522,000,000","21,631,000,000","20,065,000,000","23,684,000,000","19,821,000,000","19,651,000,000","18,551,000,000","22,826,000,000","20,428,000,000","21,568,000,000","21,044,000,000","25,616,000,000","21,781,000,000","21,651,000,000","19,348,000,000","24,182,000,000","21,144,000,000","21,905,000,000","20,317,000,000","22,539,000,000","20,095,000,000","18,823,000,000","17,618,000,000","23,723,000,000","18,605,000,000","18,872,000,000","17,308,000,000","21,519,000,000","18,062,000,000","18,183,000,000","16,559,000,000","21,920,000,000","16,754,000,000","17,531,000,000","15,735,000,000","19,896,000,000","15,431,000,000","15,351,000,000","13,373,000,000","19,396,000,000","14,743,000,000","15,519,000,000","13,058,000,000","19,560,000,000","14,702,000,000","16,224,000,000","14,037,000,000","22,082,000,000","14,433,000,000","14,732,000,000","13,545,000,000","23,061,000,000","15,277,000,000","16,495,000,000","14,185,000,000","20,462,000,000","14,305,000,000","15,213,000,000","12,730,000,000","20,937,000,000","13,960,000,000","13,599,000,000","11,749,000,000","18,011,000,000","12,727,000,000","8,510,000,000","6,500,000,000","16,945,000,000","11,910,000,000","12,268,000,000","10,127,000,000","17,155,000,000","11,698,000,000"
	OperatingRevenue,"57,351,000,000","3,259,000,000","17,618,000,000","18,745,000,000","17,729,000,000","20,368,000,000","17,561,000,000","18,123,000,000","17,570,000,000","21,777,000,000","18,027,000,000","19,161,000,000","18,181,000,000","21,760,000,000","18,755,000,000","20,003,000,000","19,071,000,000","22,543,000,000","19,153,000,000","19,289,000,000","18,155,000,000","21,771,000,000","19,227,000,000","20,239,000,000","18,684,000,000","22,060,000,000","19,280,000,000","20,813,000,000","19,590,000,000","24,113,000,000","22,397,000,000","24,363,000,000","22,483,000,000","27,699,000,000","23,721,000,000","24,924,000,000","23,408,000,000","29,304,000,000","24,747,000,000","25,783,000,000","24,673,000,000","29,486,000,000","26,157,000,000","26,666,000,000","24,607,000,000","29,019,000,000","24,271,000,000","23,723,000,000","22,858,000,000","27,230,000,000","23,566,000,000","23,251,000,000","21,711,000,000","27,007,000,000","25,302,000,000","26,179,000,000","23,862,000,000","30,718,000,000","23,490,000,000","23,169,000,000","21,408,000,000","26,257,000,000","22,617,000,000","21,889,000,000","20,659,000,000","24,427,000,000","21,529,000,000","22,270,000,000","22,908,000,000","27,461,000,000","23,429,000,000","23,153,000,000","22,250,000,000","25,913,000,000","21,522,000,000","21,631,000,000","20,065,000,000","23,684,000,000","19,821,000,000","19,651,000,000","18,551,000,000","22,826,000,000","20,428,000,000","21,568,000,000","21,044,000,000","25,616,000,000","21,781,000,000","21,651,000,000","19,348,000,000","24,182,000,000","21,144,000,000","21,905,000,000","20,317,000,000","22,539,000,000","20,095,000,000","18,823,000,000","17,618,000,000","23,723,000,000","18,605,000,000","18,872,000,000","17,308,000,000","21,519,000,000","18,062,000,000","18,183,000,000","16,559,000,000","21,920,000,000","16,754,000,000","17,531,000,000","15,735,000,000","19,896,000,000","15,431,000,000","15,351,000,000","13,373,000,000","19,396,000,000","14,743,000,000","15,519,000,000","13,058,000,000","19,560,000,000","14,702,000,000","16,224,000,000","14,037,000,000","22,082,000,000","14,433,000,000","14,732,000,000","13,545,000,000","23,061,000,000","15,277,000,000","16,495,000,000","14,185,000,000","20,462,000,000","14,305,000,000","15,213,000,000","12,730,000,000","20,937,000,000","13,960,000,000","13,599,000,000","11,749,000,000","18,011,000,000","12,727,000,000","8,510,000,000","6,500,000,000","16,945,000,000","11,910,000,000","12,268,000,000","10,127,000,000","17,155,000,000","11,698,000,000"
CostOfRevenue,"25,865,000,000","-2,849,000,000","9,447,000,000","9,741,000,000","9,525,000,000","9,844,000,000","9,130,000,000","9,423,000,000","9,649,000,000","10,677,000,000","9,692,000,000","10,151,000,000","10,139,000,000","11,073,000,000","9,953,000,000","10,804,000,000","10,825,000,000","11,681,000,000","10,353,000,000","10,495,000,000","10,383,000,000","10,877,000,000","10,213,000,000","10,536,000,000","9,999,000,000","10,652,000,000","9,844,000,000","10,423,000,000","10,138,000,000","11,251,000,000","11,523,000,000","12,389,000,000","11,941,000,000","13,383,000,000","12,341,000,000","12,792,000,000","12,730,000,000","14,137,000,000","13,016,000,000","13,502,000,000","13,555,000,000","14,764,000,000","13,984,000,000","14,282,000,000","13,749,000,000","14,792,000,000","13,270,000,000","12,915,000,000","12,880,000,000","14,085,000,000","12,938,000,000","12,669,000,000","12,280,000,000","14,071,000,000","14,342,000,000","15,221,000,000","14,336,000,000","15,897,000,000","14,163,000,000","13,834,000,000","13,163,000,000","14,556,000,000","13,126,000,000","12,876,000,000","12,571,000,000","13,662,000,000","12,791,000,000","13,495,000,000","14,654,000,000","16,609,000,000","14,783,000,000","14,628,000,000","14,241,000,000","15,938,000,000","13,710,000,000","13,633,000,000","12,832,000,000","14,493,000,000","12,498,000,000","12,381,000,000","12,115,000,000","14,081,000,000","13,037,000,000","13,530,000,000","13,436,000,000","15,947,000,000","13,980,000,000","13,708,000,000","12,337,000,000","15,299,000,000","13,580,000,000","13,681,000,000","13,059,000,000","15,322,000,000","12,628,000,000","11,677,000,000","11,168,000,000","14,205,000,000","11,507,000,000","11,471,000,000","10,716,000,000","12,198,000,000","10,804,000,000","10,992,000,000","9,790,000,000","12,769,000,000","9,833,000,000","9,900,000,000","9,071,000,000","11,810,000,000","9,277,000,000","9,247,000,000","8,433,000,000","10,950,000,000","7,928,000,000","8,472,000,000","6,508,000,000","10,452,000,000","5,560,000,000","7,060,000,000","5,739,000,000","10,078,000,000","6,152,000,000","6,014,000,000","5,079,000,000","9,227,000,000","5,510,000,000","6,580,000,000","5,189,000,000",,,,,,,,,,,,,,,,,,
GrossProfit,"31,486,000,000","6,107,000,000","8,171,000,000","9,004,000,000","8,204,000,000","10,523,000,000","8,430,000,000","8,700,000,000","7,922,000,000","11,100,000,000","8,336,000,000","9,010,000,000","8,043,000,000","10,687,000,000","8,803,000,000","9,199,000,000","8,247,000,000","10,862,000,000","8,800,000,000","8,794,000,000","7,772,000,000","10,893,000,000","9,013,000,000","9,702,000,000","8,686,000,000","11,406,000,000","9,436,000,000","10,390,000,000","9,452,000,000","12,862,000,000","10,874,000,000","11,975,000,000","10,543,000,000","14,316,000,000","11,380,000,000","12,132,000,000","10,678,000,000","15,167,000,000","11,731,000,000","12,281,000,000","11,118,000,000","14,722,000,000","12,173,000,000","12,384,000,000","10,858,000,000","14,227,000,000","11,001,000,000","10,809,000,000","9,976,000,000","13,145,000,000","10,627,000,000","10,581,000,000","9,431,000,000","12,936,000,000","10,960,000,000","10,957,000,000","9,526,000,000","14,821,000,000","9,327,000,000","9,336,000,000","8,245,000,000","11,701,000,000","9,492,000,000","9,014,000,000","8,088,000,000","10,765,000,000","8,738,000,000","8,775,000,000","8,254,000,000","10,852,000,000","8,646,000,000","8,525,000,000","8,009,000,000","9,975,000,000","7,812,000,000","7,998,000,000","7,233,000,000","9,191,000,000","7,323,000,000","7,270,000,000","6,436,000,000","8,745,000,000","7,391,000,000","8,038,000,000","7,608,000,000","9,669,000,000","7,801,000,000","7,943,000,000","7,011,000,000","8,883,000,000","7,564,000,000","8,224,000,000","7,258,000,000","7,217,000,000","7,467,000,000","7,146,000,000","6,450,000,000","9,518,000,000","7,098,000,000","7,401,000,000","6,592,000,000","9,321,000,000","7,258,000,000","7,191,000,000","6,769,000,000","9,151,000,000","6,921,000,000","7,631,000,000","6,664,000,000","8,086,000,000","6,154,000,000","6,104,000,000","4,940,000,000","8,446,000,000","6,815,000,000","7,047,000,000","6,550,000,000","9,108,000,000","9,142,000,000","9,164,000,000","8,298,000,000","12,004,000,000","8,281,000,000","8,718,000,000","8,466,000,000","13,834,000,000","9,767,000,000","9,915,000,000","8,996,000,000",,,,,,,,,,,,,,,,,,
OperatingExpense,"24,654,000,000","4,794,000,000","6,338,000,000","6,857,000,000","6,658,000,000","8,563,000,000","6,027,000,000","6,627,000,000","7,463,000,000","6,834,000,000","6,398,000,000","6,624,000,000","6,002,000,000","5,863,000,000","5,336,000,000","5,931,000,000","6,520,000,000","6,210,000,000","5,674,000,000","6,261,000,000","6,224,000,000","5,889,000,000","5,633,000,000","6,423,000,000","7,156,000,000","6,279,000,000","5,805,000,000","6,278,000,000","6,404,000,000","7,045,000,000","6,389,000,000","6,802,000,000","7,528,000,000","7,274,000,000","6,502,000,000","7,957,000,000","7,016,000,000","6,377,000,000","7,443,000,000","7,425,000,000","7,479,000,000","7,631,000,000","7,207,000,000","7,600,000,000","7,409,000,000","7,539,000,000","6,632,000,000","6,515,000,000","7,186,000,000","7,118,000,000","6,483,000,000","6,548,000,000","6,744,000,000","7,361,000,000","7,223,000,000","7,949,000,000","7,189,000,000","7,601,000,000","6,848,000,000","7,165,000,000","6,598,000,000","7,207,000,000","6,664,000,000","6,438,000,000","6,058,000,000","6,711,000,000","6,079,000,000","7,974,000,000","6,392,000,000","6,751,000,000","6,397,000,000","6,058,000,000","5,851,000,000","6,223,000,000","5,610,000,000","5,686,000,000","5,410,000,000","6,644,000,000","5,200,000,000","6,486,000,000","5,253,000,000","7,430,000,000","5,002,000,000","5,044,000,000","5,011,000,000","5,789,000,000","4,987,000,000","5,136,000,000","4,878,000,000","5,861,000,000","4,884,000,000","4,139,000,000","5,118,000,000","6,481,000,000","5,297,000,000","5,032,000,000","4,898,000,000","6,485,000,000","5,094,000,000","5,179,000,000","4,753,000,000","6,860,000,000","5,290,000,000","5,005,000,000","4,788,000,000","8,480,000,000","4,893,000,000","4,857,000,000","4,546,000,000","6,065,000,000","4,938,000,000","5,026,000,000","4,249,000,000","7,950,000,000","6,844,000,000","15,881,000,000","6,820,000,000","4,218,000,000","13,183,000,000","7,775,000,000","7,130,000,000","13,015,000,000","7,692,000,000","8,363,000,000","7,457,000,000","9,578,000,000","7,714,000,000","7,328,000,000","6,860,000,000",,,,,,,,,,,,,,,,,,
	SellingGeneralAndAdministration,"17,699,000,000","3,084,000,000","4,592,000,000","5,097,000,000","4,927,000,000","6,970,000,000","4,372,000,000","4,894,000,000","5,614,000,000","5,103,000,000","4,735,000,000","5,344,000,000","4,573,000,000","4,583,000,000","4,249,000,000","4,708,000,000","5,322,000,000","5,017,000,000","4,515,000,000","5,015,000,000","5,006,000,000","4,847,000,000","4,628,000,000","5,187,000,000","5,816,000,000","5,030,000,000","4,633,000,000","5,034,000,000","5,200,000,000","5,831,000,000","5,084,000,000","5,442,000,000","6,142,000,000","5,817,000,000","5,125,000,000","6,568,000,000","5,465,000,000","5,813,000,000","5,810,000,000","5,753,000,000","5,800,000,000","5,915,000,000","5,586,000,000","5,951,000,000","5,762,000,000","5,845,000,000","5,106,000,000","4,984,000,000","5,611,000,000","5,444,000,000","4,965,000,000","5,017,000,000","5,094,000,000","5,833,000,000","5,644,000,000","6,289,000,000","5,620,000,000","6,016,000,000","5,324,000,000","5,631,000,000","5,089,000,000","5,620,000,000","5,121,000,000","4,916,000,000","4,602,000,000","5,252,000,000","4,632,000,000","6,497,000,000","4,933,000,000","5,290,000,000","4,978,000,000","4,632,000,000","4,484,000,000","4,874,000,000","4,303,000,000","4,460,000,000","4,215,000,000","5,440,000,000","3,987,000,000","5,288,000,000","4,053,000,000","5,883,000,000","3,741,000,000","3,765,000,000","3,808,000,000","4,340,000,000","3,726,000,000","3,867,000,000","3,706,000,000","4,445,000,000","3,501,000,000","2,846,000,000","3,937,000,000","5,074,000,000","4,057,000,000","3,812,000,000","3,719,000,000","5,060,000,000","3,932,000,000","3,958,000,000","3,684,000,000","5,093,000,000","4,175,000,000","3,889,000,000","3,697,000,000","5,392,000,000","3,858,000,000","3,883,000,000","3,633,000,000","4,947,000,000","3,885,000,000","3,935,000,000","4,249,000,000","6,914,000,000","5,631,000,000","14,808,000,000","5,432,000,000","3,438,000,000","10,170,000,000","6,474,000,000","5,965,000,000","11,410,000,000","6,572,000,000","7,196,000,000","6,199,000,000","8,475,000,000","6,547,000,000","6,520,000,000","5,721,000,000",,,,,,,,,,,,,,,,,,
		GeneralAndAdministrativeExpense,"16,286,000,000","2,770,000,000","4,243,000,000","4,698,000,000","4,575,000,000","6,580,000,000","4,011,000,000","4,531,000,000","5,186,000,000","4,690,000,000","4,354,000,000","4,923,000,000","4,141,000,000","4,248,000,000","3,926,000,000","4,301,000,000","4,921,000,000","4,662,000,000","4,178,000,000","4,625,000,000","4,643,000,000","4,571,000,000","4,287,000,000","4,826,000,000","5,468,000,000","4,708,000,000","4,318,000,000","4,693,000,000","4,887,000,000","5,515,000,000","4,778,000,000","5,095,000,000","5,804,000,000","5,494,000,000","4,825,000,000","6,220,000,000","5,142,000,000","5,463,000,000","5,480,000,000","5,409,000,000","5,484,000,000","5,570,000,000","5,247,000,000","5,585,000,000","5,439,000,000","5,474,000,000","4,769,000,000","4,655,000,000","5,311,000,000","5,103,000,000","4,642,000,000","4,717,000,000","4,807,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			SalariesAndWages,"736,000,000","64,000,000","156,000,000","247,000,000","269,000,000","2,224,000,000","147,000,000","292,000,000","845,000,000","157,000,000","171,000,000","588,000,000","93,000,000","105,000,000","121,000,000","111,000,000","621,000,000","387,000,000","280,000,000","357,000,000","516,000,000","297,000,000","304,000,000","304,000,000","1,276,000,000","299,000,000","396,000,000","463,000,000","810,000,000","862,000,000","306,000,000","282,000,000","1,192,000,000","372,000,000","369,000,000","1,370,000,000","383,000,000","1,116,000,000","484,000,000","310,000,000","336,000,000","279,000,000","264,000,000","277,000,000","519,000,000","279,000,000","263,000,000","246,000,000","836,000,000","287,000,000","226,000,000","239,000,000","461,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			OtherGandA,"15,550,000,000","2,706,000,000","4,087,000,000","4,451,000,000","4,306,000,000","4,356,000,000","3,864,000,000","4,239,000,000","4,341,000,000","4,533,000,000","4,183,000,000","4,335,000,000","4,048,000,000","4,143,000,000","3,805,000,000","4,190,000,000","4,300,000,000","4,275,000,000","3,898,000,000","4,268,000,000","4,127,000,000","4,274,000,000","3,983,000,000","4,522,000,000","4,192,000,000","4,409,000,000","3,922,000,000","4,230,000,000","4,077,000,000","4,653,000,000","4,472,000,000","4,813,000,000","4,612,000,000","5,122,000,000","4,456,000,000","4,850,000,000","4,759,000,000","4,347,000,000","4,996,000,000","5,099,000,000","5,148,000,000","5,291,000,000","4,983,000,000","5,308,000,000","4,920,000,000","5,195,000,000","4,506,000,000","4,409,000,000","4,475,000,000","4,816,000,000","4,416,000,000","4,478,000,000","4,346,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		SellingAndMarketingExpense,"1,413,000,000","314,000,000","349,000,000","399,000,000","352,000,000","390,000,000","361,000,000","363,000,000","428,000,000","413,000,000","381,000,000","421,000,000","432,000,000","335,000,000","323,000,000","407,000,000","401,000,000","355,000,000","337,000,000","390,000,000","363,000,000","276,000,000","341,000,000","361,000,000","348,000,000","322,000,000","315,000,000","341,000,000","313,000,000","316,000,000","306,000,000","347,000,000","338,000,000","323,000,000","300,000,000","348,000,000","323,000,000","350,000,000","330,000,000","344,000,000","316,000,000","345,000,000","339,000,000","366,000,000","323,000,000","371,000,000","337,000,000","329,000,000","300,000,000","341,000,000","323,000,000","300,000,000","287,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
