name,ttm,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999,12/31/1998,09/30/1998,06/30/1998,03/31/1998,12/31/1997,09/30/1997,06/30/1997,03/31/1997,12/31/1996,09/30/1996,06/30/1996,03/31/1996,12/31/1995,09/30/1995,06/30/1995,03/31/1995,12/31/1994,09/30/1994,06/30/1994,03/31/1994,12/31/1993,09/30/1993,06/30/1993,03/31/1993,12/31/1992,09/30/1992,06/30/1992,03/31/1992,12/31/1991,09/30/1991,06/30/1991,03/31/1991
TotalRevenue,"3,215,360,000","801,090,000","810,421,000","826,142,000","777,707,000","720,938,000","721,789,000","637,592,000","626,336,000","605,446,000","605,303,000","620,103,000","576,056,000","549,386,000","545,448,000","580,752,000","537,656,000","506,121,000","491,976,000","508,940,000","462,021,000","442,996,000","448,308,000","466,569,000","417,550,000","399,685,000","406,387,000","413,343,000","382,477,000","351,959,000","383,523,000","390,122,000","360,203,000","354,073,000","338,297,000","352,583,000","332,106,000","319,538,000","315,475,000","335,649,000","322,676,000","307,201,000","300,954,000","317,862,000","292,672,000","283,757,000","269,628,000","281,482,000","268,525,000","270,335,000","259,120,000","265,723,000","236,455,000","243,293,000","251,093,000","280,570,000","249,074,000","244,969,000","229,385,000","237,046,000","211,155,000","192,209,000","187,380,000","191,364,000","168,164,000","166,970,000","158,069,000","160,630,000","152,426,000","144,274,000","134,111,000","137,379,000","133,417,000","124,838,000","120,061,000","121,846,000","109,247,000","105,895,000","104,534,000","105,690,000","96,551,000","95,132,000","97,522,000","102,001,000","91,426,000","92,619,000","90,384,000","93,552,000","90,878,000","88,600,000","86,400,000","91,500,000","89,600,000","82,700,000","78,500,000","80,900,000","77,800,000","71,800,000","71,700,000","58,900,000","60,500,000","74,600,000","69,800,000","65,900,000","57,400,000","54,200,000","48,700,000","46,500,000","39,200,000","36,000,000","31,900,000","31,100,000","27,400,000","26,800,000","23,800,000","23,100,000","19,500,000","16,400,000","14,700,000","14,800,000","11,800,000","9,300,000","7,500,000","7,400,000","6,300,000"
	OperatingRevenue,"3,215,360,000","801,090,000","810,421,000","826,142,000","777,707,000","720,938,000","721,789,000","637,592,000","626,336,000","605,446,000","605,303,000","620,103,000","576,056,000","549,386,000","545,448,000","580,752,000","537,656,000","506,121,000","491,976,000","508,940,000","462,021,000","442,996,000","448,308,000","466,569,000","417,550,000","399,685,000","406,387,000","413,343,000","382,477,000","351,959,000","383,523,000","390,122,000","360,203,000","354,073,000","338,297,000","352,583,000","332,106,000","319,538,000","315,475,000","335,649,000","322,676,000","307,201,000","300,954,000","317,862,000","292,672,000","283,757,000","269,628,000","281,482,000","268,525,000","270,335,000","259,120,000","265,723,000","236,455,000","243,293,000","251,093,000","280,570,000","249,074,000","244,969,000","229,385,000","237,046,000","211,155,000","192,209,000","187,380,000","191,364,000","168,164,000","166,970,000","158,069,000","160,630,000","152,426,000","144,274,000","134,111,000","137,379,000","133,417,000","124,838,000","120,061,000","121,846,000","109,247,000","105,895,000","104,534,000","105,690,000","96,551,000","95,132,000","97,522,000","102,001,000","91,426,000","92,619,000","90,384,000","93,552,000","90,878,000","88,600,000","86,400,000","91,500,000","89,600,000","82,700,000","78,500,000","80,900,000","77,800,000","71,800,000","71,700,000","58,900,000","60,500,000","74,600,000","69,800,000","65,900,000","57,400,000","54,200,000","48,700,000","46,500,000","39,200,000","36,000,000","31,900,000","31,100,000","27,400,000","26,800,000","23,800,000","23,100,000","19,500,000","16,400,000","14,700,000","14,800,000","11,800,000","9,300,000","7,500,000","7,400,000","6,300,000"
CostOfRevenue,"1,325,928,000","344,669,000","337,500,000","336,834,000","306,925,000","311,436,000","299,183,000","258,250,000","266,746,000","274,297,000","260,353,000","262,250,000","244,459,000","249,025,000","239,805,000","248,313,000","234,557,000","233,647,000","217,974,000","216,225,000","203,830,000","202,370,000","201,578,000","206,026,000","190,013,000","181,990,000","182,113,000","180,586,000","166,933,000","169,794,000","170,187,000","171,604,000","158,106,000","165,408,000","152,514,000","154,885,000","148,132,000","150,488,000","144,840,000","150,960,000","147,902,000","148,320,000","142,287,000","143,829,000","137,747,000","138,986,000","127,421,000","132,198,000","126,164,000","137,404,000","128,643,000","127,283,000","112,022,000","122,772,000","122,944,000","129,310,000","119,238,000","122,725,000","110,907,000","122,825,000","102,576,000","95,940,000","89,181,000","92,328,000","82,139,000","82,054,000","76,740,000","80,055,000","76,346,000","75,363,000","63,053,000","65,377,000","66,371,000","64,757,000","60,971,000","62,175,000","57,785,000","56,886,000","53,774,000","55,795,000","53,490,000","51,600,000","51,101,000","52,488,000","42,412,000","44,320,000","42,704,000","42,007,000","41,744,000","41,100,000","40,700,000","42,700,000","40,500,000","36,600,000","34,700,000","36,600,000","34,300,000","35,700,000","32,100,000","26,200,000","25,900,000","27,500,000","25,900,000","27,200,000","22,400,000","22,700,000","19,600,000","18,100,000","15,000,000","14,000,000","12,500,000","12,000,000","10,300,000","10,000,000","8,400,000","8,600,000","8,000,000","6,400,000","5,000,000","5,400,000","4,800,000","3,300,000","2,900,000","3,000,000",
GrossProfit,"1,889,432,000","456,421,000","472,921,000","489,308,000","470,782,000","409,502,000","422,606,000","379,342,000","359,590,000","331,149,000","344,950,000","357,853,000","331,597,000","300,361,000","305,643,000","332,439,000","303,099,000","272,474,000","274,002,000","292,715,000","258,191,000","240,626,000","246,730,000","260,543,000","227,537,000","217,695,000","224,274,000","232,757,000","215,544,000","182,165,000","213,336,000","218,518,000","202,097,000","188,665,000","185,783,000","197,698,000","183,974,000","169,050,000","170,635,000","184,689,000","174,774,000","158,881,000","158,667,000","174,033,000","154,925,000","144,771,000","142,207,000","149,284,000","142,361,000","132,931,000","130,477,000","138,440,000","124,433,000","120,521,000","128,149,000","151,260,000","129,836,000","122,244,000","118,478,000","114,221,000","108,579,000","96,269,000","98,199,000","99,036,000","86,025,000","84,916,000","81,329,000","80,575,000","76,080,000","68,911,000","71,058,000","72,002,000","67,046,000","60,081,000","59,090,000","59,671,000","51,462,000","49,009,000","50,760,000","49,895,000","43,061,000","43,532,000","46,421,000","49,513,000","49,014,000","48,299,000","47,680,000","51,545,000","49,134,000","47,500,000","45,700,000","48,800,000","49,100,000","46,100,000","43,800,000","44,300,000","43,500,000","36,100,000","39,600,000","32,700,000","34,600,000","47,100,000","43,900,000","38,700,000","35,000,000","31,500,000","29,100,000","28,400,000","24,200,000","22,000,000","19,400,000","19,100,000","17,100,000","16,800,000","15,400,000","14,500,000","11,500,000","10,000,000","9,700,000","9,400,000","7,000,000","6,000,000","4,600,000","4,400,000",
OperatingExpense,"957,404,000","257,230,000","246,959,000","230,055,000","223,160,000","224,407,000","250,750,000","186,094,000","215,265,000","215,518,000","205,148,000","193,578,000","198,459,000","185,014,000","188,293,000","186,845,000","190,055,000","174,666,000","173,589,000","170,151,000","165,948,000","156,801,000","158,271,000","156,381,000","153,744,000","150,784,000","144,167,000","144,454,000","142,741,000","147,364,000","141,147,000","135,299,000","132,051,000","127,337,000","120,298,000","118,935,000","122,786,000","105,623,000","107,723,000","108,872,000","114,367,000","103,582,000","102,571,000","102,735,000","101,393,000","93,967,000","92,393,000","94,449,000","93,933,000","88,784,000","86,272,000","89,264,000","85,992,000","84,672,000","89,152,000","92,369,000","91,117,000","85,502,000","82,381,000","81,754,000","77,702,000","66,799,000","63,737,000","62,010,000","59,050,000","54,732,000","51,206,000","51,689,000","49,942,000","45,636,000","42,654,000","40,947,000","41,745,000","44,761,000","35,804,000","35,337,000","34,015,000","30,509,000","32,460,000","31,196,000","32,175,000","28,663,000","30,974,000","34,465,000","32,677,000","33,949,000","34,166,000","37,666,000","37,626,000","34,700,000","33,700,000","37,200,000","38,800,000","36,100,000","35,900,000","37,600,000","38,900,000","37,000,000","37,600,000","37,900,000","35,000,000","33,500,000","31,200,000","27,600,000","25,400,000","21,700,000","20,200,000","20,400,000","17,900,000","15,000,000","13,600,000","13,600,000","12,800,000","11,000,000","11,800,000","11,700,000","9,700,000","8,200,000","8,100,000","8,100,000","6,500,000","4,900,000","3,900,000","3,900,000",
	SellingGeneralAndAdministration,"796,395,000","211,924,000","206,532,000","192,358,000","185,581,000","185,630,000","213,233,000","154,449,000","181,955,000","180,358,000","170,888,000","161,319,000","166,945,000","154,876,000","159,101,000","157,335,000","161,032,000","145,857,000","146,004,000","143,153,000","140,158,000","131,383,000","132,599,000","130,969,000","129,124,000","125,288,000","119,305,000","120,137,000","117,735,000","122,495,000","116,300,000","109,866,000","108,937,000","104,841,000","98,730,000","96,754,000","101,028,000","84,573,000","87,374,000","88,814,000","93,810,000","83,379,000","83,165,000","84,114,000","83,581,000","76,488,000","75,190,000","77,243,000","77,224,000","72,776,000","69,689,000","72,670,000","70,053,000","67,488,000","71,232,000","74,095,000","73,822,000","68,733,000","65,100,000","64,437,000","61,731,000","52,848,000","50,041,000","48,718,000","46,372,000","44,096,000","40,663,000","41,694,000","40,168,000","36,263,000","33,830,000","32,262,000","33,225,000","36,459,000","27,428,000","27,033,000","26,678,000","23,427,000","25,121,000","23,470,000","25,563,000","22,226,000","24,018,000","26,857,000","25,252,000","21,014,000","22,689,000","25,628,000","26,302,000","24,000,000","23,200,000","25,500,000","27,300,000","25,500,000","26,900,000","29,400,000","29,300,000","28,000,000","29,300,000","30,300,000","28,500,000","26,900,000","24,600,000","23,100,000","20,500,000","17,900,000","16,100,000","16,300,000","14,200,000","11,700,000","10,500,000","10,400,000","9,700,000","10,400,000","10,700,000","10,600,000","8,700,000","7,700,000","7,100,000","7,000,000","5,600,000","4,400,000","3,700,000","3,700,000",
		GeneralAndAdministrativeExpense,"309,660,000","83,466,000","82,098,000","73,326,000","70,770,000","69,721,000","105,031,000","60,268,000","65,812,000","74,664,000","66,337,000","59,955,000","60,361,000","58,972,000","63,955,000","61,080,000","60,931,000","55,318,000","57,186,000","55,460,000","52,914,000","50,778,000","52,627,000","54,317,000","49,295,000","48,793,000","46,198,000","44,920,000","42,599,000","45,257,000","45,698,000","41,846,000","41,089,000","40,990,000","38,651,000","38,858,000","41,631,000","31,849,000","35,307,000","34,275,000","36,178,000","31,170,000","32,483,000","33,140,000","32,596,000","29,931,000","30,704,000","33,076,000","32,808,000","29,393,000","28,185,000","30,794,000","29,068,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			OtherGandA,"309,660,000","83,466,000","82,098,000","73,326,000","70,770,000","69,721,000","105,031,000","60,268,000","65,812,000","74,664,000","66,337,000","59,955,000","60,361,000","58,972,000","63,955,000","61,080,000","60,931,000","55,318,000","57,186,000","55,460,000","52,914,000","50,778,000","52,627,000","54,317,000","49,295,000","48,793,000","46,198,000","44,920,000","42,599,000","45,257,000","45,698,000","41,846,000","41,089,000","40,990,000","38,651,000","38,858,000","41,631,000","31,849,000","35,307,000","34,275,000","36,178,000","31,170,000","32,483,000","33,140,000","32,596,000","29,931,000","30,704,000","33,076,000","32,808,000","29,393,000","28,185,000","30,794,000","29,068,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		SellingAndMarketingExpense,"486,735,000","128,458,000","124,434,000","119,032,000","114,811,000","115,909,000","108,202,000","94,181,000","116,143,000","105,694,000","104,551,000","101,364,000","106,584,000","95,904,000","95,146,000","96,255,000","100,101,000","90,539,000","88,818,000","87,693,000","87,244,000","80,605,000","79,972,000","76,652,000","79,829,000","76,495,000","73,107,000","75,217,000","75,136,000","77,238,000","70,602,000","68,020,000","67,848,000","63,851,000","60,079,000","57,896,000","59,397,000","52,724,000","52,067,000","54,539,000","57,632,000","52,209,000","50,682,000","50,974,000","50,985,000","46,557,000","44,486,000","44,167,000","44,416,000","43,383,000","41,504,000","41,876,000","40,985,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
	ResearchAndDevelopment,"161,009,000","45,306,000","40,427,000","37,697,000","37,579,000","38,777,000","37,517,000","31,645,000","33,310,000","35,160,000","34,260,000","32,259,000","31,514,000","30,138,000","29,192,000","29,510,000","29,023,000","28,809,000","27,585,000","26,998,000","25,790,000","25,418,000","25,672,000","25,412,000","24,620,000","25,496,000","24,862,000","24,317,000","25,006,000","24,869,000","24,847,000","25,433,000","23,114,000","22,496,000","21,568,000","22,181,000","21,758,000","21,050,000","20,349,000","20,058,000","20,557,000","20,203,000","19,406,000","18,621,000","17,812,000","17,479,000","17,203,000","17,206,000","16,709,000","16,008,000","16,583,000","16,594,000","15,939,000","17,184,000","17,920,000","18,274,000","17,295,000","16,769,000","17,281,000","17,317,000","15,971,000","13,951,000","13,696,000","13,292,000","12,678,000","10,636,000","10,543,000","9,995,000","9,774,000","9,373,000","8,824,000","8,685,000","8,520,000","8,302,000","8,376,000","8,304,000","7,337,000","7,082,000","7,339,000","7,726,000","7,182,000","6,437,000","6,956,000","7,608,000","7,425,000","7,556,000","6,750,000","7,193,000","6,794,000","6,300,000","6,300,000","7,500,000","7,200,000","6,400,000","5,200,000","4,900,000","5,000,000","5,100,000","4,600,000","3,800,000","3,500,000","3,200,000","3,100,000","3,100,000","2,800,000","2,500,000","2,600,000","2,700,000","2,500,000","1,900,000","2,200,000","2,100,000","2,000,000",,,,,,,,,,,,
