name,ttm,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999,12/31/1998,09/30/1998,06/30/1998,03/31/1998,12/31/1997,09/30/1997,06/30/1997,03/31/1997,12/31/1996,09/30/1996,06/30/1996,03/31/1996,12/31/1995,09/30/1995,06/30/1995,03/31/1995,12/31/1994,09/30/1994,06/30/1994,03/31/1994,12/31/1993,09/30/1993
TotalRevenue,"2,986,267,000","862,853,000","812,987,000","705,709,000","604,718,000","789,509,000","620,643,000","688,043,000","568,507,000","579,389,000","551,581,000","529,932,000","497,857,000","528,402,000","449,683,000","521,516,000","382,282,000","444,156,000","381,534,000","326,444,000","384,082,000","326,498,000","269,469,000","246,288,000","263,464,000","243,881,000","187,611,000","162,984,000","159,275,000","123,973,000","198,147,000","99,582,000","89,792,000","97,072,000","85,123,000","101,675,000","71,077,000","113,846,000","60,492,000","86,542,000","36,179,000","28,890,000","16,782,000","16,811,000","31,973,000","85,870,000","16,872,000","49,847,000","17,288,000","6,866,000","939,000","789,000","671,000","938,000","1,061,000","614,000","1,307,000","9,752,000","6,690,000","10,576,000","7,422,000","7,056,000","7,268,000","6,855,000","6,465,000","1,028,000","1,228,000","2,676,000","2,915,000","-1,052,000","3,393,000","5,163,000","6,641,000","10,298,000","13,249,000","11,036,000","12,509,000","21,149,000","22,390,000","29,059,000","29,014,000","54,772,000","57,319,000","56,051,000","51,121,000","55,416,000","51,982,000","46,015,000","40,754,000","46,100,000","35,400,000","37,900,000","37,600,000","36,600,000","34,700,000","33,100,000","30,400,000","26,700,000","22,700,000","21,200,000","17,900,000","14,200,000","12,900,000","7,600,000","5,600,000","4,900,000","2,900,000","2,000,000","1,500,000","100,000","100,000","100,000","100,000","0","100,000"
	OperatingRevenue,"2,986,267,000","862,853,000","812,987,000","705,709,000","604,718,000","789,509,000","620,643,000","688,043,000","568,507,000","579,389,000","551,581,000","529,932,000","497,857,000","528,344,000","449,638,000","521,477,000","382,221,000","444,123,000","381,516,000","326,436,000","384,028,000","326,492,000","269,463,000","246,288,000","263,384,000","243,881,000","187,611,000","162,984,000","159,217,000","123,970,000","198,144,000","99,579,000","89,691,000","97,048,000","85,122,000","101,636,000","70,935,000","113,388,000","60,492,000","86,542,000","36,179,000","28,890,000","16,782,000","16,811,000","31,973,000","85,870,000","16,872,000","49,847,000","17,288,000","6,866,000","939,000","789,000","671,000","938,000","1,061,000","614,000","1,307,000","9,752,000","6,690,000","10,576,000","7,422,000","7,056,000","7,268,000","6,855,000","6,465,000","1,028,000","1,228,000","2,676,000","2,915,000","-1,052,000","3,393,000","5,163,000","6,641,000","10,298,000","13,249,000","11,036,000","12,509,000","21,149,000","22,390,000","29,059,000","29,014,000","54,772,000","57,319,000","56,051,000","51,121,000","55,416,000","51,982,000","46,015,000","40,754,000","46,100,000","35,400,000","37,900,000","37,600,000","36,600,000","34,700,000","33,100,000","30,400,000","26,700,000","22,700,000","21,200,000","17,900,000","14,200,000","12,900,000","7,600,000","5,600,000","4,900,000","2,900,000","2,000,000","1,500,000","100,000","100,000","100,000","100,000","0","100,000"
CostOfRevenue,"151,000,000","43,900,000","39,900,000","38,000,000","29,200,000","36,300,000","34,300,000","33,400,000","27,319,000","32,166,000","30,040,000","29,406,000","22,588,000","26,343,000","24,795,000","24,856,000","18,106,000","22,380,000","22,036,000","20,260,000","14,824,000","19,623,000","20,205,000","12,367,000","6,005,000","9,704,000","8,040,000","6,254,000","2,974,000","2,428,000","221,000","187,000","168,000","167,000","155,000","157,000","150,000","99,000","31,000","16,000","11,000","0","0","0","0","0","0","0","0","0","0","0","0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-12,604,000","-8,679,000","-9,634,000","-8,415,000","-8,114,000","-7,000,000","-5,900,000","-6,400,000","-5,400,000","-5,800,000","-4,300,000","-4,000,000","-3,700,000","-3,100,000","-2,700,000","-2,400,000","-2,200,000","-2,200,000","-2,000,000","-1,300,000","-1,000,000","-900,000","-600,000","-600,000","-400,000","-300,000","-200,000","1,400,000",,"1,000,000","900,000"
GrossProfit,"2,835,267,000","818,953,000","773,087,000","667,709,000","575,518,000","753,209,000","586,343,000","654,643,000","541,188,000","547,223,000","521,541,000","500,526,000","475,269,000","502,059,000","424,888,000","496,660,000","364,176,000","421,776,000","359,498,000","306,184,000","369,258,000","306,875,000","249,264,000","233,921,000","257,459,000","234,177,000","179,571,000","156,730,000","156,301,000","121,545,000","197,926,000","99,395,000","89,624,000","96,905,000","84,968,000","101,518,000","70,927,000","113,747,000","60,461,000","86,526,000","36,168,000","28,890,000","16,782,000","16,811,000","31,973,000","85,870,000","16,872,000","49,847,000","17,288,000","6,866,000","939,000","789,000","671,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"63,725,000","64,095,000","61,616,000","54,430,000","48,868,000","53,100,000","41,300,000","44,300,000","43,000,000","42,400,000","39,000,000","37,100,000","34,100,000","29,800,000","25,400,000","23,600,000","20,100,000","16,400,000","14,900,000","8,900,000","6,600,000","5,800,000","3,500,000","2,600,000","1,900,000","400,000","300,000","-1,300,000",,"-1,000,000","-800,000"
OperatingExpense,"2,234,798,000","706,570,000","534,794,000","522,254,000","471,180,000","585,374,000","573,898,000","417,854,000","1,198,565,000","449,044,000","383,944,000","395,306,000","394,528,000","412,596,000","389,049,000","406,118,000","424,601,000","544,767,000","360,883,000","291,911,000","495,206,000","257,670,000","218,960,000","187,061,000","221,420,000","169,099,000","179,672,000","164,124,000","163,236,000","147,169,000","127,983,000","125,582,000","112,559,000","113,046,000","98,151,000","84,199,000","75,024,000","83,493,000","70,599,000","71,307,000","70,356,000","73,029,000","58,886,000","57,925,000","47,798,000","43,559,000","38,928,000","36,223,000","37,118,000","48,087,000","32,502,000","33,527,000","34,917,000","42,710,000","40,954,000","41,317,000","37,309,000","36,655,000","28,631,000","26,836,000","27,598,000","29,720,000","23,012,000","26,035,000","28,633,000","27,622,000","30,365,000","29,736,000","20,908,000","33,041,000","23,733,000","66,106,000","40,118,000","48,747,000","37,169,000","37,564,000","38,666,000","39,919,000","59,854,000","51,836,000","47,911,000","69,148,000","68,548,000","73,746,000","72,520,000","81,146,000","77,362,000","68,822,000","64,269,000","59,900,000","51,800,000","52,000,000","45,000,000","41,600,000","36,000,000","32,800,000","30,000,000","26,400,000","23,500,000","22,100,000","19,500,000","16,600,000","15,600,000","11,100,000","9,400,000","8,300,000","6,600,000","5,700,000","4,100,000","4,700,000","3,400,000","1,100,000","2,300,000","300,000","400,000"
	SellingGeneralAndAdministration,"739,600,000","226,200,000","190,700,000","168,900,000","153,800,000","167,000,000","120,800,000","118,000,000","111,148,000","136,177,000","102,608,000","105,943,000","123,983,000","108,358,000","96,522,000","108,029,000","121,498,000","97,829,000","91,271,000","90,072,000","87,234,000","96,085,000","75,776,000","66,792,000","64,596,000","52,467,000","47,599,000","51,679,000","44,871,000","48,452,000","39,446,000","40,899,000","36,974,000","38,027,000","26,447,000","23,249,000","22,261,000","23,729,000","20,520,000","19,719,000","21,396,000","21,152,000","14,282,000","11,858,000","10,825,000","10,765,000","8,458,000","7,485,000","5,794,000","13,833,000","4,841,000","4,086,000","4,821,000","4,611,000","4,005,000","4,103,000","4,354,000","4,424,000","3,587,000","3,535,000","3,692,000","6,161,000","3,454,000","3,421,000","3,876,000","3,680,000","3,009,000","2,734,000","3,144,000","15,149,000","5,104,000","40,541,000","13,934,000","5,311,000","8,550,000","7,694,000","8,480,000","6,307,000","12,447,000","12,748,000","14,168,000","17,588,000","17,886,000","18,591,000","16,561,000","18,532,000","15,848,000","15,000,000","14,821,000","10,300,000","9,000,000","9,500,000","8,400,000","8,200,000","6,900,000","5,700,000","4,600,000","3,400,000","3,300,000","2,900,000","2,600,000","2,500,000","1,700,000","1,000,000","1,000,000","1,300,000","1,000,000","700,000","500,000","4,400,000","3,200,000","900,000","2,100,000","200,000","300,000"
		GeneralAndAdministrativeExpense,"739,600,000","226,200,000","190,700,000","168,900,000","153,800,000","167,000,000","120,800,000","118,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			SalariesAndWages,"289,400,000","76,500,000","74,200,000","73,600,000","65,100,000","60,000,000","56,700,000","48,500,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			OtherGandA,"450,200,000","149,700,000","116,500,000","95,300,000","88,700,000","107,000,000","64,100,000","69,500,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
	ResearchAndDevelopment,"1,458,179,000","472,827,000","334,945,000","343,511,000","306,896,000","405,945,000","438,109,000","286,601,000","1,085,287,000","312,867,000","281,336,000","289,363,000","270,545,000","304,238,000","292,527,000","298,089,000","303,103,000","446,938,000","269,612,000","201,839,000","407,972,000","161,585,000","143,184,000","120,269,000","156,824,000","116,632,000","132,073,000","112,445,000","118,365,000","98,717,000","88,537,000","84,683,000","75,585,000","75,019,000","71,704,000","60,950,000","52,763,000","59,764,000","50,079,000","51,588,000","48,960,000","51,877,000","44,604,000","46,047,000","36,282,000","32,774,000","30,609,000","28,883,000","31,439,000","34,283,000","26,535,000","29,035,000","29,587,000","38,326,000","36,949,000","38,132,000","32,955,000","32,638,000","25,044,000","23,301,000","23,906,000","23,559,000","19,558,000","19,724,000","24,757,000","23,942,000","27,356,000","26,556,000","17,764,000","17,892,000","18,629,000","25,565,000","26,184,000","27,570,000","28,619,000","29,870,000","30,186,000","33,612,000","47,406,000","37,717,000","33,743,000","51,560,000","50,662,000","55,155,000","55,959,000","53,935,000","51,880,000","45,407,000","41,334,000","42,600,000","36,900,000","36,100,000","31,200,000","27,600,000","24,800,000","23,100,000","21,700,000","19,900,000","17,500,000","16,800,000","14,700,000","11,900,000","11,900,000","8,800,000","7,400,000","6,100,000","5,000,000","4,400,000","3,200,000",,,,,,
