name,ttm,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999,12/31/1998,09/30/1998,06/30/1998,03/31/1998,12/31/1997,09/30/1997,06/30/1997,03/31/1997,12/31/1996,09/30/1996,06/30/1996,03/31/1996,12/31/1995,09/30/1995,06/30/1995,03/31/1995,12/31/1994,09/30/1994,06/30/1994,03/31/1994,12/31/1993,09/30/1993,06/30/1993,03/31/1993,12/31/1992,09/30/1992,06/30/1992,03/31/1992,12/31/1991,09/30/1991,06/30/1991,03/31/1991,12/31/1990,09/30/1990,06/30/1990,03/31/1990,12/31/1989,09/30/1989,06/30/1989,03/31/1989,12/31/1988,09/30/1988,06/30/1988,03/31/1988,12/31/1987,09/30/1987,06/30/1987,03/31/1987,12/31/1986,09/30/1986,06/30/1986,03/31/1986,12/31/1985,09/30/1985
TotalRevenue,"10,240,700,000","2,932,100,000","2,542,000,000","2,509,600,000","2,257,000,000","2,550,000,000","2,125,500,000","2,025,700,000","2,359,800,000","2,901,800,000","2,438,100,000","2,520,200,000","2,361,200,000","2,856,000,000","2,297,500,000","2,391,800,000","2,169,100,000","2,341,000,000","1,902,600,000","1,884,900,000","1,753,900,000","2,264,500,000","1,922,200,000","1,917,900,000","1,742,000,000","2,196,200,000","1,865,500,000","1,876,100,000","1,676,000,000","2,207,100,000","1,841,100,000","1,851,400,000","1,637,500,000","2,122,700,000","1,700,400,000","1,756,200,000","1,543,000,000","2,063,300,000","1,670,400,000","1,715,700,000","1,506,800,000","2,072,600,000","1,726,500,000","1,740,700,000","1,474,800,000","2,012,000,000","1,560,800,000","1,617,800,000","1,341,300,000","1,801,200,000","1,426,700,000","1,474,400,000","1,325,300,000","1,901,800,000","1,740,000,000","1,835,700,000","1,485,200,000","1,982,500,000","1,559,900,000","1,652,700,000","1,359,100,000","1,877,100,000","1,453,800,000","1,532,900,000","1,327,000,000","1,885,600,000","1,442,200,000","1,616,200,000","1,330,300,000","1,939,000,000","1,508,800,000","1,544,100,000","1,395,100,000","1,629,400,000","1,418,900,000","1,499,400,000","1,433,000,000","1,668,700,000","1,502,200,000","1,612,700,000","1,420,000,000","1,715,900,000","1,605,700,000","1,743,415,000","1,302,199,000","1,689,003,000","1,320,439,000","1,418,192,000","1,089,638,000","1,401,200,000","1,021,400,000","1,096,600,000","908,100,000","1,302,600,000","837,400,000","943,200,000","719,400,000","992,800,000","723,500,000","788,600,000","583,400,000","788,300,000","567,700,000","675,300,000","506,200,000","669,600,000","492,500,000","557,200,000","460,400,000","625,300,000","440,500,000","497,500,000","421,000,000","509,300,000","411,000,000","483,800,000","389,800,000","482,600,000","435,800,000","485,300,000","400,700,000","523,200,000","401,000,000","399,500,000","353,800,000","425,300,000","316,000,000","342,400,000","284,500,000","380,100,000","283,300,000","317,100,000","276,500,000","397,900,000","268,600,000","282,600,000","242,800,000","273,500,000","217,600,000","249,600,000","202,500,000","240,400,000","190,700,000","215,300,000","167,900,000","181,600,000","156,200,000"
	OperatingRevenue,"10,240,700,000","2,932,100,000","2,542,000,000","2,509,600,000","2,257,000,000","2,550,000,000","2,125,500,000","2,025,700,000","2,359,800,000","2,901,800,000","2,438,100,000","2,520,200,000","2,361,200,000","2,856,000,000","2,297,500,000","2,391,800,000","2,169,100,000","2,341,000,000","1,902,600,000","1,884,900,000","1,753,900,000","2,264,500,000","1,922,200,000","1,917,900,000","1,742,000,000","2,196,200,000","1,865,500,000","1,876,100,000","1,676,000,000","2,207,100,000","1,841,100,000","1,851,400,000","1,637,500,000","2,122,700,000","1,700,400,000","1,756,200,000","1,543,000,000","2,063,300,000","1,670,400,000","1,715,700,000","1,506,800,000","2,072,600,000","1,726,500,000","1,740,700,000","1,474,800,000","2,012,000,000","1,560,800,000","1,617,800,000","1,341,300,000","1,801,200,000","1,426,700,000","1,474,400,000","1,325,300,000","1,901,800,000","1,740,000,000","1,835,700,000","1,485,200,000","1,982,500,000","1,559,900,000","1,652,700,000","1,359,100,000","1,877,100,000","1,453,800,000","1,532,900,000","1,327,000,000","1,885,600,000","1,442,200,000","1,616,200,000","1,330,300,000","1,939,000,000","1,508,800,000","1,544,100,000","1,395,100,000","1,629,400,000","1,418,900,000","1,499,400,000","1,433,000,000","1,668,700,000","1,502,200,000","1,612,700,000","1,420,000,000","1,715,900,000","1,605,700,000","1,743,415,000","1,302,199,000","1,689,003,000","1,320,439,000","1,418,192,000","1,089,638,000","1,401,200,000","1,021,400,000","1,096,600,000","908,100,000","1,302,600,000","837,400,000","943,200,000","719,400,000","992,800,000","723,500,000","788,600,000","583,400,000","788,300,000","567,700,000","675,300,000","506,200,000","669,600,000","492,500,000","557,200,000","460,400,000","625,300,000","440,500,000","497,500,000","421,000,000","509,300,000","411,000,000","483,800,000","389,800,000","482,600,000","435,800,000","485,300,000","400,700,000","523,200,000","401,000,000","399,500,000","353,800,000","425,300,000","316,000,000","342,400,000","284,500,000","380,100,000","283,300,000","317,100,000","276,500,000","397,900,000","268,600,000","282,600,000","242,800,000","273,500,000","217,600,000","249,600,000","202,500,000","240,400,000","190,700,000","215,300,000","167,900,000","181,600,000","156,200,000"
CostOfRevenue,"8,387,800,000","2,354,200,000","2,092,400,000","2,025,900,000","1,915,300,000","1,976,600,000","1,748,700,000","1,795,400,000","2,188,700,000","2,320,600,000","2,079,000,000","2,162,800,000","2,166,700,000","2,247,000,000","1,970,200,000","2,069,800,000","2,049,200,000","1,325,800,000","1,227,600,000","1,239,300,000","1,275,400,000","1,309,400,000","1,228,800,000","1,229,000,000","1,270,900,000","1,235,100,000","1,202,200,000","1,205,200,000","1,215,200,000","1,266,400,000","1,195,200,000","1,170,200,000","1,188,600,000","1,199,600,000","1,093,600,000","1,120,200,000","1,132,100,000","4,391,900,000","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"27,122,000","-82,224,000","-71,220,000","-60,741,000","-2,690,600,000","867,300,000","822,300,000","785,100,000","-2,270,700,000","718,900,000","710,000,000","632,900,000","-183,100,000","615,000,000","603,100,000","519,000,000","-179,500,000","481,400,000","496,200,000","442,600,000","-177,300,000","421,500,000","414,200,000","400,400,000","-165,300,000","380,900,000","377,100,000","372,300,000","-218,200,000","360,000,000","358,700,000","346,500,000","-189,400,000","398,100,000","382,200,000","362,600,000","-159,500,000","355,200,000","310,700,000","310,100,000","-93,200,000","281,100,000","271,200,000","255,000,000","-98,500,000","253,200,000",,,,,,,,,,,,,,,,
GrossProfit,"1,852,900,000","577,900,000","449,600,000","483,700,000","341,700,000","573,400,000","376,800,000","230,300,000","171,100,000","581,200,000","359,100,000","357,400,000","194,500,000","609,000,000","327,300,000","322,000,000","119,900,000","1,015,200,000","675,000,000","645,600,000","478,500,000","955,100,000","693,400,000","688,900,000","471,100,000","961,100,000","663,300,000","670,900,000","460,800,000","940,700,000","645,900,000","681,200,000","448,900,000","923,100,000","606,800,000","636,000,000","410,900,000","-2,328,600,000","1,670,400,000","1,715,700,000","1,506,800,000","2,072,600,000","1,726,500,000","1,740,700,000","1,474,800,000","2,012,000,000","1,560,800,000","1,617,800,000","1,341,300,000","1,801,200,000","1,426,700,000","1,474,400,000","1,325,300,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,661,881,000","1,402,663,000","1,489,412,000","1,150,379,000","4,091,800,000","154,100,000","274,300,000","123,000,000","3,573,300,000","118,500,000","233,200,000","86,500,000","1,175,900,000","108,500,000","185,500,000","64,400,000","967,800,000","86,300,000","179,100,000","63,600,000","846,900,000","71,000,000","143,000,000","60,000,000","790,600,000","59,600,000","120,400,000","48,700,000","727,500,000","51,000,000","125,100,000","43,300,000","672,000,000","37,700,000","103,100,000","38,100,000","682,700,000","45,800,000","88,800,000","43,700,000","518,500,000","34,900,000","71,200,000","29,500,000","478,600,000","30,100,000",,,,,,,,,,,,,,,,
OperatingExpense,"406,100,000","107,600,000","101,600,000","99,500,000","97,400,000","96,100,000","80,900,000","77,200,000","95,200,000","89,900,000","78,800,000","91,100,000","112,500,000","149,900,000","65,600,000","72,800,000","81,100,000","496,900,000","455,900,000","439,100,000","448,800,000","470,000,000","486,200,000","464,100,000","450,200,000","505,500,000","471,400,000","455,100,000","453,000,000","507,500,000","474,600,000","485,400,000","460,600,000","538,100,000","465,300,000","461,200,000","453,300,000","-2,738,500,000","1,539,000,000","1,539,300,000","1,546,200,000","1,687,100,000","1,553,500,000","1,566,500,000","1,519,300,000","1,679,700,000","1,459,200,000","1,440,000,000","1,400,400,000","1,527,900,000","1,368,900,000","1,377,500,000","1,407,400,000","1,565,300,000","1,619,800,000","1,631,000,000","1,539,800,000","1,667,500,000","1,503,600,000","1,512,300,000","1,483,900,000","1,695,800,000","1,426,500,000","1,456,000,000","1,486,400,000","1,851,000,000","1,539,900,000","1,493,300,000","1,501,600,000","1,664,600,000","1,928,000,000","1,483,600,000","1,405,500,000","1,445,600,000","1,542,000,000","1,353,100,000","1,407,900,000","1,549,400,000","1,557,600,000","1,383,800,000","1,291,400,000","1,515,900,000","1,583,500,000","1,719,819,000","1,171,789,000","1,399,493,000","1,236,501,000","1,195,905,000","1,043,233,000","3,898,400,000","47,500,000","50,900,000","45,000,000","3,405,900,000","41,000,000","41,500,000","37,800,000","990,300,000","30,800,000","31,000,000","29,000,000","822,400,000","27,600,000","25,400,000","23,500,000","758,800,000","23,400,000","21,400,000","25,200,000","729,300,000","19,700,000","19,200,000","17,400,000","638,500,000","16,700,000","19,300,000","14,200,000","637,600,000","5,200,000","10,100,000","9,200,000","596,800,000","16,000,000","14,600,000","14,800,000","451,100,000","11,500,000","11,700,000","11,300,000","425,400,000","9,000,000",,,,,,,,,,,,,,,,
	SellingGeneralAndAdministration,"122,300,000","32,500,000","32,200,000","29,400,000","28,200,000","22,400,000","9,900,000","4,100,000","22,400,000","24,500,000","9,800,000","18,100,000","41,400,000","81,000,000","21,600,000","28,800,000","35,100,000","496,900,000","455,900,000","439,100,000","448,800,000","470,000,000","486,200,000","464,100,000","450,200,000","505,500,000","471,400,000","455,100,000","453,000,000","507,500,000","474,600,000","485,400,000","460,600,000","538,100,000","465,300,000","461,200,000","453,300,000","-2,738,500,000","1,539,000,000","1,539,300,000","1,546,200,000","1,687,100,000","1,553,500,000","1,566,500,000","1,519,300,000","1,679,700,000","1,459,200,000","1,440,000,000","1,400,400,000","1,527,900,000","1,368,900,000","1,377,500,000","1,407,400,000","1,565,300,000","1,619,800,000","1,631,000,000","1,539,800,000","1,684,200,000","1,503,600,000","1,512,300,000","1,483,900,000","1,660,500,000","1,426,500,000","1,456,000,000","1,486,400,000","1,753,100,000","1,539,200,000","1,493,300,000","1,501,600,000","1,801,100,000","1,444,300,000","1,400,600,000","1,405,500,000","1,401,300,000","1,317,500,000","1,338,000,000","1,392,600,000","1,537,500,000","1,435,800,000","1,381,500,000","1,288,600,000","1,469,700,000","1,459,000,000","1,456,240,000","1,137,470,000","1,314,137,000","1,154,277,000","1,124,685,000","982,492,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		GeneralAndAdministrativeExpense,,,,,,,,,,,,,,,,,,"496,900,000","455,900,000","439,100,000","448,800,000","470,000,000","486,200,000","464,100,000","450,200,000","505,500,000","471,400,000","455,100,000","453,000,000","507,500,000","474,600,000","485,400,000","460,600,000","538,100,000","465,300,000","461,200,000","453,300,000","-2,738,500,000","1,539,000,000","1,539,300,000","1,546,200,000","1,687,100,000","1,553,500,000","1,566,500,000","1,519,300,000","1,679,700,000","1,459,200,000","1,440,000,000","1,400,400,000","1,527,900,000","1,368,900,000","1,377,500,000","1,407,400,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			SalariesAndWages,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,064,300,000","1,088,900,000","1,104,900,000","1,138,300,000","1,088,000,000","1,095,700,000","1,080,100,000","1,139,600,000","1,007,100,000","991,000,000","979,300,000","1,052,800,000","943,500,000","968,400,000","996,500,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			OtherGandA,,,,,,,,,,,,,,,,,,"496,900,000","455,900,000","439,100,000","448,800,000","470,000,000","486,200,000","464,100,000","450,200,000","505,500,000","471,400,000","455,100,000","453,000,000","507,500,000","474,600,000","485,400,000","460,600,000","538,100,000","465,300,000","461,200,000","453,300,000","519,600,000","474,700,000","450,400,000","441,300,000","548,800,000","465,500,000","470,800,000","439,200,000","540,100,000","452,100,000","449,000,000","421,100,000","475,100,000","425,400,000","409,100,000","410,900,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
	DepreciationAmortizationDepletionIncomeStatement,"283,800,000","75,100,000","69,400,000","70,100,000","69,200,000","73,700,000","71,000,000","73,100,000","72,800,000","65,400,000","69,000,000","73,000,000","71,100,000","68,900,000","44,000,000","44,000,000","46,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,200,000","1,800,000","4,100,000","4,200,000","3,500,000","3,100,000","2,300,000","2,800,000","46,200,000","42,800,000","42,171,000","34,319,000","85,356,000","82,224,000","71,220,000","60,741,000","72,500,000","47,500,000","50,900,000","45,000,000","58,800,000","41,000,000","41,500,000","37,800,000","40,000,000","30,800,000","31,000,000","29,000,000","27,000,000","27,600,000","25,400,000","23,500,000","21,200,000","23,400,000","21,400,000","25,200,000","19,300,000","19,700,000","19,200,000","17,400,000","20,000,000","16,700,000","19,300,000","14,200,000","15,100,000","5,200,000","10,100,000","9,200,000","18,300,000","16,000,000","14,600,000","14,800,000","14,300,000","11,500,000","11,700,000","11,300,000","12,500,000","9,000,000",,,,,,,,,,,,,,,,
