name,ttm,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999,12/31/1998,09/30/1998,06/30/1998,03/31/1998,12/31/1997,09/30/1997,06/30/1997,03/31/1997,12/31/1996,09/30/1996,06/30/1996,03/31/1996,12/31/1995,09/30/1995,06/30/1995,03/31/1995,12/31/1994,09/30/1994,06/30/1994,03/31/1994,12/31/1993,09/30/1993,06/30/1993,03/31/1993,12/31/1992,09/30/1992,06/30/1992,03/31/1992,12/31/1991,09/30/1991,06/30/1991,03/31/1991,12/31/1990,09/30/1990,06/30/1990,03/31/1990,12/31/1989,09/30/1989,06/30/1989,03/31/1989,12/31/1988,09/30/1988,06/30/1988,03/31/1988,12/31/1987,09/30/1987,06/30/1987,03/31/1987,12/31/1986,09/30/1986,06/30/1986,03/31/1986,12/31/1985,09/30/1985
TotalRevenue,"19,363,000,000","2,670,000,000","5,714,000,000","5,616,000,000","5,363,000,000","5,239,000,000","5,123,000,000","4,866,000,000","5,352,000,000","5,498,000,000","5,568,000,000","5,667,000,000","5,643,000,000","5,951,000,000","5,901,000,000","5,833,000,000","5,621,000,000","4,547,000,000","5,913,000,000","5,772,000,000","5,511,000,000","5,381,000,000","5,266,000,000","5,322,000,000","5,110,000,000","5,443,000,000","5,691,000,000","5,714,000,000","5,517,000,000","5,943,000,000","6,051,000,000","7,213,000,000","7,014,000,000","7,249,000,000","7,406,000,000","7,335,000,000","7,090,000,000","7,075,000,000","7,026,000,000","7,077,000,000","6,655,000,000","6,367,000,000","6,632,000,000","6,648,000,000","6,387,000,000","6,531,000,000","6,720,000,000","6,121,000,000","5,807,000,000","5,977,000,000","5,919,000,000","5,802,000,000","5,668,000,000","6,546,000,000","6,808,000,000","5,807,000,000","5,668,000,000","5,841,000,000","5,541,000,000","5,291,000,000","5,217,000,000","3,888,000,000","5,867,000,000","6,270,000,000","5,668,000,000","6,134,000,000","6,036,000,000","6,514,000,000","6,550,000,000","6,603,000,000","6,578,000,000","6,486,000,000","6,364,000,000","6,467,000,000","6,373,000,000","6,264,000,000","6,075,000,000","6,290,000,000","6,343,000,000","6,305,000,000","6,038,000,000","6,254,000,000","6,529,000,000","6,686,000,000","6,894,000,000","7,228,000,000","7,801,000,000","6,780,000,000","6,371,000,000","6,294,000,000","6,251,000,000","5,996,000,000","4,962,000,000","5,027,000,000","4,939,000,000","4,707,000,000","4,868,000,000","5,081,000,000","5,119,000,000","5,034,000,000","4,862,000,000","5,144,000,000","5,108,000,000","5,093,000,000","4,798,000,000","5,076,000,000","5,145,000,000","5,084,000,000","4,492,000,000","4,127,000,000","3,792,000,000","3,633,000,000","3,414,000,000","3,412,000,000","3,405,000,000","3,506,000,000","3,362,000,000","3,378,000,000","3,478,000,000","3,386,000,000","3,356,000,000","3,215,000,000","3,277,000,000","3,114,000,000","3,097,000,000","3,287,000,000","3,267,000,000","3,241,000,000","3,165,000,000","2,978,000,000","2,900,000,000","3,000,000,000","2,600,000,000","2,533,000,000","2,400,000,000","2,400,000,000","2,300,000,000","1,963,000,000","2,000,000,000","1,910,000,000","1,800,000,000","1,880,000,000","1,250,000,000","1,231,000,000","1,140,000,000","1,101,900,000","1,100,000,000"
	OperatingRevenue,"19,363,000,000","2,670,000,000","5,714,000,000","5,616,000,000","5,363,000,000","5,239,000,000","5,123,000,000","4,866,000,000","5,352,000,000","5,498,000,000","5,568,000,000","5,667,000,000","5,643,000,000","5,951,000,000","5,901,000,000","5,833,000,000","5,621,000,000","4,547,000,000","5,913,000,000","5,772,000,000","5,511,000,000","5,381,000,000","5,266,000,000","5,322,000,000","5,110,000,000","5,443,000,000","5,691,000,000","5,714,000,000","5,517,000,000","5,943,000,000","6,051,000,000","7,213,000,000","7,014,000,000","7,249,000,000","7,406,000,000","7,335,000,000","7,090,000,000","7,075,000,000","7,026,000,000","7,077,000,000","6,655,000,000","6,367,000,000","6,632,000,000","6,648,000,000","6,387,000,000","6,531,000,000","6,720,000,000","6,121,000,000","5,807,000,000","5,977,000,000","5,919,000,000","5,802,000,000","5,668,000,000","6,546,000,000","6,808,000,000","5,807,000,000","5,668,000,000","5,841,000,000","5,541,000,000","5,291,000,000","5,217,000,000","3,888,000,000","5,867,000,000","6,270,000,000","5,668,000,000","6,134,000,000","6,036,000,000","6,514,000,000","6,550,000,000","6,603,000,000","6,578,000,000","6,486,000,000","6,364,000,000","6,467,000,000","6,373,000,000","6,264,000,000","6,075,000,000","6,290,000,000","6,343,000,000","6,305,000,000","6,038,000,000","6,254,000,000","6,529,000,000","6,686,000,000","6,894,000,000","7,228,000,000","7,801,000,000","6,780,000,000","6,371,000,000","6,294,000,000","6,251,000,000","5,996,000,000","4,962,000,000","5,027,000,000","4,939,000,000","4,707,000,000","4,868,000,000","5,081,000,000","5,119,000,000","5,034,000,000","4,862,000,000","5,144,000,000","5,108,000,000","5,093,000,000","4,798,000,000","5,076,000,000","5,145,000,000","5,084,000,000","4,492,000,000","4,127,000,000","3,792,000,000","3,633,000,000","3,414,000,000","3,412,000,000","3,405,000,000","3,506,000,000","3,362,000,000","3,378,000,000","3,478,000,000","3,386,000,000","3,356,000,000","3,215,000,000","3,277,000,000","3,114,000,000","3,097,000,000","3,287,000,000","3,267,000,000","3,241,000,000","3,165,000,000","2,978,000,000","2,900,000,000","3,000,000,000","2,600,000,000","2,533,000,000","2,400,000,000","2,400,000,000","2,300,000,000","1,963,000,000","2,000,000,000","1,910,000,000","1,800,000,000","1,880,000,000","1,250,000,000","1,231,000,000","1,140,000,000","1,101,900,000","1,100,000,000"
CostOfRevenue,"13,832,000,000","2,148,000,000","3,924,000,000","3,913,000,000","3,847,000,000","3,659,000,000","3,541,000,000","3,427,000,000","3,746,000,000","3,666,000,000","3,772,000,000","3,901,000,000","3,929,000,000","3,798,000,000","3,887,000,000","3,922,000,000","3,948,000,000","3,231,000,000","4,024,000,000","4,105,000,000","3,940,000,000","3,807,000,000","3,622,000,000","4,112,000,000","3,611,000,000","3,765,000,000","3,891,000,000","3,968,000,000","3,844,000,000","4,105,000,000","4,055,000,000","5,228,000,000","5,175,000,000","5,276,000,000","5,313,000,000","5,414,000,000","5,220,000,000","5,193,000,000","5,140,000,000","5,270,000,000","4,984,000,000","4,662,000,000","4,793,000,000","4,880,000,000","4,625,000,000","4,770,000,000","4,758,000,000","4,490,000,000","4,464,000,000","3,950,000,000","3,758,000,000","3,781,000,000","3,731,000,000","5,022,000,000","5,154,000,000","4,305,000,000","4,261,000,000","4,242,000,000","4,086,000,000","3,881,000,000","3,851,000,000","2,735,000,000","4,335,000,000","4,666,000,000","4,229,000,000","4,726,000,000","4,532,000,000","4,893,000,000","4,904,000,000","4,888,000,000","4,858,000,000","4,778,000,000","4,759,000,000","4,879,000,000","4,754,000,000","4,664,000,000","4,506,000,000","4,592,000,000","4,611,000,000","4,588,000,000","4,465,000,000","4,568,000,000","4,789,000,000","4,914,000,000","5,138,000,000","5,137,000,000","5,611,000,000","4,770,000,000","4,564,000,000","4,516,000,000","4,593,000,000","4,420,000,000","3,789,000,000","3,803,000,000","3,780,000,000","3,524,000,000","3,654,000,000","3,760,000,000","3,791,000,000","3,786,000,000","3,636,000,000","3,814,000,000","3,760,000,000","3,771,000,000","3,556,000,000","3,574,000,000","3,566,000,000","3,532,000,000","3,239,000,000","3,051,000,000","2,815,000,000","2,712,000,000","2,565,000,000","2,486,000,000","2,543,000,000","2,619,000,000","2,543,000,000","2,516,000,000","2,612,000,000","2,513,000,000","2,496,000,000","2,365,000,000","2,441,000,000","2,292,000,000","2,243,000,000","2,316,000,000","2,340,000,000","2,327,000,000","2,280,000,000",,,,,,,,,,,,,,,,,,
GrossProfit,"5,531,000,000","522,000,000","1,790,000,000","1,703,000,000","1,516,000,000","1,580,000,000","1,582,000,000","1,439,000,000","1,606,000,000","1,832,000,000","1,796,000,000","1,766,000,000","1,714,000,000","2,153,000,000","2,014,000,000","1,911,000,000","1,673,000,000","1,316,000,000","1,889,000,000","1,667,000,000","1,571,000,000","1,574,000,000","1,644,000,000","1,210,000,000","1,499,000,000","1,678,000,000","1,800,000,000","1,746,000,000","1,673,000,000","1,838,000,000","1,996,000,000","1,985,000,000","1,839,000,000","1,973,000,000","2,093,000,000","1,921,000,000","1,870,000,000","1,882,000,000","1,886,000,000","1,807,000,000","1,671,000,000","1,705,000,000","1,839,000,000","1,768,000,000","1,762,000,000","1,761,000,000","1,962,000,000","1,631,000,000","1,343,000,000","2,027,000,000","2,161,000,000","2,021,000,000","1,937,000,000","1,524,000,000","1,654,000,000","1,502,000,000","1,407,000,000","1,599,000,000","1,455,000,000","1,410,000,000","1,366,000,000","1,153,000,000","1,532,000,000","1,604,000,000","1,439,000,000","1,408,000,000","1,504,000,000","1,621,000,000","1,646,000,000","1,715,000,000","1,720,000,000","1,708,000,000","1,605,000,000","1,588,000,000","1,619,000,000","1,600,000,000","1,569,000,000","1,698,000,000","1,732,000,000","1,717,000,000","1,573,000,000","1,686,000,000","1,740,000,000","1,772,000,000","1,756,000,000","2,091,000,000","2,190,000,000","2,010,000,000","1,807,000,000","1,778,000,000","1,658,000,000","1,576,000,000","1,173,000,000","1,224,000,000","1,159,000,000","1,183,000,000","1,214,000,000","1,321,000,000","1,328,000,000","1,248,000,000","1,226,000,000","1,330,000,000","1,348,000,000","1,322,000,000","1,242,000,000","1,502,000,000","1,579,000,000","1,552,000,000","1,253,000,000","1,076,000,000","977,000,000","921,000,000","849,000,000","926,000,000","862,000,000","887,000,000","819,000,000","862,000,000","866,000,000","873,000,000","860,000,000","850,000,000","836,000,000","822,000,000","854,000,000","971,000,000","927,000,000","914,000,000","885,000,000",,,,,,,,,,,,,,,,,,
OperatingExpense,"4,065,000,000","474,000,000","1,240,000,000","1,231,000,000","1,120,000,000","1,186,000,000","1,101,000,000","1,050,000,000","1,192,000,000","1,222,000,000","1,151,000,000","1,150,000,000","1,160,000,000","1,226,000,000","1,181,000,000","1,226,000,000","1,156,000,000","962,000,000","1,234,000,000","1,212,000,000","1,191,000,000","1,151,000,000","1,088,000,000","1,067,000,000","1,021,000,000","1,122,000,000","1,119,000,000","1,142,000,000","1,130,000,000","1,235,000,000","1,262,000,000","1,348,000,000","1,327,000,000","1,387,000,000","1,458,000,000","1,407,000,000","1,417,000,000","1,408,000,000","1,352,000,000","1,332,000,000","1,263,000,000","915,000,000","1,279,000,000","1,219,000,000","1,205,000,000","1,267,000,000","1,263,000,000","1,212,000,000","1,154,000,000","1,193,000,000","1,252,000,000","1,201,000,000","1,172,000,000","1,261,000,000","1,305,000,000","1,109,000,000","1,087,000,000","1,085,000,000","1,029,000,000","1,011,000,000","995,000,000","845,000,000","1,125,000,000","1,145,000,000","1,154,000,000","1,179,000,000","1,128,000,000","1,209,000,000","1,244,000,000","1,271,000,000","1,216,000,000","1,225,000,000","1,270,000,000","1,263,000,000","1,247,000,000","1,235,000,000","1,229,000,000","1,248,000,000","1,262,000,000","1,231,000,000","1,239,000,000","1,363,000,000","1,358,000,000","1,387,000,000","1,411,000,000","1,591,000,000","1,467,000,000","1,299,000,000","1,233,000,000","1,286,000,000","1,204,000,000","1,257,000,000","951,000,000","985,000,000","924,000,000","909,000,000","946,000,000","1,679,000,000","1,000,000,000","995,000,000","988,000,000","1,011,000,000","985,000,000","968,000,000","858,000,000","903,000,000","859,000,000","860,000,000","758,000,000","730,000,000","718,000,000","701,000,000","661,000,000","689,000,000","664,000,000","686,000,000","645,000,000","1,102,000,000","645,000,000","639,000,000","622,000,000","689,000,000","584,000,000","576,000,000","560,000,000","860,000,000","557,000,000","538,000,000","519,000,000",,,,,,,,,,,,,,,,,,
	SellingGeneralAndAdministration,"2,829,000,000","302,000,000","880,000,000","880,000,000","767,000,000","812,000,000","737,000,000","697,000,000","825,000,000","837,000,000","782,000,000","786,000,000","802,000,000","847,000,000","802,000,000","854,000,000","787,000,000","657,000,000","817,000,000","812,000,000","801,000,000","782,000,000","733,000,000","725,000,000","696,000,000","767,000,000","751,000,000","770,000,000","763,000,000","846,000,000","861,000,000","939,000,000","928,000,000","974,000,000","1,010,000,000","964,000,000","989,000,000","991,000,000","930,000,000","922,000,000","860,000,000","778,000,000","829,000,000","845,000,000","825,000,000","865,000,000","843,000,000","802,000,000","738,000,000","814,000,000","826,000,000","787,000,000","779,000,000","833,000,000","883,000,000","760,000,000","757,000,000","769,000,000","710,000,000","695,000,000","691,000,000","587,000,000","762,000,000","781,000,000","784,000,000","761,000,000","727,000,000","762,000,000","789,000,000","801,000,000","754,000,000","766,000,000","805,000,000","790,000,000","769,000,000","757,000,000","767,000,000","807,000,000","790,000,000","761,000,000","786,000,000","848,000,000","817,000,000","859,000,000","860,000,000","878,000,000","888,000,000","834,000,000","787,000,000","812,000,000","763,000,000","826,000,000","599,000,000","652,000,000","578,000,000","569,000,000","598,000,000","1,172,000,000","637,000,000","624,000,000","616,000,000","643,000,000","627,000,000","616,000,000","548,000,000","594,000,000","547,000,000","551,000,000","483,000,000","495,000,000","448,000,000","433,000,000","398,000,000","426,000,000","404,000,000","417,000,000","386,000,000","815,000,000","407,000,000","398,000,000","388,000,000","475,000,000","375,000,000","369,000,000","355,000,000","635,000,000","358,000,000","348,000,000","333,000,000",,,,,,,,,,,,,,,,,,
		GeneralAndAdministrativeExpense,,,,,"361,000,000","410,000,000","360,000,000","332,000,000","418,000,000","445,000,000","387,000,000","402,000,000","413,000,000","446,000,000","405,000,000","451,000,000","421,000,000","378,000,000","431,000,000","422,000,000","422,000,000","433,000,000","380,000,000","386,000,000","376,000,000","419,000,000","417,000,000","403,000,000","406,000,000","462,000,000","467,000,000","527,000,000","528,000,000","551,000,000","572,000,000","515,000,000","567,000,000","578,000,000",,"474,000,000","513,000,000",,,,"485,000,000",,,"472,000,000",,,,"508,000,000",,,"507,000,000","459,000,000","472,000,000","500,000,000","455,000,000","441,000,000","435,000,000","417,000,000","471,000,000","476,000,000","490,000,000","456,000,000","463,000,000","498,000,000","522,000,000","533,000,000","486,000,000","478,000,000","522,000,000","508,000,000","497,000,000","478,000,000","497,000,000","530,000,000","509,000,000","492,000,000","515,000,000","583,000,000","530,000,000","582,000,000","584,000,000","646,000,000","553,000,000","563,000,000","521,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			SalariesAndWages,,,,,,,,,"-6,000,000","9,000,000","9,000,000","8,000,000","10,000,000","429,000,000","25,000,000","36,000,000","4,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			OtherGandA,,,,,"361,000,000","410,000,000","360,000,000","332,000,000","418,000,000","445,000,000","387,000,000","402,000,000","413,000,000","446,000,000","405,000,000","451,000,000","421,000,000","378,000,000","431,000,000","422,000,000","422,000,000","433,000,000","380,000,000","386,000,000","376,000,000","419,000,000","417,000,000","403,000,000","406,000,000","462,000,000","467,000,000","527,000,000","528,000,000","551,000,000","572,000,000","515,000,000","567,000,000","578,000,000",,"474,000,000","513,000,000",,,,"485,000,000",,,"472,000,000",,,,"508,000,000",,,"507,000,000","459,000,000","472,000,000","500,000,000","455,000,000","441,000,000","435,000,000","417,000,000","471,000,000","476,000,000","490,000,000","456,000,000","463,000,000","498,000,000","522,000,000","533,000,000","486,000,000","478,000,000","522,000,000","508,000,000","497,000,000","478,000,000","497,000,000","530,000,000","509,000,000","492,000,000","515,000,000","583,000,000","530,000,000","582,000,000","584,000,000","646,000,000","553,000,000","563,000,000","521,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		SellingAndMarketingExpense,"2,829,000,000","302,000,000","880,000,000","880,000,000","767,000,000","812,000,000","737,000,000","697,000,000","825,000,000","837,000,000","782,000,000","786,000,000","802,000,000","847,000,000","802,000,000","854,000,000","787,000,000","657,000,000","817,000,000","812,000,000","801,000,000","782,000,000","733,000,000","725,000,000","696,000,000","767,000,000","751,000,000","770,000,000","763,000,000","846,000,000","861,000,000","939,000,000","928,000,000","974,000,000","1,010,000,000","964,000,000","989,000,000","991,000,000",,"448,000,000","347,000,000",,,,"340,000,000",,,"330,000,000",,,,"279,000,000",,,"883,000,000","760,000,000","757,000,000","769,000,000","710,000,000","695,000,000","691,000,000","587,000,000","762,000,000","781,000,000","784,000,000","761,000,000","727,000,000","762,000,000","789,000,000","801,000,000","754,000,000","766,000,000","805,000,000","790,000,000","769,000,000","757,000,000","767,000,000","807,000,000","790,000,000","761,000,000","786,000,000","848,000,000","817,000,000","859,000,000","860,000,000","878,000,000","888,000,000","834,000,000","787,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
