name,ttm,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012
TotalRevenue,"13,874,000,000","3,636,000,000","3,391,000,000","3,438,000,000","3,409,000,000","3,298,000,000","2,786,000,000","2,521,000,000","2,754,000,000","2,895,000,000","2,769,000,000","2,740,000,000","2,684,000,000","2,688,000,000","2,594,000,000","2,567,000,000","2,563,000,000","2,577,000,000","2,465,000,000","2,375,000,000","2,322,000,000","2,338,069,000","1,497,173,000","1,552,673,000","1,490,085,000","1,521,730,000","1,424,769,000","1,443,527,000","1,347,593,000","1,411,088,000","1,400,034,000","1,341,030,000","1,307,846,000","1,379,185,000","1,195,839,000","1,295,680,000","1,228,841,000","1,278,588,000","1,199,574,000","1,230,767,000","1,156,584,000"
	OperatingRevenue,"13,874,000,000","3,636,000,000","3,391,000,000","3,438,000,000","3,409,000,000","3,298,000,000","2,786,000,000","2,521,000,000","2,754,000,000","2,895,000,000","2,769,000,000","2,740,000,000","2,684,000,000","2,688,000,000","2,594,000,000","2,567,000,000","2,563,000,000","2,161,000,000","2,019,000,000","1,969,000,000","1,911,000,000","1,952,491,000","1,136,423,000","1,167,064,000","1,108,022,000","1,128,599,000","1,093,480,000","1,074,366,000","1,029,974,000","1,064,045,000","1,061,013,000","1,035,476,000","1,005,288,000","1,003,940,000","932,727,000","944,238,000","927,435,000","945,761,000","913,588,000","944,914,000","888,035,000"
CostOfRevenue,"9,233,000,000","2,364,000,000","2,253,000,000","2,323,000,000","2,293,000,000","2,172,000,000","1,800,000,000","1,704,000,000","1,824,000,000","1,901,000,000","1,852,000,000","1,799,000,000","1,748,000,000","1,742,000,000","1,678,000,000","1,674,000,000","1,652,000,000","1,607,000,000","1,611,000,000","1,560,000,000","1,523,000,000","1,476,582,000","1,064,541,000","1,126,248,000","1,082,629,000","1,089,987,000","1,014,347,000","1,053,006,000","979,446,000","1,021,862,000","1,030,072,000","980,068,000","946,280,000","1,017,202,000","863,806,000","969,108,000","912,515,000","961,303,000","898,092,000","914,075,000","859,112,000"
GrossProfit,"4,641,000,000","1,272,000,000","1,138,000,000","1,115,000,000","1,116,000,000","1,126,000,000","986,000,000","817,000,000","930,000,000","994,000,000","917,000,000","941,000,000","936,000,000","946,000,000","916,000,000","893,000,000","911,000,000","970,000,000","854,000,000","815,000,000","799,000,000","861,487,000","432,632,000","426,425,000","407,456,000","431,743,000","410,422,000","390,521,000","368,147,000","389,226,000","369,962,000","360,962,000","361,566,000","361,983,000","332,033,000","326,572,000","316,326,000","317,285,000","301,482,000","316,692,000","297,472,000"
OperatingExpense,"3,228,000,000","804,000,000","834,000,000","825,000,000","765,000,000","835,000,000","779,000,000","739,000,000","723,000,000","798,000,000","694,000,000","730,000,000","714,000,000","737,000,000","712,000,000","706,000,000","702,000,000","742,000,000","647,000,000","615,000,000","612,000,000","599,213,000","233,645,000","250,568,000","225,516,000","244,066,000","231,415,000","225,898,000","219,606,000","225,055,000","219,027,000","219,014,000","219,242,000","232,797,000","199,573,000","228,838,000","199,302,000","215,636,000","192,780,000","203,544,000","205,795,000"
	SellingGeneralAndAdministration,"1,964,000,000","542,000,000","498,000,000","482,000,000","442,000,000","491,000,000","460,000,000","431,000,000","407,000,000","484,000,000","395,000,000","436,000,000","419,000,000","443,000,000","429,000,000","424,000,000","420,000,000","464,000,000","391,000,000","370,000,000","380,000,000","310,213,000","233,645,000","250,568,000","225,516,000","244,066,000","231,415,000","225,898,000","219,606,000","225,055,000","219,027,000","219,014,000","219,242,000","232,797,000","199,573,000","228,838,000","199,302,000","215,636,000","192,780,000","203,544,000","205,795,000"
	DepreciationAmortizationDepletionIncomeStatement,"1,264,000,000","262,000,000","336,000,000","343,000,000","323,000,000","344,000,000","319,000,000","308,000,000","316,000,000","314,000,000","299,000,000","294,000,000","295,000,000","294,000,000","283,000,000","282,000,000","282,000,000","278,000,000","256,000,000","245,000,000","232,000,000","190,000,000",,,,,,,,,,,,,,,,,,,
		DepreciationAndAmortizationInIncomeStatement,"1,264,000,000","262,000,000","336,000,000","343,000,000","323,000,000","344,000,000","319,000,000","308,000,000","316,000,000","314,000,000","299,000,000","294,000,000","295,000,000","294,000,000","283,000,000","282,000,000","282,000,000","278,000,000","256,000,000","245,000,000","232,000,000","190,000,000",,,,,,,,,,,,,,,,,,,
OperatingIncome,"1,413,000,000","468,000,000","304,000,000","290,000,000","351,000,000","291,000,000","207,000,000","78,000,000","207,000,000","196,000,000","223,000,000","211,000,000","222,000,000","209,000,000","204,000,000","187,000,000","209,000,000","228,000,000","207,000,000","200,000,000","187,000,000","262,274,000","198,987,000","175,857,000","181,940,000","187,677,000","179,007,000","164,623,000","148,541,000","164,171,000","150,935,000","141,948,000","142,324,000","129,186,000","132,460,000","97,734,000","117,024,000","101,649,000","108,702,000","113,148,000","91,677,000"
NetNonOperatingInterestIncomeExpense,"-369,000,000","-88,000,000","-90,000,000","-93,000,000","-98,000,000","-100,000,000","-99,000,000","-107,000,000","-104,000,000","-107,000,000","-111,000,000","-112,000,000","-108,000,000","-103,000,000","-103,000,000","-106,000,000","-94,000,000","-95,000,000","-91,000,000","-80,000,000","-73,000,000","-69,223,000","-23,799,000","-21,649,000","-25,329,000","-24,689,000","-24,288,000","-24,028,000","-24,470,000","-25,478,000","-24,448,000","-23,805,000","-23,448,000","-25,245,000","-27,637,000","-31,099,000","-35,590,000","-36,911,000","-32,665,000","-32,808,000","-28,920,000"
