name,ttm,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999,12/31/1998,09/30/1998,06/30/1998,03/31/1998,12/31/1997,09/30/1997,06/30/1997,03/31/1997,12/31/1996,09/30/1996,06/30/1996,03/31/1996,12/31/1995,09/30/1995,06/30/1995,03/31/1995,12/31/1994,09/30/1994,06/30/1994,03/31/1994,12/31/1993,09/30/1993,06/30/1993,03/31/1993,12/31/1992,09/30/1992,06/30/1992,03/31/1992,12/31/1991,09/30/1991,06/30/1991,03/31/1991,12/31/1990,09/30/1990,06/30/1990,03/31/1990,12/31/1989,09/30/1989,06/30/1989,03/31/1989,12/31/1988,09/30/1988,06/30/1988,03/31/1988,12/31/1987,09/30/1987,06/30/1987,03/31/1987,12/31/1986,09/30/1986,06/30/1986,03/31/1986,12/31/1985,09/30/1985
TotalRevenue,"12,168,302,000","3,496,971,000","3,144,812,000","2,908,370,000","2,618,149,000","2,737,652,000","2,472,523,000","2,145,573,000","2,280,826,000","2,450,324,000","2,363,660,000","2,261,647,000","2,089,627,000","2,317,842,000","2,209,760,000","2,139,027,000","1,948,245,000","1,990,160,000","1,843,334,000","1,726,915,000","1,629,158,000","1,721,062,000","1,690,659,000","1,615,026,000","1,528,712,000","1,621,015,000","1,586,494,000","1,539,957,000","1,440,180,000","1,609,511,000","1,601,156,000","1,547,867,000","1,406,908,000","1,474,276,000","1,435,850,000","1,382,858,000","1,291,587,000","1,338,136,000","1,295,792,000","1,255,130,000","1,165,922,000","1,204,937,000","1,171,270,000","1,149,855,000","1,000,780,000","1,020,012,000","986,024,000","942,776,000","844,673,000","876,952,000","833,749,000","769,784,000","722,835,000","879,787,000","996,434,000","977,339,000","878,383,000","944,950,000","891,638,000","855,860,000","797,451,000","851,568,000","858,265,000","838,254,000","779,900,000","858,375,000","801,140,000","759,206,000","709,178,000","770,805,000","718,614,000","679,036,000","617,698,000","640,746,000","621,644,000","599,866,000","571,213,000","597,665,000","582,671,000","557,328,000","510,221,000","546,240,000","537,156,000","521,489,000","495,419,000","533,969,000","509,422,000","583,500,000","533,556,000","553,374,000","523,901,000","497,554,000","470,244,000","493,789,000","473,388,000","460,985,000","413,466,000","415,233,000","388,460,000","385,198,000","365,401,000","381,422,000","378,739,000","372,573,000","354,014,000","358,468,000","355,114,000","329,219,000","309,424,000","331,293,000","313,911,000","297,735,000","264,663,000","259,700,000","253,600,000","260,400,000","247,200,000","245,700,000","241,200,000","223,800,000","201,300,000","198,000,000","196,000,000","166,600,000","158,400,000","159,300,000","142,300,000","140,900,000","137,300,000","132,100,000","135,200,000","130,800,000","111,300,000","102,200,000","103,900,000","98,500,000","88,000,000","80,100,000","74,900,000","67,700,000","63,800,000","57,700,000","53,300,000","49,300,000","43,500,000","39,000,000","35,900,000"
	OperatingRevenue,"12,168,302,000","3,496,971,000","3,144,812,000","2,908,370,000","2,618,149,000","2,737,652,000","2,472,523,000","2,145,573,000","2,280,826,000","2,450,324,000","2,363,660,000","2,261,647,000","2,089,627,000","2,317,842,000","2,209,760,000","2,139,027,000","1,948,245,000","1,990,160,000","1,843,334,000","1,726,915,000","1,629,158,000","1,721,062,000","1,690,659,000","1,615,026,000","1,528,712,000","1,621,015,000","1,586,494,000","1,539,957,000","1,440,180,000","1,609,511,000","1,601,156,000","1,547,867,000","1,406,908,000","1,474,276,000","1,435,850,000","1,382,858,000","1,291,587,000","1,338,136,000","1,295,792,000","1,255,130,000","1,165,922,000","1,204,937,000","1,171,270,000","1,149,855,000","1,000,780,000","1,020,012,000","986,024,000","942,776,000","844,673,000","876,952,000","833,749,000","769,784,000","722,835,000","879,787,000","996,434,000","977,339,000","878,383,000","944,950,000","891,638,000","855,860,000","797,451,000","851,568,000","858,265,000","838,254,000","779,900,000","858,375,000","801,140,000","759,206,000","709,178,000","770,805,000","718,614,000","679,036,000","617,698,000","640,746,000","621,644,000","599,866,000","571,213,000","597,665,000","582,671,000","557,328,000","510,221,000","546,240,000","537,156,000","521,489,000","495,419,000","533,969,000","509,422,000","583,500,000","533,556,000","553,374,000","523,901,000","497,554,000","470,244,000","493,789,000","473,388,000","460,985,000","413,466,000","415,233,000","388,460,000","385,198,000","365,401,000","381,422,000","378,739,000","372,573,000","354,014,000","358,468,000","355,114,000","329,219,000","309,424,000","331,293,000","313,911,000","297,735,000","264,663,000","259,700,000","253,600,000","260,400,000","247,200,000","245,700,000","241,200,000","223,800,000","201,300,000","198,000,000","196,000,000","166,600,000","158,400,000","159,300,000","142,300,000","140,900,000","137,300,000","132,100,000","135,200,000","130,800,000","111,300,000","102,200,000","103,900,000","98,500,000","88,000,000","80,100,000","74,900,000","67,700,000","63,800,000","57,700,000","53,300,000","49,300,000","43,500,000","39,000,000","35,900,000"
CostOfRevenue,"10,298,483,000","2,948,642,000","2,657,008,000","2,469,915,000","2,222,918,000","2,339,649,000","2,111,237,000","1,794,190,000","1,941,618,000","2,054,323,000","1,992,816,000","1,863,595,000","1,748,270,000","2,018,067,000","1,847,513,000","1,761,454,000","1,628,621,000","1,659,121,000","1,538,450,000","1,433,117,000","1,359,585,000","1,404,483,000","1,385,935,000","1,328,729,000","1,250,679,000","1,321,653,000","1,284,755,000","1,247,680,000","1,187,386,000","1,321,025,000","1,320,117,000","1,284,226,000","1,198,725,000","1,226,286,000","1,192,644,000","1,148,610,000","1,085,547,000","1,844,880,000","834,687,000","799,468,000","739,166,000","760,147,000","736,090,000","720,884,000","620,693,000","588,893,000","559,675,000","530,919,000","479,637,000","500,554,000","465,649,000","424,088,000","382,428,000","480,133,000","571,733,000","561,773,000","524,570,000","547,307,000","499,788,000","467,686,000","430,852,000","467,286,000","464,985,000","456,296,000","423,417,000","469,014,000","425,521,000","392,369,000","371,222,000","379,305,000","364,738,000","340,405,000","315,177,000","297,635,000","312,039,000","302,072,000","302,646,000","281,961,000","288,425,000","273,574,000","252,111,000","240,238,000","273,089,000","258,394,000","247,154,000","260,618,000","247,243,000","314,838,000","284,819,000","296,884,000","270,594,000","239,401,000","218,391,000","238,534,000","229,202,000","219,653,000","200,042,000","206,826,000","197,685,000","193,742,000","187,096,000","195,344,000","190,279,000","182,882,000","173,868,000","174,525,000","176,218,000","156,222,000","144,562,000","149,114,000","140,079,000","130,365,000","120,511,000","106,100,000","93,900,000","96,300,000","91,800,000","84,600,000","82,600,000","74,500,000","67,100,000","67,500,000","58,700,000","53,400,000","48,800,000","86,400,000","22,800,000","23,800,000","26,200,000","68,300,000","20,500,000",,,,,,,,,,,,,,,,
GrossProfit,"1,869,819,000","548,329,000","487,804,000","438,455,000","395,231,000","398,003,000","361,286,000","351,383,000","339,208,000","396,001,000","370,844,000","398,052,000","341,357,000","299,775,000","362,247,000","377,573,000","319,624,000","331,039,000","304,884,000","293,798,000","269,573,000","316,579,000","304,724,000","286,297,000","278,033,000","299,362,000","301,739,000","292,277,000","252,794,000","288,486,000","281,039,000","263,641,000","208,183,000","247,990,000","243,206,000","234,248,000","206,040,000","-506,744,000","461,105,000","455,662,000","426,756,000","444,790,000","435,180,000","428,971,000","380,087,000","431,119,000","426,349,000","411,857,000","365,036,000","376,398,000","368,100,000","345,696,000","340,407,000","399,654,000","424,701,000","415,566,000","353,813,000","397,643,000","391,850,000","388,174,000","366,599,000","384,282,000","393,280,000","381,958,000","356,483,000","389,361,000","375,619,000","366,837,000","337,956,000","391,500,000","353,876,000","338,631,000","302,521,000","343,111,000","309,605,000","297,794,000","268,567,000","315,704,000","294,246,000","283,754,000","258,110,000","306,002,000","264,067,000","263,095,000","248,265,000","273,351,000","262,179,000","268,662,000","248,737,000","256,490,000","253,307,000","258,153,000","251,853,000","255,255,000","244,186,000","241,332,000","213,424,000","208,407,000","190,775,000","191,456,000","178,305,000","186,078,000","188,460,000","189,691,000","180,146,000","183,943,000","178,896,000","172,997,000","164,862,000","182,179,000","173,832,000","167,370,000","144,152,000","153,600,000","159,700,000","164,100,000","155,400,000","161,100,000","158,600,000","149,300,000","134,200,000","130,500,000","137,300,000","113,200,000","109,600,000","72,900,000","119,500,000","117,100,000","111,100,000","63,800,000","114,700,000",,,,,,,,,,,,,,,,
OperatingExpense,"824,289,000","225,826,000","213,975,000","196,909,000","187,579,000","190,311,000","185,783,000","176,200,000","184,467,000","190,926,000","202,982,000","204,959,000","173,562,000","177,036,000","187,559,000","162,761,000","150,843,000","185,226,000","139,912,000","130,183,000","120,184,000","122,218,000","121,747,000","110,505,000","110,143,000","106,469,000","107,893,000","118,542,000","97,574,000","105,581,000","108,939,000","104,411,000","90,876,000","94,457,000","92,477,000","86,841,000","81,001,000","-650,079,000","328,053,000","318,447,000","310,159,000","322,503,000","316,500,000","315,528,000","290,264,000","306,697,000","311,773,000","297,212,000","274,494,000","277,916,000","272,514,000","270,889,000","259,717,000","283,907,000","290,715,000","292,997,000","824,130,000","866,596,000","813,408,000","776,407,000","734,355,000","785,658,000","772,101,000","758,183,000","710,974,000","768,069,000","724,354,000","679,276,000","641,766,000","692,051,000","650,902,000","615,231,000","572,505,000","597,349,000","578,015,000","571,172,000","564,798,000","584,921,000","568,060,000","542,523,000","507,549,000","515,202,000","538,084,000","517,920,000","499,270,000","526,581,000","503,064,000","572,474,000","530,861,000","1,756,292,000","90,070,000","82,518,000","79,318,000","1,563,118,000","75,568,000","68,226,000","64,345,000","1,342,818,000","67,086,000","69,737,000","69,644,000","1,262,701,000","69,615,000","77,739,000","74,717,000","1,143,889,000","75,977,000","78,649,000","65,777,000","984,005,000","61,345,000","59,350,000","55,954,000","117,500,000","123,000,000","125,200,000","130,600,000","129,500,000","126,300,000","117,200,000","109,500,000","102,700,000","107,900,000","87,200,000","89,800,000","182,500,000","50,100,000","51,300,000","32,800,000","152,400,000","46,100,000",,,,,,,,,,,,,,,,
	SellingGeneralAndAdministration,"395,533,000","111,815,000","99,970,000","91,681,000","92,067,000","93,040,000","85,984,000","83,499,000","85,557,000","92,948,000","101,672,000","107,130,000","82,230,000","85,804,000","95,131,000","74,081,000","68,574,000","105,576,000","61,590,000","54,792,000","51,482,000","50,419,000","47,891,000","42,645,000","44,480,000","38,790,000","39,911,000","51,090,000","37,005,000","42,702,000","42,068,000","36,588,000","31,115,000","33,091,000","28,931,000","29,173,000","28,574,000","-688,030,000","270,280,000","262,220,000","254,039,000","266,872,000","262,096,000","262,977,000","238,907,000","249,740,000","255,175,000","241,357,000","219,948,000","223,313,000","218,432,000","216,773,000","205,459,000","240,102,000","227,408,000","229,545,000","27,333,000","36,726,000","28,471,000","26,291,000","26,379,000","36,333,000","22,807,000","24,591,000","21,084,000","25,788,000","30,060,000","23,813,000","21,544,000","24,919,000","24,858,000","21,846,000","21,594,000","22,901,000","21,942,000","28,134,000","25,269,000","27,680,000","20,851,000","21,857,000","15,771,000","10,986,000","19,971,000","18,860,000","12,590,000","17,624,000","15,637,000","15,790,000","15,457,000","6,867,000","23,713,000","20,365,000","20,360,000","6,251,000","21,296,000","17,818,000","15,944,000","-653,000","18,277,000","19,179,000","20,326,000","5,415,000","25,249,000","31,087,000","25,137,000","12,839,000","26,663,000","25,539,000","18,646,000","6,804,000","19,487,000","20,534,000","18,084,000","106,000,000","106,600,000","115,200,000","114,200,000","110,600,000","110,800,000","104,100,000","96,100,000","91,100,000","94,800,000","75,800,000","78,500,000","107,500,000","62,300,000","61,600,000","52,400,000","88,500,000","58,600,000",,,,,,,,,,,,,,,,
		GeneralAndAdministrativeExpense,"395,533,000","111,815,000","99,970,000","91,681,000","92,067,000","93,040,000","85,984,000","83,499,000","85,557,000","92,948,000","101,672,000","107,130,000","82,230,000","85,804,000","95,131,000","74,081,000","68,574,000","105,576,000","61,590,000","54,792,000","51,482,000","50,419,000","47,891,000","42,645,000","44,480,000","38,790,000","39,911,000","51,090,000","37,005,000","42,702,000","42,068,000","36,588,000","31,115,000","33,091,000","28,931,000","29,173,000","28,574,000","-688,030,000","270,280,000","262,220,000","254,039,000","266,872,000","262,096,000","262,977,000","238,907,000","249,740,000","255,175,000","241,357,000","219,948,000","223,313,000","218,432,000","216,773,000","205,459,000","240,102,000","227,408,000","229,545,000","27,333,000","36,726,000","28,471,000","26,291,000","26,379,000","36,333,000","22,807,000","24,591,000","21,084,000","25,788,000","30,060,000","23,813,000","21,544,000","24,919,000","24,858,000","21,846,000","21,594,000","22,901,000","21,942,000","28,134,000","25,269,000","27,680,000","20,851,000","21,857,000","15,771,000","10,986,000","19,971,000","18,860,000","12,590,000","17,624,000","15,637,000","15,790,000","15,457,000","6,867,000","23,713,000","20,365,000","20,360,000","6,251,000","21,296,000","17,818,000","15,944,000","-653,000","18,277,000","19,179,000","20,326,000","5,415,000","25,249,000","31,087,000","25,137,000","12,839,000","26,663,000","25,539,000","18,646,000","6,804,000","19,487,000","20,534,000","18,084,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			SalariesAndWages,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"260,911,000","255,864,000","250,044,000","258,483,000","255,982,000","255,462,000","232,027,000","237,176,000","237,353,000","228,204,000","208,295,000","209,547,000","203,446,000","192,933,000","192,345,000","207,798,000","217,194,000","220,961,000","-213,635,000","-221,598,000","-224,421,000","-223,350,000","-219,225,000","-223,771,000","-229,668,000","-224,099,000","-214,528,000","-222,247,000","-218,487,000","-213,655,000","-200,883,000","-217,794,000","-214,760,000","-207,487,000","-189,964,000","-207,523,000","-197,618,000","-195,551,000","-191,086,000","-206,166,000","-213,625,000","-202,833,000","-195,695,000","-195,869,000","-200,647,000","-197,008,000","-196,685,000","-198,240,000","-190,995,000","-194,273,000","-185,885,000","-183,310,000","-181,206,000","-176,175,000","-172,688,000","-172,385,000","-165,722,000","-158,851,000","-145,988,000","-144,289,000","-135,394,000","-133,288,000","-121,444,000","-121,166,000","-124,914,000","-122,186,000","-116,436,000","-117,881,000","-119,082,000","-115,487,000","-105,117,000","-108,561,000","-103,411,000","-100,599,000","-92,565,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			InsuranceAndClaims,"165,052,000","50,260,000","41,254,000","35,508,000","38,030,000","35,810,000","35,412,000","30,899,000","32,361,000","32,288,000","43,956,000","52,013,000","28,994,000","26,942,000","45,594,000","28,371,000","28,499,000","46,649,000","26,463,000","27,461,000","23,005,000","20,026,000","21,862,000","19,094,000","17,428,000","17,975,000","20,078,000","18,207,000","17,428,000","23,440,000","21,904,000","19,886,000","15,832,000","16,399,000","13,878,000","12,111,000","12,770,000","16,447,000","13,745,000","12,595,000","11,045,000","12,398,000","11,042,000","11,642,000","9,847,000","13,537,000","11,543,000","11,649,000","11,551,000","12,773,000","12,316,000","13,858,000","11,850,000","14,848,000","13,860,000","14,262,000","-17,802,000","-17,910,000","-17,669,000","-16,774,000","-17,303,000","-29,457,000","-14,325,000","-15,338,000","-12,462,000","-16,319,000","-14,117,000","-13,075,000","-11,755,000","-11,409,000","-14,956,000","-15,369,000","-13,024,000","-14,363,000","-13,946,000","-17,746,000","-17,445,000","-18,053,000","-13,415,000","-13,704,000","-10,959,000","-5,036,000","-12,878,000","-12,249,000","-12,218,000","-10,306,000","-9,459,000","-9,682,000","-9,534,000","-11,150,000","-11,410,000","-8,214,000","-9,781,000","-9,266,000","-8,803,000","-6,632,000","-7,972,000","-8,011,000","-9,780,000","-9,842,000","-10,113,000","-13,196,000","-14,021,000","-18,005,000","-13,165,000","-14,118,000","-14,074,000","-11,974,000","-10,541,000","-9,647,000","-9,242,000","-9,870,000","-9,192,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			OtherGandA,"230,481,000","61,555,000","58,716,000","56,173,000","54,037,000","57,230,000","50,572,000","52,600,000","53,196,000","60,660,000","57,716,000","55,117,000","53,236,000","58,862,000","49,537,000","45,710,000","40,075,000","58,927,000","35,127,000","27,331,000","28,477,000","30,393,000","26,029,000","23,551,000","27,052,000","20,815,000","19,833,000","32,883,000","19,577,000","19,262,000","20,164,000","16,702,000","15,283,000","16,692,000","15,053,000","17,062,000","15,804,000","62,343,000","-4,376,000","-6,239,000","-7,050,000","-4,009,000","-4,928,000","-4,127,000","-2,967,000","-973,000","6,279,000","1,504,000","102,000","993,000","2,670,000","9,982,000","1,264,000","17,456,000","-3,646,000","-5,678,000","258,770,000","276,234,000","270,561,000","266,415,000","262,907,000","289,561,000","266,800,000","264,028,000","248,074,000","264,354,000","262,664,000","250,543,000","234,182,000","254,122,000","254,574,000","244,702,000","224,582,000","244,787,000","233,506,000","241,431,000","233,800,000","251,899,000","247,891,000","238,394,000","222,425,000","211,891,000","233,496,000","228,117,000","221,493,000","226,170,000","216,091,000","219,745,000","210,876,000","201,327,000","216,329,000","204,754,000","202,829,000","187,902,000","195,821,000","183,301,000","169,904,000","151,647,000","163,451,000","162,309,000","151,883,000","139,777,000","164,184,000","171,278,000","154,738,000","144,838,000","159,819,000","153,000,000","134,304,000","125,012,000","132,140,000","131,003,000","119,841,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
