name,ttm,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999,12/31/1998,09/30/1998,06/30/1998,03/31/1998,12/31/1997,09/30/1997,06/30/1997,03/31/1997,12/31/1996,09/30/1996,06/30/1996,03/31/1996,12/31/1995,09/30/1995,06/30/1995,03/31/1995,12/31/1994,09/30/1994,06/30/1994,03/31/1994,12/31/1993,09/30/1993,06/30/1993,03/31/1993,12/31/1992,09/30/1992,06/30/1992,03/31/1992,12/31/1991,09/30/1991,06/30/1991,03/31/1991,12/31/1990,09/30/1990,06/30/1990,03/31/1990,12/31/1989,09/30/1989,06/30/1989,03/31/1989,12/31/1988,09/30/1988,06/30/1988,03/31/1988,12/31/1987,09/30/1987,06/30/1987,03/31/1987,12/31/1986,09/30/1986,06/30/1986,03/31/1986,12/31/1985,09/30/1985
TotalRevenue,"1,866,016,000","493,896,000","488,056,000","450,287,000","433,776,000","422,361,000","451,800,000","410,537,000","429,406,000","419,119,000","438,005,000","393,509,000","380,364,000","386,275,000","392,543,000","417,229,000","384,684,000","374,756,000","359,934,000","383,768,000","353,767,000","348,553,000","345,028,000","366,969,000","333,186,000","332,872,000","321,618,000","333,713,000","309,709,000","311,294,000","318,819,000","310,939,000","300,929,000","302,525,000","295,661,000","298,148,000","281,543,000","278,694,000","271,001,000","266,609,000","256,304,000","255,858,000","248,338,000","249,255,000","240,185,000","242,635,000","234,822,000","227,845,000","215,549,000","210,861,000","182,331,000","191,883,000","180,408,000","190,204,000","183,098,000","187,488,000","187,906,000","192,226,000","175,326,000","181,300,000","168,903,000","167,244,000","150,615,000","162,310,000","145,495,000","147,417,000","136,983,000","141,425,000","134,382,000","135,960,000","124,096,000","126,037,000","119,708,000","112,730,000","108,940,000","109,188,000","98,898,000","102,563,000","93,978,000","126,428,000","92,552,000","91,545,000","86,132,000","94,917,000","92,811,000","80,732,000","77,008,000","75,061,000","56,406,000","51,500,000","42,400,000","44,900,000","43,500,000","47,300,000","40,700,000","38,700,000","27,200,000","27,400,000","20,100,000","20,800,000","22,100,000","21,300,000","18,400,000","18,400,000","16,600,000","16,500,000","16,200,000","14,600,000","10,400,000","11,400,000","9,600,000","10,200,000","8,900,000","10,100,000","9,200,000","9,500,000","6,700,000","9,900,000","6,400,000","7,000,000","5,400,000","5,900,000","5,600,000","11,800,000","2,900,000","3,000,000","3,000,000","2,100,000","2,700,000","2,700,000","2,300,000","900,000","900,000","3,900,000","4,200,000","5,200,000","5,600,000","3,700,000","3,600,000","4,200,000","4,500,000","4,100,000","3,200,000","4,300,000","1,600,000","4,400,000","2,500,000"
	OperatingRevenue,"1,866,016,000","493,896,000","488,056,000","450,287,000","433,776,000","422,361,000","451,800,000","410,537,000","429,406,000","419,119,000","438,005,000","393,509,000","380,364,000","386,275,000","392,543,000","417,229,000","384,684,000","374,756,000","359,934,000","383,768,000","353,767,000","348,553,000","345,028,000","366,969,000","333,186,000","332,872,000","321,618,000","333,713,000","309,709,000","311,294,000","318,819,000","310,939,000","300,929,000","302,525,000","295,661,000","298,148,000","281,543,000","278,694,000","271,001,000","266,609,000","256,304,000","255,858,000","248,338,000","249,255,000","240,185,000","242,635,000","234,822,000","227,845,000","215,549,000","210,861,000","182,331,000","191,883,000","180,408,000","190,204,000","183,098,000","187,468,000","187,906,000","192,226,000","175,326,000","181,300,000","168,903,000","167,244,000","150,615,000","162,310,000","145,495,000","147,417,000","136,983,000","141,425,000","134,382,000","135,960,000","124,096,000","126,037,000","119,708,000","112,730,000","108,940,000","109,188,000","98,898,000","102,563,000","93,978,000","126,428,000","92,552,000","91,545,000","86,132,000","94,917,000","92,811,000","80,732,000","77,008,000","75,061,000","56,406,000","51,500,000","42,400,000","44,900,000","43,500,000","47,300,000","40,700,000","38,700,000","27,200,000","27,400,000","20,100,000","20,800,000","22,100,000","21,300,000","18,400,000","18,400,000","16,600,000","16,500,000","16,200,000","14,600,000","10,400,000","11,400,000","9,600,000","10,200,000","8,900,000","10,100,000","9,200,000","9,500,000","6,700,000","9,900,000","6,400,000","7,000,000","5,400,000","5,900,000","5,600,000","11,800,000","2,900,000","3,000,000","3,000,000","2,100,000","2,700,000","2,700,000","2,300,000","900,000","900,000","3,900,000","4,200,000","5,200,000","5,600,000","3,700,000","3,600,000","4,200,000","4,500,000","4,100,000","3,200,000","4,300,000","1,600,000","4,400,000","2,500,000"
CostOfRevenue,"1,102,148,000","282,825,000","276,636,000","274,918,000","267,770,000","257,782,000","262,929,000","254,835,000","258,571,000","249,267,000","245,791,000","240,040,000","235,594,000","227,284,000","220,112,000","235,682,000","221,592,000","211,653,000","204,715,000","219,398,000","206,727,000","198,146,000","194,763,000","205,269,000","194,273,000","190,445,000","183,663,000","187,298,000","177,894,000","180,259,000","180,471,000","178,382,000","176,398,000","169,707,000","166,936,000","173,911,000","166,953,000","156,457,000","155,073,000","158,098,000","152,921,000","148,449,000","143,912,000","145,063,000","144,895,000","139,816,000","137,789,000","132,709,000","129,036,000","121,781,000","107,940,000","112,624,000","110,170,000","112,831,000","110,569,000","111,535,000","110,955,000","107,406,000","105,804,000","103,101,000","97,219,000","94,256,000","87,308,000","91,583,000","81,813,000","81,934,000","80,428,000","81,563,000","77,105,000","81,211,000","73,534,000","72,744,000","72,389,000","68,021,000","66,283,000","66,234,000","60,495,000","65,697,000","58,865,000","83,360,000","52,460,000","52,534,000","47,083,000","68,069,000","47,373,000","40,622,000","37,807,000","36,908,000","25,721,000","29,900,000","19,200,000","23,000,000","23,100,000","25,400,000","20,900,000","15,200,000","12,700,000","13,700,000","8,800,000","5,400,000","11,700,000","11,200,000","8,300,000","5,100,000","8,700,000","8,300,000","7,900,000","5,900,000","4,900,000","5,400,000","4,600,000","5,000,000","4,700,000","5,700,000","5,100,000","5,400,000","3,300,000","6,400,000","3,300,000","4,000,000","2,800,000","3,100,000","2,900,000","9,900,000","900,000","900,000","800,000","4,900,000","700,000","900,000","600,000",,,,,,,,,,,,,,,,
GrossProfit,"763,868,000","211,071,000","211,420,000","175,369,000","166,006,000","164,579,000","188,871,000","155,702,000","170,835,000","169,852,000","192,214,000","153,469,000","144,770,000","158,991,000","172,431,000","181,547,000","163,092,000","163,103,000","155,219,000","164,370,000","147,040,000","150,407,000","150,265,000","161,700,000","138,913,000","142,427,000","137,955,000","146,415,000","131,815,000","131,035,000","138,348,000","132,557,000","124,531,000","132,818,000","128,725,000","124,237,000","114,590,000","122,237,000","115,928,000","108,511,000","103,383,000","107,409,000","104,426,000","104,192,000","95,290,000","102,819,000","97,033,000","95,136,000","86,513,000","89,080,000","74,391,000","79,259,000","70,238,000","77,373,000","72,529,000","75,953,000","76,951,000","84,820,000","69,522,000","78,199,000","71,684,000","72,988,000","63,307,000","70,727,000","63,682,000","65,483,000","56,555,000","59,862,000","57,277,000","54,749,000","50,562,000","53,293,000","47,319,000","44,709,000","42,657,000","42,954,000","38,403,000","36,866,000","35,113,000","43,068,000","40,092,000","39,011,000","39,049,000","26,848,000","45,438,000","40,110,000","39,201,000","38,153,000","30,685,000","21,600,000","23,200,000","21,900,000","20,400,000","21,900,000","19,800,000","23,500,000","14,500,000","13,700,000","11,300,000","15,400,000","10,400,000","10,100,000","10,100,000","13,300,000","7,900,000","8,200,000","8,300,000","8,700,000","5,500,000","6,000,000","5,000,000","5,200,000","4,200,000","4,400,000","4,100,000","4,100,000","3,400,000","3,500,000","3,100,000","3,000,000","2,600,000","2,800,000","2,700,000","1,900,000","2,000,000","2,100,000","2,200,000","-2,800,000","2,000,000","1,800,000","1,700,000",,,,,,,,,,,,,,,,
OperatingExpense,"317,112,000","85,409,000","77,825,000","79,073,000","74,803,000","70,947,000","71,283,000","82,000,000","75,699,000","76,148,000","74,027,000","74,052,000","68,329,000","70,787,000","69,209,000","73,020,000","66,776,000","68,027,000","64,662,000","68,693,000","58,309,000","61,801,000","58,848,000","64,687,000","59,083,000","57,640,000","57,418,000","57,040,000","54,613,000","51,370,000","55,709,000","52,757,000","53,149,000","49,345,000","51,381,000","51,342,000","48,881,000","62,809,000","48,412,000","47,359,000","46,886,000","46,621,000","46,629,000","46,142,000","44,787,000","47,830,000","44,258,000","45,842,000","42,854,000","41,717,000","32,454,000","35,653,000","33,162,000","35,761,000","36,937,000","56,825,000","34,700,000","38,965,000","33,719,000","32,958,000","30,909,000","33,369,000","30,388,000","30,697,000","28,966,000","31,433,000","25,994,000","26,003,000","26,251,000","26,788,000","24,339,000","24,140,000","21,820,000","22,116,000","21,096,000","20,832,000","19,112,000","18,635,000","17,486,000","19,195,000","19,220,000","19,175,000","16,984,000","18,652,000","16,326,000","20,277,000","20,513,000","20,398,000","15,201,000","15,300,000","11,700,000","9,400,000","8,300,000","10,900,000","6,900,000","12,200,000","6,300,000","5,900,000","4,700,000","8,800,000","4,400,000","4,300,000","4,100,000","7,500,000","3,500,000","3,800,000","3,500,000","5,300,000","2,900,000","3,000,000","2,500,000","2,100,000","2,300,000","2,600,000","2,100,000","1,900,000","1,700,000","1,700,000","1,500,000","1,500,000","1,500,000","1,400,000","1,400,000","1,300,000","1,300,000","1,300,000","1,200,000","-2,900,000","1,300,000","1,400,000","1,400,000",,,,,,,,,,,,,,,,
	SellingGeneralAndAdministration,"204,232,000","55,493,000","51,071,000","50,259,000","47,408,000","44,167,000","45,226,000","52,098,000","47,391,000","48,961,000","49,436,000","49,132,000","44,887,000","46,797,000","45,183,000","48,614,000","44,185,000","45,613,000","43,733,000","45,353,000","37,508,000","40,928,000","39,109,000","40,722,000","39,229,000","38,778,000","38,864,000","37,540,000","37,091,000","33,689,000","38,918,000","35,309,000","35,663,000","33,203,000","35,708,000","34,473,000","32,885,000","47,118,000","33,767,000","31,965,000","31,415,000","31,546,000","31,693,000","29,690,000","29,071,000","31,993,000","28,868,000","31,510,000","28,853,000","29,378,000","22,306,000","25,183,000","22,468,000","25,570,000","25,391,000","25,010,000","23,360,000","27,561,000","23,760,000","23,505,000","21,905,000","24,380,000","21,872,000","22,010,000","20,531,000","23,430,000","19,245,000","18,960,000","18,513,000","20,047,000","18,197,000","18,041,000","15,476,000","16,204,000","15,777,000","16,505,000","15,060,000","14,673,000","13,935,000","16,074,000","16,268,000","15,632,000","14,074,000","15,876,000","13,443,000","12,106,000","13,561,000","13,334,000","9,234,000","9,500,000","7,000,000","7,200,000","6,700,000","9,400,000","5,900,000","6,300,000","5,500,000","5,100,000","4,000,000","4,200,000","3,900,000","3,600,000","3,600,000","3,500,000","3,100,000","3,300,000","3,000,000","2,900,000","2,600,000","2,700,000","2,200,000","1,800,000","2,100,000","2,600,000","2,100,000","1,900,000","1,700,000","1,700,000","1,500,000","1,500,000","1,500,000","1,400,000","1,400,000","1,300,000","1,300,000","1,300,000","1,200,000",,"1,300,000","1,400,000","1,400,000",,,,,,,,,,,,,,,,
		GeneralAndAdministrativeExpense,,,,,,,,,,,,,,,,,,,,"19,657,000","13,937,000","19,025,000","16,982,000","17,357,000","16,497,000","16,547,000","17,113,000","14,048,000","15,417,000","11,514,000","16,510,000","13,301,000","13,629,000","12,132,000","14,250,000","13,915,000","11,950,000","27,181,000","13,578,000","11,377,000","12,421,000","13,382,000","12,939,000","11,899,000","12,142,000","15,014,000","12,506,000","14,391,000","12,088,000","14,512,000","10,181,000","10,902,000","9,595,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			OtherGandA,,,,,,,,,,,,,,,,,,,,"19,657,000","13,937,000","19,025,000","16,982,000","17,357,000","16,497,000","16,547,000","17,113,000","14,048,000","15,417,000","11,514,000","16,510,000","13,301,000","13,629,000","12,132,000","14,250,000","13,915,000","11,950,000","27,181,000","13,578,000","11,377,000","12,421,000","13,382,000","12,939,000","11,899,000","12,142,000","15,014,000","12,506,000","14,391,000","12,088,000","14,512,000","10,181,000","10,902,000","9,595,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		SellingAndMarketingExpense,,,,,,,,,,,,,,,,,,,"43,733,000","25,696,000","23,571,000","21,903,000","22,127,000","23,365,000","22,732,000","22,231,000","21,751,000","23,492,000","21,674,000","22,175,000","22,408,000","22,008,000","22,034,000","21,071,000","21,458,000","20,558,000","20,935,000","19,937,000","20,189,000","20,588,000","18,994,000","18,164,000","18,754,000","17,791,000","16,929,000","16,979,000","16,362,000","17,119,000","16,765,000","14,866,000","12,125,000","14,281,000","12,873,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
	ResearchAndDevelopment,"112,880,000","29,916,000","26,754,000","28,814,000","27,395,000","26,780,000","26,057,000","29,902,000","28,308,000","27,187,000","24,591,000","24,920,000","23,442,000","23,990,000","24,026,000","24,406,000","22,591,000","22,414,000","20,929,000","23,340,000","20,801,000","20,873,000","19,739,000","23,965,000","19,854,000","18,862,000","18,554,000","19,500,000","17,522,000","17,681,000","16,791,000","17,448,000","17,486,000","16,142,000","15,673,000","16,869,000","15,996,000","15,691,000","14,645,000","15,394,000","15,471,000","15,075,000","14,936,000","16,452,000","15,716,000","15,837,000","15,390,000","14,332,000","14,001,000","12,339,000","10,148,000","10,470,000","10,694,000","10,191,000","11,546,000","10,624,000","11,340,000","11,404,000","9,959,000","9,453,000","9,004,000","8,989,000","8,516,000","8,687,000","8,435,000","8,003,000","6,749,000","7,043,000","7,738,000","6,741,000","6,142,000","6,099,000","6,344,000","5,912,000","5,319,000","4,327,000","4,052,000","3,962,000","3,551,000","3,121,000","2,952,000","3,543,000","2,910,000","2,776,000","2,883,000","2,828,000","2,383,000","2,242,000","2,242,000","1,900,000","1,700,000","500,000","1,600,000","1,500,000","1,000,000","800,000","800,000","800,000","700,000","500,000","500,000","700,000","500,000","400,000","400,000","500,000","500,000","300,000","300,000","300,000","300,000","300,000","200,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
