name,ttm,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999,12/31/1998,09/30/1998,06/30/1998,03/31/1998,12/31/1997,09/30/1997,06/30/1997,03/31/1997,12/31/1996,09/30/1996,06/30/1996,03/31/1996,12/31/1995,09/30/1995,06/30/1995,03/31/1995,12/31/1994,09/30/1994,06/30/1994,03/31/1994,12/31/1993,09/30/1993,06/30/1993,03/31/1993,12/31/1992,09/30/1992,06/30/1992,03/31/1992,12/31/1991,09/30/1991,06/30/1991,03/31/1991,12/31/1990,09/30/1990,06/30/1990,03/31/1990,12/31/1989,09/30/1989,06/30/1989,03/31/1989,12/31/1988,09/30/1988,06/30/1988,03/31/1988,12/31/1987,09/30/1987,06/30/1987,03/31/1987,12/31/1986,09/30/1986,06/30/1986,03/31/1986,12/31/1985,09/30/1985
TotalRevenue,"93,775,000,000","24,804,000,000","23,338,000,000","23,312,000,000","22,321,000,000","22,475,000,000","21,082,000,000","18,336,000,000","20,691,000,000","20,747,000,000","20,729,000,000","20,562,000,000","20,021,000,000","20,394,000,000","20,348,000,000","20,830,000,000","20,009,000,000","20,195,000,000","19,650,000,000","18,839,000,000","17,766,000,000","18,106,000,000","17,820,000,000","18,482,000,000","17,482,000,000","17,811,000,000","17,102,000,000","17,787,000,000","17,374,000,000","18,254,000,000","18,467,000,000","19,495,000,000","18,115,000,000","18,355,000,000","17,575,000,000","17,877,000,000","17,505,000,000","17,558,000,000","17,052,000,000","16,475,000,000","16,139,000,000","16,255,000,000","16,005,000,000","16,597,000,000","16,173,000,000","15,644,000,000","14,982,000,000","15,330,000,000","15,631,000,000","16,551,000,000","15,081,000,000","15,239,000,000","15,026,000,000","15,182,000,000","15,921,000,000","16,450,000,000","16,194,000,000","15,957,000,000","14,970,000,000","15,131,000,000","15,037,000,000","13,682,000,000","13,287,000,000","13,363,000,000","12,992,000,000","12,610,000,000","12,310,000,000","12,762,000,000","12,832,000,000","12,752,000,000","11,553,000,000","11,484,000,000","11,559,000,000","11,254,000,000","10,455,000,000","10,332,000,000","9,821,000,000","9,403,000,000","9,079,000,000","9,073,000,000","8,743,000,000","8,403,000,000","8,238,000,000","8,342,000,000","7,791,000,000","7,108,000,000","7,204,000,000","7,508,000,000","7,319,000,000","7,230,000,000","6,749,000,000","6,854,000,000","6,638,000,000","6,367,000,000","5,724,000,000","5,783,000,000","5,783,000,000","5,630,000,000","5,586,000,000","5,698,000,000","5,715,000,000","5,502,000,000","5,402,000,000","5,382,000,000","5,334,000,000","4,846,000,000","4,738,000,000","4,762,000,000","4,496,000,000","4,090,000,000","4,038,000,000","3,916,000,000","3,690,000,000","3,531,000,000","3,506,000,000","3,541,000,000","3,560,000,000","3,503,000,000","3,480,000,000","3,413,000,000","3,357,000,000","3,148,000,000","3,119,000,000","3,031,000,000","3,149,000,000","2,700,000,000","2,869,000,000","2,825,000,000","2,838,000,000","2,471,000,000","2,451,000,000","2,390,000,000","2,445,000,000","2,200,000,000","2,199,000,000","2,290,000,000","2,311,000,000","2,028,100,000","1,993,200,000","2,010,000,000","1,980,800,000","1,745,800,000","1,782,300,000","1,732,300,000","1,742,500,000","1,657,600,000","1,602,800,000"
	OperatingRevenue,"93,775,000,000","24,804,000,000","23,338,000,000","23,312,000,000","22,321,000,000","22,475,000,000","21,082,000,000","18,336,000,000","20,691,000,000","20,747,000,000","20,729,000,000","20,562,000,000","20,021,000,000","20,394,000,000","20,348,000,000","20,830,000,000","20,009,000,000","20,195,000,000","19,650,000,000","18,839,000,000","17,766,000,000","18,106,000,000","17,820,000,000","18,482,000,000","17,482,000,000","17,811,000,000","17,102,000,000","17,787,000,000","17,374,000,000","18,254,000,000","18,467,000,000","19,495,000,000","18,115,000,000","18,355,000,000","17,575,000,000","17,877,000,000","17,505,000,000","17,558,000,000","17,052,000,000","16,475,000,000","16,139,000,000","16,255,000,000","16,005,000,000","16,597,000,000","16,173,000,000","15,644,000,000","14,982,000,000","15,330,000,000","15,631,000,000","16,551,000,000","15,081,000,000","15,239,000,000","15,026,000,000","15,182,000,000","15,921,000,000","16,450,000,000","16,194,000,000","15,957,000,000","14,970,000,000","15,131,000,000","15,037,000,000","13,682,000,000","13,287,000,000","13,363,000,000","12,992,000,000","12,610,000,000","12,310,000,000","12,762,000,000","12,832,000,000","12,752,000,000","11,553,000,000","11,484,000,000","11,559,000,000","11,254,000,000","10,455,000,000","10,332,000,000","9,821,000,000","9,403,000,000","9,079,000,000","9,073,000,000","8,743,000,000","8,403,000,000","8,238,000,000","8,342,000,000","7,791,000,000","7,108,000,000","7,204,000,000","7,508,000,000","7,319,000,000","7,230,000,000","6,749,000,000","6,854,000,000","6,638,000,000","6,367,000,000","5,724,000,000","5,783,000,000","5,783,000,000","5,630,000,000","5,586,000,000","5,698,000,000","5,715,000,000","5,502,000,000","5,402,000,000","5,382,000,000","5,334,000,000","4,846,000,000","4,738,000,000","4,762,000,000","4,496,000,000","4,090,000,000","4,038,000,000","3,916,000,000","3,690,000,000","3,531,000,000","3,506,000,000","3,541,000,000","3,560,000,000","3,503,000,000","3,480,000,000","3,413,000,000","3,357,000,000","3,148,000,000","3,119,000,000","3,031,000,000","3,149,000,000","2,700,000,000","2,869,000,000","2,825,000,000","2,838,000,000","2,471,000,000","2,451,000,000","2,390,000,000","2,445,000,000","2,200,000,000","2,199,000,000","2,290,000,000","2,311,000,000","2,028,100,000","1,993,200,000","2,010,000,000","1,980,800,000","1,745,800,000","1,782,300,000","1,732,300,000","1,742,500,000","1,657,600,000","1,602,800,000"
CostOfRevenue,"29,855,000,000","7,955,000,000","7,250,000,000","7,587,000,000","7,063,000,000","7,814,000,000","6,972,000,000","6,579,000,000","7,062,000,000","7,134,000,000","6,867,000,000","6,940,000,000","6,615,000,000","6,961,000,000","6,589,000,000","6,927,000,000","6,614,000,000","7,243,000,000","6,902,000,000","5,823,000,000","5,386,000,000","5,534,000,000","5,486,000,000","5,336,000,000","5,329,000,000","5,673,000,000","5,224,000,000","5,357,000,000","5,282,000,000","5,853,000,000","5,399,000,000","6,039,000,000","5,455,000,000","5,955,000,000","5,344,000,000","5,489,000,000","5,554,000,000","6,003,000,000","5,597,000,000","5,143,000,000","4,915,000,000","5,338,000,000","5,072,000,000","5,172,000,000","4,778,000,000","5,040,000,000","4,594,000,000","4,630,000,000","4,528,000,000","5,312,000,000","4,434,000,000","4,450,000,000","4,251,000,000","4,372,000,000","4,774,000,000","4,751,000,000","4,614,000,000","4,734,000,000","4,274,000,000","4,358,000,000","4,385,000,000","4,007,000,000","3,650,000,000","3,788,000,000","3,612,000,000","3,624,000,000","3,340,000,000","3,508,000,000","3,482,000,000","3,706,000,000","3,187,000,000","3,162,000,000","3,367,000,000","3,508,000,000","2,980,000,000","2,966,000,000","2,722,000,000","2,797,000,000","2,611,000,000","2,582,000,000","2,457,000,000","2,489,000,000","2,385,000,000","2,362,000,000","2,279,000,000","1,853,000,000","1,791,000,000","1,892,000,000","1,810,000,000","1,943,000,000","1,655,000,000","1,770,000,000","1,630,000,000","1,758,000,000","1,465,000,000","1,484,000,000","1,483,000,000","1,682,000,000","1,430,000,000","1,481,000,000","1,492,000,000","1,601,000,000","1,449,000,000","1,484,000,000","1,475,000,000","1,430,000,000","1,343,000,000","1,362,000,000","1,243,000,000","1,275,000,000","1,184,000,000","1,110,000,000","1,006,000,000","1,143,000,000","1,032,000,000","990,000,000","1,005,000,000","1,133,000,000","1,045,700,000","972,000,000","972,000,000","987,000,000","958,000,000","855,000,000","911,000,000","873,000,000","895,000,000","875,000,000","796,000,000","835,000,000","769,000,000",,"730,000,000",,,,,,,,,,,,,,
GrossProfit,"63,920,000,000","16,849,000,000","16,088,000,000","15,725,000,000","15,258,000,000","14,661,000,000","14,110,000,000","11,757,000,000","13,629,000,000","13,613,000,000","13,862,000,000","13,622,000,000","13,406,000,000","13,433,000,000","13,759,000,000","13,903,000,000","13,395,000,000","12,952,000,000","12,748,000,000","13,016,000,000","12,380,000,000","12,572,000,000","12,334,000,000","13,146,000,000","12,153,000,000","12,138,000,000","11,878,000,000","12,430,000,000","12,092,000,000","12,401,000,000","13,068,000,000","13,456,000,000","12,660,000,000","12,400,000,000","12,231,000,000","12,388,000,000","11,951,000,000","11,555,000,000","11,455,000,000","11,332,000,000","11,224,000,000","10,917,000,000","10,933,000,000","11,425,000,000","11,395,000,000","10,604,000,000","10,388,000,000","10,700,000,000","11,103,000,000","11,239,000,000","10,647,000,000","10,789,000,000","10,775,000,000","10,810,000,000","11,147,000,000","11,699,000,000","11,580,000,000","11,223,000,000","10,696,000,000","10,773,000,000","10,652,000,000","9,675,000,000","9,637,000,000","9,575,000,000","9,380,000,000","8,986,000,000","8,970,000,000","9,254,000,000","9,350,000,000","9,046,000,000","8,366,000,000","8,322,000,000","8,192,000,000","7,746,000,000","7,475,000,000","7,366,000,000","7,099,000,000","6,606,000,000","6,468,000,000","6,491,000,000","6,286,000,000","5,914,000,000","5,853,000,000","5,980,000,000","5,512,000,000","5,255,000,000","5,413,000,000","5,616,000,000","5,509,000,000","5,287,000,000","5,094,000,000","5,084,000,000","5,008,000,000","4,609,000,000","4,259,000,000","4,299,000,000","4,300,000,000","3,948,000,000","4,156,000,000","4,217,000,000","4,223,000,000","3,901,000,000","3,953,000,000","3,898,000,000","3,859,000,000","3,416,000,000","3,395,000,000","3,400,000,000","3,253,000,000","2,815,000,000","2,854,000,000","2,806,000,000","2,684,000,000","2,388,000,000","2,474,000,000","2,551,000,000","2,555,000,000","2,370,000,000","2,434,300,000","2,441,000,000","2,385,000,000","2,161,000,000","2,161,000,000","2,176,000,000","2,238,000,000","1,827,000,000","1,974,000,000","1,950,000,000","2,042,000,000","1,636,000,000","1,682,000,000",,"1,715,000,000",,,,,,,,,,,,,,
OperatingExpense,"39,373,000,000","11,874,000,000","9,422,000,000","9,467,000,000","8,610,000,000","10,489,000,000","8,271,000,000","7,700,000,000","7,783,000,000","9,271,000,000","7,973,000,000","8,212,000,000","8,077,000,000","9,215,000,000","8,051,000,000","8,382,000,000","7,667,000,000","9,660,000,000","7,970,000,000","7,547,000,000","6,797,000,000","7,949,000,000","6,950,000,000","7,440,000,000","6,701,000,000","8,755,000,000","7,235,000,000","7,513,000,000","6,746,000,000","8,457,000,000","7,491,000,000","7,486,000,000","7,014,000,000","8,328,000,000","7,356,000,000","7,322,000,000","7,007,000,000","7,992,000,000","7,151,000,000","7,160,000,000","6,660,000,000","7,613,000,000","7,013,000,000","7,097,000,000","6,794,000,000","7,162,000,000","6,366,000,000","6,404,000,000","6,336,000,000","7,842,000,000","6,384,000,000","6,435,000,000","6,126,000,000","7,773,000,000","7,056,000,000","7,403,000,000","6,835,000,000","8,049,000,000","6,733,000,000","6,895,000,000","6,454,000,000","6,742,000,000","6,010,000,000","6,179,000,000","5,627,000,000","6,538,000,000","5,580,000,000","5,681,000,000","5,390,000,000","6,382,000,000","5,052,000,000","4,893,000,000","4,735,000,000","5,543,000,000","4,605,000,000","4,478,000,000","4,189,000,000","4,592,000,000","3,958,000,000","3,949,000,000","3,674,000,000","4,384,000,000","3,793,000,000","3,804,000,000","3,422,000,000","4,108,000,000","3,755,000,000","3,776,000,000","3,677,000,000","4,209,000,000","3,552,000,000","3,439,000,000","3,347,000,000","3,614,000,000","2,955,000,000","2,965,000,000","2,888,000,000","3,111,000,000","2,985,000,000","2,930,000,000","2,896,000,000","3,118,000,000","2,799,000,000","2,723,000,000","2,668,000,000","2,670,000,000","2,514,000,000","2,437,000,000","2,277,000,000","2,263,000,000","2,097,000,000","2,048,000,000","1,944,000,000","1,945,000,000","1,881,000,000","1,876,000,000","1,875,000,000","1,974,000,000","1,843,300,000","1,784,000,000","1,752,000,000","1,751,000,000","1,635,000,000","1,570,000,000","1,616,000,000","1,373,000,000","1,529,000,000","1,371,000,000","1,469,000,000","1,315,000,000","1,255,000,000",,"1,243,000,000",,,,,,,,,,,,,,
	SellingGeneralAndAdministration,"24,659,000,000","7,154,000,000","6,000,000,000","6,073,000,000","5,432,000,000","6,457,000,000","5,431,000,000","4,993,000,000","5,203,000,000","6,039,000,000","5,374,000,000","5,546,000,000","5,219,000,000","5,991,000,000","5,543,000,000","5,743,000,000","5,263,000,000","6,025,000,000","5,396,000,000","5,262,000,000","4,737,000,000","5,309,000,000","4,772,000,000","5,176,000,000","4,688,000,000","5,891,000,000","5,081,000,000","5,384,000,000","4,847,000,000","5,822,000,000","5,468,000,000","5,481,000,000","5,183,000,000","5,917,000,000","5,314,000,000","5,376,000,000","5,223,000,000","5,661,000,000","5,228,000,000","4,965,000,000","5,015,000,000","5,458,000,000","5,240,000,000","5,215,000,000","5,056,000,000","5,180,000,000","4,709,000,000","4,756,000,000","4,779,000,000","5,629,000,000","4,767,000,000","4,797,000,000","4,608,000,000","5,665,000,000","5,195,000,000","5,507,000,000","5,123,000,000","5,721,000,000","4,899,000,000","5,029,000,000","4,802,000,000","4,696,000,000","4,291,000,000","4,351,000,000","4,095,000,000","4,562,000,000","4,078,000,000","4,194,000,000","4,043,000,000","4,655,000,000","3,854,000,000","3,711,000,000","3,640,000,000","4,054,000,000","3,428,000,000","3,396,000,000","3,253,000,000","3,350,000,000","3,006,000,000","3,017,000,000","2,843,000,000","3,280,000,000","2,894,000,000","2,975,000,000","2,721,000,000","2,846,000,000","2,675,000,000","2,745,000,000","2,609,000,000","2,987,000,000","2,564,000,000","2,549,000,000","2,403,000,000","2,542,000,000","2,151,000,000","2,114,000,000","2,100,000,000","2,286,000,000","2,149,000,000","2,142,000,000","2,138,000,000","2,867,000,000","2,533,000,000","2,475,000,000","2,424,000,000","2,417,000,000","2,314,000,000","2,237,000,000","1,720,000,000","1,711,000,000","1,601,000,000","1,558,000,000","1,480,000,000","1,796,000,000","1,725,000,000","1,718,000,000","1,717,000,000","1,841,000,000","1,701,000,000","1,648,000,000","1,608,000,000","1,636,000,000","1,514,000,000","1,441,000,000","1,488,000,000","1,249,000,000","1,412,000,000","1,258,000,000","1,353,000,000","1,209,000,000","1,154,000,000",,"1,133,000,000",,,,,,,,,,,,,,
	ResearchAndDevelopment,"14,714,000,000","4,720,000,000","3,422,000,000","3,394,000,000","3,178,000,000","4,032,000,000","2,840,000,000","2,707,000,000","2,580,000,000","3,232,000,000","2,599,000,000","2,666,000,000","2,858,000,000","3,224,000,000","2,508,000,000","2,639,000,000","2,404,000,000","3,635,000,000","2,574,000,000","2,285,000,000","2,060,000,000","2,640,000,000","2,178,000,000","2,264,000,000","2,013,000,000","2,864,000,000","2,154,000,000","2,129,000,000","1,899,000,000","2,635,000,000","2,023,000,000","2,005,000,000","1,831,000,000","2,411,000,000","2,042,000,000","1,946,000,000","1,784,000,000","2,331,000,000","1,923,000,000","2,195,000,000","1,645,000,000","2,155,000,000","1,773,000,000","1,882,000,000","1,738,000,000","1,982,000,000","1,657,000,000","1,648,000,000","1,557,000,000","2,213,000,000","1,617,000,000","1,638,000,000","1,518,000,000","2,108,000,000","1,861,000,000","1,896,000,000","1,712,000,000","2,328,000,000","1,834,000,000","1,866,000,000","1,652,000,000","2,046,000,000","1,719,000,000","1,828,000,000","1,532,000,000","1,976,000,000","1,502,000,000","1,487,000,000","1,347,000,000","1,727,000,000","1,198,000,000","1,182,000,000","1,095,000,000","1,489,000,000","1,177,000,000","1,082,000,000","936,000,000","1,242,000,000","952,000,000","932,000,000","831,000,000","1,104,000,000","899,000,000","829,000,000","701,000,000","930,000,000","692,000,000","667,000,000","637,000,000","877,000,000","613,000,000","574,000,000","536,000,000","732,000,000","511,000,000","532,000,000","494,000,000","626,000,000","516,000,000","520,000,000","478,000,000",,,,,,,,"353,000,000","360,000,000","316,000,000","313,000,000","289,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
	DepreciationAmortizationDepletionIncomeStatement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"332,000,000","388,000,000","364,000,000","431,000,000","345,000,000","375,000,000","316,000,000","408,000,000","340,000,000","293,000,000","319,000,000","294,000,000","199,000,000","320,000,000","268,000,000","280,000,000","251,000,000","266,000,000","248,000,000","244,000,000","253,000,000","200,000,000","200,000,000","204,000,000","192,000,000","180,000,000","177,000,000","175,000,000","149,000,000","156,000,000","158,000,000","158,000,000","133,000,000","142,300,000","136,000,000","144,000,000","115,000,000","121,000,000","129,000,000","128,000,000","124,000,000","117,000,000","113,000,000","116,000,000","106,000,000","101,000,000",,"110,000,000",,,,,,,,,,,,,,
		DepreciationAndAmortizationInIncomeStatement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"332,000,000","388,000,000","364,000,000","431,000,000","345,000,000","375,000,000","316,000,000","408,000,000","340,000,000","293,000,000","319,000,000","294,000,000","199,000,000","320,000,000","268,000,000","280,000,000","251,000,000","266,000,000","248,000,000","244,000,000","253,000,000","200,000,000","200,000,000","204,000,000","192,000,000","180,000,000","177,000,000","175,000,000","149,000,000","156,000,000","158,000,000","158,000,000","133,000,000","142,300,000","136,000,000","144,000,000","115,000,000","121,000,000","129,000,000","128,000,000","124,000,000","117,000,000","113,000,000","116,000,000","106,000,000","101,000,000",,"110,000,000",,,,,,,,,,,,,,
OperatingIncome,"24,547,000,000","4,975,000,000","6,666,000,000","6,258,000,000","6,648,000,000","4,172,000,000","5,839,000,000","4,057,000,000","5,846,000,000","4,342,000,000","5,889,000,000","5,410,000,000","5,329,000,000","4,218,000,000","5,708,000,000","5,521,000,000","5,728,000,000","3,292,000,000","4,778,000,000","5,469,000,000","5,583,000,000","4,623,000,000","5,384,000,000","5,706,000,000","5,452,000,000","3,383,000,000","4,643,000,000","4,917,000,000","5,346,000,000","3,944,000,000","5,577,000,000","5,970,000,000","5,646,000,000","4,072,000,000","4,875,000,000","5,066,000,000","4,944,000,000","3,563,000,000","4,304,000,000","4,172,000,000","4,564,000,000","3,304,000,000","3,920,000,000","4,328,000,000","4,601,000,000","3,442,000,000","4,022,000,000","4,296,000,000","4,767,000,000","3,397,000,000","4,263,000,000","4,354,000,000","4,649,000,000","3,037,000,000","4,091,000,000","4,296,000,000","4,745,000,000","3,174,000,000","3,963,000,000","3,878,000,000","4,198,000,000","2,933,000,000","3,627,000,000","3,396,000,000","3,753,000,000","2,448,000,000","3,390,000,000","3,573,000,000","3,960,000,000","2,664,000,000","3,314,000,000","3,429,000,000","3,457,000,000","2,203,000,000","2,870,000,000","2,888,000,000","2,910,000,000","2,014,000,000","2,510,000,000","2,542,000,000","2,612,000,000","1,530,000,000","2,060,000,000","2,176,000,000","2,090,000,000","1,147,000,000","1,658,000,000","1,840,000,000","1,832,000,000","1,078,000,000","1,542,000,000","1,645,000,000","1,661,000,000","995,000,000","1,304,000,000","1,334,000,000","1,412,000,000","837,000,000","1,171,000,000","1,287,000,000","1,327,000,000","783,000,000","1,154,000,000","1,175,000,000","1,191,000,000","746,000,000","881,000,000","963,000,000","976,000,000","552,000,000","757,000,000","758,000,000","740,000,000","443,000,000","593,000,000","675,000,000","680,000,000","396,000,000","591,000,000","657,000,000","633,000,000","410,000,000","526,000,000","606,000,000","622,000,000","454,000,000","445,000,000","579,000,000","573,000,000","321,000,000","427,000,000","2,390,000,000","472,000,000","-5,396,000,000","2,199,000,000","2,290,000,000","2,311,000,000","-4,774,900,000","1,993,200,000","2,010,000,000","1,980,800,000","-4,273,500,000","1,782,300,000","1,732,300,000","1,742,500,000","-3,923,700,000","1,602,800,000"
