name,ttm,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999
TotalRevenue,"4,735,400,000","1,299,900,000","1,188,800,000","1,172,300,000","1,074,400,000","1,222,600,000","1,138,200,000","1,086,300,000","998,000,000","1,208,100,000","1,133,100,000","1,102,500,000","1,001,700,000","1,181,000,000","1,179,800,000","1,204,100,000","1,082,600,000","1,239,500,000","1,257,800,000","1,308,900,000","1,221,000,000","1,385,600,000","1,285,300,000","1,221,300,000","1,097,900,000","1,319,600,000","1,248,600,000","1,222,200,000","1,067,400,000","1,101,600,000","1,125,900,000","1,229,500,000","1,170,100,000","1,273,600,000","1,185,600,000","1,150,700,000","1,059,200,000","1,140,832,000","1,118,311,000","1,073,759,000","1,032,498,000","1,120,757,000","1,105,796,000","1,120,544,000","1,101,612,000","1,189,941,000","1,012,407,000","978,300,000","912,618,000","941,454,000","823,912,000","786,363,000","764,183,000","923,493,000","946,962,000","879,034,000","822,887,000","809,182,000","735,048,000","664,922,000","626,936,000","595,830,000","573,567,000","567,469,000","566,714,000","575,464,000","546,353,000","493,028,000","449,112,000","430,053,000","375,014,000","306,899,000","224,053,000","206,955,000","172,128,000","165,103,000","157,207,000","155,266,000","152,026,000","117,036,000","122,219,000","151,033,000","201,703,000","202,181,000","332,105,000","295,386,000","201,201,000","113,028,000","63,886,000","45,400,000","29,600,000","17,600,000","10,000,000"
	OperatingRevenue,"4,735,400,000","1,299,900,000","1,188,800,000","1,172,300,000","1,074,400,000","1,222,600,000","1,138,200,000","1,086,300,000","998,000,000","1,208,100,000","1,133,100,000","1,102,500,000","1,001,700,000","1,181,000,000","1,179,800,000","1,204,100,000","1,082,600,000","1,239,500,000","1,257,800,000","1,308,900,000","1,221,000,000","1,385,600,000","1,285,300,000","1,221,300,000","1,097,900,000","1,319,600,000","1,248,600,000","1,222,200,000","1,067,400,000","1,101,600,000","1,125,900,000","1,229,500,000","1,170,100,000","1,273,600,000","1,185,600,000","1,150,700,000","1,059,200,000","1,140,832,000","1,118,311,000","1,073,759,000","1,032,498,000","1,120,757,000","1,105,796,000","1,120,544,000","1,101,612,000","1,189,941,000","1,012,407,000","978,300,000","912,618,000","941,454,000","823,912,000","786,363,000","764,183,000","923,493,000","946,962,000","879,034,000","822,887,000","809,182,000","735,048,000","664,922,000","626,936,000","595,830,000","573,567,000","567,469,000","566,714,000","575,464,000","546,353,000","493,028,000","449,112,000","430,053,000","375,014,000","306,899,000","224,053,000","206,955,000","172,128,000","165,103,000","157,207,000","155,266,000","152,026,000","117,036,000","122,219,000","151,033,000","201,703,000","202,181,000","332,105,000","295,386,000","201,201,000","113,028,000","63,886,000","45,400,000","29,600,000","17,600,000","10,000,000"
CostOfRevenue,"1,995,300,000","549,500,000","496,600,000","490,400,000","458,800,000","505,600,000","480,400,000","466,700,000","418,700,000","488,800,000","454,700,000","465,700,000","419,400,000","470,100,000","468,800,000","503,200,000","464,200,000","488,300,000","485,400,000","507,000,000","474,400,000","527,900,000","485,800,000","464,900,000","407,000,000","477,200,000","451,200,000","440,700,000","410,100,000","426,500,000","411,100,000","481,300,000","450,000,000","470,000,000","439,100,000","430,200,000","388,400,000","407,791,000","444,480,000","405,886,000","398,443,000","421,822,000","394,192,000","398,378,000","365,727,000","397,940,000","334,620,000","318,362,000","300,597,000","316,621,000","286,708,000","285,961,000","268,512,000","304,270,000","307,579,000","289,281,000","264,836,000","262,469,000","232,286,000","220,774,000","212,109,000","190,235,000","190,185,000","188,923,000","184,947,000","183,364,000","171,087,000","155,221,000","143,195,000","126,751,000","113,034,000","96,770,000","74,019,000","70,629,000","62,939,000","62,430,000","61,351,000","63,092,000","68,865,000","48,155,000","49,996,000","58,783,000","119,767,000","80,480,000","113,741,000","101,410,000","70,291,000","40,752,000","25,101,000","18,400,000","12,500,000","8,600,000","5,200,000"
GrossProfit,"2,740,100,000","750,400,000","692,200,000","681,900,000","615,600,000","717,000,000","657,800,000","619,600,000","579,300,000","719,300,000","678,400,000","636,800,000","582,300,000","710,900,000","711,000,000","700,900,000","618,400,000","751,200,000","772,400,000","801,900,000","746,600,000","857,700,000","799,500,000","756,400,000","690,900,000","842,400,000","797,400,000","781,500,000","657,300,000","675,100,000","714,800,000","748,200,000","720,100,000","803,600,000","746,500,000","720,500,000","670,800,000","733,041,000","673,831,000","667,873,000","634,055,000","698,935,000","711,604,000","722,166,000","735,885,000","792,001,000","677,787,000","659,938,000","612,021,000","624,833,000","537,204,000","500,402,000","495,671,000","619,223,000","639,383,000","589,753,000","558,051,000","546,713,000","502,762,000","444,148,000","414,827,000","405,595,000","383,382,000","378,546,000","381,767,000","392,100,000","375,266,000","337,807,000","305,917,000","303,302,000","261,980,000","210,129,000","150,034,000","136,326,000","109,189,000","102,673,000","95,856,000","92,174,000","83,161,000","68,881,000","72,223,000","92,250,000","81,936,000","121,701,000","218,364,000","193,976,000","130,910,000","72,276,000","38,785,000","27,000,000","17,100,000","9,000,000","4,800,000"
OperatingExpense,"2,309,700,000","596,400,000","570,200,000","574,600,000","568,500,000","565,800,000","531,500,000","524,300,000","531,000,000","541,000,000","541,000,000","533,000,000","524,300,000","509,100,000","546,500,000","541,300,000","564,800,000","512,300,000","539,500,000","535,700,000","570,900,000","570,400,000","548,700,000","550,200,000","542,200,000","563,400,000","539,400,000","540,300,000","524,100,000","517,100,000","557,400,000","574,100,000","612,300,000","600,600,000","595,500,000","573,900,000","566,400,000","590,741,000","599,794,000","578,200,000","583,165,000","550,386,000","557,747,000","549,477,000","558,839,000","556,606,000","480,545,000","474,155,000","443,644,000","615,769,000","404,756,000","397,183,000","410,244,000","429,349,000","437,427,000","429,303,000","415,357,000","398,933,000","389,799,000","357,925,000","354,031,000","327,795,000","310,329,000","1,582,997,000","290,841,000","264,198,000","262,916,000","222,842,000","204,987,000","213,076,000","192,285,000","191,268,000","103,164,000","101,620,000","88,164,000","91,816,000","91,448,000","80,522,000","106,862,000","62,406,000","87,471,000","114,789,000","108,639,000","118,596,000","131,364,000","92,523,000","54,703,000","51,733,000","32,900,000","28,100,000","19,500,000","13,700,000","11,700,000"
	SellingGeneralAndAdministration,"1,302,500,000","341,500,000","318,400,000","328,800,000","313,800,000","323,300,000","289,100,000","283,300,000","298,500,000","301,400,000","296,500,000","289,000,000","296,700,000","277,900,000","292,700,000","292,500,000","295,400,000","284,400,000","303,100,000","295,500,000","294,700,000","307,400,000","296,900,000","302,300,000","291,200,000","316,200,000","292,400,000","288,700,000","275,400,000","283,600,000","304,200,000","318,600,000","348,300,000","345,400,000","329,800,000","315,000,000","303,000,000","314,517,000","310,468,000","308,230,000","312,385,000","298,694,000","299,388,000","290,895,000","291,215,000","302,758,000","248,477,000","248,183,000","235,513,000","86,612,000","217,222,000","209,750,000","220,454,000","244,025,000","238,223,000","225,947,000","219,582,000","213,478,000","206,944,000","184,841,000","177,914,000","178,460,000","163,912,000","160,167,000","152,528,000","146,759,000","143,023,000","117,675,000","106,895,000","115,794,000","94,379,000","93,028,000","52,405,000","51,550,000","41,234,000","41,006,000","40,456,000","42,084,000","46,857,000","34,998,000","37,127,000","50,333,000","42,776,000","45,402,000","51,790,000","45,437,000","28,831,000","21,418,000","14,519,000","10,700,000","7,300,000","4,800,000","3,400,000"
		GeneralAndAdministrativeExpense,"249,800,000","62,700,000","55,000,000","71,000,000","61,100,000","77,200,000","59,800,000","59,100,000","59,300,000","54,900,000","61,200,000","60,000,000","68,200,000","53,000,000","67,900,000","54,200,000","56,000,000","50,800,000","70,600,000","55,600,000","50,500,000","52,900,000","54,000,000","58,600,000","59,400,000","60,300,000","57,100,000","56,300,000","55,200,000","40,600,000","55,000,000","60,600,000","74,900,000","59,600,000","61,100,000","48,800,000","47,800,000","50,717,000","49,442,000","48,775,000","54,666,000","45,493,000","44,455,000","44,260,000","44,924,000","45,068,000","43,773,000","45,880,000","43,138,000",,"39,877,000","39,175,000","39,211,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			OtherGandA,"249,800,000","62,700,000","55,000,000","71,000,000","61,100,000","77,200,000","59,800,000","59,100,000","59,300,000","54,900,000","61,200,000","60,000,000","68,200,000","53,000,000","67,900,000","54,200,000","56,000,000","50,800,000","70,600,000","55,600,000","50,500,000","52,900,000","54,000,000","58,600,000","59,400,000","60,300,000","57,100,000","56,300,000","55,200,000","40,600,000","55,000,000","60,600,000","74,900,000","59,600,000","61,100,000","48,800,000","47,800,000","50,717,000","49,442,000","48,775,000","54,666,000","45,493,000","44,455,000","44,260,000","44,924,000","45,068,000","43,773,000","45,880,000","43,138,000",,"39,877,000","39,175,000","39,211,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		SellingAndMarketingExpense,"1,052,700,000","278,800,000","263,400,000","257,800,000","252,700,000","246,100,000","229,300,000","224,200,000","239,200,000","246,500,000","235,300,000","229,000,000","228,500,000","224,900,000","224,800,000","238,300,000","239,400,000","233,600,000","232,500,000","239,900,000","244,200,000","254,500,000","242,900,000","243,700,000","231,800,000","255,900,000","235,300,000","232,400,000","220,200,000","243,000,000","249,200,000","258,000,000","273,400,000","285,800,000","268,700,000","266,200,000","255,200,000","263,800,000","261,026,000","259,455,000","257,719,000","253,201,000","254,933,000","246,635,000","246,291,000","257,690,000","204,704,000","202,303,000","192,375,000","204,875,000","177,345,000","170,575,000","181,243,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
	ResearchAndDevelopment,"1,007,200,000","254,900,000","251,800,000","245,800,000","254,700,000","242,500,000","242,400,000","241,000,000","232,500,000","239,600,000","244,500,000","244,000,000","227,600,000","231,200,000","253,800,000","248,800,000","269,400,000","227,900,000","236,400,000","240,200,000","276,200,000","263,000,000","251,800,000","247,900,000","251,000,000","247,200,000","247,000,000","251,600,000","248,700,000","233,500,000","253,200,000","255,500,000","264,000,000","258,700,000","264,600,000","257,700,000","262,200,000","275,086,000","288,178,000","268,734,000","269,602,000","250,465,000","257,096,000","257,250,000","261,979,000","254,942,000","231,151,000","224,768,000","206,994,000","187,210,000","185,204,000","183,894,000","185,400,000","180,134,000","194,014,000","186,357,000","170,646,000","165,279,000","167,887,000","148,702,000","141,093,000","126,948,000","123,389,000","116,222,000","113,688,000","107,547,000","90,504,000","81,238,000","76,128,000","68,759,000","64,881,000","58,093,000","46,630,000","44,695,000","44,932,000","43,007,000","43,470,000","44,281,000","48,771,000","33,770,000","35,069,000","36,765,000","37,897,000","42,077,000","42,991,000","30,243,000","23,600,000","18,000,000","15,990,000","15,800,000","11,500,000","8,000,000","6,200,000"
