name,ttm,01/31/2022,10/31/2021,07/31/2021,04/30/2021,01/31/2021,10/31/2020,07/31/2020,04/30/2020,01/31/2020,10/31/2019,07/31/2019,04/30/2019,01/31/2019,10/31/2018,07/31/2018,04/30/2018,01/31/2018,10/31/2017,07/31/2017,04/30/2017,01/31/2017,10/31/2016,07/31/2016,04/30/2016,01/31/2016,10/31/2015,07/31/2015,04/30/2015,01/31/2015,10/31/2014,07/31/2014,04/30/2014,01/31/2014,10/31/2013,07/31/2013,04/30/2013,01/31/2013
TotalRevenue,"5,011,000,000","1,250,000,000","1,294,000,000","1,246,000,000","1,221,000,000","1,180,000,000","1,220,000,000","1,011,000,000","895,000,000","1,095,000,000","1,120,000,000","1,087,000,000","1,090,000,000","1,006,000,000","1,047,000,000","1,004,000,000","990,000,000","837,000,000","878,000,000","832,000,000","753,000,000","726,000,000","751,000,000","715,000,000","731,000,000","721,000,000","750,000,000","665,000,000","740,000,000","701,000,000","762,000,000","757,000,000","743,000,000","671,000,000","705,000,000","701,000,000","760,000,000","722,000,000"
	OperatingRevenue,"5,011,000,000","1,250,000,000","1,294,000,000","1,246,000,000","1,221,000,000","1,180,000,000","1,220,000,000","1,011,000,000","895,000,000","1,095,000,000","1,120,000,000","1,087,000,000","1,090,000,000","1,006,000,000","1,047,000,000","1,004,000,000","990,000,000","837,000,000","878,000,000","832,000,000","753,000,000","726,000,000","751,000,000","715,000,000","731,000,000","721,000,000","750,000,000","665,000,000","740,000,000","701,000,000","762,000,000","757,000,000","743,000,000","671,000,000","705,000,000","701,000,000","760,000,000","722,000,000"
CostOfRevenue,"1,845,000,000","446,000,000","457,000,000","458,000,000","484,000,000","473,000,000","464,000,000","405,000,000","379,000,000","440,000,000","455,000,000","444,000,000","442,000,000","428,000,000","460,000,000","439,000,000","447,000,000","410,000,000","404,000,000","421,000,000","340,000,000","322,000,000","331,000,000","309,000,000","325,000,000","329,000,000","332,000,000","295,000,000","324,000,000","318,000,000","343,000,000","343,000,000","328,000,000","299,000,000","310,000,000","310,000,000","334,000,000","311,000,000"
GrossProfit,"3,166,000,000","804,000,000","837,000,000","788,000,000","737,000,000","707,000,000","756,000,000","606,000,000","516,000,000","655,000,000","665,000,000","643,000,000","648,000,000","578,000,000","587,000,000","565,000,000","543,000,000","427,000,000","474,000,000","411,000,000","413,000,000","404,000,000","420,000,000","406,000,000","406,000,000","392,000,000","418,000,000","370,000,000","416,000,000","383,000,000","419,000,000","414,000,000","415,000,000","372,000,000","395,000,000","391,000,000","426,000,000","411,000,000"
OperatingExpense,"2,027,000,000","533,000,000","488,000,000","504,000,000","502,000,000","495,000,000","478,000,000","424,000,000","414,000,000","452,000,000","457,000,000","446,000,000","463,000,000","457,000,000","447,000,000","437,000,000","443,000,000","432,000,000","435,000,000","415,000,000","371,000,000","242,000,000","313,000,000","300,000,000","311,000,000","294,000,000","307,000,000","270,000,000","288,000,000","302,000,000","289,000,000","293,000,000","288,000,000","281,000,000","267,000,000","270,000,000","297,000,000","293,000,000"
	SellingGeneralAndAdministration,"1,220,000,000","326,000,000","295,000,000","302,000,000","297,000,000","301,000,000","287,000,000","259,000,000","251,000,000","300,000,000","286,000,000","281,000,000","300,000,000","288,000,000","308,000,000","289,000,000","299,000,000","289,000,000","294,000,000","286,000,000","256,000,000","213,000,000","211,000,000","200,000,000","207,000,000","200,000,000","206,000,000","183,000,000","192,000,000","206,000,000","198,000,000","202,000,000","199,000,000","191,000,000","179,000,000","179,000,000","198,000,000","196,000,000"
	ResearchAndDevelopment,"822,000,000","210,000,000","196,000,000","207,000,000","209,000,000","199,000,000","193,000,000","169,000,000","166,000,000","187,000,000","176,000,000","168,000,000","171,000,000","173,000,000","154,000,000","151,000,000","156,000,000","146,000,000","139,000,000","132,000,000","119,000,000","108,000,000","105,000,000","104,000,000","108,000,000","108,000,000","105,000,000","90,000,000","96,000,000","96,000,000","91,000,000","91,000,000","89,000,000","90,000,000","88,000,000","91,000,000","99,000,000","97,000,000"
	OtherOperatingExpenses,"-15,000,000","-3,000,000","-3,000,000","-5,000,000","-4,000,000","-5,000,000","-2,000,000","-4,000,000","-3,000,000","-35,000,000","-5,000,000","-3,000,000","-8,000,000","-4,000,000","-15,000,000","-3,000,000","-12,000,000","-3,000,000","2,000,000","-3,000,000","-4,000,000","-79,000,000","-3,000,000","-4,000,000","-4,000,000","-14,000,000","-4,000,000","-3,000,000",,,,,,,,,,
OperatingIncome,"1,139,000,000","271,000,000","349,000,000","284,000,000","235,000,000","212,000,000","278,000,000","182,000,000","102,000,000","203,000,000","208,000,000","197,000,000","185,000,000","121,000,000","140,000,000","128,000,000","100,000,000","-5,000,000","39,000,000","-4,000,000","42,000,000","162,000,000","107,000,000","106,000,000","95,000,000","98,000,000","111,000,000","100,000,000","128,000,000","81,000,000","130,000,000","121,000,000","127,000,000","91,000,000","128,000,000","121,000,000","129,000,000","118,000,000"
NetNonOperatingInterestIncomeExpense,"-76,000,000","-19,000,000","-19,000,000","-19,000,000","-19,000,000","-19,000,000","-19,000,000","-19,000,000","-16,000,000","-13,000,000","-14,000,000","-13,000,000","-14,000,000","-16,000,000","-16,000,000","-17,000,000","-19,000,000","-19,000,000","-20,000,000","-20,000,000","-22,000,000","-11,000,000","-11,000,000","-10,000,000","-12,000,000","-11,000,000","-11,000,000","-12,000,000","-10,000,000","-12,000,000",,"0","0",,,,,
